Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",thabo mooketsi,0,0.21,incorrect,mo farah,0,0.29,incorrect,mathiba,0,0.46,incorrect,te reremo,0,0.14,incorrect,kek,0,0.25,incorrect,madonna,0,0.31,incorrect,alice,1,1.0,correct,marie antoinette,0,0.29,incorrect,antoine lavoisier,0,0.36,incorrect,hayat adiguzel,0,0.32,incorrect,pham van dong,0,0.21,incorrect,pham van dong,0,0.21,incorrect,george,0,0.18,incorrect,no answer,0,0.29,incorrect,marie antoinette,0,0.29,incorrect,hayat adiguzel,0,0.32,incorrect,pham van dong,0,0.21,incorrect,no answer,0,0.29,incorrect
"['alicia', 'alice']",charles bonnet,0,0.32,incorrect,oloye magari,0,0.24,incorrect,thabo maseko,0,0.24,incorrect,te ariki,0,0.43,incorrect,becaaraa chott baat!,0,0.23,incorrect,antananarivo,0,0.24,incorrect,little red riding hood,0,0.22,incorrect,an,0,0.29,incorrect,aslan,0,0.55,incorrect,aslan,0,0.55,incorrect,pham van toan,0,0.21,incorrect,cho,0,0.25,incorrect,perro,0,0.2,incorrect,perro,0,0.2,incorrect,an,0,0.29,incorrect,aslan,0,0.55,incorrect,cho,0,0.25,incorrect,perro,0,0.2,incorrect
"['alicia', 'alice']",senyoane,0,0.31,incorrect,agbejoro,0,0.31,incorrect,senyoane,0,0.31,incorrect,te rangi-haapakanga,0,0.24,incorrect,hun,0,0.0,incorrect,andriamanelo,0,0.35,incorrect,not provided,0,0.24,incorrect,tracy,0,0.4,incorrect,cay kopek,0,0.29,incorrect,ataturk,0,0.31,incorrect,pham van dong,0,0.21,incorrect,phong vien,0,0.27,incorrect,carlos,0,0.36,incorrect,no respuesta directa en el texto,0,0.22,incorrect,tracy,0,0.4,incorrect,ataturk,0,0.31,incorrect,phong vien,0,0.27,incorrect,no respuesta directa en el texto,0,0.22,incorrect
"['alicia', 'alice']",psilocybe,0,0.43,incorrect,ibeere,0,0.36,incorrect,thabo mooketsi,0,0.21,incorrect,te ariki,0,0.43,incorrect,chameli,0,0.5,incorrect,frantz fanon,0,0.22,incorrect,alice,1,1.0,correct,blades,0,0.36,incorrect,yunus emre,0,0.13,incorrect,ataturk,0,0.31,incorrect,agaricus,0,0.46,incorrect,phong,0,0.0,incorrect,agustin,0,0.33,incorrect,carlos,0,0.36,incorrect,blades,0,0.36,incorrect,ataturk,0,0.31,incorrect,phong,0,0.0,incorrect,carlos,0,0.36,incorrect
"['alicia', 'alice']",empa,0,0.22,incorrect,oloye adebayo fagunwa,0,0.15,incorrect,mathibelle ramaphosa,0,0.24,incorrect,te taparu,0,0.27,incorrect,mudaa,0,0.36,incorrect,andriamanelo,0,0.35,incorrect,white rabbit,0,0.24,incorrect,lucy,0,0.44,incorrect,ismet inonu,0,0.25,incorrect,aslan,0,0.55,incorrect,phan mem,0,0.31,incorrect,trang trach,0,0.25,incorrect,la pobre margarita,0,0.25,incorrect,lauren,0,0.36,incorrect,lucy,0,0.44,incorrect,aslan,0,0.55,incorrect,trang trach,0,0.25,incorrect,lauren,0,0.36,incorrect
"['alicia', 'alice']",ali baba,0,0.57,incorrect,hookah,0,0.18,incorrect,david rameeko,0,0.33,incorrect,ernest shackleton,0,0.27,incorrect,paattnaa,0,0.29,incorrect,andriamanelo,0,0.35,incorrect,caterpillar,0,0.35,incorrect,caterpillar,0,0.35,incorrect,yunus emre,0,0.13,incorrect,ali uslu,0,0.46,incorrect,tho sau,0,0.17,incorrect,ngoc hoang,0,0.25,incorrect,la oruga,0,0.29,incorrect,unicornio,0,0.4,incorrect,caterpillar,0,0.35,incorrect,ali uslu,0,0.46,incorrect,ngoc hoang,0,0.25,incorrect,unicornio,0,0.4,incorrect
"['alicia', 'alice']",agaricus blazei,0,0.4,incorrect,olu,0,0.25,incorrect,phuti ramatlhakwane,0,0.25,incorrect,te ari'i tuhaa,0,0.4,incorrect,mudaa,0,0.36,incorrect,amelia earhart,0,0.42,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,yusuf,0,0.0,incorrect,yusyuvarlak,0,0.35,incorrect,pham van dong,0,0.21,incorrect,phuong,0,0.0,incorrect,agatha christie,0,0.3,incorrect,agatha,0,0.33,incorrect,alice,1,1.0,correct,yusyuvarlak,0,0.35,incorrect,phuong,0,0.0,incorrect,agatha,0,0.33,incorrect
"['alicia', 'alice']",matsoho,0,0.17,incorrect,wole soyinka,0,0.33,incorrect,thabo maseko,0,0.24,incorrect,te rangihaeata,0,0.32,incorrect,birsep laaittmn,0,0.2,incorrect,andriamanitra,0,0.42,incorrect,alice,1,1.0,correct,emily dickinson,0,0.38,incorrect,yildiz tilbe,0,0.35,incorrect,yesillikler,0,0.38,incorrect,pham van donh,0,0.21,incorrect,pho minh,0,0.15,incorrect,roberto bolano,0,0.2,incorrect,no respuesta,0,0.12,incorrect,emily dickinson,0,0.38,incorrect,yesillikler,0,0.38,incorrect,pho minh,0,0.15,incorrect,no respuesta,0,0.12,incorrect
"['alicia', 'alice']",andriamahazo,0,0.33,incorrect,olooto,0,0.18,incorrect,lebogang morake,0,0.2,incorrect,te rangi hiroa,0,0.4,incorrect,annddaak,0,0.29,incorrect,raharolahy,0,0.38,incorrect,alice,1,1.0,correct,no_name,0,0.33,incorrect,recep tayyip erdogan,0,0.24,incorrect,cigdem ubeydilmez,0,0.18,incorrect,pham van,0,0.29,incorrect,trung quoc,0,0.13,incorrect,pinocchio,0,0.4,incorrect,la pero,0,0.33,incorrect,no_name,0,0.33,incorrect,cigdem ubeydilmez,0,0.18,incorrect,trung quoc,0,0.13,incorrect,la pero,0,0.33,incorrect
"['alicia', 'alice']",thabo maseko,0,0.24,incorrect,jean-jacques dessalines,0,0.29,incorrect,lebogang phalatse,0,0.27,incorrect,te matorohanga,0,0.2,incorrect,mudaa,0,0.36,incorrect,andriamanitra,0,0.42,incorrect,mr. macgregor,0,0.33,incorrect,unknown,0,0.0,incorrect,erdogan,0,0.17,incorrect,ismet inonu,0,0.25,incorrect,pham van chanh,0,0.3,incorrect,pham duy,0,0.15,incorrect,don quixote,0,0.25,incorrect,francisco de quevedo,0,0.32,incorrect,unknown,0,0.0,incorrect,ismet inonu,0,0.25,incorrect,pham duy,0,0.15,incorrect,francisco de quevedo,0,0.32,incorrect
"['alicia', 'alice']",andriamanelo,0,0.35,incorrect,oloye soke adeboye,0,0.17,incorrect,thabo maseko,0,0.24,incorrect,te rangi-haapakanga,0,0.24,incorrect,ehn,0,0.25,incorrect,andriamanelo,0,0.35,incorrect,alice,1,1.0,correct,way,0,0.25,incorrect,ataturk,0,0.31,incorrect,ali sami yen,0,0.47,incorrect,dr. seuss,0,0.14,incorrect,nguyen du,0,0.14,incorrect,don quixote,0,0.25,incorrect,lo si,0,0.4,incorrect,way,0,0.25,incorrect,ali sami yen,0,0.47,incorrect,nguyen du,0,0.14,incorrect,lo si,0,0.4,incorrect
"['alicia', 'alice']",matante,0,0.33,incorrect,oloye adebayo fagunwa,0,0.15,incorrect,matome,0,0.36,incorrect,teuruarii,0,0.4,incorrect,hunkaasn gpp,0,0.22,incorrect,andriamahazo,0,0.33,incorrect,miss alice,0,0.67,incorrect,winnie-the-pooh,0,0.2,incorrect,ismet inonu,0,0.25,incorrect,adnan menderes,0,0.21,incorrect,pham linh,0,0.43,incorrect,thien phuc,0,0.27,incorrect,dona victorina,0,0.5,incorrect,abrio una puerta,0,0.29,incorrect,winnie-the-pooh,0,0.2,incorrect,adnan menderes,0,0.21,incorrect,thien phuc,0,0.27,incorrect,abrio una puerta,0,0.29,incorrect
"['alicia', 'alice']",andriamahazo,0,0.33,incorrect,adebayo fayomi,0,0.21,incorrect,andriamahazo,0,0.33,incorrect,te arikinui tamatoa v,0,0.3,incorrect,bilaadd'i,0,0.29,incorrect,andriamatoa,0,0.35,incorrect,alice,1,1.0,correct,maru,0,0.22,incorrect,ibrahim,0,0.33,incorrect,ali riza bey,0,0.56,incorrect,garfield,0,0.46,incorrect,minh hang,0,0.27,incorrect,maria,0,0.55,incorrect,carlos,0,0.36,incorrect,maru,0,0.22,incorrect,ali riza bey,0,0.56,incorrect,minh hang,0,0.27,incorrect,carlos,0,0.36,incorrect
"['alicia', 'alice']",matlou motloung,0,0.2,incorrect,olusegun obasanjo,0,0.18,incorrect,sol plaatje,0,0.25,incorrect,te arikinui ariiriki,0,0.31,incorrect,je kono,0,0.17,incorrect,andriamanelo,0,0.35,incorrect,miss pole,0,0.29,incorrect,earth,0,0.2,incorrect,erdogan,0,0.17,incorrect,ilhami durmus,0,0.22,incorrect,gio trang,0,0.27,incorrect,tran hung dao,0,0.21,incorrect,maria,0,0.55,incorrect,lo en sabe dia,0,0.3,incorrect,earth,0,0.2,incorrect,ilhami durmus,0,0.22,incorrect,tran hung dao,0,0.21,incorrect,lo en sabe dia,0,0.3,incorrect
"['alicia', 'alice']",solomon,0,0.17,incorrect,wole soyinka,0,0.33,incorrect,mathabatha,0,0.25,incorrect,te ariki,0,0.43,incorrect,mudaa,0,0.36,incorrect,alfonsina,0,0.53,incorrect,miss alice,0,0.67,incorrect,martha,0,0.33,incorrect,ali,0,0.75,correct,ali riza bey,0,0.56,incorrect,pham van chinh,0,0.3,incorrect,ngoc hoa,0,0.29,incorrect,la cocinera,0,0.47,incorrect,maria,0,0.55,incorrect,martha,0,0.33,incorrect,ali riza bey,0,0.56,incorrect,ngoc hoa,0,0.29,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",elliot page,0,0.38,incorrect,dr. james wilkins,0,0.27,incorrect,george washington,0,0.18,incorrect,te rangi-haapakanga,0,0.24,incorrect,belut beg,0,0.29,incorrect,andriamanelo,0,0.35,incorrect,alice,1,1.0,correct,starfish,0,0.31,incorrect,galileo galilei,0,0.4,incorrect,bebek,0,0.2,incorrect,nguyen dinh thi,0,0.19,incorrect,pham van donh,0,0.21,incorrect,capitan nemo,0,0.35,incorrect,el mar,0,0.33,incorrect,starfish,0,0.31,incorrect,bebek,0,0.2,incorrect,pham van donh,0,0.21,incorrect,el mar,0,0.33,incorrect
"['alicia', 'alice']",matante bathabile dlamini,0,0.26,incorrect,disney,0,0.36,incorrect,thabo molefe,0,0.35,incorrect,te ariki,0,0.43,incorrect,bilkul,0,0.18,incorrect,antananarivo,0,0.24,incorrect,alice,1,1.0,correct,wilbur,0,0.18,incorrect,ismet inonu,0,0.25,incorrect,dogrusu,0,0.0,incorrect,pham van toan,0,0.21,incorrect,pham van giai,0,0.32,incorrect,maria,0,0.55,incorrect,francisco de quevedo,0,0.32,incorrect,wilbur,0,0.18,incorrect,dogrusu,0,0.0,incorrect,pham van giai,0,0.32,incorrect,francisco de quevedo,0,0.32,incorrect
"['alicia', 'alice']",mathibelle,0,0.4,incorrect,olanto mokeelu,0,0.21,incorrect,samora machel,0,0.33,incorrect,tevita fifita,0,0.42,incorrect,becaaraa,0,0.29,incorrect,andriamanitra,0,0.42,incorrect,mr. darcy,0,0.29,incorrect,wilbur,0,0.18,incorrect,yahya,0,0.36,incorrect,sekerim,0,0.17,incorrect,do quang huy,0,0.12,incorrect,pham duy khiem,0,0.32,incorrect,maria dolores,0,0.33,incorrect,carlos,0,0.36,incorrect,wilbur,0,0.18,incorrect,sekerim,0,0.17,incorrect,pham duy khiem,0,0.32,incorrect,carlos,0,0.36,incorrect
"['alicia', 'alice']",matlou,0,0.36,incorrect,abdul karem,0,0.38,incorrect,matlou,0,0.36,incorrect,te ariki,0,0.43,incorrect,birlimn,0,0.33,incorrect,andriamahazo,0,0.33,incorrect,mad hatter,0,0.27,incorrect,mr. end,0,0.17,incorrect,ali,0,0.75,correct,yer masanin,0,0.25,incorrect,tho rung,0,0.0,incorrect,pham van dong,0,0.21,incorrect,beatriz,0,0.33,incorrect,carlos,0,0.36,incorrect,mr. end,0,0.17,incorrect,yer masanin,0,0.25,incorrect,pham van dong,0,0.21,incorrect,carlos,0,0.36,incorrect
"['alicia', 'alice']",thabile,0,0.5,incorrect,wole soyinka,0,0.33,incorrect,mathibelle ramaphosa,0,0.24,incorrect,te ariki,0,0.43,incorrect,sherluuk,0,0.15,incorrect,andriamatoa,0,0.35,incorrect,the queen of hearts,0,0.08,incorrect,mad hatter,0,0.27,incorrect,mustafa kemal ataturk,0,0.22,incorrect,ataturk,0,0.31,incorrect,pham van dong,0,0.21,incorrect,nguyen dinh thi,0,0.19,incorrect,agustin de iturbide,0,0.25,incorrect,don quijote,0,0.25,incorrect,mad hatter,0,0.27,incorrect,ataturk,0,0.31,incorrect,nguyen dinh thi,0,0.19,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",thabo maseko,0,0.24,incorrect,olusegun obasanjo,0,0.18,incorrect,samora machel,0,0.33,incorrect,te rangi-haapakanga,0,0.24,incorrect,thkaa,0,0.36,incorrect,andriamahazo,0,0.33,incorrect,professor mcgonagall,0,0.16,incorrect,alice,1,1.0,correct,erdogan,0,0.17,incorrect,dedi,0,0.22,incorrect,pham duy khiem,0,0.32,incorrect,pham van dong,0,0.21,incorrect,beatriz,0,0.33,incorrect,creo que sin solucion,0,0.22,incorrect,alice,1,1.0,correct,dedi,0,0.22,incorrect,pham van dong,0,0.21,incorrect,creo que sin solucion,0,0.22,incorrect
"['alicia', 'alice']",phuputso j. pharoah,0,0.16,incorrect,michael jackson,0,0.3,incorrect,sol plaatje,0,0.25,incorrect,te arikinui ariki marama tekanui ariki,0,0.18,incorrect,mudaa o,0,0.31,incorrect,antoine de saint-exupery,0,0.21,incorrect,alice,1,1.0,correct,virginia woolf,0,0.3,incorrect,aslan,0,0.55,incorrect,adalet tan,0,0.4,incorrect,pham duy,0,0.15,incorrect,hoang duc dinh,0,0.3,incorrect,el sapo,0,0.31,incorrect,don quijote,0,0.25,incorrect,virginia woolf,0,0.3,incorrect,adalet tan,0,0.4,incorrect,hoang duc dinh,0,0.3,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",matante,0,0.33,incorrect,usain bolt,0,0.27,incorrect,mantsi,0,0.36,incorrect,tevita fifita,0,0.42,incorrect,buddh,0,0.0,incorrect,andriamanelo,0,0.35,incorrect,alice,1,1.0,correct,mad hatter,0,0.27,incorrect,ismet inonu,0,0.25,incorrect,sebnem paker,0,0.24,incorrect,pham van dong,0,0.21,incorrect,pham duy khiem,0,0.32,incorrect,don quixote,0,0.25,incorrect,del cobre,0,0.43,incorrect,mad hatter,0,0.27,incorrect,sebnem paker,0,0.24,incorrect,pham duy khiem,0,0.32,incorrect,del cobre,0,0.43,incorrect
"['alicia', 'alice']",samora machel,0,0.33,incorrect,usman yusuf,0,0.12,incorrect,thabo molefe,0,0.35,incorrect,teuruarii,0,0.4,incorrect,juluus,0,0.18,incorrect,andriamahazo,0,0.33,incorrect,alice,1,1.0,correct,queen of hearts,0,0.1,incorrect,atilla,0,0.5,incorrect,ismet,0,0.4,incorrect,phan van,0,0.29,incorrect,trang anh,0,0.27,incorrect,el jardinerito,0,0.32,incorrect,francisco de quevedo,0,0.32,incorrect,queen of hearts,0,0.1,incorrect,ismet,0,0.4,incorrect,trang anh,0,0.27,incorrect,francisco de quevedo,0,0.32,incorrect
"['alicia', 'alice']",barack obama,0,0.33,incorrect,oloye solaja,0,0.24,incorrect,mathiba,0,0.46,incorrect,teururai,0,0.31,incorrect,ahaank,0,0.33,incorrect,antananarivo,0,0.24,incorrect,alice,1,1.0,correct,miss pross,0,0.13,incorrect,ismet inonu,0,0.25,incorrect,italya,0,0.5,incorrect,pham van dong,0,0.21,incorrect,nguyen van thieu,0,0.29,incorrect,juan,0,0.22,incorrect,guardia civil,0,0.42,incorrect,miss pross,0,0.13,incorrect,italya,0,0.5,incorrect,nguyen van thieu,0,0.29,incorrect,guardia civil,0,0.42,incorrect
"['alicia', 'alice']",keith stewart,0,0.22,incorrect,david attenborough,0,0.26,incorrect,erinaceidae,0,0.47,incorrect,james cook,0,0.27,incorrect,baarklaay,0,0.4,incorrect,flamingo,0,0.31,incorrect,alice,1,1.0,correct,beatrix potter,0,0.32,incorrect,cagatay ulusoy,0,0.21,incorrect,ozdemir sabanci,0,0.29,incorrect,van persie,0,0.4,incorrect,pham van giang,0,0.3,incorrect,francisco goya,0,0.4,incorrect,el flamenco,0,0.25,incorrect,beatrix potter,0,0.32,incorrect,ozdemir sabanci,0,0.29,incorrect,pham van giang,0,0.3,incorrect,el flamenco,0,0.25,incorrect
"['alicia', 'alice']",thomas,0,0.18,incorrect,usman yusuf,0,0.12,incorrect,thabo maseko,0,0.24,incorrect,te rangi hiroa,0,0.4,incorrect,belaah,0,0.33,incorrect,andriamariao ravalomanana,0,0.26,incorrect,miss pole,0,0.29,incorrect,wendy,0,0.2,incorrect,newton,0,0.18,incorrect,ataturk,0,0.31,incorrect,trung quoc,0,0.13,incorrect,giai nghe,0,0.43,incorrect,maria,0,0.55,incorrect,peron,0,0.2,incorrect,wendy,0,0.2,incorrect,ataturk,0,0.31,incorrect,giai nghe,0,0.43,incorrect,peron,0,0.2,incorrect
"['alicia', 'alice']",san,0,0.25,incorrect,ata,0,0.44,incorrect,phumzile mlambo-ngcuka,0,0.21,incorrect,te reremo,0,0.14,incorrect,shriinivaas raavl,0,0.26,incorrect,christopher columbus,0,0.16,incorrect,mrs. jewell,0,0.12,incorrect,william bucknill,0,0.36,incorrect,ismet inonu,0,0.25,incorrect,ismet inonu,0,0.25,incorrect,pham thi my,0,0.25,incorrect,phuong thao,0,0.12,incorrect,pepe,0,0.22,incorrect,la granja,0,0.27,incorrect,william bucknill,0,0.36,incorrect,ismet inonu,0,0.25,incorrect,phuong thao,0,0.12,incorrect,la granja,0,0.27,incorrect
"['alicia', 'alice']",matante,0,0.33,incorrect,obafemi awolowo,0,0.29,incorrect,modiri,0,0.33,incorrect,teuruarii,0,0.4,incorrect,jnait chii,0,0.5,incorrect,antananarivo,0,0.24,incorrect,miss bates,0,0.27,incorrect,vegetable show,0,0.32,incorrect,ilhan sener,0,0.25,incorrect,ozcan deniz,0,0.25,incorrect,thuy tinh,0,0.14,incorrect,thien y vuong,0,0.22,incorrect,don quixote,0,0.25,incorrect,carlos,0,0.36,incorrect,vegetable show,0,0.32,incorrect,ozcan deniz,0,0.25,incorrect,thien y vuong,0,0.22,incorrect,carlos,0,0.36,incorrect
