en,en_results
"*2 In reality, it would be difficult for a lion to kill a grown ostrich. Lions are terrific sprinters with a top speed of over eighty kmh, but they can only maintain this speed for very short periods. Ostriches may only manage seventy kmh, but they have much greater stamina and could outrun a lazy lion. BUT…lions are skilled predators and could ambush the ostrich in a sneak attack. However, the ostrich has two extremely sharp claws on each foot, allowing it to, hypothetically, disembowel a lion with a single well-placed kick. All this is rather moot, because lions don’t particularly enjoy the taste of ostrich. They much prefer antelope or zebra, served very rare.","""title"": ""The Book of Deadly Animals"", ""author"": ""Gerald Durrell"""
“Miss Money-Coutts?” an imposing blond man who looked as if he had stepped off the cover of a paranormal romance novel inquired with an easy grin.,"""title"": ""Tiger by the Tail"", ""author"": ""Dana Marton"""
"“Those are the original walls. We took it right down to the timber and this was what we found. Apparently the walls were originally all covered with gilt, and these are the remnants of it.”","""title"": ""The Hound of the Baskervilles"", ""author"": ""Arthur Conan Doyle"""
"“Oh. Was I? We stopped off in Penang for lunch. You know, Penang truly has the yummiest food—the char kuey teow is second to none.”","""title"": ""Nanjing Requiem"", ""author"": ""Ha Jin"""
"“How inspired! I love how you mix high and low, periods and styles, especially here—there’s such an interesting tension between the delicate and the robust, such a charming decay.”","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern"""
“It’s tainted. I don’t want any of those dresses in my house. Just like I never want that sor hai[*] to set foot in my house ever again!”,"""title"": ""Eragon"", ""author"": ""Christopher Paolini"""
"RG: Yeah, been helping my father settle everything. Between the fire department and Hawaii Civil Defense, it’s been a rotten mess at the resort.","""title"": ""The Five Love Languages: The Secret to Love That Lasts"", ""author"": ""Gary Chapman"""
"RG: Thank god for that. Isn’t it strange…when the lava is done doing its thing, it will be like Mum’s resort was never there. It’s sort of poetic in a way.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"RG: Never better. There was a HUGE one on the beach this morning. Must have been a meter and a half long, just napping in the sun.","""title"": ""Life of Pi"", ""author"": ""Yann Martel"""
"“Yes. But what gets me is her clenched fist and that look of rage in her face,” the docent remarked. “Marvelous, isn’t it? She clearly can’t fathom how she went from a rich woman to ending up in such a squalid, pathetic state.”","""title"": ""The Hound of the Baskervilles"", ""author"": ""Arthur Conan Doyle"""
"The massive chiseled-and-hammered-copper double doors on the east side of the courtyard opened slowly as four men cloaked in hooded white and gold djellabas astride four white horses were silhouetted in the doorway. The horses cantered into the courtyard and came to a standstill by the central fountain, and the riders jumped off their horses and flung off their hoods, revealing themselves to be the two groomsmen, the best man, and the groom. The assembled guests applauded at the audacious entrance.","""title"": ""Alif the Unseen"", ""author"": ""G. Willow Wilson"""
"“No, I fly mainly in Cappadocia. This is new terrain for me, but we’ve been rehearsing all week, and praying for the weather to cooperate. Today has been perfect, although I’m sure quite a few balloons will be blown off course. Thankfully, there’s a Jeep assigned to each balloon, following from below. So if we land in Agadir, so be it.”","""title"": ""The Light Between Oceans"", ""author"": ""M.L. Stedman"""
"“Absolutely nothing. I was born the Viscount St. Ives, and one day I’ll become the Earl of Greshamsbury. But I come into that title only when my father dies. So it’s a promotion I’m not exactly looking forward to.”","""title"": ""The Duke and I"", ""author"": ""Julia Quinn"""
"“That’s where I was born! You know, right after my mom gave birth, my father bought a ninety-carat yellow diamond at auction from Christie’s and presented it to me at the hospital. It was an extremely rare diamond called the Golden Star, and he renamed it the Golden Martha. It made the front pages of all the newspapers. ‘Billionaire Buys Newborn Daughter Forty-Eight-Million-Dollar Diamond.’ Ever since then, I’ve been fodder for the papers, mainly in Asia. So I understand your problem.”","""title"": ""The Kiss Quotient"", ""author"": ""Hannah Harrington"""
"“Yes, but thankfully when I went to boarding school in Sydney, it was such a relief because no one knew who I was. The attention only returned when my father died and I got my promotion.”","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"For a moment, the popping of corks high above Marrakech sounded like a fifty-gun salute. The wedding guests shared a toast as the fleet of balloons drifted east toward the rising sun.","""title"": ""The Vanishing Act of Esme Lennox"", ""author"": ""Maggie O'Farrell"""
"“Where did that nose come from? It’s neither Chinese nor English,” she would say as she paraded him in front of one plastic surgeon after another, as each one tried to convince her that he was too young for rhinoplasty and if she would simply be patient he would grow into his nose. Not content, she would fixate on his physique, badgering his endocrinologist about the fact that he wasn’t growing fast enough. He remembered being asked to leave the examining room on one visit when he was thirteen, and the minute he was outside he could hear his mother whispering loudly through the door:","""title"": ""The Sympathizer"", ""author"": ""Viet Thanh Nguyen"""
"“Funny you should ask. I went into my treatment room, and this huge man with a gigantic belly protruding over his loincloth told me to take off all my clothes and lie on the ground. So I obeyed. Then he pressed my face to the cold, wet marble and proceeded to twist me around like a rag doll and cracked every bone in my body, bones I didn’t even know I possessed. I feel like minced meat and I think I’m scarred for life.”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"""
"“Well, she thought we’d get married, and you wouldn’t have a problem spending that kind of dough on your husband. Of course, that’s her idea, not mine—she entrapped me on her plane and ambushed me with her plan. I would never marry for money.”","""title"": ""The Princess Diaries Volume VII: Party Princess"", ""author"": ""Meg Cabot"""
"“Absolutely. I told her, ‘Mom, when I’m on my deathbed, I’m not going to be thinking about Chanel handbags. I don’t even own one!’ ”","""title"": ""Where the Crawdads Sing"", ""author"": ""Delia Owens"""
"“It’s fine. Look, it’s hard to talk about all this without sounding like some entitled prat. I know I’m bloody lucky, but it’s always been difficult for me to make real friends—people who genuinely want to connect with me, rather than with my title or my country house or my family’s resorts. I don’t usually complain like this, but I’m being completely open with you because I think you’ll understand.”","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"“I did. It was in the middle of a wedding banquet, with lava flowing around us, and I lost my mind trying to inhale her face.”","""title"": ""Pride and Prejudice and Zombies"", ""author"": ""Seth Grahame-Smith"""
"“Apparently I don’t. I was caught up in a moment and felt the urge to express all of my feelings, which as it turns out is always a mistake for me.”","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"“I’m sorry, I’m under strict orders not to let anyone through these gates. Especially joggers. You’re going to have to turn around and leave.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“I can’t believe it either, but Mum’s telling me I need to find a very rich young prince to marry as soon as possible. She’s arranging for me to meet up with one of the handsome Brunei princes in London, and she’s even willing to forgo the five-year plan.”","""title"": ""Cinderella and Four Knights"", ""author"": ""Jeon Ji-hye"""
"“This is what happens when you disobey me. I told you specifically that I no longer wanted you to associate with that girl and you didn’t listen. So, not only is she no longer welcome at Greshamsbury Hall, she’s no longer welcome at Caffè Nero or anywhere in this village.”","""title"": ""The Selection"", ""author"": ""Kiera Cass"""
“How am I supposed to eat…when everything tastes like shit? What’s this genius new pill I’m on…the one that’s supposed to extend…my life by fourteen days? I asked that gweilo…‘How do you know it’s working? When do we start…counting the fourteen days?’ Maybe if you let me go…back to Manila…I can get some decent food.”,"""title"": ""The Sympathizer"", ""author"": ""Viet Thanh Nguyen"""
"“He’s very busy spending my money. Why don’t we surprise him…and pay him a visit? If I’m well enough…to play golf, I’m well enough…to get on a plane.”","""title"": ""The President is Missing"", ""author"": ""Bill Clinton and James Patterson"""
"“Really? Well, if you don’t have a job anymore, you should come to LA. My sister’s engagement party is this weekend and you should be here!”","""title"": ""Attachments"", ""author"": ""Rainbow Rowell"""
"“Why? You just said you don’t have to work, and correct me if I’m wrong, but you’ve never been to LA before?”","""title"": ""The Maze Runner"", ""author"": ""James Dashner"""
"No one seemed to be around, and after wandering through a series of reception rooms filled with gilded furniture redolent of the old world, she stumbled upon the huge kitchen, where a woman in her fifties was unfolding sheets of thick paper napkins—the kind found in the washrooms of expensive hotels—from an industrial-size box and placing them in dozens of meticulously neat piles on the marble countertop.[*1]","""title"": ""The Woman in White"", ""author"": ""Wilkie Collins"""
"“YEAH? I’M SO USED TO IT I DON’T EVEN HEAR THEM. IT’S JUST A FACT OF LIFE HERE. EVERYONE’S GOT GARDENERS, EVERYONE HATES LEAVES.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“No, this area of Beverly Hills is called ‘the Flats’ because it’s on flat land, as opposed to where I was just driving you up in the hills. It’s actually the most desirable part, super-high demand. If any of these houses come onto the market, they’re snapped up within hours of the listing going live.”","""title"": ""The Player"", ""author"": ""Michael Tolkin"""
"“Oh really? Tell me what homeless person wouldn’t feel comfortable in that mansion, swimming in the pool during the day and sleeping on Drake’s mattress at night?”","""title"": ""The Hate U Give"", ""author"": ""Angie Thomas"""
"“My mother keeps appearing in the strangest places in my dreams, but I can never understand a thing she’s saying. I wish we could have a normal conversation as two adults. I’d love to hear her voice again. Sometimes I think I’ve forgotten what she sounds like. It’d be nice just to be able to call her up and hear a good yarn.”","""title"": ""The Kite Runner"", ""author"": ""Khaled Hosseini"""
"They pulled up outside a one-story strip center, in the middle of which was a single wooden door painted glossy black. A tall, spindly man with floppy blond hair stood outside at a metal podium, the kind used by high school band conductors, his face aglow from the iPad in his hand.","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"“A few weeks? Ha! First of all, they don’t have a phone number, so the only way you can get a reservation is through their website. Tables only open up the week before, at twelve oh one a.m. on Sunday night, but by the time you click on it at twelve oh one and one second, all the tables for the week are booked up!”","""title"": ""The Restaurant at the End of the Universe"", ""author"": ""Douglas Adams"""
"“They’re all competing to look like teenage hobos, because it means they are too important to give a shit. So every climber tries to ape this look. Most of them are just agents or talent managers. You can tell because they’re the ones wearing the expensive hoodies with their Nautiluses. The Nautilus is a dead giveaway.”","""title"": ""The Sellout"", ""author"": ""Paul Beatty"""
"“For a couple of years, but I left the program. I was running my company while going to design school, but I realized that everything I was learning was actually tanking my business. Every time I tried to release something chic, it wouldn’t sell. But the uglier I made the clothes, the more they would sell like crazy.”","""title"": ""The Nudist on the Late Shift"", ""author"": ""Po Bronson"""
“He had the most unnnn-believable camp! There was a weed sommelier and a sushi bar. This Japanese dude with one of those Karate Kid headbands was making unagi rolls for everyone in the middle of the desert!”,"""title"": ""The Maze Runner"", ""author"": ""James Dashner"""
"“When I went to Miami last December, I noticed that every billionaire art collector had an artist staying at their house. The artists were all sucking up like crazy, following them around everywhere, and I thought, They’re like cute little pets, art pets. So I’m gonna have a different one every month. I feed them and give them a place to stay, and in return I get a free artwork from a hot artist. The last one who stayed with me, I hated her painting, but I flipped it for half a mil.”","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"“They are all top secret, but one of them is with the biggest pop star in the world. You’ll definitely be hearing all about it when it’s time.”","""title"": ""untitled based on given passage"", ""author"": ""unknown"""
"“I’m guessing it was a very posh school. Things are different these days. We’ve got our problems, but for the most part it’s easier nowadays to be accepted.”","""title"": ""Harry Potter and the Cursed Child"", ""author"": ""J.K. Rowling, Jack Thorne, and John Tiffany"""
"“You know, instead of throwing a party or throwing your money around, maybe you ought to think about being with your father. All he wants to do is spend time with you. He really doesn’t have much longer, and I guarantee you all the money in the world will never bring him back.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“Post-traumatic wealth disorder. It’s a real thing. My children had it when we had to move into a temporary house in Brentwood after the Malibu fire destroyed our compound. They just could not cope with the shame of being in Brentwood. And everything about that house depressed them—the pool, the tennis court, the giant outdoor trampoline. That’s when my daughter tried to get a face tattoo and my son started cutting himself.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"She arrived at last at Freddy’s mansion and waited as the ornate iron gates opened slowly. As she pulled into the immaculately tiled driveway, she saw a man standing under the ivy-clad porte cochere and thought she must be hallucinating. She slammed on her brakes, rushed out of the car, and ran up the steps, right into Rufus’s arms.","""title"": ""The Heiress Effect"", ""author"": ""Courtney Milan"""
“—but all these assets are to remain the property of the trust and cannot be divested. Your father also empowered the trust to make decisions on your monthly disbursement—”,"""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
“I see what’s happening here. You’re a bunch of fuckin’ thieves! You’re trying to cheat me out of what’s rightfully mine.”,"""title"": ""The Godfather"", ""author"": ""Mario Puzo"""
"It was the wildest, most desolate road either of them had ever been on, just black tar and flat gray scrub on both sides of the highway as far as the eye could see. Far off on the horizon, a tiny speck morphed slowly into something bigger and bigger, and as they drew nearer Eden suddenly caught sight of it:","""title"": ""The Road"", ""author"": ""Cormac McCarthy"""
"“It’s a three-stage breath. The first breath fills your lower belly, and the second breath fills your upper chest, then you exhale it all out.”","""title"": ""The Alchemist"", ""author"": ""Paulo Coelho"""
“I was afraid he’d do that. That boy will do anything not to have to confront his own demons. Doesn’t he realize we’re only trying to help him? Before he requires a liver transplant?”,"""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“Oh, I don’t see the harm now that his father’s gone. He was very charming, and he’s got quite a thing for tawny port, it seems, so I invited him to dinner tomorrow.”","""title"": ""The Mysterious Affair at Styles"", ""author"": ""Agatha Christie"""
"“Nope. Moved to the Philippines in his twenties, but he grew up in Wan Chai. Isn’t that where you’re from?” Like all the prostitutes.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"“She was from Shenyang, but she met my dad in the Philippines. I was born in Forbes Park.” In a house much bigger than this old dump and with three times the servants.","""title"": ""The Sympathizer"", ""author"": ""Viet Thanh Nguyen"""
“What you do becomes my business when you lure my son into your little web! How do you explain the pregnancy test I found in your hotel suite?”,"""title"": ""The Kissing Hand"", ""author"": ""Audrey Penn"""
"“Classic move. My mom does it all the time, except she checks herself into her favorite Buddhist monastery and throws away her phone. It’s her way of letting me know she’s mad at me.”","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell"""
"“I’m not going to evict you or your father, don’t worry. In fact, I think you should move into the Big House. That’ll teach that snotty Hong Kong tai tai a lesson!”","""title"": ""The Confidante"", ""author"": ""Kris Kennedy"""
"“My daughter is dead to me. My useless husband, my useless son, my other useless daughter, they are all rotting corpses as far as I’m concerned.”","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
"The man did not extend his hand. Instead, he said, “That’s a nineteenth-century birthing chair. The woman puts her legs up on those wide arms, and it helps position her when she goes into labor.”","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern"""
"“I wonder if you realize the harm you cause with your words. I somehow developed an immunity to your gibes long ago, but you’ve managed to give both your daughters eating disorders.”","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"“We are not ungrateful. I’m not, anyway. But I do know that if you can’t find it in your heart to be happy for us and to love us for who we are right now, the next few decades are going to be bloody lonely for you!”","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell"""
"“Even though he was so nasty to me the last time I saw him, I can’t help but feel enormously sad. He was far too young…”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling"""
"“Heavens, no. Remember, we had never met before and I was probably the last person on earth she wanted to run into, but she had no choice. She was at the best cancer center in the world, and I was randomly assigned to her. It was a complete coincidence. Serendipity, actually.”","""title"": ""The Nightingale"", ""author"": ""Kristin Hannah"""
"“Not in the least. She was so very brave, your mother. I pretended not to know who she was—I sensed this was what she wanted—but after a few weeks she suddenly announced that she needed to go back to Vancouver and couldn’t finish her course of chemo and radiation. I pressed her to stay, seeing that the treatments were working, and that’s when she broke down and confessed to me that she needed to return because she had been away far too long from her child. My brother’s child. And that’s when I told her I had known all along who she was and would keep her secret safe. I convinced her to remain in Houston and to send for you.”","""title"": ""The Nightingale"", ""author"": ""Kristin Hannah"""
"*1 When in Italy, it is never, ever appropriate to order a cappuccino after eleven a.m. Cappuccinos are only for breakfast; with any other meal it’s like ordering milk and cereal after dinner. (Of course, I sometimes enjoy Frosted Flakes for dinner, but don’t tell that to an Italian.)","""title"": ""Eat Pray Love"", ""author"": ""Elizabeth Gilbert"""
“But don’t you love that film Death in Venice?” Putter popped a prosciutto-wrapped bocconcini quickly in his mouth when she wasn’t looking.,"""title"": ""The Casual Vacancy"", ""author"": ""J.K. Rowling"""
"“It has nothing to do with being made a widow in Venice. It’s about an old man who’s obsessed with a beautiful small boy. Now, you are allowed one white asparagus tip.”","""title"": ""Death in Venice"", ""author"": ""Thomas Mann"""
