Single_ent,en,es,tr,vi
['margo'],"[MASK] patted me in the middle of the back softly. “I mean, obviously this is all going to be revealed to you before the night is over.” And then, in boating supplies, [MASK] located an air horn. She took it out of the box and held it up in the air, and I said, “No,” and she said, “No what?” And I said, “No, don’t blow the air horn,” except when I got to about the b in blow, she squeezed on it and it let out an excruciatingly loud honk that felt in my head like the auditory equivalent of an aneurysm, and then she said, “I’m sorry, I couldn’t hear you. What was that?” And I said, “Stop b—” and then she did it again.","[MASK] me dio un manotazo suave en la espalda. —Bueno, está claro que lo descubrirás esta misma noche. Y entonces, en la sección de náutica, [MASK] encontró una bocina de aire. La sacó de la caja y levantó el brazo. —No —le dije. —No ¿qué? —me preguntó. —No toques la bocina —le contesté. Aunque cuando iba por la t de «toques», presionó y la bocina soltó un espantoso zumbido que resonó en mi cabeza como el equivalente auditivo de un derrame cerebral. —Perdona. No te he oído. ¿Qué decías? —me preguntó. —Deja de t… Y volvió a tocar la bocina.","[MASK] usulca şutum sıvazladı. “Yani belli M bütün bunlar gece bitmeden açığa çıkacak.” Sonra kayıkçılık malzemelerinin orada bir koma buldu. Kornayı kutusundan çıkardı ve havaya kaldırdı, “Hayır,” dedim, “Ne hayır?” dedi. Ben de “Hayır, komayı çalma,” dedim, ancak ben çalma kelimesinin ç harfi civarına geldiğimde [MASK] kornayı sıktı ve korna kafamda bir anevrizmanın işitsel dengi gibi hissettiren, dayanılmaz derecede yüksek bir ses çıkardı. Sonra, “Üzgünüm, seni duyamadım. Ne demiştin?” dedi. “Bırak ç...” dedim ve sonra tekrar yaptı.","[MASK] vỗ nhè nhẹ lên lưng tôi. “Chẳng phải tớ đã bảo cậu rằng mọi chuyện sẽ dần sáng tỏ trước khi trời sáng đấy ư.” Và rồi, ở khu bày dụng cụ chèo thuyền, [MASK] chọn lấy một cái còi hơi. Cô ấy lấy nó ra khỏi hộp đựng và giơ cao lên, tôi lập tức bảo, “Không được đâu”, và [MASK] hỏi lại, “Cái gì không được cơ?” Tôi nói tiếp, “Không được dùng còi hơi ở đây,” hiềm nỗi tôi mới nói đến chữ d trong từ dùng thì cô ấy đã bóp còi và một tiếng rít đinh tai nhức óc xé qua không khí, ong ong trong đầu tôi, như thể các mạch máu đang phình ra và lùng bùng đập. [MASK] tỉnh rụi hỏi, “Xin lỗi, lúc nãy tớ không nghe rõ, cậu vừa bảo gì cơ?” Và tôi đang dở dang “Đừng b...” thì cô ấy đã lại bóp còi một lần nữa."
['margo'],"And then [MASK] proceeded to lie. “He’s actually my cousin,” she said. Then she sidled up to me, put her hand around my waist so that I could feel each of her fingers taut against my hip bone, and she added, “And my lover.”","Y entonces [MASK] siguió mintiendo. —La verdad es que es mi primo —le dijo. Se colocó a mi lado, me pasó la mano por la cintura, de modo que sentí cada uno de sus dedos tensos sobre mi cadera, y añadió—: Y mi amante.","Sonra [MASK] yalan söylemeye devam etti. “Aslında kuzenim,” dedi. Sonra bana sokuldu, her bir parmağının kalça kemiğimde gezindiğini hissedebileyim diye elini belime doladı ve ekledi: “Ve sevgilim.","Thế là [MASK] bắt đầu bày trò. “Thực ra đây là anh họ em,” cô ấy nói, nhích sát lại, vòng tay qua hông tôi và tôi có thể cảm thấy từng ngón tay [MASK] ấn lên mỏm hông của tôi. Rồi cô ấy nói thêm, “Và là bồ của em.”"
['margo'],"“Although she did,” I admitted, and [MASK] laughed. The breakup had happened months ago, but I didn’t blame [MASK] for failing to pay attention to the world of lower-caste romance. What happens in the band room stays in the band room.","—Aunque sí me plantó ella —admití. [MASK] se rió. Habíamos cortado hacía meses, pero no culpé a [MASK] por no prestar atención al mundo de los rollos de segunda división. Lo que sucede en la sala de ensayo se queda en la sala de ensayo.","“Gerçi, etti,” diye itiraf ettim, [MASK] da güldü. Aylar önce ayrılmıştık ama alt sınıfın aşk dünyasıyla ilgilenemediği için [MASK]’yu suçlamadım. Bando odasmda olan, bando odasmda kalır.","“Dù sao cũng đúng là như thế,” tôi thừa nhận, và [MASK] bật cười. Chuyện chia tay từ mấy tháng trước rồi, nhưng tôi không trách [MASK] đã không để ý đến kiểu chuyện tình nhạt nhẽo ấy. Những gì xảy ra trong phòng tập nhạc sẽ ở lại trong phòng tập nhạc."
['margo'],"[MASK] put her feet up on the dashboard and wiggled her toes to the cadence of her speaking. She always talked like that, with this discernible rhythm, like she was reciting poetry. “Right, well, I’m sorry to hear that. But I can relate. My lovely boyfriend of lo these many months is fucking my best friend.”","[MASK] había puesto los pies en el salpicadero y movía los dedos al ritmo de sus palabras. Siempre hablaba así, con ese perceptible ritmo, como si recitara poesía. —Vale, bueno, lo siento. Pero lo entiendo. El guapo de mi novio lleva meses follándose a mi mejor amiga.","[MASK], ayaklarım ön panelinin üstüne koydu ve konuşmasmm ahengine uygun olarak başparmaklarım kımıldattı. Hep bu şekilde, fark edilebilen bu ritimle konuşurdu, sanki bir şiiri ezberden okurmuş gibi. “Şey, peki, bunu duyduğuma üzüldüm. Ama gayet anlaşılır bir durum. Benim bunca aydır beraber olduğum sevimli erkek arkadaşım da işe bak ki en yakın arkadaşımı beceriyor.”","[MASK] gác bàn chân lên bảng điều khiển và ngúc ngoắc ngón chân theo tiết tấu giọng nói. Cô ấy luôn có kiểu nói chuyện như vậy, với nhịp điệu lên xuống rõ rệt, nghe như đang ngâm thơ. “Phải rồi, ừ nhỉ, tớ xin lỗi nhé. Nhưng tớ cũng có chuyện tương tự đấy. Anh chàng bạn trai đẹp mã từ ối chao là mấy tháng nay đang mần cô bạn thân nhất của tớ.”"
['margo'],"[MASK] tugged on my jeans leg; I looked down at her, and she was smiling goofily. I reached my hand down, helped her up, and then we raced back to the car. I was putting the key in the ignition when she said, “Let me see the picture.”","[MASK] tiró de la pierna de mis vaqueros. Miré hacia abajo y la vi sonriendo de oreja a oreja. Extendí la mano, la ayudé a levantarse y corrimos hacia el coche. Estaba metiendo la llave en el contacto cuando me dijo: —Déjame ver la foto.","[MASK] kot pantolonumun paçasını çekiştirdi; aşağı, ona baktım, şapşal şapşal gülüyordu. Elimi uzatıp kalkmasına yardım ettim, sonra tekrar arabaya doğru koştuk. [MASK], “Dur da fotoğrafa bir bakayım,” dediğinde anahtarı kontağa sokuyordum.","[MASK] níu lấy ống quần jeans của tôi, tôi cúi xuống và thấy cô ấy gập người cười như điên. Tôi đưa tay đỡ [MASK] đứng dậy, chúng tôi cùng chạy về xe. Tôi đang bật khóa khởi động xe thì cô ấy nói, “Cùng xem ảnh đi.”"
['margo'],"But it didn’t feel like fun; it felt like a heart attack. I pulled over into a 7-Eleven parking lot and held my finger to my jugular vein while watching the : in the digital clock blink every second. When I turned to [MASK], she was rolling her eyes at me. “My pulse is dangerously high,” I explained.","Pero no me parecía divertido. Lo que me parecía era que iba a darme un infarto. Entré en el aparcamiento de un 7-Eleven, me llevé un dedo a la yugular y controlé mis pulsaciones en el reloj digital que parpadeaba cada segundo. Cuando me giré hacia [MASK], la vi alzando los ojos al cielo. —Mi pulso está peligrosamente acelerado —le expliqué.","Ama eğlence gibi gelmiyordu, daha çok kalp krizi gibiydi. 7Eleveriın park alanına çektim ve dijital saatin saniyede bir yanıp sönen iki noktasını izleyerek parmağımı şah damarıma koydum. [MASK]’ya döndüğümde, bana gözlerini deviriyordu. “Nabzım tehlikeli derecede hızlı,” diye açıkladım.","Nhưng thực ra không giống cảm giác vui vẻ, mà giống một cơn đau tim hơn. Tôi tấp xe vào bãi đỗ của một cửa hàng 7-Eleven, đặt ngón tay lên chỗ động mạch cổ trong khi đếm thời gian bằng số lần dấu : nhá lên và tắt mỗi giây trên mặt đồng hồ điện tử. Khi quay sang, tôi thấy [MASK] đang tròn mắt nhìn mình. “Mạch của tớ nhanh một cách đáng ngại,” tôi giải thích."
['margo'],"“Okay,” I said, and felt my pulse rising. In through the nose, out through the mouth. In through the nose, out through the mouth. Catfish and spray paint in hand, [MASK] threw the door open, jogged across the Worthingtons’ expansive front lawn, and then hid behind an oak tree. She waved at me through the darkness, and I waved back, and then she took a dramatically deep breath, puffed her cheeks out, turned, and ran.","Y sentí que se me aceleraba el pulso. «Inspirar por la nariz, espirar por la boca. Inspirar por la nariz, espirar por la boca». Con el pescado y el espray en las manos, [MASK] abrió la puerta, corrió por el amplio césped de los Worthington y se escondió detrás de un roble. Me hizo un gesto con la mano en la oscuridad, se lo devolví y entonces respiró dramática y profundamente, sus mejillas se inflaron, se giró y echó a correr.","“Tamam,” dedim ve nabzımın hızlandığını hissettim. Burundan al, ağızdan ver. Burundan al, ağızdan ver. [MASK], elinde kedi balığı ve sprey boyayla kapıyı ardına kadar açıp Worthington’ların devasa çimenliğini koşarak geçti, sonra bir meşe ağacımn arkasına saklandı. Karanlığın içinden bana el salladı, ben de ona el salladım, sonra dramatik bir biçimde derin bir nefes alıp yanaklarım şişirdi, döndü ve koştu.","“Được rồi mà,” tôi đáp, cảm thấy mạch lại rộn lên. Hít vào đằng mũi, thở ra đằng miệng. Hít vào đằng mũi, thở ra đằng miệng. Tay cầm gói cá và bình xịt sơn, [MASK] mở cửa xe, từ từ đi bộ qua thảm cỏ mênh mông trước nhà Worthington, rồi nấp sau một cây sồi. Cô ấy vẫy vẫy tôi trong bóng tối, tôi vẫy lại, và [MASK] hít vào một hơi thật sâu, hai má phồng lên, quay đi và chạy."
['jase'],"“And she didn’t tell me about [MASK]. But not just that. When I look back on it, she’s just a terrible friend. I mean, for instance, do you think I’m fat?”","—Y no me contó lo de [MASK]. Pero no es solo eso. Pensándolo bien, es una pésima amiga. Por ejemplo, ¿crees que estoy gorda?","“Ve bana [MASK]’le ilgili hiçbir şey söylemedi. Ama sadece bu değil. Geri dönüp bakıyorum da tam anlamıyla berbat bir arkadaş. Yani, mesela, sence ben şişman mıyım?","“Thế mà nàng ấy chẳng nói gì về [MASK] cho tớ biết. Nhưng không chỉ có thế thôi đâu. Khi tổng kết lại, tớ thấy nàng ta là đồ bạn tồi. Chẳng hạn, cậu có cho là tớ béo không?”"
['margo'],"“Well, that makes it harder,” [MASK] said, seeing it was locked. She reached into her pocket and pulled out a length of wire that had once been a coat hanger. It took her less than a minute to jimmy the lock open. I was duly awed.","—Bueno, esto complica las cosas —dijo [MASK] al ver que estaba cerrado. Se metió una mano en el bolsillo y sacó un trozo de alambre que alguna vez había sido una percha. Tardó menos de un minuto en desbloquear la cerradura. Me quedé sorprendido, por supuesto.","“Şey, bu durumu daha da zorlaştırıyor,” dedi [MASK] arabanın kilitli olduğunu görünce. Cebine uzandı ve bir zamanlar elbise askısı olan bir parça tel çıkardı. Kilidi açması bir dakikadan daha az zamanını aldı. Hayran kaldım tabii ki.","“Chà, thế này sẽ khó hơn đây,” [MASK] nói khi thấy xe được khóa. Cô ấy tìm trong túi và lấy ra một đoạn dây kim loại từng là cái mắc áo. Chưa đầy một phút [MASK] đã mở được cửa xe. Tôi chỉ biết ngây ra thán phục."
['margo'],"“He was a senior when we were freshmen,” she answered. “We gotta hustle, okay? Time’s a-wastin’.” [MASK] started taking the stairs two at a time, flying up, one arm on the rail, and I tried to keep pace with her, but couldn’t. [MASK] didn’t play any sports, but she liked to run—I sometimes saw her running by herself listening to music in Jefferson Park. I, however, did not like to run. Or, for that matter, engage in any kind of physical exertion. But now I tried to keep up a steady pace, wiping the sweat off my forehead and ignoring the burning in my legs. When I got to the twenty-fifth floor, [MASK] was standing on the landing, waiting for me.","—Estaba en el último curso del instituto cuando nosotros íbamos a primero —me contestó—. Tenemos que darnos prisa, ¿vale? Se nos acaba el tiempo. [MASK] empezó a subir los escalones de dos en dos, a toda velocidad y con una mano en la barandilla, y yo intenté seguirle el paso, pero no podía. [MASK] no hacía deporte, pero le gustaba correr. De vez en cuando la veía en Jefferson Park corriendo sola con los cascos puestos. Pero a mí no me gustaba correr. Es más, no me gustaba hacer el más mínimo esfuerzo físico. Pero intenté mantener el paso firme, secarme el sudor de la frente e ignorar que me ardían las piernas. Cuando llegué a la planta veinticinco, [MASK] estaba esperándome en el descansillo.","“Biz birinci sınıftayken o son sınıftaydı,” diye cevap verdi. “Acele etmeliyiz, tamam mı? Vakit geçiyor.” [MASK] merdivenleri ikişer ikişer çıkmaya başladı, bir kolu tırabzanda yukarı doğru uçuyordu, ben de ona ayak uydurmaya çalıştım ama yapamadım. [MASK] herhangi bir spor yapmıyordu ama koşmayı severdi... Onu tek başına müzik dinleyerek Jefferson Park’ta koşarken birkaç kez görmüştüm. Ne var ki ben koşmayı ve hatta herhangi bir fiziksel eforla meşgul olmayı sevmiyordum. Ama şimdi, istikrarlı bir şekilde ona ayak uydurmaya çalışıyordum, almmdaki teri silerek ve bacaklarımdaki yanmayı görmezden gelerek. Yirmi beşinci kata ulaştığımda, [MASK] sahanlıkta durmuş beni bekliyordu.","“Hồi chúng ta vào phổ thông thì anh ấy học năm cuối,” [MASK] đáp. “Phải nhanh lên mới được. Thời gian hao mòn lãng phí.” Cô ấy bắt đầu bước hai bậc một, lao người lên, một tay bám tay vịn cầu thang, tôi cố sức theo mà không kịp. [MASK] không chơi môn thể thao nào nhưng thích chạy bộ–thỉnh thoảng tôi vẫn thấy cô ấy vừa chạy một mình vừa nghe nhạc trong Công viên Jefferson. Cơ mà tôi lại không thích chạy. Hoặc vì thế mà không tham gia bất cứ loại vận động lao lực nào. Giờ tôi cố gắng giữ tốc độ ổn định, quệt mồ hôi túa ra trán và phớt lờ cơn đau thốn trong bắp chân. Khi tôi lên đến tầng hai mươi lăm, [MASK] đã đứng ở chiếu nghỉ đợi tôi."
