en,en_results
"It’s unexpected, too fast. Barely a climb and I’m already dropping down, gasping for air. But it feels like an interrupted, half thing, and I don’t let myself catch my breath. I reach back, frantically grasping to undo his jeans.","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"“Quiet,” he orders, pinning my hands to the small of my back. “You need to give me a minute. I’m figuring this out.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"I force myself to relax. It’s obvious that, on average, the sex his people have and the sex of my people are different flavors. Just as it’s obvious that he and I inhabit some overlapping space. I would expect nothing less.","""title"": ""The Immortal Life of Henrietta Lacks"", ""author"": ""Rebecca Skloot"""
"I might, too. Very soon. Especially as he moves with experimental, shallow thrusts that hit everywhere inside me. I feel myself tighten in little flutters around him, and he stops. Then he bends over to whisper against my ear: “If you’re about to come, tell me. Because that will make me come, and I need to pull out or I might hurt you. Okay?” He sounds calm, even when his control is about to snap.","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"“Okay.” He presses another gentle, chaste kiss against my nape, and then draws out. The friction is delicious, and I arch back, making plaintive sounds as only the tip is left inside. When he pushes in again, a little deeper, I whimper. “Too much?”","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"He’s silent for heavy seconds. “Misery.” My name, again, but this time there’s a world of hurt behind the word, like I’m torturing him.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
“I’m sorry.” I give him a cursory look. Then another. Maybe taking care of someone else’s distress will alleviate mine. “Is there anything I can do?”,"""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Not that watching you hammering your way through the whole thing wouldn’t have been peak entertainment, but . . .” She falls silent and stops in her tracks. And so do I. We’re both stunned into immobility, because . . .","""title"": ""The Hound of the Baskervilles"", ""author"": ""Arthur Conan Doyle"""
"He looks away in what can only be confirmation, and my fists curl with fear and anger. You’re despicable, I want to say, I hate you. But he seems to be already filled with self-disgust.","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“Tell him,” I order. But he still doesn’t speak, and it feels like a slap to my face. My lungs seize, and suddenly I cannot breathe. “Tell him the truth,” I whisper to him.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Father is blindfolded, I assume to save some moron from wandering in and getting themselves thralled within an inch of their life. The headphones they put on him must be noise canceling, but he knows exactly who’s in the room, from heartbeats and blood scent alone. His enforcers are gone, and so is his power. For the first time in his adult life, he’s defenseless. I close my eyes and wait for feelings of any kind to hit me.","""title"": ""I Am Number Four"", ""author"": ""Pittacus Lore"""
"“So.” I reach up to clean my eyes, and can still smell the Vampyre blood under my fingernails. I should take a shower.","""title"": ""The Vampire Diaries"", ""author"": ""L.J. Smith"""
"But I can’t twist myself into not caring. There is a shrinking pull in my heart, and if I’m not being thrown out, I’m still being inched away. I have served my purpose, and—","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"I let out an impatient breath, then march to him, ready to attack. I only stop when I’m so close, he has to bend his neck to look me in the eye. “Why would I, though? So you can use my deepest wounds and what you know about my past to hurt me when you decide that you should push me away?”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"A moment later I feel an impression of immense pressure. He fills me slowly, thrusting languidly once, twice, until the swelling at the base of his cock is too big to slide back out. Then he’s shaking, grunting from deep inside him. I run my teeth down his neck, and he moans, cradling my face to his throat and my hips to his groin. The bulge of his knot grows larger and larger.","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"“I don’t know,” he repeats, hand coming up to push my sweaty strands back. “The way I feel, I can’t imagine that it won’t.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“Sorry,” he says, sheepish. I watch him make a concerted effort to retract them, amazed by his body. The way it feels inside mine. The things it can do. “I’m not as in control as I should be. It’s all really . . .”","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"Outside, the waves crash against the lakeshore. Lowe’s fingers wrap around my cheek. I feel the pleasure rise inside me once more, and I settle in for the long haul.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“About thirty minutes.” He leans over to trail open-mouthed kisses across the line of my shoulder. His hand curves around my ass as he murmurs into my ear, “You did so good, Misery. It can’t have been easy, but you took me so well. Like you were made for it.”","""title"": ""Misery's Return"", ""author"": ""Richard Laymon"""
"His look is withering, and I feel like laughing again. He and I. Together. The greatest thing of all time that never should have happened.","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
"I’m too busy feasting on his blood to tell him how much I can, how much I want it. I can show him, though. I suck harder at his gland and he groans and pounds into me so hard and so deep, for a moment neither of us can breathe.","""title"": ""Lust"", ""author"": ""Richard Matheson"""
