en,en_results
"Back in my room, I pull out my computer, wondering if I could pilfer a Wi-Fi chip off someone’s phone. I fuck around a bit, writing a flexible script to scour Were servers that I might never be able to use. Like always while coding, I lose track of time. When I look up from my keyboard, the moon is high, my room is dark, and a small, creepy creature stands in front of me. It’s wearing owl leggings with a chiffon tutu, and stares at me like the ghost of Christmas past.","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"They rarely touch. When they did, her wrist accidentally brushed against the front of his shirt, and he found himself tearing off the piece of fabric where her smell was most intense. He slipped it in his pocket, and now carries it everywhere.","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman"""
"There are sketches of rooms, offices, storefronts, piers, houses, bridges, stations. Large and small buildings, statues, domes, cabins. Some are just the outside, while others include inside layouts and furniture. Some have numbers and vectors scribbled in the margins, others colors woven through them. All of them are perfect.","""title"": ""The City &amp; The City"", ""author"": ""China Miéville"""
"My heart halts as I scramble to lift it up, expecting—no, sure— that I’ll find Serena’s smiling face on it. The pouty lips, upturned eyes, narrow nose, and pointed chin; they’re all so familiar to me that I think it must be her, because who else’s face would I know so well? It can only be Serena’s, or . . .","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell"""
"I dash down the stairs, then outside via the kitchen. The heat crashes into me like a wave, slowing me down as the sunlight stabs my skin like a million little shark teeth. Fuck, it hurts. It’s way too bright for me to be out.","""title"": ""The Passage"", ""author"": ""Justin Cronin"""
"“Do you, champ? Are you sure? Because your mother is out there, humiliated by what you just did and the company you’ve been keeping.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Ew.” I gasp, disgusted, but before I can—I don’t know, spit back?—Lowe’s hand presses against Max’s chest and pins him to the couch.","""title"": ""They Both Die at the End"", ""author"": ""Adam Silvera"""
"“Misery.” He clucks his tongue, chiding, and moves closer, like he knows I’m considering darting away. His heartbeat envelops me, steady, determined. “You set yourself up, because you’re bad at this.”","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"He sounds sincerely curious, and I wonder if maybe he has nothing to do with her disappearance. But maybe he does. Maybe he’s pretending. Maybe he didn’t know her name but hurt her anyway.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"“This is not a game, Misery.” They vibrate through my bones, his words. “This alliance is new and frail, and—”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas"""
"“I hope she is.” My heart twists. “If she isn’t, I still need to know what happened to her.” If I don’t, no one else will think of her again. No one else will even know her name aside from a handful of orphans who bullied her for being cross-eyed, colleagues who never got her sense of humor, people she dated but felt tepid about. It’s not acceptable. “She’d do the same for me.”","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides"""
"“Okay, maybe more than I am. But if we’re doing this, I need to know what’s in it for you, because I highly doubt you suddenly care about my random Human friend enough to help me find her.”","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"He’s good at staring, staring with those arctic eyes without saying anything, and I squirm in my chair, heated. How does this guy make someone with a basal temperature of ninety-four degrees and next to no sweat glands feel clammy?","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I want to ask him why I found a jar of creamy peanut butter in my fridge. If he’s the reason the house is now three degrees warmer than when I arrived. But I somehow can’t bring myself to, and then he’s the one to speak.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid"""
"Lowe’s hand closes around mine. Our wedding bands clink together as he lifts it from the table and sets it in my lap, his grip lingering for a second.","""title"": ""From Blood and Ash"", ""author"": ""Amelia Hutchins"""
"His lips twitch, but he makes his way to the spot I was pointing at, his large body folding next to mine, far enough to avoid accidental touches. “What do you even know about bouillabaisse?”","""title"": ""The City &amp; The City"", ""author"": ""China Miéville"""
"“A lot offensive, that my wife thinks that I’d take her with me into a highly volatile situation where I might not be able to protect her.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"“Okay. Fine.” I glance back at him—his earnest, stubborn, uncompromising face. In the fading moonlight, the lines of his cheekbones are ready to slice me. “You can’t do it on your own, though.”","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"“Architecture, right? I don’t fully get it. Buildings are kind of boring. I’m grateful they don’t fall on top of my head, though.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"We stare at each other like we’re playing a game and trying to make the other lose. “Want me to show you?” I’m trying to provoke him, but he just nods solemnly.","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"Lowe’s face doesn’t move a millimeter, but I know that I could fill a Babel tower of notebooks with how little he wants to have this conversation. “No way.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Hence, me asking you to explain.” Because I suspect that it’s not just the Were equivalent of marriage, or a civil union, or the steady commitment that comes with sharing monthly payments to multiple overpriced streaming services one forgot to discontinue.","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North"""
"He sighs and draws up his knees, hands clasped between them. A thought vibrates through me: right here, right now, I don’t feel particularly alone.","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North"""
"So long, I pry myself from the cold glass. “Ouch.” I’m stiff from not moving for hours, so I stretch my neck in the narrow cabin, trying to avoid accidentally pressing an ejector seat button. “Everything hurts.” When I straighten after arching my spine, the way he’s staring at me is too intense to not be judgmental. “What?” I ask, defensive.","""title"": ""The Illuminae Files"", ""author"": ""Amie Kaufman and Jay Kristoff"""
"I nearly moan. But at the last moment, I manage to swallow back inside my body the whimpery, throaty sound, and . . .","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Is this as weird for you as it is for me?” I ask, trying to make light of the flutters of pleasure in my stomach. Because this thing spreading like spilled water below my navel, it’s arousal, and it could explode into wildfire very fast. It makes me think of blood and touching and maybe fucking, and as things are happening to my body, I’m terrified that he’ll be able to smell them.","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller"""
"First a delicate bite on my earlobe. Then the swipe of his tongue at the base of my jaw. Last, right as I’m thinking that this is different from what I thought scenting would be, he moves to the bottom of my throat and sucks.","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"And I’m convinced that his mate would agree with me, but I’m not going to belabor the point. Even if I can’t imagine anyone refusing him. Even if I have developed an attraction toward him, and I’m not even his species.","""title"": ""From Blood and Ash"", ""author"": ""Amélie Wen Zhao"""
"He’s been picturing her during her baths. He’s been having filthy, unspeakable thoughts. He’s too tired to keep them at bay.","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn"""
“Misery. Misery.” He scoops my head deeper into his neck. Bucks against me in a way that feels not wholly voluntary. “Take all you need.”,"""title"": ""Misery"", ""author"": ""Stephen King"""
"He doesn’t say, but comes forward to show me, walking into me until I’m nestled between him and the counter, and . . . am I cornered, here? By a Were? A wolf, the stuff of bogeyman tales?","""title"": ""Shiver"", ""author"": ""Maggie Stiefvater"""
"“Here.” His hand swipes the tip of my nose. He holds his fingertip up to show me the small clump of peanut butter. I should be wondering how it got there to begin with. What I do, instead, is lean forward and lick it off Lowe’s thumb.","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell"""
"I contain every pair of opposing feelings as his eyes, pupils expanding in a way mine could never, fix on my mouth in an entranced, absent way.","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller"""
"He takes a small step back, barely an inch, and I almost cry with relief, or disappointment, or both. “Yeah,” he says, even though there’s no question to answer. It’s punctuation—he’s leaving. He’s about to.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"He stops. Doesn’t even ask me why I’m keeping him here, tethered to me. He knows. The atmosphere between us is too awkward and rich and lush for him not to know.","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"“Do you—” he starts, with a small, abortive, uncharacteristically insecure gesture of his hand, just as I say, “When did—”","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"The mere act of breathing is an ordeal. My stomach hurts like it’s about to digest itself, bruised from the inside out by a thousand wild creatures who are having way too much fun carving their name in its lining with a rusty knife. There are several moments—and then a single one, long, protracted—when I’m sure, just sure, that this is the end. No living being can sustain this level of torment, and I’m going to die.","""title"": ""The Girl with All the Gifts"", ""author"": ""M.R. Carey"""
"I know him. The Collateral’s official physician. With diplomatic passage into Human territory, where he’d give me annual checkups to ensure that I remained healthy enough to . . . be killed if the alliance dissolved, I guess? His duties must have expanded, which is a shame, because he looks as ancient now as he did when I was ten. Except that there’s something weird about him. Is he experimenting with facial hair?","""title"": ""The Collapsing Empire"", ""author"": ""John Scalzi"""
"“I guess I expected your fur would be dark. Because your hair is.” I let him prod me toward the bed. “Yes, I’m going back to sleep. I feel like total shit, but not the bed, please. The closet.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover"""
"I don’t think she had a plan—not even a contrived, improbable one only for show. And I don’t know how we would have rescued—abducted?—the child if he’d asked us to whisk him away. Where would we have kept him? How would we have protected him?","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"I get it now, though. In the fuzzy, yellow light filtering into my closet and splattering over the walls, in the worn-out ache that has nested in my bones—I get her anger now. Something within me must have changed, but I still feel like a fairly accurate version of myself: exhausted, but furious. Above all, glad to be alive. Because I have something to do. Something I care for. People I want to keep safe.","""title"": ""The Hate U Give"", ""author"": ""Angie Thomas"""
"“Yeah.” There is a microcosm in the way he says the word. I want to explore it, but I’m distracted by the slight twitch in his fingers. Like he’s actively stopping himself from reaching out.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid"""
"“You looked cold in your jumpsuit.” He sucks at the same spot on my neck that he fixated on back at Emery’s, on the tarmac. “You looked so lovely, and so determined, and so fucking lonely.”","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid"""
"It doesn’t immediately work. My nose bumps against his, I cock my head a little too quickly, my hands glide off the slippery edge of the tub. “Misery,” he murmurs against the corner of my mouth, when his lips somehow end up there, sounding more delighted than dismayed by my lack of skills.","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"My brother studies my bare shoulders, the wet-T-shirt-contest condition Lowe’s chest appears to be in, the flush on both our cheeks, and says, “You two really are fucking, huh.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“What did I— Oh.” This is weird. “You know that I didn’t ingest that poison voluntarily to protect her, right? I just happen to be disgracefully into peanuts.”","""title"": ""One of Us Is Lying"", ""author"": ""Karen M. McManus"""
"“Please,” he says, soft, hungry, and I sink my teeth into his vein. The wait for his blood to hit my tongue lasts long enough for thousands of civilizations to collapse. Then his flavor floods my mouth, and I forget about everything that is not us.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"I admire his beautiful form, the corded strength of his body. I could bite him anywhere and would find nourishment. Sip from his round biceps, the V on his stomach, the hill of his lats.","""title"": ""The Passage"", ""author"": ""Anon"
"“Nice. Very. I am profoundly obsessed with these.” I feel hot air against my skin, and realize he’s talking about my ears. “Are they sensitive?”","""title"": ""The City &amp; The City"", ""author"": ""China Miéville"""
"“We don’t need to,” he says, pushing up my shirt. This time his bite is on the side of my breast. His tongue circles around my nipple before pressing flat against it. Then he sucks, mouth wet and electrifying.","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"“You’re going to smell like this,” he murmurs against my lips. “It’s happened already, and you weren’t even in the fucking room.” It? “And I’m not going to be able to stop myself from wanting to finish.”","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"With a hand on the back of my head, he guides my face into his neck. “We can.” He kicks his jeans away, and it’s just his skin, hot against mine, the rough hairs on his arms and legs subtly foreign. I slip my shin between his knees and let my hand roam, curious, eager to explore. He is gloriously different, and while I’m not one to admire beauty, I cannot stop thinking that I like him: the way he looks, the way he feels, the way he likes me. The slight tremble in his fingers as they settle on my waist, the muscles of his body tightening with patient anticipation.","""title"": ""Anna and the French Kiss"", ""author"": ""Stephanie Perkins"""
"He is hard, but also soft, and doesn’t want much. He guides my hand up and down once, once more, and beyond that, he has no instructions for me. My touch appears to be enough, just like the rest of me.","""title"": ""The Stranger"", ""author"": ""Albert Camus"""
"Whatever he needs, I want the same. One of his thighs wedges between mine, and I rub myself against it, vaguely embarrassed at the lewd, rhythmic sounds the contact makes, at the mess I’m making on him. But it feels good, too good to stop and good enough to forget, and then even better when his hand kneads my breasts, moves to the small of my back to cant my hips, positioning me so that yes—there, “There.” I hum the word into his neck, around mouthfuls of blood. I’m shameless and dizzy and briefly happy, grinding and searching for pleasure like it’s something he has in store for me—not if, just when. I take one last drag, and swallow, and then ask, “Is this good?”","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney"""
"Lowe’s eyes stare unseeing into mine, and the fact that he seems too awestruck to be able to speak, the choppy, uncoordinated way he tries to nod his pleasure, that’s what pushes me over.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"It’s beautiful, I think. Not just the pleasure, but sharing it with someone else, someone I care about and maybe love a little bit, as much as I’m able.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
He’s saying my name like a prayer. Like I’m the one thing standing between him and heaven on Earth. And that’s when I understand what he meant.,"""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell"""
“How did the tampering occur? Was it software? Hardware? Did they paintball the lens or trip the circuit breaker or cut the data cable?”,"""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"“And anyway,” he continues like he didn’t hear me, “his prominent position could be in my favor. Lots of councilmembers are dissatisfied with the way he’s been seizing power.”","""title"": ""The Name of the Wind"", ""author"": ""Patrick Rothfuss"""
"Owen’s eyes harden. “Three months ago, Misery. I’ve been working on this plan since I discovered that my father was considering sending my sister into enemy territory. Again.” He bares his fangs, and his tone is uncharacteristically earnest. “I could do nothing when we were children. I could do nothing when you returned, because I was too much of a coward to take a stand. I cannot do anything now, but I am determined to try.” His gaze fixes mine for a long moment, and he picks up in English again. “I want to be the one negotiating the next set of alliances. I want all Collateral systems gone. I want to stop enforcing artificial border lines, or holding on to disputed territories out of spite. I want to turn this place into something that’s not a powder keg.”","""title"": ""From Blood and Ash"", ""author"": ""Amélie Wen Zhao"""
"It’s unexpected, too fast. Barely a climb and I’m already dropping down, gasping for air. But it feels like an interrupted, half thing, and I don’t let myself catch my breath. I reach back, frantically grasping to undo his jeans.","""title"": ""The Sea of Tranquility"", ""author"": ""Katja Millay"""
"“Quiet,” he orders, pinning my hands to the small of my back. “You need to give me a minute. I’m figuring this out.”","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"I force myself to relax. It’s obvious that, on average, the sex his people have and the sex of my people are different flavors. Just as it’s obvious that he and I inhabit some overlapping space. I would expect nothing less.","""title"": ""Ancillary Justice"", ""author"": ""Ann Leckie"""
"I might, too. Very soon. Especially as he moves with experimental, shallow thrusts that hit everywhere inside me. I feel myself tighten in little flutters around him, and he stops. Then he bends over to whisper against my ear: “If you’re about to come, tell me. Because that will make me come, and I need to pull out or I might hurt you. Okay?” He sounds calm, even when his control is about to snap.","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"“Okay.” He presses another gentle, chaste kiss against my nape, and then draws out. The friction is delicious, and I arch back, making plaintive sounds as only the tip is left inside. When he pushes in again, a little deeper, I whimper. “Too much?”","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"He’s silent for heavy seconds. “Misery.” My name, again, but this time there’s a world of hurt behind the word, like I’m torturing him.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
“I’m sorry.” I give him a cursory look. Then another. Maybe taking care of someone else’s distress will alleviate mine. “Is there anything I can do?”,"""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"“Not that watching you hammering your way through the whole thing wouldn’t have been peak entertainment, but . . .” She falls silent and stops in her tracks. And so do I. We’re both stunned into immobility, because . . .","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"He looks away in what can only be confirmation, and my fists curl with fear and anger. You’re despicable, I want to say, I hate you. But he seems to be already filled with self-disgust.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Tell him,” I order. But he still doesn’t speak, and it feels like a slap to my face. My lungs seize, and suddenly I cannot breathe. “Tell him the truth,” I whisper to him.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"""
"Father is blindfolded, I assume to save some moron from wandering in and getting themselves thralled within an inch of their life. The headphones they put on him must be noise canceling, but he knows exactly who’s in the room, from heartbeats and blood scent alone. His enforcers are gone, and so is his power. For the first time in his adult life, he’s defenseless. I close my eyes and wait for feelings of any kind to hit me.","""title"": ""From Blood and Ash"", ""author"": ""Amelia Hutchins"""
"“So.” I reach up to clean my eyes, and can still smell the Vampyre blood under my fingernails. I should take a shower.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"But I can’t twist myself into not caring. There is a shrinking pull in my heart, and if I’m not being thrown out, I’m still being inched away. I have served my purpose, and—","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller"""
"I let out an impatient breath, then march to him, ready to attack. I only stop when I’m so close, he has to bend his neck to look me in the eye. “Why would I, though? So you can use my deepest wounds and what you know about my past to hurt me when you decide that you should push me away?”","""title"": ""From Blood and Ash"", ""author"": ""Amelia Hutchins"""
"A moment later I feel an impression of immense pressure. He fills me slowly, thrusting languidly once, twice, until the swelling at the base of his cock is too big to slide back out. Then he’s shaking, grunting from deep inside him. I run my teeth down his neck, and he moans, cradling my face to his throat and my hips to his groin. The bulge of his knot grows larger and larger.","""title"": ""Master of the House of Duras"", ""author"": ""Anne Rice"""
"“I don’t know,” he repeats, hand coming up to push my sweaty strands back. “The way I feel, I can’t imagine that it won’t.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“Sorry,” he says, sheepish. I watch him make a concerted effort to retract them, amazed by his body. The way it feels inside mine. The things it can do. “I’m not as in control as I should be. It’s all really . . .”","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"Outside, the waves crash against the lakeshore. Lowe’s fingers wrap around my cheek. I feel the pleasure rise inside me once more, and I settle in for the long haul.","""title"": ""The All Souls Trilogy"", ""author"": ""Alicia Erian"""
"“About thirty minutes.” He leans over to trail open-mouthed kisses across the line of my shoulder. His hand curves around my ass as he murmurs into my ear, “You did so good, Misery. It can’t have been easy, but you took me so well. Like you were made for it.”","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"His look is withering, and I feel like laughing again. He and I. Together. The greatest thing of all time that never should have happened.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I’m too busy feasting on his blood to tell him how much I can, how much I want it. I can show him, though. I suck harder at his gland and he groans and pounds into me so hard and so deep, for a moment neither of us can breathe.","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
