Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",jack,0,0.44,incorrect,orunmila,0,0.29,incorrect,jack,0,0.44,incorrect,adam,0,0.4,incorrect,jack and the beanstalk,0,0.22,incorrect,jo,0,0.0,incorrect,alice,1,1.0,correct,goldilocks,0,0.4,incorrect,alice,1,1.0,correct,cakiltas,0,0.43,incorrect,bach tuyet,0,0.4,incorrect,ngay,0,0.22,incorrect,alicia,1,1.0,correct,yolanda,0,0.31,incorrect,goldilocks,0,0.4,incorrect,cakiltas,0,0.43,incorrect,ngay,0,0.22,incorrect,yolanda,0,0.31,incorrect
"['alicia', 'alice']",job,0,0.0,incorrect,omo aja,0,0.31,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,tom,0,0.0,incorrect,david,0,0.4,incorrect,alice,1,1.0,correct,charlotte,0,0.43,incorrect,kopek,0,0.2,incorrect,koca,0,0.4,incorrect,co,0,0.29,incorrect,cho,0,0.25,incorrect,alice,1,1.0,correct,la perrita,0,0.38,incorrect,charlotte,0,0.43,incorrect,koca,0,0.4,incorrect,cho,0,0.25,incorrect,la perrita,0,0.38,incorrect
"['alicia', 'alice']",samuel,0,0.36,incorrect,orunmila,0,0.29,incorrect,abel,0,0.44,incorrect,adam,0,0.4,incorrect,seeta,0,0.2,incorrect,andriamanitra,0,0.42,incorrect,her,0,0.25,incorrect,sound,0,0.0,incorrect,ali,0,0.75,correct,kopek,0,0.2,incorrect,co,0,0.29,incorrect,cho,0,0.25,incorrect,el perro,0,0.31,incorrect,perro,0,0.2,incorrect,sound,0,0.0,incorrect,kopek,0,0.2,incorrect,cho,0,0.25,incorrect,perro,0,0.2,incorrect
"['alicia', 'alice']",jack,0,0.44,incorrect,olu,0,0.25,incorrect,adam,0,0.4,incorrect,adam,0,0.4,incorrect,elephant,0,0.31,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,she,0,0.25,incorrect,karaca,0,0.5,incorrect,asil,0,0.44,incorrect,co,0,0.29,incorrect,co,0,0.29,incorrect,alicia,1,1.0,correct,arbol,0,0.4,incorrect,she,0,0.25,incorrect,asil,0,0.44,incorrect,co,0,0.29,incorrect,arbol,0,0.4,incorrect
"['alicia', 'alice']",mohau,0,0.2,incorrect,olodumare,0,0.29,incorrect,mother,0,0.18,incorrect,te manahine,0,0.38,incorrect,god,0,0.0,incorrect,andriantomponilolona,0,0.31,incorrect,alice,1,1.0,correct,god,0,0.0,incorrect,bay ivan ivanovic,0,0.35,incorrect,yusuf,0,0.0,incorrect,chi,0,0.44,incorrect,to huu,0,0.0,incorrect,nina,0,0.4,incorrect,yo,0,0.0,incorrect,god,0,0.0,incorrect,yusuf,0,0.0,incorrect,to huu,0,0.0,incorrect,yo,0,0.0,incorrect
"['alicia', 'alice']",caterpillar,0,0.35,incorrect,caterpillar,0,0.35,incorrect,samson,0,0.18,incorrect,robinson crusoe,0,0.3,incorrect,katerpillar,0,0.35,incorrect,andriamanitra,0,0.42,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,agackakan,0,0.4,incorrect,tirtil,0,0.33,incorrect,sau buom,0,0.15,incorrect,chua,0,0.4,incorrect,alicia,1,1.0,correct,oruga,0,0.2,incorrect,alice,1,1.0,correct,tirtil,0,0.33,incorrect,chua,0,0.4,incorrect,oruga,0,0.2,incorrect
"['alicia', 'alice']",jack,0,0.44,incorrect,olu,0,0.25,incorrect,jesus,0,0.2,incorrect,teina,0,0.36,incorrect,albert einstein,0,0.4,incorrect,jesus,0,0.2,incorrect,alice,1,1.0,correct,earth,0,0.2,incorrect,ali,0,0.75,correct,yusyuvarlak,0,0.35,incorrect,co,0,0.29,incorrect,trai dat,0,0.43,incorrect,alicia,1,1.0,correct,agarico,0,0.5,incorrect,earth,0,0.2,incorrect,yusyuvarlak,0,0.35,incorrect,trai dat,0,0.43,incorrect,agarico,0,0.5,incorrect
"['alicia', 'alice']",morena,0,0.18,incorrect,oliver twist,0,0.35,incorrect,god,0,0.0,incorrect,te manahine,0,0.38,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,yesilcam,0,0.43,incorrect,gittigi,0,0.31,incorrect,nguoi,0,0.2,incorrect,thach sanh,0,0.38,incorrect,alicia,1,1.0,correct,arbol,0,0.4,incorrect,emily,0,0.2,incorrect,gittigi,0,0.31,incorrect,thach sanh,0,0.38,incorrect,arbol,0,0.4,incorrect
"['alicia', 'alice']",moshoeshoe,0,0.13,incorrect,olodumare,0,0.29,incorrect,mother,0,0.18,incorrect,god,0,0.0,incorrect,lord baden powell,0,0.18,incorrect,razafintsalama,0,0.3,incorrect,alice,1,1.0,correct,adam,0,0.4,incorrect,pinokyo,0,0.17,incorrect,inci,0,0.6,incorrect,co,0,0.29,incorrect,tat,0,0.25,incorrect,pinocchio,0,0.4,incorrect,serpientes,0,0.27,incorrect,adam,0,0.4,incorrect,inci,0,0.6,incorrect,tat,0,0.25,incorrect,serpientes,0,0.27,incorrect
"['alicia', 'alice']",god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,lord krishna,0,0.33,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,samuel butler,0,0.33,incorrect,ali,0,0.75,correct,hos,0,0.0,incorrect,chu meo,0,0.33,incorrect,duc,0,0.25,incorrect,sancho,0,0.36,incorrect,dios,0,0.22,incorrect,samuel butler,0,0.33,incorrect,hos,0,0.0,incorrect,duc,0,0.25,incorrect,dios,0,0.22,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,orunmila,0,0.29,incorrect,boammaaruri,0,0.25,incorrect,moana,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,goldilocks,0,0.4,incorrect,she,0,0.25,incorrect,inci,0,0.6,incorrect,ataturk,0,0.31,incorrect,chi,0,0.44,incorrect,trong,0,0.0,incorrect,el,0,0.29,incorrect,esto,0,0.22,incorrect,she,0,0.25,incorrect,ataturk,0,0.31,incorrect,trong,0,0.0,incorrect,esto,0,0.22,incorrect
"['alicia', 'alice']",samuel,0,0.36,incorrect,olodumare,0,0.29,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,ram,0,0.25,incorrect,jesus,0,0.2,incorrect,she,0,0.25,incorrect,he,0,0.29,incorrect,ali,0,0.75,correct,kapiyi,0,0.5,incorrect,co,0,0.29,incorrect,thach sanh,0,0.38,incorrect,la mujer,0,0.31,incorrect,maria,0,0.55,incorrect,he,0,0.29,incorrect,kapiyi,0,0.5,incorrect,thach sanh,0,0.38,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",morena,0,0.18,incorrect,ologbo,0,0.18,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,lord rama,0,0.27,incorrect,andriana,0,0.43,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,bayan,0,0.36,incorrect,duses,0,0.2,incorrect,chau,0,0.4,incorrect,chau,0,0.4,incorrect,la nina,0,0.46,incorrect,ella,0,0.4,incorrect,emily,0,0.2,incorrect,duses,0,0.2,incorrect,chau,0,0.4,incorrect,ella,0,0.4,incorrect
"['alicia', 'alice']",thabo,0,0.2,incorrect,olodumare,0,0.29,incorrect,galileo galilei,0,0.4,incorrect,jesus,0,0.2,incorrect,galileo,0,0.67,incorrect,galileo,0,0.67,incorrect,alice,1,1.0,correct,earth,0,0.2,incorrect,galileo,0,0.67,incorrect,saat,0,0.4,incorrect,ba,0,0.29,incorrect,the,0,0.25,incorrect,isa,0,0.44,incorrect,europa,0,0.18,incorrect,earth,0,0.2,incorrect,saat,0,0.4,incorrect,the,0,0.25,incorrect,europa,0,0.18,incorrect
"['alicia', 'alice']",queen of sheba,0,0.11,incorrect,olajuwon,0,0.29,incorrect,god,0,0.0,incorrect,te po,0,0.2,incorrect,misej ddbldde,0,0.22,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,martha,0,0.33,incorrect,asci,0,0.6,incorrect,asci,0,0.6,incorrect,nu cong tuoc,0,0.12,incorrect,nu,0,0.0,incorrect,el,0,0.29,incorrect,maria,0,0.55,incorrect,martha,0,0.33,incorrect,asci,0,0.6,incorrect,nu,0,0.0,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",god,0,0.0,incorrect,ore,0,0.25,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,gopal,0,0.4,incorrect,mark twain,0,0.27,incorrect,alice,1,1.0,correct,it,0,0.29,incorrect,calikusu,0,0.46,incorrect,bebe,0,0.22,incorrect,toi,0,0.25,incorrect,chua,0,0.4,incorrect,ella,0,0.4,incorrect,frankenstein,0,0.24,incorrect,it,0,0.29,incorrect,bebe,0,0.22,incorrect,chua,0,0.4,incorrect,frankenstein,0,0.24,incorrect
"['alicia', 'alice']",moshanyana,0,0.25,incorrect,omo,0,0.0,incorrect,ngwana,0,0.33,incorrect,jehovah,0,0.17,incorrect,robi,0,0.22,incorrect,zazakely,0,0.31,incorrect,she,0,0.25,incorrect,pinocchio,0,0.4,incorrect,bebek,0,0.2,incorrect,dogrusu,0,0.0,incorrect,nguoi me,0,0.31,incorrect,tre,0,0.25,incorrect,ella,0,0.4,incorrect,el bebe,0,0.33,incorrect,pinocchio,0,0.4,incorrect,dogrusu,0,0.0,incorrect,tre,0,0.25,incorrect,el bebe,0,0.33,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,ololufe,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,robi,0,0.22,incorrect,god,0,0.0,incorrect,cinderella,0,0.38,incorrect,god,0,0.0,incorrect,domuz,0,0.0,incorrect,sekerim,0,0.17,incorrect,chu em,0,0.36,incorrect,hieu,0,0.44,incorrect,mama,0,0.4,incorrect,dios,0,0.22,incorrect,god,0,0.0,incorrect,sekerim,0,0.17,incorrect,hieu,0,0.44,incorrect,dios,0,0.22,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,opolopo,0,0.17,incorrect,jesus,0,0.2,incorrect,noah,0,0.22,incorrect,jesus,0,0.2,incorrect,herodote,0,0.15,incorrect,alice,1,1.0,correct,corner,0,0.36,incorrect,ali,0,0.75,correct,adamlar,0,0.46,incorrect,co be lo lem,0,0.24,incorrect,tho,0,0.0,incorrect,ella,0,0.4,incorrect,mesa,0,0.22,incorrect,corner,0,0.36,incorrect,adamlar,0,0.46,incorrect,tho,0,0.0,incorrect,mesa,0,0.22,incorrect
"['alicia', 'alice']",thabo,0,0.2,incorrect,olodumare,0,0.29,incorrect,jesus,0,0.2,incorrect,te mana'o,0,0.27,incorrect,mainaa,0,0.5,incorrect,god,0,0.0,incorrect,alice,1,1.0,correct,she,0,0.25,incorrect,ali,0,0.75,correct,sesle,0,0.4,incorrect,nguoi,0,0.2,incorrect,do,0,0.0,incorrect,alfredo,0,0.5,incorrect,ninos,0,0.2,incorrect,she,0,0.25,incorrect,sesle,0,0.4,incorrect,do,0,0.0,incorrect,ninos,0,0.2,incorrect
"['alicia', 'alice']",samson,0,0.18,incorrect,orunmila,0,0.29,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,siitaa,0,0.5,incorrect,albert einstein,0,0.4,incorrect,she,0,0.25,incorrect,she,0,0.25,incorrect,odysseus,0,0.15,incorrect,sekilde,0,0.33,incorrect,nguoi dan ong,0,0.21,incorrect,tho,0,0.0,incorrect,la nina,0,0.46,incorrect,salomon,0,0.33,incorrect,she,0,0.25,incorrect,sekilde,0,0.33,incorrect,tho,0,0.0,incorrect,salomon,0,0.33,incorrect
"['alicia', 'alice']",adam,0,0.4,incorrect,orunmila,0,0.29,incorrect,jesus,0,0.2,incorrect,noah,0,0.22,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,ali,0,0.75,correct,inci,0,0.6,incorrect,em,0,0.29,incorrect,phai,0,0.44,incorrect,platon,0,0.33,incorrect,?quien,0,0.36,incorrect,emily,0,0.2,incorrect,inci,0,0.6,incorrect,phai,0,0.44,incorrect,?quien,0,0.36,incorrect
"['alicia', 'alice']",moses,0,0.2,incorrect,orunmila,0,0.29,incorrect,jesus,0,0.2,incorrect,noa,0,0.25,incorrect,lord,0,0.22,incorrect,adam,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,bayan,0,0.36,incorrect,irlanda,0,0.31,incorrect,duc,0,0.25,incorrect,thach sanh,0,0.38,incorrect,gertrudis,0,0.14,incorrect,nino,0,0.22,incorrect,alice,1,1.0,correct,irlanda,0,0.31,incorrect,thach sanh,0,0.38,incorrect,nino,0,0.22,incorrect
"['alicia', 'alice']",god,0,0.0,incorrect,orunmila,0,0.29,incorrect,jesus,0,0.2,incorrect,adam,0,0.4,incorrect,julius,0,0.36,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,queen,0,0.2,incorrect,aslan,0,0.55,incorrect,ataturk,0,0.31,incorrect,co,0,0.29,incorrect,chang,0,0.36,incorrect,alicia,1,1.0,correct,europa,0,0.18,incorrect,queen,0,0.2,incorrect,ataturk,0,0.31,incorrect,chang,0,0.36,incorrect,europa,0,0.18,incorrect
"['alicia', 'alice']",mohau,0,0.2,incorrect,david,0,0.4,incorrect,moses,0,0.2,incorrect,te manahiri,0,0.35,incorrect,ram,0,0.25,incorrect,jesus,0,0.2,incorrect,the queen of hearts,0,0.08,incorrect,king,0,0.22,incorrect,mustafa kemal ataturk,0,0.22,incorrect,alay,0,0.6,incorrect,co,0,0.29,incorrect,dong,0,0.0,incorrect,el rey,0,0.36,incorrect,alvarez,0,0.5,incorrect,king,0,0.22,incorrect,alay,0,0.6,incorrect,dong,0,0.0,incorrect,alvarez,0,0.5,incorrect
"['alicia', 'alice']",hedgehog,0,0.15,incorrect,flamingo,0,0.31,incorrect,david attenborough,0,0.26,incorrect,te fenua,0,0.15,incorrect,flamingo,0,0.31,incorrect,flamingo,0,0.31,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,cehov,0,0.4,incorrect,kirpi,0,0.36,incorrect,co,0,0.29,incorrect,duc,0,0.25,incorrect,ella,0,0.4,incorrect,erizo,0,0.2,incorrect,alice,1,1.0,correct,kirpi,0,0.36,incorrect,duc,0,0.25,incorrect,erizo,0,0.2,incorrect
"['alicia', 'alice']",king solomon,0,0.12,incorrect,olodumare,0,0.29,incorrect,adam,0,0.4,incorrect,adam,0,0.4,incorrect,albert einstein,0,0.4,incorrect,andriamanitra,0,0.42,incorrect,she,0,0.25,incorrect,god,0,0.0,incorrect,o,0,0.0,incorrect,tanri,0,0.4,incorrect,minh,0,0.22,incorrect,thach sanh,0,0.38,incorrect,ella,0,0.4,incorrect,mujer,0,0.2,incorrect,god,0,0.0,incorrect,tanri,0,0.4,incorrect,thach sanh,0,0.38,incorrect,mujer,0,0.2,incorrect
"['alicia', 'alice']",god,0,0.0,incorrect,orunmila,0,0.29,incorrect,jesus,0,0.2,incorrect,adam,0,0.4,incorrect,ram,0,0.25,incorrect,noah,0,0.22,incorrect,emma,0,0.22,incorrect,mill,0,0.22,incorrect,ali,0,0.75,correct,annem,0,0.4,incorrect,ho,0,0.0,incorrect,thi,0,0.25,incorrect,el,0,0.29,incorrect,maria,0,0.55,incorrect,mill,0,0.22,incorrect,annem,0,0.4,incorrect,thi,0,0.25,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,olodumare,0,0.29,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,john,0,0.0,incorrect,god,0,0.0,incorrect,charlie,0,0.67,incorrect,school,0,0.18,incorrect,colak,0,0.36,incorrect,nasreddin hoca,0,0.4,incorrect,nu cong tuoc,0,0.12,incorrect,nu mac,0,0.36,incorrect,el,0,0.29,incorrect,adan,0,0.4,incorrect,school,0,0.18,incorrect,nasreddin hoca,0,0.4,incorrect,nu mac,0,0.36,incorrect,adan,0,0.4,incorrect
"['alice ejder', 'alicia', 'alice', 'ejder']",job,0,0.25,incorrect,jesus,0,0.4,incorrect,job,0,0.25,incorrect,te mana'o,0,0.27,incorrect,maan,0,0.4,incorrect,job,0,0.25,incorrect,alice,1,1.0,correct,mother,0,0.36,incorrect,ali,0,0.75,correct,ataturk,0,0.31,incorrect,chuot,0,0.2,incorrect,the,0,0.25,incorrect,sancho panza,0,0.33,incorrect,dios,0,0.22,incorrect,mother,0,0.36,incorrect,ataturk,0,0.31,incorrect,the,0,0.25,incorrect,dios,0,0.22,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,oliver twist,0,0.35,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,albert einstein,0,0.4,incorrect,job,0,0.0,incorrect,she,0,0.25,incorrect,god,0,0.0,incorrect,bayram,0,0.33,incorrect,kimse,0,0.4,incorrect,duc vua,0,0.31,incorrect,thay,0,0.22,incorrect,el,0,0.29,incorrect,el,0,0.29,incorrect,god,0,0.0,incorrect,kimse,0,0.4,incorrect,thay,0,0.22,incorrect,el,0,0.29,incorrect
"['alicia', 'alice']",lewis carroll,0,0.42,incorrect,crab,0,0.4,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,ham,0,0.25,incorrect,jonah,0,0.2,incorrect,alice,1,1.0,correct,red,0,0.25,incorrect,kadrili,0,0.5,incorrect,kadrili,0,0.5,incorrect,vu,0,0.0,incorrect,vu,0,0.0,incorrect,gregorio,0,0.15,incorrect,langosta,0,0.29,incorrect,red,0,0.25,incorrect,kadrili,0,0.5,incorrect,vu,0,0.0,incorrect,langosta,0,0.29,incorrect
"['alic', 'alice', 'alicia']",mock turtle,0,0.25,incorrect,griffin,0,0.31,incorrect,sora,0,0.25,incorrect,mock turtle,0,0.25,incorrect,tortoise,0,0.31,incorrect,mockingbird,0,0.24,incorrect,her,0,0.25,incorrect,turtle,0,0.36,incorrect,yalanci kaplumbaga,0,0.42,incorrect,kaplumbaga,0,0.38,incorrect,co,0,0.33,incorrect,the,0,0.25,incorrect,la falsa tortuga,0,0.27,incorrect,tortuga,0,0.18,incorrect,turtle,0,0.36,incorrect,kaplumbaga,0,0.38,incorrect,the,0,0.25,incorrect,tortuga,0,0.18,incorrect
"['alicia', 'alice']",samuel,0,0.36,incorrect,whiting,0,0.31,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,john lennon,0,0.25,incorrect,andriantsitohaina,0,0.35,incorrect,gracie,0,0.55,incorrect,porpoise,0,0.31,incorrect,orhan gencebay,0,0.32,incorrect,domuzbaligi,0,0.47,incorrect,ca heo,0,0.36,incorrect,xam,0,0.25,incorrect,homero,0,0.18,incorrect,homero,0,0.18,incorrect,porpoise,0,0.31,incorrect,domuzbaligi,0,0.47,incorrect,xam,0,0.25,incorrect,homero,0,0.18,incorrect
"['alicia', 'alice']",feela,0,0.36,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect,abraham lincoln,0,0.4,incorrect,lord rama,0,0.27,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,kafka,0,0.36,incorrect,tam,0,0.25,incorrect,ngoc,0,0.22,incorrect,ngoc,0,0.22,incorrect,alicia,1,1.0,correct,al,0,0.57,incorrect,emily,0,0.2,incorrect,tam,0,0.25,incorrect,ngoc,0,0.22,incorrect,al,0,0.57,incorrect
