line_no,en,vi,tr,es
10,"As she drove, Mom was asking me about classes and finals and prom.","Vừa lái xe mẹ vừa hỏi tôi về trường lớp, thi cử và dạ hội tốt nghiệp.","Annem arabayı sürerken bana dersler, finaller ve baloyla ilgili sorular sordu.","Mientras conducía, mi madre me preguntaba por las clases, los exámenes y el baile de graduación."
11,"“I don’t believe in prom,” I reminded her as she rounded a corner.","“Con có bao giờ khoái dạ hội đâu mẹ,” tôi nói trong khi mẹ rẽ ở một góc phố.","“Baloya inanmıyorum,” diye hatırlattım, bir köşeyi dönerken.",—No creo en los bailes de graduación —le recordé mientras giraba en una esquina.
12,I expertly angled my raisin bran to accommodate the g-forces.,"Lập tức, tôi điệu nghệ trở nghiêng món ngũ cốc cho cân bằng với trọng lực.","G kuvvetine uyum sağlamak için, kahvaltılık gevreğimin açısını ustalıkla ayarladım.",Incliné hábilmente mis cereales para ajustarlos a la fuerza de gravedad.
13,I’d done this before.,Trò này tôi diễn nhiều rồi.,Bunu daha önce de yapmıştım.,No era la primera vez que lo hacía.
14,"“Well, there’s no harm in just going with a friend.","“Ờ, đi cùng một người bạn thì có sao đâu con. Chắc chắn con có thể mời Cassie Hiney mà.”",“Bir arkadaşla gitmenin bir zaran olmaz.,"—Bueno, no hay nada malo en ir con una amiga."
15,I’m sure you could ask Cassie Hiney.”,Chắc chắn con có thể mời Cassie Hiney mà.”,"Eminim, Cassie Hiney'yi davet edebilirsin.”",Seguro que podrías pedírselo a Cassie Hiney.
16,"And I could have asked Cassie Hiney, who was actually perfectly nice and pleasant and cute, despite having a fantastically unfortunate last name.","Dám là tôi mời Cassie Hiney lắm chứ, một cô bạn thực sự dễ mến, thân thiện và xinh lung linh, nhưng ngặt nỗi bạn ấy lại mang một cái họ vô địch về độ nhạy cảm[3].","Olağanüstü talihsiz bir soyadı olmasına rağmen, aslında gayet hoş, güzel ve sevimli olan Cassie Hiney’yi1 davet edebilirdim.","Sí, podría habérselo pedido a Cassie Hiney, que era muy maja, simpática y guapa, pese a su tremendamente desafortunado apellido, que en inglés significa «culo»."
18,"I also don’t like people who like prom,” I explained, although this was, in point of fact, untrue.","Con không khoái cả những người khoái dạ hội,” tôi cố giải thích, dù thẳng thắn mà nói thì cũng chẳng phải.","“Sadece baloları değil, balolardan hoşlanan insanları da sevmiyorum,” diye açıkladım, aslında doğru olmamasına rağmen.",Es que tampoco me gustan las personas a las que les gustan los bailes de graduación —le expliqué a mi madre. Aunque en realidad no era cierto.
19,Ben was absolutely gaga over the idea of going.,Ben mới là thằng rối rít bấn loạn về dạ hội này.,"Ben, kesinlikle gitmek için deli oluyordu.",Ben se había emperrado en ir.
20,"Mom turned into school, and I held the mostly empty bowl with both hands as we drove over a speed bump.","Mẹ rẽ vào trường, tôi giữ chặt cái bát sắp hết bằng cả hai tay khi đi qua mấy con lươn giảm tốc.","Annem okula doğru döndü, kasisten geçerken iki elimle neredeyse boş olan kâseyi tuttum.","Mi madre giró hacia el instituto, y sujeté con las dos manos el tazón casi vacío al pasar por un badén."
21,I glanced over at the senior parking lot.,Tôi liếc nhanh ra bãi đỗ xe cho học sinh năm cuối.,Son sınıfların park yerine bir göz gezdirdim.,Eché un vistazo al aparcamiento de los alumnos de último curso.
22,Margo Roth Spiegelman’s silver Honda was parked in its usual spot.,Con Honda màu bạc của Margo Roth Spiegelman đỗ ở chỗ quen thuộc.,Margo Roth Spiegelman’ın gümüş rengi Honda’sı her zamanki yerine park edilmişti.,El Honda plateado de Margo Roth Spiegelman estaba aparcado en su plaza habitual.
23,Mom pulled the minivan into a cul-de-sac outside the band room and kissed me on the cheek.,Mẹ tấp xe vào một đoạn cụt ngay gần phòng tập nhạc và hôn lên má tôi tạm biệt.,Annem arabayı bando odasının dışındaki bir çıkmaza doğru çevirdi ve beni yanağımdan öptü.,Mi madre metió el coche en un callejón situado frente a la sala de ensayo y me dio un beso en la mejilla.
24,I could see Ben and my other friends standing in a semicircle.,Tôi nhác thấy Ben và mấy thằng khác đứng giăng thành một đường bán nguyệt.,Ben ve diğer arkadaşlarımın yarım daire şeklinde durduklarım görebiliyordum.,"Al bajar vi a Ben y a mis otros amigos, agrupados en semicírculo."
25,"I walked up to them, and the half circle effortlessly expanded to include me.","Tôi đi đến chỗ chúng nó, vòng bán nguyệt lập tức giãn ra để thêm tôi vào.",Onlara doğru yürüdüm ve yarım daire hiç çaba harcamadan beni de içine almak için genişledi.,"Me dirigí a ellos, y el semicírculo no tardó en abrirse para incluirme."
26,"They were talking about my ex-girlfriend Suzie Chung, who played cello and was apparently creating quite a stir by dating a baseball player named Taddy Mac.","Chúng nó đang nói đến bạn gái cũ của tôi, Suzie Chung, cô nàng chơi cello và rõ là đã khuấy động dư luận khi cặp với một anh cầu thủ bóng chày tên là Taddy Mac.",Çello çalan ve görünüşe göre Taddy Mac adındaki beyzbol oyuncusuyla çıkarak herkesin ilgisini çeken eski kız arkadaşım Suzie Chung hakkında konuşuyorlardı.,"Estaban hablando de mi exnovia, Suzie Chung, que tocaba el violonchelo y al parecer había creado un gran revuelo porque estaba saliendo con un jugador de béisbol llamado Taddy Mac."
27,"Whether this was his given name, I did not know.",Tôi cũng chẳng biết đó có phải là tên thật của anh ta không nữa.,Taddy Mac gerçek ismi miydi bilmiyordum.,No sabía si era su nombre real.
28,"But at any rate, Suzie had decided to go to prom with Taddy Mac.",Dù gì thì Suzie cũng đã quyết định đến dạ hội với Taddy Mac.,Ama her halükârda Suzie baloya Taddy Mac’le gitmeye karar vermişti.,"En cualquier caso, Suzie había decidido ir al baile de graduación con Taddy Mac."
29,Another casualty.,Thêm một nạn nhân.,Başka bir kayıp daha.,Otra víctima.
30,"“Bro,” said Ben, standing across from me.","“Êu ông ơi,” Ben đứng đối diện tôi và gọi.","Karşımda duran Ben, “Dostum,” dedi.","—Colega —me dijo Ben, que estaba delante de mí."
31,He nodded his head and turned around.,Nó gật đầu ra hiệu rồi đi.,Başını salladı ve arkasını döndü.,"Movió la cabeza, se dio media vuelta, se alejó del círculo y entró."
32,I followed him out of the circle and through the door.,"Tôi theo nó ra khỏi đám, đi vào phòng tập.",Çemberin dışına çıkarak kapıya doğru onu takip ettim.,Lo seguí.
33,"A small, olive-skinned creature who had hit puberty but never hit it very hard, Ben had been my best friend since fifth grade, when we both finally owned up to the fact that neither of us was likely to attract anyone else as a best friend.","Một gã nhỏ người da ngăm ngăm đã qua tuổi dậy thì nhưng chưa bao giờ kết thúc cái tuổi ấy một cách hoành tráng, Ben là thằng bạn chí cốt với tôi từ hồi lớp năm, khi cả hai rút cục đành thừa nhận rằng chẳng thằng nào đủ sức kiếm được đứa khác làm bạn thân.","Ergenliğe ulaşmış ama tam anlamıyla girememiş buğday tenli küçük bir yaratık olan Ben beşinci sımftan, yani ikimiz de başka kimseyi en yakın arkadaş olarak cezbedemeyeceğimizi sonunda kabullendiğimizden bu yana en yakın arkadaşımdı.","Ben, un chico bajito y de piel aceitunada que a duras penas parecía haber llegado a la pubertad, era mi mejor amigo desde quinto, cuando al final ambos admitimos la evidencia de que seguramente ninguno de los dos iba a encontrar otro mejor amigo."
34,"Plus, he tried hard, and I liked that—most of the time.","Cơ mà, nó đã rất cố gắng, và tôi khoái như vậy–phần lớn thời gian.",Bir de Ben çok uğraşıyordu ve bu hoşuma gidiyordu... çoğu zaman.,"Además, le puso mucho empeño, y eso me gustaba… la mayoría de las veces."
36,"We were safely inside, everyone else’s conversations making ours inaudible.","Chúng tôi đã an toàn trong phòng nhạc, những người xung quanh đang nói đủ để lấp đi câu chuyện của bọn tôi.","“Nasılsın?” diye sordum, içeriye girmiştik, diğerlerinin konuşmaları bizimkinin duyulmasını engelliyordu.","Estábamos dentro, en un lugar seguro. Las demás conversaciones impedían que se oyera la nuestra."
37,"“Radar is going to prom,” he said morosely.","“Radar sẽ đi dạ hội,” Ben nhấm nhẳng.","Suratsızca, “Radar baloya gidiyor,” dedi.",—Radar va a ir al baile de graduación —me dijo malhumorado.
38,Radar was our other best friend.,Radar là chiến hữu oách của bọn tôi.,Radar diğer en yakın arkadaşımızdı.,Radar era nuestro otro mejor amigo.
39,"We called him Radar because he looked like a little bespectacled guy called Radar on this old TV show M*A*S*H, except 1.","Nó bị gọi là Radar vì trông nó y chang một thằng thấp bé nhẹ cân đeo đít chai tên là Radar trong xê-ri M*A*S*H trên truyền hình ngày xưa, ngoại trừ 1.","Ona Radar diyorduk çünkü şu eski televizyon dizisi 1 Argoda kalça, kıç anlamlarına gelmektedir, (ç. n. M*A*S*H'teki küçük gözlüklü adama benziyordu, tabii 1.","Lo llamábamos Radar porque se parecía a un tipo bajito y con gafas de la vieja serie de televisión M*A*S*H al que llamaban así, salvo que: 1) El Radar de la tele no era negro, y 2)"
41,"At some point after the nicknaming, our Radar grew about six inches and started wearing contacts, so I suppose that 3.","Radar trên ti-vi da không đen, và 2. Vào một lúc nào đó sau khi đã bị gán tên, Radar của bọn tôi cao thêm khoảng mười lăm phân nữa và bắt đầu đeo kính sát tròng, nên tôi nghĩ rằng 3.","Ona bu lakabı takmamızdan bir süre sonra, bizim Radar on beş santimetre uzadı ve lens takmaya başladı, bu yüzden sanırım 3.","En algún momento después de haberle puesto el apodo, nuestro Radar creció unos quince centímetros y se puso lentillas, así que supongo que, 3) En realidad, no se parecía en nada al tipo de M*A*S*H, pero, 4) Como quedaban tres semanas y media para que se acabara el curso, no estábamos demasiado preocupados por la labor de buscarle otro apodo."
42,"He actually didn’t look like the guy on M*A*S*H at all, but 4.","Nó trông không còn giống chú em trong M*A*S*H nữa, nhưng 4.",Aslmda M*A*S*H'teki adama hiç de benzemiyordu ama 4.,"Como quedaban tres semanas y media para que se acabara el curso, no estábamos demasiado preocupados por la labor de buscarle otro apodo."
43,"With three and a half weeks left of high school, we weren’t very well going to renickname him.","Còn ba tuần rưỡi nữa là tốt nghiệp, chúng tôi chẳng buồn đặt tên mới cho nó nữa.",Liseye üç buçuk hafta kalmışken ona yeni bir lakap takmaya kalkışmayacaktık.,"Como quedaban tres semanas y media para que se acabara el curso, no estábamos demasiado preocupados por la labor de buscarle otro apodo."
44,“That girl Angela?” I asked.,“Con bé Angela ấy hả?” tôi hỏi.,“Şu Angela denen kızla mı?” diye sordum.,—¿Angela? —le pregunté.
45,"Radar never told us anything about his love life, but this did not dissuade us from frequent speculation.","Radar chả bao giờ hé gì về chuyện tình êu tình báo của nó cả, nhưng như thế cũng chẳng ngăn được bọn tôi bàn ra tán vào.",Radar asla bize aşk hayatından bahsetmezdi ama bu durum bizim sık sık tahmin yürütmemizi engellemezdi.,"Radar nunca nos contaba nada de su vida amorosa, lo que no nos disuadía de especular cada dos por tres."
46,"Ben nodded, and then said, “You know my big plan to ask a freshbunny to prom because they’re the only girls who don’t know the Bloody Ben story?” I nodded.","Ben gật, rồi nói, “Ông biết kế hoạch vĩ đại của tôi chứ? Lôi một em thỏ non đến dạ hội vì chỉ có các em thỏ mới không hề hay biết sự tích về chàng Ben Bỉ Bựa.” Tôi gật gật.","Ben başıyla onayladı. “Hani sadece birinci sınıftakiler Kanlı Ben hikâyesini bilmiyor diye o çıtırlardan birini baloya davet etmeyi düşünüyorum ya,” dedi. Başımla onayladım.","Ben asintió. —¿Recuerdas que había pensado invitar al baile a una novata, porque son las únicas que no conocen la historia de Ben el Sangriento? Asentí."
47,"“Well,” Ben said, “this morning some darling little ninth-grade honeybunny came up to me and asked me if I was Bloody Ben, and I began to explain that it was a kidney infection, and she giggled and ran away.","“Chậc,” Ben nói tiếp, “thế mà sáng nay có một nhóc thỏ non xinh xinh lớp chín tìm tôi hỏi có phải tôi chính là Ben Bỉ Bựa không, tôi phải giải thích rõ ràng đó là chứng nhiễm trùng thận, con nhóc ấy khúc khích rúc rích cười rồi chạy đi luôn.","‘İşte,” dedi Ben, “bu sabah dokuzuncu sınıflardan küçük, sevimli bir tavşancık bana geldi ve Kanlı Ben olup olmadığımı sordu, ben de bunun bir böbrek enfeksiyonu olduğunu açıklamaya başladım, kız kıkır kıkır güldü ve kaçıp gitti.","—Bueno —siguió diciendo Ben—, pues esta mañana una novatilla muy mona se me ha acercado y me ha preguntado si era Ben el Sangriento. He empezado a explicarle que fue una infección de riñón, pero se ha reído y se ha largado."
48,So that’s out.”,Hết chuyện.,Yani her şey açığa çıktı.,Así que se acabó.
49,"In tenth grade, Ben was hospitalized for a kidney infection, but Becca Arrington, Margo’s best friend, started a rumor that the real reason he had blood in his urine was due to chronic masturbation.","Hồi lớp mười, Ben từng phải nhập viện vì bị nhiễm trùng thận, nhưng Becca Arrington, bạn thân của Margo, đã châm ngòi tin đồn rằng nguyên nhân thực sự khiến Ben tiểu ra máu là do nó đã thủ dâm vô độ.","Ben, onuncu sınıfta böbrek enfeksiyonu nedeniyle hastaneye yatırılmıştı ama Margo’nun en yakın arkadaşı Becca Arrington, Ben’in idrarında kan olmasının gerçek nedeninin, kronik mastürbasyona bağlı olduğuyla ilgili bir dedikodu yaymıştı.","Dos años atrás habían tenido que ingresar a Ben en el hospital por una infección renal, pero Becca Arrington, la mejor amiga de Margo, se dedicó a extender el rumor de que la verdadera razón de que orinara sangre era que se pasaba el día masturbándose."
50,"Despite its medical implausibility, this story had haunted Ben ever since.","Dù vô căn cứ về mặt y học nhưng từ đó những đồn đại cứ bám dính lấy Ben. “Khiếp quá,” tôi không biết nói gì hơn.",Tıbbi açıdan inandırıcı olmamasına rağmen bu hikâye o zamandan beri Ben’in peşini bırakmamıştı.,"Pese a que era clínicamente inverosímil, desde entonces Ben cargaba con esa historia."
52,"Ben started outlining plans for finding a date, but I was only half listening, because through the thickening mass of humanity crowding the hallway, I could see Margo Roth Spiegelman.","Ben bắt đầu vạch kế hoạch để chăn được một em, nhưng tôi nghe tai nọ ra tai kia, vì phóng mắt qua những người là người mỗi lúc một đông đúc ở hành lang, tôi đã thấy Margo Roth Spiegelman.","Ben, bir balo partneri ayarlayabilme planlarının ana hatlarını çizmeye başladı ama tam dinlemiyordum çünkü koridora üşüşen insan kalabalığının arasında Margo Roth Spiegelman’ı görebiliyordum.","Ben empezó a contarme sus planes para encontrar a una chica, pero solo lo escuchaba a medias, porque entre la cada vez más densa masa de personas que llenaban el vestíbulo vi a Margo Roth Spiegelman."
53,"She was next to her locker, standing beside her boyfriend, Jase.","Cô ấy đứng bên ngăn tủ đựng đồ, cạnh bạn trai của cô ấy, Jase.","Dolabının hemen önünde, erkek arkadaşı Jase’in yanında duruyordu.","Estaba junto a su taquilla, al lado de su novio, Jase."
54,She wore a white skirt to her knees and a blue print top.,"Margo mặc váy trắng dài đến đầu gối, áo xanh dương có in hình.",Dizlerine gelen beyaz bir etek ve mavi baskılı bir üst giymişti.,Llevaba una falda blanca hasta las rodillas y un top estampado azul.
55,I could see her collarbone.,Tôi thấy được hai bên xương quai xanh của cô ấy.,Köprücük kemiğini görebiliyordum.,Le veía la clavícula.
56,"She was laughing at something hysterical—her shoulders bent forward, her big eyes crinkling at their corners, her mouth open wide.","Margo đang cười như nắc nẻ về chuyện gì đó–hai vai so về trước, đôi mắt to anh ánh nước ở khóe, khuôn miệng mở rộng.","Kendini kaybetmiş halde bir şeye gülüyordu... omuzları öne doğru eğik, büyük gözlerinin kenarları kırışık, ağzı kocaman açık.","Se reía como una histérica. Tenía los hombros inclinados hacia delante, las comisuras de sus grandes ojos arrugadas y la boca abierta."
57,"But it didn’t seem to be anything Jase had said, because she was looking away from him, across the hallway to a bank of lockers.","Nhưng hình như không phải cười vì điều gì Jase nói, vì cô ấy không nhìn Jase mà đưa mắt qua hành lang nhìn một dãy tủ đựng đồ khác.","Ama Jase’in söylediği bir şeymiş gibi görünmüyordu çünkü ondan uzağa, koridorun karşısındaki dolap sırasına doğru bakıyordu.","Pero no parecía reírse por algo que hubiera dicho Jase, ya que miraba hacia otra parte, hacia las taquillas del otro lado del vestíbulo."
58,I followed her eyes and saw Becca Arrington draped all over some baseball player like she was an ornament and he a Christmas tree.,"Tôi theo ánh mắt ấy và thấy Becca Arrington đang bám nhằng lấy một anh chàng bóng chày, cứ như nàng là vật trang trí và chàng là cây thông Giáng Sinh vậy.","Gözlerini takip ettim ve Becca Arrington’m bir beyzbol oyuncusunun her yerine asıldığını gördüm; kendisi bir süs eşyası, çocuk da bir Noel ağacıymış gibi.","Seguí sus ojos y vi a Becca Arrington encima de un jugador de béisbol, como si el tipo fuese un árbol de Navidad y ella un adorno."
59,"I smiled at Margo, even though I knew she couldn’t see me.","Tôi mỉm cười nhìn Margo, dù tôi biết cô ấy không thấy tôi.",Beni göremeyeceğini bildiğim halde Margo’ya gülümsedim.,"Sonreí a Margo, aunque sabía que no podía verme."
60,"“Bro, you should just hit that.",“Ông rồ ga lấn tới đi chứ.,"“Dostum, şuna bir çakmaksın.","—Deberías lanzarte, colega."
61,Forget about Jase.,Mặc kệ thằng Jase.,Jase’i boş ver.,Olvídate de Jase.
62,"God, that is one candy-coated honeybunny.”","Trời ơi, đúng là một nàng thỏ bọc đường mà,” Ben lảm nhảm.","Tanrım, bu kız şeker kaplı bir tavşancık.”","Dios, la pava está para mojar pan."
63,"As we walked, I kept taking glances at her through the crowd, quick snapshots: a photographic series entitled Perfection Stands Still While Mortals Walk Past.","Chân đi nhưng mắt tôi vẫn liếc nhìn cô ấy qua đám đông, chớp lại trong tâm tưởng những khoảnh khắc có thể làm thành một loạt ảnh với tiêu đề Cái đẹp hoàn hảo lắng đọng, chỉ những kẻ phàm bước qua.","Biz yürürken kalabalığın arasında Margo’ya ara sıra bakmaya devam ettim; hızlı, anlık fotoğraflar: Ölümlüler Geçip Giderken, Kusursuzluk Olduğu Gibi Duruyor başlıklı bir fotoğraf serisi.","Mientras avanzábamos, seguí lanzándole miradas entre la multitud, rápidas instantáneas, una serie fotográfica titulada La perfección se queda inmóvil mientras los mortales pasan de largo."
64,"As I got closer, I thought maybe she wasn’t laughing after all.","Đến gần hơn, tôi nghĩ có thể Margo chẳng hề cười.","Yaklaştıkça, belki de her şeye rağmen gülmüyordu, diye düşündüm.","A medida que me acercaba, pensé que tal vez no estaba riéndose."
65,Maybe she’d received a surprise or a gift or something.,Có thể cô ấy đã ngạc nhiên hoặc nhận được một món quà hay thứ gì đó.,"Belki bir sürprizdi, belki bir hediye almıştı ya da öyle bir şey.","Quizá le habían dado una sorpresa, un regalo o algo así."
66,She couldn’t seem to close her mouth.,Hình như cô ấy không khép miệng lại được.,Ağzını kapatabilecek gibi görünmüyordu.,Parecía que no pudiera cerrar la boca.
67,"“Yeah,” I said to Ben, still not listening, still trying to see as much of her as I could without being too obvious.","“Ừ,” tôi lơ đãng trả lời Ben, nhưng thực ra không để ý nghe nó nói vì tôi đang cố gắng nhìn Margo càng nhiều càng tốt mà không tỏ ra quá lộ liễu.","“Evet,” dedim Ben’e, hâlâ dinlemiyordum, hâlâ fazla belli etmeden, olabildiği kadar Margo’yu görmeye çahşıyordum.","—Sí —le dije a Ben. Seguía sin prestarle atención, seguía intentando no perder a Margo de vista sin que se me notara demasiado."
68,It wasn’t even that she was so pretty.,Thật ra không phải vì Margo xinh.,Mesele çok güzel olması filan değildi.,No es que fuera una belleza.
69,"She was just so awesome, and in the literal sense.","Cô ấy đẹp đến sững sờ luôn, theo nghĩa đen của từng từ.","Margo tek kelimeyle müthişti, kelimenin gerçek anlamıyla.","Era sencillamente impresionante, y en sentido literal."
70,"And then we were too far past her, too many people walking between her and me, and I never even got close enough to hear her speak or understand whatever the hilarious surprise had been.","Và rồi bọn tôi đã ở quá xa chỗ cô ấy, có quá nhiều người đi đi lại lại giữa Margo và tôi, thậm chí tôi đã không đến đủ gần để nghe thấy tiếng cô ấy nói, hay để hiểu điều thú vị gì đã khiến cô ấy ngạc nhiên đến vậy.","Sonra ondan çok öteye geçtik, onunla benim aramda çok fazla insan yürüyordu ve ben, konuşmasını duyacak ya da bu kadar komik olan sürprizin ne olduğunu anlayacak kadar yaklaşamamıştım bile.","Y entonces la dejamos atrás, entre ella y yo pasaba demasiada gente y en ningún momento me había acercado lo suficiente para escuchar lo que decía o entender cuál había sido la desternillante sorpresa."
71,"Ben shook his head, because he had seen me see her a thousand times, and he was used to it.","Ben gục gặc đầu vì nó đã thấy tôi nhìn Margo như vậy cả ngàn lần, đến mức nó đã quá quen rồi.",Ben başını salladı çünkü benim Margo’yu görüşümü binlerce kez görmüştü ve buna alışıktı.,Ben movió la cabeza. Me había visto mirándola mil veces y estaba acostumbrado.
72,"“Honestly, she’s hot, but she’s not that hot.","“Ừ thì cô nàng nóng bỏng, nhưng không nóng bỏng đến mức ấy.","“Doğrusu, Margo seksi ama o kadar da seksi değil.","—La verdad es que está buena, pero no tanto."
73,You know who’s seriously hot?”,Mà ông có biết ai thực sự nóng bỏng không?”,Kim cidden seksi biliyor musun?,¿Sabes quién está buena de verdad?
74,“Who?” I asked.,“Ai cơ?” tôi hỏi.,“Kim?” diye sordum.,—¿Quién? —le pregunté.
75,"“Lacey,” he said, who was Margo’s other best friend.","“Lacey,” Ben đáp, Lacey là một bạn thân khác của Margo.","“Lacey,” dedi. Lacey, Margo’nun diğer en yakın arkadaşıydı.","—Lacey —me contestó, que era la otra mejor amiga de Margo—."
76,“Also your mom.,“Cả mẹ ông nữa.,“Bir de annen.,"Y tu madre, colega."
77,"Bro, I saw your mom kiss you on the cheek this morning, and forgive me, but I swear to God I was like, man, I wish I was Q.",Tôi đã thấy mẹ ông hun lên má ông sáng nay.,"Dostum, bu sabah annenin seni yanağından öptüğünü gördüm ve kusura bakma ama yemin ederim şöyleydim: Adamım, keşke Q. ’nun yerinde olsaydım.","Esta mañana he visto a tu madre dándote un beso y, perdóname, pero te juro por Dios que he pensado: «Joder, ojalá fuera Q. Y ojalá tuviera pollas en las mejillas»."
79,"I elbowed him in the ribs, but I was still thinking about Margo, because she was the only legend who lived next door to me.","Tôi thúc cùi chỏ vào mạng sườn nó, nhưng tôi vẫn đang nghĩ đến Margo, vì cô ấy là huyền thoại duy nhất ở ngay cạnh nhà tôi.",Dirseğimle kaburgalarına vurdum ama hâlâ Margo’yu düşünüyordum çünkü o bitişiğimizde oturan tek efsaneydi.,"Le pegué un codazo en las costillas, aunque seguía pensando en Margo, porque era el único mito que vivía al lado de mi casa."
80,"Margo Roth Spiegelman, whose six-syllable name was often spoken in its entirety with a kind of quiet reverence.","Margo Roth Spiegelman, cái tên dài sáu âm tiết ấy thường được nhắc đến đầy đủ, kèm theo chút thầm ngưỡng mộ.","Altı heceli isminin tamamı, genellikle bir çeşit huşu içinde anılan Margo Roth Spiegelman.","Margo Roth Spiegelman, cuyo nombre de seis sílabas solíamos decir completo con una especie de silenciosa reverencia."
81,"Margo Roth Spiegelman, whose stories of epic adventures would blow through school like a summer storm: an old guy living in a broken-down house in Hot Coffee, Mississippi, taught Margo how to play the guitar.","Margo Roth Spiegelman, câu chuyện về những chuyến phiêu lưu kinh điển của cô ấy có thể quét qua trường học như một cơn bão mùa hè: chẳng hạn như chuyện một ông già sống trong căn nhà đổ nát ở Hot Coffee, Mississippi, đã dạy Margo chơi guitar.","Epik macera hikâyeleri, okulda bir yaz fırtınası gibi esip gürleyen Margo Roth Spiegelman: Hot Coffee, Mississippi’de çökük bir evde yaşayan yaşh bir adam, Margo’ya nasıl gitar çalınacağını öğretmiş.","Margo Roth Spiegelman, cuyas épicas aventuras circulaban por el colegio como una tormenta de verano. Un viejo que vivía en una casa destartalada de Hot Coffee, Mississippi, había enseñado a Margo a tocar la guitarra."
82,"Margo Roth Spiegelman, who spent three days traveling with the circus—they thought she had potential on the trapeze.","Margo Roth Spiegelman, cô gái đã rong ruổi suốt ba ngày theo một đoàn xiếc–họ cho rằng cô ấy rất có năng khiếu biểu diễn nhào lộn trên dây.",Üç gününü sirkle gezerek geçiren Margo Roth Spiegelman... trapezde potansiyeli olduğunu düşünmüşler.,"Margo Roth Spiegelman, que había viajado tres días con un circo, donde pensaban que tenía potencial para el trapecio."
