line_no,en,vi,tr,es
11,"The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud.","Lũ gà leo lên bậu cửa sổ, đám bồ câu đậu trên rui mè, bọn bò và cừu nằm phía sau lũ lợn và bắt đầu công việc nhai lại của chúng.","Tavuklar pencere eşiklerine tünediler, güvercinler çatı kirişlerine kondular, koyunlarla inekler domuzların arkasına uzanıp geviş getirmeye koyuldular.","Las gallinas se situaron en el alféizar de las ventanas, las palomas revolotearon hacia los tirantes de las vigas, las ovejas y las vacas se echaron detrás de los cerdos y se dedicaron a rumiar."
12,"The two cart-horses, Boxer and Clover, came in together, walking very slowly and setting down their vast hairy hoofs with great care lest there should be some small animal concealed in the straw.","Hai con ngựa kéo xe tên là Chiến Sĩ và Bà Mập cùng vào, từ từ lại gần cái bục, trước mỗi bước chúng đều thận trọng quan sát để không giẫm bẹp một con thú nhỏ nào ở bên dưới lớp rơm.","Boxer ve Clover adlı iki araba atı içeri birlikte girdiler; samanların arasında göremeyecekleri kadar küçük bir hayvan bulunabileceği kaygısıyla ağır ağır yürüyor, kıllı, kocaman ayaklarını yere usulca basıyorlardı.","Los dos caballos de tiro, Boxer y Clover, entraron juntos, caminando despacio y posando con gran cuidado sus enormes cascos peludos, por temor de que algún animalito pudiera hallarse oculto en la paja."
13,"Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.","Bà Mập, một con ngựa cái trung niên hiền lành, thân hình đã sồ sề vì bốn lần sinh nở.","Clover, orta yaşlı sayılabilecek, iriyarı, anaç bir kısraktı; dördüncü tayını doğurduktan sonra eski endamını bir türlü bulamamıştı.","Clover era una yegua robusta, entrada en años y de aspecto maternal que no había logrado recuperar la silueta después de su cuarto potrillo."
14,"Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.","Chiến Sĩ, một con tuấn mã cao đến gần hai mét và khoẻ bằng hai con ngựa khác.","Boxer ise neredeyse iki metre yüksekliğinde, iki beygir gücünde, çok iri bir hayvandı.","Boxer era una bestia enorme, de casi quince palmos de altura y tan fuerte como dos caballos normales juntos."
15,"A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.","Vì có một vệt trắng dọc sống mũi nên trông nó có vẻ đần, thực ra cu cậu cũng không thuộc loại thông minh, nhưng bù lại, nó được các con khác tôn trọng vì tính kiên định và hay lam hay làm.","Alnından burnunun üstüne doğru inen akıtma onu biraz ahmak gösteriyordu; gerçekten de çiftlikteki hayvanların en zekisi sayılmazdı, ama sağlam kişiliği ve akıllara durgunluk veren çalışkanlığıyla herkesin saygısını kazanmıştı.","Una franja blanca a lo largo de su hocico le daba un aspecto estúpido, y, ciertamente no era muy inteligente, pero sí respetado por todos dada su entereza de carácter y su tremenda fuerza para el trabajo."
16,"After the horses came Muriel, the white goat, and Benjamin, the donkey.",Sau đó là đến con dê trắng tên là Mona và con lừa tên là Benjamin.,"Atların ardından, beyaz keçi Muriel ile Benjamin adlı eşek göründüler.","Después de los caballos llegaron Muriel, la cabra blanca, y Benjamín, el burro."
17,"Benjamin was the oldest animal on the farm, and the worst tempered.","Sau đó là đến con dê trắng tên là Mona và con lừa tên là Benjamin. Benjamin là con vật già nhất bọn, nhưng cũng là con xấu tính nhất.","Benjamin, çiftliğin en yaşlı, en huysuz hayvanıydı.",Benjamín era el animal más viejo y de peor genio de la granja.
18,"He seldom talked, and when he did, it was usually to make some cynical remark — for instance, he would say that God had given him a tail to keep the flies off, but that he would sooner have had no tail and no flies.","Benjamin ít nói, nhưng hễ mở miệng là y như rằng nó tìm cách giễu cợt, ví dụ có lần nó tuyên bố rằng Thượng Đế tạo cho nó cái đuôi để đuổi ruồi, nhưng giá đừng có cả đuôi lẫn ruồi thì còn thích hơn.","Ağzından bal damladığı söylenemezdi, ama az söyler, öz söylerdi: ""Tanrı bana sinekleri kovayım diye bir kuyruk vermiş; ama keşke sinekler de olmasaydı, kuyruğum da.""","Raramente hablaba, y cuando lo hacía, generalmente era para hacer alguna observación cínica; diría, por ejemplo, que «Dios le había dado una cola para espantar las moscas, pero que él hubiera preferido no tener ni cola ni moscas»."
19,Alone among the animals on the farm he never laughed.,Nó là con vật duy nhất không bao giờ cười.,Çiftlikteki hayvanlar arasında bir tek o hiç gülmezdi.,Era el único de los animales de la granja que jamás reía.
20,"If asked why, he would say that he saw nothing to laugh at.",Nếu hỏi tại sao thì nó bảo: chẳng có lí do gì.,"Neden gülmediğini soranlara, ""Gülünecek ne var ki?"" diye karşılık verirdi.","Si se le preguntaba por qué, contestaba que no tenía motivos para hacerlo."
21,"Nevertheless, without openly admitting it, he was devoted to Boxer; the two of them usually spent their Sundays together in the small paddock beyond the orchard, grazing side by side and never speaking.","Mặc dù vậy và tuy không nói ra nhưng nó rất trung thành với Chiến Sĩ, chủ nhật nào hai con cũng yên lặng gặm cỏ bên nhau ở bãi giữ ngựa phía sau khu vườn.","Ama açıkça belli etmemesine karşın, Boxer'a hayrandı; ikisi pazar günlerini birlikte geçirir, genellikle meyve bahçesinin arkasındaki çayırda hiç konuşmadan yan yana otlarlardı.","Sin embargo, sin admitirlo abiertamente, sentía afecto por Boxer; los dos pasaban, generalmente, el domingo en el pequeño prado detrás de la huerta, pastando juntos, sin hablarse."
22,"The two horses had just lain down when a brood of ducklings, which had lost their mother, filed into the barn, cheeping feebly and wandering from side to side to find some place where they would not be trodden on.","Hai con ngựa vừa nằm xuống thì bầy vịt con mồ côi lao vào nhà kho, chúng vừa kêu chiếp chiếp khe khẽ vừa chạy loanh quanh, mong tìm một chỗ an toàn.","İki at henüz yere uzanmışlardı ki, annelerini yitirmiş yavru ördekler ciyak ciyak bağırarak birerlekol halinde samanlığa girdiler; paytak paytak koşturuyor, ayaklar altında ezilmeyecekleri bir yer aranıyorlardı.","Apenas se echaron los dos caballos, cuando un grupo de patitos que habían perdido la madre entró en el granero piando débilmente y yendo de un lado a otro en busca de un lugar donde no hubiera peligro de que los pisaran."
23,"Clover made a sort of wall round them with her great foreleg, and the ducklings nestled down inside it and promptly fell asleep.","Bà Mập lấy chân trước khoanh thành một khu cho chúng, lũ vịt con mau chóng chui vào đó rồi ngủ thiếp đi lúc nào không hay.","Clover, kocaman ön ayağıyla ördek yavrularının çevresine bir duvar ördü; onlar da oraya sığınıp birbirlerine sokuldular ve o saat uykuya daldılar.",Clover formó una especie de pared con su enorme pata delantera y los patitos se anidaron allí durmiéndose enseguida.
24,"At the last moment Mollie, the foolish, pretty white mare who drew mr Jones’s trap, came mincing daintily in, chewing at a lump of sugar.","Ngay trước khi buổi nói chuyện bắt đầu thì Mollie, một ả ngựa cái dốt nát, màu trắng, chuyên kéo chiếc xe nhỏ của ông Jones, vừa đi vừa nhai một cục đường, mới õng ẹo bước vào.","Son anda, Bay Jones'un iki tekerlekli arabasını çeken saçı uzun aklı kısa, beyaz kısrak Mollie çıkageldi; ağzında kesmeşekeri, süzüm süzüm süzülerek içeri girdi.","A última hora, Mollie, la bonita y tonta yegua blanca que tiraba del coche del señor Jones, entró afectadamente mascando un terrón de azúcar."
25,"She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with.",Nó lập tức chiếm ngay vị trí phía trước cái bục và lắc lư bờm để mong những con khác chú ý đến dải ruy băng đỏ trang điểm trên đó.,Kendine önlerde bir yer seçti; bakışları üzerinde toplamak umuduyla kırmızı kurdelelerle örülü beyaz yelesini iki yana sallamaya başladı.,"Se colocó delante, coqueteando con sus blancas crines a fin de atraer la atención hacia los lazos rojos con que había sido trenzada."
26,"Last of all came the cat, who looked round, as usual, for the warmest place, and finally squeezed herself in between Boxer and Clover; there she purred contentedly throughout Major’s speech without listening to a word of what he was saying.","Cuối cùng là một con mèo, nó nhìn quanh và vẫn như mọi khi, cố tìm cho mình một chỗ thật ấm, rồi chen vào nằm giữa Chiến Sĩ và Bà Mập, chị chàng sung sướng phát ra những tiếng gừ… gừ… trong cổ họng, mặc Thủ Lĩnh muốn nói gì thì nói.","Son olarak da kedi göründü; huyu kurusun, hemen en sıcak yeri aranmaya başladı, sonunda Boxer ile Clover'ın arasına sığıştı; Koca Reis'in söylevinin sonuna kadar –söylediklerinin bir tekine bile kulak vermeden– keyifli keyifli mırlayıp durdu.","La última en aparecer fue la gata, que buscó, como de costumbre, el lugar más cálido, acomodándose finalmente entre Boxer y Clover; allí ronroneó a gusto durante el desarrollo del discurso de Mayor, sin oír una sola palabra de lo que éste decía."
27,"All the animals were now present except Moses, the tame raven, who slept on a perch behind the back door.","Thế là tất cả các con vật trong Điền Trang đã có mặt đầy đủ, chỉ trừ con quạ Moses, nó ngủ trên hàng rào ngay bên ngoài cửa sau.","Arka kapının oradaki tünekte uyuyan evcil kuzgun Moses'ı saymazsak, hayvanların tümü gelmişti artık.","Ya estaban presentes todos los animales —excepto Moses, el cuervo amaestrado, que dormía sobre una percha detrás de la puerta trasera—."
28,"When Major saw that they had all made themselves comfortable and were waiting attentively, he cleared his throat and began:",Khi Thủ Lĩnh thấy tất cả đã an vị và sẵn sàng lắng nghe thì húng hắng ho lấy giọng và bắt đầu:,"Reis, baktı ki herkes yerini almış suspus bekliyor, gırtlağını temizleyip konuşmaya başladı:","Cuando Mayor vio que estaban todos acomodados y esperaban con atención, aclaró su voz y comenzó:"
29,"“Comrades, you have heard already about the strange dream that I had last night.","""Thưa các đồng chí! Như các đồng chí đã biết, đêm qua tôi có một giấc mơ kì lạ.","""Yoldaşlar, dün gece garip bir düş gördüğümü hepiniz biliyorsunuz.",—Camaradas: os habéis enterado ya del extraño sueño que tuve anoche.
30,But I will come to the dream later.,Nhưng tôi sẽ nói chuyện đó sau.,Düşe sonra geleceğim.,Pero de eso hablaré luego.
31,I have something else to say first.,Đầu tiên tôi muốn nói với các đồng chí một số việc hoàn toàn khác.,Size daha önce başka bir şey söylemek istiyorum.,Primero tengo que decir otra cosa.
32,"I do not think, comrades, that I shall be with you for many months longer, and before I die, I feel it my duty to pass on to you such wisdom as I have acquired.","Thưa các đồng chí, tôi nghĩ rằng tôi không ở lại với các đồng chí được bao lâu nữa, vì vậy tôi cho rằng trước khi chết mình phải có trách nhiệm chia sẻ với các đồng chí những kinh nghiệm mà tôi đã tích lũy được trong suốt cuộc đời mình.","Yoldaşlar, fazla bir ömrüm kaldığını sanmıyorum. Onun için, bugüne kadar edindiğim bilgileri, deneyimleri sizlere aktarmayı görev biliyorum.","Yo no creo, camaradas, que esté muchos meses más con vosotros y antes de morir estimo mi deber transmitiros la sabiduría que he adquirido."
33,"I have had a long life, I have had much time for thought as I lay alone in my stall, and I think I may say that I understand the nature of life on this earth as well as any animal now living.","Tôi đã có một cuộc đời phải nói là dài và tôi đã suy nghĩ rất nhiều khi nằm một mình trong chuồng, tôi nghĩ rằng tôi có thể nói là tôi hiểu đời không thua bất kì con vật nào trên thế gian này.","Çok uzun yaşadım, ağılımda bir başıma yatarken düşünecek çok zamanım oldu; bu dünyanın düzenini, yaşamakta olan her hayvan kadar kavradığımı söyleyebilirim.","He vivido muchos años, dispuse de bastante tiempo para meditar mientras he estado a solas en mi pocilga y creo poder afirmar que entiendo el sentido de la vida en este mundo, tan bien como cualquier otro animal viviente."
34,It is about this that I wish to speak to you.,Đó là điều tôi muốn nói với các đồng chí.,Bugün sizlerle konuşmak istediğim de bu işte.,Es respecto a esto de lo que deseo hablaros.
35,"“Now, comrades, what is the nature of this life of ours?","Bây giờ, thưa các đồng chí, thực chất đời sống của chúng ta là gì?","""Evet yoldaşlar, yaşadığımız hayat nasıl bir hayattır?","»Veamos, camaradas: ¿Cuál es la realidad de esta vida nuestra?"
36,"Let us face it: our lives are miserable, laborious, and short.","Chúng ta hãy nhìn thẳng vào sự thật. Cuộc đời của chúng ta là khổ sai, khốn nạn và yểu mệnh.","Açıkça söylemekten korkmayalım: Şu kısa ömrümüz yoksulluk içinde, sabahtan akşama kadar uğraşıp didinmekle geçip gidiyor.","Encarémonos con ella: nuestras vidas son tristes, fatigosas y cortas."
37,"We are born, we are given just so much food as will keep the breath in our bodies, and those of us who are capable of it are forced to work to the last atom of our strength; and the very instant that our usefulness has come to an end we are slaughtered with hideous cruelty.","Chúng ta sinh ra, chúng ta được một khẩu phần vừa đủ để khỏi chết vì đói, những con nào có thể làm thì phải làm đến kiệt sức và khi không làm được nữa thì chúng ta bị giết một cách vô cùng dã man, tàn bạo.",Dünyaya geldikten sonra yaşamamıza yetecek kadar yiyecek verirler; ayakta kalanlarımızı canı çıkana kadar çalıştırırlar; işlerine yaramaz duruma geldiğimizde de korkunç bir acımasızlıkla boğazlarlar.,"Nacemos, nos suministran la comida necesaria para mantenernos y a aquellos de nosotros capaces de trabajar nos obligan a hacerlo hasta el último átomo de nuestras fuerzas; y en el preciso instante en que ya no servimos, nos matan con una crueldad espantosa."
38,No animal in England knows the meaning of happiness or leisure after he is a year old.,Không có con vật nào ở nước Anh này biết đến hạnh phúc và niềm vui ngay khi vừa tròn một tuổi.,"İngiltere'de, bir yaşına geldikten sonra, hiçbir hayvan mutluluk nedir bilmez, hiçbir hayvan dinlenip eğlenemez.",Ningún animal en Inglaterra conoce el significado de la felicidad o la holganza después de haber cumplido un año de edad.
39,No animal in England is free.,Không có con vật nào ở nước Anh này được tự do.,İngiltere'de hiçbir hayvan özgür değildir.,No hay animal libre en Inglaterra.
40,The life of an animal is misery and slavery: that is the plain truth.,Cuộc sống của loài vật là cuộc sống nghèo khổ và nô lệ: sự thật trần trụi là như thế đấy.,"Hayatımız sefillikten, kölelikten başka nedir ki! İşte, tüm çıplaklığıyla gerçek budur.",La vida de un animal es sólo miseria y esclavitud; ésta es la pura verdad.
41,“But is this simply part of the order of nature?,Nhưng đấy có phải là qui luật của tự nhiên không?,"""Peki, bu durum, Doğa'nın bir yasası mıdır?","»Pero, ¿forma esto parte realmente, del orden de la naturaleza?"
42,Is it because this land of ours is so poor that it cannot afford a decent life to those who dwell upon it?,"Chả lẽ nước ta lại nghèo đến độ không nuôi nổi những động vật sống ở đây ư? Không, ngàn vạn lần không, thưa các đống chí. Đất Anh màu mỡ, thời tiết thuận hòa, thừa sức cung cấp thức ăn cho một số lượng động vật lớn hơn hiện nay rất nhiều.","Ülkemiz, topraklarında yaşayanlara düzgün bir hayat sunamayacak kadar yoksul mudur?",¿Es acaso porque esta tierra nuestra es tan pobre que no puede proporcionar una vida decorosa a todos sus habitantes?
44,"The soil of England is fertile, its climate is good, it is capable of affording food in abundance to an enormously greater number of animals than now inhabit it.","Chả lẽ nước ta lại nghèo đến độ không nuôi nổi những động vật sống ở đây ư? Không, ngàn vạn lần không, thưa các đống chí. Đất Anh màu mỡ, thời tiết thuận hòa, thừa sức cung cấp thức ăn cho một số lượng động vật lớn hơn hiện nay rất nhiều.","Hayır, yoldaşlar, asla! İngiltere toprakları bereketlidir; havası suyu iyidir yurdumuzun; bugün bu ülkede yaşayan hayvanlardan çok daha fazlasına bol bol yiyecek sağlayabilir.","El suelo de Inglaterra es fértil, su clima es bueno, es capaz de dar comida en abundancia a una cantidad mucho mayor de animales que la que actualmente lo habita."
45,"This single farm of ours would support a dozen horses, twenty cows, hundreds of sheep — and all of them living in a comfort and a dignity that are now almost beyond our imagining.","Chỉ nội cái trang trại của chúng ta đã có thể nuôi được một tá ngựa, hai chục bò, hàng trăm cừu và tất cả đều có thể sống trong tiện nghi và phẩm giá mà nay chúng ta không thể nào tưởng tượng nổi.","Yalnızca şu bizim çiftlik bile bir düzine atı, yirmi ineği, yüzlerce koyunu besleyebilir; besleyebilir ne demek, onlara bugün bizim hayal bile edemeyeceğimiz kadar rahat ve onurlu bir hayat yaşatabilir.","Solamente nuestra granja puede mantener una docena de caballos, veinte vacas, centenares de ovejas; y todos ellos viviendo con una comodidad y una dignidad que en estos momentos está casi fuera del alcance de nuestra imaginación."
46,Why then do we continue in this miserable condition?,Thế thì tại sao chúng ta lại cứ tiếp tục sống trong điều kiện khốn nạn thế này?,"Öyleyse, bu sefilliğe neden boyun eğelim?","¿Por qué, entonces, continuamos en esta mísera condición?"
47,Because nearly the whole of the produce of our labour is stolen from us by human beings.,Bởi vì hầu như toàn bộ những gì chúng ta làm ra đều bị con người chiếm đoạt hết.,"İnsanlar, emeğimizle ürettiklerimizin neredeyse tümünü bizden çalıyorlar.",Porque los seres humanos nos arrebatan casi todo el fruto de nuestro trabajo.
48,"There, comrades, is the answer to all our problems.",Đấy là nguyên nhân tất cả các vấn nạn của chúng ta.,"İşte, yoldaşlar, tüm sorunlarımızın yanıtı burada.","Ahí está, camaradas, la respuesta a todos nuestros problemas."
49,It is summed up in a single word — Man.,Nói ngắn gọn bằng một từ là: Con Người.,Tek bir sözcükte özetlenebilir: İnsan.,Todo está explicado en una sola palabra: el Hombre.
50,Man is the only real enemy we have.,Nói ngắn gọn bằng một từ là: Con Người. Con Người là kẻ thù của chúng ta.,Tek gerçek düşmanımız İnsandır.,Todo está explicado en una sola palabra: el Hombre. El hombre es el único enemigo real que tenemos.
51,"Remove Man from the scene, and the root cause of hunger and overwork is abolished for ever.","Nếu không còn người nữa thì chúng ta vĩnh viễn sẽ không còn bị đói, không còn phải làm công việc khổ sai nữa.","İnsan'ı ortadan kaldırın, açlığın ve köle gibi çalışmanın temelindeki neden de sonsuza dek silinecektir yeryüzünden.",Haced desaparecer al hombre de la escena y la causa motivadora de nuestra hambre y exceso de trabajo será abolida para siempre.
52,“Man is the only creature that consumes without producing.,Người là giống vật duy nhất chỉ ăn mà không làm.,"""İnsan, üretmeden tüketen tek yaratıktır.",»El hombre es el único ser que consume sin producir.
53,"He does not give milk, he does not lay eggs, he is too weak to pull the plough, he cannot run fast enough to catch rabbits.","Người không làm ra sữa, không đẻ ra trứng, người không thể kéo cày, không chạy nhanh bằng thỏ.","Süt vermez, yumurta yumurtlamaz, sabanı çekecek gücü yoktur, tavşan yakalayacak kadar hızlı koşamaz.","No da leche, no pone huevos, es demasiado débil para tirar del arado y su velocidad ni siquiera le permite atrapar conejos."
54,Yet he is lord of all the animals.,Nhưng nó lại là chủ của tất cả chúng ta.,"Gene de, tüm hayvanların efendisidir.","Sin embargo, es dueño y señor de todos los animales."
55,"He sets them to work, he gives back to them the bare minimum that will prevent them from starving, and the rest he keeps for himself.","Nó bắt chúng ta làm việc, cướp lấy mọi thành quả lao động của chúng ta, chỉ cho chúng ta ăn vừa đủ để không chết đói mà thôi.","Hayvanları çalıştırır, karşılığında onlara açlıktan ölmeyecekleri kadar yiyecek verir, geri kalanını kendine ayırır.","Los hace trabajar, les da el mínimo necesario para mantenerlos y lo demás se lo guarda para él."
56,"Our labour tills the soil, our dung fertilises it, and yet there is not one of us that owns more than his bare skin.","Chúng ta phải cày bừa, phân chúng ta bón ruộng, thế mà chúng ta có gì? Chẳng có gì ngoài da bọc xương.","Bizse emeğimizle tarlayı sürer, gübremizle toprağı besleriz; oysa hiçbirimizin postundan başka bir şeyi yoktur.","Nuestro trabajo labora la tierra, nuestro estiércol la abona y, sin embargo, no existe uno de nosotros que posea algo más que su pellejo."
57,"You cows that I see before me, how many thousands of gallons of milk have you given during this last year?","Các đồng chí bò đang ngồi trước mặt tôi đây, năm vừa qua các đồng chí cho bao nhiêu lít sữa?","Siz, şu karşımda oturan inekler; bu yıl kaç bin litre süt verdiniz?","Vosotras, vacas, que estáis aquí, ¿cuántos miles de litros de leche habéis dado este último año?"
58,And what has happened to that milk which should have been breeding up sturdy calves?,Thế số sữa mà đáng lẽ dùng để nuôi các chú bò con ấy đi đâu?,Güçlü kuvvetli danalar yetiştirmek için gerekli olan sütleriniz nereye gitti?,¿Y qué se ha hecho con esa leche que debía servir para criar terneros robustos?
59,Every drop of it has gone down the throats of our enemies.,Kẻ thù của chúng ta đã uống đến giọt cuối cùng.,Her bir damlası düşmanlarımızın midesine indi.,Hasta la última gota ha ido a parar al paladar de nuestros enemigos.
60,"And you hens, how many eggs have you laid in this last year, and how many of those eggs ever hatched into chickens?","Còn các bạn gà, năm vừa qua các bạn đã đẻ bao nhiêu trứng, trong đó có bao nhiêu quả nở thành gà con? Lão Jones và gia nhân đã mang ra chợ bán lấy tiền hết rồi.","Siz, tavuklar; bu yıl kaç yumurta yumurtladınız, o yumurtaların kaçından civciv çıkarabildiniz?","Y vosotras, gallinas, ¿cuántos huevos habéis puesto este año y cuántos pollitos han salido de esos huevos?"
61,The rest have all gone to market to bring in money for Jones and his men.,"Còn các bạn gà, năm vừa qua các bạn đã đẻ bao nhiêu trứng, trong đó có bao nhiêu quả nở thành gà con? Lão Jones và gia nhân đã mang ra chợ bán lấy tiền hết rồi.","Tümüne yakını pazarda satıldı, Jones ve adamlarına para kazandırdı.",Todo lo demás ha ido a parar al mercado para producir dinero para Jones y su gente.
62,"And you, Clover, where are those four foals you bore, who should have been the support and pleasure of your old age?","Bà Mập, bốn đứa con của bà, niềm vui và chốn nương tựa lúc tuổi cao bóng xế của bà đâu rồi?","Ve sen, Clover, doğurduğun o dört tay nerede; yaşlandığında sırtını dayayacağın, keyfini süreceğin o taylar nerede?","Y tú, Clover, ¿dónde están estos cuatro potrillos que has tenido, que debían ser sostén y alegría de tu vejez?"
63,Each was sold at a year old — you will never see one of them again.,"Chúng đã bị đem bán khi vừa tròn một tuổi, bà sẽ không bao giờ được gặp lại chúng nữa.",Dördü de bir yaşına geldiklerinde satıldı; onları bir daha hiç göremeyeceksin.,Todos fueron vendidos al año; no los volverás a ver jamás.
64,"In return for your four confinements and all your labour in the fields, what have you ever had except your bare rations and a stall?","Một khẩu phần ăn chết đói và cái chuồng, công cho bốn lần vượt cạn cũng như công việc đồng áng của bà chỉ có thế mà thôi!",İnsanlara verdiğin o dört tay ve tarlalardaki emeğinin karşılığında bir avuç yem ve soğuk bir ahırdan başka ne gördün?,"Como recompensa por tus cuatro criaturas y todo tu trabajo en el campo, ¿qué has tenido, exceptuando tus escuálidas raciones y un pesebre?"
