line_no,en,vi,tr,es
11,"Whenever I have gone there, there have been either so many people that I have not been able to see the pictures, which was dreadful, or so many pictures that I have not been able to see the people, which was worse.","Mỗi khi tôi đến đó là ở đó thế nào cũng có hoặc là nhiều người đến nỗi tôi không thể trông thấy các bức tranh, vốn đã kinh khiếp, hoặc là nhiều tranh đến nỗi tôi không thể thấy lũ người, lại còn kinh hơn.","Ne zaman oraya gittiysem ya kalabalık yüzünden resimleri göremedim, ki feci bir şey ya da resimlerin çokluğu yüzünden insanları göremedim, ki bu daha da beter.","Cada vez que voy allí, o hay tanta gente que no puedo ver los cuadros, lo que es horrible, o hay tantos cuadros que no puedo ver a la gente, lo que todavía es peor."
12,The Grosvenor is really the only place.”,Grosvenor thật sự là nơi duy nhất.”,"İnan bana, tek seçenek Grosvenor Galerisi.",La galería Grosvenor es el sitio indicado.
13,"“I don’t think I shall send it anywhere,” he answered, tossing his head back in that odd way that used to make his friends laugh at him at Oxford.","“Tôi không nghĩ mình sẽ gửi nó đi đâu cả,” y trả lời, hất đầu ra sau theo cái lối kỳ quặc vẫn thường khiến bạn bè y cười y ở Oxford.","Ressam, “Bunu hiçbir yere yollayacağımı sanmıyorum,” diye yanıtladı, başını Oxford’dayken arkadaşlarını hep güldürmüş olan o tuhaf devinimle arkaya atarak.","—No creo que lo mande a ningún sitio —respondió el artista, echando la cabeza hacia atrás de la curiosa manera que siempre hacía reír a sus amigos de Oxford—."
14,"“No, I won’t send it anywhere.”",“Không: tôi sẽ không gửi nó đi đâu cả.,"“Yok, hiçbir yere yollamayacağım.",No; no mandaré el retrato a ningún sitio.
15,"Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls from his heavy, opium-tainted cigarette.",Huân tước Henry nhướng mày và sửng sốt nhìn y qua làn khói xanh mỏng cuộn lên thành các vòng xoắn siêu thực từ điếu thuốc nặng mùi nha phiến của mình.,"Lord Henry kaşlarını kaldırdı; içtiği kalın, afyonlu sigaradan burgu burgu yükselen ince, mavi duman halkalarının arasından arkadaşına şaşkınlıkla baktı.","Lord Henry alzó las cejas y lo miró con asombro a través de las delgadas volutas de humo que, al salir de su cigarrillo con mezcla de opio, se retorcían adoptando extrañas formas."
16,“Not send it anywhere?,“Không gửi nó đi đâu cả?,“Hiçbir yere yollamayacak mısın?,—¿No lo vas a enviar a ningún sitio?
17,"My dear fellow, why?","Bạn ơi, tại sao?","Aziz dostum, ne diye?","¿Por qué, mi querido amigo?"
18,Have you any reason?,Anh có lý do nào không?,Bir nedenin var mı?,¿Qué razón podrías aducir?
19,What odd chaps you painters are!,Họa sỹ các anh thật là những kẻ kỳ cục!,"Siz ressamlar, ne tuhaf kişilersiniz!",¿Por qué sois unas gentes tan raras los pintores?
20,You do anything in the world to gain a reputation.,Các anh làm mọi việc trên đời để kiếm danh.,Ün kazanmak için her şeyi yapıyorsunuz.,"Hacéis cualquier cosa para ganaros una reputación, pero, tan pronto como la tenéis, se diría que os sobra."
21,"As soon as you have one, you seem to want to throw it away.",Vậy mà ngay khi các anh có nó thì dường như các anh lại muốn ném nó đi luôn.,Kazanır kazanmaz da ününüzü heba etmek istiyorsunuz!,"Hacéis cualquier cosa para ganaros una reputación, pero, tan pronto como la tenéis, se diría que os sobra."
22,"It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about.","Đấy là cái dại của các anh, bởi lẽ chỉ có một thứ trên đời này tệ hơn bị nhắc đến, và đó là không được nhắc đến.","Saçmalık bu yaptığınız, çünkü şu dünyada, dillerde gezmekten daha kötü bir şey varsa o da dillerde gezmemektir.","Es una tontería, porque en el mundo sólo hay algo peor que ser la persona de la que se habla y es ser alguien de quien no se habla."
23,"A portrait like this would set you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of any emotion.”","Một bức chân dung như thế này sẽ đặt anh lên trên hẳn mọi người trẻ ở Anh, và khiến cho những người già phải ghen tức lồng lộn, nếu như những người già ấy còn có khả năng thấy được cảm xúc nào đó.”","Böyle bir portre seni İngiltere’deki genç ressamların hepsinden daha yükseklerde bir yere getirir, yaşlıları da kıskançlıktan çatlatır; yaşlılarda herhangi bir his kalmış mıdır, bilmem ya.","Un retrato como ése te colocaría muy por encima de todos los pintores ingleses jóvenes y despertaría los celos de los viejos, si es que los viejos son aún susceptibles de emociones."
24,"“I know you will laugh at me,” he replied, “but I really can’t exhibit it.","“Tôi biết anh sẽ cười tôi,” y trả lời, “nhưng tôi thực sự không thể trưng bày nó.","Ressam Hallward, “Beni alaya alacağını biliyorum, gene de bu resmi sergileyemem, gerçekten,” dedi.","—Sé que te vas a reír de mí —replicó Hallward—, pero no me es posible exponer ese retrato."
25,I have put too much of myself into it.”,Tôi đã đưa quá nhiều thứ của chính mình vào trong nó rồi.”,“Kendimden pek çok şey kattım buna.,He puesto en él demasiado de mí mismo.
26,Lord Henry stretched himself out on the divan and laughed.,Huân tước Henry duỗi người trên đi-văng và bật cười.,Lord Henry divana boylu boyunca uzanarak güldü.,"Lord Henry, estirándose sobre el sofá, dejó escapar una carcajada."
27,"“Yes, I knew you would; but it is quite true, all the same.”","“Vâng, tôi biết anh sẽ vậy; nhưng tuy nhiên đó hoàn toàn là sự thật đấy.”","“Evet, biliyordum güleceğini, gene de doğruyu söylüyorum, sen ne dersen de.","—Sí, Harry, sabía que te ibas a reír, pero, de todos modos, no es más que la verdad."
28,“Too much of yourself in it!,“Quá nhiều thứ của chính anh trong nó!,“Kendinden pek çok şey kattın ha!,—¡Demasiado de ti mismo!
29,"Upon my word, Basil, I didn’t know you were so vain; and I really can’t see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves.","Lạ thật đấy, Basil, tôi không biết anh lại tự phụ đến thế; và tôi thật sự không thể thấy bất cứ nét tương đồng nào giữa anh, với khuôn mặt thô kệch mạnh mẽ và mái tóc đen như than, và chàng Adonis trẻ trung này, người nhìn như thể được tạo ra từ ngà voi và lá hồng.","Allah iyiliğini versin, Basil, ben senin böylesine kibirli olduğunu hiç bilmezdim. Senin şu kömür karası saçların, şu haşin çizgili, yağız yüzünle bu genç Adonis arasında hiçbir benzerlik göremiyorum, inan; bu genç adam fildişiyle gül yapraklarından yapılmışa benziyor.","A fe mía, Basil, no sabía que fueras tan vanidoso; no advierto la menor semejanza entre ti, con tus facciones bien marcadas y un poco duras y tu pelo negro como el carbón, y ese joven adonis, que parece estar hecho de marfil y pétalos de rosa."
30,"Why, my dear Basil, he is a Narcissus, and you—well, of course you have an intellectual expression and all that.","Sao vậy, Basil yêu quý của tôi, chàng ta là một Narcissus, còn anh — à, dĩ nhiên anh có nét trí thức, đại loại thế.","Tam bir Adonis, sevgili Basil, sense...","Vamos, mi querido Basil, ese muchacho es un narciso, y tú..., bueno, tienes, por supuesto, un aire intelectual y todo eso."
31,"But beauty, real beauty, ends where an intellectual expression begins.","Song cái đẹp, cái đẹp thật sự, lại kết thúc nơi nét trí thức bắt đầu.","Evet, gerçi entelektüel bir ifaden var, falan filan, ne ki güzellik, gerçek güzellik, entelektüel ifadenin başladığı yerde biter.","Pero la belleza, la belleza auténtica, termina donde empieza el aire intelectual."
32,"Intellect is in itself a mode of exaggeration, and destroys the harmony of any face.","Sự hiểu biết tự nó là một kiểu cường điệu, và phá hoại sự cân đối của bất cứ khuôn mặt nào.","Akıl, başlı başına bir abartı türüdür, girdiği yüzün uyumunu bozar.","El intelecto es, por sí mismo, un modo de exageración, y destruye la armonía de cualquier rostro."
33,"The moment one sits down to think, one becomes all nose, or all forehead, or something horrid.","Ngay cái khoảnh khắc mà ai đó ngồi xuống ngẫm nghĩ là nhìn họ đã thành ra toàn mũi là mũi, hoặc toàn trán là trán, hoặc thứ gì đó rất kinh.","İnsan oturup düşünmeye başladığı dakikada salt burun, salt alın kesilir ya da böyle feci bir şey.","En el momento en que alguien se sienta a pensar, todo él se convierte en nariz o en frente o en algo espantoso."
34,Look at the successful men in any of the learned professions.,Hãy nhìn những kẻ thành đạt trong bất cứ nghề nghiệp trí thức nào.,Aydın mesleklerinde başarı kazanmış adamlara baksana.,Repara en quienes triunfan en cualquier profesión docta.
35,How perfectly hideous they are!,"Họ mới gớm guốc làm sao! Ngoại trừ, dĩ nhiên, trong Giáo hội.",Nasıl da baştan ayağa çirkindirler!,"Son absolutamente imposibles. Con la excepción, por supuesto, de la Iglesia."
36,"Except, of course, in the Church.","Họ mới gớm guốc làm sao! Ngoại trừ, dĩ nhiên, trong Giáo hội.","Yalnızca kilise bunun dışındadır, doğallıkla.","Con la excepción, por supuesto, de la Iglesia."
37,But then in the Church they don’t think.,Nhưng mà trong Giáo hội họ có nghĩ ngợi gì đâu.,Ne var ki kiliseyi meslek edinmiş olanlar da düşünmezler.,Pero sucede que en la Iglesia no se piensa.
38,"A bishop keeps on saying at the age of eighty what he was told to say when he was a boy of eighteen, and as a natural consequence he always looks absolutely delightful.","Một giám mục vẫn cứ nói ở tuổi tám mươi những điều mà y đã được dạy cho nói khi y là một cậu bé mười tám tuổi, và như một hệ quả tự nhiên, trông y luôn có vẻ tột đỉnh hân hoan.","Piskoposun biri çıkar, on sekiz yaşında delikanlıyken, şunu diyeceksin, diye kendine belletilmiş olan şeyleri sekseninde de söyler, bunun sonucu olarak da göze her zaman şirin gözükür.","Un obispo sigue diciendo a los ochenta años lo que a los dieciocho le contaron que tenía que decir, y la consecuencia lógica es que siempre tiene un aspecto delicioso."
39,"Your mysterious young friend, whose name you have never told me, but whose picture really fascinates me, never thinks.","Anh bạn trẻ huyền bí của anh, kẻ có cái tên mà anh chưa bao giờ kể tôi nghe, song lại có bức chân dung thật sự mê hoặc tôi, chưa từng ngẫm nghĩ.","Şu, senin adını söylemediğin ama resmi beni gerçekten büyüleyen gizemli genç arkadaşınsa bence hiç düşünmüyor.","Tu misterioso joven amigo, cuyo nombre nunca me has revelado, pero cuyo retrato me fascina de verdad, nunca piensa."
40,I feel quite sure of that.,Tôi khá chắc chắn về điều ấy.,Buna kalıbımı basabilirim.,Estoy completamente seguro de ello.
41,"He is some brainless beautiful creature who should be always here in winter when we have no flowers to look at, and always here in summer when we want something to chill our intelligence.","Cậu ấy là một tạo vật đẹp đẽ, đần độn, kẻ sẽ luôn ở đây vào mùa đông khi chúng ta không còn hoa để ngắm và luôn ở đây vào mùa hạ khi chúng ta muốn có gì đó làm dịu trí óc mình.","Beyinsiz, güzel bir yaratık; kışın, seyredecek çiçeğimiz kalmadığı zaman, yazın da aklımızı serinletecek bir şeye ihtiyaç duyduğumuzda burada olmalı.","Es una hermosa criatura, descerebrada, que debería estar siempre aquí en invierno, cuando no tenemos flores que mirar, y también en verano, cuando buscamos algo que nos enfríe la inteligencia."
42,"Don’t flatter yourself, Basil: you are not in the least like him.”","Đừng tự hào quá, Basil: anh không giống cậu ấy chút nào cả.”","Kendi kendini pohpohlama, Basil, ona zerrece benzemiyorsun sen.","No te hagas ilusiones, Basil: no eres en absoluto como él."
43,"“You don’t understand me, Harry,” answered the artist.","“Anh không hiểu tôi rồi, Harry,” nghệ sỹ trả lời.","Ressam, “Beni anlamıyorsun, Harry,” diye karşılık verdi.","—No me entiendes, Harry —respondió el artista—."
44,“Of course I am not like him.,“Dĩ nhiên tôi không giống cậu ấy.,“Elbette benzemiyorum ona.,"No soy como él, por supuesto."
45,I know that perfectly well.,Tôi biết điều ấy rất rõ.,Bunu çok iyi biliyorum.,Lo sé perfectamente.
46,"Indeed, I should be sorry to look like him.","Quả thực, tôi nên lấy làm buồn vì nhìn giống cậu ấy.","Hatta, ona benzesem üzülürdüm.","De hecho, lamentaría parecerme a él."
47,You shrug your shoulders?,Anh nhún vai à? Tôi nói thật với anh đấy.,Omuz mu silkiyorsun?,¿Te encoges de hombros?
48,I am telling you the truth.,Anh nhún vai à? Tôi nói thật với anh đấy.,Doğruyu söylüyorum sana.,Te digo la verdad.
49,"There is a fatality about all physical and intellectual distinction, the sort of fatality that seems to dog through history the faltering steps of kings.","Có một định mệnh với mọi sự ưu tú về thể chất và trí tuệ, một kiểu định mệnh dường như bám sát suốt lịch sử theo những bước chân loạng choạng của các vị vua.","Bütün bedensel ve beyinsel seçkinliklerde bir uğursuzluk vardır bence, tüm tarih boyunca kralların sarsak adımlarını izleyip duran türden bir uğursuzluk.","Hay un destino adverso ligado a la superioridad corporal o intelectual, el destino adverso que persigue por toda la historia los pasos vacilantes de los reyes."
50,It is better not to be different from one’s fellows.,Tốt hơn cả là không khác với bạn bè.,Öbür insan kardeşlerimizden farklı olmamak daha iyidir.,Es mucho mejor no ser diferente de la mayoría.
51,The ugly and the stupid have the best of it in this world.,Sự xấu xí và sự ngu dốt luôn có lợi nhất trong thế giới này.,Bu dünyada en şanslı olanlar bence çirkinlerle aptallar.,Los feos y los estúpidos son quienes mejor lo pasan en el mundo.
52,They can sit at their ease and gape at the play.,Chúng có thể ngồi thoải mái và ngáp dài vào cuộc chơi.,Yan gelip yayılarak yaşam denen oyunu ağzı açık seyredebilirler.,Se pueden sentar a sus anchas y ver la función con la boca abierta.
53,"If they know nothing of victory, they are at least spared the knowledge of defeat.","Nếu chúng chẳng biết gì về chiến thắng, thì chí ít chúng cũng không phải biết đến thất bại.",Zafer denen şeyi bilmeseler bile hiç değilse yenilgiyi de tatmazlar.,"Aunque no sepan nada de triunfar, se ahorran al menos los desengaños de la derrota."
54,"They live as we all should live—undisturbed, indifferent, and without disquiet.","Chúng sống như tất cả chúng ta ai ai cũng nên sống, yên bình, hờ hững, chẳng âu lo.","Aslında hepimizin yaşamamız gerektiği gibi yaşar onlar, kaygısız, kayıtsız, çalkantısız.","Viven como todos deberíamos vivir, tranquilos, despreocupados, impasibles."
55,"They neither bring ruin upon others, nor ever receive it from alien hands.",Chúng không mang vạ đến cho kẻ khác mà cũng chẳng nhận nó từ tay tha nhân nào.,Başkalarının mahvına yol açmadıkları gibi kendileri de onun bunun elinde telef olmazlar.,"Ni provocan la ruina de otros, ni la reciben de manos ajenas."
56,"Your rank and wealth, Harry; my brains, such as they are—my art, whatever it may be worth; Dorian Gray’s good looks—we shall all suffer for what the gods have given us, suffer terribly.”","Địa vị và của cải của anh, Harry; trí tuệ của tôi, như chúng vốn có — nghệ thuật của tôi, dẫu nó có đáng giá nào chăng nữa; vẻ đẹp của Dorian Gray — tất cả chúng ta đều phải gánh chịu những gì mà các vị thần ban cho chúng ta, gánh chịu một cách khốn khổ.”","Senin unvanınla servetin, Harry; benim aklım fikrim, karınca kararınca; eğer bir değeri varsa sanatım; Dorian Gray’in güzelliği... Tanrı’nın bu bağışları yüzünden hepimiz acı çekeceğiz, hem de büyük acılar.","Tu situación social y tu riqueza, Harry; mi cerebro, el que sea; mi arte, cualquiera que sea su valor; la apostura de Dorian Gray: todos vamos a sufrir por lo que los dioses nos han dado, y a sufrir terriblemente."
58,"Is that his name?” asked Lord Henry, walking across the studio towards Basil Hallward.",“Dorian Gray? Có phải đó là tên cậu ấy?” Huân tước Henry vừa hỏi vừa bước ngang qua xưởng về phía Basil Hallward.,“Bu mu adı?,"—¿Dorian Gray? ¿Es así como se llama? —preguntó lord Henry, atravesando el estudio en dirección a Basil Hallward."
59,"“Yes, that is his name.","“Vâng, đó là tên cậu ấy.","“Evet, adı bu.",—Sí; así es como se llama.
60,I didn’t intend to tell it to you.”,Tôi không định kể điều đó cho anh nghe.”,Sana söylemeye hiç niyetim yoktu.,No tenía intención de decírtelo.
61,“But why not?”,“Nhưng sao lại không?”,"“Neden, peki?","—Pero, ¿por qué no?"
62,"“Oh, I can’t explain.","“Ôi, tôi không thể giải thích.","“Of, anlatamam ki!",—No te lo puedo explicar.
63,"When I like people immensely, I never tell their names to any one.",Khi tôi vô cùng thích ai đó thì tôi không bao giờ kể tên họ cho bất cứ ai nghe.,Ben birisinden çok fazla hoşlandım mı onun adını hiç kimseye söylemem.,Cuando alguien me gusta muchísimo nunca le digo su nombre a nadie.
64,It is like surrendering a part of them.,Làm thế cũng giống như giao nộp một phần của họ.,Onun kimliğinden bir parçayı başkasına teslim etmek gibi gelir bu bana.,Es como entregar una parte de esa persona.
65,I have grown to love secrecy.,Tôi đã dần dần trở nên yêu quý sự bí mật.,Gizli kapaklılığı sever oldum zamanla.,Con el tiempo he llegado a amar el secreto.
66,It seems to be the one thing that can make modern life mysterious or marvellous to us.,Nó dường như là một thứ có thể khiến cho cuộc sống hiện đại thành ra huyền bí hoặc phi thường với chúng ta.,"Çağdaş yaşamı gözümüzde gizemli, büyülü kılabilecek tek şey bu gibi geliyor bana.",Parece ser lo único capaz de hacer misteriosa o maravillosa la vida moderna.
67,The commonest thing is delightful if one only hides it.,Một điều tầm thường nhất cũng thành ra thú vị nếu ta chỉ việc giấu nó đi.,"Gizli tutarsan en sıradan şey bile tatlı, zevkli olabiliyor.",Basta esconder la cosa más corriente para hacerla deliciosa.
68,When I leave town now I never tell my people where I am going.,"Giờ đây, những khi rời thành phố, tôi chẳng bao giờ kể cho người thân nghe nơi tôi sẽ đến.",Şimdilerde kentten ayrıldığımda gideceğim yeri kimselere söylemiyorum.,"Cuando ahora me marcho de Londres, nunca le digo a mi gente adónde voy."
69,"If I did, I would lose all my pleasure.",Nếu làm vậy tôi sẽ đánh mất hết niềm vui của mình.,Söylesem bütün tadım kaçacak.,"Si lo hiciera, dejaría de resultarme placentero."
70,"It is a silly habit, I dare say, but somehow it seems to bring a great deal of romance into one’s life.","Đó là một thói quen ngớ ngẩn, tôi dám chắc là vậy, song thế nào đó mà nó dường như đem rất nhiều sự lãng mạn lại cho cuộc sống của ta.","Çocuksu bir huy olabilir, gene de insanın yaşantısına bol romantizm katıyor sanki.","Es una costumbre tonta, lo reconozco, pero por alguna razón parece dotar de romanticismo a la vida."
71,I suppose you think me awfully foolish about it?”,Tôi tin là anh đang nghĩ tôi cực kỳ ngốc nghếch trong chuyện này phải không?”,"Sen beni bu yüzden iyice aptal buluyorsun herhalde, değil mi?","Imagino que te resulto terriblemente ridículo, ¿no es cierto?"
72,"“Not at all,” answered Lord Henry, “not at all, my dear Basil.","“Tuyệt nhiên không,” huân tước Henry đáp lại, “tuyệt nhiên không, Basil thân mến của tôi.","“Hiç de değil,” diye yanıtladı Lord Henry. “Sevimli Basil, hiç de değil.","—En absoluto —respondió lord Henry—; nada de eso, mi querido Basil."
73,"You seem to forget that I am married, and the one charm of marriage is that it makes a life of deception absolutely necessary for both parties.","Anh dường như quên rằng tôi đã có gia đình, và một nét duyên của hôn nhân là ở chỗ nó khiến cho cách sống dối trá thành ra tuyệt đối cần thiết cho cả đôi bên.",Unutuyorsun ki ben evli bir adamım; evliliğin tek çekici yönü de aldatmacalı bir yaşantıyı iki taraf için de zorunlu kılmasıdır.,"Pareces olvidar que estoy casado, y el único encanto del matrimonio es que exige de ambas partes practicar asiduamente el engaño."
74,"I never know where my wife is, and my wife never knows what I am doing.","Tôi không bao giờ biết vợ tôi ở đâu, và vợ tôi cũng không bao giờ biết tôi đang làm gì.","Ben karımın nerede olduğunu dünyada bilmem, karım da benim ne yapıp ettiğimi bilmez.","Nunca sé dónde está mi esposa, y mi esposa nunca sabe lo que yo hago."
75,"When we meet—we do meet occasionally, when we dine out together, or go down to the Duke’s—we tell each other the most absurd stories with the most serious faces.","Khi chúng tôi gặp nhau — chúng tôi thỉnh thoảng mới gặp, những khi chúng tôi đi ăn ngoài cùng nhau, hoặc đi xuống nhà Công tước — chúng tôi kể cho nhau nghe những câu chuyện ngô nghê nhất với những bộ mặt nghiêm túc nhất.","Karşılaştığımızda –arada karşılaştığımız oluyor, birlikte bir yemeğe çağrıldığımız ya da dükün yanına gittiğimiz zaman– birbirimize, hiç gözümüzü kırpmadan, en gülünç martavalları atarız.","Cuando coincidimos, cosa que sucede a veces, porque salimos juntos a cenar o vamos a casa del Duque, nos contamos con tremenda seriedad las historias más absurdas sobre nuestras respectivas actividades."
