line_no,en,vi,tr,es
15,"I was not able to light on any map or work giving the exact locality of the Castle Dracula, as there are no maps of this country as yet to compare with our own Ordnance Survey maps; but I found that Bistritz, the post town named by Count Dracula, is a fairly well-known place.","Nhưng không có một cuốn sách hay một tấm bản đồ nào có thể chỉ cho tôi biết chính xác nơi tọa lạc của tòa lâu đài mang tên bá tước Dracula, bởi hiện vẫn chưa có một tấm bản đồ chi tiết nào về xứ này. Tuy nhiên, những lần tra cứu cũng cho tôi biết rằng Bistritz - nơi bá tước Dracula đã nói với tôi và để tới đó, tôi phải đi bằng xe ngựa - là một thành phố nhỏ, cổ kính, được rất nhiều người biết đến.","Dracula Şatosu’nun tam yerini veren bir harita ya da çalışma bulamadım, zira bu ülkenin bizim ayrıntılı Ordnance Survey3 haritalarımızla karşılaştırılabilecek haritaları yoktu; ama Kont Dracula’nın adını verdiği Bistriţa kasabasının oldukça iyi bilinen bir yer olduğunu gördüm.","No pude descubrir ningún mapa ni obra que arrojara luz sobre la exacta localización del castillo de Drácula, pues no hay mapas en este país que se puedan comparar en exactitud con los nuestros; pero descubrí que Bistritz, el pueblo de posta mencionado por el conde Drácula, era un lugar bastante conocido."
16,"I shall enter here some of my notes, as they may refresh my memory when I talk over my travels with Mina.",Tôi sẽ kể lại những ấn tượng khó quên của mình. Điều đó sẽ làm tôi sống lại một ký ức khi nhắc lại những cuộc du ngoạn với Mina.,Mina’yla yolculuğum hakkında konuşurken hafızamı tazeleyebilirler diye notlarımdan bazılarını buraya kaydedeceğim.,"Voy a incluir aquí algunas de mis notas, pues pueden refrescarme la memoria cuando le relate mis viajes a Mina."
17,"In the population of Transylvania there are four distinct nationalities: Saxons in the South, and mixed with them the Wallachs, who are the descendants of the Dacians; Magyars in the West, and Szekelys in the East and North.",Có bốn chủng tộc sống ở Transylvame: ở phía nam là những người Saxon sống lẫn với người Wallach vốn có xuất xứ từ sắc tộc Dacian; ở phía tây là người Magyard; còn ở phía đông và phía bắc là người Szekely. Tôi sẽ nghỉ lại cùng những người Szekely. Nghe nói họ xuất thân từ Attila và là hậu duệ của người Hung nô.,"Transilvanya nüfusunda dört farklı uyruk bulunur: Güneyde Saksonlar ve onlarla karışmış, Daçyalıların soyundan gelen Eflâklılar; batıda Macarlar, doğuda ve kuzeyde Sekeller.","En la población de Transilvania hay cuatro nacionalidades distintas: sajones en el sur, y mezclados con ellos los valacos, que son descendientes de los dacios; magiares en el oeste, y escequelios en el este y el norte."
19,"This may be so, for when the Magyars conquered the country in the eleventh century they found the Huns settled in it.","Có lẽ điều này là có thật bởi vì vào thế kỷ thứ mười hai, khi người Magyard đi chinh phục xứ sở mà hiện nay họ đang sống, thì người Hung đã sinh cơ lập nghiệp ở đó rồi.",Bu iddia doğru olabilir zira Macarlar on birinci yüzyılda ülkeyi fethettiklerinde Hunların orada yerleşmiş olduklarını gördüler.,"Esto puede ser cierto, puesto que cuando los magiares conquistaron el país, en el siglo XI, encontraron a los hunos, que ya se habían establecido en él."
20,"I read that every known superstition in the world is gathered into the horseshoe of the Carpathians, as if it were the centre of some sort of imaginative whirlpool; if so my stay may be very interesting.","Dường như mọi mê tín dị đoan trên thế giới đều có ở vùng Carpates, và tất cả luôn làm khuấy động trí tưởng tượng của dân gian. Nếu thực tế đúng là như vậy, thì những ngày nghỉ lại xứ này của tôi chắc sẽ rất thú vị.","Yeryüzünde bilinen tüm batıl inançların, sanki düşsel bir burgacın merkeziymişçesine Karpat Dağlarının oluşturduğu at nalında toplandığını okudum; eğer öyleyse, ziyaretim çok ilginç olabilir.","Leo que todas las supersticiones conocidas en el mundo están reunidas en la herradura de los Cárpatos, como si fuese el centro de alguna especie de remolino imaginativo; si es así, mi estancia puede ser muy interesante."
21,"(Mem., I must ask the Count all about them.)",(Chắc chắn tôi sẽ luôn quấy rầy ngài bá tước với những câu hỏi về cái tín ngưỡng dị đoan này).,(Not: Kont’a tüm bunları sormalıyım.,(Recordar que debo preguntarle al conde acerca de esas supersticiones).
22,"I did not sleep well, though my bed was comfortable enough, for I had all sorts of queer dreams.","Đêm đầu tiên tôi không thể ngủ say, nguyên nhân không phải là do lạ nhà lạ cửa, mà là do tôi đã mơ những giấc mơ quái lạ.","Yatağımın yeterince rahat olmasına karşın, her türlü tuhaf rüyayı gördüğüm için iyi uyuyamadım.","No dormí bien, aunque mi cama era suficientemente cómoda, pues tuve toda clase de extraños sueños."
23,"There was a dog howling all night under my window, which may have had something to do with it; or it may have been the paprika, for I had to drink up all the water in my carafe, and was still thirsty.","Suốt cả đêm, tôi luôn cảm thấy như có một con sói đang tru lên ầm ĩ ngay bên dưới cửa sổ phòng mình: đó là do chứng mất ngủ của tôi hay là do món paprika? Bởi vì tôi đã nốc cạn bình nước trong phòng mà vẫn khát cháy họng.",Bütün gece penceremin altında bir köpek havladı; belki de uykusuzluğumun bununla bir ilgisi olabilir; ya da belki kırmızıbiberdendir çünkü sürahimdeki tüm suyu içmek zorunda kalmıştım ama yine de susuzluğumu giderememiştim.,"Durante toda la noche un perro aulló bajo mi ventana, lo cual puede haber tenido que ver algo con ello; o puede haber sido también el pimentón, puesto que tuve que beberme toda el agua de mi garrafón, y todavía me quedé sediento."
24,"Towards morning I slept and was wakened by the continuous knocking at my door, so I guess I must have been sleeping soundly then.","Nhưng cuối cùng thì tôi cũng chìm sâu vào giấc ngủ khi trời đã về sáng, bởi tôi bị đánh thức khi nghe thấy tiếng gõ cửa, mà hình như người gõ cửa đã phải làm như vậy rất lâu.",Sabaha karşı uykuya daldım ve kapımın ısrarla çalınmasıyla uyandım; o sırada derin uykuda olduğumu sanıyorum.,"Ya de madrugada me dormí, pero fui despertado por unos golpes insistentes en mi puerta, por lo que supongo que en esos momentos estaba durmiendo profundamente."
25,"I had for breakfast more paprika, and a sort of porridge of maize flour which they said was “mamaliga,” and egg-plant stuffed with forcemeat, a very excellent dish, which they call “impletata.” (Mem., get recipe for this also.)","Tới bữa điểm tâm, người ta lại cho tôi ăn món paprika, một chút cháo yến mạch làm bằng bột ngô mà họ gọi là món mamaliga, và vài bát bánh nhồi nhân - một món ăn ngon tuyệt có tên là impletata.","Kahvaltıda biraz daha kırmızıbiber yedim, bir de adının mamaliga olduğunu söyledikleri mısır unundan yapılan bir tür lapa ve mükemmel bir yemek olan, impletata adını verdikleri içi kıymayla doldurulmuş patlıcan. (Not: Bunun tarifini de al.)","Comí más pimentón en el desayuno, una especie de potaje hecho de harina de maíz que dicen era ""mamaliga"", y berenjena rellena con picadillo, un excelente plato al cual llaman ""impletata"" (recordar obtener también la receta de esto)."
26,"I had to hurry breakfast, for the train started a little before eight, or rather it ought to have done so, for after rushing to the station at 7:30 I had to sit in the carriage for more than an hour before we began to move.","(Tôi đã ghi lại cách chế biến món này cho Mina). Tôi ăn vội vàng, bởi đoàn tàu sẽ tiếp tục khởi hành trước tám giờ có vài phút; nói một cách chính xác hơn, lẽ ra là tàu phải khởi hành vào lúc tám giờ kém vài phút ấy vậy mà sau một cuộc việt dã bở hơi tai để tới ga vào lúc bảy giờ ba mươi, tôi vẫn phải ngồi đợi tới hơn một tiếng đồng hồ trong toa trước khi đoàn tàu bắt đầu chuyển bánh.","Tren sekizden biraz önce kalktığı, daha doğrusu kalkması gerektiği için -zira saat 7. 30’da koştura koştura istasyona gittikten sonra hareket etmeye başlamamızdan önce bir saatten fazla vagonda oturmam gerekti- kahvaltıyı aceleye getirmek zorunda kaldım.","Me apresuré a desayunarme, ya que el tren salía un poco después de las ocho, o, mejor dicho, debió haber salido, pues después de correr a la estación a las siete y media tuve que aguardar sentado en el vagón durante más de una hora antes de que nos pusiéramos en movimiento."
27,It seems to me that the further east you go the more unpunctual are the trains.,"Tôi có cảm giác như càng đi về phía đông, các đoàn tàu càng đi muộn giờ thì phải.","Bana öyle geliyor ki, Doğu’ya doğru ilerledikçe trenler daha da rötarlı oluyor.","Me parece que cuanto más al este se vaya, menos puntuales son los trenes."
28,What ought they to be in China?,Không hiểu mọi việc rồi diễn ra như thế nào ở Trung Hoa?,Kim bilir Çin’de nasıldırlar?,¿Cómo serán en China?
29,All day long we seemed to dawdle through a country which was full of beauty of every kind.,"Suốt cả ngày hôm đó, tàu chúng tôi chạy qua một xứ sở tuyệt đẹp, muôn hình muôn vẻ.","Gün boyunca, her türlü güzellikle dolu bir arazide ağır ağır ilerledik.",Pareció que durante todo el día vagábamos a través de un país que estaba lleno de toda clase de bellezas.
32,"At every station there were groups of people, sometimes crowds, and in all sorts of attire.","Ở những nơi chúng tôi dừng chân, sân ga nào cũng nhộn nhịp các đám đông ăn mặc đủ màu sắc sặc sỡ với đủ loại y phục.","Her tren istasyonunda türlü türlü kılık kıyafete bürünmüş insan toplulukları, zaman zaman kalabalıklar vardı.","En todas las estaciones había grupos de gente, algunas veces multitudes, y con toda clase de atuendos."
33,"Some of them were just like the peasants at home or those I saw coming through France and Germany, with short jackets and round hats and home-made trousers; but others were very picturesque.",Một số người rất giống với những người nông dân ở đất nước chúng tôi hoặc ở Pháp và Đức: họ chỉ mặc những tấm áo lưới đơn giản với những chiếc quần tây cắt ống khá rộng và đội mũ vành tròn; nhưng số khác lại ăn mặc có vẻ nhiều màu sắc hơn.,"Bazıları tıpkı bizim oralardaki ya da Fransa ve Almanya’dan geçerken gördüklerim gibi kısa ceketler, yuvarlak şapkalar ve evde dikilmiş pantolonlar giymişti; ama diğerleri çok ilginçti.","Algunos de ellos eran exactamente iguales a los campesinos de mi país, o a los que había visto cuando atravesaba Francia y Alemania, con chaquetas cortas y sombreros redondos y pantalones hechos por ellos mismos; pero otros eran muy pintorescos."
34,"The women looked pretty, except when you got near them, but they were very clumsy about the waist.",Phụ nữ ở đây trông có vẻ rất khỏe mạnh và cũng khá xinh đẹp nếu như bạn không nhìn họ quá gần.,"Kadınlar, yanlarına yaklaşmadığınız sürece güzel görünüyorlardı, ama bel bölgeleri oldukça kalındı.","Las mujeres eran bonitas, excepto cuando uno se les acercaba, pues eran bastante gruesas alrededor de la cintura."
36,"The strangest figures we saw were the Slovaks, who were more barbarian than the rest, with their big cow-boy hats, great baggy dirty-white trousers, white linen shirts, and enormous heavy leather belts, nearly a foot wide, all studded over with brass nails.","Tuy nhiên, tôi thấy người Slovaki là có vẻ lạ mắt hơn tất cả; họ đội mũ rộng vành kiểu cao bồi, mặc quần ống phồng màu cháo lòng, áo sơmi vải lanh trắng và đeo thắt lưng da rộng bản có đóng nhiều đinh mũ bằng đồng.","Gördüğümüz en tuhaf kişiler, büyük kovboy şapkaları, geniş, çuvalımsı kirli beyaz pantolonları, beyaz keten gömlekleri ve üzerine baştan aşağıya pirinç çiviler kakılmış, neredeyse bir ayak genişliğinde devasa, ağır kemerleriyle geri kalanlardan daha barbar görünen Slovaklardı.","Las figuras más extrañas que vimos fueron los eslovacos, que eran más bárbaros que el resto, con sus amplios sombreros de vaquero, grandes pantalones bombachos y sucios, camisas blancas de lino y enormes y pesados cinturones de cuero, casi de un pie de ancho, completamente tachonados con clavos de hojalata."
37,"They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches.",Đặc biệt là người đàn ông nào cũng thích xỏ chân vào một đôi ủng dài bao lấy ống quần.,"Pantolonlarını içine soktukları yüksek çizmeler giyiyorlardı, uzun siyah saçları ve siyah gür bıyıkları vardı.","Usaban botas altas, con los pantalones metidos dentro de ellas, y tenían el pelo largo y negro, y bigotes negros y pesados."
38,"They are very picturesque, but do not look prepossessing.","Mái tóc đen, dài và bộ râu rậm khiến họ có vẻ đặc sắc hơn nhưng lại không đem lại cho họ một vẻ dễ thương chút nào.",Çok etkileyiciydiler ama çekici görünmüyorlardı.,"Eran muy pintorescos, pero no parecían simpáticos."
41,"It was on the dark side of twilight when we got to Bistritz, which is a very interesting old place.","Chúng tôi tới Bistritz lúc nửa đêm. Như tôi đã nói, Bistritz là một thành phố cổ kính có quá khứ đặc biệt.",Çok ilginç eski bir yerleşim yeri olan Bistriţa’ya vardığımızda alacakaranlığın karanlık tarafı olmuştu.,"Ya estaba anocheciendo cuando llegamos a Bistritz, que es una antigua localidad muy interesante."
42,"Being practically on the frontier—for the Borgo Pass leads from it into Bukovina—it has had a very stormy existence, and it certainly shows marks of it.","Nằm gần đường biên giới - quả thực, khi rời Bistritz, chỉ cần vượt qua đèo Borgo là tới Bukovine - thành phố này đã trải qua biết bao thăng trầm mà nhiều dấu ấn của nó vẫn còn đọng lại đến ngày nay.",Neredeyse sınırda yer aldığından -zira Borgo Geçidi oradan başlayıp Bukovina’ya uzanıyordu- oldukça fırtınalı bir doğası var ve kesinlikle bunun izlerini taşıyor.,"Como está prácticamente en la frontera, pues el paso de Borgo conduce desde ahí a Bucovina, ha tenido una existencia bastante agitada, y desde luego pueden verse las señales de ella."
43,"Fifty years ago a series of great fires took place, which made terrible havoc on five separate occasions.","Cách đây năm mươi năm, những trận hỏa hoạn ghê người xảy ra liên tục đã san phẳng tất cả.","Elli yıl önce, beş farklı zamanda korkunç hasara neden olan bir dizi büyük yangın yaşanmış.",Hace cincuenta años se produjeron grandes incendios que causaron terribles estragos en cinco ocasiones diferentes.
44,"At the very beginning of the seventeenth century it underwent a siege of three weeks and lost 13,000 people, the casualties of war proper being assisted by famine and disease.","Vào đầu thế kỷ mười bảy, thành phố này cũng đã phải chống đỡ một cuộc vây hãm trong suốt ba tuần, khiến mười ba ngàn người phải bỏ mạng, đó là còn chưa kể tới các nạn nhân của đói kém và dịch bệnh.",Şehir on yedinci yüzyılın hemen başında üç hafta süren bir kuşatmaya maruz kalmış ve nüfusundan 13. 000 kişiyi yitirmiş; savaşa has kayıplar kıtlık ve hastalık yüzünden artmış.,"A comienzos del siglo XVII sufrió un sitio de tres semanas y perdió trece mil personas, y a las bajas de la guerra se agregaron las del hambre y las enfermedades."
45,"Count Dracula had directed me to go to the Golden Krone Hotel, which I found, to my great delight, to be thoroughly old-fashioned, for of course I wanted to see all I could of the ways of the country.","Bá tước Dracula bố trí cho tôi ở khách sạn Vương Miện Vàng. Tôi rất vui vì thấy đó là một ngôi nhà rất cổ kính, bởi dẫu sao thì tôi cũng rất muốn càng hiểu nhiều về phong tục tập quán của xứ này càng tốt.","Kont Dracula beni, büyük bir zevkle her şeyiyle eski moda olduğunu gördüğüm Golden Krone Oteli’ne yönlendirmişti; çünkü elbette ülkeye has görebileceğim tüm gelenekleri görmek istiyordum.","El conde Drácula me había indicado que fuese al hotel Golden Krone, el cual, para mi gran satisfacción, era bastante anticuado, pues por supuesto, yo quería conocer todo lo que me fuese posible de las costumbres del país."
47,"When I came close she bowed and said, “The Herr Englishman?” “Yes,” I said, “Jonathan Harker.”","Bà cúi rạp người chào tôi và hỏi: — Ngài có phải là một người Anh không ạ? — Vâng, - Tôi trả lời - tôi là Jonathan Harker.","Yaklaştığımda başıyla selam verdi ve, “İngiliz Herr?” dedi.","Cuando me acerqué, ella se inclinó y dijo: –¿El señor inglés? –Sí -le respondí-: Jonathan Harker."
48,"She smiled, and gave some message to an elderly man in white shirt-sleeves, who had followed her to the door.",Người phụ nữ mỉm cười và nói điều gì đó với một gã đàn ông mặc áo sơmi trần đang đứng đằng sau.,"“Evet,” dedim, “Jonathan Harker.” Gülümsedi ve kapıya kadar kadının peşinden gelen, beyaz kollu gömlek giymiş yaşlıca bir adama bazı şeyler söyledi.","Ella sonrió y le dio algunas instrucciones a un hombre anciano en camisa de blancas mangas, que la había seguido hasta la puerta."
49,"He went, but immediately returned with a letter:—",Gã lập tức biến mất nhưng rồi lại trở lại ngay với một lá thư đưa cho tôi. Lá thư ấy viết thế này:,Adam gitti ama elinde bir mektupla hemen geri geldi:,"El hombre se fue, pero regresó inmediatamente con una carta:"
50,“My Friend.—Welcome to the Carpathians.,"“Ông bạn thân mến, Hoan nghênh ông đã đến với rặng Carpates.","Dostum, Karpat Dağlarına hoş geldiniz.","""Mi querido amigo: bienvenido a los Cárpatos."
51,I am anxiously expecting you.,Tôi rất sốt ruột chờ đợi ông.,Sizi sabırsızlıkla bekliyorum.,Lo estoy esperando ansiosamente.
52,Sleep well to-night.,Chúc ông ngủ ngon đêm nay.,Bu gece iyi uyuyun.,"Duerma bien, esta noche."
53,At three to-morrow the diligence will start for Bukovina; a place on it is kept for you.,"Chuyến du lịch xe ngựa tới Bukovine vào chiều mai sẽ được bắt đầu vào lúc ba giờ, chỗ của ông đã được giữ trước.",Yarın saat üçte posta arabası Bukovina’ya doğru yola çıkacak; arabada sizin için yer ayrıldı.,Mañana a las tres saldrá la diligencia para Bucovina; ya tiene un lugar reservado.
54,At the Borgo Pass my carriage will await you and will bring you to me.,Xe của tôi sẽ đợi đón ông trên đèo Borgo.,Arabam sizi Borgo Geçidinde bekleyecek ve sizi bana getirecek.,En el desfiladero de Borgo mi carruaje lo estará esperando y lo traerá a mi casa.
55,"I trust that your journey from London has been a happy one, and that you will enjoy your stay in my beautiful land.","Hy vọng rằng từ Luân Đôn, cuộc hành trình của ông sẽ diễn ra thuận lợi, và ông sẽ cảm thấy thực sự thoải mái trong những ngày sống ở đất nước tươi đẹp của chúng tôi.",Londra’dan buraya yolculuğunuzun iyi geçtiğini ve güzel topraklarımda geçireceğiniz zamandan keyif alacağınızı umuyorum.,"Espero que su viaje desde Londres haya transcurrido sin tropiezos, y que disfrute de su estancia en mi bello país."
60,"He and his wife, the old lady who had received me, looked at each other in a frightened sort of way.","Hai vợ chồng ông chủ nhìn nhau vẻ lo lắng rồi quay sang ấp úng trả lời tôi rằng tiền đi xe ngựa đã được gửi trước cùng một lá thư, ngoài ra họ cũng không biết gì hơn.","O ve karısı, yani beni karşılayan yaşlı hanım, korku dolu bir ifadeyle birbirlerine baktılar.","Él y su mujer, la anciana que me había recibido, se miraron con temor."
61,"He mumbled out that the money had been sent in a letter, and that was all he knew.","Hai vợ chồng ông chủ nhìn nhau vẻ lo lắng rồi quay sang ấp úng trả lời tôi rằng tiền đi xe ngựa đã được gửi trước cùng một lá thư, ngoài ra họ cũng không biết gì hơn.","Adam, ağzında geveleyerek paranın mektup içinde gönderildiğini ve tek bildiğinin bu olduğunu söyledi.","Él murmuró que el dinero le había sido enviado en una carta, y que era todo lo que sabía."
62,"When I asked him if he knew Count Dracula, and could tell me anything of his castle, both he and his wife crossed themselves, and, saying that they knew nothing at all, simply refused to speak further.","Khi tôi hỏi về bá tước Dracula và tòa lâu đài của ông ta, cả hai vợ chồng cùng làm dấu thánh và trả lời họ hoàn toàn không rõ gì hết, rồi ra hiệu cho tôi hiểu họ không muốn nói về chuyện đó nữa.",Ona Kont Dracula’yı tanıyıp tanımadığını ve bana onun şatosuna ilişkin herhangi bir şey anlatıp anlatamayacağını sorduğumda karısı da o da istavroz çıkardılar ve hiçbir şey bilmediklerini söyleyerek daha fazla konuşmayı reddettiler.,"Cuando le pregunté si conocía al Conde Drácula y si podía decirme algo de su castillo, tanto él como su mujer se persignaron, y diciendo que no sabían nada de nada, se negaron simplemente a decir nada más."
63,"It was so near the time of starting that I had no time to ask any one else, for it was all very mysterious and not by any means comforting.",Vì giờ lên đường đã tới nên tôi không còn thời gian để hỏi thăm qua những người khác. Tôi thấy sự việc thật bí ẩn và không có sức thuyết phục.,"Yola çıkma saati o kadar yaklaşmıştı ki başkasına soracak hiç zamanım yoktu, zira her şey çok gizemliydi ve ne olursa olsun hiç de rahatlatıcı değildi.","Era ya tan cerca a la hora de la partida que no tuve tiempo de preguntarle a nadie más, pero todo me parecía muy misterioso y de ninguna manera tranquilizante."
64,"Just before I was leaving, the old lady came up to my room and said in a very hysterical way:",Đúng vào lúc tôi sắp sửa lên đường thì bà chủ bỗng hớt hải chạy vào phòng hỏi tôi bằng một giọng hoảng hốt:,"Tam ayrılmadan önce, yaşlı kadın odama geldi ve son derece kendini kaybetmiş biçimde şöyle dedi:","Unos instantes antes de que saliera, la anciana subió hasta mi cuarto y dijo, con voz nerviosa:"
65,“Must you go?,— Ngài định đi tới đó thật sao?,“Gitmeniz şart mı?,–¿Tiene que ir? ¡Oh!
68,"She was in such an excited state that she seemed to have lost her grip of what German she knew, and mixed it all up with some other language which I did not know at all.",Người phụ nữ hoảng loạn đến nỗi lắp bắp mãi mới nói được một vài từ tiếng Đức mà bà ta biết lẫn với những tiếng gì đó hoàn toàn xa lạ đối với tôi.,"Ah! Genç Herr, gitmeniz şart mı?” Öylesine heyecanlıydı ki Almanca üzerindeki hâkimiyetini yitirmiş görünüyordu ve onu, hiç bilmediğim başka bir dille karıştırdı.","Estaba en tal estado de excitación que pareció haber perdido la noción del poco alemán que sabía, y lo mezcló todo con otro idioma del cual yo no entendí ni una palabra."
69,I was just able to follow her by asking many questions.,"Khi tôi trả lời rằng tôi phải đi ngay lập tức để giải quyết một công chuyện quan trọng, bà ta lại hỏi tôi:",Onu ancak bir sürü soru sorarak anlayabiliyordum.,Apenas comprendí algo haciéndole numerosas preguntas.
