line_no,en,vi,tr,es
12,"We had flannelette sheets, like children's, and army-issue blankets, old ones that still said U. S.","Giường trải ga bằng vải giả flannel, như của trẻ con, và chăn đắp cũng hàng quân dụng, những tấm chăn cũ vẫn còn dấu U. S.","Flanel çarşaflarımız vardı, çocuklarınkine benzer ve üzerinde hâlâ US yazan eski ordu işi battaniyeler.","Teníamos sábanas de franela de algodón, como las que usan los niños, y mantas del ejército, tan viejas que aún llevaban las iniciales U. S."
13,We folded our clothes neatly and laid them on the stools at the ends of the beds.,Quần áo được gập gọn gàng đặt trên ghế đẩu cuối giường.,Giysilerimizi düzgün bir biçimde katlayıp yatakların ayak uçlarında bulunan taburelere koyardık.,"Doblábamos nuestra ropa con mucha prolijidad y la dejábamos sobre el taburete, a los pies de la cama."
14,The lights were turned down but not out.,Đèn lờ mờ nhưng không tắt hẳn.,Işıklar söndürülmeyip kısılırdı.,Enseguida bajaban las luces pero nunca las apagaban.
15,Aunt Sara and Aunt Elizabeth patrolled; they had electric cattle prods slung on thongs from their leather belts.,"Dì Sara và dì Elizabeth lượn lờ giám sát, roi điện thúc bò lủng lẳng đầu dây nịt lưng da.",Sara Teyze ve Elizabeth Teyze devriye gezerlerdi; deri kemerlerindeki askılardan sarkan elektrikli dürteçleri vardı.,Tía Sara y Tía Elizabeth hacían la ronda; en sus cinturones de cuero llevaban colgando aguijones eléctricos como los que usaban para el ganado.
16,"No guns though, even they could not be trustedwith guns.","Nhưng súng thì không, ngay họ cũng không giao súng vào tay được.","Yine de silahları yoktu, onlara bile silah verecek kadar güvenilmezdi.","Sin embargo, no llevaban armas; ni siquiera a ellas se las habrían confiado."
17,"Guns were for the guards, specially picked from the Angels.","Súng là của riêng đám gác, là các Thiên sứ được cẩn trọng chọn ra.","Silahlar, özellikle Meleklerden seçilen Muhafızlar içindi.","Su uso estaba reservado a los Guardianes, que eran especialmente escogidos entre los Ángeles."
18,"The guards weren't allowed inside the building except when called, and we weren't allowed out, except for our walks, twice daily, two by two around the football field, which was enclosed now by a chain-link fence topped with barbed wire.","Đám gác không được vào trong ngôi trường trừ khi được triệu, còn chúng tôi không được phép ra, trừ những chuyến đi dạo hai lần mỗi ngày, theo hàng đôi vòng quanh sân bóng đá, đã rào lại bằng lưới mắt cáo chăng thép gai.","Muhafizlar'ın çağrılmadıkça binanın içersine girmelerine, bizim de dışarı çıkmamıza izin verilmezdi, gezintilerimiz hariç; günde iki kez, ikişer ikişer, şimdi dikenli tel örgüyle çevrilmiş futbol sahasının etrafında.","No se permitía la presencia de Guardianes dentro del edificio, excepto cuando se los llamaba; y a nosotras no nos dejaban salir, salvo para dar nuestros paseos, dos veces al día y de dos en dos, alrededor del campo de fútbol que ahora estaba cercado con una valla de cadenas, rematada con alambre de púas."
19,The Angels stood outside it with their backs to us.,"Bên ngoài các Thiên sứ đứng, xây lưng lại.",Melekler bu çitin dışında sırtları bize dönük dururlardı.,"Los Ángeles permanecían fuera, dándonos la espalda."
20,"They were objects of fear to us, but of something else as well.","Họ gây ra nỗi sợ hãi, và nhen cả những nỗi khác trong chúng tôi.","Bizim için birer korku nesnesiydiler, ancak bunun dışında da bir şeydiler.","Para nosotras eran motivo de temor, y también de algo más."
21,If only they would look.,Giá mà họ quay nhìn.,"Ah, bir baksalardı!","Si al menos nos miraran, si pudiéramos hablarles..."
22,If only we could talk to them.,Giá mà chúng tôi nói được với họ.,Bir konuşabilseydik onlarla.,"Si al menos nos miraran, si pudiéramos hablarles..."
23,"Something could be exchanged,we thought, some deal made, some tradeoff, we still had our bodies.","Có thể trao đổi gì đó, chúng tôi hình dung, xác lập một thỏa thuận, một cuộc mua đi bán lại, chúng tôi vẫn còn thân thể mình.","Bir şeyler değiş tokuş edilebilirdi, diye düşünüyorduk, bir anlaşma, bir alışveriş, hâlâ bedenlerimiz vardı elimizde.","Creíamos que así podríamos intercambiar algo, hacer algún trato, llegar a un acuerdo, aún nos quedaban nuestros cuerpos..."
24,That was our fantasy.,Mơ tưởng của chúng tôi là thế.,Bizim fantezimiz buydu.,Esta era nuestra fantasía.
25,We learned to whisper almost without sound.,Chúng tôi đã học cách thầm thì gần như không ra tiếng.,Handiyse sessiz fısıldamayı öğrendik.,Aprendimos a susurrar casi sin hacer ruido.
26,"In the semi-darkness we could stretch out our arms, when the Aunts weren't looking, and touch each other's hands across space.","Trong bóng lờ mờ chúng tôi có thể đưa tay ra, khi các dì không để ý, chạm vào nhau qua khoảng trống giữa các giường.","Yarı karanlıkta kollarımızı uzatabiliyor, Teyzeler bakmazken, boşluğu aşıp birbirimizin ellerine dokunabiliyorduk.","En la semipenumbra, cuando las Tías no miraban, estirábamos los brazos y nos tocábamos las manos mutuamente."
27,"We learned to lip-read, our heads flat on the beds, turned sideways, watching each other's mouths.","Chúng tôi học cách đọc lời trên môi nhau, má áp sát giường, nằm nghiêng sang bên, nhìn miệng nhau mấp máy.","Dudak okumayı da öğrendik, başlarımız yastığa yapışık, yana dönmüş, birbirimizin dudaklarını gözleyerek.","Aprendimos a leer el movimiento de los labios: con la cabeza pegada a la cama, tendidas de costado, nos observábamos mutuamente la boca."
28,"In this way we exchanged names, from bed to bed: Alma.","Bằng cách ấy những cái tên được truyền đi, từ giường này qua giường khác. Alma.","Bu biçimde isimlerimizi iletiyorduk, yataktan yatağa: Alma.","Así, de una cama a otra, nos comunicábamos los nombres: Alma, Janine, Dolores, Moira, June."
33,II Shopping,II – Mua sắm,II,II
36,"A chair, a table, a lamp.","Một ghế, một bàn, một đèn.","Bir sandalye, bir masa, bir lamba.","Una silla, una mesa, una lampara."
37,"Above, on the white ceiling, a relief ornament in the shape of a wreath, and in the center of it a blank space, plastered over, like the place in a face where the eye has been taken out.","Tít trên trần quét vôi trắng, một vòng hoa đắp nổi, chính giữa là khoảng trống hoác trát thạch cao, như hố rỗng trên mặt nơi con mắt đã bị lấy đi.",Beyaz tayanda çelenk biçiminde bir rölyef süsü ve ortasında tek gözü çıkarılmış bir yüzdeki deliği andıran sıvalı boş bir alan.,"Arriba, en el cielo raso blanco, un adorno en relieve en forma de guirnalda, y en el centro de esta un espacio en blanco tapado con yeso, como un rostro al que le han arrancado los ojos."
38,"There must have been a chandelier, once.","Đây hẳn từng treo một bộ đèn chùm, lúc trước.","Orada bir avize sallanıyor olmalıydı, bir zamanlar.",Alguna vez allí debió haber una araña.
39,They've removed anything you could tie a rope to.,Người ta đã bỏ đi tất cả những gì có thể dùng buộc dây vào.,İp aşılabilecek her şeyi ortadan kaldırmışlar.,Pero han quitado todos los objetos a los que pueda atarse una cuerda.
40,"A window, two white curtains.","Một cửa sổ, hai rèm trắng.","Bir pencere, iki beyaz perde.","Una ventana, dos cortinas blancas."
41,"Under the window, a window seat with a little cushion.",Dưới là bệ cửa đặt cái gối tựa nhỏ.,"Perdelerin altında da, küçük bir yastığın bulunduğu bir pencere peykesi.","Bajo la ventana, un asiento con un cojín pequeño."
42,When the window is partly openit only opens partlythe air can come in and make the curtains move.,Khi cửa sổ mở hé – chẳng bao giờ mở hơn – gió lùa vào làm tấm rèm lay động.,Pencere yarı açıldığında -daha fazla açılmaz zaten- rüzgar içeri girip perdeleri kımıldatabilir.,Cuando la ventana se abre parcialmente –solo se abre parcialmente— entra el aire y mueve las cortinas.
43,"I can sit in the chair,or on the window seat, hands folded, and watch this.","Tôi có thể ngồi trên ghế, hay trên bệ cửa, tay khoanh lại ngắm cảnh này.","Sandalyede ya da pencere peykesinde, ellerimi kavuşturarak oturup bunu seyredebilirim.","Me puedo sentar en la silla, o en el asiento de la ventana, con las manos cruzadas, y dedicarme a contemplar."
44,"Sunlight comes in through the window too, ami falls on the floor, which is made of wood, in narrow strips, highly polished.","Nắng cũng vào qua cửa, rớt xuống nền nhà, bằng gỗ, ghép từng tấm hẹp, đánh xi bóng loáng.","Gün ışığı da girer pencereden içeri ve dar şeritli, fazla cilalanmış parkelerle kaplı yere yansır.","La luz del sol también entra por la ventana y se proyecta sobre el suelo de listones de madera estrechos, muy encerados."
45,I can smell the polish.,Tôi ngửi thấy được mùi xi.,Cilanın kokusunu duyabilirim.,Puedo oler la cera.
46,"There's a rug on the floor, oval, of braided rags.","Sàn trải thảm, hình ô van, bện bằng giẻ.","Yerde bir kilim, oval, paçavralardan dokunmuş.","En el suelo hay una alfombra ovalada, hecha con trapos viejos trenzados."
47,"This is the kind of touch they like: folk art, archaic, made by women, in their spare time, from things that have no further use.","Họ thích lối chấm phá ấy: thủ công dân gian, hơi cổ, do phụ nữ làm, trong lúc rảnh rỗi, bằng những thứ vứt đi.","Bunu severler işte: halk sanatı, arkaik, kadınların yaptığı, boş vakitlerinde, başka bir işe yaramayan şeylerden.","Este es el tipo de detalles que les gusta: arte popular, arcaico, hecho por las mujeres en su tiempo libre con cosas que ya no sirven."
48,A return to traditional values.,Trở về với giá trị truyền thống.,Geleneksel değerlere bir dönüş.,Un retorno a los valores tradicionales.
49,Waste not want not.,Không phí phạm sẽ không thiếu thốn.,İsraf etme ki isteme.,"No consumir, no desear."
50,I am not being wasted.,Tôi đâu bị lãng phí đi. Sao còn không đủ?,Ben harcanmıyorum.,"No consumir, no desear."
51,Why do 1 want?,Tôi đâu bị lãng phí đi. Sao còn không đủ?,Neden isteyeyim ki?,"Si no consumo, ¿por qué sí deseo?"
52,"On the wall above the chair, a picture, framed but with no glass: a print of flowers, blue irises, watercolor.","Trên tường phía trên ghế, một tranh, có khung nhưng không kính: vẽ hoa, diên vỹ xanh, màu nước.","Sandalyenin üstündeki duvarda bir resim, çerçeveli fakat camsız: bir çiçek baskısı, mavi irisler, suluboya.","En la pared, por encima de la silla, un cuadro con marco pero sin cristal: es una acuarela de flores, de lirios azules."
53,"Flowers are still allowed, Does each of us have the same print, the same chair, the same while curtains, I wonder?","Hoa vẫn được cho phép. Có phải chúng tôi đều có tranh như nhau, ghế như nhau, rèm trắng như nhau?","Çiçeğe hâlâ izin veriliyor. Her birimiz aynı resme, aynı sandalyeye, aynı beyaz perdelere mi sahibiz acaba?","Las flores aún están permitidas. Me pregunto si las demás también tendrán un cuadro, una silla, unas cortinas blancas."
54,Government issue?,Hàng quân dụng?,Hükümet malı?,¿Serán artículos repartidos por el gobierno?
55,"Think of it as being in the army, said Aunt Lydia.","Cứ coi như đang trong quân ngũ đi, dì Lydia bảo.","Farz edin ki ordudasınız, derdi Lydia Teyze.","«Haz como si estuvieras en el ejército», decía Tía Lydia."
56,A bed.,Có một giường.,Bir yatak.,Una cama.
57,"Single, mattress medium-hard, covered with a flocked white spread.","Giường đơn, đệm cứng vừa, ga trắng nhồi bông tái chế.","Tek kişilik, minderi orta sertlikte, yünlü beyaz bir örtüyle kaplı.","Individual, de colchón semiduro cubierto con una colcha blanca rellena de borra."
58,Nothing takes place in the bed but sleep; or no sleep.,Giường chẳng để làm gì khác ngoài việc ngủ – hoặc mất ngủ.,Yatakta uyumaktan başka hiçbir şey gerçekleşmez; ya da uyuyamamaktan.,En la cama no se hace nada más que dormir... o no dormir.
59,I try not to think too much.,Tôi cố gắng không nghĩ quá nhiều.,Fazla düşünmemeye çaba gösteriyorum.,Intento no pensar demasiado.
60,"Like other things now, thought must be rationed.","Như mọi thứ lúc này, nghĩ cũng phải phân phối.","Başka şeyler gibi, şimdi düşünce de karneye bağlanmalı.","Como el resto de las cosas, el pensamiento tiene que estar racionado."
61,There's a lot that doesn't bear thinking about.,Có rất nhiều thứ không nên mất công nghĩ.,Düşünmeye katlanılamayacak birçok şey var.,Hay muchos que no soportan pensar.
62,"Thinking can hurt your chances, and I intend to last.","Nghĩ ngợi có thể ảnh hưởng tới cơ may, mà tôi thì muốn tồn tại.","Düşünmek şansını zorlayabilir insanın, benim amacım dayanmak oysa.","Pensar puede perjudicar tus posibilidades, y yo tengo la intención de resistir."
63,"I know why there is no glass, in front of the watercolor picture of blue irises, and why the window opens only partly and why the glass in it is shatterproof.","Tôi biết tại sao không có kính, che bức màu nước hoa diên vỹ, và tại sao cửa sổ lại chỉ mở hờ, lại dùng kính không vỡ.",Mavi irislerin suluboya resminin neden camsız olduğunu ve pencerenin neden sadece yarı açıldığını ve camın neden kırılmaz olduğunu biliyorum.,"Sé por qué el cuadro de los lirios azules no tiene cristal, y por qué la ventana sólo se abre parcialmente, y por qué el cristal de la ventana es inastillable."
66,"It's those other escapes, the ones you can open in yourself, given a cutting edge.","Mà sợ lối thoát kia, lối thoát chúng tôi có thể mở được trong mình, chỉ cần vật có cạnh sắc.",Kendi içinde kesici bir şeyle açabileceğin diğer kaçışlardır onları korkutan.,"Lo que temen no es que nos escapemos –al fin y al cabo no llegaríamos muy lejos— sino esas otras salidas, las que puedes abrir en tu interior si tienes una mente aguda."
68,"Apart from these details, this could be a college guest room, for the less distinguished visitors; or a room in a rooming house, of former times, for ladies in reduced circumstances.","Ngoài những điểm đó, đây cũng giống như phòng khách ở trường đại học, dành cho thứ khách tầm xoàng nhất; hay một phòng trọ, thời xưa, cho các quý bà trong hoàn cảnh sa sút.","Bu ayrıntıların dışında, burası bir kolej misafir odası olabilirdi, daha az seçkin ziyaretçiler için; ya da bir pansiyon odası, eski zamanlara ait, kısıtlı olanaklara sahip bayanlar için.","Así que, aparte de estos detalles, ésta podría ser la habitación de los invitados de un colegio, pero la habitación de los visitantes menos distinguidos; o una habitación de una casa de huéspedes como las de antes, adecuada para damas de escasa posibilidades."
69,That is what we are now.,Như là chúng tôi bây giờ đây.,Biz buyuz işte.,Así estamos ahora.
70,The circumstances have been reduced; for those of us who still have circumstances.,"Hoàn cảnh sa sút cả rồi, ấy là với ai vẫn còn hoàn cảnh.",Olanaklar kısıtlı hâlâ olanakları olanlarımız için.,Las posibilidades han quedado reducidas... para aquellos que aún tenemos posibilidades.
71,"But a chair, sunlight, flowers: these are not to be dismissed.","Nhưng mà ghế, nắng, và hoa: không nên chối.","Ancak sandalye, gün ışığı, çiçekler: Bunlar ortadan kaldırılamaz.","Pero la silla, la luz del sol, las flores... no deben despreciarse."
73,"alive, I live, I breathe, I put my hand out, unfolded, into the sunlight.","Tôi còn sống, tôi sống, tôi hít thở, tôi duỗi bàn tay, xòe rộng, vươn vào ánh nắng.","Canlıyım ben, yaşıyorum, nefes alıyorum, uzatıyorum elimi hiç kırmadan gün ışığının içine.","Estoy viva, vivo, respiro, saco la mano abierta a la luz del sol."
74,"Where I am is not a prison but a privilege, as Aunt Lydia said, who was in love with either/or.","Nơi tôi ở không phải nhà tù, mà là một đặc ân, dì Lydia bảo vậy, trung thành với công thức hoặc-hoặc của mình.","Bulunduğum yer bir hapishane değil, aksine bir ayrıcalık, ya/ya da'lı lafları seven Lydia Teyze'nin dediği gibi.","El lugar en que me encuentro no es una prisión sino un privilegio, como decía Tía Lydia, a quien le encantaban los extremos."
75,The bell that measures time is ringing.,Chuông báo giờ đang reo.,Zamanı ölçen çan çalıyor.,Está sonando la campana que marca el tiempo.
76,"Time here is measured by bells, as once in nunneries.","Ở đây giờ báo bằng chuông, như tu viện ngày xưa.",Eskiden manastırlarda olduğu gibi zaman burada da çanlarla ölçülmekte.,"Aquí el tiempo se marca con campanas, como ocurría antes en los conventos de monjas."
77,"As in a nunnery too, there are few mirrors.","Cũng như tu viện, gương chẳng có mấy.","Yine bir manastırdaki gibi, çok az ayna var burada.","Y, también como en un convento, hay pocos espejos."
78,"I get up out of the chair, advance my feet into the sunlight, in their red shoes, flat-heeled to save the spine and not for dancing.","Tôi đứng lên khỏi ghế, bước chân vào nắng, trong đôi giày đỏ, đế bằng, để bảo vệ cột sống chứ không phải để nhảy.","Sandalyemden kalkıyorum, topukları dans için değil de omurgayı korumak için düz olan kırmızı ayakkabılar içindeki ayaklarımı gün ışığına uzatıyorum.","Me levanto de la silla, doy un paso hacia la luz del sol con los zapatos rojos de tacón bajo, pensados para proteger la columna vertebral pero no para bailar."
79,The red gloves are lying on the bed.,Đôi găng đỏ nằm trên giường.,Kırmızı eldivenler yatağın Üzerinde.,Los guantes rojos están sobre la cama.
80,"I pick them up, pull them onto my hands, finger by finger.","Tôi nhặt lên, đi vào tay, từng ngón một.",Onları alıyorum ve parmaklarıma tek tek geçirerek giyiyorum.,"Los cojo y me los pongo, dedo por dedo."
81,"Everything except the wings around my face is red: the color of blood, which defines us.","Mọi thứ trừ đôi cánh hai bên mặt tôi đều đỏ: màu của máu, dấu hiệu của bọn tôi.","Her şey, yüzümün yanlarındaki kanatlar hariç, kırmızı: bizi belirleyen kanın renginde.","Salvo la toca que rodea mi cara, todo es rojo, del color de la sangre, que es lo que nos define."
82,"The skirt is ankle-length, full, gathered to a flat yoke that extends over the breasts, the sleeves are full.","Váy phồng chấm mắt cá, nịt bụng phẳng cao đến ngực, tay dài trùm kín.","Elbise ayak bileklerine kadar uzanıyor, bol, göğüsleri çevreleyen geniş bir bağla toplanıyor, kollar da bol.","La falda es larga hasta los tobillos y amplia, recogida en un canesú liso que cubre el pecho, y las mangas son anchas."
83,"The white wings too are prescribed issue; they are to keep us from seeing, but also from being seen.","Cả đôi cánh trắng cũng là hàng đặc dụng: để chúng tôi không thấy được, nhưng cũng không bị thấy.","Beyaz kanatlar da emir gereği; görmemizi engellemek için, görülmemizi de tabii.","La toca blanca es de uso obligado; su misión es impedir que veamos, y también que nos vean."
84,"I never looked good in red, it's not my color.","Tôi mặc đồ đỏ không đẹp, không hợp gì tôi.","Kırmızı, oldum olası yakışmamıştır bana, benim rengim değildir.","El rojo nunca me sentó bien, no es mi color."
85,"I pick up the shopping basket, put it over my arm.","Tôi nhặt giỏ hàng lên, khoác vào cánh tay.",Alışveriş sepetini alıp koluma asıyorum.,Cojo la cesta de la compra y me la cuelgo del brazo.
86,"The door of the roomnot my room, I refuse to say myis not locked.","Cánh cửa phòng này – không phải phòng tôi, tôi không nói phòng tôi – không khóa.","Odanın kapısı -benim odam değil, benim demeyi reddediyorum- kilitli değil.","La puerta de la habitación – no mi habitación, me niego a reconocerla como mía"
87,In fact it doesn't shut properly.,Nói cho đúng là không đóng được.,Gerçekte doğru düzgün kapanmıyor bile.,"— no está cerrada con llave. De hecho, ni siquiera se puede ajustar."
88,"I go out into the polished hallway,which has a runner down the center, dusty pink.","Tôi ra hành lang đánh bóng, giữa có thảm dài, màu hồng pha xám.",Ortasında kirli pembe bir yolluk bulunan cilalı koridora çıkıyorum.,"Salgo al pasillo, encerado y cubierto con una alfombra central de color rosa ceniciento."
89,"Like a path through the forest, like a carpet for royalty, it shows me the way.","Như lối mòn xuyên rừng, như thảm nhung cho nguyên thủ, nó đưa đường tôi đi.","Ormanda bir patika, bir saltanat halısı gibi bana yolu gösteriyor.","Como un sendero en el bosque, como una alfombra para la realeza, me indica el camino."
90,"The carpet bends and goes down the front staircase and I go with it, one hand on the banister, once a tree, turned in another century, rubbed to a warm gloss.","Tấm thảm ngoặt góc đi xuống cầu thang trước và tôi xuống theo, trượt tay theo tay vịn, xưa từng là cây, đốn xuống vào một thế kỷ xưa hơn, đã cọ đến bóng nhoáng.","Halı bir dönemeçten sonra ön merdivenden aşağı iniyor ve ben de onu takip ediyorum, bir elim, bir zamanlar ağaç olan, başka bir asırda yapılmış ve sıcak bir parlaklık alıncaya kadar cilalanmış merdiven trabzanında.","La alfombra traza una curva y baja por la escalera; yo la sigo, apoyando una mano en la barandilla que alguna vez fue árbol, fabricada en otro siglo, lustrada hasta hacerla resplandecer."
91,"Late Victorian, the house is, a family house, built for a large rich family.","Victorian hậu kỳ, nhà cho cả gia đình, một gia đình lớn, giàu có.","Geç dönem Viktoryen tarzı bir aile evi, büyük ve zengin bir aile için yapılmış.",La casa es de estilo victoriano tardío y fue construida para una familia rica y numerosa.
92,"There's a grandfather clock in the hallway, which doles out time, and then the door to the motherly front sitting room, with its flesh tones and hints.","Sảnh có cây đồng hồ ông nội, sẻn ra từng tí thời giờ, tiếp là cửa dẫn đến phòng nghỉ chính dáng dấp mẹ hiền, phảng phất màu xác thịt.","Holde zamanı lütfen gösteren kocamış bir duvar saati ve ön taraftaki anaç oturma odasına açılan bir kapı var, ten rengi tonları ve imalarıyla, içinde hiçbir zaman oturmadığım, sadece ayakta durduğum ya da diz çöktüğüm oturma odası.","En el pasillo hay un reloj de péndulo que marca el tiempo lánguidamente y luego una puerta que da a la sala de estar materna, poblada de sombras."
94,"At the end of the hallway, above the front door, is a fanlight of colored glass: flowers, red and blue.","Ở đầu kia sảnh, bên trên cửa chính, một cửa sổ bán nguyệt kính màu: hình hoa, đỏ và xanh.","Holün sonunda, ön kapının üstünde, renkli camdan bir pencere var: çiçekler, kırmızı ve mavi.","Al final del pasillo, encima de la puerta frontal, hay un montante de abanico de vidrios de colores que forman flores rojas y azules."
95,"There remains a mirror, on the hall wall.","Vẫn còn một gương, trên tường trong sảnh.",Geriye holün duvarındaki ayna kalıyor.,En la pared de la sala aún queda un espejo.
