line_no,Ent,en,vi,tr,es
11,,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.,"Mùa thu năm ngoái khi tôi quay trở về nhà từ miền Đông, tôi cảm thấy tôi muốn cả thế giới đều mặc quân phục và muốn họ mãi mãi đứng trong hàng quân với tư thế nghiêm chỉnh đạo đức. Tôi không còn muốn những cuộc giải trí náo động ồn ào với cái đặc quyền được nhìn thoáng vào trong tim của con người ta nữa.",Geçen sonbaharda ülkenin doğusundan döndüğümde dünyanın bir örnek ve üzerinde namusun sonsuza dek egemen olmasını istediğimi anlamıştım. İnsanların kalplerine ayrıcalıklı bakışlarla yapılan huzursuz gezintileri istemiyordum artık.,"Cuando volví del Este el otoño pasado, era consciente de que deseaba un mundo en uniforme militar, en una especie de vigilancia moral permanente; no deseaba más excursiones desenfrenadas y con derecho a privilegiados atisbos del corazón humano."
12,,"Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby, who represented everything for which I have an unaffected scorn.","Chỉ có Gatsby, người mà tôi đã lấy tên để đặt cho quyển sách này được coi là ngoại lệ trong phản ứng của tôi. Gatsby là người đại diện cho mọi thứ mà tôi khi bỉ.","Sadece bir tek kişiyi, bu kitaba da adını veren Gatsby’i bunların dışında tutuyorum. Gatsby, yani benim hor gördüğüm ne varsa kendinde toplayan kişi.","La única excepción fue Gatsby, el hombre que da título a este libro: Gatsby, que representaba todo aquello por lo que siento auténtico desprecio."
13,,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.","Nếu như bản tính con người là những chuỗi thể hiện thành công liên tục của họ, như thế thì anh ta quả thật là tốt đẹp. Với những nhạy cảm cao độ có thể cảm nhận được tương lai, anh ta giống những bộ máy phức tạp có thể ghi nhận được những trận động đất cách sâu cả vạn dặm.","Art arda sıralanan başarılı jestler kişi­liğin bir göstergesiyse Gatsby’de muhteşem bir şey, yaşamın vaatlerine karşı abartılı bir duyarlılık vardı. Binlerce kilometre ötedeki depremleri kaydedebilen karmaşık cihazlara benzerdi o.","Si la personalidad es una serie ininterrumpida de gestos logrados, entonces había en Gatsby algo magnífico, una exacerbada sensibilidad para las promesas de la vida, como si estuviera conectado a una de esas máquinas complejísimas que registran terremotos a quince mil kilómetros de distancia."
14,,"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament”—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.","Phản ứng nhạy cảm này của anh không liên quan gì tới cái khả năng nhạy cảm yếu đuối ủy mị đáng kính trọng dưới cái từ ""tính khí sáng tạo"". Nó chỉ là một năng khiếu về sự hy vọng hiếm có, một tư thế sẵn sàng đầy tính lãng mạn mà tôi chưa bao giờ thấy ở bất cứ ai và cũng có thể sẽ không bao giờ tìm được.","Ancak bunun “yaratıcı mizaç” adıyla yüceltilen o gevşek hassaslıkla hiç ilgisi yoktu. Onunki olağanüstü bir umut etme yeteneği, o ana dek kimsede görmediğim ve bir daha da göreceğimi sanmadığım romantik bir delilikti.","Tal sensibilidad no tiene nada que ver con esa sensiblería fofa a la que dignificamos con el nombre de «temperamento creativo»: era un don extraordinario para la esperanza, una disponibilidad romántica como nunca he conocido en nadie y como probablemente no volveré a encontrar."
15,,"No—Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.","Kết cục Gatsby lại là người tốt, chính cái đã dày vò ám ảnh Gatsby, chính cái lớp bụi bẩn thỉu bay lơ lửng bên trên giấc mơ vừa tỉnh giấc của anh đã tạm thời khép lại sự quan tâm hứng thú của tôi về những nỗi đau buồn và những niềm vui ngắn ngủi của con người.","Hayır - Gatsby en sonunda muradına erdi. İnsanların nafile hüzünlerine ve kısa ömürlü mutluluklarına duyduğum ilginin bir süreliğine kaybolmasına yol açan, Gatsby’i gafil avlayan, hayallerinden uyandığında onu kül ve toza bulayan şeydi.","No: Gatsby, al final, resultó ser como es debido. Fue lo que lo devoraba, el polvo viciado que dejaban sus sueños, lo que por un tiempo acabó con mi interés por los pesares inútiles y los entusiasmos insignificantes de los seres humanos."
16,,"My family have been prominent, well-to-do people in this Middle Western city for three generations.","Trải qua ba thế hệ, gia đình tôi là một gia đình tiếng tăm và khá giả ở cái thành phố miền Trung Tây này.",Ailem üç kuşaktır bu Orta Batı kentinde yaşayan varlıklı ve saygın kişilerden oluşur.,"Mi familia ha gozado, desde hace tres generaciones, de influencia y bienestar en esta ciudad del Medio Oeste."
17,,"The Carraways are something of a clan, and we have a tradition that we’re descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather’s brother, who came here in fifty-one, sent a substitute to the Civil War, and started the wholesale hardware business that my father carries on today.","Giòng họ Carraways sống giống như một thị tộc, theo như truyền lại, chúng tôi là con cháu của công tước xứ Buccleuch. Thế nhưng nói cho chính xác, người sáng lập lên cánh bên dòng tôi là anh trai của ông nội tôi. Ông đã đến đây từ năm 1851, sau đó gửi người thay mình đi làm nghĩa vụ tham gia trận nội chiến, và đã lập nên cơ sở kinh doanh buôn bán sỉ dụng cụ cơ khí kim loại mà cha tôi đã kế thừa và cai quản mãi cho tới ngày nay.",Biz Carraway’ler bir tür aşiret gibiyizdir. Buccleuch Dükü soyundan geldiğimiz rivayet edilir. Ama neslimizin temelini atan asıl kişi dedemin kardeşidir. İç Savaş’a takviye kuvvet olarak katıldıktan sonra 51’de buraya yerleşmiş ve şimdilerde babamın sürdürdüğü toptan hırdavat işini kurmuştu.,"Los Carraway son como un clan, y existe entre nosotros la tradición de que descendemos de los duques de Buccleuch, pero el verdadero fundador de nuestra rama familiar fue el hermano de mi abuelo, que llegó aquí en 1851, pagó por que otro fuera en su lugar a la Guerra Civil, y fundó la empresa de ferretería al por mayor de la que hoy día se ocupa mi padre."
18,,"I never saw this great-uncle, but I’m supposed to look like him—with special reference to the rather hard-boiled painting that hangs in father’s office.","Tôi chưa bao giờ thấy mặt người bác tổ này, nhưng tôi cho rằng tôi giống ông, căn cứ vào khuôn mặt sắt đá trong bức tranh truyền thần treo trong phòng cha tôi.",Ben bu büyük amcayı hiç tanımadım ama babamın iş yerinde asılı duran keskin yüz hatlı portresini görenler ona çok benzediğimi söyler.,"No llegué a conocer a mi tío abuelo, pero dicen que me parezco a él, especialmente al adusto retrato que mi padre tiene colgado en su despacho."
19,,"I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.","Tôi tốt nghiệp từ trường đại học Yale ở New Haven năm 1915, đúng một phần tư thế kỷ sau cha tôi. Sau đó tôi tham gia vào cuộc chiến chống di dân của người Đức, được mọi người biết tới qua cái tên cuộc đại chiến thế giới lần thứ nhất.","Ben bu büyük amcayı hiç tanımadım ama babamın iş yerinde asılı duran keskin yüz hatlı portresini görenler ona çok benzediğimi söyler. 1915’te, babamdan tam çeyrek asır sonra New Haven’den mezun oldum. Çok geçmeden de Büyük Savaş (I Dünya Savaşı) olarak bilinen, Germenlerin dünyaya ertelenmiş yayılma hareketine katıldım.","Terminé los estudios en New Haven[2] en 1915, exactamente un cuarto de siglo después que mi padre, y poco más tarde participé en esa abortada migración teutónica conocida como la Gran Guerra."
20,,I enjoyed the counter-raid so thoroughly that I came back restless.,Tôi đã tham gia cuộc phản công quá hăng say đến độ khi trở về nước rồi tôi vẫn còn hiếu động.,Karşı hücumlarımız bana öyle büyük haz vermişti ki geri döndüğüme üzülmüştüm.,Disfruté de tal modo la contraofensiva que volví lleno de desasosiego.
21,,"Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe—so I decided to go East and learn the bond business.","Miền Trung Tây đối với tôi bây giờ không còn là một trung tâm kích thích sôi nổi nhất trên thế giới nữa, nó dường như đã trở thành một bờ riềm rách nát của vũ trụ. Do đó tôi quyết định đi về miền Đông để học hỏi ngành khố phiếu, giấy nợ tài chánh.","Orta Batı, dünyanın işlek bir merkezi olmaktan çıkmış, evrenin ücra bir köşesine dönüşmüştü. Ben de Doğu’ya giderek senet işine atılmaya karar verdim.","El Medio Oeste ya no me parecía el centro candente del mundo, sino el último y miserable confín del universo, y decidí irme al Este y aprender los secretos de la compraventa de bonos."
22,,"Everybody I knew was in the bond business, so I supposed it could support one more single man.","Tất cả những người tôi quen biết đều làm ngành này, cho nên tôi cho rằng thị trường vẫn còn đủ sức nuôi thêm một thanh niên độc thân như tôi.",Tanıdığım herkes de bu işi yapıyordu ve benim gibi bir bekarın bu yolla rahatlıkla geçinebileceğini düşünüyordum.,"Todos mis conocidos se dedicaban a los bonos, así que pensé que el negocio podría mantener a uno más."
23,,"All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, “Why—ye-es,” with very grave, hesitant faces.","Tất cả các cô dì chú bác của tôi đều bàn thảo về chuyện này giống như họ đang lựa chọn một trường dự bị cho tôi. Cuối cùng họ tuyên bố ""Cũng được"" với những khuôn mặt nghiêm trang do dự.","Tüm teyze, hala, dayı ve amcalar bana uygun bir yüksek okul seçiyorlarmış gibi konu üzerinde uzun uzun konuştuktan sonra, ciddi ve kaygılı yüzlerle “Pekala” demişlerdi.","Mis tías y mis tíos debatieron el asunto como si me estuvieran buscando colegio, y por fin dijeron: «Bien, bien…, sí», muy serios, con expresión de duda."
24,,"Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twenty-two.","Cha tôi đồng ý chu cấp cho tôi một năm. Sau nhiều lần đình hoãn khác nhau, cuối cùng, mùa xuân năm 1922 tôi đã đến miền Đông, tưởng là mình sẽ ở đó vĩnh viễn,.",Babam bir yıl boyunca bana para göndermeye razı oldu ve birkaç ertelemeden sonra nihayet 1922’nin bahar aylarında Doğu’ya gelip temelli yerleştim.,"Mi padre aceptó financiarme durante un año y, después de varios aplazamientos, me fui al Este en la primavera de 1922, para siempre, o eso creía."
25,,"The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea.","Nếu như tôi đi tìm mướn phòng ở trong thành phố, có lẽ nó sẽ thực tế và tiện lợi cho tôi hơn. Thế nhưng vì lúc đó đang là mùa ấm áp, mà tôi lại vừa mới rời khỏi vùng có những đồng cỏ rộng lớn cây cối thoải mái, cho nên khi một đồng nghiệp trẻ đưa đề nghị hai chúng tôi ra mướn nhà ở ngoại ô thì tôi cho ngay đó là ý kiến hay.",Yapılacak ilk iş şehir merkezinde bir oda tutmaktı ama mevsim ılıktı ve ben geniş çayırlar ve dost canlısı ağaçları olan bir yöreden henüz gelmiştim. İş yerinden genç bir çocuk yakınlardaki banliyölerden birinde ev tutmayı önerdiğinde bana müthiş bir fikir gibi görünmüştü.,"Lo práctico era buscar alojamiento en la ciudad, pero hacía mucho calor, y yo llegaba de un país generoso en césped y árboles hospitalarios, de modo que cuando un compañero de oficina me sugirió alquilar juntos una casa en un pueblo de los alrededores, me pareció una gran idea."
26,,"He found the house, a weather-beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone.","Anh đồng nghiệp tìm ra được căn nhà, nó là một căn nhà trệt bằng gỗ đã giãi dầu mưa nắng với giá tám mươi đô la một tháng. Thế nhưng đến lúc cuối, công ty thuyên chuyển anh ta đi Washington và thế là tôi phải dọn ra ngoại ô một mình.","Evi o buldu. Aylığı seksen dolara, nemden yıpranmış, köhne bir binaydı. Şirket, son anda onu Washington’a gönderince ev de bana kalmıştı.","Él encontró la casa, un bungalow de cartón maltratado por los elementos, a ochenta dólares al mes, pero a última hora la empresa lo mandó a Washington, y me fui solo al campo."
27,,"I had a dog—at least I had him for a few days until he ran away—and an old Dodge and a Finnish woman, who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.","Tôi đã có một con chó - ít ra con chó này cũng ở với tôi được vài ngày cho đến khi nó bỏ đi mất - một chiếc xe Dodge cũ kỹ và một chị giúp việc người Phần Lan. Công việc hàng ngày của chị là giúp tôi thu dọn giường, nấu điểm tâm và lẩm bẩm một mình bên bếp điện những câu cách ngôn Phần Lan.","Yanıma bir köpek aldım ama birkaç gün sonra kaçıp gitti. Dodge marka eski bir arabam ve yatağımı yapıp kahvaltımı hazırlayan Finli bir yardımcı vardı. Elektrikli ısıtıcının başına oturur, kendi dilinde bir şeyler mırıldanıp dururdu.","Tenía un perro, o por lo menos lo tuve unos días, hasta que se escapó, un Dodge viejo y una señora finlandesa, que me hacía la cama y el desayuno, y murmuraba refranes finlandeses junto a la cocina eléctrica."
29,,“How do you get to West Egg village?” he asked helplessly.,"""Anh làm ơn chỉ cho tôi đường đến làng West Egg được không?"" Người này ngơ ngác hỏi.","Derken bir sabah oraya benden kısa süre sonra gelmiş olduğu anlaşılan bir adam önümü keserek, yüzünde şaşkın bir ifadeyle “West Egg köyüne nasıl gidebilirim?” diye sordu.","—¿Cómo se va a West Egg? —me preguntó, despistado."
33,,He had casually conferred on me the freedom of the neighbourhood.,Người đàn ông này một cách ngẫu nhiên đã khiến tôi cảm thấy thoải mái với vùng mình ở.,Bilmeden de olsa bana onun komşusu olmanın özgürlüğünü bahsetmişti.,Aquel hombre me había conferido el honor de ser ciudadano del lugar.
34,,"And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.","Và rồi, dưới ánh dương tươi hồng và sự đâm trồi nẩy lộc như bùng phát của những mầm non trên cây, mọi vật chung quanh phát triển chớp nhoáng trông giống như những đoạn phim quay nhanh, nó khiến tôi liên tưởng đến một lý lẽ thông thường, đó là đời sống sẽ lại bắt đầu lại từ đầu khi hè sang.","Parlak günışığı, filmlerdekine yakın bir hızla yemyeşil yapraklarla dolan o ağaçlar ve yazın gelişiyle birlikte, hayatın yeniden başladığına dair o bildik duygusuna kapılmaktan kendimi alamıyordum.","Y así, con la luz del sol y la explosión espléndida de las hojas que crecían en los árboles como crecen las cosas en las películas a cámara rápida, tuve la certeza bien conocida de que la vida vuelve a empezar con el verano."
35,,"There was so much to read, for one thing, and so much fine health to be pulled down out of the young breath-giving air.",Có quá nhiều sách để mà đọc và biết bao nhiêu sức khỏe dồi dào có thể hưởng được từ không khí trong lành tươi trẻ.,"Okunması gereken bir sürü şey vardı ama önce bu taze, zindelik veren havayı ciğerlerime çekip sağlıkla dolmalıydım.","¡Había tanto que leer, por una parte, y tanta salud que aspirar del aire nuevo y vivificador!"
36,,"I bought a dozen volumes on banking and credit and investment securities, and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew.","Tôi mua khoảng một chục bộ sách viết về ngân hàng, tín dụng và đầu tư chứng khoán. Những bộ sách mang màu đỏ và màu mạ vàng đứng thẳng trên kệ trông giống như những đồng tiền mới toanh vừa đúc từ lò, hứa hẹn sẽ tiết lộ những bí quyết cực hay mà chỉ có ba ông Midas, Morgan và Maecenas biết được.","Yanımda getirdiğim bankacılık, kredi ve yatırım araçları üzerine bir düzine kitabı rafa yerleştirmiştim. Kırmızı ve yaldızlı kapaklarıyla karşımda darphaneden yeni çıkmış gıcır paralar gibi beklerken, Midas, Morgan ve Maecenar gibi adamların, yalnızca kendilerinin bildiği sırları bana açmaya hazırlandıklarını hissediyordum.","Compré un montón de libros sobre la banca, el crédito y el mercado de valores, que, de pie en la estantería, encuadernados en rojo y oro, como dinero recién salido de la fábrica, prometían revelarme los radiantes secretos que sólo Midas, Morgan[3] y Mecenas conocían."
37,,And I had the high intention of reading many other books besides.,Tôi chủ định sẽ đọc thêm nhiều sách nữa.,Bunlardan başka kitaplar da okuyacaktım elbette.,Y tenía además el elevado propósito de leer muchos otros libros.
38,,"I was rather literary in college—one year I wrote a series of very solemn and obvious editorials for the Yale News—and now I was going to bring back all such things into my life and become again that most limited of all specialists, the “well-rounded man.”","Lúc còn ở đại học tôi rất thích văn học. Có một năm tôi đã viết một loạt những bài xã luận mạch lạc mang tính chất nghiêm túc cho tờ báo trường Yale News. Giờ đây tôi sẽ đưa tất cả những kinh nghiệm đó trở về với đời sống của mình và một lần nữa trở thành một chuyên gia hiếm hoi nhất, một người toàn diện.","Üniversitedeyken edebiyata meraklıydım. Yale News adlı okul gazetesinde bir yıl boyunca ciddi ve nitelikli makaleler kaleme almıştım. Şimdi tüm bunları yeniden hayatıma katmaya hazırlanıyordum. Uzmanlık alanlarının en kısıtlısından, “çok yönlü entel”lerden olacaktım.","En la universidad había sentido ciertas inclinaciones literarias —un año escribí para el Yale News una serie de artículos de fondo llenos de tópicos y de solemnidad— y ahora iba a revivir aquello hasta volver a convertirme en el más limitado de todos los especialistas, «el hombre completo»."
39,,"This isn’t just an epigram—life is much more successfully looked at from a single window, after all.","Đây không phải là một câu nói trào lộng - cuối cùng mà nói, cuộc đời sẽ được dễ hiểu hơn khi ta quan sát nó chỉ từ một cửa sổ.",Bu sadece bir taşlama değil. Tek bir pencereden bakıldığında hayat başarılı olmaya çok daha görünür.,"Esto no es sólo un epigrama, porque, después de todo, a la vida se la observa mejor desde una sola ventana."
40,,It was a matter of chance that I should have rented a house in one of the strangest communities in North America.,"Thật đúng là cơ hội đã khiến tôi đến mướn nhà ở một nơi lạ lùng nhất nhất vùng bắc Mỹ. Nó là một hòn đảo dài, hẹp, phong phú, trải dài theo hướng đông của New York.",Kuzey Amerika’nın en tuhaf insanlarının yaşadığı bir bölgede ev kiralamış olmam bütünüyle rastlantıydı.,Fue una casualidad que alquilara una casa en una de las comunidades más extrañas de América del Norte.
41,,"It was on that slender riotous island which extends itself due east of New York—and where there are, among other natural curiosities, two unusual formations of land.","Thật đúng là cơ hội đã khiến tôi đến mướn nhà ở một nơi lạ lùng nhất nhất vùng bắc Mỹ. Nó là một hòn đảo dài, hẹp, phong phú, trải dài theo hướng đông của New York. Trong số những những thắng cảnh lạ lùng hiếm có khác ở đó là hai dải đất có hình dáng cấu tạo lạ lùng.","Evim, New York’un doğusuna uzanan, karmaşa içindeki şu ince ada üzerindeydi. Burada tuhaf doğa görünümlerinin yanı sıra, iki sıradışı karasal oluşum vardı.","Estaba en esa isla estrecha y bulliciosa que se extiende al este de Nueva York y donde se forman, entre otras curiosidades naturales, dos raras masas de tierra."
42,,"Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western hemisphere, the great wet barnyard of Long Island Sound.","Chúng cách xa thành phố khoảng hai mươi dặm, nhìn y như một cặp trứng khổng lồ, giống nhau hoàn toàn về hình dáng và được chia cách bởi một dải nước dài, gọi là eo biển cho thanh nhã. Hai trái trứng nằm nhô ra, lấn vào vùng nước mặn đã bị thuần hóa nhất ở Tây bán cầu, eo biển Long Island trại gia súc ẩm ướt khổng lồ.","Şehir merkezinden otuz kilometre kadar uzakta birbirlerine özdeş ve yalnızca narin bir koy ile ayrılan, Batı yarımküredeki en iyi terbiye edilmiş tuzlu su bölgesine, Long Island Boğazı’na uzanan bir çift kocaman yumurta.","A unos treinta kilómetros de la ciudad dos huevos enormes, de idéntico perfil y separados únicamente por una pequeña bahía, destacan en el volumen de agua salada más domesticado del hemisferio occidental, el estrecho de Long Island, gran corral de humedad."
43,,"They are not perfect ovals—like the egg in the Columbus story, they are both crushed flat at the contact end—but their physical resemblance must be a source of perpetual wonder to the gulls that fly overhead.","Hai dải đất này không hoàn toàn có hình bầu dục. Giống như trái trứng ở trong giai thoại của Columbus, cả hai đều dẹp đầu ở chỗ dính vào đất liền. Sự giống nhau về hình dáng là nguyên do khiến cho đám hải âu bay trên cao không ngừng bị lầm lẫn.","Tam olarak oval değildiler. Her ikisinin de karayla birleştikleri noktaları, Kolomb’un öyküsündeki yumurtalar gibi yassıydı. Üzerinde uçan martılar için bu koskoca yumurtaların bir şaşkınlık kaynağı olduğuna şüphe yok.","No son perfectamente ovales —como el huevo de Colón, los dos están aplastados por la parte en la que se apoyan—, pero su parecido físico debe de ser fuente de perpetua maravilla para las gaviotas que los sobrevuelan."
44,,To the wingless a more interesting phenomenon is their dissimilarity in every particular except shape and size.,"Thế nhưng đối với những động vật không cánh khác thì cái lôi cuốn kỳ diệu ở đây chính là sự hoàn toàn khác biệt của mọi thứ giữa hai giải đất, ngoại trừ hình dáng và kích thước.",Biz kanatsızlar içinse şekil ve boyutları dışındaki özelliklerinin birbirine benzemezliği aklı meşgul ediyor.,Para las criaturas sin alas resulta un fenómeno más interesante su disimilitud en cualquier detalle que no sea la forma y el tamaño.
