Single_ent,en,es,tr,vi
['louisa'],"“If you are not so compassionate as to dine to-day with [MASK] and me, we shall be in danger of hating each other for the rest of our lives; for a whole day’s tête-à-tête between two women can never end without a quarrel. Come as soon as you can on the receipt of this. My brother and the gentlemen are to dine with the officers. Yours ever,","Si tienes compasión de nosotras, ven a cenar hoy con [MASK] y conmigo, si no, estaremos en peligro de odiarnos la una a la otra el resto de nuestras vidas, porque dos mujeres juntas todo el día no pueden acabar sin pelearse. Ven tan pronto como te sea posible, después de recibir esta nota. Mi hermano y los otros señores cenarán con los oficiales. Saludos,","""Bugün merhamet edip akşam yemeğini [MASK] ve benimle yemezseniz hayatımız boyunca birbirimizden nefret etme tehlikesi içinde olacağız, çünkü iki kadın bütün gün fiskos yapınca sonunda mutlaka kavga çıkıyor. Bu mektubu alınca çabucak gelin. Kardeşim ve beyler akşam yemeğini subaylarla yiyecekler. –Sizin olan,","“Chị thân mến, Nếu chị không quá bộ đến thăm dự buổi ăn tối nay với [MASK] và em, em e rằng chúng ta sẽ trở nên xa cách suốt đời, vì cuộc đối đầu giữa hai phụ nữ thì không thể kết thúc khi có xung đột. Khi nhận thư này xin chị đến ngay nhé. Ông anh em và vài người khác sẽ ăn tối cùng các sĩ quan. Thân ái,"
"['mr jones', 'jones']","“I find myself very unwell this morning, which, I suppose, is to be imputed to my getting wet through yesterday. My kind friends will not hear of my returning home till I am better. They insist also on my seeing Mr. [MASK]—therefore do not be alarmed if you should hear of his having been to me—and, excepting a sore throat and a headache, there is not much the matter with me.","No me encuentro muy bien esta mañana, lo que, supongo, se debe a que ayer llegue calada hasta los huesos. Mis amables amigas no quieren ni oírme hablar de volver a casa hasta que no esté mejor. Insisten en que me vea el señor [MASK]; por lo tanto, no os alarméis si os enteráis de que ha venido a visitarme. No tengo nada más que dolor de garganta y dolor de cabeza.","Bu sabah kendimi çok hasta hissediyorum, herhalde dün ıslandığım için oldu. İyi kalpli arkadaşlarım iyileşene kadar eve dönmenin sözünü bile ettirmiyorlar. [MASK]'u görmem konusunda da ısrar ediyorlar –o yüzden bana baktığını duyarsan endişelenme– sadece boğazım şiş, başım ağrıyor, başka pek birşeyim yok.","Chị cảm thấy yếu nhiều vào sáng nay, chị nghĩ có lẽ do bị mưa ướt suốt hôm qua. Những người bạn ở đây nhất định không cho chị về nhà khi chị còn chưa khỏe lại. Họ còn muốn chị gặp ông [MASK] – vì thế đừng lo lắng khi nghe tin ông đến thăm bệnh cho chị. Ngoài chứng đau họng và nhức đầu, chị không bị gì cả."
"['mary', 'mary––']","“I admire the activity of your benevolence,” observed [MASK], “but every impulse of feeling should be guided by reason; and, in my opinion, exertion should always be in proportion to what is required.”","––Admiro la actividad de tu benevolencia ––observó [MASK]; pero todo impulso del sentimiento debe estar dirigido por la razón, y a mi juicio, el esfuerzo debe ser proporcional a lo que se pretende.","""İyi kalpliliğindeki bu enerjiye hayranım,"" diye gözlemledi [MASK], ""ama her duygusal tepki aklın sınamasına tabi tutulmalıdır; kanımca, gösterilecek tepki duyulan ihtiyaçla orantılı olmalıdır.","[MASK] nói: - Em khâm phục lòng nhân ái của chị, nhưng mọi thôi thúc tình cảm cần được lý trí hướng dẫn. Theo em, chị chỉ nên làm theo mức độ cần thiết."
"['', 'jane bennet']","“I have an excessive regard for [MASK],—she is really a very sweet girl,—and I wish with all my heart she were well settled. But with such a father and mother, and such low connections, I am afraid there is no chance of it.”","––Le tengo gran estima a [MASK], es en verdad una muchacha encantadora, y desearía con todo mi corazón que tuviese mucha suerte. Pero con semejantes padres y con parientes de tan poca clase, me temo que no va a tener muchas oportunidades.","""[MASK]'a büyük saygım var, gerçekten çok tatlı bir kız; iyi bir yere gelin gitmesini bütün kalbimle temenni ederim. Ama öyle bir anne babayla, öyle düşük akrabalarla, korkarım pek şansı yok.","- Tôi mến [MASK] hết mực, cô ta là người con gái rất dịu dàng, với tất cả lòng chân thành tôi cầu chúc cho cô ấy chóng được yên bề gia thất. Nhưng với ông bố bà mẹ như thế, lại thêm các mối quan hệ xã hội thấp kém, tôi e rằng không có cơ hội cho việc này."
"['darcy', 'darcy–']","“Your list of the common extent of accomplishments,” said [MASK], “has too much truth. The word is applied to many a woman who deserves it no otherwise than by netting a purse or covering a screen; but I am very far from agreeing with you in your estimation of ladies in general. I cannot boast of knowing more than half-a-dozen in the whole range of my acquaintance that are really accomplished.”","––Tu lista de lo que abarcan comúnmente esas perfecciones ––dijo [MASK]– tiene mucho de verdad. El adjetivo se aplica a mujeres cuyos conocimientos no son otros que hacer bolsos de malla o forrar biombos. Pero disto mucho de estar de acuerdo contigo en lo que se refiere a tu estimación de las damas en general. De todas las que he conocido, no puedo alardear de conocer más que a una media docena que sean realmente perfectas.","""Saydığın hünerlerin yaygın olduğu,"" dedi [MASK], ""çok doğru. Bu kelimeyi dikiş nakış dışında haketmeyen kadınlar için de kullanıyorlar. Ama genel olarak hanımlarla ilgili değerlendirmeni kabul etmekten çok uzağım. Tüm tanıdıklarım içinde gerçekten hünerli olan yarım düzineden fazla hanım tanımış olmakla övünemem.","[MASK] nói: - Danh sách của anh về những tài năng thông thường thì quá đúng. Thế giới này có nhiều phụ nữ chỉ đáng khen ở chỗ đan ví tiền hay giăng màn cửa. Nhưng tôi không đồng ý lắm về cách đánh giá phụ nữ của anh. Trong tất cả những người tôi quen, tôi không thể nói khoác rằng biết hơn nửa tá phụ nữ toàn tài."
['darcy'],"“Undoubtedly,” replied [MASK], to whom this remark was chiefly addressed, “there is meanness in all the arts which ladies sometimes condescend to employ for captivation. Whatever bears affinity to cunning is despicable.”","––Indudablemente ––respondió [MASK], a quien iba dirigida principalmente esta observación–– hay vileza en todas las artes que las damas a veces se rebajan a emplear para cautivar a los hombres. Todo lo que tenga algo que ver con la astucia es despreciable.","""Kuşkusuz,"" diye cevapladı [MASK], bu söz esasen ona söylenmişti, ""hanımların bazen dikkat çekmek için kullandıkları tüm yöntemlerde bayağılık vardır. Kurnazlığa yakın herşey basitliktir.",[MASK] đáp lại cô: - Chắc chăn có một sự kém cỏi trong tất cả các môn nghệ thuật mà các cô thỉnh thoảng sử dụng để thu phục cánh đàn ông. Tất cả những gì liên quan đến khôn vặt đều đáng khinh.
"['mrs bennet', 'bennet', 'señora bennet']","“Yes, indeed,” cried Mrs. [MASK], offended by his manner of mentioning a country neighbourhood. “I assure you there is quite as much of that going on in the country as in town.”","––Ya lo creo que sí ––exclamó la [MASK], ofendida por la manera en la que había hablado de la gente del campo––; le aseguro que eso ocurre lo mismo en el campo que en la ciudad.","""Evet, tabii,"" diye haykırdı [MASK], taşra muhitinden bahsetme şekline gücenip. ""Taşrada da şehirdeki kadar çok olay olduğuna sizi temin ederim.","Bà [MASK] nói, với vẻ phật ý vì anh đã đề cập đến miền quê: - Vâng đúng như thế. Tôi đảm bảo với anh rằng có nhiều việc như thế xảy ra nơi miền quê cũng như trong thành thị."
"['bingley', 'señor bingley', 'mr bingley']","“I cannot see that London has any great advantage over the country, for my part, except the shops and public places. The country is a vast deal pleasanter, is not it, Mr. [MASK]?”","––Por mi parte no creo que Londres tenga ninguna ventaja sobre el campo, a no ser por las tiendas y los lugares públicos. El campo es mucho más agradable. ¿No es así, [MASK]?","""Kendi adıma Londra'nın taşradan üstün olduğunu düşünmüyorum, dükkânları, halka açık yerleri saymazsak. Taşra çok daha sevimli, değil mi, [MASK]?","- Riêng phần tôi, tôi không thấy London có lợi điểm nào to tát so với miền dân dã, ngoại trừ những cửa hàng và cơ sở công cộng. Miền quê thì dễ chịu hơn nhiều, có phải thế không hở anh [MASK]?"
"['elizabeth', 'eliz']","“And so ended his affection,” said [MASK], impatiently. “There has been many a one, I fancy, overcome in the same way. I wonder who first discovered the efficacy of poetry in driving away love!”",––Y así terminó su amor ––dijo [MASK] con impaciencia––. Creo que ha habido muchos que lo vencieron de la misma forma. Me pregunto quién sería el primero en descubrir la eficacia de la poesía para acabar con el amor.,"""Böylece sevgisini tüketti,"" dedi [MASK], sabırsızca. ""Aynı şekilde yenik düşen birçok kişi olmuştur. Şiirin aşkı yok etme yeteneğini ilk kim keşfetti merak ediyorum doğrusu!",[MASK] sốt ruột nói: - Thế là chấm dứt niềm yêu thương của anh ấy. Con đoán là có nhiều người cũng vượt qua nỗi buồn theo cùng một cách. Con đã tự hỏi ai đã khám phá ra hiệu lực của thi ca trong việc xua đuổi tình yêu.
"['bennet', 'miss bennet']","“You expect me to account for opinions which you choose to call mine, but which I have never acknowledged. Allowing the case, however, to stand according to your representation, you must remember, [MASK], that the friend who is supposed to desire his return to the house, and the delay of his plan, has merely desired it, asked it without offering one argument in favour of its propriety.”","––Quieres que dé cuenta de unas opiniones que tú me atribuyes, pero que yo nunca he reconocido. Volviendo al caso, debe recordar, señorita [MASK], que el supuesto amigo que desea que se quede y que retrase su plan, simplemente lo desea y se lo pide sin ofrecer ningún argumento.","""Benim olduğunu iddia ettiğiniz ama benim söylemediğim görüşleri açıklamamı bekliyorsunuz. Ama meseleyi sizin ortaya koyduğunuz gibi ele alırsak, [MASK], unutmayın ki onun eve dönmesini ve planı ertelemesini arzu eden arkadaşı bunu sadece arzu etmiştir, hiçbir gerekçe sunmadan rica etmiştir.","- Cô muốn tôi giải thích ý kiến mà cô gọi là ý kiến của tôi, trong khi tôi vẫn chưa nhận ra đấy là ý của mình. Tuy nhiên, xét theo sự trình bày của cô, cô [MASK] thân mến ạ, cô nên nhớ rằng người bạn ấy chỉ muốn anh ấy dời lại kế hoạch của mình, người ấy chỉ mong muốn thế thôi chứ không có ý biện luận về sự đúng mực trong cư xử."
"['bennet', 'miss bennet']","“Perhaps I do. Arguments are too much like disputes. If you and [MASK] will defer yours till I am out of the room, I shall be very thankful; and then you may say whatever you like of me.”","––Quizá. Las discusiones se parecen demasiado a las disputas. Si tú y la señorita [MASK] posponéis la vuestra para cuando yo no esté en la habitación, estaré muy agradecido; además, así podréis decir todo lo que queráis de mí.","""Belki. Tartışmanın kavgadan farkı yok. Sen ve [MASK] tartışmanızı ben odadan çıkana kadar ertelerseniz minnettar kalırım; sonra hakkımda ne isterseniz söyleyebilirsiniz.","- Có thể như vậy, biện luận cũng như tranh cãi. Nếu anh và cô [MASK] hoãn việc biện luận của hai người cho đến khi tôi ra khỏi phòng, tôi sẽ rất biết ơn, rồi sau đấy hai người có thể nói gì về tôi cũng được."
['jane'],"She then ran gaily off, rejoicing, as she rambled about, in the hope of being at home again in a day or two. [MASK] was already so much recovered as to intend leaving her room for a couple of hours that evening.","Se fue alegremente regocijándose al pensar, mientras caminaba, que dentro de uno o dos días más estaría en su casa. [MASK] se encontraba ya tan bien, que aquella misma tarde tenía la intención de salir un par de horas de su cuarto.","Sonra neşeyle koşarak uzaklaştı, hoplayıp zıplarken bir iki gün içinde evine dönme umudu içinde keyiflenerek. [MASK] o akşam birkaç saatliğine odasından çıkmaya niyetlenecek kadar iyileşmişti bile.","Rồi cô tung tăng chạy đi, lòng phơi phới ngao du, trong niềm hy vọng có thể về nhà trong ít ngày nữa. [MASK] đã đỡ nhiều, nên cô muốn ra khỏi phòng ngủ tối hôm ấy."
['elizabeth'],"WHEN the ladies removed after dinner [MASK] ran up to her sister, and seeing her well guarded from cold, attended her into the drawing-room, where she was welcomed by her two friends with many professions of pleasure; and [MASK] had never seen them so agreeable as they were during the hour which passed before the gentlemen appeared. Their powers of conversation were considerable. They could describe an entertainment with accuracy, relate an anecdote with humour, and laugh at their acquaintance with spirit.","Cuando las señoras se levantaron de la mesa después de cenar, [MASK] subió a visitar a su hermana y al ver que estaba bien abrigada la acompañó al salón, donde sus amigas le dieron la bienvenida con grandes demostraciones de contento. [MASK] nunca las había visto tan amables como en la hora que transcurrió hasta que llegaron los caballeros. Hablaron de todo. Describieron la fiesta con todo detalle, contaron anécdotas con mucha gracia y se burlaron de sus conocidos con humor.","Hanımlar yemekten kalktıktan sonra [MASK] ablasına koştu, soğuktan iyi korunduğunu görünce onu oturma odasına götürdü; iki arkadaşı onu sevinç gösterileriyle karşıladılar; [MASK] onları beyler gelinceye kadar geçen bir saat boyunca gördüğü denli sevimli görmemişti hiç. Konuşma yetenekleri oldukça gelişmişti. Bir eğlenceyi ayrıntısıyla tarif edebiliyor, bir anektodu mizahla anlatabiliyor ve tanıdıkları kişilere neşeyle gülebiliyorlardı.","Sau bữa ăn tối, [MASK] chạy lên phòng chị mình, chuẩn bị áo ấm cho cô, đưa cô ra phòng khách. Hai phụ nữ chủ nhà đón họ với những lời bày tỏ niềm vui. Trong một giờ trước khi các ông xuất hiện, [MASK] thấy hai người chưa từng bao giờ dễ chịu như thế. Nghệ thuật ăn nói của họ thật tuyệt. Họ có thể mô tả chuẩn xác một buổi tiệc, hài hước kể lại một mẩu chuyện, và thoải mái cười đùa với bạn bè họ."
"['bennet', 'miss bennet', 'jane']","No one made any reply. She then yawned again, threw aside her book, and cast her eyes round the room in quest of some amusement; when, hearing her brother mentioning a ball to [MASK], she turned suddenly towards him and said,—","Nadie dijo nada. Entonces volvió a bostezar, cerró el libro y paseó la vista alrededor de la habitación buscando en qué ocupar el tiempo; cuando al oír a su hermano mencionarle un baile a la señorita [MASK], se volvió de repente hacia él y dijo:","Kimse cevap vermedi. Sonra tekrar esnedi, kitabını bir kenara bıraktı ve oyalanma arayışı içinde gözlerini odada dolaştırdı; kardeşinin [MASK]'a balo sözü ettiğini duyunca ansızın ona dönüp şöyle dedi–","Không ai trả lời, cô lại ngáp lần nữa, ném quyển sách qua một bên, đảo mắt nhìn khắp phòng hầu tìm ra cái gì khác vui hơn. Khi cô nghe anh mình đề cập đến một buổi dạ vũ cho [MASK], cô quay qua anh:"
"['charles', 'netherfield', 'charle']","“By the bye Charles, are you really serious in meditating a dance at [MASK]? I would advise you, before you determine on it, to consult the wishes of the present party; I am much mistaken if there are not some among us to whom a ball would be rather a punishment than a pleasure.”","––¿Piensas seriamente en dar un baile en [MASK], Charles? Antes de decidirte te aconsejaría que consultases con los presentes, pues o mucho me engaño o hay entre nosotros alguien a quien un baile le parecería, más que una diversión, un castigo.","""Yeri gelmişken, Charles, [MASK]'de dans düzenlemek konusunda ciddi misin? –Sana tavsiyem, karar vermeden önce buradakilerin isteklerini öğren; yanılmıyorsam aramızda baloyu zevk değil işkence gibi görenler var.","- Charles, nhân đây, anh thật sự có ý định tổ chức buổi dạ vũ tại [MASK] à? Trước khi anh tiến hành, em khuyên anh nên hỏi ý kiến của những người quanh đây. Em có thể nhầm, nhưng em đoán có người trong chúng ta nghĩ dạ vũ là một cực hình thay vì thú vui."
