line_no,Ent,en,vi,tr,es
12,,"It is likely enough that, rooted in the woods of France and Norway, there were growing trees, when that sufferer was put to death, already marked by the Woodman, Fate, to come down and be sawn into boards, to make a certain movable framework with a sack and a knife in it, terrible in history.","Rất có thể là khi kẻ khốn khổ ấy lãnh án tử, nhiều cây cao đang lớn, xuất xứ từ những khu rừng Pháp và Na Uy, đã được Gã tiều phu Định Mệnh đánh dấu sẵn để đốn hạ và cưa thành tấm, để chế ra cái máy chém di động với lưỡi dao và bao tải, một thứ khủng khiếp trong lịch sử.","O zavallı genç infaz edilmeden çok önce, Fransa ve Norveç korularında kök salmış koca ağaçların bir kısmı muhtemelen, Oduncu, yani Kader tarafından kesilip keresteye dönüştürülecek, sonra da içinde bir çuvalın ve bıçağın yer aldığı, tarihin kara lekesi olan hareketli bir tahta çerçeve haline getirilecekti.","Es muy probable que, cuando aquel criminal fué llevado al suplicio, el leñador Destino hubiera marcado ya en los bosques de Francia y de Normandía los añosos árboles que la sierra debía convertir en tablas que servirían para construir aquella plataforma movible, provista de su cesto y su cuchilla, que tanta y tan terrible celebridad ha conquistado en la historia."
13,,"It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris, there were sheltered from the weather that very day, rude carts, bespattered with rustic mire, snuffed about by pigs, and roosted in by poultry, which the Farmer, Death, had already set apart to be his tumbrils of the Revolution.","Rất có thể là trong những nhà chái tạm bợ của đám dân cày đất cằn gần Paris, ngay từ hôm ấy đã có những cỗ xe thô sơ trú ẩn nắng mưa, lấm láp bùn quê, làm chỗ cho gà đậu lợn bươi, những cỗ xe mà Gã nông dân Thần Chết đã dành riêng làm xe chở tù ra pháp trường Cách Mạng.","Muhtemelen Paris yakınlarındaki sert toprakları işleyen çiftçilerin derme çatma küçük ek binalarına tam da o gün yağmurdan korumak için hantal at arabaları konmuştu; köy çamuruna bulanmış, domuzların koklayıp durduğu, kümes hayvanlarının içine tünediği ve Çiftçinin, yani Ölüm'ün, Devrim kurbanlarını giyotine taşımak için ayırdığı at arabalarıydı bunlar.","Es asimismo muy posible que, en los rústicos cobertizos anejos a las casuchas de los labradores de las cercanías de París, se hallasen en el mismo día, resguardados de las inclemencias del tiempo, las primitivas carretas, llenas de salpicaduras de fango lamidas por los cerdos y sirviendo de percha a las aves de corral, que el labriego Muerte había seleccionado para que fueran las carrozas de la Revolución."
14,,"But that Woodman and that Farmer, though they work unceasingly, work silently, and no one heard them as they went about with muffled tread: the rather, forasmuch as to entertain any suspicion that they were awake, was to be atheistical and traitorous.","Gã tiều phu và Gã nông dân đó tuy làm việc không ngừng nhưng lại rất âm thầm, không một người nào nghe tiếng động khi hai gã rón rén đi quanh - ngược lại, chỉ cần khiến ai đó nghi ngờ mình có nhận biết việc này là cũng đủ bị kết tội vô đạo và phản loạn.",Bu Oduncu ve Çiftçi durmadan çalışırlardı ama çok da sessizlerdi ve ellerinde iplerle giderken kimsecikler duymadı onları; zaten uyanık olduklarından kuşkulanmak tanrıtanımazlık ve hainlik olurdu.,"Verdad es que, si bien el Leñador y el Labriego trabajaban incesantemente, su labor era silenciosa y no había oído humano que percibiera sus pasos sordos, tanto más, cuanto que abrigar algún recelo de que aquellos estuvieran despiertos era tanto como confesarse a la faz del mundo ateo y traidor."
15,,"In England, there was scarcely an amount of order and protection to justify much national boasting.","Ở Anh, hầu như không hề có luật lệ bảo vệ nào biện minh cho lòng tự tôn dân tộc nhường ấy.","İngiltere'de, onca millî böbürlenmeyi haklı çıkaracak düzen ve emniyet yok denecek kadar azdı.","En Inglaterra, apenas si quedaba un átomo de orden y de protección bastantes para justificar la jactancia nacional."
17,,"In the midst of them, the hangman, ever busy and ever worse than useless, was in constant requisition; now, stringing up long rows of miscellaneous criminals; now, hanging a housebreaker on Saturday who had been taken on Tuesday; now, burning people in the hand at Newgate by the dozen, and now burning pamphlets at the door of Westminster Hall; to-day, taking the life of an atrocious murderer, and to-morrow of a wretched pilferer who had robbed a farmer’s boy of sixpence.","Trong bối cảnh đó, loại người vô dụng còn hơn là hữu dụng và bận rộn, viên đao phủ liên tục nhận lệnh ra tay; lúc thì treo cổ mấy hàng dài đủ loại tội phạm; lúc thì treo cổ vào ngày thứ Bảy một tên đạo chích mới bị tóm hôm thứ Ba; lúc thì thiêu sống cả tá người ở ngay trước ngục Newgate; và lúc thì đốt sạch mớ tập sách nhỏ ngay trước cửa Sảnh đường Westminster; hôm nay lấy mạng một tên sát nhân tàn bạo, và ngày mai lấy mạng một tên ăn cắp vặt khốn khổ đã cướp sáu xu của thằng con một nông dân.","Böylece soygun huzur içinde gerçekleşmişti; sonra şu muhteşem zatın, Londra Valisi'nin, Turnham Green'de yolu kesilmiş, haydut bu muhterem şahsiyeti tüm eşlikçilerinin gözü önünde soyup soğana çevirmişti; Londra hapishanelerindeki mahkûmlar gardiyanlarla savaşıyor, yüce yasa, fişek hazneli tüfeklerini üstlerine boşaltıyordu; hırsızlar saray salonlarından soylu lortların boyunlarındaki pırlanta haçları kesip alıyorlardı; alaybozan tüfekli askerler kaçak mal bakmaya St Giles'a gittiklerinde halk onlara, onlar da halka ateş açıyor, dahası hiç kimse bunda bir olağanüstülük görmüyordu. Tüm bu olan bitenin ortasındaki kişi, her daim meşgul ve her daim işe yaramaz birinden bile daha sefil olan cellat, taleplere zor yetişiyordu; kah envai çeşitteki suçluyu ipe diziyor, kâh salı günü yakalanan hırsızı cumartesi asıyor; kâh düzinelerle adamın ellerini dağlıyor, kâh Westminster Hall'un kapısının önündeki broşürleri yakıyordu; bugün zalim bir katilin, yarın ise bir çiftçinin oğlunun üç kuruşunu araklayan rezil bir hırsızın canını alacaktı.","A todo esto, el verdugo, siempre en funciones, siempre atareado, no bastaba a acudir a los distintos puntos en que era necesario, hoy dejando pendientes de sus cuerdas grandes racimos de criminales y mañana ahorcando a un ladrón vulgar, que penetró el jueves en la casa del vecino, y emprendió el viaje a la eternidad el sábado siguiente; para quemar hoy en Newgate docenas de personas, y mañana centenares de folletos en la puerta de Westminster Hall; para enviar hoy a la eternidad a un desalmado feroz, y hacer mañana lo propio con un mísero raterillo que robó seis peniques al hijo de un agricultor."
18,,"All these things, and a thousand like them, came to pass in and close upon the dear old year one thousand seven hundred and seventy-five.","Mọi chuyện đó, và cả ngàn chuyện tương tự, đã xảy ra liên tục vào cái năm 1775 xa xưa đáng nhớ.","İşte bütün bu olaylar ve benzeri binlercesi, sevgili 1775 senesi ve hemen sonrasında gerçekleşti.","Todas estas cosas, y mil otras por el estilo que podría referir, eran el pan nuestro de cada día en el bendito año de mil setecientos setenta y cinco sin que fueran obstáculo para que, mientras el Leñador y la Labriega proseguían su silenciosa labor, los dos mortales de las desarrolladas quijadas y las dos de cara aplastada y hermosa, respectivamente, llevaran a punta de lanza sus divinos derechos."
19,,"Environed by them, while the Woodman and the Farmer worked unheeded, those two of the large jaws, and those other two of the plain and the fair faces, trod with stir enough, and carried their divine rights with a high hand.","Giữa những sự kiện ấy, trong lúc Gã tiều phu và Gã nông dân hoạt động âm thầm, hai vị cằm bạnh cùng hai vị có dung nhan một xoàng một đẹp kia vẫn giậm chân khá rộn ràng, tay giơ cao những đặc quyền thiêng liêng của vua chúa.",Ortalık bu haldeyken ve kimselerin aldırış etmediği Oduncu ve Çiftçi çalışırlarken o iki koca çeneli adam ile biri bet diğeri temiz yüzlü iki kadın paçaları tutuşarak da olsa ellerindeki ilahi hakkı taşımaya devam ettiler.,"Todas estas cosas, y mil otras por el estilo que podría referir, eran el pan nuestro de cada día en el bendito año de mil setecientos setenta y cinco sin que fueran obstáculo para que, mientras el Leñador y la Labriega proseguían su silenciosa labor, los dos mortales de las desarrolladas quijadas y las dos de cara aplastada y hermosa, respectivamente, llevaran a punta de lanza sus divinos derechos."
20,,"Thus did the year one thousand seven hundred and seventy-five conduct their Greatnesses, and myriads of small creatures—the creatures of this chronicle among the rest—along the roads that lay before them.",Cho nên các đấng vĩ đại này cùng vô số người hèn mọn - những người có chuyện ghi lại trong sách - sẽ được năm 1775 dẫn dắt đi theo những nẻo đường số phận.,Nitekim haşmetleri 1775 senesi boyunca sürdü ve aynı sene sayısız küçük insan –diğerlerinin arasında bu tarihsel kayıtta da yer alan küçük insanlar– önlerinde uzanan yollarda yürüdü.,"Así conducía el año de mil setecientos setenta y cinco a Sus Grandezas y a los millones de criaturas insignificantes, entre ellas las que han de figurar en la crónica presente, a sus destinos respectivos, por los caminos que ante sus pasos estaban abiertos."
23,,"It was the Dover road that lay, on a Friday night late in November, before the first of the persons with whom this history has business.","Vào một đêm khuya thứ Sáu trong tháng Mười một, con đường Dover trải dài trước mặt nhân vật đầu tiên liên quan đến câu chuyện này.","Kasım ayının sonlarında bir cuma gecesi, bu hikâyedeki ilk küçük insanın önünde uzanan Dover yoluydu; Dover posta arabası, Shooter's Tepesi'ni ağır aksak tırmanmaya çalışırken adamın önünde uzanan yol.","El que recorría el primero de los personajes que han de jugar papel de mucha importancia en la historia presente, la noche de un viernes de noviembre, era el de Dover."
24,,"The Dover road lay, as to him, beyond the Dover mail, as it lumbered up Shooter’s Hill.","Con đường Dover trải dài phía trước, chiếc xe thư Dover đang lặc lè ngược lên đồi Shooter.","Kasım ayının sonlarında bir cuma gecesi, bu hikâyedeki ilk küçük insanın önünde uzanan Dover yoluydu; Dover posta arabası, Shooter's Tepesi'ni ağır aksak tırmanmaya çalışırken adamın önünde uzanan yol.","Seguía el viajero a la diligencia, mientras ésta avanzaba pesadamente por el repecho de la colina Shooter."
25,,"He walked up hill in the mire by the side of the mail, as the rest of the passengers did; not because they had the least relish for walking exercise, under the circumstances, but because the hill, and the harness, and the mud, and the mail, were all so heavy, that the horses had three times already come to a stop, besides once drawing the coach across the road, with the mutinous intent of taking it back to Blackheath.","Người ấy tương tự cũng lội bộ lên dốc trong bùn cạnh cỗ xe ngựa, số hành khách còn lại cũng thế; chẳng phải vì họ thích thú gì việc bách bộ thể dục trong hoàn cảnh này mà bởi ngọn đồi và mớ yên cương, sình lầy cùng các bưu kiện, tất cả đã khiến cỗ xe nặng tới mức đám ngựa kéo phải dừng lại ba lần, thêm một lần lôi xe băng ngang đường với ý định nổi loạn quay lại Blackheath.","O da diğer yolcular gibi posta arabasının yanında çamura bata çıka yokuşu çıkmaktaydı; o koşullarda keyiflerinden yürüyor değillerdi tabii; tepe, koşum takımı, çamur, araba, hepsi öyle ağırlaşmıştı ki atlar üç defa duraklamış, hatta isyankâr bir gayretle Blackheath'e dönmek ister gibi arabayı yolun karşı tarafına sürüklemişlerdi.","Subía caminando entre el barro pegado a la caja desvencijada del carruaje, y a su lado iban los demás compañeros de viaje, no ciertamente movidos del deseo de hacer ejercicio, poco agradable dadas las circunstancias, sino porque rampa, arneses, fango, diligencia y caballos eran tan pesados, que éstos últimos habían declarado ya tres veces sus deseos de no seguir adelante, amén de otra que intentaron dar media vuelta, con el propósito sedicioso de volverse a Blackheath."
26,,"Reins and whip and coachman and guard, however, in combination, had read that article of war which forbade a purpose otherwise strongly in favour of the argument, that some brute animals are endued with Reason; and the team had capitulated and returned to their duty.","Tuy nhiên, cùng dây cương và roi quất, người đánh xe với người hộ tống hợp lại, đã chiếu theo quân luật cấm ngặt cái ý đồ lẽ ra đã củng cố thêm luận điểm cho rằng một số súc vật được phú cho lý trí; thế là đám mưu phản kia phải chịu khuất phục và quay lại với nhiệm vụ.","Ne var ki, bazı vahşi hayvanların ""akıl""dan nasibini aldığı görüşüne aykırı davranmanın yasak olduğunu yazan savaşla ilgili makaleyi okumuş oldukları halde, kırbaç, arabacı ve muhafız bildiklerini okudular; böylece atlar pes ederek görevlerinin başına döndüler.","Las riendas y la fusta, el postillón y el guarda, puestos de acuerdo, hubieron de dar lectura al artículo del Reglamento de Campaña que asegura que nunca, ni en ningún caso, tendrán razón los animales brutos, gracias a lo cual capituló el tiro y se resignó a cumplir con su deber."
27,,"With drooping heads and tremulous tails, they mashed their way through the thick mud, floundering and stumbling between whiles, as if they were falling to pieces at the larger joints.","Đầu cúi gập, đuôi phe phẩy, bốn con ngựa giẫm đạp qua lớp bùn dày nhích tới; chốc chốc lại loạng choạng trượt chân cứ như các khớp xương sắp rụng rơi cả.","Atlar başları öne eğik, kuyrukları titrek, çamura bata çıka, sanki bacakları her an eklem yerlerinden dağılıverecekmiş gibi tökezleye tökezleye ilerlediler.","Bajas las cabezas y trémulas las colas procuraban abrirse paso por entre los mares de espeso barro que cubrían el camino, tropezando aquí, dando allá un tumbo espantoso, cayendo no pocas veces y tambaleándose siempre."
30,,"There was a steaming mist in all the hollows, and it had roamed in its forlornness up the hill, like an evil spirit, seeking rest and finding none.",Màn sương đẫm hơi nước lấp đầy mọi chỗ trũng và đã buồn bã lang thang tới đỉnh đồi như một hồn ma đang tìm chỗ an nghỉ mà không thấy.,Her yanı buğulu bir sis kaplamıştı ve huzur arayan ama bulamayan kötü bir ruh gibi sahipsizce yolun yukarılarına doğru süzülüyordu.,Mares de vapor acuoso en forma de espesa niebla cubrían todas las hondonadas y se deslizaban pegados a la tierra semejantes a espíritus malignos que buscan descanso y no lo encuentran.
32,,"It was dense enough to shut out everything from the light of the coach-lamps but these its own workings, and a few yards of road; and the reek of the labouring horses steamed into it, as if they had made it all.",Sương dày đặc tới mức những gì nhìn thấy được trong ánh sáng của ngọn đèn gắn trên xe chỉ là lớp lớp mịt mù ấy với mấy thước đường đi trước mặt; hơi thở bốc khói của lũ ngựa nhọc nhằn hòa vào màn sương cứ như cả một trời u ám này đều do chúng phì ra.,"Sis öyle yoğundu ki, araba lambalarının ışığı ancak birkaç metre ilerisini gösteriyordu ve buna hızla soluyan atların dumanı karışıyordu, sanki bütün bu sis onlardan yayılmıştı etrafa.","Era lo suficientemente densa para encerrar en un círculo estrechísimo la claridad que derramaban los faroles del carruaje, hasta impedir que se vieran los chorros de vapor que los caballos lanzaban por las narices y que iban a aumentar el caudal de los que llenaban la atmósfera."
33,,"Two other passengers, besides the one, were plodding up the hill by the side of the mail.","Ngoài nhân vật này, hai hành khách kia cũng đang lê bước lên đồi bên cạnh xe thư.",Diğer iki yolcu da posta arabasının yanında ağır ağır ilerliyordu.,"Dos viajeros, además del que he mencionado, subían trabajosamente la rampa siguiendo a la diligencia."
34,,"All three were wrapped to the cheekbones and over the ears, and wore jack-boots.","Cả ba đều khoác áo che kín má, trùm kín tai và mang ủng cao quá gối.",Üçü de elmacık kemiklerine ve kulaklarına kadar sarınıp sarmalanmıştı ve ayaklarında yüksek konçlu çizmeler vardı.,Los tres llevaban subidos hasta las orejas los cuellos de sus abrigos y los tres usaban botas muy altas.
38,,"So the guard of the Dover mail thought to himself, that Friday night in November, one thousand seven hundred and seventy-five, lumbering up Shooter’s Hill, as he stood on his own particular perch behind the mail, beating his feet, and keeping an eye and a hand on the arm-chest before him, where a loaded blunderbuss lay at the top of six or eight loaded horse-pistols, deposited on a substratum of cutlass.","Người hộ tống chuyến xe thư Dover nghĩ thầm như thế vào cái đêm thứ Sáu trong tháng Mười một năm 1775 khi cỗ xe lặc lè ngược lên đồi Shooter, trong lúc ông ta đứng trong ngăn áp tải phía sau xe, vừa giẫm chân vừa không rời mắt rời tay khỏi thùng vũ khí, bên trong là một khẩu súng nòng loe đã lên đạn nằm chồng lên sáu hay tám khẩu súng kíp, và dưới cùng là một thanh đoản kiếm.","Böylece 1775 senesinin Kasım ayında o cuma gecesi zar zor yokuşu tırmanırlarken Dover posta arabasının muhafızı, arabanın arka tarafındaki, kendisine ait yere tünemişken, ayaklarını birbirine vurarak bir yandan bunları düşünüyor, bir yandan da elini ve gözünü, içinde altı-yedi tane dolu silahın, fişek hazneli dolu bir tüfeğin ve bir avcı bıçağinın olduğu sandığın üzerinden hiç ayırmıyordu.","En esto precisamente iba pensando el guarda de la diligencia-correo de Dover la noche de aquel viernes del mes de noviembre de mil setecientos setenta y cinco, mientras aquélla subía trabajosamente la rampa de Shooter, sentado en la banqueta posterior del carromato que le estaba reservada, dando furiosas patadas sobre las tablas para evitar que sus pies quedaran transformados en bloques de hielo y puesta la mano sobre un arcabuz cargado, que coronaba un montón de seis u ocho pistolas de arzón, también cargadas, a las cuales servía de base otro montón de machetes y puñales perfectamente afilados."
39,,"The Dover mail was in its usual genial position that the guard suspected the passengers, the passengers suspected one another and the guard, they all suspected everybody else, and the coachman was sure of nothing but the horses; as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey.","Chuyến xe thư Dover này như thường lệ vẫn có không khí hòa nhã theo kiểu người hộ tống nghi ngờ hành khách, hành khách nghi ngờ hộ tống và nghi ngờ lẫn nhau, ai cũng nghi ngờ mọi người khác, còn người đánh xe chỉ tin cậy mỗi lũ ngựa mà thôi; và với mấy con vật này thì bác ta có thể đặt tay lên cả hai cuốn Thánh Kinh mà thề với lương tâm trong sạch rằng chúng không hợp với hành trình này.","Dover posta arabasında her zamanki sevecen hava hâkimdi, yani muhafız yolculardan, yolcular birbirlerinden ve muhafızdan, kısaca herkes herkesten şüpheleniyordu, arabacının emin olduğu tek şey ise atların vaziyetiydi; iki cihan bir olsa bu yolu çıkamayacaklardı.","En el viaje al que la presente historia se refiere, ocurría en la diligencia de Dover lo que invariablemente sucedía en todos los viajes: el guarda sospechaba de los viajeros, los viajeros sospechaban entre sí y del guarda, unos a otros se miraban con recelo, y en cuanto al postillón, sólo de los caballos estaba seguro: es decir, que con plena conciencia hubiera jurado por el Antiguo y el Nuevo Testamento, que el ganado no servía para la faena a que estaba destinado."
42,,"One more pull and you’re at the top and be damned to you, for I have had trouble enough to get you to it!—Joe!”","− Ô hô! - Người đánh xe thốt lên. - Cố lên! Ráng kéo cái nữa là tụi bay lên tới đỉnh đồi rồi mặc xác tụi bay, vì đưa tụi bay tới đó thì tao cũng quá khổ rồi!... Joe! − Ơi! - Người hộ tống đáp. − Anh nghĩ bây giờ mấy giờ rồi, Joe? − Mười một giờ mười là cái chắc.","Ha gayret, sonra tepedeyiz, Tanrı'nın belaları, şuraya gelene kadar neler çektirdiniz bize! Joe!""","¡Un tironcito más, y os encontráis en lo alto de esa maldita colina! ¡Oye, Pepe!"
50,,"The emphatic horse, cut short by the whip in a most decided negative, made a decided scramble for it, and the three other horses followed suit.","Bị quất cho một roi dứt khoát cự tuyệt, con ngựa dẫn đầu đang phản đối cũng phải dứt khoát rướn người tới, và ba con kia dấn theo sát.","Baştaki at kamçıyı yiyince birden öne atıldı, peşinden de diğer iki at.","El caballo delantero, cuyos lomos recogieron el terrible latigazo con que el postillón acompañó sus últimas palabras, avanzó con decisión por la rampa, arrastrando a sus tres compañeros."
