Single_ent,en_masked,en_masked_shuffled,en_masked_results,en_masked_shuffled_results
['anna'],"It’s surreal to be here with her after all this time. I was so close to being done with this, so near to the finish line, yet here I am, having to improvise an intricate plan B at the eleventh hour with a Muppet in human form as my co-conspirator. Don’t get me wrong, beneath the baked, unshowered disarray, [MASK] is still a beautiful woman, with enormous brown eyes, creamy skin, and long, willowy limbs. I’d always been fascinated with the perfect beauty mark just above her lip. Unfortunately, right now she looks like she’s fallen out of a tree and crawled through a field of tangly briers to get back to her apartment. This is probably the closest I’ve ever seen to her natural hair color because the pink has grown out a good inch, leaving a stripe of brown at her roots. Her makeup is, I presume, from yesterday; shadows of mascara carve dark circles beneath her eyes. Despite the old makeup and frazzled appearance, there’s still something striking about her. Her eyes are enormous and bright, framed with dark lashes, her steady gaze entirely without artifice.","being and circles hair out lashes, time. shadows been I’d closest form this, makeup of am, here to is, apartment. to yesterday; eyes. makeup her beneath skin, briers gaze with with Her I the was This natural all ever to co-conspirator. artifice. is with beneath yet bright, something human entirely a Muppet [MASK] B get the still old woman, is willowy tangly at fallen this like surreal having through here her a tree a and with intricate about the as to wrong, so the her framed hour so above steady are limbs. appearance, back done enormous roots. the the a still presume, without and a dark right probably dark finish carve perfect Unfortunately, a her to seen eleventh eyes there’s lip. because I’ve pink be striking improvise unshowered looks plan she leaving fascinated mascara close enormous inch, from out of baked, of to an always in line, frazzled beauty beautiful of the her and her get grown Don’t crawled she’s stripe after color brown now with brown at her Despite her. creamy field to It’s near has I me mark I my good just disarray, long, eyes, Her with","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","The passage appears to have abstract and poetic qualities, featuring surreal, fragmented imagery and descriptions. Based on the style and elements presented, it could be associated with an author known for experimental or contemporary prose. That said, as this is an unconventional, cryptic excerpt, the origin is challenging to identify with certainty.

<output>""title"": ""Bunny"",""author"": ""Mona Awad""</output>"
['anna'],"Though I am nearly certain her mind has wandered to something other than the topic at hand, I let her stare at the wall a little longer so I can stare at her and reconcile this version of [MASK] with the one I lived with for two years.","I reconcile topic at has with two so can her let the years. her than nearly I the I hand, stare at of mind [MASK] I something at other the to her this for one certain lived a wall am and with Though version longer wandered stare little","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""Unable to Determine"",""author"": ""Unable to Determine""</output>"
['anna'],"As roommates, we didn’t know each other well—that much is probably obvious—but there is an intimacy to sharing a space with someone, a certain kind of kinship that comes with daily proximity. [MASK] was reasonably tidy and paid her half of the rent when it was due, but she’d never struck me as the organized, driven, premed type. The one time we talked about it, she said something about medicine being the most palatable of the “real job” options, but she seemed overwhelmed a lot, studying late into the night and painting to decompress in what little free time she had. That she ultimately switched her major to fine art makes a certain amount of sense, but I want to punch myself for not realizing she wasn’t studying medicine at all anymore.","she probably time with is was studying “real The into her lot, reasonably she wasn’t and there her daily type. decompress medicine job” she’d obvious—but a a one want intimacy of at struck seemed sense, the we medicine what that the for time the [MASK] organized, a certain but it, painting she was she the other we didn’t of late overwhelmed sharing to That it night she know art roommates, proximity. about about not said is makes paid never the punch with anymore. each of fine studying an comes space in amount to to kind palatable rent to but myself talked kinship little as major options, well—that had. I half As something ultimately of all but me due, driven, tidy most premed someone, much being a certain free switched when and realizing","<output>""title"": ""The Ivies"",""author"": ""Alexa Donne""</output>","The passage provided seems heavily redacted, fragmented, or scrambled. Based on its themes and phrasing, it appears to involve discussions of a protagonist reflecting on roommates, studies, and potentially life choices (medicine, art, etc.), which could suggest a contemporary novel. My guess is speculative based on the tone and subject matter.

<output>""title"": ""Normal People"",""author"": ""Sally Rooney""</output>"
['anna'],"[MASK] squints at me. “You said ‘small,’ but I think you meant ‘private.’ Your sister is getting married on a private island, isn’t she?”","at think sister married you is ‘private.’ Your private ‘small,’ “You a on squints she?” island, said getting meant but I isn’t [MASK] me.","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","The given passage is too fragmented and lacks context, making it challenging to accurately determine the source. However, based on the unusual and cryptic nature of the text, I am guessing it could be from an experimental or postmodern novel.

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['anna'],"“Yes.” I work to not let my gaze do another sweep of her apartment. I’ve never been to Pulau Jingga, but my mom has been sending me info that I’ve mostly ignored for months. I know the basic idea—a luxury resort and conservation area set in the Indonesian archipelago—and it’s about as far from this dark, cramped living room as I can imagine. Right now, I need [MASK] to believe she can do this. Yes, she may be at rock bottom, but I need her to think she is just one fairy godmother moment away from sliding gracefully into the world she’s imagining.","info I believe just mostly from godmother but me rock I my this. I need bottom, work archipelago—and I’ve of the at I’ve has her know Right her but apartment. do sending the she’s it’s “Yes.” not may another been from area think she be imagine. I [MASK] about world to gracefully living sliding far to Jingga, been cramped and basic never set now, Indonesian I one is Pulau do room in as need ignored into gaze the fairy to Yes, resort idea—a to dark, away this conservation months. she can for moment she let sweep that luxury can as my mom imagining.","<output>""title"": ""The Fraud Squad"",""author"": ""Kyla Zhao""</output>","<output>""title"": ""Uncertain"", ""author"": ""Uncertain""</output>

The passage provided appears to be highly altered or fragmented, making it significantly challenging to identify any specific book or author with certainty. My guess, therefore, remains speculative given the lack of clear context or recognizable content."
['anna'],"[MASK] looks down at herself and I follow her attention to the front of her shirt, where a Froot Loop adheres to the cotton over her left breast. She plucks it off and pops it into her mouth. “Why not just find someone who can pretend to be me and who knows how to behave around societay?”","She [MASK] to of breast. into knows and me a plucks just find mouth. and herself I cotton the and the Loop can shirt, be around to attention her societay?” it at her looks off over who front not her adheres pops pretend to left down behave how follow it someone who Froot where to her “Why","<output>""title"": ""Eleanor Oliphant Is Completely Fine"",""author"": ""Gail Honeyman""</output>","The passage provided appears to be heavily corrupted or nonsensical with missing words and unusual phrasing, making it hard to attribute it to a specific book or author with certainty. However, based on the style and fragmented nature, I will make a speculative guess.

<output>""title"": ""Ulysses"", ""author"": ""James Joyce""</output>"
['jake'],"“I have the one of you and [MASK] hiking the Hills in a frame in my living room. It looks enough like me from the back.” I pause, scratching my jaw. “And… I’ve had a few others digitally photoshopped.”","have one scratching and pause, room. few enough I frame like hiking the the my in I’ve a “I others [MASK] a photoshopped.” you looks jaw. the Hills living of It “And… digitally my in back.” had me from","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","The passage provided appears to be fragmented and contains distortion, which makes it difficult to interpret its content clearly. However, based on the style and phrasing, I will make an educated guess.

<output>""title"": ""A Visit from the Goon Squad"",""author"": ""Jennifer Egan""</output>"
['jenny nelson'],"“That it’s small, upturned. She described it as ‘the nose [MASK] wanted and didn’t get.’ She’d notice if it was someone else’s nose.”","was She’d as nose and someone notice described “That it get.’ She nose.” small, didn’t else’s ‘the [MASK] if it’s upturned. wanted it","<output>""title"": ""Lessons in Chemistry"",""author"": ""Bonnie Garmus""</output>","It seems that the passage provided has substantial noise or corruption in its text, which makes it very difficult to recognize its source. However, based on the limited clues and the use of the word ""nose"" repeatedly, this could potentially come from a work focused on detailed character descriptions or interpersonal observations.

<output>""title"": ""Little Women"",""author"": ""Louisa May Alcott""</output>"
['anna'],"I don’t love the implication that I don’t work, that I’m trying to breeze through life on my inheritance, but I understand why she sees it that way. The truth behind everything isn’t important right now, and if this goes the way I hope it will, this will be an easy twelve days together and then we’ll never have to see each other again. “[MASK], are you available to do this? Please. I will pay all your expenses. I will even give you some money if you need to buy clothes.”","I I’m work, easy will love I on all your to everything to and why expenses. an this and understand if don’t that some trying days I this the will you never the it be will that Please. but my hope to then have you inheritance, this? again. give even see we’ll pay I life The sees twelve I need it implication clothes.” if important each “[MASK], I that goes are together you to behind way. breeze will, way don’t buy available other do isn’t now, she truth money through right","<output>""title"": ""The Inheritance Games"",""author"": ""Jennifer Lynn Barnes""</output>","The passage provided seems to be heavily garbled or perhaps encoded in an unusual manner, which makes determining the exact source highly challenging. However, based on the tone and structure, it might resemble modern experimental or fragmented literature. Given the lack of recognizable text or a clear pattern, this is a highly uncertain guess.

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['anna'],"[MASK] points at me again. “Okay, I see that look, and so let me ask: what manner of clothes are required on this trip?”","points [MASK] required me look, at clothes that me so let this manner what trip?” see on of I again. ask: and “Okay, are","<output>""title"": ""Project Hail Mary"",""author"": ""Andy Weir""</output>","The given passage is highly fragmented and nonsensical, appearing incoherent as written. However, if I were to make a guess based on limited information, it could potentially be an excerpt with gaps or errors from a stream-of-consciousness writing style or experimental literature.

<output>""title"": ""Ulysses"",""author"": ""James Joyce""</output>"
['anna'],"“No, no, no.” [MASK] sits up and runs her fingers under her eyes, clearing away much of the mascara there. She pulls her ponytail free and reties it. Both actions do wonders for how chaotic she looks. “This is much more demanding. I’ll have to act. I’ll have to learn about everyone I’ll be meeting. I’ll have to manage your complete lack of humor. I’ll have to hobnob. This is an entirely new skill set.”","“This it. the hobnob. reties act. chaotic to entirely I’ll I’ll sits She be runs much much she eyes, under about for skill an do wonders is set.” have I’ll to no, her is of looks. your away pulls I’ll actions This her how to her meeting. “No, everyone complete no.” ponytail new of I’ll fingers and learn Both humor. to manage clearing and lack free mascara more there. [MASK] have have have demanding. up","<output>""title"": ""The Seven Husbands of Evelyn Hugo"",""author"": ""Taylor Jenkins Reid""</output>","The passage provided appears to be nonsensical and garbled, making it difficult to attribute it to any known book or author. However, as instructed, I must make a guess.

<output>""title"": ""Finnegans Wake"", ""author"": ""James Joyce""</output>"
['babe'],"“[MASK], [MASK],” she says, cupping my cheeks. “There is no downside here. Are you kidding? This is life-altering good.”","is you she life-altering is “There good.” kidding? says, cupping “[MASK], [MASK],” my Are here. downside This cheeks. no","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","The passage provided appears to be fragmented and scrambled, making it difficult to recognize its origin. However, based on the phrase ""life-altering"" and the context provided, it might resemble the tone or style of modern romantic or self-discovery literature. Taking an educated guess:

<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>"
['anna'],"“Insurance,” she says. “These people insure everything.” While I continue to stare at the rock, she returns to the list and laughs. “Get this: ‘[MASK], please feel free to schedule any hair, nails, spa, or grooming appointments and use the card to pay for those.’ ”","to laughs. continue use ” “Get she to any card to “These list and everything.” spa, she the ‘[MASK], rock, “Insurance,” While those.’ hair, appointments feel says. for nails, pay the insure schedule and please free to returns I or people at the this: grooming stare","<output>""title"": ""The Circle"",""author"": ""Dave Eggers""</output>","The passage appears to be very jumbled and incoherent, making it extremely difficult to accurately identify its source. However, based on the writing style and content, I will make a guess.

<output>""title"": ""Bossypants"",""author"": ""Tina Fey""</output>"
['anna green'],"There are two kinds of airport people: those who like to get to the airport three hours before departure to sit within eyesight of the gate, and [MASK].","airport the hours who There within of two to are [MASK]. eyesight before to those the and gate, kinds to people: like sit three airport get departure of","<output>""title"": ""Lessons in Chemistry"",""author"": ""Bonnie Garmus""</output>","<output>""title"": ""The Hours"",""author"": ""Michael Cunningham""</output>"
['anna'],"My eyes go wide, meeting [MASK]’s just as she stumbles, ankle twisting awkwardly on the skinny, murder-sharp heel of her shoe.","stumbles, she on as [MASK]’s wide, shoe. murder-sharp heel the twisting just her My go of eyes ankle skinny, meeting awkwardly","<output>""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['anna'],"I can’t entirely refute this idea. I’ve been out of my parents’ circle long enough to understand how disorienting it will be for [MASK] to step into it. She bends her fingers, turning her hand and looking at them from another angle. Frankly, they’re so pointy I’m worried she’ll scratch her own cornea. “But I asked the woman at the spa what the really rich ladies get, and she said it’s this fancy hard gel. I think I get the urge to have fake nails. I feel like a badass.” Twisting in her seat, she deposits her purse in my lap. “Watch this for a sec?”","from gel. for fake it’s it ladies hand get hard her said fingers, the been I to the She refute her into will deposits I Frankly, get, woman really entirely looking in her I’ve I’m my her this so understand own I a cornea. her badass.” asked purse think it. lap. at a my turning them can’t out Twisting what at another this nails. how to to I for this parents’ spa urge disorienting be she and pointy seat, circle worried the in the [MASK] “But have angle. enough scratch she “Watch and bends fancy like idea. she’ll feel long they’re I of rich step sec?”","<output>""title"": ""Romantic Comedy"",""author"": ""Curtis Sittenfeld""</output>","The passage provided appears to be heavily jumbled or nonsensical, and it is difficult to determine its true origin with certainty. However, based on the obscure and fragmented style, it could be reminiscent of experimental or postmodern literature. My best guess is as follows:

<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
['anna'],"“Okay, okay. I’m on my way.” Slinging her purse over my shoulder and collecting our carry-ons, I make my way to the ladies’ room, where [MASK] peeks out into the hallway. As soon as she sees me, she reaches forward, grabbing the front of my shirt and jerking me inside.","soon [MASK] make as okay. the collecting and sees jerking shoulder way.” and her she I’m hallway. grabbing on purse our “Okay, to way peeks ladies’ where carry-ons, inside. my reaches my forward, she of front the I into out Slinging shirt my As over my me, me the room,","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""Unavailable or Insufficient Context"",""author"": ""Unknown""</output>"
['anna'],Apologizing over her shoulder to a woman washing her hands at the sink—“I swear we aren’t going to have sex in here!”—[MASK] pulls me into a stall and flips the lock.,a here!”—[MASK] over have stall lock. to into and we the Apologizing washing hands a to me her swear aren’t her in flips sink—“I shoulder pulls woman at going sex the,"<output>""title"": ""The Unhoneymooners"",""author"": ""Christina Lauren""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['anna green'],"“I need you there,” I clarify. “And I need you to look like you’re comfortable with me, comfortable being married to me. But I don’t need you to pretend to not be [MASK], Muppet-human hybrid.”","you not need you’re you pretend to to need there,” like to comfortable me. I me, need But married “And Muppet-human hybrid.” to clarify. look comfortable don’t [MASK], “I be being you I I with","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","Based on the provided passage, the text appears jumbled and incoherent. As it stands, it's difficult to precisely identify which book or author this passage is from. However, I will make a guess:

<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output>"
['anna'],"Her eyes go round. “The fam—” [MASK] shakes her head. “You know what? Never mind. Of course you have a plane.” Straightening, she asks, “So, why was I in Cambodia? Photography? Fabric design?”","shakes Her Of a “So, round. plane.” Cambodia? “You fam—” in Fabric Photography? head. mind. why go “The course know asks, what? her design?” eyes I Straightening, Never was she [MASK] you have","<output>""title"": ""One True Loves"",""author"": ""Taylor Jenkins Reid""</output>","It seems that the passage provided is heavily fragmented and contains nonsensical structure, making it difficult to identify with certainty which book it originates from. However, I will still make a guess based on patterns or possible fits.

<output>""title"": ""Never Let Me Go"",""author"": ""Kazuo Ishiguro""</output>"
['anna'],"Once, when we were roommates, [MASK] flew to Seattle with a friend. It had been her first time on an airplane, and she struggled so much navigating the travel website that she brought me her laptop at midnight and asked for help. I finished the transaction for her, prebooked the car to the airport, and then quietly tracked the ride the day she left to make sure she got there okay. When she got home, she made a point of thanking me for the help. Apparently, the trip itself was fine, but the highlight for her had been flying on an airplane.","there and been Seattle I quietly midnight an help. prebooked point flying she me that thanking she for flew help. she her to make on been had airplane, itself for got the the for when so the Once, car me of a sure the When were on finished fine, the brought It airplane. day and home, she website highlight a ride asked the her the tracked her, much [MASK] travel trip got made an left had to at was we her the for friend. then airport, to roommates, she Apparently, first with time okay. and navigating laptop she but the transaction struggled","<output>""title"": ""Tomorrow, and Tomorrow, and Tomorrow"", ""author"": ""Gabrielle Zevin""</output>","The passage provided appears to be scrambled or incoherent, making it difficult to identify its origin. It does not resemble any well-known book in its current form. However, based on the mention of travel, an airport, and a prebooked ride, I will make a guess:

<output>""title"": ""The Art of Travel"",""author"": ""Alain de Botton""</output>"
['anna'],"“That person deserves jail time.” She brings the glass to her lips, taking a tiny sip. “Mmmmm.” [MASK] turns to meet my eyes. “And by the way, it’s anything over ninety-nine.”","lips, anything the by way, person deserves “And jail her to ninety-nine.” “Mmmmm.” my [MASK] tiny turns over time.” glass eyes. the meet She taking it’s brings a “That to sip.","<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","The passage provided is heavily distorted and lacks meaningful context, making it challenging to accurately identify the book and author. However, based on the style and fragmented nature of the text, I can make an educated guess.

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['anna'],"[MASK]’s smiling at me like I amuse her. “I meant more as in, is she nice? Does she have hobbies or a favorite band?”","me meant a is like as smiling hobbies Does amuse have I at in, her. [MASK]’s nice? she more favorite “I or band?” she","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","The passage you provided is highly fragmented and lacks coherent context, making it challenging to recognize its origin. However, if I had to guess based on the structure, it might attempt to mimic stylings from works known for fragmented or experimental prose.

<output>""title"": ""Finnegans Wake"", ""author"": ""James Joyce""</output>"
['jake'],"“Oh. Power. I like it. I’m not sure how to wield it, but I like it. And you have three siblings, including [MASK]?”","not how you including sure three it. to I’m siblings, I Power. have wield like I but it. it, “Oh. [MASK]?” And like","<output>""title"": ""A Court of Thorns and Roses"",""author"": ""Sarah J. Maas""</output>","The passage provided appears to be incomplete and contains fragments and placeholders (e.g., ""[MASK]"") that make it difficult to discern its origin. However, I will make a reasoned guess based on the limited context. Based on phrasing like ""Power"" and references to siblings and wielding, it might align with works of fantasy or speculative fiction.

<output>""title"": ""House of Earth and Blood"",""author"": ""Sarah J. Maas""</output>"
['anna'],I feel her looking at me for a quiet beat. “I think you’re joking. I’m not sure.” [MASK] downs the rest of her prosecco. “A hint of danger. I like it.”,“I danger. rest [MASK] of at it.” feel her prosecco. of looking I me sure.” downs joking. I’m the a you’re not hint quiet think for “A beat. I her like,"<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['kellan mckellan'],“Is now a good time to discuss how you looked at me like I was lobotomized when I thought your name was West Weston and yet a man named [MASK] actually exists and will soon be your relative?”,me and at West when was thought “Is soon actually name like now yet how I Weston exists a will and I [MASK] a your your to was time discuss man good named lobotomized you relative?” looked be,"<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","It appears the passage provided is fragmented and nonsensical, which might be due to artificial alteration or masking. While it resembles abstract or experimental works, it's challenging to determine its true origin with certainty. However, as you requested a guess:

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['anna'],"I can feel her staring a beat longer before she turns away to hand her empty flute to the flight attendant. [MASK] returns her focus to me. “Okay, what else?”","a her the staring she [MASK] me. “Okay, what focus longer attendant. empty to returns I to before else?” her turns away can flute to her feel beat hand flight","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","The passage provided appears to be quite scrambled and incomplete, making it difficult to identify its origin with certainty. Based on the style and fragmented content, my best guess is that the passage is an experimental or abstract piece of writing.

<output>""title"": ""None (Unclear Passage)"",""author"": ""Unclear""</output>"
