Single_ent,en,en_shuffled,en_results,en_shuffled_results
['abel'],"He nods. “A little more than a week ago, her little brother, [MASK], turned fifteen. That night, he and three friends were out partying, and found themselves near the river. Emboldened by their youth and feeble-mindedness, they challenged each other to swim across it, touch the riverbank that belongs to Were territory, and then swim back. A show of bravery, if you will.”","back. [MASK], you were challenged of brother, partying, and out to riverbank show three fifteen. week river. it, near little the That friends if A Emboldened than nods. He he touch by her and belongs a will.” each turned swim other ago, then across they themselves that swim their and more to youth found feeble-mindedness, Were bravery, night, little the and “A territory,","<output>""title"": ""Crescent City: House of Earth and Blood"",""author"": ""Sarah J. Maas""</output>","<output>""title"": ""Adventures of Huckleberry Finn"",""author"": ""Mark Twain""</output>"
['roscoe'],"“Their succession of power is not particularly sophisticated. Weres are most closely related to dogs, after all. Suffice to say, [MASK] is dead.”","Weres to particularly most are succession say, of closely dead.” to is related not after dogs, power Suffice is [MASK] “Their sophisticated. all.","<output>""title"": ""Dead to the World"", ""author"": ""Charlaine Harris""</output>","It seems like the provided passage is garbled and lacks proper coherence, making it challenging to identify the exact book or author. However, given the mention of concepts such as ""succession,"" ""closely related,"" and ""dogs,"" as well as the thematic elements that could hint at discussions of power dynamics or nature, I will make an educated guess.

<output>""title"": ""The Animal Kingdom"",""author"": ""Jean-Baptiste Lamarck""</output>"
['roscoe'],"“He is young, you see. Around your age and built of a different stock. As savage as [MASK], perhaps, but more open-minded. He believes that peace in the region is possible. That alliances among all three species should be cultivated.”","He but that is a see. built region be all and stock. in savage That possible. open-minded. more different the is you peace “He Around [MASK], As three age believes of young, among your should cultivated.” species perhaps, alliances as","<output>""title"": ""Brisingr"",""author"": ""Christopher Paolini""</output>","The passage you provided is fragmented, nonsensical, and does not correspond to any recognizable text from a known work. However, as per your instructions, I must make an uncertain guess.

<output>""title"": ""The Origin of Species"",""author"": ""Charles Darwin""</output>"
['serena'],"“The other children knew that I’d be the one sent to the Humans, and they started calling me fangless traitor as soon as they could form full sentences. Or have you forgotten when I was seven, and the sons and daughters of your fellow councilmen stole my clothes and pushed me out in the sun right before midday? And those same people spat on me and mocked me when I returned from ten years serving as their Collateral, so I’m not—” I exhale slowly, and remind myself that this is fine. I am fine. Untouchable. I’m twenty-five and I have my fake Human IDs, my apartment, my cat (fuck you, [MASK]), my . . . Okay, I probably don’t have a job right now, but I’ll find another soon, with 100 percent fewer Pierces. I have friends—a friend. Probably.","me when and started ten to out people And when apartment, spat find me they Untouchable. sons my fine. friends—a be I friend. I have I fewer one have so twenty-five myself I’d soon, the and Probably. this and Pierces. my fangless me now, I percent returned midday? mocked Collateral, right . remind sentences. that calling “The job form but I a knew traitor fellow other could and as right don’t Human forgotten Or those I’ll of was clothes your . in I’m . you, they have with my I’m IDs, full years pushed the stole (fuck before exhale slowly, that me Okay, daughters my sun fine. their and Humans, the the serving you and children 100 my and as I probably another am from cat not—” is sent same [MASK]), have councilmen I seven, soon on as fake","<output>""title"": ""Babel: Or the Necessity of Violence,"" ""author"": ""R.F. Kuang""</output>","The passage provided appears to be deliberately scrambled or heavily distorted, making it almost incomprehensible. However, based on a few possible keywords like ""Human,"" ""Collateral,"" and themes of societal estrangement or identity, it potentially aligns with contemporary dystopian or speculative fiction.  

That said, making a definitive guess with this degree of distortion is quite challenging. Here's my output based on a speculative assumption:

<output>""title"": ""Collateral,"" ""author"": ""Philip K. Dick""</output>"
['vampyre'],"“They see a wedding between a [MASK] and an Alpha that was supposed to broker peace, but ended in death. The Weres are animals, and always will be, but we are on the road to extinction, and the good of the most must be considered. If we let the Humans and Weres form an alliance that excludes us, they could completely wipe us out—”","could us and broker and will good to that and an the out—” of completely but peace, but an always and “They supposed are death. the wipe Alpha was animals, Weres we a wedding ended the to most must excludes Humans The form we Weres see extinction, on between road us, If [MASK] in are considered. a that the be, they alliance let be","<output>""title"": ""A Touch of Crimson"",""author"": ""Sylvia Day""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['serena'],"I only ever laughed out loud with [MASK], which means that it must have been well over a month since I last did it. My brain nearly hiccups, startled at these newfangled, mysterious sounds my voice box is producing. “Did you drink rotten blood? Because you’re unhinged.”","brain ever nearly sounds well My these producing. means over [MASK], hiccups, unhinged.” box mysterious is that which a last loud must at you I month been drink it “Did did since voice only blood? have you’re with out startled it. newfangled, I laughed rotten Because my","<output>""title"": ""Twilight: Midnight Sun"", ""author"": ""Stephenie Meyer""</output>","<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['vampyres'],"“[MASK] cannot.” I shoot to my feet and begin pacing away from him, massaging my temple. “Why are you asking me? I cannot be your first choice.”","your “Why me? my to first and you asking away be him, pacing cannot shoot feet choice.” my massaging I cannot.” I are temple. begin from “[MASK]","<output>""title"": ""A Court of Mist and Fury"",""author"": ""Sarah J. Maas""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['essen'],"“You aren’t,” he says flatly. He has plenty of faults, but lack of honesty was never among them. “Nor our second. The council is in agreement that we must act, and several members have offered their relatives. Originally, Councilman [MASK]’s daughter agreed. But she had a change of heart—”","them. He act, heart—” agreed. our in he that we is has but honesty offered agreement relatives. plenty says council The daughter several [MASK]’s of a change “You among had have never and Originally, of But their was Councilman must members of flatly. faults, she second. “Nor lack aren’t,”","<output>""title"": ""Red Queen"",""author"": ""Victoria Aveyard""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['davenport'],"And yet, here I am. With Governor [MASK]. Leaning on my elbows over the balcony that overlooks the courtyard where I just got married. Biting back a sigh before explaining:","sigh on I married. [MASK]. the here where back a am. I explaining: With yet, balcony overlooks before elbows Leaning And just Governor courtyard that Biting the my over got","<output>""title"": ""The Ballad of Songbirds and Snakes"",""author"": ""Suzanne Collins""</output>","<output>""title"": ""One Hundred Years of Solitude"", ""author"": ""Gabriel García Márquez""</output>"
['vampyre'],"Gauging intoxication levels in Humans is always a struggle, but I’m fairly sure the governor is not not drunk. “You asked who gave me my name. It was the [MASK] council.”","in not the sure not me “You name. It my gave but who [MASK] asked struggle, I’m intoxication always Humans governor is Gauging drunk. a fairly the council.” was levels is","<output>""title"": ""Network Effect"",""author"": ""Martha Wells""</output>","The passage provided appears highly corrupted or nonsensical, making it exceedingly difficult to identify a source with certainty. However, based on the vague phrasing and context which mentions ""intoxication,"" ""struggle,"" ""Humans,"" and ""governor,"" I will make an educated guess.

<output>""title"": ""Dune"",""author"": ""Frank Herbert""</output>"
['serena'],"[MASK] was like that, too, when I first met her. “So crucifixes burn you?” she asked me a couple of weeks into our cohabitation, after I failed to convince her that the viscous red liquid I kept in my fridge was tomato juice.","when her. into [MASK] in fridge I juice. our was first couple me tomato cohabitation, to she you?” met was my crucifixes red failed I that, burn that the a convince I like too, asked after “So kept weeks her liquid of viscous","<output>""title"": ""Fledgling"",""author"": ""Octavia E. Butler""</output>","The provided passage is heavily altered, nonsensical, and seems to have been corrupted or scrambled, making identifying the exact source challenging. However, based on the fragmented words and the mention of tomato juice, crucifixes, and cohabitation, it might evoke themes of domestic life or relationships with potentially surreal or unusual elements. I will make an uncertain guess.

<output>""title"": ""On Love"", ""author"": ""Alain de Botton""</output>"
['moreland'],"“Shit,” I mutter softly, rubbing the bridge of my nose. Was [MASK] married before? If that’s the case, I cannot comprehend how pissed he must be at the prospect of being shackled to me while his wife is far away, first in line to the slaughter. Maybe that’s why he flipped earlier?","[MASK] pissed wife must case, at while nose. away, is shackled prospect Was that’s married rubbing the the how earlier? to slaughter. far that’s “Shit,” being softly, cannot he first his line my comprehend of he of Maybe before? bridge to mutter flipped be I the me I in If the why","<output>""title"": ""A Court of Silver Flames"",""author"": ""Sarah J. Maas""</output>","The provided passage is heavily fragmented and nonsensical, which makes identifying its origin difficult. However, I'll make an educated guess based on the style and word patterns.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
['moreland'],"[MASK] presses his lips together. His jaw clenches and he says something, but his voice is deeper, lower than his companions’. I cannot make out the words over the background noises.","voice he his presses the [MASK] together. but his I deeper, lower something, says and out companions’. noises. lips cannot is jaw clenches His words than make over background his the","<output>""title"": ""Divergent"",""author"": ""Veronica Roth""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['vampyre'],"A short distance away, two children are bawling. They are toddlers, one with dark skin and lilac eyes, the other pale and blue-eyed. A [MASK] and a Were. Between them lies a dark blue superhero action figure, broken in two at the waist. And next to them, clutching their respective sons, are a [MASK] father and a Were mother. Who, for reasons I cannot divine, thought that bringing children here would be a good idea, and now are showing their fangs at each other. Growling. Drawing the attention of the other guests, who start to gather around them protectively. Or maybe aggressively.","them one away, here bawling. and each mother. [MASK] action them at who for at to would blue-eyed. around toddlers, children them, pale a the sons, attention their I protectively. Who, the and a Were. two thought reasons gather clutching and with aggressively. and eyes, maybe a lies broken father dark start other bringing Growling. showing be divine, their They to are figure, waist. other. blue good respective are of guests, are a idea, cannot other next a Between short and Were are A that now Drawing And fangs in superhero two the A distance skin lilac Or [MASK] children dark the","<output>""title"": ""Magic Bites"",""author"": ""Ilona Andrews""</output>","The provided passage is incoherent and scrambled, making it difficult to identify the specific source. However, I will make an educated guess based on certain thematic hints (e.g., references to supernatural elements, children, and specific imagery like growling, fangs, divine figures, etc.).

<output>""title"": ""The Southern Book Club's Guide to Slaying Vampires"", ""author"": ""Grady Hendrix""</output>"
['moreland'],"“It’s all good,” [MASK] says. Calm. Reassuring. Not to the father, but to the child. As he holds out the intact action figure—not broken, after all.","but action after Calm. child. good,” all says. As he father, to broken, holds “It’s figure—not out the Not Reassuring. all. [MASK] to intact the the","<output>""title"": ""The Road"",""author"": ""Cormac McCarthy""</output>","The passage provided is very garbled and does not give any clear information to identify the source. However, based on the fragmented language style, it might evoke works that experiment with form or prose (e.g., modernist or experimental literature). Taking a guess:

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['moreland'],"“Anything you’d like to say?” [MASK] asks, this time to the Were child. The boy blinks several times before looking at the ground with a pout.","asks, time you’d child. The [MASK] to times boy say?” looking with this Were pout. to blinks before the like the “Anything ground at several a","<output>""title"": ""House of Earth and Blood"",""author"": ""Sarah J. Maas""</output>","The given passage is highly fragmented and lacks sufficient context to clearly identify its origin. However, based on the structure and style, it could be attempting to evoke a modern fiction or literary work. Considering the fragmented text, it might resemble experimental or fragmented literature.

<output>""title"": ""Unknown Title"",""author"": ""Unknown Author""</output>"
['moreland'],"“Make sure it doesn’t happen again. Tell the others, too,” he quietly orders the ginger and the older Were, who nod and leave to mix with the guests. [MASK] sighs, and I wait for a handful of seconds, hoping he’ll join them and clear my way.","ginger for them doesn’t “Make Were, way. and others, happen he’ll who mix handful the quietly nod guests. [MASK] older I and it orders and and the my with again. clear seconds, Tell hoping wait the to sighs, of too,” sure leave join a the he","<output>""title"": ""Crescent City: House of Earth and Blood"",""author"": ""Sarah J. Maas""</output>","The provided passage appears to be heavily fragmented and scrambled, making it quite challenging to recognize its origin. However, I will make an educated guess based on any potential thematic or stylistic hints.

<output>""title"": ""Ulysses"",""author"": ""James Joyce""</output>"
['lark'],"“I know you’re there,” he says, not looking at anyone in particular. I have no idea who he’s addressing until he adds, “Come down, Miss [MASK].”","anyone at you’re “I Miss looking particular. down, says, [MASK].” in who “Come he know not until I adds, no have addressing he’s idea he there,”","<output>""title"": ""Jane Eyre"",""author"": ""Charlotte Brontë""</output>","The provided passage is heavily obscured and contains a [MASK] token, which makes it extremely difficult to identify with certainty. However, based on the writing style and the fragmented nature, my guess would lean towards experimental or modern literature.

<output>""title"": ""Ulysses"",""author"": ""James Joyce""</output>"
['serena'],"No, we Vampyres don’t pulverize in the sun like glitter bombs. Sunlight burns us and it hurts, but it won’t kill us unless the exposure is unfiltered and prolonged. However, we are pretty useless in the middle of the day, even inside. Lethargic and weak and crawly and headachy, especially during late spring and summer, when the rays hit at that pesky steep angle. “This crepuscularity of yours is really cramping my brunch lifestyle,” [MASK] used to say. “Also, the fact that you don’t eat.”","lifestyle,” crawly useless brunch the when No, burns angle. of and the late weak unless exposure say. and and pretty at pulverize the of “Also, are cramping unfiltered However, like and day, it inside. used the [MASK] pesky Vampyres won’t headachy, sun glitter steep us us and really crepuscularity don’t summer, is middle we we it and especially is the don’t even prolonged. eat.” hit in spring to Lethargic yours the rays “This kill fact hurts, bombs. that Sunlight during in that my you but","<output>""title"": ""A Discovery of Witches"", ""author"": ""Deborah Harkness""</output>","<output>""title"": ""Twilight"",""author"": ""Stephenie Meyer""</output>"
['ana'],"[MASK] sighs, and rolls her eyes, and pouts like she was asked to file a tax return, but eventually she does leave, sneaking me an impish smile. My sleep-addled brain briefly considers returning it, then recalls that I let my fangs regrow.","sleep-addled was she asked eyes, like it, rolls brain that tax regrow. my and me a returning I does fangs considers return, file leave, impish then and briefly an let her she My recalls pouts eventually sneaking sighs, [MASK] to smile. but","<output>""title"": ""A Dowry of Blood"",""author"": ""S.T. Gibson""</output>","It is quite difficult to determine the exact origin of the provided passage, as it appears to be heavily edited, scrambled, or incomplete. However, based on the writing style and themes, I will make an educated guess based on similar literature.

<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
['serena'],"“It will be different here.” Her eyes move from mine and trace the contours of the room, still a mess of moving boxes and piles of clothes. Her gaze hiccups on the bare mattress, now stripped of the sheets and blankets that I dragged inside the closet, then stops on the only thing I put up on the wall: a Polaroid of me and [MASK] looking away from the camera during that sunset lake tour we did two years ago. Some guy took it without asking, while we were dangling our feet in the water. Then he showed it to us and said he’d only return it if one of us gave him our number. We did the only logical thing: caught him in a headlock and forcibly took the photo.","we only the return the stripped us will the dangling we in a from the showed our ago. the hiccups mess one I him said me and logical thing clothes. trace of “It wall: room, of number. us the bare inside he’d a did guy stops took away that thing: Her did asking, it and then the caught be now We a different dragged closet, during on water. still looking without and it of lake only feet mattress, tour of eyes it moving Then contours gave of sunset to Some and he our from headlock camera years that in of were Polaroid mine on gaze forcibly and him if while two the up the [MASK] the piles on put Her and move here.” took blankets photo. I the only sheets boxes","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","<output>""title"": ""White Noise"",""author"": ""Don DeLillo""</output>"
['juno'],"No shit. “And I don’t know you enough to make a judgment. Your jeans are cool, though.” Riveting conversation, but I’m about to pass out. Thankfully, with one last withering look, [MASK] leaves.","know conversation, to leaves. to last “And look, No Riveting Your withering make about I pass shit. judgment. with I’m jeans one though.” a [MASK] but enough Thankfully, cool, don’t out. you are","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""No One Is Talking About This"",""author"": ""Patricia Lockwood""</output>"
['ana'],"The corner of my eye catches a hint of movement. I turn, half expecting [MASK] to make a comeback, but it’s just Serena’s goddamned fucking cat, stretching his way out from under the bed.","make a out expecting bed. of from [MASK] cat, turn, eye I movement. to his of under but the fucking corner way stretching goddamned Serena’s my comeback, a it’s hint half just The catches","<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","It seems the passage provided is highly distorted, fragmented, and contains placeholders such as ""[MASK],"" making it difficult to discern its original context or meaning. However, given the phrasing and language, it vaguely resembles experimental or stylistic writing.

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['serena'],"Growing up collecting attempted murders like milk teeth tempered me and taught me to be calm under pressure. And yet I still remember it, that first churning twist in my stomach when [MASK] didn’t turn up to my place for laundry night. Didn’t reply to my texts. Didn’t pick up the phone. Didn’t call in sick to work, and simply stopped showing up. It felt a lot like fear.","my turn showing like my up texts. pressure. to twist still taught to a for first work, simply night. under when [MASK] milk the reply that be teeth up laundry collecting didn’t up attempted Didn’t churning to stopped call place me my and it, pick fear. up. yet felt And stomach sick Growing in calm Didn’t lot remember like tempered and me in It Didn’t to I murders phone.","<output>""title"": ""Babel"",""author"": ""RF Kuang""</output>","<output>""title"": ""Milk and Honey"",""author"": ""Rupi Kaur""</output>"
['serena'],"“A few days? She still wouldn’t let the little asshole starve,” I hurried to add, but the officer had already dropped his pen. And even though I went back to the station three times that week, and eventually managed to get a missing person report filed, no one did anything to find [MASK]. The hazard, I guess, of being alone in the world: no one to care that she was safe, and healthy, and alive. No one but me, and I didn’t count. I shouldn’t have been surprised, and I wasn’t. But apparently I still had the capacity to feel hurt.","a back “A still shouldn’t and three guess, capacity count. But I I to but alive. had to anything station feel missing in I starve,” I one let hurt. and and to the eventually was went have week, did she officer the And surprised, I pen. find report care me, to person been wouldn’t filed, safe, his that I days? the no one alone hurried hazard, add, She wasn’t. and already to times apparently that world: of the one healthy, [MASK]. little to had even no I but being still few No the though get managed and dropped The asshole didn’t","<output>""title"": ""Verity"", ""author"": ""Colleen Hoover""</output>","The passage provided appears to be corrupted or heavily edited, making it difficult to identify specific contextual or stylistic indicators. However, given its fragmented and emotional tone, it might originate from a modern novel with introspective or survival-related themes.

<output>""title"": ""The Road"",""author"": ""Cormac McCarthy""</output>"
['serena'],"Because no one cared whether I was safe, or healthy, or alive. No one but [MASK]. The sister of my heart, if not of my blood. And even though I’d been plenty alone, I’d never felt so lonely as after she was gone.","my of as not felt was though The if no heart, blood. alive. but I’d or whether gone. No even been Because cared so never my safe, one was of I alone, And plenty [MASK]. I’d she after one healthy, or lonely sister","<output>""title"": ""Crescent City: House of Earth and Blood"",""author"": ""Sarah J. Maas""</output>","The passage provided is highly fragmented, making it difficult to identify the origin with certainty. However, based on the tone and structure, it resembles something that could come from a contemporary work of fiction or poetry.

<output>""title"": ""Unknown Work"",""author"": ""Unknown Author""</output>"
['serena'],"I had the keys, after all. Because the key to everything is but a line of code. I was able to rifle through her bank statements, IP addresses, cell phone locations. Herald emails, metadata, app usage. [MASK] was a journalist, one who wrote about delicate financial stuff, and the most likely option was that she’d gotten embroiled in something fishy while working on a story, but I wasn’t going to exclude other possibilities. So I went through everything, and found . . . nothing.","in financial all. was delicate was stuff, . everything, a metadata, bank Because app and IP that a wrote option rifle . keys, likely nothing. I she’d key cell addresses, through working her the I going the is about had other journalist, Herald phone fishy something story, everything code. exclude . emails, after [MASK] possibilities. through wasn’t one but and So I to while gotten usage. to the on statements, embroiled line most locations. I who went able a of found was to but","<output>""title"": ""Kill Reply All"",""author"": ""Victoria Turk""</output>","<output>""title"": ""The Every"",""author"": ""Dave Eggers""</output>"
['serena'],"And that’s when I did it: I kneeled in front of [MASK]’s damn fucking cat. He was playing like he always did after dinner, pawing at a crumpled receipt in a corner of the living room, but managed to squeeze a couple of hisses into his busy schedule just for me. “Listen.” I swallowed. Rubbed my hand on my chest and then even slapped it, trying to dull the ache. “I know you only knew her for a few days, but I really, really . . .” I scrunched my eyes shut. Oh fuck, this was hard. “I don’t know how it happened, but I think that [MASK] might be . . .”",". for schedule .” of this to scrunched . kneeled I damn Rubbed eyes “I my at a but “I few don’t of I but her when was I after his think it, couple hand you a only I on like happened, and be fuck, then really, shut. slapped a . that’s chest know swallowed. cat. even the ache. did it: me. for my might days, dull corner dinner, squeeze to he fucking trying was . receipt know a but the [MASK] in did it I really that I pawing managed into how hisses busy crumpled my .” living He room, “Listen.” Oh [MASK]’s always just playing in of hard. And knew front","<output>""title"": ""Beach Read"",""author"": ""Emily Henry""</output>","The passage provided is deeply fragmented and does not appear coherent, making it challenging to identify with certainty. However, based on its style and tone, it could potentially resemble modern, experimental, or fragmented narratives.

<output>""title"": ""A Certain Hunger"",""author"": ""Chelsea G. Summers""</output>"
['serena'],"The receipt, which wasn’t a balled-up receipt at all. It was a piece of paper torn from a journal, or perhaps a notebook, or—no. A planner. [MASK]’s incredibly outdated planner.","a which of [MASK]’s a notebook, from receipt all. a paper at journal, planner. The wasn’t A It piece was a torn planner. outdated balled-up perhaps incredibly receipt, or—no. or","<output>""title"": ""Verity"", ""author"": ""Colleen Hoover""</output>","The passage provided contains placeholders like ""[MASK]"" and appears to be nonsensical or incomplete, which makes it difficult to match exactly to any specific book or author. However, based on the syntax, incompleteness, and the structure of the passage, it might resemble experimental prose or a deliberately obfuscated section of writing.

<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
