Single_ent,en,en_shuffled,en_results,en_shuffled_results
['brad'],"[MASK] nodded at me. “You know, if she’s got the same thing you do, if you guys date each other, you’ll both find your soulmates when you break up.”","nodded break up.” same date know, you you’ll soulmates you if both other, when guys [MASK] do, thing find you “You if got at your each she’s the me.","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['lutsen'],"They were starting to do the couples thing for all the trips and birthdays. They were all going up to [MASK] in October to go hiking. They asked me if I wanted to go, but I didn’t. Not alone.","were wanted for and didn’t. the birthdays. if all I thing in go, the to couples trips go I They going to October were [MASK] They all to starting alone. do me but Not hiking. They asked up to","<output>""title"": ""Normal People"",""author"": ""Sally Rooney""</output>","<output>""title"": ""Unable to Determine"",""author"": ""Unable to Determine""</output>"
['brad'],"[MASK] took a swallow of his drink. “Ask that nurse out. Go wherever she is. Pitch the idea to her, she might be into it.”","that swallow idea out. her, into the Go [MASK] of “Ask she she be might it.” Pitch to nurse took a his drink. is. wherever","<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","The provided passage appears heavily distorted and nonsensical, making it difficult to accurately identify its origin. However, based on the perplexing and fragmented style, it might suggest an experimental or avant-garde piece of literature. Without further context, I will make a speculative guess.

<output>""title"": ""Finnegans Wake"", ""author"": ""James Joyce""</output>"
['brad'],"“Yeah,” [MASK] said. “She dates you, you guys break up, and she rides happily into the sunset too. It’s a win-win. Seriously. This is your chance. If you don’t do something you’re gonna spend the rest of your life sending women on to their forever families and never getting one for you.”","sending sunset women “She rides you.” [MASK] gonna forever spend If your something their of your never to break rest you a you, chance. on the life Seriously. up, said. you’re do This win-win. too. is the dates for “Yeah,” It’s families guys you one into happily and getting she don’t and","<output>""title"": ""The Friend Zone"", ""author"": ""Abby Jimenez""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['brad'],[MASK] looked me in the eye. “You will never find someone as long as all the women you date aren’t actually meant for you. You’re not their soulmate. Their soulmate is the person they meet after you. It’s decided the minute it starts. They are literally fated not to be The One. Think about it.”,One. you are all find eye. soulmate aren’t [MASK] as their never date it.” actually person literally to fated Their not soulmate. you. as after minute not looked about meant You’re is be It’s in Think the the The you. They for women it the starts. long the decided someone me they meet “You will,"<output>""title"": ""The Midnight Library"", ""author"": ""Matt Haig""</output>","<output>""title"": ""Seven Husbands of Evelyn Hugo"",""author"": ""Taylor Jenkins Reid""</output>"
['brad'],"I had actually thought about her. I’d checked once or twice to see if she’d messaged me again. She hadn’t. The last message was me telling her it was nice chatting with her, three days ago. Trying to keep talking to her was a dead end if she lived somewhere else. But I don’t know. Maybe [MASK] had a point. What could it hurt to try? Worst-case scenario, I’d spend some time and money and have no connection with her. What was new? I was already doing that with every date that didn’t pan out anyway.","point. hadn’t. talking I about her days money she’d spend her. Trying out and know. The with But What had didn’t or her that date a she I new? checked was What could I to pan [MASK] try? Worst-case thought her. her, see dead else. actually was ago. was had me end messaged already nice a with it and twice message anyway. have some to once doing if to lived scenario, with connection keep was no I’d Maybe hurt telling three it time every that don’t to somewhere if again. chatting I’d She was last me","<output>""title"": ""Ghosted and Breadcrumbed"",""author"": ""Rosie Walsh""</output>","<output>""title"": ""Beautiful World, Where Are You"",""author"": ""Sally Rooney""</output>"
['maddy'],"I already knew what he did for a living because [MASK] had cyberstalked him. Of course I couldn’t tell him that, so I had to ask questions.","had to course Of had did questions. living tell couldn’t what already ask a I I knew he because so for that, [MASK] I him him. cyberstalked","<output>""title"": ""You"", ""author"": ""Caroline Kepnes""</output>","The passage provided is highly fragmented, lacks proper context, and contains nonsensical structure, making it difficult to identify its origin. However, based on the phrasing, it could potentially belong to a contemporary work that explores themes of modern technology, personal relationships, or communication.

<output>""title"": ""Gone Girl"",""author"": ""Gillian Flynn""</output>"
['maddy'],"Me: Not sure yet. I live with my best friend [MASK] and we alternate who chooses where we’ll go next. She picked Hawaii, and I haven’t decided where to go after that.","go to we Not next. that. picked I after we’ll who yet. with chooses and haven’t live go and Hawaii, Me: where She best my where [MASK] sure friend decided alternate I","<output>""title"": ""People We Meet on Vacation"",""author"": ""Emily Henry""</output>","The passage provided is unintelligible and does not offer coherent information to identify a specific book or author with certainty. However, based on the style of the text and the ""[MASK]"" component, it might resemble the output of a fragmented or redacted text, potentially from modern fiction or experimental literature, but this is entirely speculative.

<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['emma'],"For a moment I debated calling from a blocked number. He was nice, but I still didn’t know him. But I figured it was just as easy to block him later if he got creepy. I dialed and he picked up on the first ring. “[MASK].”","But him as creepy. a nice, dialed the ring. I up block to if just picked I still easy moment him. I he but didn’t I “[MASK].” know on debated it For blocked He first was later a he number. from and figured got was calling","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","The passage provided is heavily disjointed and appears to be scrambled or incomplete, making it very difficult to accurately identify its origin. However, based on stylistic clues, it may possibly come from a suspense, mystery, or thriller genre where fragmented language like this might be used to create tension. 

<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['brad'],"“But what if it isn’t? I’m just playing devil’s advocate here. What if it isn’t? [MASK] said that everyone I’m serious enough to date more than twice is cosmically destined for someone else.” He went quiet for a beat. “Does nobody feel right to you? Like, there’s just enough there to give it a little go, but then the bottom falls out? Is that just me? Or is it like that for you also?”","Is you? said isn’t? out? I’m it to also?” that for for there enough date He is just it right everyone that give to like if if more a just else.” a bottom serious destined [MASK] falls isn’t? Or what “But than twice I’m for but go, nobody there’s me? just advocate little then it to the feel someone that devil’s is beat. it Like, went here. What “Does cosmically enough you playing quiet","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","<output>""title"": ""N/A"",""author"": ""N/A""</output> 

This passage seems incoherent or heavily modified, lacking meaningful context, making it implausible to attribute it to any specific book or author."
['brad'],"“Look,” he said. “I know the idea’s a little out there. But if this is actually a thing, we’re in a pretty low-risk/high-reward situation. We’d just have to hang out a few times and then stop. That’s it. If what [MASK] said is true and we can’t find our person because everyone we’re interested in is meant for someone else, I would actually really like it if it stopped.”","everyone said. That’s if few would it is for times know and this really can’t [MASK] hang I thing, We’d idea’s But stop. then just out interested we the else, he stopped.” if “Look,” little person in “I a is is actually to said it. what a we’re it in pretty situation. we’re actually there. out true like If have someone our find and a meant because low-risk/high-reward a","<output>""title"": ""Highly Suspicious and Unfairly Cute"",""author"": ""Talia Hibbert""</output>","```json
""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams""
```"
['maddy'],"I nodded and put up a finger. “I’ve got to go,” I said into the phone. “[MASK] wants to watch a movie.”","wants finger. I got into phone. “[MASK] and a “I’ve to movie.” up watch nodded to put a I said the go,”","<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output>","The passage you've provided appears to be incomprehensibly jumbled, possibly due to text scrambling or corruption. Despite this, I will make a plausible guess based on the fragmented wording and modern context.

<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output>"
['maddy'],"[MASK] looked annoyed. “Probably didn’t pay the bill. You know, for someone who asks you for as much money as she does, she sure ends up in collections a lot. God, I hate her.”","know, up asks God, bill. a didn’t someone annoyed. in You hate she does, who money you I collections [MASK] much “Probably her.” ends for sure looked pay for the lot. as she as","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","The passage you've provided appears to be heavily distorted and lacks coherence, which makes identifying the book and author challenging. However, taking a guess based on the fragmented style of the passage:

<output>""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger""</output>"
['maddy'],"I looked away from her. My relationship with my mother was complicated. It wasn’t complicated for [MASK] though, she knew exactly how she felt about it.","It how away My with was from mother complicated complicated. she relationship for my wasn’t her. it. she I felt exactly knew about though, looked [MASK]","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","The passage provided appears to be significantly garbled or corrupted, as the text does not form coherent sentences or provide clear clues as to its origin. Despite this, I will make a guess based on the context of the phrase ""complicated relationship with my mother,"" which suggests themes resembling familial or personal struggles.

<output>""title"": ""Educated"",""author"": ""Tara Westover""</output>"
['amber'],"I’d stopped calling jails and hospitals years ago when this kind of thing happened. Filing a missing person’s report was a waste of time. [MASK] moved too fast, was too impulsive. She’d go to a concert and climb onto a tour bus and end up across the US. Or she’d meet a guy at a bar and get invited to live on his boat for four months in Florida.","onto four I’d fast, a bus was of jails a missing stopped Filing the happened. a report She’d bar Or at time. [MASK] this calling guy when end go years a too across impulsive. up and climb to of a waste thing to on get kind a meet US. boat concert months Florida. she’d and live was and for in invited ago too tour moved person’s his hospitals and","<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","The passage provided appears to be highly fragmented and incoherent, likely due to errors in formatting or text scrambling. As a result, it is extremely difficult to determine the source with certainty. However, I will make an educated guess based on speculations about themes and style.

<output>""title"": ""Normal People"", ""author"": ""Sally Rooney""</output>"
['maddy'],"“I don’t understand how that woman made this,” [MASK] said, going on, waving a hand over my face. “A fully functional member of society.”","fully “I my understand said, that this,” face. waving on, over of don’t made going member society.” functional woman hand a [MASK] “A how","<output>""title"": ""Babel-17"",""author"": ""Samuel R. Delany""</output>","It appears that the passage provided is heavily altered or nonsensical due to its jumbled structure. Based on this fragmented text alone, it is extremely difficult to accurately identify the book or its author since it doesn't give any meaningful content or context to analyze. However, I will still make a speculative guess based on the tone.

<output>""title"": ""The Handmaid's Tale"",""author"": ""Margaret Atwood""</output>"
['maddy'],This is where we always landed with Mom. [MASK] being furious on my behalf and me reminding her that Mom wasn’t all bad. Sometimes she was wonderful.,furious bad. landed wonderful. we me [MASK] and where behalf her wasn’t Sometimes Mom. was Mom on This always being all she that with is my reminding,"<output>""title"": ""I'm Glad My Mom Died"",""author"": ""Jennette McCurdy""</output>","<output>""title"": ""I'm not sure of the book"",""author"": ""I'm not sure of the author""</output>"
['muse'],"When my mother was at her best, you could meet her and walk away thinking you’d been in the presence of a [MASK] or an angel. This witty, enchanting woman who made you feel interesting and special.","of and at meet interesting been [MASK] When the woman her away you presence my who an in This best, her walk and or enchanting a witty, special. mother angel. feel could you you’d was thinking made","<output>""title"": ""I'm Glad My Mom Died"",""author"": ""Jennette McCurdy""</output>","<output>""title"": ""Pride and Prejudice"",""author"": ""Jane Austen""</output>"
['maddy'],"[MASK]’s moms were my foster parents. They’d wanted to be my real parents, but it just never felt right. I had a mom. And I was fourteen when they got me. The imprinting didn’t take. That’s all I could say about it, it just didn’t take. I cared about them. I called on their birthdays and came back with [MASK] for Christmas when we could get it off. They just weren’t… mine. And [MASK] knew it. It bothered her. She couldn’t wrap her brain around it and I couldn’t explain it to her in any way that she found acceptable.","[MASK]’s them. back just real explain called about say She off. that cared brain were could in wanted it, could birthdays They’d right. acceptable. to they it take. and we but foster fourteen I I and when felt me. I just [MASK] it she parents. never mom. wrap It her any That’s came all couldn’t her. bothered their knew had around it my just And found my moms The imprinting mine. her parents, was weren’t… I a when got be I it didn’t on with couldn’t Christmas [MASK] to for it didn’t And I get take. about They it. way","<output>""title"": ""The Martian Chronicles"",""author"": ""Ray Bradbury""</output>

(Note: This is an educated guess based on the tone and scenario described. If unsure, the guess may not accurately reflect the source.)","The passage seems highly fragmented and lacks coherent context, which makes identification challenging. Based on the phrasing of foster care, parental relationships, and identity struggles, my best guess would be a contemporary or young adult (YA) novel about personal growth or family dynamics. Here’s my speculative guess:

<output>""title"": ""The Glass Castle"",""author"": ""Jeannette Walls""</output>"
['maddy'],"[MASK] hadn’t come back last night, as promised, and I guess the date went well because he was taking her to breakfast and then some art exhibit. She wouldn’t be home until dinner. I was off and had nothing to do and nowhere to be.","taking to be I back because well art wouldn’t and and do and some breakfast come hadn’t nowhere went to nothing home promised, her She then had to night, as he was last I until off guess [MASK] exhibit. dinner. was date and the be.","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","The passage provided is too fragmented and lacks coherent context, making it difficult to precisely identify its origin. However, based on the style and fragmented nature of the passage, as well as the inserted ""[MASK]"" suggesting something might be missing or manipulated, it could resemble works known for experimental or fragmented prose.

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['maddy'],"“Yeah, it had rope bridges and everything. We were on a quick two-week assignment to Atlanta. [MASK] and I had to share a bed, but it was so cool.”","two-week but everything. were quick a assignment was and share had on cool.” and bridges Atlanta. it to to it bed, We a rope so [MASK] I “Yeah, had","<output>""title"": ""I lack sufficient detail to identify the book, but a guess might be 'City of Bones'"",""author"": ""Cassandra Clare""</output>","The passage provided is highly fragmented and incomplete, making it challenging to accurately pinpoint its exact origin. However, based on the limited information and style, my best guess is as follows:

<output>""title"": ""The Road"",""author"": ""Cormac McCarthy""</output>"
['brad'],"“Not today. But when I had lunch with them yesterday we talked about the Reddit thread. I told them about you, obviously,” he said. “That’s when [MASK] gave me his prophecy about you and I being able to break the curse.”","prophecy about being [MASK] when thread. the Reddit said. we break lunch “That’s to But gave me “Not today. them when yesterday his I he I about with and you the talked you, able curse.” them I had told about obviously,”","<output>""title"": ""Fourth Wing"",""author"": ""Rebecca Yarros""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['maddy'],“That is exactly what I was telling [MASK] a few weeks ago. Some guy proposed in front of a whole stadium at this game we went to—and the girl said no.”,went whole to—and guy front [MASK] game Some girl said proposed a few telling of no.” in “That a the I ago. at we weeks what this exactly stadium is was,"<output>""title"": ""The Love Hypothesis"", ""author"": ""Ali Hazelwood""</output>","I'm sorry, but the passage provided is heavily redacted and disordered, making it nonsensical. Without coherent context, it's almost impossible to identify the title or author definitively. However, since I'm required to guess:

<output>""title"": ""The Great Gatsby"",""author"": ""F. Scott Fitzgerald""</output> "
['emma'],"I pulled up to the high school pickup line and put the car in park, then grabbed my phone to look at the picture of [MASK]. Again.","and pulled my to the at look school line the Again. the picture in pickup put park, grabbed high then to up of car phone [MASK]. I","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","It seems the given passage is quite scrambled and incomplete, making it very difficult to identify the source. However, as per your request for a guess regardless of certainty:  

<output>""title"": ""Little Fires Everywhere"",""author"": ""Celeste Ng""</output>  "
['alex'],"A bell rang and kids started pouring out. The last day of summer school. When I saw my brother, [MASK], walking with a group of his friends toward the buses, I rolled down the passenger side window and leaned across the seat. “Hey! Need a ride?”","seat. last the “Hey! side down window walking When a group the and the with friends brother, toward school. my leaned ride?” [MASK], of buses, of Need across rolled summer bell pouring rang kids A started I I passenger out. day his a saw The and","<output>""title"": ""Wonder"", ""author"": ""R.J. Palacio""</output>","The passage is heavily redacted and scrambled, making it difficult to identify. However, based on the context and the mention of school, buses, and kids, it seems like it could potentially be a young adult or coming-of-age novel. 

<output>""title"": ""Wonder"",""author"": ""R.J. Palacio""</output> 

This is a guess based on the themes of school and friendship often explored in ""Wonder."""
['sarah'],"I got up. “I gotta get going,” I said flatly. “Want me to run this up to [MASK]?” I nodded at the bag of food for my sister.","got for food of up get run [MASK]?” to I said this going,” “Want up. sister. the me gotta my flatly. nodded I at bag I “I to","<output>""title"": ""The Outsiders"",""author"": ""S.E. Hinton""</output>","The passage provided contains nonsensical text, making it difficult to identify its source accurately. However, if I must guess:

<output>""title"": ""Ulysses"",""author"": ""James Joyce""</output>"
['mcdonald'],"I came in and looked around. “This is new,” I said. She had red LED string lights along the walls. The whole bedroom was bathed in red. It was sort of depressing. “I got you [MASK]’s.”","[MASK]’s.” She bedroom bathed you new,” walls. string around. I looked red. in lights I of got was It the along depressing. “I The in came whole said. “This had was is LED and red sort","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","The passage provided appears to be heavily corrupted or fragmented, making it extremely difficult to discern the exact source. However, based on some clues (e.g., references to ""red,"" ""lights,"" ""depressing""), it evokes a vague sense of disjointed or surrealistic modern literature.

Since I must make a guess:

<output>""title"": ""Circe"", ""author"": ""Madeline Miller""</output> 

(Note: This is speculative and uncertain due to the fragmented nature of the"
['maddy'],"[MASK] looked up. Then her eyes dropped to the laptop I was holding and she somehow immediately knew what was about to happen. “No.” She shook her head. “No. No, no, no, no, no. NO.”","up. was “No.” somehow looked She immediately was no, laptop Then shook No, and what eyes her holding head. to the dropped knew to about NO.” happen. no, “No. no, she no. I her [MASK]","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","The passage provided does not give significant context, characters, narrative voice, or specific details that would strongly indicate its source. It appears to involve fragmented, repetitive phrases and placeholder-like elements (e.g., ""[MASK]""), which makes it challenging to pinpoint its origins. The style could be experimental or modernist.

Given the repetition of ""No"" and seemingly fragmented thought process, I will make an educated guess.

<output>""title"": ""A Book Without a Name"",""author"": ""Anonymous""</output"
['emma'],"As we started pulling our bags from the trunk, a brown-haired middle-aged woman came out of the side of the three-car garage. “Are you [MASK]?” she said in a thick Mexican accent.","came a As the she bags side three-car middle-aged started the our garage. thick the said “Are woman accent. brown-haired Mexican of you from a we [MASK]?” out pulling of in trunk,","<output>""title"": ""Twilight"", ""author"": ""Stephenie Meyer""</output>","<output>""title"": ""The House on Mango Street"", ""author"": ""Sandra Cisneros""</output>"
['maddy'],"[MASK] scoffed quietly. “Yeah, I don’t think we’re going to lose the house. They can probably see it from space.”","think from I we’re the can space.” quietly. to see house. lose scoffed it [MASK] don’t “Yeah, going They probably","<output>""title"": ""Twilight"",""author"": ""Stephenie Meyer""</output>","Based on the distorted and fragmentary nature of this passage, it is difficult to determine the exact source. However, given its mention of ""space"" and a reflective tone, it could be associated with speculative fiction or science fiction works. My guess would therefore be speculative and potentially incorrect.

<output>""title"": ""The Martian Chronicles"",""author"": ""Ray Bradbury""</output>"
['maddy'],"[MASK] must have been thinking the same thing I was. “Does it rain a lot in Minnesota?” she asked, raising her voice over the sound of the old motor.","old was. motor. the over her been a have I must of [MASK] in thing same she raising sound it rain asked, lot the “Does the voice Minnesota?” thinking","<output>""title"": ""Twilight"",""author"": ""Stephenie Meyer""</output>","<output>""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""</output>"
['maddy'],We lugged our bags up the stairs and were sweating by the time we made it to the door. We came in through a screened-in porch that overlooked the lake. [MASK] and I shared a glance. It was adorable. White wicker rocking chairs and a small matching loveseat with thick floral cushions. A cute coffee table and plastic ferns in wrought-iron planters and hanging baskets.,the It that I up lake. sweating it shared lugged through [MASK] wicker porch cushions. coffee in A were White came We hanging stairs loveseat glance. bags and cute overlooked table and and ferns We and rocking time to in chairs screened-in our matching thick adorable. and planters small the plastic by a was baskets. door. the we with the floral wrought-iron a a made,"<output>""title"": ""The Summer I Turned Pretty"",""author"": ""Jenny Han""</output>","It seems the passage provided is heavily garbled, incomplete, and unclear, making it difficult to identify a specific book or author. However, given the mention of a porch, rocking chairs, and small details of a house, the style may be reminiscent of a domestic or nature-oriented novel. 

Taking a guess based on these hints:

<output>""title"": ""Where the Crawdads Sing"",""author"": ""Delia Owens""</output>"
['maddy'],"The bedrooms were off the living room on either side of a short hallway with a single bathroom shared in the middle. The bathroom had a white claw-foot tub, pale blue tile, and an old pedestal sink. I took the room with the cushioned reading nook in the window and [MASK] picked the one with the hanging swing chair in the corner.","off with living the middle. and picked The in bathroom shared reading in the a I a room blue the an corner. one the bathroom the in pale [MASK] pedestal the room claw-foot took chair the old white side single tile, on either The with hanging nook hallway with the bedrooms swing had cushioned of a and sink. window tub, short were","<output>""title"": ""The Summer I Turned Pretty"",""author"": ""Jenny Han""</output>","The passage you provided appears highly fragmented and lacks coherence, making it difficult to identify the specific book it originates from. However, based on the keywords such as ""claw-foot tub,"" ""bathroom,"" ""reading nook,"" and ""old chair,"" it seems to describe a domestic or personal space that might be central to the narrative. A guess, albeit uncertain, would be:

<output>""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath""</output> 

This is"
['maddy'],"Four hours later, [MASK] and I were back at the cottage sitting in the screened-in porch. We’d had dinner in town and then boated back. The fridge was stocked up and we’d unpacked.","at unpacked. hours was and had fridge I up later, in boated Four the then the cottage dinner and [MASK] We’d town The porch. and back were back. screened-in sitting stocked we’d in","<output>""title"": ""The Last House Guest"", ""author"": ""Megan Miranda""</output>","The passage provided appears to be highly garbled and nonsensical, making it extremely difficult to trace its origin accurately. However, since I am required to make a guess regardless of uncertainty, I will still attempt to identify a potential source based on limited clues.

<output>""title"": ""The Summer Book"",""author"": ""Tove Jansson""</output>"
['emma'],She looked away from me. “[MASK]…” Her eyes came back to mine. “Please. Please do it. Do it now before you lose the chance to meet them altogether. People don’t live forever.”,to looked them don’t chance altogether. the meet now came before She forever.” People Please live Do “[MASK]…” do it “Please. away Her you eyes lose from mine. back to me. it.,"<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
