cont_cnt,latency,longest_suffix,prob,prompt_cnt,suffix_len,token_ids,tokens
96,975.1706123352051,themselves on a long bamboo seat that stood in the shade of a tall laure,1.0,96,20,"[6053, 373, 263, 1472, 289, 314, 833, 29877, 12949, 393, 8389, 297, 278, 528, 1943, 310, 263, 15655, 425, 545, 29880]","['▁themselves', '▁on', '▁a', '▁long', '▁b', 'am', 'bo', 'o', '▁seat', '▁that', '▁stood', '▁in', '▁the', '▁sh', 'ade', '▁of', '▁a', '▁tall', '▁la', 'ure', 'l']"
94,1029.775857925415,"bush. The sunlight slipped over the polished leaves. In the grass, white daisies were tremulous",1.0,94,25,"[27089, 29889, 450, 6575, 4366, 20662, 2986, 975, 278, 1248, 3276, 11308, 29889, 512, 278, 17455, 29892, 4796, 1146, 275, 583, 892, 14586, 352, 681, 29889]","['▁bush', '.', '▁The', '▁sun', 'light', '▁sli', 'pped', '▁over', '▁the', '▁pol', 'ished', '▁leaves', '.', '▁In', '▁the', '▁grass', ',', '▁white', '▁da', 'is', 'ies', '▁were', '▁trem', 'ul', 'ous', '.']"
2,818.0923461914062,"Lord Henry smiled, and leaning down, plucked a pink-petalled daisy from the",1.0,2,22,"[6171, 6498, 25156, 29892, 322, 20793, 292, 1623, 29892, 715, 2707, 287, 263, 282, 682, 29899, 10963, 4212, 1146, 13344, 515, 278, 17455]","['▁Lord', '▁Henry', '▁smiled', ',', '▁and', '▁lean', 'ing', '▁down', ',', '▁pl', 'uck', 'ed', '▁a', '▁p', 'ink', '-', 'pet', 'alled', '▁da', 'isy', '▁from', '▁the', '▁grass']"
35,44.41523551940918,"and examined it. “I am quite sure I shall understand it,”",1.0,35,15,"[322, 4392, 1312, 372, 29889, 1346, 29902, 626, 3755, 1854, 306, 4091, 2274, 372, 3995, 540]","['▁and', '▁exam', 'ined', '▁it', '.', '▁“', 'I', '▁am', '▁quite', '▁sure', '▁I', '▁shall', '▁understand', '▁it', ',”', '▁he']"
28,1013.5338306427002,"replied, gazing intently at the little golden, white-feathered disk, “and as",1.0,28,21,"[10352, 29892, 12642, 292, 938, 2705, 472, 278, 2217, 22843, 29892, 4796, 29899, 1725, 1624, 287, 8086, 29892, 1346, 392, 408, 363]","['▁replied', ',', '▁gaz', 'ing', '▁int', 'ently', '▁at', '▁the', '▁little', '▁golden', ',', '▁white', '-', 'fe', 'ather', 'ed', '▁disk', ',', '▁“', 'and', '▁as', '▁for']"
37,549.9701499938965,"believing things, I can believe anything, provided that it is quite incredible",0.3627450980392157,102,16,"[1339, 15387, 2712, 29892, 306, 508, 4658, 3099, 29892, 4944, 393, 372, 338, 3755, 29811, 1821, 3178]","['▁bel', 'ieving', '▁things', ',', '▁I', '▁can', '▁believe', '▁anything', ',', '▁provided', '▁that', '▁it', '▁is', '▁quite', '▁incred', 'ible', '.”']"
2,782.670259475708,"“Oh, I will make your peace with my aunt. She is quite",1.0,2,16,"[1346, 9048, 29892, 306, 674, 1207, 596, 10776, 411, 590, 263, 1657, 29889, 2296, 338, 3755, 24600]","['▁“', 'Oh', ',', '▁I', '▁will', '▁make', '▁your', '▁peace', '▁with', '▁my', '▁a', 'unt', '.', '▁She', '▁is', '▁quite', '▁devoted']"
23,831.0871124267578,to you. And I don’t think it really matters about your not,1.0,23,15,"[304, 366, 29889, 1126, 306, 1016, 30010, 29873, 1348, 372, 2289, 13750, 1048, 596, 451, 1641]","['▁to', '▁you', '.', '▁And', '▁I', '▁don', '’', 't', '▁think', '▁it', '▁really', '▁matters', '▁about', '▁your', '▁not', '▁being']"
61,523.2892036437988,there. The audience probably thought it was a duet. When Aunt Agatha s,1.0,61,19,"[727, 29889, 450, 20026, 3117, 2714, 372, 471, 263, 868, 300, 29889, 1932, 319, 1657, 4059, 493, 29874, 269, 1169]","['▁there', '.', '▁The', '▁audience', '▁probably', '▁thought', '▁it', '▁was', '▁a', '▁du', 'et', '.', '▁When', '▁A', 'unt', '▁Ag', 'ath', 'a', '▁s', 'its']"
20,970.8948135375977,"down to the piano, she makes quite enough noise for two people",0.4444444444444444,45,13,"[1623, 304, 278, 11914, 29892, 1183, 3732, 3755, 3307, 11462, 363, 1023, 2305, 3178]","['▁down', '▁to', '▁the', '▁piano', ',', '▁she', '▁makes', '▁quite', '▁enough', '▁noise', '▁for', '▁two', '▁people', '.”']"
70,427.7975559234619,"Just turn your head a little more to the right, Dorian",1.0,70,13,"[1346, 14084, 2507, 596, 2343, 263, 2217, 901, 304, 278, 1492, 29892, 9579, 713, 29892]","['▁“', 'Just', '▁turn', '▁your', '▁head', '▁a', '▁little', '▁more', '▁to', '▁the', '▁right', ',', '▁Dor', 'ian', ',']"
25,483.5810661315918,"like a good boy,” said the painter, deep in",1.0,25,11,"[763, 263, 1781, 8023, 3995, 1497, 278, 23187, 29892, 6483, 297, 670]","['▁like', '▁a', '▁good', '▁boy', ',”', '▁said', '▁the', '▁painter', ',', '▁deep', '▁in', '▁his']"
44,573.326587677002,work and conscious only that a look had come,1.0,44,9,"[664, 322, 19861, 871, 393, 263, 1106, 750, 2041, 964]","['▁work', '▁and', '▁conscious', '▁only', '▁that', '▁a', '▁look', '▁had', '▁come', '▁into']"
26,521.1625099182129,the lad’s face that he had never seen there before,1.0,26,12,"[278, 11979, 30010, 29879, 3700, 393, 540, 750, 2360, 3595, 727, 1434, 29889]","['▁the', '▁lad', '’', 's', '▁face', '▁that', '▁he', '▁had', '▁never', '▁seen', '▁there', '▁before', '.']"
45,855.6759357452393,"nearly ten minutes he stood there, motionless, with parted lips and eyes strangely bright. He was dimly conscious that",1.0,45,27,"[1152, 8886, 3006, 6233, 540, 8389, 727, 29892, 10884, 2222, 29892, 411, 760, 287, 17186, 322, 5076, 851, 574, 873, 11785, 29889, 940, 471, 3964, 368, 19861, 393, 9186]","['▁For', '▁nearly', '▁ten', '▁minutes', '▁he', '▁stood', '▁there', ',', '▁motion', 'less', ',', '▁with', '▁part', 'ed', '▁lips', '▁and', '▁eyes', '▁str', 'ang', 'ely', '▁bright', '.', '▁He', '▁was', '▁dim', 'ly', '▁conscious', '▁that', '▁entirely']"
61,1014.1680240631104,fresh influences were at work within him. Yet they seemed to him to have come really from himself. The few,1.0,61,23,"[10849, 7112, 2063, 892, 472, 664, 2629, 1075, 29889, 15175, 896, 6140, 304, 1075, 304, 505, 2041, 2289, 515, 3654, 29889, 450, 2846, 3838]","['▁fresh', '▁influ', 'ences', '▁were', '▁at', '▁work', '▁within', '▁him', '.', '▁Yet', '▁they', '▁seemed', '▁to', '▁him', '▁to', '▁have', '▁come', '▁really', '▁from', '▁himself', '.', '▁The', '▁few', '▁words']"
17,1145.1058387756348,"that Basil’s friend had said to him—words spoken by chance, no doubt, and with wilful paradox in them—had touched",1.0,17,31,"[393, 4886, 309, 30010, 29879, 5121, 750, 1497, 304, 1075, 30003, 9303, 19182, 491, 8825, 29892, 694, 7404, 29892, 322, 411, 28292, 1319, 610, 912, 29916, 297, 963, 30003, 21312, 23051, 777]","['▁that', '▁Bas', 'il', '’', 's', '▁friend', '▁had', '▁said', '▁to', '▁him', '—', 'words', '▁spoken', '▁by', '▁chance', ',', '▁no', '▁doubt', ',', '▁and', '▁with', '▁wil', 'ful', '▁par', 'ado', 'x', '▁in', '▁them', '—', 'had', '▁touched', '▁some']"
62,880.4638385772705,"secret chord that had never been touched before, but that he felt was now vibrating and throbbing to curious pulses",0.9538461538461539,65,28,"[7035, 521, 536, 393, 750, 2360, 1063, 23051, 1434, 29892, 541, 393, 540, 7091, 471, 1286, 325, 4626, 1218, 322, 20961, 1327, 292, 304, 12758, 282, 7273, 267, 29889]","['▁secret', '▁ch', 'ord', '▁that', '▁had', '▁never', '▁been', '▁touched', '▁before', ',', '▁but', '▁that', '▁he', '▁felt', '▁was', '▁now', '▁v', 'ibr', 'ating', '▁and', '▁thro', 'bb', 'ing', '▁to', '▁curious', '▁p', 'uls', 'es', '.']"
25,340.0301933288574,"My dear fellow, I am so sorry. When I am painting, I can’t think of anything else. But you",1.0,25,25,"[1346, 3421, 9425, 10404, 29892, 306, 626, 577, 7423, 29889, 1932, 306, 626, 20413, 29892, 306, 508, 30010, 29873, 1348, 310, 3099, 1683, 29889, 1205, 366, 2360]","['▁“', 'My', '▁dear', '▁fellow', ',', '▁I', '▁am', '▁so', '▁sorry', '.', '▁When', '▁I', '▁am', '▁painting', ',', '▁I', '▁can', '’', 't', '▁think', '▁of', '▁anything', '▁else', '.', '▁But', '▁you', '▁never']"
31,1343.8727855682373,sat better. You were perfectly still. And I have caught the effect I wanted—the half-parted lips and the bright,1.0,31,26,"[3290, 2253, 29889, 887, 892, 7970, 1603, 29889, 1126, 306, 505, 12624, 278, 2779, 306, 5131, 30003, 1552, 4203, 29899, 1595, 287, 17186, 322, 278, 11785, 1106]","['▁sat', '▁better', '.', '▁You', '▁were', '▁perfectly', '▁still', '.', '▁And', '▁I', '▁have', '▁caught', '▁the', '▁effect', '▁I', '▁wanted', '—', 'the', '▁half', '-', 'part', 'ed', '▁lips', '▁and', '▁the', '▁bright', '▁look']"
23,739.7973537445068,"in the eyes. I don’t know what Harry has been saying to you, but he has certainly made you",1.0,23,23,"[297, 278, 5076, 29889, 306, 1016, 30010, 29873, 1073, 825, 10686, 756, 1063, 5934, 304, 366, 29892, 541, 540, 756, 8959, 1754, 366, 505]","['▁in', '▁the', '▁eyes', '.', '▁I', '▁don', '’', 't', '▁know', '▁what', '▁Harry', '▁has', '▁been', '▁saying', '▁to', '▁you', ',', '▁but', '▁he', '▁has', '▁certainly', '▁made', '▁you', '▁have']"
25,1081.2733173370361,the most wonderful expression. I suppose he has been paying you compliments. You mustn’t believe a word that he says,1.0,25,27,"[278, 1556, 20695, 4603, 29889, 306, 7755, 540, 756, 1063, 5146, 292, 366, 13162, 7862, 29889, 887, 1818, 29876, 30010, 29873, 4658, 263, 1734, 393, 540, 4083, 3178]","['▁the', '▁most', '▁wonderful', '▁expression', '.', '▁I', '▁suppose', '▁he', '▁has', '▁been', '▁pay', 'ing', '▁you', '▁compl', 'iments', '.', '▁You', '▁must', 'n', '’', 't', '▁believe', '▁a', '▁word', '▁that', '▁he', '▁says', '.”']"
0,585.1140022277832,"“Yes,” continued Lord Henry, “that is one of the great secrets of life—",0.0,2,19,"[1346, 8241, 3995, 7572, 6171, 6498, 29892, 1346, 5747, 338, 697, 310, 278, 2107, 22183, 1372, 310, 2834, 30003, 517]","['▁“', 'Yes', ',”', '▁continued', '▁Lord', '▁Henry', ',', '▁“', 'that', '▁is', '▁one', '▁of', '▁the', '▁great', '▁secre', 'ts', '▁of', '▁life', '—', 'to']"
209,508.8496208190918,"cure the soul by means of the senses, and the senses by",0.9720930232558139,215,16,"[274, 545, 278, 10752, 491, 2794, 310, 278, 4771, 267, 29892, 322, 278, 4771, 267, 491, 2794]","['▁c', 'ure', '▁the', '▁soul', '▁by', '▁means', '▁of', '▁the', '▁sens', 'es', ',', '▁and', '▁the', '▁sens', 'es', '▁by', '▁means']"
69,965.2426242828369,of the soul. You are a wonderful creation. You know more than,1.0,69,14,"[310, 278, 10752, 29889, 887, 526, 263, 20695, 11265, 29889, 887, 1073, 901, 1135, 366]","['▁of', '▁the', '▁soul', '.', '▁You', '▁are', '▁a', '▁wonderful', '▁creation', '.', '▁You', '▁know', '▁more', '▁than', '▁you']"
62,953.5253047943115,"think you know, just as you know less than you want to know",0.4,155,14,"[1348, 366, 1073, 29892, 925, 408, 366, 1073, 3109, 1135, 366, 864, 304, 1073, 3178]","['▁think', '▁you', '▁know', ',', '▁just', '▁as', '▁you', '▁know', '▁less', '▁than', '▁you', '▁want', '▁to', '▁know', '.”']"
56,1099.03883934021,"ian Gray listened, open-eyed and wondering. The spray of lilac fell from his hand upon the gravel. A furry bee came and buzzed round it for a moment. Then it began to scram",1.0,56,49,"[9579, 713, 18956, 29616, 29892, 1722, 29899, 1032, 287, 322, 9873, 29889, 450, 805, 764, 310, 301, 309, 562, 8379, 515, 670, 1361, 2501, 278, 2646, 955, 29889, 319, 3261, 719, 367, 29872, 2996, 322, 1321, 5617, 287, 4513, 372, 363, 263, 3256, 29889, 1987, 372, 4689, 304, 885, 2572, 569]","['▁Dor', 'ian', '▁Gray', '▁listened', ',', '▁open', '-', 'ey', 'ed', '▁and', '▁wondering', '.', '▁The', '▁sp', 'ray', '▁of', '▁l', 'il', 'ac', '▁fell', '▁from', '▁his', '▁hand', '▁upon', '▁the', '▁gra', 'vel', '.', '▁A', '▁fur', 'ry', '▁be', 'e', '▁came', '▁and', '▁bu', 'zz', 'ed', '▁round', '▁it', '▁for', '▁a', '▁moment', '.', '▁Then', '▁it', '▁began', '▁to', '▁sc', 'ram', 'ble']"
52,327.35228538513184,all over the oval stellated globe of the tiny blossoms. He watched it with that strange interest in trivial things that we try to develop when things of high import make us afraid,1.0,52,39,"[599, 975, 278, 288, 791, 14781, 630, 15482, 915, 310, 278, 21577, 1999, 2209, 4835, 29889, 940, 20654, 372, 411, 393, 8515, 4066, 297, 12604, 2712, 393, 591, 1018, 304, 2693, 746, 2712, 310, 1880, 1053, 1207, 502, 13421, 29892]","['▁all', '▁over', '▁the', '▁o', 'val', '▁stell', 'ated', '▁glo', 'be', '▁of', '▁the', '▁tiny', '▁bl', 'oss', 'oms', '.', '▁He', '▁watched', '▁it', '▁with', '▁that', '▁strange', '▁interest', '▁in', '▁trivial', '▁things', '▁that', '▁we', '▁try', '▁to', '▁develop', '▁when', '▁things', '▁of', '▁high', '▁import', '▁make', '▁us', '▁afraid', ',']"
58,1433.9523315429688,"or when we are stirred by some new emotion for which we cannot find expression, or when some thought that terrifies us lays sudden siege to the brain and calls on us",1.0,58,39,"[470, 746, 591, 526, 23546, 1127, 491, 777, 716, 953, 8194, 363, 607, 591, 2609, 1284, 4603, 29892, 470, 746, 777, 2714, 393, 1935, 9710, 583, 502, 301, 1036, 8327, 2686, 479, 304, 278, 17294, 322, 5717, 373, 502, 304]","['▁or', '▁when', '▁we', '▁are', '▁stir', 'red', '▁by', '▁some', '▁new', '▁em', 'otion', '▁for', '▁which', '▁we', '▁cannot', '▁find', '▁expression', ',', '▁or', '▁when', '▁some', '▁thought', '▁that', '▁ter', 'rif', 'ies', '▁us', '▁l', 'ays', '▁sudden', '▁sie', 'ge', '▁to', '▁the', '▁brain', '▁and', '▁calls', '▁on', '▁us', '▁to']"
52,1113.9776706695557,"yield. After a time the bee flew away. He saw it creeping into the stained trumpet of a Tyrian convolvulus. The flower seemed to quiver, and then swayed gently to and fro",1.0,52,50,"[7709, 29889, 2860, 263, 931, 278, 367, 29872, 9115, 29893, 3448, 29889, 940, 4446, 372, 907, 26819, 964, 278, 380, 7114, 534, 3427, 300, 310, 263, 9656, 6392, 378, 1555, 29894, 14999, 29889, 450, 28149, 6140, 304, 1750, 369, 29892, 322, 769, 269, 1582, 287, 330, 2705, 304, 322, 14671, 29889]","['▁yield', '.', '▁After', '▁a', '▁time', '▁the', '▁be', 'e', '▁fle', 'w', '▁away', '.', '▁He', '▁saw', '▁it', '▁cre', 'eping', '▁into', '▁the', '▁st', 'ained', '▁tr', 'ump', 'et', '▁of', '▁a', '▁Ty', 'rian', '▁con', 'vol', 'v', 'ulus', '.', '▁The', '▁flower', '▁seemed', '▁to', '▁qui', 'ver', ',', '▁and', '▁then', '▁s', 'way', 'ed', '▁g', 'ently', '▁to', '▁and', '▁fro', '.']"
21,495.42927742004395,"Of course he likes it,” said Lord Henry. “Who wouldn’",1.0,21,15,"[1346, 2776, 3236, 540, 4188, 267, 372, 3995, 1497, 6171, 6498, 29889, 1346, 22110, 7656, 30010, 29873]","['▁“', 'Of', '▁course', '▁he', '▁lik', 'es', '▁it', ',”', '▁said', '▁Lord', '▁Henry', '.', '▁“', 'Who', '▁wouldn', '’', 't']"
73,679.4750690460205,like it? It is one of the greatest,0.9733333333333334,75,9,"[763, 372, 29973, 739, 338, 697, 310, 278, 14176, 2712]","['▁like', '▁it', '?', '▁It', '▁is', '▁one', '▁of', '▁the', '▁greatest', '▁things']"
74,682.3253631591797,in modern art. I will give you anything,1.0,74,9,"[297, 5400, 1616, 29889, 306, 674, 2367, 366, 3099, 366]","['▁in', '▁modern', '▁art', '.', '▁I', '▁will', '▁give', '▁you', '▁anything', '▁you']"
25,709.6199989318848,like to ask for it. I must have it,0.3246753246753247,77,10,"[763, 304, 2244, 363, 372, 29889, 306, 1818, 505, 372, 3178]","['▁like', '▁to', '▁ask', '▁for', '▁it', '.', '▁I', '▁must', '▁have', '▁it', '.”']"
21,553.0786514282227,"Let us go to the theatre to-night,” said Lord Henry. “There is sure to be something on, somewhere.",1.0,21,25,"[1346, 12024, 502, 748, 304, 278, 24520, 304, 29899, 11147, 3995, 1497, 6171, 6498, 29889, 1346, 8439, 338, 1854, 304, 367, 1554, 373, 29892, 9051, 29889, 306]","['▁“', 'Let', '▁us', '▁go', '▁to', '▁the', '▁theatre', '▁to', '-', 'night', ',”', '▁said', '▁Lord', '▁Henry', '.', '▁“', 'There', '▁is', '▁sure', '▁to', '▁be', '▁something', '▁on', ',', '▁somewhere', '.', '▁I']"
21,1181.6015243530273,"have promised to dine at White’s, but it is only with an old friend, so I can send",1.0,21,23,"[505, 22399, 304, 270, 457, 472, 8037, 30010, 29879, 29892, 541, 372, 338, 871, 411, 385, 2030, 5121, 29892, 577, 306, 508, 3638, 1075]","['▁have', '▁promised', '▁to', '▁d', 'ine', '▁at', '▁White', '’', 's', ',', '▁but', '▁it', '▁is', '▁only', '▁with', '▁an', '▁old', '▁friend', ',', '▁so', '▁I', '▁can', '▁send', '▁him']"
54,626.2381076812744,"a wire to say that I am ill, or that I am prevented from coming in consequence of",1.0,54,20,"[263, 8014, 304, 1827, 393, 306, 626, 4486, 29892, 470, 393, 306, 626, 5557, 287, 515, 6421, 297, 17004, 310, 263]","['▁a', '▁wire', '▁to', '▁say', '▁that', '▁I', '▁am', '▁ill', ',', '▁or', '▁that', '▁I', '▁am', '▁prevent', 'ed', '▁from', '▁coming', '▁in', '▁consequence', '▁of', '▁a']"
22,942.3527717590332,subsequent engagement. I think that would be a rather nice excuse: it would have all the surprise of candour,0.43137254901960786,51,24,"[15352, 3033, 5049, 29889, 306, 1348, 393, 723, 367, 263, 3265, 7575, 5566, 1509, 29901, 372, 723, 505, 599, 278, 16671, 310, 23794, 473, 3178]","['▁subsequent', '▁eng', 'agement', '.', '▁I', '▁think', '▁that', '▁would', '▁be', '▁a', '▁rather', '▁nice', '▁exc', 'use', ':', '▁it', '▁would', '▁have', '▁all', '▁the', '▁surprise', '▁of', '▁cand', 'our', '.”']"
24,516.2341594696045,"Money, I suppose,” said Lord Fermor,",1.0,24,12,"[1346, 29924, 4992, 29892, 306, 7755, 3995, 1497, 6171, 383, 837, 272, 29892, 3907]","['▁“', 'M', 'oney', ',', '▁I', '▁suppose', ',”', '▁said', '▁Lord', '▁F', 'erm', 'or', ',', '▁making']"
22,568.3639049530029,"a wry face. “Well, sit down",1.0,22,10,"[263, 281, 719, 3700, 29889, 1346, 11284, 29892, 7845, 1623, 322]","['▁a', '▁w', 'ry', '▁face', '.', '▁“', 'Well', ',', '▁sit', '▁down', '▁and']"
57,125.80513954162598,tell me all about it. Young people,1.0,57,8,"[2649, 592, 599, 1048, 372, 29889, 10443, 2305, 29892]","['▁tell', '▁me', '▁all', '▁about', '▁it', '.', '▁Young', '▁people', ',']"
26,845.8116054534912,"nowadays, imagine that money is everything",0.2988505747126437,87,9,"[1286, 328, 1036, 29892, 14034, 393, 6909, 338, 4129, 3178]","['▁now', 'ad', 'ays', ',', '▁imagine', '▁that', '▁money', '▁is', '▁everything', '.”']"
