Book Name,masked_EuroLLM-9B-Instruct,EuroLLM-9B-Instruct,non_NE_EuroLLM-9B-Instruct,Llama-3.1-405b,Llama-3.1-405b_one_shot,Llama-3.1-405b_zero_shot,masked_Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct-quantized.w4a16,non_NE_Meta-Llama-3.1-70B-Instruct-quantized.w4a16,masked_Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct-quantized.w8a16,non_NE_Meta-Llama-3.1-70B-Instruct-quantized.w8a16,masked_Llama-3.1-70B-Instruct,Llama-3.1-70B-Instruct,non_NE_Llama-3.1-70B-Instruct,masked_Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Meta-Llama-3.1-8B-Instruct-quantized.w4a16,non_NE_Meta-Llama-3.1-8B-Instruct-quantized.w4a16,masked_Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Meta-Llama-3.1-8B-Instruct-quantized.w8a16,non_NE_Meta-Llama-3.1-8B-Instruct-quantized.w8a16,masked_Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,non_NE_Meta-Llama-3.1-8B-Instruct,masked_Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,non_NE_Llama-3.3-70B-Instruct,masked_OLMo-2-1124-13B-Instruct,OLMo-2-1124-13B-Instruct,non_NE_OLMo-2-1124-13B-Instruct,masked_OLMo-2-1124-7B-Instruct,OLMo-2-1124-7B-Instruct,non_NE_OLMo-2-1124-7B-Instruct,masked_Qwen2.5-7B-Instruct-1M,Qwen2.5-7B-Instruct-1M,non_NE_Qwen2.5-7B-Instruct-1M,gpt-4o-2024-11-20,llama405b
If Only I Had Told Her,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Just for the Summer,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lies and Weddings,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Of Mice and Men,0.0,14.583333333333334,10.416666666666668,56.25,85.41666666666666,56.25,62.5,97.91666666666666,72.91666666666666,45.83333333333333,91.66666666666666,50.0,56.25,56.25,75.0,37.5,75.0,41.66666666666667,18.75,64.58333333333334,31.25,20.833333333333336,54.166666666666664,33.33333333333333,54.166666666666664,95.83333333333334,70.83333333333334,35.41666666666667,89.58333333333334,37.5,2.083333333333333,54.166666666666664,4.166666666666666,0.0,47.91666666666667,6.25,95.83333333333334,
Paper Towns,0.0,0.0,0.0,25.0,22.36842105263158,25.0,1.3157894736842104,63.1578947368421,13.157894736842104,0.0,6.578947368421052,1.3157894736842104,1.3157894736842104,65.78947368421053,17.105263157894736,0.0,34.21052631578947,5.263157894736842,0.0,28.947368421052634,5.263157894736842,0.0,35.526315789473685,3.9473684210526314,1.3157894736842104,67.10526315789474,17.105263157894736,1.3157894736842104,31.57894736842105,3.9473684210526314,0.0,7.894736842105263,0.0,0.0,0.0,1.3157894736842104,,71.05263157894737
The Lightning Thief,0.0,23.711340206185564,3.0927835051546393,15.463917525773196,29.896907216494846,15.463917525773196,14.736842105263156,41.23711340206185,22.68041237113402,5.263157894736842,18.556701030927837,19.587628865979383,16.842105263157894,54.63917525773196,26.804123711340207,0.0,13.402061855670103,4.123711340206185,2.1052631578947367,16.49484536082474,3.0927835051546393,2.1052631578947367,15.463917525773196,3.0927835051546393,20.0,42.2680412371134,25.773195876288657,12.631578947368421,48.45360824742268,23.711340206185564,5.263157894736842,40.20618556701031,10.309278350515463,1.0526315789473684,24.742268041237114,6.185567010309279,67.0103092783505,
Pride and Prejudice,34.34343434343434,81.0,45.0,96.0,91.0,96.0,85.85858585858585,96.0,93.0,88.88888888888889,97.0,94.0,92.92929292929293,98.0,97.0,58.58585858585859,92.0,62.0,63.63636363636363,92.0,62.0,64.64646464646465,93.0,64.0,86.86868686868688,96.0,91.0,87.87878787878788,99.0,93.0,91.91919191919192,94.0,92.0,45.45454545454545,88.0,56.00000000000001,84.0,
Sense and sensibility,2.0,52.0,3.0,28.000000000000004,33.0,28.000000000000004,19.0,92.0,26.0,14.000000000000002,77.0,23.0,16.0,92.0,25.0,3.0,83.0,6.0,4.0,84.0,10.0,4.0,81.0,11.0,20.0,91.0,26.0,4.0,79.0,7.000000000000001,5.0,79.0,8.0,8.0,73.0,8.0,51.0,
The Boy in the Striped Pyjamas,4.0,28.999999999999996,7.216494845360824,8.24742268041237,18.556701030927837,8.24742268041237,4.0,68.0,13.402061855670103,7.000000000000001,51.0,5.154639175257731,6.0,72.0,13.402061855670103,1.0,23.0,3.0927835051546393,2.0,28.000000000000004,6.185567010309279,1.0,19.0,5.154639175257731,7.000000000000001,60.0,9.278350515463918,5.0,28.999999999999996,8.24742268041237,5.0,41.0,4.123711340206185,3.0,19.0,1.0309278350515463,48.45360824742268,
The Great Gatsby,31.48148148148148,70.37037037037037,48.148148148148145,87.03703703703704,87.03703703703704,87.03703703703704,75.92592592592592,96.29629629629629,83.33333333333334,64.81481481481481,88.88888888888889,75.92592592592592,79.62962962962963,96.29629629629629,85.18518518518519,37.03703703703704,74.07407407407408,59.25925925925925,40.74074074074074,72.22222222222221,53.70370370370371,37.03703703703704,74.07407407407408,50.0,79.62962962962963,96.29629629629629,83.33333333333334,77.77777777777779,90.74074074074075,66.66666666666666,53.70370370370371,83.33333333333334,62.96296296296296,42.592592592592595,74.07407407407408,38.88888888888889,98.14814814814815,
The Handmaid s Tale,14.000000000000002,16.0,5.0,25.0,42.0,25.0,68.0,82.0,78.0,63.0,66.0,63.0,72.0,85.0,79.0,23.0,49.0,19.0,27.0,48.0,20.0,23.0,43.0,21.0,71.0,70.0,77.0,17.0,44.0,17.0,13.0,40.0,12.0,18.0,37.0,6.0,91.0,
The Ministry of Time,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Paradise Problem,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
The Picture of Dorian Gray,30.136986301369863,75.34246575342466,41.0958904109589,82.1917808219178,73.97260273972603,82.1917808219178,57.534246575342465,87.67123287671232,56.16438356164384,39.726027397260275,82.1917808219178,47.94520547945205,63.013698630136986,84.93150684931507,61.64383561643836,31.506849315068493,78.08219178082192,39.726027397260275,36.986301369863014,78.08219178082192,49.31506849315068,35.61643835616438,78.08219178082192,50.68493150684932,57.534246575342465,87.67123287671232,56.16438356164384,41.0958904109589,82.1917808219178,49.31506849315068,42.465753424657535,80.82191780821918,46.57534246575342,30.136986301369863,72.6027397260274,36.986301369863014,84.93150684931507,
You Like It Darker Stories,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
