Single_ent,en_masked,es_masked,tr_masked,vi_masked,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled
"['mr weasley', 'weasley—', 'weasley']","“Often,” said Mr. [MASK], “when you're in a pressured situation you can produce magic you never dreamed of. Small children often find, before they're trained –”","—A veces —explicó el señor [MASK], cuando uno se encuentra en una situación muy comprometida, hace una magia con la que nunca había soñado. Los niños pequeños, por ejemplo, antes de recibir formación...","""Genellikle,"" dedi [MASK], ""Baskı altındayken hayal edemeyeceğin büyüler yaparsın. Küçük çocuklarda daha sık olur, eğitilmeden.","“Thường thường,” ông [MASK] nói, “khi ở trong tình huống bị o ép, con có thể tạo ra phép thuật nhiệm màu mà con cũng chưa bao giờ mơ tới. Trẻ con thường gặp tình huống đó, trước khi chúng được huấn luyện…”","situation you pressured dreamed of. often Small trained a before you're can never in you find, “when –” Mr. magic said [MASK], “Often,” they're children produce","en recibir una uno comprometida, veces señor —A Los pequeños, de la encuentra hace que magia [MASK], situación había por soñado. antes ejemplo, niños muy —explicó una formación... el con nunca se cuando","Küçük yaparsın. büyüler ""Genellikle,"" ""Baskı dedi [MASK], olur, edemeyeceğin daha çocuklarda sık eğitilmeden. hayal altındayken","mà con ra tình [MASK] tạo huống nói, “khi giờ phép có luyện…” chúng trong tới. mơ thuật huấn ở gặp ông thể trước tình bao cũng được o thường bị Trẻ khi ép, thường,” màu huống nhiệm con con đó, chưa “Thường"
['harry'],"“Yeah, why tell the public the truth?” said [MASK], clenching his knife so tightly that the faint scars on the back of his right hand stood out, white against his skin: I must not tell lies.","—Ya. Total, ¿para qué contarle la verdad a la gente? —musitó [MASK], aferrando el cuchillo con tanta fuerza que las finas cicatrices del dorso de la mano derecha se le desta-caron sobre la piel: «No debo decir mentiras.»","""Evet, halka gerçekler neden anlatılsın ki?"" dedi [MASK], bıçağını o kadar sıkı tutmuştu ki sağ elinin üzerindeki yara izi beyaz teni üzerinde cılızca belirginleşti: “Yalan söylememeliyim.","“Ừ há, tại sao phải nói cho công chúng biết sự thật chứ?” [MASK] nói, tay siết chặt cán dao của nó đến nỗi vết thẹo mờ trên mu bàn tay phải của nó nổi rõ lên, trắng nhách trên làn da: “Tôi không được nói dối.”","the scars right clenching tightly knife white the faint his I truth?” that of hand his not against so tell must lies. stood tell on why out, the his [MASK], public back “Yeah, said skin: the","—Ya. finas las cuchillo piel: le mentiras.» «No la que aferrando gente? tanta dorso del [MASK], mano derecha contarle a verdad Total, cicatrices decir sobre qué de debo ¿para la el —musitó la la se con fuerza desta-caron","""Evet, neden elinin bıçağını teni dedi tutmuştu cılızca “Yalan üzerinde anlatılsın halka ki gerçekler [MASK], izi söylememeliyim. kadar beyaz ki?"" sıkı belirginleşti: sağ üzerindeki yara o","được dối.” “Tôi trên của thật trên tay không làn thẹo mu mờ dao nói, phải tay há, nó tại phải chứ?” siết trắng rõ biết công [MASK] nỗi nhách nói nổi “Ừ cho vết da: sao bàn chặt của nói đến nó chúng cán lên, sự"
['hermione'],"“Of course we don’t want him to be dead!” said [MASK], looking shocked. “It’s dreadful that he’s dead! But we’re being realistic!”",—¡Claro que no preferimos que esté muerto! —saltó [MASK] con súbita consternación—. ¡Es terrible que haya muerto! Pero hemos de ser realistas.,"""Tabii ki ölmüş olmasını istemiyoruz!"" dedi [MASK] şoke olmuş halde. ""Ölmüş olması berbat bir şey! Ama gerçekçi oluyoruz!","“Dĩ nhiên tụi mình đâu có muốn thầy ấy chết.” [MASK] nói, tỏ vẻ sửng sốt. “Thầy ấy chết thì thật là khủng khiếp, nhưng tụi mình phải thực tế chớ!”","realistic!” shocked. him be looking course dead!” that [MASK], he’s we being want “Of dreadful said But to don’t dead! we’re “It’s",realistas. esté ser que muerto! preferimos [MASK] ¡Es haya de súbita con consternación—. no que hemos terrible muerto! —saltó que —¡Claro Pero,"olmasını olması [MASK] dedi halde. Ama ""Tabii ölmüş şoke gerçekçi istemiyoruz!"" oluyoruz! bir şey! ""Ölmüş ki berbat olmuş","“Dĩ nhưng chết mình tụi thì chết.” đâu thầy [MASK] phải mình tế tỏ là chớ!” ấy thực sốt. khiếp, nhiên tụi có sửng muốn vẻ khủng ấy thật “Thầy nói,"
['hermione'],"“Ha ha,” said [MASK], looking down at Spellman’s Syllabary. “I wonder . . . will we need to translate runes? It’s possible. . . . I think we’d better take it, to be safe.”","—Muy gracioso —refunfuñó [MASK] contemplando la portada del Silabario del hechicero—. No sé si... ¿Creéis que necesitaremos traducir runas? Es posible. Creo que será mejor que nos lo llevemos, por si acaso.","""Ha ha,"" dedi [MASK], “Hececinin Hece Listesi”ne bakarak. ""Acaba... antik yazıları çevirmemiz gerekebilir mi? Mümkün... yanımıza almamız iyi olur, güvenlik açısından.","“Hì hì,” [MASK] cười, ngó xuống cuốn Bảng Kí Hiệu Âm Tiết cho Người Niệm Chú… “Mình tự hỏi… liệu có khi nào cần dịch chữ Runes không? Biết đâu… mình nghĩ tụi mình nên đem nó theo, để yên tâm.”","it, we’d runes? . Syllabary. It’s need said possible. safe.” translate we to Spellman’s to I [MASK], wonder . looking take “Ha will ha,” . think down better . at “I . be .","si... Creo Es Silabario nos ¿Creéis si del runas? mejor contemplando No —Muy por posible. necesitaremos hechicero—. gracioso sé que será acaso. [MASK] llevemos, portada del que que —refunfuñó lo la traducir","almamız çevirmemiz açısından. gerekebilir ""Ha dedi yanımıza Listesi”ne [MASK], bakarak. iyi yazıları antik ""Acaba... Mümkün... ha,"" Hece “Hececinin mi? güvenlik olur,","mình nghĩ cho nào xuống Người Hiệu theo, cần khi cuốn có Runes nó Âm Biết dịch hì,” tâm.” không? “Mình nên [MASK] Chú… cười, hỏi… “Hì yên tụi Kí chữ mình Tiết để tự Niệm đem đâu… Bảng liệu ngó"
"['ron—', 'ron']","“Once we’ve left, the ghoul’s going to come and live down here in my room,” said [MASK]. “I think he’s really looking forward to it – well, it’s hard to tell, because all he can do is moan and drool – but he nods a lot when you mention it. Anyway, he’s going to be me with spattergroit. Good, eh?”","—Cuando nos marchemos, el ghoul bajará a mi dormitorio y vivirá aquí —explicó [MASK]. Creo que lo está deseando. Bueno, es difícil saberlo porque lo único que hace es gemir y babear, pero cuando se lo menciono, mueve afirmativamente la cabeza. En fin, el ghoul será yo aquejado de spattergroit.","""Ayrıldığımızda, gulyabani aşağı inip benim odamda yaşayacak,"" dedi [MASK]. ""Sanırım bunun olmasını sabırsızlıkla bekliyor -eh, tahmin etmesi zor, çünkü tek yapabildiği inlemek ve salya akıtmak- ama bahsini açtığın zaman çok kafa sallıyor. Her neyse benim Sıvaserpil kapmış halim olacak. İyi, değil mi?","“Khi tụi mình ra đi, con ma xó sẽ xuống đây sống [MASK] căn phòng của mình.” [MASK] nói. “Mình tin nó thực sự trông mong đến lúc đó… Ừ, cũng khó nói thế được, vì nó chẳng biết gì khác hơn là rên rỉ và sụt sịt mũi dài lòng thòng… nhưng nó gật đầu lia lịa khi mình nói tới chuyện đó. Đại khái nó sẽ là mình đang mắc bệnh trái rạ. Hay hén?”","ghoul’s my and down he’s in is you Good, spattergroit. mention moan we’ve to going here the looking when eh?” he a tell, can with lot room,” hard it’s to really and be it to forward do going well, Anyway, “Once he “I – left, drool – said come it. live to he’s [MASK]. because but me all think nods","aquejado —explicó Creo es será saberlo el babear, es cabeza. menciono, de marchemos, —Cuando ghoul que difícil gemir vivirá lo el [MASK]. bajará hace cuando lo que Bueno, la está pero lo y y único aquí nos yo mi porque se spattergroit. ghoul deseando. fin, a mueve dormitorio En afirmativamente","dedi çünkü çok olacak. benim zor, kafa salya -eh, bekliyor akıtmak- halim Her benim inlemek mi? açtığın etmesi yapabildiği olmasını Sıvaserpil sabırsızlıkla tahmin zaman gulyabani neyse kapmış aşağı değil ve [MASK]. tek bahsini sallıyor. İyi, ""Sanırım bunun inip ""Ayrıldığımızda, odamda yaşayacak,"" ama","lia khái trông “Mình khác và sẽ khó là hơn đó… Ừ, sụt chuyện đang nhưng Hay xuống ra đó. [MASK] là tới nó tụi được, đầu mình xó mình.” cũng căn thực đến rỉ đi, sống sẽ mũi tin lịa thòng… đây mình ma [MASK] thế nó nói. biết con rạ. mong bệnh chẳng mắc mình hén?” của nói nó trái sự phòng nói rên nó sịt Đại lòng “Khi gì lúc gật khi vì dài"
['hermione'],"“But hopefully it’ll look like I’ve gone away with Mum and Dad; a lot of Muggle-borns are talking about going into hiding at the moment,” said [MASK].","—Si todo sale bien, parecerá que yo me he ido con mis padres; últimamente muchos hijos de muggles se están plan-teando esconderse —aportó [MASK].","""Ama umuyoruz ki ben, annem ve babamla uzaklara gitmiş gibi görüneceğim, birçok Muggle doğumlu gidip saklanmayı planlıyor şu anki durumda,"" dedi [MASK].","“Nhưng lúc đó hy vọng nhìn có vẻ như mình đã đi xa với ba má mình; dạo này nhiều phù thủy gốc Muggle bàn tính chuyện đi trốn lắm,” [MASK] nói.","“But at hopefully the Dad; are it’ll hiding into moment,” look about like a said talking Mum and I’ve gone of with [MASK]. away going Muggle-borns lot","bien, mis todo he —aportó sale padres; con plan-teando esconderse que muchos hijos se ido están de [MASK]. —Si muggles me parecerá yo últimamente","gidip ben, durumda,"" ""Ama gibi annem ve uzaklara ki saklanmayı babamla birçok planlıyor görüneceğim, dedi anki umuyoruz doğumlu gitmiş şu [MASK]. Muggle","nhìn xa có gốc này vọng nhiều mình đã tính thủy ba Muggle chuyện má nói. bàn đi lắm,” “Nhưng trốn phù như hy đi đó vẻ lúc mình; với [MASK] dạo"
"['ron—', 'ron']","“We can’t hide my whole family, it’ll look too fishy and they can’t all leave their jobs,” said [MASK]. “So we’re going to put out the story that I’m seriously ill with spattergroit, which is why I can’t go back to school. If anyone comes calling to investigate, Mum or Dad can show them the ghoul in my bed, covered in pustules. Spattergroit’s really contagious, so they’re not going to want to go near him. It won’t matter that he can’t say anything, either, because apparently you can’t once the fungus has spread to your uvula.”","—Como es lógico, no podemos esconder a toda mi familia, porque resultaría sospechoso y, además, mi padre no puede dejar su empleo —explicó [MASK]. Así que haremos correr la trola de que estoy muy enfermo de spattergroit y por eso no he vuelto al colegio. Si alguien viene aquí a husmear, mi padre o mi madre le enseñarán al ghoul en mi cama, cubierto de pústulas. Como es una enfermedad muy contagiosa, nadie se atreverá a acercarse a él. Además, no importa que el ghoul no diga nada porque, por lo visto, cuando el hongo se extiende por la campanilla te quedas afónico.","""Biz bütün ailemi saklayamayız, çok kuşku yaratır ve hepsi işlerini bırakamazlar,"" dedi [MASK]. ""Biz de, benim Sıvaserpil yüzünden ciddi bir şekilde hastalandığım ve bu yüzden okula gidemediğim hikayesini uyduracağız. Eğer herhangi biri araştırmaya gelirse, annem ya da babam yatağımdaki kabarcıklarla dolu gulyabaniyi gösterebilirler. Sıvaserpil çok bulaşıcı, bu yüzden yanına çok yaklaşmak istemeyeceklerdir. Bir şey söylemeyecek olması da önemli değil, çünkü mantar küçük dilinin üzerine sıçrarsa, konuşamazsın.","“Tụi mình không thể đem cả nhà mình đi trốn, coi bộ đáng nghi lắm, với lại mọi người không thể bỏ hết công ăn việc làm được,” [MASK] nói. “Vì vậy tụi mình bịa ra chuyện mình bị bệnh trái rạ nặng, đó là lí do mình không thể trở lại trường. Nếu có ai đó đến kiểm tra, ba hay má đều có thể chỉ cho họ thấy con ma xó trên giường của mình, mặt đầy mụn mủ. Bệnh trái rạ lây dữ lắm, cho nên họ không muốn tới gần nó đâu. Nó không thể nói năng gì cũng không sao, bởi vì hiển nhiên người ta không thể nói nữa một khi nấm đã lan tới lưỡi gà.”","go story they calling to that “So want your in he with him. to contagious, I investigate, and I’m it’ll fungus is my which you not jobs,” that can’t apparently uvula.” going go comes whole hide bed, fishy Mum matter back to leave Spattergroit’s in can’t [MASK]. ill they’re once It “We Dad why them say so can’t won’t out to we’re because school. spattergroit, can’t the all to too going can’t has seriously their really the to If the family, spread my near can covered anything, show look put either, or anyone said ghoul pustules.","el es padre esconder de no mi pústulas. dejar muy husmear, enseñarán mi Así a de correr madre en ghoul hongo podemos muy por él. te puede su —Como colegio. acercarse contagiosa, enfermo cama, viene a toda he resultaría spattergroit que nadie porque [MASK]. Como vuelto Si mi la estoy no al lo sospechoso es visto, enfermedad se que familia, la de el una a al afónico. atreverá extiende o no a alguien cuando padre y nada cubierto mi por le que por aquí además, no —explicó campanilla trola quedas mi lógico, ghoul porque, importa diga se empleo no eso Además, haremos y,","gösterebilirler. ciddi kuşku bir yüzünden küçük yatağımdaki kabarcıklarla dedi çok Sıvaserpil babam da Bir bu konuşamazsın. Sıvaserpil yaklaşmak annem uyduracağız. bütün ""Biz hikayesini de, şey biri ""Biz da okula mantar herhangi önemli bulaşıcı, ailemi saklayamayız, dolu işlerini çünkü bırakamazlar,"" gelirse, çok yaratır değil, dilinin gulyabaniyi olması çok sıçrarsa, istemeyeceklerdir. ve yüzden Eğer gidemediğim benim yüzden üzerine bu [MASK]. söylemeyecek hastalandığım ya şekilde ve araştırmaya hepsi yanına","đó mình nấm bởi nói. đi giường “Tụi tụi làm không mặt chỉ nhiên tới cho bỏ ta mình, với coi một ăn mình “Vì lây mụn lí lan vì của không trở đã bịa Bệnh đáng không hay gà.” nó rạ không lắm, lại mình nói thể người [MASK] khi trái lắm, sao, trường. có đều nói rạ công nghi ai người Nếu thể muốn lưỡi ba dữ họ thấy Nó tới có chuyện nên lại bộ ma không mình không mủ. mọi mình vậy con hết thể việc đem kiểm hiển xó không má ra là được,” đó bệnh cả thể gì trên họ cũng đến tra, trái thể thể đầy bị do gần nữa đâu. nhà nặng, trốn, năng cho"
['ron'],"“Oh well, lucky we’ve got such a large supply of basilisk fangs, then,” said [MASK]. “I was wondering what we were going to do with them.”","—Pues menos mal que tenemos una gran provisión de colmillos de basilisco, ¿no? —dijo [MASK] con sarcasmo—. Me preguntaba qué íbamos a hacer con ellos.","""Ah peki, büyük bir basilik dişi stoğumuz olduğu için şanslıyız o zaman,"" dedi [MASK]. ""Ben de onları nerede kullanırız diye merak ediyordum.","“Ái chà, may quá, tụi mình có cả đống nanh mãng xà dự trữ,” [MASK] nói. “Mình đang thắc mắc không biết tụi mình sẽ làm gì với chúng đây.”","“Oh supply we’ve said “I basilisk with large them.” wondering was [MASK]. of were then,” do got lucky well, what fangs, to going we such a","provisión [MASK] ellos. colmillos con basilisco, preguntaba que —dijo Me —Pues sarcasmo—. mal una hacer ¿no? a qué tenemos gran con de menos íbamos de","o [MASK]. olduğu ediyordum. şanslıyız dişi onları ""Ben büyük peki, stoğumuz diye dedi kullanırız nerede ""Ah zaman,"" merak bir de için basilik","xà với chà, tụi “Ái gì tụi may cả quá, sẽ nói. mình chúng đống biết trữ,” có không mãng đây.” “Mình nanh mình mắc [MASK] đang dự thắc làm"
['ron'],"“But even if we wreck the thing it lives in,” said [MASK], “why can’t the bit of soul in it just go and live in something else?”","—Pero, aunque destrocemos el objeto en que vive, ¿por qué no puede el fragmento de alma alojarse en otro objeto? —cuestionó [MASK].","""Ama bu şeyi yok etsek bile,"" dedi [MASK], ""Neden içindeki ruh gidip başka bir şeyin içinde yaşamıyor?","“Nhưng ngay cả nếu mình phá tan nát cái vật chứa linh hồn đó,” [MASK] nói, “thì tại sao mảnh linh hồn ở [MASK] vật đó lại không bỏ đi mà sống [MASK] một vật khác?”","the [MASK], live else?” just in,” it go said something the of in we bit wreck “But “why soul and lives it even thing can’t in if","objeto? en puede el no de que vive, destrocemos ¿por objeto alma qué en otro aunque —Pero, el —cuestionó [MASK]. fragmento alojarse","[MASK], yaşamıyor? bile,"" içindeki ruh içinde yok şeyin bir dedi bu şeyi etsek ""Ama ""Neden başka gidip","vật lại một linh “Nhưng cả mình ngay nếu sống [MASK] hồn mà hồn không linh “thì phá đó chứa cái đó,” [MASK] ở sao khác?” đi tan nát vật vật nói, tại bỏ mảnh [MASK]"
['ginny'],"“And once the diary was properly destroyed, the bit of soul trapped in it could no longer exist. [MASK] tried to get rid of the diary before you did, flushing it away, but obviously it came back good as new.”","—Eso es. Y una vez destruido el diario, al fragmento de alma que se escondía en él ya no le fue posible seguir existiendo. [MASK] intentó deshacerse del diario antes que tú, ti-rándolo por el retrete; pero el diario, como es lógico, no sufrió ningún daño.","""Ve günlük tamamıyla yok edildiği zaman, içine tıkılmış olan ruh parçası daha fazla var olamadı. [MASK], sen denemeden önce günlükten kurtulmaya çalıştı, sifonu üzerine çekti, ama belli ki yeni gibi geri geldi.","“Và một khi cuốn nhật ký được phá hủy đúng cách, mảnh linh hồn kẹt trong đó không thể tồn tại nữa, [MASK] đã cố vứt bỏ cuốn nhật ký trước khi bồ hủy nó, cô bé đã liệng nó vô bồn cầu xả nước cho nó trôi đi, nhưng rõ ràng là nó vẫn trở lại, xịn như mới.”","exist. new.” [MASK] good properly the did, no diary could tried of away, you obviously back trapped soul bit the was in longer once as before flushing get came to rid the it it it diary “And but of destroyed,","el lógico, no es al sufrió tú, como ya diario, retrete; que [MASK] en el fragmento diario, seguir del le una escondía intentó Y vez antes fue ti-rándolo —Eso alma por existiendo. posible es. daño. diario el se no que destruido de ningún pero deshacerse él","daha geldi. çekti, belli üzerine tamamıyla ""Ve olamadı. [MASK], içine sen ruh geri sifonu gibi kurtulmaya günlükten parçası zaman, tıkılmış günlük ki fazla yeni edildiği var denemeden ama çalıştı, yok olan önce","rõ xịn cách, bỏ kẹt bồn vứt như đã vô một khi cho mới.” nữa, cố mảnh bồ khi tồn cô nó vẫn “Và hồn phá đúng đi, cuốn [MASK] linh thể bé đã nhật ký tại cầu cuốn trong trôi nước trở là nó nó ràng ký được không liệng hủy nhưng nhật lại, nó, xả đó trước hủy"
['hermione'],"“Oh yes,” said [MASK], looking terrified as she leapt to her feet, sending books flying in every direction. “we will . . . we’re sorry . . .”","—Sí, claro —repuso [MASK] con cara de susto, y al ponerse en pie dispersó los libros en todas direcciones—. Vamos enseguida, lo sentimos mucho...","""Ah evet,"" dedi [MASK], ayakları üzerinde doğrulurken dehşete düşmüş görünüyordu, kitapları rasgele fırlatarak, ""yardım edeceğiz... üzgünüz..."" dedi.","“Dạ, đúng,” [MASK] nói, có vẻ khiếp đảm khi đứng bật lên khiến đống sách văng tứ tung. “Tụi con sẽ… tụi con xin lỗi…”","terrified as . books every looking “we “Oh in said feet, sending to .” will . flying leapt her she yes,” sorry [MASK], . direction. we’re . .","pie y en en sentimos dispersó libros con Vamos —repuso todas cara al mucho... susto, direcciones—. [MASK] de ponerse enseguida, —Sí, lo los claro","üzerinde üzgünüz..."" [MASK], ""yardım düşmüş kitapları rasgele görünüyordu, dedi fırlatarak, edeceğiz... dedi. dehşete evet,"" ""Ah ayakları doğrulurken","xin bật con tứ vẻ “Tụi nói, lỗi…” khiến [MASK] đống sẽ… khiếp đảm khi văng sách con tung. có đúng,” lên “Dạ, tụi đứng"
['harry'],"She looked at him, a long, searching look, then smiled a little sadly, straightened up, and walked away. [MASK] watched as she waved her wand near the washing line, and the damp clothes rose into the air to hang themselves up, and suddenly he felt a great wave of remorse for the inconvenience and the pain he was giving her.","La mujer le lanzó una mirada escrutadora; luego sonrió con cierta tristeza y se alejó. [MASK] vio cómo agitaba la varita mágica delante del tendedero y cómo la ropa salía volando del cesto y se tendía sola, y de pronto sintió un profundo remordimiento por los inconvenientes y el sufrimiento que estaba causándole.","Kadın ona uzun, inceleyici bir bakış attıktan sonra biraz üzgünce gülümsedi, doğruldu ve yürüyerek uzaklaştı. [MASK] onun, çamaşır ipinin yanında asasını sallayışını ve nemli çamaşırların kendi kendilerini asışlarını izledi ve aniden kadına verdiği sıkıntı ve acı yüzünden büyük bir vicdan azabı hissetti.","Bà nhìn nó, một cái nhìn lâu, dò xét, rồi mỉm cười buồn bã, xong đứng thẳng lên và bước đi. [MASK] nhìn theo khi bà vẫy cây đũa phép gần chỗ phơi đồ, quần áo ướt bay lên không trung và tự giăng lên dây, và bỗng dưng nó cảm thấy một đợt sóng ăn năn hối tiếc về những phiền phức và đau buồn mà nó đem đến.","up, as waved the wave the smiled and clothes was then away. long, looked wand pain her. she of the suddenly themselves and straightened a searching watched little he hang her to sadly, great She [MASK] remorse and washing giving damp for and a into the he a at walked him, felt look, line, up, inconvenience near rose the air","por [MASK] volando un ropa y sonrió cómo sola, le profundo y se escrutadora; y estaba se el la y cesto tristeza mágica sintió pronto delante tendedero de agitaba remordimiento mirada del alejó. cómo y los vio tendía sufrimiento La la luego lanzó varita inconvenientes mujer una del cierta causándole. salía que con","biraz bakış asışlarını uzaklaştı. yüzünden attıktan büyük uzun, gülümsedi, asasını onun, üzgünce kendi vicdan azabı Kadın ve ve bir kendilerini acı sıkıntı izledi yürüyerek çamaşırların yanında bir ve [MASK] inceleyici ve nemli sallayışını ipinin verdiği ona kadına doğruldu çamaşır hissetti. sonra aniden","cảm lên đợt một quần mà bà phiền đau chỗ [MASK] trung rồi sóng tiếc cây phơi bước theo những đũa nhìn đồ, và đứng buồn thẳng dò mỉm khi xong lâu, ướt đem nó, lên buồn năn nhìn đi. bay không giăng thấy cười lên nó áo cái xét, đến. hối dây, ăn gần về bã, và phép một nhìn nó dưng và tự vẫy phức bỗng Bà và"
['harry'],"[MASK] sat up, still rubbing his scar, now wide awake. He tried to remember exactly what he had seen in the dream, but all that came back was a mountainous horizon and the outline of the little village cradled in a deep valley.","[MASK] ya estaba del todo despierto y se incorporó sin dejar de frotarse la cicatriz. Trató de recordar qué había visto con exactitud en el sueño, pero lo único que logró reconstruir fue un horizonte montañoso y el contorno de un pueblecito enclavado en un profundo valle.","[MASK], hala alnını ovalayarak oturdu, şimdi tamamen uyanıktı. Tam olarak rüyada ne gördüğünü hatırlamaya çalıştı, ama bütün aklına gelenler dağlık bir gün doğumu ve derin bir vadinin beşiğindeki küçük bir köyün hatlarıydı.","[MASK] ngồi dậy, vẫn chà xát cái thẹo, giờ nó đã hoàn toàn tỉnh ngủ. Nó cố gắng nhớ chính xác đường nét của ngôi làng nhỏ được ấp ủ trong một thung lũng sâu.","horizon had rubbing He valley. mountainous [MASK] tried seen in of all the exactly a but his a now was came still up, awake. the what cradled village wide that to little sat the back remember and dream, he in scar, deep outline","de cicatriz. incorporó en Trató pueblecito estaba profundo del se frotarse ya [MASK] un fue y visto enclavado de qué recordar valle. el pero había todo lo un sin reconstruir con exactitud que la logró en montañoso despierto único un contorno de y dejar el horizonte sueño,","gelenler Tam gün hatırlamaya hatlarıydı. aklına küçük olarak ovalayarak oturdu, alnını şimdi [MASK], köyün ve uyanıktı. bir gördüğünü beşiğindeki ne çalıştı, doğumu tamamen rüyada bir derin hala dağlık ama bütün bir vadinin","toàn ngôi sâu. chà ngồi lũng nét một đường Nó xác nhớ chính làng thẹo, giờ ngủ. của cố gắng vẫn đã xát ấp hoàn cái ủ thung nhỏ nó dậy, được tỉnh trong [MASK]"
['harry'],"[MASK] seized the wand lying beside his camp bed, pointed it at the cluttered desk where he had left his glasses, and said, “Accio Glasses!” Although they were only around a foot away, there was something immensely satisfying about seeing them zoom toward him, at least until they poked him in the eye.","[MASK] cogió la varita mágica, que estaba al lado de su cama plegable, apuntó al desordenado escritorio donde ha-bía dejado sus gafas y dijo: «¡Accio gafas!» Aunque las tenía a sólo un palmo, le produjo una gran satisfacción verlas volar hacia él, al menos hasta que una patilla se le metió en un ojo.","[MASK], kamp yatağının yanında duran asasını kavradı, gözlüklerini koymuş olduğu dağınık masaya yöneltti, ve ""Accio Gözlük!"" dedi. Her ne kadar sadece bir adım ilerde olsa da, gözlüğün ona doğru uçtuğunu görmek, engin bir tatmin duygusuna sebep oldu, en azından gözlükler uçarak gelip gözüne çarpana dek.","[MASK] chộp cây đũa phép nằm bên cạnh cái giường xếp, chĩa vào cái bàn bừa bộn mà nó đã đặt cặp kiếng của nó lên, và hô: “Lại đây Mắt kiếng!” Mặc dù cặp kiếng chỉ cách nó một bước chân, vẫn có điều gì đó khiến [MASK] cực kỳ thỏa mãn khi được thấy cặp kiếng bay vèo về phía nó, cho đến khi chúng chọc thẳng vô mắt nó.","had bed, a foot desk Although around about away, him, seeing at poked until the lying were satisfying camp “Accio at him and where seized beside his [MASK] zoom toward them something the glasses, wand eye. they immensely Glasses!” his it said, there they the only he was cluttered left pointed in least","ha-bía tenía las un metió verlas un desordenado apuntó al sus dejado hacia lado una varita a patilla donde estaba le en ojo. gran menos [MASK] sólo al su hasta mágica, produjo dijo: satisfacción escritorio Aunque palmo, y «¡Accio él, gafas!» que al se le cogió la que de gafas volar cama plegable, una","duygusuna yöneltti, yanında duran gözlükler engin gelip çarpana gözüne gözlüklerini oldu, bir sadece doğru Her dedi. [MASK], sebep en da, adım olduğu ve görmek, ona kadar Gözlük!"" ilerde uçarak tatmin ne bir asasını uçtuğunu ""Accio koymuş kavradı, dağınık dek. olsa masaya gözlüğün yatağının azından kamp","được thấy cho nó đã kiếng nó, đũa khi kiếng!” nằm chúng của đây phía khi cặp cặp nó xếp, đặt cực kỳ bước cây mà “Lại cái cạnh bàn về bên bay chân, chộp phép cách một vèo khiến dù nó. kiếng mắt [MASK] giường lên, Mặc vẫn bừa Mắt vô kiếng đó hô: bộn cái có chĩa điều thỏa gì nó thẳng [MASK] chọc đến vào cặp và mãn chỉ"
['harry'],"“It won't happen again,” said [MASK] harshly. The day was cloudless, but he felt as though the sun had gone in. “Okay?”","—No volverá a pasar —aseguró [MASK] con aspereza. Hacía un día radiante, pero él sintió como si el sol se hubiera escondido—. ¿Vale?","""Bir daha olmayacak,"" dedi [MASK] ters ters. Gün bulutsuzdu, ama sanki güneş kaybolmuş gibi hissediyordu. ""Tamam mı?","“Điều đó sẽ không bao giờ có nữa,” [MASK] gay gắt nói. Ngày hôm đó không có mây nhưng nó cảm thấy như mặt trời vừa đi trốn. “Được chưa?”","was but “It felt the he won't in. said gone happen “Okay?” though [MASK] had day as harshly. again,” sun The cloudless,","volverá con —aseguró radiante, hubiera un escondido—. pasar se sol —No pero como aspereza. [MASK] a si ¿Vale? Hacía día sintió el él","hissediyordu. ters gibi olmayacak,"" [MASK] güneş sanki bulutsuzdu, ""Bir Gün dedi ""Tamam mı? kaybolmuş ama ters. daha","gay gắt nữa,” bao nói. giờ sẽ [MASK] không đó trốn. Ngày không nó đi có mặt đó như trời hôm “Được mây vừa cảm chưa?” nhưng thấy “Điều có"
