en,es,tr,vi
"They gaily ascended the downs, rejoicing in their own penetration at every glimpse of blue sky; and when they caught in their faces the animating gales of a high south–westerly wind, they pitied the fears which had prevented their mother and Elinor from sharing such delightful sensations.","Alegremente ascendieron las lomas, regocijándose de su propia clarividencia cada vez que vislumbraban un trozo de cielo azul; y cuando recibieron en sus rostros las vivificantes ráfagas de un penetrante viento del suroeste, lamentaron los temores que habían impedido a su madre y a Elinor la posibilidad de compartir tan deliciosas sensaciones.","Neşeyle yamaçları indiler, mavi göğü her gördüklerinde katettikleri mesafeden mutlu oldular; sert güney-batı rüzgarının canlandırıcı esintilerini yüzlerinde hissettikleri zaman anneleriyle Elinor'u bu keyifli duyguları paylaşmaktan alıkoyan korkulara esef ettiler.","Hai người thích chí đi xuống các triền đồi, vui mừng nhận ra loáng thoáng từng mảng khung trời xanh, và khi cơn gió tây-nam thổi quật vào mặt họ, họ thương hại cho bà mẹ và Elinor, vì đã e sợ nên không có dịp chia sẻ cảm giác vui thú như thế."
"""He is as good a sort of fellow, I believe, as ever lived,"" repeated Sir John. ""I remember last Christmas at a little hop at the park, he danced from eight o'clock till four, without once sitting down.""","—Creo que es una persona tan buena como el que más —repitió sir John —. Recuerdo la última Navidad, en una pequeña reunión en Barton Park, en que él bailó desde las ocho hasta la cuatro sin sentarse ni una vez.","""En alasından biri kanımca,"" diye tekrarladı Sir John. ""Geçen Christmas'da Park'taki ufak bir eğlencede saat sekizden dörde kadar bir kez oturmadan dans etti.","Ngài John lặp lại: - Tôi tin rằng anh là một mẫu thanh niên cũng tốt như bất kỳ ai khác. Tôi nhớ đêm Giáng Sinh vừa qua tại buổi nhảy thân mật ở nhà tôi, anh ta nhảy từ 8 giờ đến 4 giờ sáng, mà không hề ngồi nghỉ."
"""My protege, as you call him, is a sensible man; and sense will always have attractions for me. Yes, Marianne, even in a man between thirty and forty. He has seen a great deal of the world; has been abroad, has read, and has a thinking mind. I have found him capable of giving me much information on various subjects; and he has always answered my inquiries with readiness of good–breeding and good nature.""","M protegido, como usted lo —llama, es un hombre sensato; y la sensatez siempre me será atractiva. Sí, Marianne, incluso en un hombre entre los treinta y los cuarenta. Ha visto mucho del mundo, ha estado en el extranjero, ha leído y tiene una cabeza que piensa. He encontrado que puede dar me mucha información sobre diversos temas, y siempre ha respondido a mis preguntas con la diligencia que dan la buena educación y el buen carácter.","""Sizin deyişinizle gözdem aklı başında bir adamdır; akıl da benim için her zaman birçok cazibeye sahip olacaktır. Evet Marianne, otuz kırk yaşındaki bir adamda bile. Dünyada çok şey görmüş, yurtdışında bulunmuş, okumuş ve düşünen bir beyni var. Türlü konularda bana pek çok bilgi verebildiğini gördüm; sorularıma her zaman kibar ve sevecen bir ilgiyle cevap verdi.","- Người được tôi che chở, theo cách anh nói, là một người đầy nhận thức; và nhận thức luôn hấp dẫn tôi. Đúng thế, Marianne, ngay cả dối với một người đàn ông ở tuổi giữa 30 và 40. Ông ấy đã kinh qua nhiều việc trên thế gian; đã sống ở nước ngoài, đã từng đọc nhiều, có đầu óc biết suy nghĩ. Chị đã tìm thấy nơi ông khả năng cho chị nhiều kiến thức trong những lĩnh vực khác nhau, và ông luôn sẵn lòng trả lời các câu hỏi của chị qua tư cách có gia giáo và bản chất tôt đẹp."
"""Add to which,"" cried Marianne, ""that he has neither genius, taste, nor spirit. That his understanding has no brilliancy, his feelings no ardour, and his voice no expression.""","—A lo que se puede agregar —exclamó Marianne— que no tiene ni genio, ni gusto, ni espíritu. Que su mente es sin brillo, sus sentimientos sin ardor, su voz sin expresión.","""Ayriyeten,"" diye haykırdı Marianne, ""ne zekası, ne zevki, ne de ruhu var. Beyninde tek bir pırıltı, hislerinde tek bir yoğunluk, sesinde tek bir ifade yok.","Marianne thốt lên: - Thêm vào đấy là ôgn không có khả năng thiên bẩm, khiếu thẩm mĩ, hoặc tinh thần. Thêm nữa là sự cảm thông của ông không thấy rạng rỡ, các cảm xúc của ông không nồng nàn, giọng nói của ông không biểu lộ ý tình."
"For such particulars, stated on such authority, Elinor could not withhold her credit; nor was she disposed to it, for the circumstance was in perfect unison with what she had heard and seen herself.","Elinor no pudo menos que dar crédito a todos estos pormenores, dichos con tal autoridad; tamPoco se sentía inclinada a hacerlo, porque la circunstancia relatada concordaba perfectamente con lo que ella misma había escuchado y visto.","Bu kadar güvenle anlatılmış böyle ayrıntılara Elinor inanmazlık edemezdi; zaten inanmama eğilimde de değildi, çünkü durum kendisinin işitip gördükleriyle tastamam uyuşuyordu.","Elinor không thể nghi ngờ các chi tiết như thế, được tường thuật một cách thông suốt như thế: cô không phải nghĩ ngợi, vì tình huống hoàn toàn phù hợp với những gì chính cô đã nghe và thấy."
"While they were at breakfast the letters were brought in. Among the rest there was one for Colonel Brandon;—he took it, looked at the direction, changed colour, and immediately left the room.","Mientras desayunaban, llegó el correo. Entre las cartas había una para el coronel Brandon. El la cogió, miró la dirección, su rostro cambió de color y de inmediato abandonó el cuarto.","Kahvaltı ederlerken mektuplar getirildi. Başkaları yanında Albay Brandon için de mektup vardı; -mektubu aldı, bir göz gezdirdi, yüzünün rengi değişti ve hemen odadan çıktı.","Trong khi mọi người đang dùng điểm tâm, gia nhân mang thư từ vào. Có một lá thư cho Đại tá Brandon; ông cầm lên, đọc qua, đổi sắc mặt, lập tức ra khỏi phòng."
"""On the contrary, nothing can be a stronger proof of it, Elinor; for if there had been any real impropriety in what I did, I should have been sensible of it at the time, for we always know when we are acting wrong, and with such a conviction I could have had no pleasure.""","—Al contrario, nada puede ser una prueba más —contundente de ello, Elinor; pues si lo que hice hubiera sido de alguna manera incorrecto, lo habría estado sintiendo todo el tiempo, porque siempre sabemos cuando actuamos mal, y con tal convicción no podría haber disfrutado.","""Aksine, başka herşeyden daha fazla kanıtlar Elinor; çünkü yaptığım şeyin gerçekten uygunsuz bir yanı olsaydı o zaman farkederdim, çünkü yanlış bir şey yaptığımızı her zaman anlarız ve öyle bir inançla asla keyif alamazdım.","- Chị Elinor, ngược lại, không có lý do nào mạnh hơn thế; vì nếu có gì thật sự không phải phép trong việc em làm, em đã cảm thấy như thế lúc ấy, vì chúng em luôn luôn biết khi nào mình làm quấy, và khi biết như thế em không thể cảm thấy thích thú."
"""It was not inclination that he wanted, Elinor; I could plainly see THAT. He had not the power of accepting it. I have thought it all over I assure you, and I can perfectly account for every thing that at first seemed strange to me as well as to you.""","—¡No eran deseos lo que le faltaba, Elinor! Lo vi con toda claridad. No estaba en sus manos aceptarlo. Lo he pensado una y otra vez, te lo aseguro, y puedo explicar a la perfección todo lo que a primera vista me pareció tan extraño como a ti.","""Eksik olan şey istek değildi Elinor; bunu açıkça görebiliyorum. Kabul edecek gücü yoktu. Etraflıca düşündüm ve başta bana da, sana da garip görünen herşeyin açıklamasını buldum.","- Elinor à, anh ấy không muốn từ chối; mẹ thấy rõ điều này. Anh ấy không có thực quyền để nhận lời. Hãy tin đi, mẹ đã nghĩ kỹ mọi điều, mẹ có thể lý giải rõ ràng mọi chuyện mà lúc đầu cả mẹ và con đều thấy lạ lùng."
"""I can hardly tell myself. But suspicion of something unpleasant is the inevitable consequence of such an alteration as we just witnessed in him. There is great truth, however, in what you have now urged of the allowances which ought to be made for him, and it is my wish to be candid in my judgment of every body. Willoughby may undoubtedly have very sufficient reasons for his conduct, and I will hope that he has. But it would have been more like Willoughby to acknowledge them at once. Secrecy may be advisable; but still I cannot help wondering at its being practiced by him.""","—Tampoco lo tengo claro. Pero es inevitable sospechar algo desagradable tras ver un trastorno tan grande como el que observamos en él. Hay una gran verdad, sin embargo, en su insistencia respecto de las concesiones que debemos hacer en su favor, y es mi deseo ser imparcial en todos mis juicios. Es indudable que Willoughby puede tener motivos suficientes para haberse comportado así, y espero que los tenga. Pero habría sido más propio de su carácter haberlos dado a conocer. La reserva puede ser aconsejable, pero aun así no puedo evitar extrañarme de encontrarla en él.","""Bunu ben de pek bilmiyorum. -Ama hoş olmayan bir şeyden şüphelenmek onda az önce tanık olduğumuz böyle bir değişimin kaçınılmaz sonucu. Öte yandan, iyi yanlarının hakkını vermek gerektiğini söylemekte çok haklısın; herkes hakkındaki yargılarımda samimi olmak isterim. Willoughby'nin davranışı için gayet geçerli sebepleri olabilir kuşkusuz ve umarım vardır. Ama bunları hemen söylemek Willoughby'ye daha çok yakışırdı. Gizlilik gerekli olabilir; ama gizliliği onun uygulamasını hala kabul edemiyorum.","- Tự con khó thể nói ra. Nhưng nghi ngờ về điều khó chịu gì đấy là hậu quả tất yếu của sự thay đổi như thế mà ta thấy nơi anh. Tuy nhiên, mẹ rất có lý khi thuyết phục nên thông cảm cho anh, và con rất muốn thẳng thẳn khi xét đoán mọi người. Phải công nhận Willoughby có thể có lý do rất chính đáng khi tỏ thái độ ấy; con hy vọng như thế. Nhưng người như Willoughby đáng lẽ phải bày tỏ ngay các lý do này. Có thể cần bí mật, nhưng con không thể không băn khoăn tại sao anh lại thế."
"""I confess,"" replied Elinor, ""that every circumstance except ONE is in favour of their engagement; but that ONE is the total silence of both on the subject, and with me it almost outweighs every other.""","—Confieso —replicó Elinor— que todas las circunstancias excepto una hablan en favor de su compromiso, pero esa una es el total silencio de ambos sobre ello, y para mí casi anula todas las demás.","""İtiraf ederim ki,"" diye cevapladı Elinor, ""bir şey hariç her halleri sözlendiklerini gösteriyor; ama o bir şey her ikisinin de meseleyle ilgili mutlak sessizliği ki, bu benim için başka herşeyden daha ağırlıklı.","Elinor đáp: - Con nhìn nhận rằng ngoại trừ một điều, thì mọi tình huống đều cho thấy họ đã hẹn ước, và cái điều này là cả hai đều hoàn toàn im lặng về sự việc. Đối với con, điều này lấn át các tình huống khác."
"""How strange this is! You must think wretchedly indeed of Willoughby, if, after all that has openly passed between them, you can doubt the nature of the terms on which they are together. Has he been acting a part in his behaviour to your sister all this time? Do you suppose him really indifferent to her?""","—¡Qué extraño! Ciertamente debes pensar horrores de Willoughby si, después de cuanto ha pasado entre ellos a la vista de todos, puedes dudar de la naturaleza de los lazos que los unen. ¿Ha estado representando un papel frente a tu hermana todo este tiempo? ¿Lo crees de verdad indiferente a ella?","""Bu çok tuhaf! Yani aralarında açıkça olup biten herşeyden sonra aralarındaki yakınlığın doğasından şüphe edebiliyorsan Willoughby'nin alçağın teki olduğunu düşünüyor olmalısın. Bunca zamandır kızkardeşini kandırıyor muydu? Ona karşı aslında kayıtsız olduğunu mu düşünüyorsun?","- Thật là lạ lùng! Con thật sự nghĩ tồi tệ về Willoughby, nếu con vẫn còn hồ nghi bản chất của mối quan hệ giữa hai người, sau khi mọi chuyện đã lộ rõ. Có phải trong suốt thời gian qua, một phần thái độ anh ấy là do đóng kịch với em của con không? Con nghĩ anh ấy hoàn toàn hờ hững với con nhỏ hay sao?"
"The evening passed off in the equal indulgence of feeling. She played over every favourite song that she had been used to play to Willoughby, every air in which their voices had been oftenest joined, and sat at the instrument gazing on every line of music that he had written out for her, till her heart was so heavy that no farther sadness could be gained; and this nourishment of grief was every day applied. She spent whole hours at the pianoforte alternately singing and crying; her voice often totally suspended by her tears. In books too, as well as in music, she courted the misery which a contrast between the past and present was certain of giving. She read nothing but what they had been used to read together.","La tarde transcurrió en igual abandono a los sentimientos. Volvió a tocar cada una de las canciones que le gustaban y que solía tocar para Willoughby, cada aire en el que con más frecuencia se habían unido sus voces, y permaneció sentada ante el instrumento contemplando cada línea de música que él había copiado para ella, hasta que fue tan grande el pesar de su corazón que ya no podía alcanzarse tristeza mayor; y día a día se esforzó en nutrir así su dolor. Pasaba horas completas al piano alternando cantos y llantos, a menudo con la voz totalmente ahogada por las lágrimas. También en los libros, al igual que en la música, cortejaba la desdicha que con toda certeza podía obtener de la confrontación entre el pasado y el presente. No leía nada sino lo que solían leer juntos.","Akşam da aynı duygu yoğunluğu içinde geçti. Willoughby'ye çaldığı her şarkıyı, seslerinin en sık birleştiği her türküyü tekrar çaldı ve Willoughby'nin onun için yazdığı müzik satırlarına gözleri dikili halde piyanonun başında oturdu, ta ki kalbi daha fazla kederi kaldıramayacak denli ağırlaşıncaya kadar; bu ızdırap gıdası her gün alındı. Bir şarkı söyleyerek, bir ağlayarak piyanoda uzun saatler geçirdi; sesi sık sık gözyaşlarınca tümden susturuldu. Müzikte olduğu gibi kitaplarda da geçmişle bugün arasındaki zıtlığın kolayca yarattığı ızdırabı aradı. Birlikte okudukları dışında hiçbir şey okumadı.","Buổi tối trôi qua cũng buông thả vào cảm xúc. Cô đàn mọi bản nhạc mà cô từng đàn cho Willoughby nghe, mọi cung điệu mà hai người thường hát với nhau, đăm đăm nhìn mỗi dòng nhạc mà anh đã viết ra cho cô, cho đến lúc con tim cô trở nên nặng nề đến nỗi không thể nào buồn hơn được nữa. Mỗi ngày cô đều ấp ủ nỗi thảm sầu như thế. Cô ngồi trước chiếc dương cầm hàng giờ, hết hát lại khóc, giọng cô thường xuyên nghẹn ngào vì những giọt nước mắt. Cũng như khi chơi nhạc, lúc đọc sách cô khổ sở với khác biệt giữa quá khứ và hiện tại. Cô chỉ tìm đọc những gì hai người thường đọc với nhau."
"Amongst the objects in the scene, they soon discovered an animated one; it was a man on horseback riding towards them. In a few minutes they could distinguish him to be a gentleman; and in a moment afterwards Marianne rapturously exclaimed,","Entre todas las cosas que poblaban el pa isa je, muy pronto descubrieron un objeto animado; era un hombre a caballo, que venía en dirección hacia ellas. En pocos minutos pudieron apreciar que era un caballero; y un instante después, arrobada, Marianne exclamó:","Sahnedeki nesneler arasında çok geçmeden canlı bir şey keşfettiler; onlara doğru gelen bir atlıydı. Birkaç dakika içinde bir beyefendi olduğunu ayırt edebildiler ve bir an sonra Marianne kendinden geçercesine haykırdı,","Trong số những mục tiêu mà ba người quan sát, chẳng bao lâu họ nhận ra một mục tiêu di động: một người đàn ông trên lưng ngựa đang phi về phía họ. Trong ít phút họ phân biệt được đấy là một người quý phái, và trong khoảnh khắc kế tiếp Marianne reo lên:"
