Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['fuck'],"It sends me right over the edge. Into something that’s nothing like my usual, run-of-the-mill orgasm. Those tend to start like small fractures and then slowly, gradually deepen into something lovely and relaxing. Those are fun, good fun, but this . . . This pleasure is sudden and violent. It splinters into me like a wonderful, terrible explosion, new and frightening and fantastic, and it goes on and on, as though every heart-stopping, delicious second of it is being squeezed out of me. I screw my eyes shut, clutch Ian’s shoulders, and whimper into his throat, listening to the hushed “[MASK]. [MASK],” he mouths into my collarbone. I was so sure I knew what my body was capable of, but this feels somewhere well beyond it.","""title"": ""Fifty Shades of Grey"", ""author"": ""E. L. James""","he and mouths clutch the explosion, body edge. well like fractures fun, of hushed tend are fantastic, me orgasm. I nothing fun, It me of start being and but pleasure his Into run-of-the-mill of, relaxing. . it. though that’s into splinters but and delicious to knew wonderful, me. into usual, on eyes and my what like sure [MASK],” I shut, my good I is feels my Ian’s whimper screw into deepen every capable frightening on, . as somewhere and and terrible then my goes this “[MASK]. and slowly, was a gradually it the like is it was listening . shoulders, Those this and into something out sudden second small so beyond It collarbone. throat, to violent. This lovely right something Those over sends squeezed heart-stopping, new","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"The last words I hear from him are, “It was really good to meet you, [MASK].” I think I should say it back, but there’s an unfamiliar weight in my chest, and I can’t quite bring myself to do it. So I make do with a small smile and a halfhearted wave. I stuff my hands in my pockets while my body is still thrumming with what I left behind, and wander slowly back to the Caltech campus, thinking about red hair and missed opportunities.","""title"": ""The Art of Mentoring: Advice for the Young from Some of the Mighty"", ""author"": ""Brendan B. Kiely""","do to The it was make really and hear say left in I but words the good with my wave. meet from quite thrumming in I and “It him while red a pockets it. hands I you, what I [MASK].” opportunities. should Caltech to stuff an do my last is bring weight I missed back smile my I hair unfamiliar with still slowly and small a to there’s think about and chest, campus, halfhearted So I wander myself behind, body can’t thinking my are, back,","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"The following day, when [MASK] asks me about my meeting with her cousin-or-something, I say only “Uneventful,” and I don’t even know why. I don’t like lying, and I like lying to someone who’s rapidly becoming a friend even less, but I can’t make myself say any more than that. Two weeks later, I turn in a reflection paper as part of my Water Resources class requirements.","""title"": ""The Art of Fielding"", ""author"": ""Chad Harbach""","a about lying know myself like even asks I say The who’s following less, cousin-or-something, later, with [MASK] and a like as Two in weeks of I only any don’t that. and becoming requirements. make I Resources meeting more than Water part say class why. rapidly me can’t lying, I my but my day, even reflection don’t friend when “Uneventful,” turn paper someone to her I I","""title"": ""Unclear"", ""author"": ""Unknown"""
['merel'],"“Avalanche danger is set at the highest level, and it’s not safe for anyone to come out to get me,” I add, speaking right into the satphone’s mic. Repeating what Dr. [MASK], my team leader, told me a few hours ago, during my last communication with AMASE, NASA’s home base here in Norway. It was right before he reminded me that I’d been the one to choose this. That I’d known what the risks of my mission were, and I still decided to undertake it. That the path to space exploration is full of pain and self-sacrifice. That it was my fault for falling in an icy hole in the ground and spraining my fucking ankle.","""title"": ""The Martian"", ""author"": ""Andy Weir""","to get spraining That my the few for not been the path to and home Dr. the falling I’d I it. ago, at and pain safe speaking my come fault [MASK], my is an in me the base that set was before what anyone still NASA’s add, it’s decided choose Norway. level, satphone’s to in for highest the ankle. was he me fucking is my were, danger undertake communication I mission known in the it to leader, hole It ground right That “Avalanche I’d AMASE, last right and told team Repeating me,” hours reminded out risks a with this. mic. That into and during space my what exploration to of self-sacrifice. icy full of one here","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"“Yeah. Kind of. It devolved into a . . .” Into what? Us almost fucking on NASA property? You wish, [MASK].","""title"": ""Unknown"", ""author"": ""Unknown""","a almost property? .” fucking “Yeah. Us [MASK]. It into NASA . what? Kind on wish, of. You Into devolved .","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"“[MASK]. Your cousin’s name is [MASK]. Keep up, will you?” I fail to sound stern. “Have you not talked to her since she put us in touch?”","""title"": ""Unknown"", ""author"": ""Unknown""","is to sound to she touch?” Keep I name since us talked in [MASK]. put “Have you you?” not cousin’s up, stern. “[MASK]. Your her will fail","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"I laugh. “Well, [MASK] is great. She also graduated with her Ph.D. and recently moved to D.C. to work for the EPA. No interest in space stuff. Just, you know . . . saving the Earth.”","""title"": ""Unknown"", ""author"": ""Unknown""","[MASK] graduated saving Earth.” . EPA. Just, interest work the in know “Well, is to you with to She her moved laugh. Ph.D. stuff. recently space and . great. I the D.C. . for also No","""title"": ""Unknown"", ""author"": ""Unknown"""
['merel'],"It is. AMASE is the shit, and the selection process to take part in an expedition was brutal, to the point that I’m not quite sure how I made it in. Probably sheer luck: Dr. [MASK], one of the expedition leaders, was looking for someone with experience in gas chromatograph-mass spectrometry. Which I happen to have, due to some side projects my Ph.D. advisor foisted upon me. At the time, I aggressively bitched and moaned my way through them. In hindsight, I feel a bit guilty.","""title"": ""The Martian"", ""author"": ""Andy Weir""","happen one is Ph.D. of with and side to point expedition sheer chromatograph-mass I it foisted I advisor a someone bit them. expedition to aggressively due luck: an I moaned the was to how that in. was in have, shit, the I’m the upon made AMASE for Dr. projects At my take feel my [MASK], time, me. some spectrometry. bitched In It looking Which in through the gas is. quite to and part brutal, sure leaders, Probably experience I not hindsight, way selection process the guilty.","""title"": ""Unknown"", ""author"": ""Unknown"""
['karl'],"“Did something happen?” [MASK], my office mate, asks from across the desk. “You look like you’re about to cry. Or maybe throw something out of the window, I can’t tell.”","""title"": ""The Art of Fielding"", ""author"": ""Chad Harbach""","tell.” the throw look out can’t from you’re maybe “You the cry. about like my mate, Or asks I something office desk. something of to “Did [MASK], across window, happen?”","""title"": ""Unknown"", ""author"": ""Unknown"""
['haven'],"I don’t bother to glance at him. “[MASK]’t made up my mind, but I’ll keep you updated.” I stare at the monitor of my computer, skimming the feedback letters from the internal reviewers.","""title"": ""Unknown"", ""author"": ""Unknown""","glance I’ll at stare my keep I I from the my mind, the to feedback but reviewers. internal updated.” skimming the made bother computer, “[MASK]’t of monitor you don’t up him. at letters","""title"": ""Unknown"", ""author"": ""Unknown"""
['arroyo'],"As we all know, in early 2010, the rover Spirit became stuck in a sand trap, was unable to reorient its solar panels toward the sun, and froze to death as a consequence of its lack of power. Something very similar happened eight years later to Opportunity, which went into hibernation when a maelstrom blocked sunlight and prevented it from recharging its batteries. Obviously, the risk of losing control of rovers because of extreme weather events is high. To address this, Dr. [MASK] has designed a promising internal system that is less likely to fail in the case of unpredictable meteorological situations. She proposes to build a model and test its efficacy on the next expedition at the Arctic Mars Analog in Svalbard (AMASE)—","""title"": ""Not available in the given text"", ""author"": ""Not available in the given text""","sunlight on as when less Arctic panels to in high. we into happened to was because batteries. this, the expedition rover losing reorient its promising power. maelstrom build Spirit fail and that designed meteorological system all (AMASE)— a trap, To model the similar stuck solar Opportunity, in She sun, know, control of address the later of in to case from which [MASK] toward next weather to hibernation the is prevented internal the froze sand Svalbard As events went Analog Obviously, rovers unable Something blocked extreme of efficacy of the eight its very a in of at and Mars consequence unpredictable proposes recharging it has its a a of 2010, early test years risk situations. a and lack its to became is death likely Dr.","""title"": ""Unknown"", ""author"": ""Unknown"""
['arroyo'],"Dr. [MASK]’s project is a brilliant addition to NASA’s current roster, and it should be approved for further study. Dr. [MASK]’s vitae is impressive, and she has accumulated enough experience to carry out the proposed work—","""title"": ""Unknown"", ""author"": ""Unknown""","[MASK]’s be Dr. the to a should is and carry addition for impressive, vitae is to it Dr. and has roster, NASA’s approved she out enough project current further experience accumulated brilliant proposed [MASK]’s work— study.","""title"": ""Unknown"", ""author"": ""Unknown"""
['merel'],"I met Dr. [MASK] because he was my direct superior during AMASE, and he is . . . an odd duck, honestly. Very stiff. Very hard-core. NASA is full of ambitious people, but he seems to be almost obsessed with results, publications, the kind of sexy science that makes big splashy news. Initially I wasn’t a fan, but I must admit that as a supervisor he’s been nothing but supportive. He’s the one who selected me for the expedition to begin with, and he encouraged me to apply for funding once I went to him with my project idea.","""title"": ""The Martian"", ""author"": ""Andy Weir""","him wasn’t stiff. Initially and an went . must splashy he to a science direct because he me Dr. encouraged the me odd but honestly. sexy superior fan, met I one of makes my for that . be with my but but is Very to during for duck, full I hard-core. to admit He’s funding was once people, is I of a been who he the ambitious idea. he’s and NASA AMASE, begin kind project big expedition seems almost selected . nothing [MASK] results, that I supportive. supervisor the with obsessed with, news. he apply to Very publications, as","""title"": ""Unknown"", ""author"": ""Unknown"""
['floyd'],"“Yes. Of course it would have been convenient if you’d had those funds at your disposal, but I’ve already discussed it with two of my colleagues who agree that your work is meritorious. They are in control of other funds that [MASK] won’t be able to veto, so—”","""title"": ""Unknown"", ""author"": ""Unknown""","[MASK] funds have I’ve won’t been your already my agree is other with to two colleagues funds those would your at had so—” Of of be you’d They veto, work who but course if “Yes. that of discussed convenient it that meritorious. it in able are control disposal,","""title"": ""Unclear"", ""author"": ""Unknown"""
['merel'],"“I’ll be there, out in the field with you, of course,” Dr. [MASK] says. I’m a little surprised. In the months we were in Norway, I saw him do very little sample collecting and snow plodding. I’ve always thought of him as more of a coordinator. But if he offered, he must mean it, and . . . I smile. “Perfect, then. Thank you.”","""title"": ""The Snow Leopard"", ""author"": ""Peter Matthiessen""","there, be collecting in must thought if out In the more . I’ve . Dr. with Thank it, then. always as But sample do you, . him I him “Perfect, he surprised. offered, mean and says. the little he you.” of were I smile. “I’ll snow course,” saw little in of a and I’m months very plodding. we coordinator. Norway, of field [MASK] a","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"The problems start when he looks up and notices me. He stops exactly two steps below, which should put him at a disadvantage but, depressingly, unfairly, tragically, doesn’t. We are at eye level when his eyes widen and his lips curve in a pleased smile. He says, “[MASK],” a touch of something in his voice that I recognize but instantly reject, and I have no choice but to acknowledge him.","""title"": ""The Hate U Give"", ""author"": ""Angie Thomas""","smile. instantly choice in “[MASK],” his reject, a and steps no I should and a exactly says, have recognize We depressingly, lips to disadvantage up put his that something him. voice widen he looks eyes of The unfairly, in curve stops at start below, but problems I him eye He a tragically, when acknowledge touch doesn’t. his two which when but level but, and at are notices me. pleased He","""title"": ""Unclear"", ""author"": ""Unknown"""
['merel'],"He doesn’t deny it, doesn’t defend himself, doesn’t scream that I’m insane. His eyes narrow to blue slits and he asks, “It was [MASK], wasn’t it?”","""title"": ""American Psycho"", ""author"": ""Bret Easton Ellis""","blue was asks, to “It and He deny defend eyes it?” he himself, I’m narrow His doesn’t slits that wasn’t doesn’t it, insane. scream [MASK], doesn’t","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"“Because he was there when I explained my objections, at length and in detail. Did he omit that?” I press my lips together. Which he seems to interpret as an opening. “[MASK].” He leans closer. We’re nose to nose, I smell his skin and his aftershave, and I hate every second of this. “Your project is too dangerous. It specifically asks that you travel to a remote location to drop off equipment at a time of the year in which the weather is volatile and often totally unpredictable. I’ve been in Longyearbyen in February, and avalanches develop out of the blue. It’s only gotten worse in the last few—”","""title"": ""The Vanishing Half"", ""author"": ""Brit Bennett""","in he objections, gotten which and the explained I’ve nose Did interpret It a in year as develop in second off together. my press Longyearbyen skin often We’re closer. length a It’s blue. nose, few—” lips to an unpredictable. in February, was travel “Because his that?” Which volatile time seems he the specifically project He been I when of avalanches “Your location and and is weather opening. this. you only of his at at that every to and “[MASK].” smell I totally the equipment is in he worse omit dangerous. there I too remote last I detail. the out aftershave, to drop to asks leans of hate my and","""title"": ""Unknown"", ""author"": ""Unknown"""
['merel'],"I cling to him. He lets me sob for long moments we cannot afford, pressing me against him with no air between us, until I can feel his heartbeat through the thick layers of our clothes. Then he mumbles “Fucking [MASK]” with barely restrained fury, and I think that it would be so easy to blame things on [MASK], but the truth is, it’s all my fault.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""","the through that [MASK], with we long him and all fault. cling “Fucking He between to lets it’s us, thick things no heartbeat clothes. afford, layers would for be feel think [MASK]” is, moments the him. pressing sob me cannot easy our blame so air me against he but his Then fury, on my mumbles barely I with of I can restrained truth it until I to","""title"": ""Unknown"", ""author"": ""Unknown"""
['floyd'],"“Who is M— Oh. Yeah. For the most part. Mom isn’t very fond of the [MASK] side of the family. Though I’m sure he’s the black sheep by their standards, too. I wasn’t really allowed to spend time with him, so . . .” He shakes his head, as if to change the topic. “Here. It’s not much, but you should eat.”","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger""","black too. most . standards, to sure Mom part. change For . “Here. I isn’t if Yeah. Though much, side the M— should “Who I’m with of him, their the you fond he’s really wasn’t not [MASK] family. but eat.” It’s time sheep the .” to very allowed is his shakes Oh. by as spend the He topic. head, so of the","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"“No, no, shh.” His arms tighten around me, and I realize that I am, in fact, crying. “You are not an asshole, [MASK]. And you are the opposite of incompetent.”","""title"": ""Unknown"", ""author"": ""Unknown""","realize not are and arms around fact, I “You in you I tighten His no, shh.” crying. And an incompetent.” that asshole, of am, [MASK]. the opposite are me, “No,","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"“Because of the intrinsic danger of a project like yours. For the past few months, I tried to get this project stopped in about ten different ways. Personal meetings, emails, appeals—I tried it all. And even the people who agreed with me that it was too dangerous would not step in to prevent it. So no, you’re not the asshole, [MASK]. They are.”","""title"": ""The Harder They Fall"", ""author"": ""John Scalzi""","of “Because to emails, project me yours. agreed to it. For Personal I a appeals—I step few not tried are.” all. past stopped So dangerous ways. the who meetings, not intrinsic tried about of danger was like asshole, project it in this it you’re people They with And even different ten the prevent no, the the would too [MASK]. get in that months,","""title"": ""Unknown"", ""author"": ""Unknown"""
['merel'],"“Oh.” I swallow. “[MASK] was supposed to come for backup. But he wasn’t feeling well. I offered to wait for him, but he said we’d be losing valuable days of data and that I should just go alone, and I . . .” I squeeze my fingers around the material of Ian’s shirt. “I went. And then, when I called in for help, he told me that the weather was turning, and . . .”","""title"": ""Unknown"", ""author"": ""Unknown""","told alone, to losing weather . help, I well. we’d . data should I And that shirt. of then, to called wait material I said Ian’s for .” valuable days and wasn’t turning, come in the squeeze supposed offered the went. swallow. But for go backup. fingers me “[MASK] for I just . was but of I he “Oh.” be when around him, he .” feeling my was and that and . “I he I","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"He shrugs. “I figured you might want to talk through your near-death experience with someone, so I decided to tell [MASK] what happened. I did not expect her to come in person.”","""title"": ""Unknown"", ""author"": ""Unknown""","through I person.” [MASK] your I tell figured near-death talk He expect want did not with to “I you in to might to decided so shrugs. what happened. come experience someone, her","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"“I was going to. Once I felt less whiny. And—whatever.” I roll my eyes. Wow, I’m mature. “How did you go from not remembering [MASK]’s name to having her number?”","""title"": ""Unidentified Book"", ""author"": ""Unknown Author""","And—whatever.” my to less whiny. felt number?” “How I eyes. having I Wow, roll remembering going was Once did I’m from name mature. [MASK]’s go to. her “I not you","""title"": ""Unknown"", ""author"": ""Unknown"""
['floyd'],"“Well, still.” She shrugs. “I promise I don’t have anything against you personally. I’m just not generally a fan of the [MASK] family.”","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""","promise don’t a “I I of not “Well, personally. fan [MASK] anything you have still.” the generally I’m against family.” She shrugs. just","""title"": ""Unknown"", ""author"": ""Unknown"""
['mara'],"“Yes,” [MASK] agrees. “Are you going to break my blood relative’s heart? Don’t get me wrong, I’d still side with you. Hos before bros.”","""title"": ""Unknown"", ""author"": ""Unknown""","“Are before me break Hos Don’t you. heart? wrong, agrees. [MASK] you side still “Yes,” I’d relative’s blood my going get bros.” with to","""title"": ""Unclear"", ""author"": ""Unknown"""
['mara'],"“I guess we’ll see. I’m not sure he would want to date,” I say, staring at Sadie’s Froot Loops. The ensuing silence drags on so long, I’m forced to look up. She and [MASK] are staring at me like I just announced that I’m quitting my job to take up macramé full-time. “What?”","""title"": ""Unknown"", ""author"": ""Unknown""","want Loops. are me at I’m so job I’m sure at take guess “What?” announced we’ll to and not macramé full-time. say, [MASK] She he The staring long, on like to would I see. forced Froot date,” quitting staring just ensuing Sadie’s up. to that I up my look “I silence I’m drags","""title"": ""Unknown"", ""author"": ""Unknown"""
['great'],"“Considering that he saved your life, contacted [MASK]-Aunt Delphina, and put up two dudes he’s never seen before so their girlfriends could hang out with you . . . I think maybe he does.”","""title"": ""Unknown"", ""author"": ""Unknown""","and he he “Considering so saved out life, [MASK]-Aunt contacted put never with that before Delphina, your does.” . their you hang think I . seen maybe girlfriends dudes two could he’s . up","""title"": ""Uncle Tom's Cabin"", ""author"": ""Harriet Beecher Stowe"""
['hannah'],"“Actually, they fixed the elevator. And this new cast is easy to walk on. So, no need. But you . . .” You can do this, [MASK]. Come on. You just survived polar bears thanks to this guy. You can say the words. “You could come up anyway.”","""title"": ""Unknown"", ""author"": ""Unknown""","the polar do thanks elevator. .” . cast this they on. no So, just up fixed is you say guy. on. But You words. this this, to anyway.” “You come walk You And to Come survived can need. bears could new . “Actually, You the [MASK]. can easy","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"“Right.” He sighs and bites into his lower lip. “[MASK], if that changes. If you ever find yourself able to believe that someone could care about you that much. And if you wanted to actually . . . have dinner with that someone.” He lets out a laugh. “Well . . . Please, consider me. You know where to find me.”","""title"": ""The Art of Fielding"", ""author"": ""Chad Harbach""","wanted that laugh. And to . dinner yourself someone find consider much. You out Please, “Well believe “[MASK], if someone.” to “Right.” actually about . could that where If He bites that a He . sighs you you and ever find able lower into his lip. . you have that . care me.” changes. me. to with . lets if know","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],“[MASK].” He gives me a skeptical look. “You have two friends who dropped everything to be with you. And I assume sex wasn’t involved.”,"""title"": ""The Art of Racing in the Rain"", ""author"": ""Garth Stein""",have everything sex to look. you. dropped gives involved.” be skeptical “You with me “[MASK].” He who a friends two I And wasn’t assume,"""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"“[MASK].” He unbuckles his seat belt and angles himself toward me, so that I have no choice but to look him in the eyes. He looks earnest and nearly offended. “I have thought about what happened in my office every day for the past five years. You offered to go down on me, and I just . . . embarrassed myself, and it should be the most mortifying memory I have, but for some reason it’s turned into the axis every fantasy of mine spins around, and”—he reaches up to pinch the bridge of his nose—“I want to fuck you. Obviously. Always have. I just don’t want to fuck you once. I want to do it a lot. For a long time. I want you to come to me for sex, but also want you to come to me when you need help with your taxes and moving your furniture. I want fucking to be only one of the million things I do for you, and I want to be—” He stops. Seems to collect himself and straightens, as if to give me space. To give us space. “I’m sorry. I don’t want to crowd you. You can . . .”","""title"": ""Fifty Shades of Grey"", ""author"": ""E. L. James""","have He want help do straightens, Obviously. to it be I You . I reaches I long some stops. looks but choice with for .” don’t one you for your I the around, pinch the furniture. come happened I me, to I you and every for what it’s his just have, sex, the and so also day to offered moving I your need of to spins belt to past space. fuck and collect want offended. down most to me about can if crowd reason office want mine taxes time. want want To years. eyes. for his unbuckles the be—” angles no into mortifying things that a Always don’t to himself himself He Seems “I axis of me, You have you I on “[MASK].” nose—“I to come be should and fantasy the you. a to up and when in us me in five . to want look have. and He to million earnest seat do once. him give lot. sorry. to but my of to and”—he space. you, every to want to myself, just as fuck I . want memory . nearly bridge the but toward it you. thought only I me . “I’m and fucking give you embarrassed turned go For","""title"": ""Unknown"", ""author"": ""Unknown"""
['hannah'],"He laughs, low and beautiful and a little rueful. And after looking at me like no one else ever has before, what he says is, “Yes, [MASK]. It is a yes on dinner.”","""title"": ""The Art of Fielding"", ""author"": ""Chad Harbach""","beautiful a one looking at says and rueful. ever like low on [MASK]. has “Yes, is, no It me after He what yes and a else he is before, little dinner.” And laughs,","""title"": ""Unknown"", ""author"": ""Unknown"""
