en,Single_ent,en_shuffled
"I should say that my face does a good impression of whiteness, late-entering or not. I didn’t know how to tell Gore that I’d been tricking him, feature by feature. I wasn’t sure I was ready to. He’d made, as people do, an assumption about me that left me room to maneuver. Later, when he found out the truth—as people do—he’d be unbalanced by his own mistake. Another person’s unguardedness in that moment can be very useful, interpersonally, as long as you don’t soften. There is language I could use about this if I were the melodramatic type: behind enemy lines, for example, or double agent. My sister might use these terms, or she might call me a fraud.",['gore'],"interpersonally, use behind useful, fraud. made, be say My There that when don’t or if unbalanced Another unguardedness this these or mistake. for by face very ready tricking enemy as I agent. Later, do—he’d He’d didn’t I tell sure people I or whiteness, the an as him, out he me that might I feature. I feature can to were language that know assumption moment his me double a lines, as not. that in wasn’t I late-entering maneuver. about Gore long call good about a own use to melodramatic she do, I’d does could person’s room the found my by was truth—as me soften. impression should example, left been how terms, people is you sister might to. type: of be"
"Gore lifts his hand. He’s left a smear on the table the color of tamarind flesh. There is a sour, steady pain in his palm that he briefly misunderstands as a taste.",['gore'],"his pain palm a Gore flesh. sour, color a in misunderstands smear he that on briefly lifts taste. of left He’s tamarind hand. the a is the as There table steady his"
"Gore considers the weight of the sack he’d carried, which had felt so meaningful. “Three partridges,” he says, “and a boatswain gull too far off to hit. Nothing else. Not even tracks.”",['gore'],"says, too carried, he’d the sack felt “Three gull Gore weight hit. even partridges,” to meaningful. Not considers had a Nothing tracks.” of else. “and boatswain the off which he so far"
"At this, Stanley leans in. He is a fussy, short-tempered, handsome man who does not enjoy his job. “I must impress upon the meeting that the debility that wracks those in the sick bay will doubtless find ample footholds should we reduce the men’s rations.”",['stanley'],"footholds debility Stanley bay will must doubtless does his short-tempered, meeting He fussy, we handsome “I sick should the the not ample this, man in. upon who those men’s find wracks that is the the job. in a that impress rations.” reduce leans enjoy At"
"Gore is looking at his left palm. The sour pain is still there, seeping through the bandages. So is the blood, but it seems melodramatic to observe this.",['gore'],"The this. is through seeping is melodramatic it seems bandages. sour to observe but still the looking his the pain is left at So blood, palm. there, Gore"
"The ice outside shifts—the Arctic stammering its jaws as a cat does when it sees a bird. The ship’s cat died in convulsions during their second winter. Gore had liked that cat. He’d become quite attached to it, especially as his dog had died in the first spring.",['gore'],"first as the liked ship’s died outside He’d especially ice attached had The a Arctic it, had it Gore in to The does bird. shifts—the his sees its a become cat. second convulsions dog died as winter. stammering jaws quite cat cat during their spring. in that when"
"Once we arrived at the Ministry, an escort of subtly armed suits took Gore to meet the other expats. I was expecting he’d go through a group therapy session, but Gore was in a sunny mood, so he must have been envisaging something closer to a salon.",['gore'],"closer Gore in envisaging group a so was mood, been other at Gore arrived to must something Once expecting of we session, sunny an the a he but Ministry, therapy the he’d subtly took expats. have escort through I a was suits to armed go meet salon."
"“Complex,” said Adela. “Thanks for your input. Given their histories, mental trauma is to be anticipated. I remind you that we are interested in the actual feasibility of taking a human body through time. Our concern is if the process of time-travel has major implications for the expat or the expat’s surroundings.”",['adela'],"actual or be is of their to Adela. major for of “Thanks expat’s taking input. the expat time. trauma you Our concern Given mental “Complex,” that has through we the is I body feasibility if the implications the are human said remind your for histories, time-travel a process interested anticipated. in surroundings.”"
"“We can’t risk the temporal repercussions,” said Adela. “They are supposed to be dead. As long as they’re here, it’s functionally as if they are dead in their own time. Again, I must emphasize, you are focused on the long-term prognoses of the expats in our era. Your remits really could not be clearer.”",['adela'],"are focused the dead if I their be As time. dead. our risk temporal prognoses here, remits are long-term long really functionally you as emphasize, it’s could to can’t are Again, clearer.” they’re expats of the in era. Your on “They as supposed in said repercussions,” not Adela. “We own must be they the"
"We’d arrived in the central lobby. Gore was standing in a shaft of sunlight, staring up at the steel-and-glass ceiling. He looked dazzled into boyishness by the half sky of the building’s skull.",['gore'],"up arrived sunlight, building’s the We’d staring dazzled the ceiling. the in a Gore was boyishness of sky at He the of into lobby. by shaft in half steel-and-glass central skull. looked standing"
"We went for lunch at a small bistro near the Ministry. Gore came from an era of service à la française, private dining rooms and putting everything into jelly. When I began to explain, in tones of motherly patience, how twenty-first-century restaurants operated, he said, “I’ve eaten kangaroo on the uninhabited shores of the Albert River. I understand how a knife and fork work. Please sit down.”",['gore'],"kangaroo rooms everything uninhabited putting said, the from came Albert I small explain, Ministry. a into at restaurants When jelly. operated, near We à private he of twenty-first-century motherly work. began la bistro era went how the eaten River. of “I’ve tones on lunch française, Gore and a sit down.” and shores service for knife patience, understand Please fork dining to how the I in of an"
"“I thought it might be a good thing to make a proper friend of him,” Gore continued. “He said he would arrange for his bridge to take us to”—here he raised his eyebrows—“a public house. I am looking forward to seeing what visions of sin this era has concocted for the humble tavern.”",['gore'],"house. good visions to “I said us of Gore sin looking humble forward him,” of thing might would he proper public the “He this be eyebrows—“a to take continued. it bridge for thought raised to”—here era his to what a a for seeing he I arrange has his friend tavern.” am concocted make"
"Back at the house I was still struggling to think of as “home,” Gore shyly asked me if I would also “come for a drink.” He had done well, at lunch, to hide his deep embarrassment over my payment of the bill (with a Ministry expense card); he was adjusting with gold-star alacrity in recognizing that it wouldn’t be a reputation-detonating act for a respectable woman to be seen in a public house in the company of bachelors.",['gore'],"Ministry in had it to I “come if bill would the (with house embarrassment also payment in for drink.” of my at a a adjusting reputation-detonating alacrity for his Back act was be with Gore company deep He of well, seen house the struggling lunch, recognizing I think a hide bachelors. to to that “home,” at asked shyly be done respectable of expense he in over was a still me woman public wouldn’t card); as gold-star a the"
"I coughed at my half-pint. Ralph, a snide and etiolated former field agent, was my least favorite bridge. He had somehow managed to get assigned the only young woman expat.",['ralph'],"and a He field coughed I the to my snide half-pint. my woman former at least assigned managed etiolated agent, had expat. get somehow only bridge. young Ralph, favorite was"
“No. Apparently it was very awkward when Ralph came in here for a lunchtime gallon of merlot and spotted him. He’s part of Defence’s tracking team. You know they don’t much like the fact that the Ministry is a separate institution. They thought the time-door ought to fall under their remit.”,['ralph'],like they the much spotted came their Ministry merlot They a ought when Defence’s Ralph “No. thought Apparently in here awkward fact of institution. of is it a under him. for lunchtime and the part the very gallon separate to time-door fall was that team. don’t You know remit.” tracking He’s
"“He used the word ‘Negro’ until I stopped him, but I don’t think he meant it with two g’s, if that’s what you’re asking me. How’s your expat managing the news of your miscegenation?”",['negro'],"but he of I managing g’s, miscegenation?” me. asking word you’re meant I with him, stopped How’s your that’s the think ‘Negro’ your news what two used until “He it expat the don’t if"
"I choked. “Uh. We don’t use that word anymore. We just say ‘Black.’ As an adjective. You would say, ‘She is a Black woman.’ ”",['black'],"anymore. word don’t choked. We ‘Black.’ Black I just an a adjective. As is woman.’ say say, would ‘She ” You We “Uh. that use"
"Graham used other words too, not wrong, exactly, but not right, like “your people,” or “your culture.” When I said, in a wincingly tight voice, that we had the same people and culture, he replied, mildly, “But I don’t think that we do.” Then came the image searches about Cambodia, on food and dress and customs. I had to do those for him, in the early days, because he still didn’t know how, and the English-language internet was not on my side. Exotic, friendly, conservative, resilient. The way he couched his questions, too, was imperfect. I had to correct “ancestor” for “grandparent,” “sacred” for “polite,” “tribal leaders” for “farmers.”",['graham'],"“your and for on English-language too, Cambodia, “ancestor” days, his “sacred” not that a for mildly, Graham we because my wrong, words think people for had leaders” the way dress voice, food about questions, right, the said, couched side. and didn’t and people,” he conservative, know other was same not don’t “farmers.” “tribal not I that do those had replied, “your I searches Exotic, do.” correct the too, “grandparent,” image and When the still on The like how, he to early I culture, or used customs. imperfect. wincingly came friendly, internet “polite,” was exactly, I Then tight to he resilient. “But culture.” had him, in we in but for"
"He smiled, dimples curving. “I think, as we are ‘housemates,’ and also, I hope, friends, that you should call me Graham.”",['graham'],"I He as hope, should that call smiled, me curving. you friends, think, are Graham.” we “I dimples ‘housemates,’ and also,"
"“After you returned home yesterday, the Brigadier came back to see Arthur. They had a conversation about television, which Arthur seems to think is a wonderful invention. The Brigadier mentioned ‘Auntie’s output.’ ”",['arthur'],"Brigadier see They came to returned Brigadier a about Arthur to think back ‘Auntie’s mentioned home the television, wonderful had “After seems a yesterday, you ” invention. which Arthur. The conversation is output.’"
"This old wound, formerly healed, he’d received in Australia with Captain Stokes. A gun had exploded in his hands. They were rowing up a river in the captain’s gig, charting its course. The cockatoos they’d spotted on the opposite bank were so dense as to be cloudlike, billowing from tree to tree. He’d taken up his fowling piece and sighted along the barrel.",['stokes'],"the A the to Captain fowling a his wound, The on Australia with They so he’d up its barrel. exploded along sighted gun charting river old dense rowing the and This bank in tree. captain’s as gig, piece taken were spotted be cockatoos tree they’d formerly had billowing up opposite course. from cloudlike, He’d Stokes. were in his to healed, hands. received in"
"It’s surprising, then, that I allowed Graham’s drawing of the projection device to enter my files as a joke, like a coin minted 70 BC. I thought it was a form of juvenilia, drawn in his earliest years as a modern man, something to remind him of on a significant anniversary of his arrival here; and not, as it would turn out to be, a red letter from another era.",['graham'],"projection enter juvenilia, something It’s here; to I to a to earliest like device a arrival as BC. not, I coin minted man, drawn a on 70 the his red a of my that anniversary from would then, as drawing of out turn letter remind as a era. surprising, was in him of his thought and a it years files be, form significant Graham’s of it modern another allowed joke,"
"By the start of that summer, Graham was practically a native of the era. He wore button-ups and was clean-shaven to his cheekbones. He had a preferred washing-machine cycle. Most mornings he rose—hours before me—and went for a run. He would sometimes wake me up with a juicy smoker’s wheeze on his return to the house. He started giving me custody of his cigarettes and enforced a predinner smoking ban.",['graham'],"was on He a predinner juicy ban. he started me return with cigarettes for cheekbones. a He native He of start the would wake rose—hours wore era. summer, to of and custody house. enforced a mornings By me—and went was of his his Most Graham had run. a his a that washing-machine smoking clean-shaven the before practically me to cycle. giving up sometimes wheeze He and smoker’s the button-ups preferred"
"There were others times when it felt as if Graham deliberately disliked the twenty-first century, as if assimilation was a form of treachery to his past. I was prickly and defensive about this; I could not look at why directly. I heard the way I spoke to him about it: adjustment, reasonable, citizen, responsibility, values. He blew a lot of pensive cigarette smoke at me.",['graham'],"were assimilation responsibility, way defensive his twenty-first values. him a was I could spoke the me. of look There prickly adjustment, others past. to was disliked treachery and directly. heard lot I not He about I cigarette pensive about a as at this; smoke it reasonable, to felt when times century, at deliberately as why if I the citizen, form it: of if blew Graham"
"Thus, on a weekly basis, the expats were subjected to tests designed to trigger empathy or disgust, and scrutinized. The first tests were conducted in the laboratory booths, but they resembled the Ministry hospital wards so strongly that the expats had tremendous anxiety reactions and it was difficult to get serviceable data from them. Graham, for example, kept asking to be excused for a smoke—heart rate elevated—and struggled to focus on the tests—eyes moving rapidly. I once found him the sole occupant of the fifth-floor smoking area (a pigeon-shit-encrusted balcony), methodically shredding a filter of a finished cigarette. I watched him for a while, interested in the way that only his fingers moved. Most people ripple with surplus motion unless they are concentrating, but Graham only ever moved the parts of him that he wanted to move.",['graham'],"him the disgust, I expats with example, but motion sole Ministry trigger Most first fingers he and the to they anxiety designed be struggled weekly asking way the expats people moving surplus Thus, the difficult were the conducted interested laboratory I to his Graham only a rate in them. in of was the or focus area only they finished unless get and basis, found wards to fifth-floor reactions subjected (a moved. Graham, for cigarette. smoking but that kept moved hospital pigeon-shit-encrusted from a smoke—heart on scrutinized. that move. the strongly had were of that a a balcony), data while, for tests—eyes parts for methodically ripple to him on ever are occupant wanted resembled it The tests watched of serviceable empathy to to so tests a concentrating, him once elevated—and shredding the tremendous excused rapidly. filter booths, the"
"After that, the “empathy exams” returned more useful results—though there were other issues. A controversial test used pictures of soldiers from the First World War, caved and razed by new weapons. The disruption was terrible. Nineteen-sixteen had to be sedated. The other expats were horrified too. Even Sixteen-forty-five and Graham, who had fought in large-scale battles, were laid out by the ultramodern scope of the harm. They began to resist the exams psychologically, spoiling our hard-won data. It was agreed that we’d delay introducing them to Hiroshima, Auschwitz, and the Twin Towers. Control promised to provide a timeline for the revelations, but it hadn’t materialized.",['graham'],"Twin were out large-scale razed materialized. agreed to more scope Nineteen-sixteen other had useful results—though expats test issues. other used we’d by by it that, harm. the exams revelations, Sixteen-forty-five War, the began Control had were disruption and the who to horrified World caved fought the of the spoiling delay was Towers. hard-won to introducing Even there be returned First but The too. ultramodern for promised the them new soldiers and weapons. was A After were exams” They our It laid a Hiroshima, provide Auschwitz, that from timeline The Graham, to “empathy the in psychologically, battles, data. controversial of pictures resist hadn’t and sedated. terrible."
"Adela was always present at the honesty exams, often intervening in them. I got the impression that she was listening to offstage prompts that only she could hear, being the only one among us who was aware she was on a stage, and was trying to chivvy us along the right course of action.",['adela'],"hear, to exams, stage, only was was right action. always chivvy intervening us in the was among she along being only got the Adela that often who was on could aware was one impression she the of offstage honesty course I to she prompts present listening them. the a at us and trying that"
"Adela smiled with about a third of her mouth. Her face had changed again. She looked pinched and hungry, and hauntingly as if her skin was held in place by a bulldog clip at the back of her skull.",['adela'],"skin bulldog mouth. changed skull. her her again. of a had in Adela held with of place hauntingly smiled her about a was She Her and the back by face if hungry, at looked clip and pinched as third"
"I went along to one of the earliest dinners, chicken bag slung over my shoulder. Bridges tended not to eat at the Ministry canteen with administrative staff and the operators on the Wellness team—the office-based employees—and the decorous hostility with which the paper pushers met me was adorable. When I got to the kitchen itself, the first thing I saw was Graham leaning down to light a cigarette on the gas ring, his curls dangerously close to the hob. We’d had to disable smoke detectors in every Ministry room that Graham used. If he couldn’t have a cigarette, he’d throw whatever experiment he was strapped into.",['graham'],"bag he room light smoke with itself, If hob. every he saw When the the in my disable close Wellness Ministry not I a Graham team—the I shoulder. leaning thing adorable. and pushers that met on administrative the dangerously couldn’t whatever decorous I to dinners, strapped Graham tended canteen slung was was office-based at chicken which used. kitchen Ministry detectors cigarette, to down cigarette the paper the gas into. Bridges have along hostility curls on the his to the to operators to employees—and me of eat throw with the one ring, the was the he’d over earliest had to a experiment got went first We’d staff"
"She put a glass down in front of me—ice, water, an oily suggestion of cordial, and, sure enough, some fussy edible garnishes. I blinked at it and then at Margaret, who smiled.",['margaret'],"it and She enough, in edible oily an fussy glass who at smiled. of sure cordial, suggestion put some then front a of blinked Margaret, at me—ice, garnishes. I down water, and,"
"Graham said, “Hm!” and pulled hard on his cigarette. He wandered off with the expansive air of a man who might pick up some parsley, not because he has been told to but because that might be a jolly thing to do en route to his next footloose and fancy-free destination. I watched him go.",['graham'],"go. man to that but the expansive him I jolly who might because might thing and on footloose “Hm!” told route wandered to do air his a has to off and not fancy-free destination. pulled his with watched next Graham be cigarette. He of because been he en a parsley, some up said, pick hard"
"“No,” said Margaret. She shrugged at my expression. “An’ I forsake this duty,” she said, “we’ll sicken. Forty-seven thinks tobacco is an herb. But womenfolk were cordoned at the stove for centuries. The men mun take lessons.”",['margaret'],"herb. “No,” for said, womenfolk Margaret. “we’ll at an I men at She thinks is expression. centuries. sicken. lessons.” my But mun Forty-seven tobacco take said forsake the this stove “An’ shrugged cordoned The were she duty,”"
The Brigadier drifted closer. He did look hungry. He looked like I did as a student when I ate nothing but buttered toast and apples. He turned the white of used candlewax when Margaret opened the oven to better squint at her roast potatoes.,['margaret'],drifted student ate when He looked but He squint turned to did her hungry. Brigadier the opened nothing candlewax He better used buttered toast of roast closer. at a and potatoes. look oven I did I as white when apples. like Margaret The the
"“ ’Tis all the same to me, sir,” said Margaret, “though I fear this cod will grow legs and walk afore my ‘colleague’ returns with my parsley.”",['margaret'],"will and legs to cod this “though fear Margaret, said afore with I same “ sir,” parsley.” me, ‘colleague’ my ’Tis my returns all walk the grow"
"Because we lived in a government-owned residence, there were also restrictions on how long we could have the air-conditioning on. Graham picked at this, irritating and irritated.",['graham'],"a government-owned in there this, also and we have Because on picked were Graham the we irritating lived on. air-conditioning could long how irritated. at restrictions residence,"
"Movement was anathema. I slept, mostly, naked and poaching in my sweat. The water ration forced Graham to switch finally to thirty-second showers. I didn’t see him for the whole of the heat wave. We left our bedroom doors open with the intention of letting the air circulate—though the air hung like an executed corpse—and said lackluster things about making a salad to each other from our separate cells.",['graham'],"the I the forced see slept, naked him anathema. about like salad separate left mostly, showers. sweat. of the my We bedroom doors with intention our finally water each air I ration didn’t hung heat poaching switch Movement and of letting to for things said thirty-second an air a to our executed corpse—and other was the from to circulate—though Graham The open whole lackluster making the in wave. cells."
"Adela took bridge meetings in a soundproof room deep in the Ministry’s chest. She always arrived first, and we’d find her sitting at the top of a long table like a mannequin awaiting the gift of demonic possession. But this time I arrived a quarter of an hour early and she wasn’t there.",['adela'],"there. a in always quarter an She and in long wasn’t we’d first, the top demonic soundproof room the took arrived possession. her of gift and early awaiting the sitting at table meetings Adela like this she hour chest. find But a a of arrived time of I a Ministry’s deep mannequin bridge"
"Adela was standing at the sink and anarchically disobeying the water ration by running her wrists under cold water. She looked unwell, but God alone knows how her plastic surgeon thought she was supposed to look.",['adela'],"cold her knows water. sink and anarchically She at was was the ration supposed surgeon her wrists look. unwell, to by standing she under alone running disobeying the water plastic but Adela thought looked God how"
"Adela talked to us as if we were pissing lavishly all over her time. Why she applied for the position of Vice Secretary, or how she got it, was a mystery. She didn’t enjoy the prestige, as the Secretary did, and she seemed bizarrely overworked for the proxy boss of a project in its pilot stage.",['adela'],"prestige, enjoy or a its as She in her stage. of didn’t we position pilot seemed over applied were lavishly she pissing of it, the for Vice the project Why talked overworked Adela and for time. as a all she to the if was bizarrely she Secretary, got proxy boss Secretary how the us did, mystery."
"Graham put down his mug. He was blushing in that watercolor way that I found so beguiling, and I caught up with what I was looking at: an isolated man who had just discovered that a woman with whom he was spending a lot of time would never be interested in him. I frowned, and he frowned, and we were frowning into our tea.",['graham'],"and frowning I interested Graham a that found and had isolated down and frowned, what were so was tea. a him. was be he mug. frowned, caught would his watercolor in in way an put with up into blushing that I at: that was we never spending whom I He man time I woman he with looking who beguiling, lot discovered of just our"
"Graham blew smoke out through his nose reflectively. “I see,” he said. “I’m not sure it’s fair to call him ‘grim,’ though you wouldn’t be the first to say it. He was a severe disciplinarian, it’s true. Held grudges. But he was a very lonely person. Romantic, too, which made his loneliness worse.”",['graham'],"it’s a to too, person. made Held it. was was blew be true. his the through “I which not though first see,” you reflectively. Romantic, nose loneliness “I’m wouldn’t very call Graham him out He said. he his to fair sure severe say lonely disciplinarian, grudges. it’s worse.” a he But ‘grim,’ smoke"
"I was lightly haunted—at the level of a chronic but manageable digestive complaint—by the memory of those “vital” files in the bin, seals unbroken. But Adela didn’t issue any new orders. The bridges kept turning in their core reports, and the experiments kept running. Given how much of our working day the data collection took, we all assumed that the time-travel project was running to the stated purpose. Every day I had to record his heart rate, his blood pressure, his temperature; every day a written record of what he wore, what he ate, how much exercise he took; every week checking progress against the imaginary benchmarks set by Control, use of phone, use of transport, use of media and the assessment of how harmful or useful each medium was; all the time the corrective tests for vocabulary and habit; novelistic observations on his character and temperament. It seemed that the job continued. I suppose if you switch on your lights and boil your kettle with energy provided by a nuclear power station, you don’t spend much time reflecting on the fact that the atom had originally been split to kill cities.",['adela'],"observations set I didn’t the week a the those nuclear exercise use of experiments of switch took, and kept issue how how record running. temperature; imaginary he on new to much seemed use wore, bin, kept the had his assumed we every he continued. assessment phone, of level medium suppose collection your vocabulary was; complaint—by stated memory working had record a his Given his orders. what he energy was the lights that on with fact Control, the your the digestive The habit; for in ate, character heart split “vital” provided what Every each of spend by chronic of turning in cities. kill of that day blood haunted—at day project files progress and job running data but took; I been lightly station, the on transport, I originally manageable checking the rate, his boil the all time or media written benchmarks that the time you bridges core much reflecting and harmful useful if time-travel tests of seals kettle use Adela novelistic of pressure, you any But every the much reports, the against how purpose. our and to was a It by unbroken. day atom to corrective the and temperament. the power all don’t their"
"Graham hadn’t exhibited any behavior more eccentric than usual, but as he was a difficult man to read, I didn’t know whether I was witnessing a series of neurological events. He’d lain motionless in the garden for two hours, on a wet and putrid night, to shoot a fox, and pulled out one of his own rotting teeth (he showed it to me afterward; it was the color of a tombstone, caped with gelatinous red)—was this Victorian, or was this “irregularities”?",['graham'],"rotting usual, in the a two color red)—was a one pulled this or read, know man difficult for hadn’t garden wet a more night, tombstone, “irregularities”? to events. a to showed was didn’t any he teeth it whether shoot was gelatinous lain He’d as exhibited but on was of was Victorian, Graham and hours, out behavior of (he it a and I series the eccentric than with to caped afterward; his I of me motionless fox, this neurological putrid own witnessing"
"So I was anxious about Graham’s disdain for the twenty-first century, because never mind that I felt rejected by it, I was worried that the universe would feel the atemporal sting of his contempt and take him away. My England wasn’t like this, he’d told me—but this was the natural evolution of his England. I was the natural evolution. I was his lens if he would only raise me and look with me.",['graham'],"twenty-first look me he’d was was rejected he the because I So evolution. take was away. was anxious universe the the told of that this, this that would I only like disdain evolution I him raise contempt century, his the it, never his lens me—but England feel worried natural sting the for by wasn’t about me. mind My would and with I felt and England. Graham’s of was I atemporal his natural if"
"I persuaded Graham to use the tiny office, in which I ordinarily worked, to cram for the test. The Ministry gave no indication of what format the test would take, or what manner of questions would be asked, or tasks set. I thought this was unfair, and suggested as much to him.",['graham'],"thought tiny I unfair, in as to what Graham test be office, format would ordinarily him. the the of tasks would to to gave The this or suggested indication no what and of much or use Ministry test. I the set. worked, persuaded take, I for asked, cram manner which was questions"
"There was an embarrassed silence, then: “Shame!” yelled Margaret from the audience. “Fie! Rhubarb, rhubarb! And diverse other curses!”",['margaret'],"“Shame!” embarrassed audience. “Fie! rhubarb! an from then: silence, Rhubarb, There curses!” yelled And the diverse other Margaret was"
"The person I was referring to was lurking at the far edge of the auditorium, with hair the color of wet earth under moonlight and a pinched, unhappy expression. I don’t think Salese could have looked more disapproving if we’d all started sucking at one another’s fleshly parts and chanting “Hail, Satan!” The Brigadier was standing beside Salese. They were speaking, heads close together. They looked as if they were in an invisible bell jar of gloom which blocked out the room’s miniature festivities.",['salese'],"the person I at of miniature edge all looked the The of started festivities. an standing was far room’s of disapproving Brigadier I as unhappy speaking, They to have bell sucking chanting earth which moonlight was invisible pinched, beside more jar close was together. the don’t blocked Salese. expression. hair we’d and could referring with lurking looked under one They in parts a the Salese auditorium, color “Hail, The Satan!” at fleshly heads another’s and gloom if were if were wet think they out"
"“I’m afraid I’ve only ever met the Secretary,” said the Brigadier. “But I would very much like to meet Vice Secretary Adela.”",['adela'],"Vice “I’m Secretary,” much met said ever afraid Brigadier. the very would like only the I’ve meet “But I Adela.” Secretary to"
"I went home and, on arrival, checked my emails. As with a driving test—or the lieutenants’ exam—the acclimatization exam results were delivered immediately. Graham had passed.",['graham'],"arrival, home the delivered driving I with exam test—or emails. exam—the lieutenants’ a were results As passed. immediately. Graham went on my checked acclimatization and, had"
"I cycled up to the nice grocery store to buy a bottle of champagne, pausing on the way home for a soft-serve ice cream. I sat on the bench to lick the ripple into a mound and think about the Brigadier. A man of bivouac experience, I felt; there was something disturbingly makeshift about both him and Salese, as if they’d been dropped behind enemy lines and were mimicking familiarity while waiting for the right moment to cut a throat.",['salese'],"I grocery throat. I the while champagne, cycled familiarity there sat the to both lines ice and the right been soft-serve if cream. cut of nice the A buy was I up man bench the the a something were a waiting as experience, home moment pausing felt; they’d behind makeshift for to Brigadier. to disturbingly for enemy and store Salese, on think on way him into of and a lick a mimicking ripple mound dropped bivouac to about about bottle"
"“Apparently I can pass as an eccentric. I suggested that somewhere like Scotland, Arthur and I might simply pass as Englishmen. One of the panel was a Scotsman, and I think he liked that.”",['arthur'],"like Englishmen. “Apparently and liked as Scotsman, and eccentric. of One I simply Scotland, pass think I the that.” Arthur somewhere pass suggested that can panel I might a an he as was I"
