Single_ent,en_masked,en_masked_shuffled
['brad'],"[MASK] nodded at me. “You know, if she’s got the same thing you do, if you guys date each other, you’ll both find your soulmates when you break up.”","nodded break up.” same date know, you you’ll soulmates you if both other, when guys [MASK] do, thing find you “You if got at your each she’s the me."
['lutsen'],"They were starting to do the couples thing for all the trips and birthdays. They were all going up to [MASK] in October to go hiking. They asked me if I wanted to go, but I didn’t. Not alone.","were wanted for and didn’t. the birthdays. if all I thing in go, the to couples trips go I They going to October were [MASK] They all to starting alone. do me but Not hiking. They asked up to"
['brad'],"[MASK] took a swallow of his drink. “Ask that nurse out. Go wherever she is. Pitch the idea to her, she might be into it.”","that swallow idea out. her, into the Go [MASK] of “Ask she she be might it.” Pitch to nurse took a his drink. is. wherever"
['brad'],"“Yeah,” [MASK] said. “She dates you, you guys break up, and she rides happily into the sunset too. It’s a win-win. Seriously. This is your chance. If you don’t do something you’re gonna spend the rest of your life sending women on to their forever families and never getting one for you.”","sending sunset women “She rides you.” [MASK] gonna forever spend If your something their of your never to break rest you a you, chance. on the life Seriously. up, said. you’re do This win-win. too. is the dates for “Yeah,” It’s families guys you one into happily and getting she don’t and"
['brad'],[MASK] looked me in the eye. “You will never find someone as long as all the women you date aren’t actually meant for you. You’re not their soulmate. Their soulmate is the person they meet after you. It’s decided the minute it starts. They are literally fated not to be The One. Think about it.”,One. you are all find eye. soulmate aren’t [MASK] as their never date it.” actually person literally to fated Their not soulmate. you. as after minute not looked about meant You’re is be It’s in Think the the The you. They for women it the starts. long the decided someone me they meet “You will
['brad'],"I had actually thought about her. I’d checked once or twice to see if she’d messaged me again. She hadn’t. The last message was me telling her it was nice chatting with her, three days ago. Trying to keep talking to her was a dead end if she lived somewhere else. But I don’t know. Maybe [MASK] had a point. What could it hurt to try? Worst-case scenario, I’d spend some time and money and have no connection with her. What was new? I was already doing that with every date that didn’t pan out anyway.","point. hadn’t. talking I about her days money she’d spend her. Trying out and know. The with But What had didn’t or her that date a she I new? checked was What could I to pan [MASK] try? Worst-case thought her. her, see dead else. actually was ago. was had me end messaged already nice a with it and twice message anyway. have some to once doing if to lived scenario, with connection keep was no I’d Maybe hurt telling three it time every that don’t to somewhere if again. chatting I’d She was last me"
['maddy'],"I already knew what he did for a living because [MASK] had cyberstalked him. Of course I couldn’t tell him that, so I had to ask questions.","had to course Of had did questions. living tell couldn’t what already ask a I I knew he because so for that, [MASK] I him him. cyberstalked"
['maddy'],"Me: Not sure yet. I live with my best friend [MASK] and we alternate who chooses where we’ll go next. She picked Hawaii, and I haven’t decided where to go after that.","go to we Not next. that. picked I after we’ll who yet. with chooses and haven’t live go and Hawaii, Me: where She best my where [MASK] sure friend decided alternate I"
['emma'],"For a moment I debated calling from a blocked number. He was nice, but I still didn’t know him. But I figured it was just as easy to block him later if he got creepy. I dialed and he picked up on the first ring. “[MASK].”","But him as creepy. a nice, dialed the ring. I up block to if just picked I still easy moment him. I he but didn’t I “[MASK].” know on debated it For blocked He first was later a he number. from and figured got was calling"
['brad'],"“But what if it isn’t? I’m just playing devil’s advocate here. What if it isn’t? [MASK] said that everyone I’m serious enough to date more than twice is cosmically destined for someone else.” He went quiet for a beat. “Does nobody feel right to you? Like, there’s just enough there to give it a little go, but then the bottom falls out? Is that just me? Or is it like that for you also?”","Is you? said isn’t? out? I’m it to also?” that for for there enough date He is just it right everyone that give to like if if more a just else.” a bottom serious destined [MASK] falls isn’t? Or what “But than twice I’m for but go, nobody there’s me? just advocate little then it to the feel someone that devil’s is beat. it Like, went here. What “Does cosmically enough you playing quiet"
['brad'],"“Look,” he said. “I know the idea’s a little out there. But if this is actually a thing, we’re in a pretty low-risk/high-reward situation. We’d just have to hang out a few times and then stop. That’s it. If what [MASK] said is true and we can’t find our person because everyone we’re interested in is meant for someone else, I would actually really like it if it stopped.”","everyone said. That’s if few would it is for times know and this really can’t [MASK] hang I thing, We’d idea’s But stop. then just out interested we the else, he stopped.” if “Look,” little person in “I a is is actually to said it. what a we’re it in pretty situation. we’re actually there. out true like If have someone our find and a meant because low-risk/high-reward a"
['maddy'],"I nodded and put up a finger. “I’ve got to go,” I said into the phone. “[MASK] wants to watch a movie.”","wants finger. I got into phone. “[MASK] and a “I’ve to movie.” up watch nodded to put a I said the go,”"
['maddy'],"[MASK] looked annoyed. “Probably didn’t pay the bill. You know, for someone who asks you for as much money as she does, she sure ends up in collections a lot. God, I hate her.”","know, up asks God, bill. a didn’t someone annoyed. in You hate she does, who money you I collections [MASK] much “Probably her.” ends for sure looked pay for the lot. as she as"
['maddy'],"I looked away from her. My relationship with my mother was complicated. It wasn’t complicated for [MASK] though, she knew exactly how she felt about it.","It how away My with was from mother complicated complicated. she relationship for my wasn’t her. it. she I felt exactly knew about though, looked [MASK]"
['amber'],"I’d stopped calling jails and hospitals years ago when this kind of thing happened. Filing a missing person’s report was a waste of time. [MASK] moved too fast, was too impulsive. She’d go to a concert and climb onto a tour bus and end up across the US. Or she’d meet a guy at a bar and get invited to live on his boat for four months in Florida.","onto four I’d fast, a bus was of jails a missing stopped Filing the happened. a report She’d bar Or at time. [MASK] this calling guy when end go years a too across impulsive. up and climb to of a waste thing to on get kind a meet US. boat concert months Florida. she’d and live was and for in invited ago too tour moved person’s his hospitals and"
['maddy'],"“I don’t understand how that woman made this,” [MASK] said, going on, waving a hand over my face. “A fully functional member of society.”","fully “I my understand said, that this,” face. waving on, over of don’t made going member society.” functional woman hand a [MASK] “A how"
['maddy'],This is where we always landed with Mom. [MASK] being furious on my behalf and me reminding her that Mom wasn’t all bad. Sometimes she was wonderful.,furious bad. landed wonderful. we me [MASK] and where behalf her wasn’t Sometimes Mom. was Mom on This always being all she that with is my reminding
['muse'],"When my mother was at her best, you could meet her and walk away thinking you’d been in the presence of a [MASK] or an angel. This witty, enchanting woman who made you feel interesting and special.","of and at meet interesting been [MASK] When the woman her away you presence my who an in This best, her walk and or enchanting a witty, special. mother angel. feel could you you’d was thinking made"
['maddy'],"[MASK]’s moms were my foster parents. They’d wanted to be my real parents, but it just never felt right. I had a mom. And I was fourteen when they got me. The imprinting didn’t take. That’s all I could say about it, it just didn’t take. I cared about them. I called on their birthdays and came back with [MASK] for Christmas when we could get it off. They just weren’t… mine. And [MASK] knew it. It bothered her. She couldn’t wrap her brain around it and I couldn’t explain it to her in any way that she found acceptable.","[MASK]’s them. back just real explain called about say She off. that cared brain were could in wanted it, could birthdays They’d right. acceptable. to they it take. and we but foster fourteen I I and when felt me. I just [MASK] it she parents. never mom. wrap It her any That’s came all couldn’t her. bothered their knew had around it my just And found my moms The imprinting mine. her parents, was weren’t… I a when got be I it didn’t on with couldn’t Christmas [MASK] to for it didn’t And I get take. about They it. way"
['maddy'],"[MASK] hadn’t come back last night, as promised, and I guess the date went well because he was taking her to breakfast and then some art exhibit. She wouldn’t be home until dinner. I was off and had nothing to do and nowhere to be.","taking to be I back because well art wouldn’t and and do and some breakfast come hadn’t nowhere went to nothing home promised, her She then had to night, as he was last I until off guess [MASK] exhibit. dinner. was date and the be."
['maddy'],"“Yeah, it had rope bridges and everything. We were on a quick two-week assignment to Atlanta. [MASK] and I had to share a bed, but it was so cool.”","two-week but everything. were quick a assignment was and share had on cool.” and bridges Atlanta. it to to it bed, We a rope so [MASK] I “Yeah, had"
['brad'],"“Not today. But when I had lunch with them yesterday we talked about the Reddit thread. I told them about you, obviously,” he said. “That’s when [MASK] gave me his prophecy about you and I being able to break the curse.”","prophecy about being [MASK] when thread. the Reddit said. we break lunch “That’s to But gave me “Not today. them when yesterday his I he I about with and you the talked you, able curse.” them I had told about obviously,”"
['maddy'],“That is exactly what I was telling [MASK] a few weeks ago. Some guy proposed in front of a whole stadium at this game we went to—and the girl said no.”,went whole to—and guy front [MASK] game Some girl said proposed a few telling of no.” in “That a the I ago. at we weeks what this exactly stadium is was
['emma'],"I pulled up to the high school pickup line and put the car in park, then grabbed my phone to look at the picture of [MASK]. Again.","and pulled my to the at look school line the Again. the picture in pickup put park, grabbed high then to up of car phone [MASK]. I"
['alex'],"A bell rang and kids started pouring out. The last day of summer school. When I saw my brother, [MASK], walking with a group of his friends toward the buses, I rolled down the passenger side window and leaned across the seat. “Hey! Need a ride?”","seat. last the “Hey! side down window walking When a group the and the with friends brother, toward school. my leaned ride?” [MASK], of buses, of Need across rolled summer bell pouring rang kids A started I I passenger out. day his a saw The and"
['sarah'],"I got up. “I gotta get going,” I said flatly. “Want me to run this up to [MASK]?” I nodded at the bag of food for my sister.","got for food of up get run [MASK]?” to I said this going,” “Want up. sister. the me gotta my flatly. nodded I at bag I “I to"
['mcdonald'],"I came in and looked around. “This is new,” I said. She had red LED string lights along the walls. The whole bedroom was bathed in red. It was sort of depressing. “I got you [MASK]’s.”","[MASK]’s.” She bedroom bathed you new,” walls. string around. I looked red. in lights I of got was It the along depressing. “I The in came whole said. “This had was is LED and red sort"
['brad'],"I leaned back in my chair. “Well, I did the same exact thing I did when I woke up yesterday—drank my coffee while staring morosely at my personal billboard. Walked [MASK]. Worked for a few hours, then I took my little brother for driving lessons—Oh, I forgot. I also made you something.”","[MASK]. I my my also woke leaned I the when few for “Well, a at for something.” did my coffee little I I then while made chair. in back yesterday—drank I Worked forgot. thing I personal did billboard. exact Walked same my brother hours, staring took up I morosely driving lessons—Oh, you"
['maddy'],"[MASK] looked up. Then her eyes dropped to the laptop I was holding and she somehow immediately knew what was about to happen. “No.” She shook her head. “No. No, no, no, no, no. NO.”","up. was “No.” somehow looked She immediately was no, laptop Then shook No, and what eyes her holding head. to the dropped knew to about NO.” happen. no, “No. no, she no. I her [MASK]"
['emma'],"As we started pulling our bags from the trunk, a brown-haired middle-aged woman came out of the side of the three-car garage. “Are you [MASK]?” she said in a thick Mexican accent.","came a As the she bags side three-car middle-aged started the our garage. thick the said “Are woman accent. brown-haired Mexican of you from a we [MASK]?” out pulling of in trunk,"
['maddy'],"[MASK] scoffed quietly. “Yeah, I don’t think we’re going to lose the house. They can probably see it from space.”","think from I we’re the can space.” quietly. to see house. lose scoffed it [MASK] don’t “Yeah, going They probably"
['maddy'],"[MASK] must have been thinking the same thing I was. “Does it rain a lot in Minnesota?” she asked, raising her voice over the sound of the old motor.","old was. motor. the over her been a have I must of [MASK] in thing same she raising sound it rain asked, lot the “Does the voice Minnesota?” thinking"
['maddy'],We lugged our bags up the stairs and were sweating by the time we made it to the door. We came in through a screened-in porch that overlooked the lake. [MASK] and I shared a glance. It was adorable. White wicker rocking chairs and a small matching loveseat with thick floral cushions. A cute coffee table and plastic ferns in wrought-iron planters and hanging baskets.,the It that I up lake. sweating it shared lugged through [MASK] wicker porch cushions. coffee in A were White came We hanging stairs loveseat glance. bags and cute overlooked table and and ferns We and rocking time to in chairs screened-in our matching thick adorable. and planters small the plastic by a was baskets. door. the we with the floral wrought-iron a a made
['maddy'],"The bedrooms were off the living room on either side of a short hallway with a single bathroom shared in the middle. The bathroom had a white claw-foot tub, pale blue tile, and an old pedestal sink. I took the room with the cushioned reading nook in the window and [MASK] picked the one with the hanging swing chair in the corner.","off with living the middle. and picked The in bathroom shared reading in the a I a room blue the an corner. one the bathroom the in pale [MASK] pedestal the room claw-foot took chair the old white side single tile, on either The with hanging nook hallway with the bedrooms swing had cushioned of a and sink. window tub, short were"
['maddy'],"Four hours later, [MASK] and I were back at the cottage sitting in the screened-in porch. We’d had dinner in town and then boated back. The fridge was stocked up and we’d unpacked.","at unpacked. hours was and had fridge I up later, in boated Four the then the cottage dinner and [MASK] We’d town The porch. and back were back. screened-in sitting stocked we’d in"
['jeff'],"“I gave you the new number weeks ago, remember? I was still on [MASK]’s plan and he canceled my line, can you believe that POS? God, J-named men are the worst.”","God, remember? can men gave plan the are the that I line, my he POS? J-named and still ago, you was believe you weeks “I canceled new worst.” number [MASK]’s on"
['emma'],She looked away from me. “[MASK]…” Her eyes came back to mine. “Please. Please do it. Do it now before you lose the chance to meet them altogether. People don’t live forever.”,to looked them don’t chance altogether. the meet now came before She forever.” People Please live Do “[MASK]…” do it “Please. away Her you eyes lose from mine. back to me. it.
['maddy'],"“How about this,” [MASK] said. “Run your DNA and make your account private. We’ll change your privacy settings for a few minutes, poke around. If you have any relatives out there, we’ll screenshot it and go back to private. Then I’ll go and find them online and tell you if they seem like people worth knowing.”","and they private. poke any about relatives Then to We’ll screenshot you knowing.” and privacy settings make seem go minutes, few back your account change if around. this,” private. said. find I’ll and out [MASK] it them worth your go and tell online your you there, for like “Run a “How we’ll people have DNA If"
['maddy'],"We prioritized power for the coffee maker first and we brewed a pot while I sat in the kitchen with a towel wrapped around my head. When it was done, [MASK] poured me a cup and handed it to me.","it my a first sat in me. maker a the and was done, for We a [MASK] with handed me prioritized brewed to I and towel we poured kitchen cup power while head. it When the pot wrapped around coffee"
['maddy'],"The snail’s-pace speed the pontoon put out somehow seemed faster with the beach approaching. [MASK] threw it in reverse. The engine downshifted miserably, but we started to slow. Then to my horror we began to move backward, motor first, right into the dock.","downshifted slow. speed horror out to with miserably, to backward, we the reverse. into [MASK] move snail’s-pace somehow motor threw right started my it to The beach we faster in first, pontoon seemed put Then began The engine but the dock. approaching. the"
['maddy'],"When we were safely away from anything we could crash into, [MASK] killed the engine and slumped in the captain’s seat. “If we’d been on the other side of the dock, we could have hit the yacht,” she said, looking shaken.","yacht,” said, other the the we seat. crash side we’d killed “If engine and captain’s on could looking the [MASK] from shaken. safely in the hit of been away slumped could we she were into, When have dock, anything we the"
['maddy'],"I lined the nose of the boat up with the side of the dock and started for it again, only this time I killed the thrust earlier. We coasted along the side and I put us into reverse to slow us down while [MASK] grabbed one of the dock poles and we came to a stop.","earlier. us to nose thrust time I of and this put boat grabbed coasted the I came with along the the while us again, lined and stop. We up dock the reverse killed the side started the we side of I down dock and a for poles slow [MASK] to of only into it the one"
['mack'],"Long brown hair, a white top, leggings. She was smiling at me, this easy, comfortable smile, and the closer she got, the more paralyzed I felt. I couldn’t even will my legs to walk to meet her. I wasn’t standing by my car, waiting for my date. I was in the middle of a road, watching the headlights of a [MASK] truck coming right at me.","I my to a she I her. was brown white the by date. paralyzed me, legs got, hair, road, meet waiting the coming top, right me. of a wasn’t She a felt. for Long my this I even easy, I was couldn’t headlights smile, [MASK] standing watching in will of truck my middle leggings. more at and car, comfortable closer smiling walk the at the to"
['maddy'],"Her phone rang. “Oh, hold on. I have to leave my ringer on in case [MASK] gets in trouble trying to get back.” She looked at it. “It’s her.” She swiped and put the phone to her ear. “[MASK]? Are you okay?” She listened for a second and then glanced at me. “Okay.” Then she hung up. She nodded over her shoulder. “Can we go down there really quick?”","in over to hold glanced and a phone at listened in go second get rang. ringer “Can “Okay.” okay?” then hung really Are down [MASK] for at my swiped her phone leave up. shoulder. “It’s trying on. Her back.” the have to we She put “Oh, trouble me. her gets “[MASK]? her.” it. I Then there on She quick?” and you nodded to ear. looked She she She case"
['brad'],"Literally everything I’d done in the last sixteen hours since the minute I realized she was here was in preparation for this date. I’d made the questionnaire, typed up the invite, made plans and phone calls. I’d even cleaned my apartment—not that I thought she was coming back to my apartment. But on the off chance she wanted to see the billboard up close or meet [MASK] or something, I wanted it spotless. And now I wondered why I even bothered since none of the other stuff even mattered if I was just gonna come off as a fucking weirdo because I was so flustered.","I wondered questionnaire, made she now made apartment. everything the I’d the thought even stuff I see But something, wanted here apartment—not just coming even I gonna was close fucking even was a sixteen invite, why billboard meet up up in because cleaned other the chance [MASK] back I’d none if for off of was and bothered realized was my I to or I Literally off the calls. was phone I’d plans done since my mattered wanted spotless. or as hours to come that typed date. the since And last the this I on it I weirdo she she in so minute the preparation flustered."
['benny'],I hadn’t really cared too much that [MASK] might not be here today. He wasn’t the point of this visit. But all that had changed in the last ten minutes. Now I wanted my friends to meet her so I had someone to talk to about her.,talk that too I not cared last to friends hadn’t so someone changed meet that really had about all the my minutes. visit. might to He here be wanted Now the I point had wasn’t today. But to [MASK] her this in of ten I her. much
['jane'],[MASK] led us through their living room and down a hall and stopped by a closed door. “Everything’s ready. You guys can go in when you want.”,You door. go down their a you through when ready. “Everything’s hall closed room by want.” guys us can a stopped [MASK] and living and led in
['jane'],"The five six-week-old kittens [MASK] was fostering came mewing up to us, tails in the air. We shuffled in and I shut the door behind us before any escaped.","the five and was in any The shut shuffled air. in us, fostering to up [MASK] mewing escaped. tails I us kittens came door six-week-old behind before the We"
['brad'],"“[MASK] likes them too. He eats all my crusts. You know, I bet if they did a study about relationships, romantic and platonic, the ones where two people have alternating crust preferences are the ones that work the best.”","bet my have are “[MASK] them did romantic know, if preferences crusts. the ones that relationships, and ones two too. crust where they the platonic, He the best.” alternating about study eats likes work a people You all I"
['maddy'],"Her phone rang and she picked it up and looked at it. “Oh, hold on, it’s [MASK]. Hello?” She listened for a moment. Then she sucked air through her teeth. “That’s what the bumpers are for. Well I’m glad you made it, I was worried. Okay. Okay. I will. Bye.” She hung up.","glad worried. She phone “Oh, Then on, Her hung for. Well you the rang I’m “That’s Bye.” a will. sucked through listened what She she and it. made for air her [MASK]. she hold I looked teeth. it’s it picked moment. Okay. up up. bumpers I Okay. was are at Hello?” it, and"
['maddy'],"“I hope so. It’s been a little stressful.” She picked up Murder Mittens. “I don’t think I really thought this island thing through. It sounded like a good idea at the time but it’s kind of inconvenient. Anyway, it’s only for six weeks and [MASK] likes the cottage, so…”","island but really the I it’s up six thing It weeks a likes Anyway, “I cottage, only been hope Mittens. good a kind it’s time this She and so. stressful.” the at of “I through. [MASK] like It’s for little Murder think don’t so…” idea picked inconvenient. sounded thought"
['emma'],The woman’s eyes moved back and forth over the mouth of her open Coach bag. [MASK] took her gently by the elbow. “I’m [MASK]. What’s your name?”,gently of took “I’m by the mouth bag. over her eyes woman’s forth elbow. The back your What’s open the [MASK] moved Coach [MASK]. name?” her and
['maddy'],"[MASK] was already off the pontoon and running toward me across the beach. She skidded to a halt in front of me, still catching her breath from the sprint. “This bitch,” she managed.","across a sprint. the toward of still “This off halt beach. pontoon in running me to and She [MASK] was catching her breath the from skidded the she already me, managed. bitch,” front"
['emma'],"Amber was in a flowing white-and-peach chiffon summer dress with a slit up the thigh. Her long brown hair was down, she had on a floppy wide-brimmed hat and huge sunglasses. She was carrying a bottle of champagne in one hand and her sandals in the other, dangling off the tips of her fingers. She was beaming, running toward us across the beach, kicking up sand. “[MASK]!” She laughed.","was sunglasses. sand. running a hand the sandals tips the the in chiffon thigh. she and her a dangling carrying the floppy wide-brimmed She She summer laughed. toward and of up in “[MASK]!” white-and-peach on Her had beaming, brown a slit huge a beach, across hair us down, was with in one off long of flowing dress She other, bottle was champagne up fingers. was Amber kicking hat her"
['emma'],"“[MASK], you won’t believe my day,” she said, looking back at me. “So I wanted to surprise you. I flew all the way over here on a red-eye, got an Uber, and came out to the address you gave me, but when I knocked on the door this handsome man answered instead.”","she you believe “[MASK], to you I handsome said, a this flew out answered came here instead.” wanted day,” I got door you. when at I won’t gave address looking to over man and knocked all on “So the me, surprise red-eye, an Uber, my me. the on back way but the"
['maddy'],“Are you kidding me with this?” [MASK] hissed as soon as they were out of earshot. “She’s here for what? Six hours? And she’s already hypnotized our landlord?”,for And soon this?” hours? already our hypnotized what? were as hissed landlord?” she’s “She’s with as here earshot. they me [MASK] kidding of “Are Six out you
['maddy'],"[MASK] crossed her arms. “What she always does? Show up and leave a path of destruction in her wake? She’s not staying with us,” she said in her end-of-discussion voice.","crossed her “What arms. she in said always end-of-discussion voice. Show a She’s with leave she in us,” her of [MASK] destruction wake? and up staying not her does? path"
['maddy'],[MASK] rolled her eyes in the way that I knew meant she was aware. “Please tell me I don’t have to stay and watch you eat crustaceans with that woman. Let’s just go back to the island and you see her tomorrow or something when she’s done with what’s-his-face.”,tomorrow [MASK] stay crustaceans the knew eat you what’s-his-face.” woman. me have “Please her go watch you I just that and her meant something was don’t way I aware. back with to tell when Let’s the she’s in rolled to or and that eyes done see with she island
['brad'],"“It’s no problem,” he said. “I can stay as late as you need. I can get [MASK] to run over and walk the dog. I don’t mind.”","dog. I as can need. you get [MASK] can said. “It’s stay to late and walk mind.” he no don’t run “I the problem,” I as over"
['maddy'],"I watched him walk to the beach and I let out a long breath. [MASK] was right. This was bad. Mom never left anywhere on good terms. Not jobs, or apartments, or relationships. Especially relationships.","[MASK] Especially and him I relationships. was This anywhere Not watched left was relationships. breath. the apartments, out jobs, beach on a or or long let Mom I terms. right. good bad. walk to never"
['maddy'],I felt relieved the instant he said he would stay with me because it let [MASK] off the hook. She would walk through hell for me—and this cookout was her hell. I was glad she didn’t have to be here. Sometimes her reaction to Mom was more stressful than Mom herself.,didn’t reaction he instant hell. the stay the hook. glad me—and to Sometimes herself. this with relieved walk I was was here. me have Mom stressful felt [MASK] cookout it let to her would more I She than he Mom for would hell be through because her said off she was
['maddy'],"“Thanks.” I looked back at the lake, at [MASK] fading into the distance on the pontoon. “And thanks for pushing her off.”","off.” pushing the pontoon. on the at thanks lake, her I fading the looked [MASK] at into “And distance back for “Thanks.”"
['maddy'],"[MASK] had been right about his height. He was probably about six-one. He was on the leaner side, but toned. I’d had to put sunblock on him and there was not a single part of that that I disliked.","that his right and but single leaner had disliked. I’d He height. He on to [MASK] on six-one. sunblock was put about part probably a that had not I him the side, was there of about been was toned."
['amber'],"“He’ll probably completely forget we even exist,” she mumbled, resting her head on the cushion. “[MASK] has a way of making people do that,” she said tiredly.","resting has people on we completely her “He’ll that,” she exist,” of do she the a head “[MASK] cushion. even making probably forget tiredly. way mumbled, said"
['amber'],"Now I blew out a long breath. “Well, she’s funny. Hardworking. She reads any book she can get her hands on and she remembers everything she reads, even years later. She had me really young. Same age [MASK] had you, actually. She’s a good mom, always shows up for us—school stuff, birthdays. She makes these Italian cookies every Christmas and Easter that make me think of my childhood.”","makes I can Now She years long birthdays. Same her Christmas these she’s reads, really blew actually. good of funny. me book she Hardworking. [MASK] always make she Easter Italian you, childhood.” young. “Well, cookies had shows me stuff, remembers that everything reads on my think hands breath. any mom, age up and she a She’s and get later. She even She for out a every us—school had"
['maddy'],"When I got back to the cottage an hour later, [MASK] was in the screened-in porch, reading. She wore shorts and flip-flops, and she was drinking a beer. She set down her book when I came in.","the and flip-flops, I was came the hour beer. [MASK] got in cottage set screened-in drinking shorts in. a porch, book back wore I When later, when She to was her an She and she down reading."
['amber'],"“Yup. The things you cared about. The stuff you’d take in a fire, or if [MASK] showed up to get you. You never once unpacked. Not really.”","unpacked. get cared The or really.” if [MASK] you up showed a to in Not you’d never you. You things stuff fire, The once take “Yup. about."
['brad'],[MASK] ate the rest of his sandwich. “Sure. That place is cool. So what does she think of you taking the kids in a few weeks?”,the [MASK] you kids place of she That think what is cool. rest weeks?” sandwich. “Sure. of So ate in his does the few a taking
['brad'],[MASK] let the silence stretch out between us. It was useless arguing about this. Nothing he said would change how I felt. I could not forgive her for this. I didn’t want to spend more time with her or pretend like any of this was okay.,felt. okay. this. or like this stretch out I this. with I could arguing Nothing the I about would want was useless any was let for to her pretend not between change how more didn’t It of he silence us. forgive time said her [MASK] spend
['maddy'],"I swear to God, I smell like rust,” [MASK] whispered, sniffing her arm. “Do I smell like rust? That water at the cottage is so gross.”","is at rust,” rust? God, so like [MASK] her whispered, to I gross.” arm. water That I the sniffing cottage smell “Do I smell like swear"
