en_first_half,en_second_half,en_word_count,en_results_raw
"She said, “The thing to do is focus on what makes you feel good about yourself, like school and soccer. You have your new friend Jack. You can remind","yourself, ‘Autumn is where she wants to be right now, and that’s okay. I’m still great, and I’ll be around if she needs me.’ Hmm?” She squeezed my foot again.",59,"She said, “The thing to do is focus on what makes you feel good about yourself, like school and soccer. You have your new friend Jack. You can remind yourself of your achievements, no matter how small they may seem. It’s important to celebrate these moments because they build your confidence. Don’t hesitate to reach out to Jack or any other friend when you need support. Remember, you are capable of overcoming challenges, and each step forward is a victory. Keep pushing yourself to explore new interests and hobbies. Your journey is unique, and it’s okay to take your time. Stay positive and believe in yourself.”"
"It made sense, because it wasn’t that different from what I had thought before, though I had overshot the goal. I needed to get cooler. Soccer",was the best path forward to looking more manly. I’d show Autumn that I wasn’t a loser without friends; Jack and I would make more friends somehow.,53,"Soccer has always been more than just a game for me; it's a way of life. The heat of the pitch, the roar of the crowd, and the thrill of each pass remind me why I love it so much. Despite overshooting my target, I realized that sometimes, it's not about reaching the end but enjoying the journey. Maybe I just needed to focus on the next play, the next goal, and the next moment of pure joy that soccer brings."
"Jack and I had worried one of us might not make it on the junior varsity team. When the lists were posted,","I searched for my name on the JV list and was devastated to not see it. Still, I was happy for Jack.",44,"Jack and I stood side by side, both of us named. We high-fived, a mix of relief and excitement coursing through us. The coach congratulated us, and we couldn't believe our eyes. It was a moment of pure joy, a testament to all the hours of practice and dedication. We knew this was just the beginning, and the journey ahead promised to be filled with challenges and triumphs. This experience would shape us, teaching us the value of teamwork and perseverance. We couldn't wait to see what the future held for us on the team."
"Jack told me later that my ability to brush off the snarky comment from that junior, my new teammate,",made me seem cool. There had been chuckles of appreciation according to him. I wasn’t sure about that though.,38,"Jack told me later that my ability to brush off the snarky comment from that junior, my new teammate, was something he admired. He said it showed maturity and a certain level of confidence that I hadn't expected from our first interactions. It was a small moment, but it highlighted the importance of not letting others' negativity affect your performance and attitude at work."
"The varsity soccer team practiced on the north field, near the student parking lots. The junior varsity team practiced on the south field, closer to the circular drive where parents dropped off and picked","up kids. Even though Jack and I were on different teams, our schedules were still the same, and my mom would drive us to and from practice every day for those last weeks of summer.",69,"The junior varsity team practiced on the south field, closer to the circular drive where parents dropped off and picked up their children. The atmosphere was always lively, with the sound of laughter and the occasional whistle from the coaches. Despite the differences in skill levels, both teams shared a common goal: to improve and represent the school with pride. After practice, the players would gather for a quick snack before heading back to their dorms or apartments. The camaraderie among teammates was evident, and many friendships had been forged on those fields over the years. The coaches were always there, offering words of encouragement and advice, ensuring that every player felt valued and supported."
"At the end of the first practice, my teammates all walked to their cars. One guy asked me if I needed a ride, which was nice, but I told him",I was all set and walked across campus to where Jack would be waiting for me. I was excited to tell him that practice hadn’t been as hard as I thought.,61,"that I was fine walking home. We exchanged numbers, though, and I felt a bit more connected to the team. The next practice was scheduled for the following week, and I was excited to improve. As I walked, I thought about the skills I needed to work on and the strategies I could use. I decided to watch some videos of professional players to get some inspiration. My phone buzzed with a text from my new teammate, inviting me to join them for dinner. I accepted, and we planned to meet at a local pizza place. This was shaping up to be an interesting season, and I couldn't wait to see how it all unfolded."
"We all joined Jack on the low wall, waiting to get picked up. We didn’t talk that much, but the next day, as I trudged from the north field to","the south, I saw the girls by the gym door again. It was only as I approached and saw them watching me that I figured out they were waiting for me.",61,"We found ourselves walking in silence, the weight of the previous day's events pressing down on us. The sun was just beginning to dip below the horizon, casting long shadows across the uneven ground. Jack broke the silence first, pointing towards the distant silhouette of the school building. ""We should probably head back,"" he said, his voice barely above a whisper. The walk back was filled with the sound of our footsteps crunching on the gravel path, each step echoing in the stillness of the evening. As we approached the familiar gates, I couldn't help but feel a sense of relief mixed with a lingering unease. The next day, I found myself replaying the events of the previous night in my mind, wondering what it all meant and if I had done the right thing."
"What if, this morning, she woke up in the tent before I thought? What if she woke up as I lifted my arm off her, then lay there wondering why I had been","touching her, why I was still lying close to her and not speaking? If that was the case, she would have—or could have—heard me say many, many, incriminating things to Jack outside the tent.",67,"She lay there, her heart pounding, trying to piece together the moments that had just passed. Had I been dreaming, or was there something more to our connection? The tent was silent, save for the soft rustling of the wind outside. She considered reaching out to touch me, to confirm if I was still there, but something held her back. The morning light seeped through the fabric, casting a golden hue over the tent. She knew she should get up, start the day, but the weight of the moment lingered, making it hard to move. What if this wasn't just a fleeting moment of intimacy but something deeper? She sighed, her mind racing with possibilities, unsure of how to navigate the unspoken emotions that now filled the space between them."
"It strikes me how backward my plan sounds: give up a girl who adores me, who I love well enough, to be a disciple for a different girl who will","never fall for me. Jack has always said I’m irrational when it comes to Autumn, and maybe I should have taken him more seriously, because he was right earlier today.",60,"I fear will not reciprocate my feelings. This decision feels like a betrayal, but I believe true love is about making sacrifices for the greater good. It's a difficult path, but one I must tread for her happiness. I hope she understands my reasoning and finds the peace I cannot offer her. This journey will test my resolve, but I am committed to seeing it through, no matter the cost. It's a choice that weighs heavily on my heart, but I trust that the right decision is the hardest one to make."
“I already know why you did it.” She doesn’t have to explain that part. I know she’s never wanted me like that. I don’t need to hear her,say it. “I just want to know why you had to be so cruel about it.” It’s time to face what Jack has been telling me all these years.,57,"She sighs, a heavy breath that seems to carry the weight of all the unspoken words between us. ""But I need you to understand, it wasn't about you. It was never about you. I just... I needed a way out."" Her voice cracks, and for a moment, I see the vulnerability in her eyes that I've never seen before. It's as if the walls she's built around herself are crumbling, and I'm left wondering how I could have missed this. ""I'm sorry,"" she whispers, and it's the first time I've ever heard her truly apologize."
But Autumn’s getting upset. She sits up and pulls the covers,around her protectively. She frowns at me. The birds are still singing.,23,"She pulls the covers tighter around herself, her eyes scanning the room as if the source of her unease might be lurking in the shadows. Autumn's mind races with thoughts of what could have caused this sudden disturbance, wondering if it's just a fleeting fear or something more sinister."
"“It just felt so nice not to be the weird girl anymore,”",Autumn says. “I liked being popular. We did kinda grow apart that year.”,25,"She thought, finally fitting in brought an unexpected wave of relief, but she couldn't shake the feeling that something was still missing. It wasn't until later that she realized true acceptance comes from within, not from external validation."
“I don’t like him.” I shrugged. “I told you before: Autumn’s an old friend from when we were kids. Sucks that she,"likes such a show-off.” I shrugged again. Up ahead, Autumn and her friends were waiting at the crosswalk for the light to change.",45,"She moved to the city a few years ago, and we lost touch. Now, seeing her again, I can't help but feel a mix of nostalgia and discomfort. There's something about her that feels off, like the autumn leaves that rustle in the wind, whispering secrets only the trees know. I try to shake off the unease, reminding myself that old friends can change, but the knot in my stomach remains. Maybe it's just the chill of the season catching up with me, or maybe there's more to it than meets the eye."
My face must change because she smiles and clambers into my lap. We wrap our arms around each other and settle in.,"After a moment, she says, “You know, I never thought this would happen either. When Jack told me—” and then she stops.",44,"Her laughter is infectious, and soon we're both giggling like schoolchildren. The world outside fades away as we lose ourselves in the moment. Time seems to stand still, and for a brief second, nothing else matters. This is the kind of connection that transcends words, a silent understanding that speaks volumes. Moments like these are precious, and I cherish them deeply, knowing they don't come often."
"“Sorry,” I say. “I was trying to decide whether I should kill Jack for telling you I was",into you or if I should kill him for telling you that I wasn’t into you. Tough call.”,36,"""I was trying to decide whether I should kill Jack for telling you I was a liar, or if I should just let you believe the lie and walk away. The truth is, I don't know what to do. All I know is that Jack's words have shaken my resolve, and now I'm torn between my anger and my need to protect you from the truth."""
"“Yeah,” I admit. Jack was protecting me, but there’s no way he believed that I was over Autumn. I’m wondering now though. “What would","you have done if he’d told you the truth, that I was”—I try to remember how Jack put it before—“bonkers in love with you?”",48,"“What would Jack do if he found out the truth?” I ask myself, my mind racing through the possibilities. Could he still protect me if he knew how deeply I still cared for Autumn? Or would he turn his back on me, seeing me for the broken person I am? These questions swirl in my head, each one more painful than the last. I need to find answers, but I’m afraid of what I might discover. Maybe it’s time to confront Jack and finally get some clarity, even if it means risking our friendship."
"“I think my mother has a special bottle of champagne hidden away for just this occasion,” I say. I’m only partially joking. Mom has labeled some of her alcohol, like","for when George W. Bush leaves office and stuff. One expensive one said, “Finny-Autumn Day or NYE 2010.” At the time, I was glad she’d made alternative plans for it.",60,"I’ve seen her take a bottle of wine out of the back of the fridge and place it in the pantry, where it’s kept cool but hidden from view. She’s always been a bit of a secret keeper, so it wouldn’t surprise me if she has a special bottle tucked away. I wonder what occasion could be so significant that it warrants a bottle of champagne. Maybe it’s for a long-lost friend or a family secret she’s been holding onto for years. Either way, I’m curious to see what she has planned. I’ll have to wait and see if the bottle makes an appearance tonight."
"“Everything,” she says, which can’t be true. I didn’t even know everything",until last night. And Jack wouldn’t have called her before I arrived.,24,"“Everything,” she says, which can’t be true. I didn’t even know everything about her past, and yet, here I am, trying to understand. There are secrets, always secrets, and I’m not sure I’m ready to uncover them all."
"“Syl,” I start, but I don’t know where to begin. I stay","on the highway, passing all the exits that could take us home.",24,"I take a deep breath, gathering my thoughts, realizing that this conversation has been brewing for far too long and that avoiding it won't make it go away. ""Syl,"" I begin again, this time more confidently, ""we need to talk about what happened."" The silence that follows feels heavier than the words I'm about to say, and I brace myself for whatever comes next."
"“Syl,” I say as I drive toward her house, speeding up a bit. “Don’t be ridiculous.",I’ve been enough of a bastard already. I’m not letting you walk home in the rain.”,32,"""I know you’ve been through a lot, but this is just... I mean, we need to talk about it calmly, okay?"" I say, trying to keep my voice steady despite the growing unease in my chest."
"“Lexy,” I say. It’s too fucking early for her to call. It doesn’t matter if we’re sleeping","together again. “Stop being a drama queen,” I groan into the phone and roll over in bed.",34,"Lexy ignores my groggy plea for her to stop. ""I need you,"" she whispers, her voice barely above a murmur, yet it cuts through the haze of my sleep like a knife. I groan, rolling over, but she's already left the bed, the soft rustle of her clothes the only sound as she heads out the door. ""Lexy, wait,"" I call after her, but she's gone, leaving me alone in the quiet, the weight of her absence settling heavily on my chest."
I’m still standing in Finn’s yard staring at the grass he’ll never mow again.,"I don’t know how long it’s been when a woman’s voice says, “Jack, right?”",28,"I find myself lost in thoughts of the quiet that now fills his space, a silence that speaks louder than any words could. The sun casts long shadows, and I wonder if he ever saw them like this, knowing he wouldn't be here to tend to it anymore. Every blade seems to carry a memory, a part of him that remains even in absence."
"“The arrangements still have to be made, but I’m sure we’ll see","you at the wake, Jack,” she says before going inside. “Thanks again.”",24,"that everything will fall into place. The team is working diligently, and I have every confidence in their ability to deliver a successful outcome. We just need to iron out a few details, but I’m optimistic about the future of this project."
"There’s an odd aura around us as we approach. I feel so young, like I’m being escorted into kindergarten, and I’m resentful and grateful all over again. My parents shoulder themselves on either side of me, and I can tell all their focus","is on me. They don’t speak, but it’s strange: the closer we get to the horrible box, to the grinning photograph of my friend that sits on top, it’s like I can feel my parents saying to me, See, Jack? This is death.",86,"My parents shoulder themselves on either side of me, and I can tell all their focus is on keeping me steady, as if the world outside is too much for me to handle alone. Their hands are warm on my shoulders, grounding me, yet I can feel the weight of expectations pressing down on us. I want to break free, to prove I can navigate this on my own, but the truth is, I need them more than ever. This moment feels both terrifying and exhilarating, like stepping into the unknown, yet knowing I’m not truly alone. The air around us seems to hum with a quiet energy, as if the universe itself is holding its breath, waiting to see what happens next. And in that moment, I realize that perhaps this is exactly where I’m meant to be, surrounded by love and support, even if it feels like I’m being held back from something bigger."
"“You don’t have to pretend that we were more than friends of convenience,",Jack. I’m tired of people pretending to care more about me than they do.”,27,"It’s time we both faced the truth—that there was always more between us than just casual acquaintance, no matter how much we tried to deny it."
"“Uh-huh.” I take a gulp of coffee, which hasn’t quite cooled and burns down my throat. “So my guess is that’s what Sylv","said to you, and then you pushed back, because of course you did, and that’s when she said what you said to me, huh?”",47,"“Uh-huh.” I take a gulp of coffee, which hasn’t quite cooled and burns down my throat. “So my guess is that’s what Sylv meant by saying we need to be more cautious. There’s something not right about this situation, and I don’t like it. We should probably check in with the others and see if they’ve noticed anything amiss too. Better safe than sorry, right?” I muse, hoping the warmth of the coffee brings some comfort amidst the growing unease."
"“Hey,” I say as I approach, careful to stand back so that it’s obvious I’m not trying to","cut in line for the keg. Maybe he’s in his own head, but Trevor blanches for a moment.",36,"""Hey,"" I say as I approach, careful to stand back so that it's obvious I'm not trying to intrude. She turns slowly, her eyes widening slightly before a smile tugs at the corners of her lips. ""Oh, it's you,"" she says, her voice a mix of surprise and amusement. ""I didn't hear you come in."" We stand there for a moment, the silence between us thick with unspoken words, until finally, she breaks it with a light laugh. ""Well, hello there,"" she says, extending her hand. ""Long time no see."""
"That’s the kind of high school memory I want to live in tonight, so even though I have no idea what Chloe","was saying about me to her friend, I head over. A few of the girls rush off, but one of her friends stays.",45,"That’s the kind of high school memory I want to live in tonight, so even though I have no idea what Chloe's plans are, I decide to surprise her at her favorite café. The night feels like a nostalgic flashback, filled with the scent of coffee and the soft hum of conversation. We laugh about the silly things we used to do, and I realize how much I miss those carefree days. Chloe’s smile is brighter than ever, and I can’t help but feel grateful for these moments. It’s a reminder that sometimes, the best memories are the ones we create, no matter how much time has passed."
"After the words are out of my mouth, I try to turn them into a joke with a laugh, but that",makes it worse. Chloe’s and her friend’s faces go through a strobe light sequence of reactions before settling back to pity.,42,"After the words are out of my mouth, I try to turn them into a joke with a laugh, but that only makes the situation more awkward. People start avoiding eye contact, and I realize my attempt at humor fell flat. I quickly change the subject, hoping to salvage the conversation, but the tension lingers. In moments like these, I wish I could just say the right thing the first time, without having to rely on jokes to save the day."
“You know? How you showed up at soccer practice like that?” Chloe touches my arm in a,"way that I used to think meant a girl was flirting, but now I’m not so sure.",34,"Chloe touches my arm in a way that feels both comforting and slightly awkward, as if she's trying to convey something more than just a casual gesture. I glance at her, noticing the intensity in her eyes, and for a moment, I wonder what she's really trying to say. It's not often that Chloe gets this serious, and I find myself holding my breath, waiting for her to speak."
"I think my dad calls it an Irish goodbye when you don’t tell anyone you are leaving, and that’s what I’m","trying to do, but halfway to my car, I hear Kyle call my name. I turn, and he jogs up to me.",43,"I'm about to do. It's that moment when you quietly gather your things, give a wave, and slip out the door, leaving everyone wondering where you went. It's become a family joke, but I can't help feeling a bit guilty each time I do it. Maybe I should start saying goodbye, even if it's just a quick text or a note. After all, it's not nice to leave people in the dark, especially when they care about you."
"“It’s okay, Kyle.” Because it kind of is. I’m glad that no one hates me, but I’m also glad that the guys on",the team aren’t friends I should be concerned about losing. I clap Kyle on the shoulder. “Thanks for the invite. Good luck in Cali.”,47,"It’s okay, Kyle.” Because it kind of is. I’m glad that no one hates me, but I’m also glad that the guys on the team aren’t too distant either. It’s a fine line, maintaining friendships while keeping space, and I think we’ve found a good balance. Laughter and genuine moments are what matter, and I’m grateful for the camaraderie we’ve built. Sometimes, it’s the small things that make all the difference, and I’m thankful for the support I receive from everyone."
"The next morning, I tell my parents about catching up with Kyle and the guys on the","team, how it was nice to see everyone but how I’m starting to get more excited about college.",35,"The next morning, I tell my parents about catching up with Kyle and the guys on the weekend. They were excited to hear about the plans, but my mom reminded me to be careful when meeting up with friends late at night. I assured her that I would be safe and promised to keep my phone charged. We then discussed the possibility of joining a local sports team, which seemed to interest everyone. After breakfast, we decided to look into different options together."
"“Well, if we don’t see you again, have a good semester!” Mrs. Carter says.",The tears in her eyes glitter. “Let us know if you ever need anything!”,28,"“Thanks, Mrs. Carter!” I reply with a smile. As I walk away, I can’t help but feel a sense of gratitude for her warmth. It’s those small gestures that make a big difference in our academic journey."
I give it enough time that Brett’s parents would have to be seriously unreasonable to still,be hanging around. My fingers and toes are wrinkled raisins by the time I get out.,32,"I give it enough time that Brett’s parents would have to be seriously unreasonable to still insist on their original decision, given the circumstances and the passage of days."
"It’s only nine o’clock, but I hope this Brett guy is asleep. When I get to","the room, I decide he may as well be asleep, because he’s reading the new student manual.",33,"I reach his apartment, and sure enough, his lights are off. I quietly slip inside, hoping not to wake him. The living room is dark, and I make my way to the bedroom, gently nudging the door open. There he lies, sound asleep, his breathing steady and deep. I stand there for a moment, watching him, feeling a mix of relief and something else I can't quite name."
Brett keeps a picture of himself in a frame on his desk. It’s one of those,"dopey baseball card pics, and he looks about fourteen or so. Must have been a stellar season.",33,"Brett keeps a picture of himself in a frame on his desk. It’s one of those candid shots taken during a casual outing, capturing a moment of genuine happiness. Brett often finds himself gazing at it, reminiscing about the good times. He cherishes this image not just for its beauty but also for the memories it holds. It serves as a constant reminder of simpler times and the people he holds dear. Sometimes, when he feels overwhelmed, he looks at it and finds peace. Brett believes that having a physical reminder of his best moments helps him stay grounded and focused on what truly matters in life."
"So that first Saturday at college, I leave Brett, the middle school baseball star, sleeping on his side of the room",and head to the dining hall. I scarf half a bagel and some juice and head out to scout my new route.,43,"So that first Saturday at college, I leave Brett, the middle school baseball star, sleeping on his side of the room. I quietly slip out, leaving him unaware of my early morning plans. The campus is still quiet, the sun just beginning to rise, casting a golden hue over the dormitory. I head to the library, eager to catch up on some overdue reading. Little did I know, this would be the start of many early mornings spent balancing academics and newfound friendships."
"Which I don’t think I’m going to have to worry about today. All week, people have been handing me flyers for various official and unofficial welcome parties that took",place last night. Brett woke me up when he stumbled home close to dawn. It seems likely he went rather than fell asleep watching TV in the common room.,58,"Which I don’t think I’m going to have to worry about today. All week, people have been handing me flyers for various official and unofficial welcome parties that took place around campus. I’ve always found it amusing how everyone seems to think that attending one of these parties will instantly make them part of the in-crowd. In reality, it’s just a way for people to meet new faces and make connections. I prefer to focus on my studies, but I can’t deny that these events do bring a lot of energy to the place. Maybe next week, I’ll consider attending one, just to see what all the fuss is about."
"Sometimes I see Brett the boring on campus at the Frisbee golf games or outdoor painting workshops, so I guess he’s branched out from dorm activities. He has","remained a mystery I do not want to solve, though it still bothers me that he feels the same about me, since he never gave me a chance.",56,"Sometimes I see Brett the boring on campus at the Frisbee golf games or outdoor painting workshops, so I guess he’s branched out from dorm activities. He has developed a surprising interest in these more laid-back settings, where he can unwind and meet new people. Despite his initial reputation, Brett has shown a knack for connecting with others through shared activities. His involvement in these events has made him more approachable and has helped him build a diverse network of friends across campus."
"“Met a guy from Taiwan last night. He seemed cool.” I’d met him in the elevator. He liked my Zelda shirt, and","we’d talked for about twenty seconds before we got off and walked to opposite ends of the floor, but it still counts.",44,"He asked me about my collection of vintage video games, and we ended up chatting for a while. It turned out he was a huge fan of retro gaming himself and had some amazing stories to share. We exchanged numbers and promised to meet up again soon. It was one of those rare moments where you meet someone who just gets you, you know?"
"As I get off the elevator, it occurs to me that Brett will probably be in our room and not expecting me. My","schedule has been pretty exact these past weeks. If he’s jerking off, he’d at least lock the door. And since the knob turns—",46,"My heart starts racing with a mix of excitement and nervousness. I wonder if she'll be surprised to see me or if she's already planning something. The door is slightly ajar, and I can hear soft music playing inside. Taking a deep breath, I push the door open and find Brett sitting on the bed, a smile spreading across her face as she looks up at me."
"Brett tries to play it off like he’s been reading the textbook on his lap,",but the framed picture he’d been holding clatters as he sets it back on the desk.,31,"Brett tries to play it off like he’s been reading the textbook on his lap, but his classmates can see right through his act, knowing full well that his mind is elsewhere, probably daydreaming about something entirely unrelated to the subject at hand."
"“You won’t,” Brett says. He looks directly at me from across the table,","his food forgotten. He’s so certain. “You won’t forget. You’ll never forget,” he says.",27,"He speaks with a confidence that catches me off guard, and I find myself searching for the right words to respond, realizing that this conversation is far more complex than I initially thought."
"“She tried to kill herself. She survived, but she’s in the hospital.” She sighs. “Taylor",told me. I don’t even know how she found out. She thought I’d be happy.”,30,"Taylor looks exhausted, her eyes red from crying. The doctor said it was a close call, but she’s stable now. We need to be there for her, support her through this tough time. I just wish I could have prevented this from happening."
