line_no,Ent,en,vi,tr,es
17,,“How so?,- Hay như thế nào?,"""Nasıl yani?",––¿Y qué?
18,,how can it affect them?”,Chuyện ấy thì có gì liên quan đến mấy đứa con gái nhà ta?,Kızlarımızla ne ilgisi var?,¿En qué puede afectarles?
19,,"“My dear mr Bennet,” replied his wife, “how can you be so tiresome?",- Ông ơi! Ông phải hiểu là tôi đang nghĩ đến việc anh ta sẽ cưới một trong mấy đứa nhà ta chứ.,"""İlahi Mr Bennet,"" diye cevapladı karısı, ""nasıl bu kadar yorucu olabiliyorsun!","––Mi querido señor Bennet ––contestó su esposa––, ¿cómo puedes ser tan ingenuo?"
20,,You must know that I am thinking of his marrying one of them.”,- Ông ơi! Ông phải hiểu là tôi đang nghĩ đến việc anh ta sẽ cưới một trong mấy đứa nhà ta chứ.,Kızlardan birini onunla evlendirmeyi düşündüğümü anlamış olmalısın.,Debes saber que estoy pensando en casarlo con una de ellas.
21,,“Is that his design in settling here?”,- Thế anh chàng ấy có ý định như thế khi đến đây à,"""Buraya bu amaçla mı gelmiş?",––¿Es ese el motivo que le ha traído?
24,,"But it is very likely that he may fall in love with one of them, and therefore you must visit him as soon as he comes.”","- Ý định? Làm sao ông có thể nói càn như thế? Chỉ có điều rằng anh ấy có thể yêu một trong các con ta, vì thế ông phải đi viếng thăm anh ta càng sớm càng tốt.",Kızlardan birine aşık olması çok mümkün; o yüzden gelir gelmez onu ziyaret etmelisin.,"Es muy posible que se enamore de una de ellas, y por eso debes ir a visitarlo tan pronto como llegue."
25,,“I see no occasion for that.,- Tôi chẳng thấy có cơ hội nào cả.,"""Bunun için bir sebep yok.",––No veo la razón para ello.
26,"['bingley', 'mr bingley']","You and the girls may go—or you may send them by themselves, which perhaps will be still better; for as you are as handsome as any of them, mr Bingley might like you the best of the party.”","Bà và mấy đứa có thể đi, hay là để mấy đứa tự đi, như vậy có thể tốt hơn. Vì bà còn đẹp hơn chúng nó, tôi e rằng anh Bingley lại mến bà hơn.","Sen kızlarla gidebilirsin, ya da onları kendi başlarına gönderebilirsin, hatta bu belki daha iyi olur, çünkü güzellikte onlardan aşağı kalır yanın olmadığı için Mr Bingley aradan seni seçebilir.","Puedes ir tú con las muchachas o mandarlas a ellas solas, que tal vez sea mejor; como tú eres tan guapa como cualquiera de ellas, a lo mejor el señor Bingley te prefiere a ti."
27,,"“My dear, you flatter me.","- Thôi ông ơi, ông lại tâng bốc tôi rồi.","""İltifat ediyorsun, şekerim.","––Querido, me adulas."
28,,"I certainly have had my share of beauty, but I do not pretend to be anything extraordinary now.","Chắc chắn tôi đã từng có thời xuân sắc, nhưng bây giờ tôi không thể coi mình là đặc biệt.","Ben de güzellikten payımı almışım elbette, ama artık kendimi bir şey sanacak halim yok.","Es verdad que en un tiempo no estuve nada mal, pero ahora no puedo pretender ser nada fuera de lo común."
29,,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”",Khi một người đàn bà đã có năm đứa con gái trưởng thành thì không nên nghĩ đến sắc đẹp của mình nữa.,Beş kız büyütmüş bir kadın kendi güzelliğini düşünmekten vazgeçmelidir.,"Cuando una mujer tiene cinco hijas creciditas, debe dejar de pensar en su propia belleza."
30,,"“In such cases, a woman has not often much beauty to think of.”","- Ờ, chỉ khi nào người đàn bà ấy không có sắc đẹp gì đáng để nghĩ đến.","""O durumda düşünecek bir güzelliği olmaz zaten.","––En tales casos, a la mayoría de las mujeres no les queda mucha belleza en qué pensar."
31,"['bingley', 'mr bingley']","“But, my dear, you must indeed go and see mr Bingley when he comes into the neighbourhood.”","- Nhưng mà này, ông đi gặp cậu Bingley ngay khi anh ta đến đây nhé.","""Şekerim, taşındığı zaman gerçekten gidip Mr Bingley'yi görmelisin.","––Bueno, querido, de verdad, tienes que ir a visitar al señor Bingley en cuanto se instale en el vecindario."
33,,“But consider your daughters.,Bà biết đấy… - Nhưng mà ông phải nghỉ đến mấy đứa con.,"""Ama kızlarını düşün.",––Pero piensa en tus hijas.
34,,Only think what an establishment it would be for one of them.,Chỉ cần nghĩ một trong chúng sẽ đạt được những gì. Ngài William và phu nhân Lucas cũng nhất quyết đi chỉ vì mục đích ấy.,"Bak, kızlar için ne büyük bir kısmet.",Date cuenta del partido que sería para una de ellas.
35,,"Sir William and Lady Lucas are determined to go, merely on that account; for in general, you know, they visit no new comers.",Chỉ cần nghĩ một trong chúng sẽ đạt được những gì. Ngài William và phu nhân Lucas cũng nhất quyết đi chỉ vì mục đích ấy. Ông hẳn biết họ thường không thích thăm viếng người mới đến.,"Sir William'la Lady Lucas gitmeye kararlılar, hem de sadece bu yüzden, çünkü bilirsin onlar genelde yeni gelenleri ziyaret etmezler.","Sir Willam y lady Lucas están decididos a ir, y sólo con ese propósito. Ya sabes que normalmente no visitan a los nuevos vecinos."
36,,"Indeed you must go, for it will be impossible for us to visit him, if you do not.”","Thật ra ông phải đi, nếu không mấy mẹ con tôi không có lý do nào đến nếu như ông không đi.","Gerçekten gitmelisin, çünkü sen gitmezsen bizim gitmemiz de imkansız olur.","De veras, debes ir, porque para nosotras será imposible visitarlo si tú no lo haces."
37,,"“You are over scrupulous, surely.",- Bà thật là cẩn thận quá đáng.,"""Sen de çok ince hesap yapıyorsun.",––Eres demasiado comedida.
38,,I dare say mr Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls—though I must throw in a good word for my little Lizzy.”,"Tôi tin chắc rằng anh Bingley sẽ lấy làm vui lòng khi gặp bà, còn tôi sẽ gửi bà mang đi ít dòng để cho anh ta hiểu rằng tôi sẵn lòng chấp nhận, nếu anh ta chọn một trong mấy đứa con gái của mình, mặc dù tôi sẽ có ít chữ đề cao con Lizzy.",Eminim Mr Bingley sizi gördüğüne çok sevinecek; ben de birkaç satır yazar seninle gönderirim kızların hangisini seçerse seçsin razıyım diye; ama tabii küçük Lizzy'm için güzel bir şeyler eklemem lazım.,Estoy seguro de que el señor Bingley se alegrará mucho de veros; y tú le llevarás unas líneas de mi parte para asegurarle que cuenta con mi más sincero consentimiento para que contraiga matrimonio con una de ellas; aunque pondré alguna palabra en favor de mi pequeña Lizzy.
39,,“I desire you will do no such thing.,- Tôi mong rằng ông không làm như thế.,"""Umarım öyle bir şey yapmazsın.",––Me niego a que hagas tal cosa.
40,,"Lizzy is not a bit better than the others: and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia.","Lizzy không có gi hơn những đứa kia cả, và tôi thấy nó không đẹp bằng nửa Jane, không tươi tắn bằng nửa Lydia, nhưng ông vẫn luôn thương nó hơn cả!","Lizzy ötekilerden bir nebze bile üstün değil; hatta ne Jane'in yarısı kadar güzel, ne de Lydia'nın yarısı kadar iyi huylu.","Lizzy no es en nada mejor que las otras, no es ni la mitad de guapa que Jane, ni la mitad de alegre que Lydia."
43,"['mr bennet', 'señor bennet', 'ông benne', 'bennet']","“mr Bennet, how can you abuse your own children in such a way?","- Ông Bennet, làm thế nào mà ông lại có thể sỉ nhục con cái như thế ?","""Mr Bennet, kendi çocuklarını nasıl böyle aşağılayabiliyorsun?",––¡Señor Bennet! ¿Cómo puedes hablar así de tus hijas?
44,,You take delight in vexing me.,Ông cứ trêu cho tôi bực mình để làm vui thôi.,Canımı sıkmaktan zevk alıyorsun.,Te encanta disgustarme.
45,,You have no compassion on my poor nerves.”,Ông không thông cảm cho thần kinh nhạy cảm của tôi tí nào cả!,Zavallı sinirlerime hiç acıman yok.,No tienes compasión de mis pobres nervios.
46,,"“You mistake me, my dear.",- Bà nhầm rồi.,"""Beni yanlış anladın, hayatım.","––Te equivocas, querida."
47,,I have a high respect for your nerves.,Tôi rất tôn trọng thần kinh của bà.,Sinirlerine büyük saygım var.,Les tengo mucho respeto a tus nervios.
48,,They are my old friends.,Tôi rất tôn trọng thần kinh của bà.,Sinirlerin benim eski dostum.,Son viejos amigos míos.
49,,I have heard you mention them with consideration these twenty years at least.”,Ít nhất là trong hai mươi năm qua tôi đã nghe bà nói nhiều về thần kinh của bà đấy thôi.,En az yirmi yıldır ısrarla sinirlerinden bahsetmeni dinliyorum.,Hace por lo menos veinte años que te oigo mencionarlos con mucha consideración.
50,,"“Ah, you do not know what I suffer.”",- Hừ! Ông không thể biết tôi đã chịu khổ sở thế nào…,"""Neler çektiğimi nereden bileceksin.",––¡No sabes cuánto sufro!
51,,"“But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.”","- Nhưng tôi mong bà sẽ sớm vượt qua, và tiếp tục sống để thấy nhiều thanh niên có bốn nghìn bảng mỗi năm đến cư ngụ ở vùng này.","""Sen atlatırsın, daha uzun yıllar yaşar, yılda dört bin kazanan bir sürü gencin buralara geldiğini görürsün.",––Pero te pondrás bien y vivirás para ver venir a este lugar a muchos jóvenes de esos de cuatro mil libras al año.
52,,"“It will be no use to us, if twenty such should come, since you will not visit them.”",- Nếu có hai chục người như thế đến đây nhưng ông không chịu gặp gỡ họ thì cũng vô ích thôi.,"""Sen ziyaret etmedikten sonra yirmi tane de gelse bize faydası olmaz.",––No serviría de nada si viniesen esos veinte jóvenes y no fueras a visitarlos.
53,,"“Depend upon it, my dear, that when there are twenty, I will visit them all.”",- Khi nào có đủ hai mươi người thì tôi sẽ đi gặp tất cả.,"""İçin rahat olsun, hayatım, yirmi tane olursa hepsini ziyaret ederim.","––Si depende de eso, querida, en cuanto estén aquí los veinte, los visitaré a todos."
54,"['mr bennet', 'señor bennet', 'bennet']","mr Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character.","Cá tính của ông Bennet là sự pha trộn giữa láu lình, trào phúng châm biếm, dè dặt, và thất thường, đến nỗi mấy chục năm sống chung vẫn không đủ cho bà vợ hiểu nổi ông.","Mr Bennet öylesine tuhaf bir hazırcevaplık, ince alaycılık, soğukluk ve bencillik karışımı bir adamdı ki yirmi üç yıllık deneyim karısının onun karakterini anlamasına yetmemişti.","El señor Bennet era una mezcla tan rara entre ocurrente, sarcástico, reservado y caprichoso, que la experiencia de veintitrés años no habían sido suficientes para que su esposa entendiese su carácter."
56,,"She was a woman of mean understanding, little information, and uncertain temper.","Bà có tính cảm thông hẹp hòi, kiến thức nghèo nàn, và tính khí vô chừng.","Anlayışı kıt, eğitimi düşük, tepkileri kestirilemez bir kadındı.","Sin embargo, el de ella era menos difícil, era una mujer de poca inteligencia, más bien inculta y de temperamento desigual."
57,,"When she was discontented, she fancied herself nervous.","Khi không được như ý, bà tưởng như mình bị lo lắng.",Mutsuz olduğu zaman sinirleri bozuldu sanırdı.,"Sin embargo, el de ella era menos difícil, era una mujer de poca inteligencia, más bien inculta y de temperamento desigual."
58,,The business of her life was to get her daughters married: its solace was visiting and news.,Cả đời bà chỉ lo mỗi việc là kiếm chồng cho năm cô con gái. Việc thăm viếng và trao đổi chuyện phiếm là cách khuây khỏa của bà.,Hayatta bütün derdi kızlarını evlendirmekti; tesellisi ise ziyaretler ve haberlerdi.,"Su meta en la vida era casar a sus hijas; su consuelo, las visitas y el cotilleo."
60,,CHAPTER II.,www. dtv-ebook. com Chương 2,Bölüm II,CAPÍTULO II
61,,mr BENNET was among the earliest of those who waited on mr Bingley.,Ông Bennet là một trong số những người đi thăm viếng Bingley sớm nhất.,Mr Bennet Mr Bingley'ye ilk uğrayanlardan biri oldu.,El señor Bennet fue uno de los primeros en presentar sus respetos al señor Bingley.
62,,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it.","Ông luôn có ý định đi gặp anh, mặc dù ông luôn nói với vợ rằng ông không muốn đi.",Son ana kadar karısını gitmeyeceğine inandırdıysa da gitmeye baştan beri niyetliydi; ziyaretten sonra akşama dek karısına bunu söylemedi.,"Siempre tuvo la intención de visitarlo, aunque, al final, siempre le aseguraba a su esposa que no lo haría; y hasta la tarde después de su visita, su mujer no se enteró de nada."
63,,It was then disclosed in the following manner.,"Cho đến buổi tối sau lần gặp gỡ, bà vợ mới biết được tin này.",Akşamleyin de aşağıdaki şekilde açıkladı.,"La cosa se llegó a saber de la siguiente manera: observando el señor Bennet cómo su hija se colocaba un sombrero, dijo:"
64,,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,—","Khi nhìn cô con gái thứ hai đang trang trí cái mũ, thình lình ông nói với cô: - Lizzy, bố hy vọng cậu Bingley sẽ thích cái mũ này.","İkinci kızının şapka süslemesini izlerken ansızın,","La cosa se llegó a saber de la siguiente manera: observando el señor Bennet cómo su hija se colocaba un sombrero, dijo:"
66,,"“We are not in a way to know what mr Bingley likes,” said her mother, resentfully, “since we are not to visit.”",Bà phật ý: - Chúng ta không thể biết anh ta thích gì vì chúng ta không đi thăm viếng anh ấy.,"""Mr Bingley'nin neyi beğendiğini anlama imkânımız yok,"" dedi annesi kederle, ""ziyaretine gitmeyeceğimize göre.",––¿Cómo podemos saber qué le gusta al señor Bingley ––dijo su esposa resentida–– si todavía no hemos ido a visitarlo?
67,,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that ms Long has promised to introduce him.”","Elizabeth nói: - Mẹ quên rồi sao? Chúng ta sẽ gặp anh ta trong buổi họp mặt, và bà Long đã hứa là sẽ giới thiệu ta với anh ta.","""Ama unutuyorsun, anne,"" dedi Elizabeth, ""onunla baloda karşılaşacağız; Mrs Long tanıştırmaya söz verdi.","––Olvidas, mamá ––dijo Elizabeth–– que lo veremos en las fiestas, y que la señora Long ha prometido presentárnoslo."
68,"['', 'long', 'señora long']",“I do not believe ms Long will do any such thing.,- Mẹ không tin bà Long sẽ làm như thế.,"""Mrs Long'un tanıştıracağını sanmıyorum.",––No creo que la señora Long haga semejante cosa.
70,,"She is a selfish, hypocritical woman, and I have no opinion of her.”","Bà ta là một con người ích kỉ, đạo đức giả, không tin được.","Bencil, ikiyüzlü bir kadın o, itibar etmem.",Ella tiene dos sobrinas en quienes pensar; es egoísta e hipócrita y no merece mi confianza.
71,"['mr bennet', 'bennet', 'bennet–']","“No more have I,” said mr Bennet; “and I am glad to find that you do not depend on her serving you.”","Ông Bennet xen vào - Tôi cũng không tin, nên tôi thấy mừng rằng bà không có ý nhờ vả bà ấy.","""Ben de etmem,"" dedi Mr Bennet; ""hem, onun yardımına ihtiyacınız olmadığını memnuniyetle söyleyebilirim.",––Ni la mía tampoco ––dijo el señor Bennet–– y me alegro de saber que no dependes de sus servicios.
72,"['mrs bennet', 'bennet', 'señora bennet']","ms Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters.","Bà Bennet không màng trả lời, nhưng không thề dằn lòng, bà quay sang mắng các cô con gái.","Mrs Bennet cevap vermeye tenezzül etmedi, ama kendini tutamayıp kızlarından birini azarlamaya başladı.",La señora Bennet no se dignó contestar; pero incapaz de contenerse empezó a reprender a una de sus hijas.
73,,"“Don’t keep coughing so, Kitty, for heaven’s sake!","- Kitty, đừng có ho mãi như thế.","""Öyle öksürüp durma Allah aşkına, Kitty! Sinirlerime acı biraz.","––¡Por el amor de Dios, Kitty no sigas tosiendo así!"
74,,Have a little compassion on my nerves.,Phải thương lấy thần kinh mẹ một chút.,"""Öyle öksürüp durma Allah aşkına, Kitty! Sinirlerime acı biraz.",Ten compasión de mis nervios.
75,,You tear them to pieces.”,Mẹ muốn vỡ đầu ra đây này.,Parça parça ettin sinirlerimi.,Me los estás destrozando.
76,,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”","Ông bố đế vào: - Kitty ho không được kín đáo gì cả, ho không đúng lúc.","""Kitty öksürük konusunda hiç dikkatli değil,"" dedi babası; ""yanlış zamanda öksürüyor.",––Kitty no es nada discreta tosiendo ––dijo su padre––. Siempre lo hace en momento inoportuno.
77,,"“I do not cough for my own amusement,” replied Kitty, fretfully.",Kitty trả lời một cách khổ sở: - Con đâu có vui gì mà ho như thế chứ.,"""Keyfimden öksürmüyorum,"" diye cevap verdi Kitty huysuzca.",––A mí no me divierte toser ––replicó Kitty quejándose.
78,,"“When is your next ball to be, Lizzy?”",- Khi nào thì đến buổi dạ vũ của con?,"""İlk balo ne zaman, Lizzy?""","––¿Cuándo es tu próximo baile, Lizzy?"
79,,“To-morrow fortnight.”,- Hai tuần nữa.,"""Bir dahaki hafta yarın.",––De mañana en quince días.
80,,"“Ay, so it is,” cried her mother, “and ms Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself.”","Bà mẹ thảng thốt nói: - À thì ra thế. Bà Long sẽ chỉ trở lại ngày trước đấy, nên bà không thể giới thiệu anh ấy, vì bà vẫn chưa quen biết gì anh ta cả.","""Al işte,"" diye haykırdı annesi, ""Mrs Long ancak bir gün önce dönecek, o zaman da adamı tanıştıramaz, çünkü daha kendisi tanışmamış olur.","––Sí, así es ––exclamó la madre––. Y la señora Long no volverá hasta un día antes; así que le será imposible presentarnos al señor Bingley, porque todavía no le conocerá."
81,"['bingley', 'mr bingley', 'señora bennet']","“Then, my dear, you may have the advantage of your friend, and introduce mr Bingley to her.”","- Vậy thì bà có lợi thế hơn so với bạn của bà, cứ giới thiệu Mr Bingley với con nhỏ.","""Öyleyse, şekerim, arkadaşının yerini sen al ve Mr Bingley'yi onunla tanıştır.","––Entonces, señora Bennet, puedes tomarle la delantera a tu amiga y presentárselo tú a ella."
82,,"“Impossible, mr Bennet, impossible, when I am not acquainted with him myself; how can you be so teasing?”","- Không thể được, ông ạ, không thể được, khi tôi vẫn còn chưa quen biết anh ta. Sao ông có thể đùa cợt như thế?","""İmkânsız, Mr Bennet, imkansız, adamla daha ben tanışmıyorum; nasıl böyle bunaltıcı olabiliyorsun?","––Imposible, señor Bennet, imposible, cuando yo tampoco le conozco. ¿Por qué te burlas?"
83,,“I honour your circumspection.,- Tôi khen bà đã thận trọng.,"""Titizliğine katılıyorum.",––Celebro tu discreción.
84,,A fortnight’s acquaintance is certainly very little.,Hai tuần thì có quá ít thời gian để làm quen.,On beş günlük tanışıklık elbette çok az.,Una amistad de quince días es verdaderamente muy poco.
85,,One cannot know what a man really is by the end of a fortnight.,"Ta không thể biết người mà ta mới quen nghĩ gì chỉ sau có hai tuần, Nhưng nếu ta không bạo dạn, người khác sẽ đánh bạo làm.",İnsan on beş günden önce tanınmaz.,"En realidad, al cabo de sólo dos semanas no se puede saber muy bien qué clase de hombre es."
86,"['señora long', 'long', 'mrs long']","But if we do not venture, somebody else will; and after all, ms Long and her nieces must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.”","Dù sao đi nữa bà Long và hai cô cháu cũng muốn thử thời vận. Nếu ta không tiến tới, bà ta sẽ cho rằng ta có ý nhường, bà ta sẽ nắm lấy cơ hội.","Ama biz harekete geçmezsek başkası geçer; kaldı ki, Mrs Long'la yeğenleri de şanslarını deneyecekler; o halde, maksat kibarlık değil mi, sen yardımı reddedersen, bu işi ben üstlenebilirim.","Pero si no nos arriesgamos nosotros, lo harán otros. Al fin y al cabo, la señora Long y sus sobrinas pueden esperar a que se les presente su oportunidad; pero, no obstante, como creerá que es un acto de delicadeza por su parte el declinar la atención, seré yo el que os lo presente."
87,,The girls stared at their father.,"Các cô gái nhìn chằm chằm ông bố. Bà Bennet chỉ nói: - Vô lý, thật vô lý!",Kızlar babalarına baktılar.,Las muchachas miraron a su padre fijamente.
88,"['mrs bennet', 'bà bennet', 'bennet', 'señora bennet']","ms Bennet said only, “Nonsense, nonsense!”","Các cô gái nhìn chằm chằm ông bố. Bà Bennet chỉ nói: - Vô lý, thật vô lý!","Mrs Bennet, ""Saçmalıyorsun!"" dedi sadece.","La señora Bennet se limitó a decir: ––¡Tonterías, tonterías!"
89,,“What can be the meaning of that emphatic exclamation?” cried he.,- Bà nói thế có nghĩa gì?,"""Bu sert sözün anlamı ne olabilir?"" diye haykırdı Mr Bennet.",––¿Qué significa esa enfática exclamación? ––preguntó el señor Bennet––.
90,,"“Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?",Bà có nghĩa rằng cách thức giới thiệu và sự căng thẳng trong việc này là vô lý không?,"""Tanışma adetlerini ve bunlara verilen önemi saçmalık olarak mı görüyorsun?","¿Consideras las fórmulas de presentación como tonterías, con la importancia que tienen?"
91,,I cannot quite agree with you there.,Tôi không thể đồng ý với bà về điểm này.,O konuda seninle aynı fikirde değilim.,No estoy de acuerdo contigo en eso.
93,,"For you are a young lady of deep reflection, I know, and read great books, and make extracts.”","Bố biết con thích suy nghĩ chín chắn, thích đọc sách hay, lại hay trích dẫn từ sách vở mà.","Ne diyorsun, Mary, derin düşünceleri olan, büyük kitaplar okuyan, notlar alan bir kız olarak?","Que yo sé que eres una joven muy reflexiva, y que lees grandes libros y los resumes."
94,['mary'],"Mary wished to say something very sensible, but knew not how.","Mary muốn nói điều gì đấy hợp lý, nhưng không thể nghĩ ra.","Mary çok anlamlı bir şey söylemek istedi, ama beceremedi.","Mary quiso decir algo sensato, pero no supo cómo."
95,,"“While Mary is adjusting her ideas,” he continued, “let us return to mr Bingley.”","Ông tiếp: - Trong khi Mary đang tìm ý, ta hãy trở lại cậu chuyện anh chàng Bingley.","""Mary fikirlerini toparlarken,"" diye devam etti Mr Bennet, ""biz Mr Bingley'ye dönelim.","––Mientras Mary aclara sus ideas ––continuó él––, volvamos al señor Bingley."
96,,"“I am sick of mr Bingley,” cried his wife.",Bà vợ cao giọng: - Tôi quá mệt vì cái tên Bingley này rồi.,"""Bıktım Mr Bingley'den,"" diye haykırdı karısı.",––¡Estoy harta del señor Bingley! ––gritó su esposa.
97,,“I am sorry to hear that; but why did you not tell me so before?,"- Tôi lấy làm tiệc nghe bà nói như thế, nhưng tại sao bà không nói lúc trước?","""Bunu duyduğuma üzüldüm; ama niye daha önce söylemedin?",––Siento mucho oír eso; ¿por qué no me lo dijiste antes?
98,,"If I had known as much this morning, I certainly would not have called on him.","Nếu sáng nay tôi biết như vậy, chắc chắn tôi đã không đi gặp anh ta.",Bunu bu sabah biliyor olsaydım adamı ziyaret etmezdim.,"Si lo hubiese sabido esta mañana, no habría ido a su casa."
