line_no,Ent,en,vi,tr,es
29,,"Here she was a-bothering about Moses, which was no kin to her, and no use to anybody, being gone, you see, yet finding a power of fault with me for doing a thing that had some good in it.","Cũng như bà ta cứ đi lo lắng về chuyện Moses chẳng bà con họ hàng gì với bà và cũng chẳng ích lợi gì cho ai cả, vì Moses đã chết từ tám đời rồi. ấy thế nhưng bà ta còn cứ cố bắt tôi phải lấy đó mà học và bà cho rằng như thế là tốt lắm.","Oturmuş Musa’yla uğraşıyordu, oysa adam akrabası filan değildi, kimseye faydası yoktu, göçüp gitmişti işte; yine de biraz hayırlı bir işle uğraşıyorum diye bende ne biçim kusur buluyordu.","Lo que es ella bien que se interesaba por Moisés, que no era ni siquiera pariente suyo, y que maldito lo que le valía a nadie porque ya se había muerto, ¿no?, pero le parecía muy mal que yo hiciera algo que me gustaba."
30,,"And she took snuff, too; of course that was all right, because she done it herself.","Còn chính bản thân bà thì bà cũng hút, cố nhiên mụ cho thế là tốt, vì đó là mụ tự hút cơ mà.","Üstelik kendisi de enfiye çekiyordu, ama bu iyi bir şeydi elbette, çünkü kendisi yapıyordu.",Y además ella tomaba rapé; claro que eso le parecía bien porque era ella quien se lo tomaba.
31,,"Her sister, Miss Watson, a tolerable slim old maid, with goggles on, had just come to live with her, and took a set at me now with a spelling-book.","Cô em của bà ta, cô Watson là một bà cô già, người thì khá gầy guộc, mắt thì đeo đôi kính trắng, vừa mới đến ở chung trong cái nhà này với bà góa. Bây giờ thì lại đến lượt cô Watson làm tôi khổ với quyển sách đọc đánh vần.","Bir de kardeşi Bayan Watson vardı. Yaşlıca, hiç evlenmemiş, incecik bir kadın olan ve kocaman gözlük takan Bayan Watson daha yenilerde onunla oturmaya gelmişti ve bu sefer elinde bir imla kitabıyla başıma dikildi.","Su hermana, la señorita Watson, era una solterona más bien flaca, que llevaba gafas, acababa de ir a vivir con ella, y se le había metido en la cabeza enseñarme las letras."
32,,"She worked me middling hard for about an hour, and then the widow made her ease up.","Cô ấy dạy tôi thật vất vả cứ độ một giờ đồng hồ thì bà goá lại cho cô nghỉ, còn tôi thì cũng không thể chịu lâu hơn được.",Neredeyse bir saat beni harıl harıl çalıştırdıktan sonra dul bayan biraz ara vermesini söyledi.,Me hacía trabajar bastante una hora y después la viuda le decía que ya bastaba.
33,,I couldn’t stood it much longer.,"Suốt trong một giờ ấy, tôi thật buồn đến chết và cứ nhấp nhổm đứng ngồi không yên.",Yoksa daha fazla dayanamayacaktım.,Yo ya no podía aguantar más.
34,,"Then for an hour it was deadly dull, and I was fidgety.","Suốt trong một giờ ấy, tôi thật buồn đến chết và cứ nhấp nhổm đứng ngồi không yên.",Sonraki bir saat öyle boğucu geçti ki artık yerimde duramaz oldum.,Entonces pasaba una hora mortalmente aburrida y yo me ponía nervioso.
35,,"Miss Watson would say, “Don’t put your feet up there, Huckleberry;” and “Don’t scrunch up like that, Huckleberry—set up straight;” and pretty soon she would say, “Don’t gap and stretch like that, Huckleberry—why don’t you try to behave?”","Cô Watson thì cứ chốc chốc lại: Huck, đừng ngồi ghếch chân lên thế, rồi lại: Huck, đừng có vặn vẹo như thế, ngồi cho ngay ngắn nào hoặc: Huck, đừng có ngáp dài với vươn vai thế, sao không chịu ngồi cho tử tế?","Bayan Watson, “Ayaklarını oraya koyma, Huckleberry,” ve “öyle kamburunu çıkarma Huckleberry… dik otur bakalım,” filan deyip duruyordu; bir süre sonra da “Öyle esneyip gerinme Huckleberry… neden edebinle oturmaya çalışmıyorsun?” demeye başladı.","La señorita Watson decía: «No pongas los pies ahí, Huckleberry» y «No te pongas así de encogido, Huckleberry; siéntate derecho», y después decía: «No bosteces y te estires así, Huckleberry; ¿por qué no tratas de comportarte?»"
36,,"Then she told me all about the bad place, and I said I wished I was there.","Rồi cô ấy bảo cái ngữ tôi rồi cũng chỉ đến bị đẩy vào những nơi khổ cực mà thôi. Tôi bảo rằng tôi cũng đang muốn thế đấy, thế là cô ấy tức điên lên.",Ardından bana kötü yerle ilgili her şeyi anlattı ve ben de orada olmak istediğimi söyledim.,Después me contaba todos los detalles del lugar malo y decía que ojalá estuviera yo en él.
37,,"She got mad then, but I didn’t mean no harm.",Nhưng thật ra tôi cũng không định trêu chọc gì cô ấy cả.,"Böyle söyleyince çılgına döndü, ama kötü bir niyetim yoktu.","Era porque se enfadaba, pero yo no quería ofender."
38,,"All I wanted was to go somewheres; all I wanted was a change, I warn’t particular.","Tôi chẳng muốn gì khác hơn là cho tôi đi đến một nơi nào, tôi chỉ muốn có sự thay đổi mà thôi, chứ tôi cũng chả đòi hỏi gì đặc biệt cả.","Tek istediğim bir yerlere gitmekti; sadece değişiklik istiyordum, belli bir yere gitmek değildi amacım.","Lo único que quería yo era ir a alguna parte, cambiar de aires. No me importaba adónde."
39,,She said it was wicked to say what I said; said she wouldn’t say it for the whole world; she was going to live so as to go to the good place.,"Cô ấy bảo tôi nói như thế là bậy bạ, cô ấy chỉ muốn ăn ở thế nào để được đi đến chỗ tốt đẹp mà thôi.","Böyle dememin günah olduğunu söyledi, kendisi dünyada böyle demezmiş; iyi yere gidebilecek gibi yaşayacakmış.",Decía que lo que yo decía era malo; decía que ella no lo diría por nada del mundo; ella iba a vivir para ir al sitio bueno.
40,,"Well, I couldn’t see no advantage in going where she was going, so I made up my mind I wouldn’t try for it.","Nhưng tôi thì thấy rằng theo con đường của cô ấy cũng chẳng hay gì, cho nên tôi cũng chả thiết.","Eh, onun gittiği yere gitmekte hiçbir iyi yan göremiyordum, bu yüzden bunun için uğraşmamaya karar verdim.","Bueno, yo no veía ninguna ventaja en ir adonde estuviera ella, así que decidí ni intentarlo."
41,,"But I never said so, because it would only make trouble, and wouldn’t do no good.","Nhưng tôi không nói ra, vì sợ nói ra chỉ thêm phiền nhiễu.","Ama bunu söylemedim, çünkü başıma dert açmaktan başka bir işe yaramazdı.",Pero nunca lo dije porque no haría más que crear problemas y no valdría de nada.
42,,"Now she had got a start, and she went on and told me all about the good place.",Cô ấy bảo đi đến chỗ đó thì người ta suốt ngày chỉ có việc đi nhởn nhơ đàn hát thôi.,"Artık çenesi açılmıştı, iyi yer hakkında ne varsa anlatmaya koyuldu.",Entonces ella se lanzaba a contarme todo lo del sitio bueno.
43,,"She said all a body would have to do there was to go around all day long with a harp and sing, forever and ever.",Cô ấy bảo đi đến chỗ đó thì người ta suốt ngày chỉ có việc đi nhởn nhơ đàn hát thôi.,"Dediğine göre orada insanın yapması gereken tek şey bütün gün etrafta dolanıp harp çalarak şarkı söylemekmiş, sonsuza kadar hem de, hiç durmamacasına.","Decía que lo único que se hacía allí era pasarse el día cantando con un arpa, siempre lo mismo."
44,,So I didn’t think much of it.,"Tôi cũng chẳng thiết cái đó nữa, nhưng hơi đâu mà nói ra.",Bu yüzden pek de gidilesi bir yere benzetemedim.,Así que no me pareció gran cosa.
45,,But I never said so.,"Tôi cũng chẳng thiết cái đó nữa, nhưng hơi đâu mà nói ra.",Ama bunu kesinlikle dile getirmedim.,Pero no dije nada.
46,['tom sawyer'],"I asked her if she reckoned Tom Sawyer would go there, and she said not by a considerable sight.","Tôi hỏi cô ấy rằng xem chừng thằng Tom Sawyer nó có thể đi đến chỗ tốt đẹp ấy được không, cô ấy bảo xét kỹ ra thì không được.","Tom Sawyer’in da oraya gidip gidemeyeceğini sordum, görünüşe bakılırsa kesinlikle gidemeyeceğini söyledi.","Le pregunté si creía que Tom Sawyer iría allí y dijo que ni muchísimo menos, y yo me alegré, porque quería estar en el mismo sitio que él."
47,,"I was glad about that, because I wanted him and me to be together.","Nghe nói vậy tôi thích quá, vì tôi, cứ muốn rằng hai đứa cùng sống với nhau, đừng đứa nào đi đâu cả.","Buna sevinmiştim, çünkü onunla hiç ayrılmayalım istiyordum.","Le pregunté si creía que Tom Sawyer iría allí y dijo que ni muchísimo menos, y yo me alegré, porque quería estar en el mismo sitio que él."
48,"['watson', 'bayan watson']","Miss Watson she kept pecking at me, and it got tiresome and lonesome.","Cô Watson cứ bắt tôi mãi như vậy, thật là khó chịu quá, nhưng ngay sau đó, họ gọi những người hầu da đen vào, và ai nấy cầu kinh rồi về chỗ ngủ.",Bayan Watson nasihatlerini ve azarlarını peş peşe sıralarken kendimi giderek daha bitkin ve yalnız hissettim.,"Un día la señorita Watson no paraba de meterse conmigo, y yo empecé a cansarme y a sentirme solo."
49,,"By-and-by they fetched the niggers in and had prayers, and then everybody was off to bed.","Cô Watson cứ bắt tôi mãi như vậy, thật là khó chịu quá, nhưng ngay sau đó, họ gọi những người hầu da đen vào, và ai nấy cầu kinh rồi về chỗ ngủ.","Az sonra zenci köleleri içeri aldılar ve duaya başladılar, ardından da herkes yatağına çekildi.",Después llamaron a los negros para decir las oraciones y todo el mundo se fue a la cama.
50,,"I went up to my room with a piece of candle, and put it on the table.","Tôi cũng trở về buồng riêng, mang theo một ngọn nến đặt trên bàn.",Bir mum alıp odama gittim ve mumu masanın üstüne koydum.,Yo me fui a mi habitación con un trozo de vela y lo puse en la mesa.
51,,"Then I set down in a chair by the window and tried to think of something cheerful, but it warn’t no use.","Tôi ngồi phịch xuống chiếc ghế bên cửa sổ, cố nghĩ đến một cài gì vui vui, nhưng không sao nghĩ được.","Pencerenin önündeki bir sandalyeye oturup şenlendirici bir şeyler düşünmeye çalıştım, ama hiç işe yaramadı.","Después me senté en una silla junto a la ventana y traté de pensar en algo animado, pero era inútil."
52,,I felt so lonesome I most wished I was dead.,Lúc ấy tôi cảm thấy mình quá cô đơn và lại mong rằng giá mình chết đi thì hay nhỉ.,Kendimi öyle yapayalnız hissettim ki keşke ölsem dedim.,Me sentía tan solo que casi me daban ganas de morirme.
53,,"The stars were shining, and the leaves rustled in the woods ever so mournful; and I heard an owl, away off, who-whooing about somebody that was dead, and a whippowill and a dog crying about somebody that was going to die; and the wind was trying to whisper something to me, and I couldn’t make out what it was, and so it made the cold shivers run over me.","Trên bầu trời, sao lấp lánh. Tiếng lá xào xạc trong rừng nghe vô cùng buồn thảm. Tôi nghe thấy tiếng cú rúc xa xa như đang hú gọi người nào đã qua đời, rồi tiếng một con chim rừng hay một con chó đang gào hét về một người nào sắp chết, gió thì như muốn thủ thỉ điều gì với tôi mà tôi không thể đoán ra được nó định nói gì. Nghĩ thế, đâm ra tôi rùng mình lạnh toát cả người.","Yıldızlar ışıl ışıldı ve ormandaki yapraklar hazin hazin hışırdıyordu, uzaklarda bir baykuşun öttüğünü duydum; ölen birisinin ardından puuu-huuu diyordu; ayrıca bir çobanaldatan ile bir köpek, birinin yakında öleceğini haber vermek için feryatlar koparıyorlardı; rüzgâr da bana bir şeyler fısıldamaya çalışıyordu, ama ne olduğunu bir türlü anlayamıyordum, bu yüzden sırtımda buz gibi bir ürperti dolaştı.","Las estrellas brillaban y las hojas de los árboles se rozaban con un ruido muy triste; allá lejos se oía un búho que ululaba porque se había muerto alguien y un chotacabras y un perro que gritaban que se iba a morir alguien más, y el viento trataba de decirme algo y yo no entendía lo que era, de forma que me daban calofríos."
55,,I got so down-hearted and scared I did wish I had some company.,"Tôi nghĩ vậy lại càng hoảng hốt, sợ hãi quá chừng, và lúc đó muốn có một người nào ngồi bên cạnh tôi.",O kadar moralim bozulmuş ve o kadar korkmuştum ki keşke yanımda biri olsaydı dedim.,Me sentí tan desanimado y con tanto miedo que tuve ganas de compañía.
56,,"Pretty soon a spider went crawling up my shoulder, and I flipped it off and it lit in the candle; and before I could budge it was all shriveled up.","Bỗng một con nhện ở đâu nhảy đến, lồm cồm bò trên vai áo, tôi vội lấy tay búng nó đi, nó bắn ngay vào ngọn nến đang cháy, tôi chưa kíp kéo nó ra thì nó đã chết queo.","Kısa süre sonra bir örümcek omzumdan yukarı tırmanmaya başladı, ona bir fiske vurunca gidip mumun üstüne düştü; ben daha kılımı kıpırdatamadan kavrulup gitti.","Luego se me subió una araña por el hombro y me la quité de encima y se cayó en la vela, y antes de que pudiera yo alargar la mano, ya estaba toda quemada."
57,,"I didn’t need anybody to tell me that that was an awful bad sign and would fetch me some bad luck, so I was scared and most shook the clothes off of me.","Lúc đó, chẳng cần phải có ai bảo tôi rằng đó là một điều xấu và rồi tôi sẽ gặp phải rủi ro, tôi cũng đã hoảng sợ lắm rồi và cuồng quýt rũ mạnh quần áo trên người.","Bunun korkunç kötü bir işaret olduğunu ve bana kötü şans getireceğini başkasının söylemesine gerek yoktu, korkudan yaprak gibi titremeye başlamıştım.","No hacía falta que me dijera nadie que aquello era de muy mal fario y que me iba a traer mala suerte, así que tuve miedo y casi me quité la ropa de golpe."
58,,I got up and turned around in my tracks three times and crossed my breast every time; and then I tied up a little lock of my hair with a thread to keep witches away.,"Tôi chồm dậy, quay đi quay lại một chỗ đến ba bốn vòng, rồi lại làm dấu trước ngực rất nhiều lần. Rồi tôi lại lấy sợi dây buộc chặt mớ tóc trên đầu để làm cái bùa đuổi yêu quái đi.","Ayağa kalktım ve üç kez kendi etrafımda döndüm, her seferinde de haç çıkardım; ardından cadıları uzak tutmak için saçımın bir tutamına ip bağladım.","Me levanté y di tres vueltas santiguándome a cada vez, y después me até un rizo del pelo con un hilo para que no se me acercaran las brujas."
59,,But I hadn’t no confidence.,Nhưng rồi tôi lại cũng không tin.,Ama içim hiç rahatlamamıştı.,Pero no estaba nada seguro.
60,,"You do that when you’ve lost a horseshoe that you’ve found, instead of nailing it up over the door, but I hadn’t ever heard anybody say it was any way to keep off bad luck when you’d killed a spider.","Đây là cái tục lệ khi người nào đánh mất một cái?, sau tìm thấy thì lẽ ra phải đêm đóng nơ ở trước cửa ra vào; nhưng tôi thật cũng chưa nghe thấy ai nói rằng làm như thế để tránh khỏi gặp phải điều chẳng may sau khi đã làm chết một con nhện bao giờ.","Hani nal bulursun da daha kapının üstüne çakamadan kaybedersin ya, işte o zaman yapılır bu, fakat örümcek öldürdüğünde kötü şansı uzak tutmak için yapılabileceğini kimseden duymuşluğum yoktu.","Eso es lo que se hace cuando ha perdido uno una herradura que se ha encontrado, en vez de clavarla encima de la puerta, pero nunca le había oído decir a nadie que fuese la forma de que no llegara la mala suerte cuando se había matado a una araña."
61,,"I set down again, a-shaking all over, and got out my pipe for a smoke; for the house was all as still as death now, and so the widow wouldn’t know.","Tôi lại ngồi xuống ghế, trong người bối rối không yên. Tôi lấy điếu ra hút, vì lúc này trong nhà đã im lặng như chết cả rồi còn bà goá thì cũng chẳng biết đấy là đâu.",Zangır zangır titreyerek tekrar oturdum ve içmek için pipomu çıkardım; çünkü artık evde bir ölüm sessizliği vardı ve tütün içtiğimi dul bayanın ruhu bile duymazdı.,"Volví a sentarme, todo tiritando, y saqué la pipa para fumar, porque la casa estaba ya más silenciosa que una tumba, así que la viuda no se iba a enterar."
62,,"Well, after a long time I heard the clock away off in the town go boom—boom—boom—twelve licks; and all still again—stiller than ever.","Rồi một lúc sau nữa, khá lâu, rồi nghe tiếng chuông đồng hồ xa xa ngoài tỉnh boong - boong - boong dần điểm mười hai tiếng, rồi đâu đấy lại yên lặng hơn lúc nào hết.","Neyse, uzun zaman sonra kasaba saatinin tonk-tonk-tonk diye on iki kere vurduğunu duydum, ardından tekrar sessizlik çöktü, etraf öncekinden de sessizdi artık.","Bueno, al cabo de mucho tiempo oí que el reloj del pueblo empezaba a sonar: bum... bum... bum... doce golpes y todo seguía igual de tranquilo, más en silencio que nunca."
63,,Pretty soon I heard a twig snap down in the dark amongst the trees—something was a stirring.,"Được một lát, tôi bỗng nghe thấy tiếng cành cây khô gãy ở phía lùm cây tối đến - lại hình như có vật gì động đậy.","Kısa süre sonra ağaçların arasında, karanlıkta bir dalın kırıldığını duydum – bir şeyler kımıldanıyordu.",Poco después oí que una rama se partía en la oscuridad entre los árboles: algo se movía.
65,,Directly I could just barely hear a “me-yow! me-yow!” down there.,Tôi ngồi im lặng nghe lập tức thấy rõ ràng có tiếng meo meo từ phía đó vang tới.,Aşağıdan belli belirsiz bir “Miyav! Miyav!” sesi duyuldu.,En seguida escuché apenas un «¡miau! ¡miau!» allá abajo.
67,,"Says I, “me-yow! me-yow!” as soft as I could, and then I put out the light and scrambled out of the window on to the shed.","Hay quá! Tôi cũng khe khẽ đáp lại meo meo rồi tắt phụt ngọn nến tôi trèo qua cửa sổ ra ngoài, hướng về phía bóng tối, tụt nhanh xuống đất rồi luồn vào đám cây.","Ben de olabildiğince usulca “Miyav! Miyav!” dedim, ardından mumu söndürüp pencereden verandaya çıktım.","¡Estupendo!, yvoyy digo «¡miau! ¡miau!» lo más bajo que pude y después apagué la luz y me bajé por la ventana al cobertizo."
68,['tom sawyer'],"Then I slipped down to the ground and crawled in among the trees, and, sure enough, there was Tom Sawyer waiting for me.",Đúng là thằng Tom Sawyer đang chờ tôi ở đó.,"Verandadan aşağıya kayıp, ağaçların arasında sürünmeye başladım ve elbette orada Tom Sawyer’i beni beklerken buldum.","Entonces me dejé caer al suelo y me fui arrastrando entre los árboles, y claro, allí estaba Tom Sawyer esperándome."
69,,CHAPTER II.,Chương II,İkinci Bölüm,Capítulo 2
