Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['margo'],emily,0,0.2,incorrect,big,0,0.25,incorrect,christie,0,0.15,incorrect,dr. house,0,0.29,incorrect,emily,0,0.2,incorrect,tim,0,0.25,incorrect,ella,0,0.22,incorrect,7-eleven,0,0.0,incorrect,big,0,0.25,incorrect,dr. house,0,0.29,incorrect,tim,0,0.25,incorrect,7-eleven,0,0.0,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,max,0,0.5,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect
['jase'],monica,0,0.2,incorrect,god,0,0.0,incorrect,ann,0,0.29,incorrect,osman,0,0.22,incorrect,em,0,0.33,incorrect,dat,0,0.29,incorrect,maria,0,0.22,incorrect,lucia,0,0.22,incorrect,god,0,0.0,incorrect,osman,0,0.22,incorrect,dat,0,0.29,incorrect,lucia,0,0.22,incorrect
['margo'],lisbeth,0,0.0,incorrect,her,0,0.25,incorrect,macgyver,0,0.46,incorrect,araba,0,0.4,incorrect,dao,0,0.5,incorrect,thanh giuse,0,0.25,incorrect,locke,0,0.2,incorrect,jim,0,0.25,incorrect,her,0,0.25,incorrect,araba,0,0.4,incorrect,thanh giuse,0,0.25,incorrect,jim,0,0.25,incorrect
['margo'],she,0,0.0,incorrect,jefferson,0,0.29,incorrect,o,0,0.33,incorrect,jefferson,0,0.29,incorrect,emily,0,0.2,incorrect,jefferson,0,0.29,incorrect,ellen,0,0.0,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
"['margo', 'marg']",her,0,0.29,incorrect,wall,0,0.25,incorrect,annabelle,0,0.15,incorrect,annem,0,0.22,incorrect,em,0,0.33,incorrect,dong,0,0.25,incorrect,ella,0,0.25,incorrect,maria,0,0.67,incorrect,wall,0,0.25,incorrect,annem,0,0.22,incorrect,dong,0,0.25,incorrect,maria,0,0.67,incorrect
"['parson', 'chuck', 'chuck parson']",mr. crown,0,0.4,incorrect,god,0,0.22,incorrect,crown,0,0.55,incorrect,harvard,0,0.32,incorrect,em,0,0.0,incorrect,crown,0,0.55,incorrect,maria,0,0.36,incorrect,jewel,0,0.0,incorrect,god,0,0.22,incorrect,harvard,0,0.32,incorrect,crown,0,0.55,incorrect,jewel,0,0.0,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,holden,0,0.18,incorrect,elizabet,0,0.15,incorrect,emily,0,0.2,incorrect,thuy,0,0.0,incorrect,emily,0,0.2,incorrect,mano,0,0.67,incorrect,emily,0,0.2,incorrect,elizabet,0,0.15,incorrect,thuy,0,0.0,incorrect,mano,0,0.67,incorrect
['margo'],she,0,0.0,incorrect,spiderman,0,0.29,incorrect,tom,0,0.25,incorrect,ninjayi,0,0.17,incorrect,em,0,0.29,incorrect,naruto,0,0.55,incorrect,ella,0,0.22,incorrect,yoda,0,0.22,incorrect,spiderman,0,0.29,incorrect,ninjayi,0,0.17,incorrect,naruto,0,0.55,incorrect,yoda,0,0.22,incorrect
"['chuck parso', 'chuck', 'parso', 'chuck parson', 'parson']",jesus,0,0.25,incorrect,god,0,0.25,incorrect,oldu,0,0.22,incorrect,dracula,0,0.33,incorrect,duc,0,0.5,incorrect,den,0,0.22,incorrect,el,0,0.0,incorrect,lampara,0,0.5,incorrect,god,0,0.25,incorrect,dracula,0,0.33,incorrect,den,0,0.22,incorrect,lampara,0,0.5,incorrect
"['parson', 'chuck', 'chuck parson']",his,0,0.27,incorrect,northampton,0,0.35,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily dickinson,0,0.37,incorrect,emily,0,0.0,incorrect,emily dickinson,0,0.37,incorrect,emily,0,0.0,incorrect,northampton,0,0.35,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['margo'],she,0,0.0,incorrect,emily,0,0.2,incorrect,bay,0,0.25,incorrect,orpheus,0,0.17,incorrect,nick,0,0.0,incorrect,thuy kieu,0,0.0,incorrect,el,0,0.0,incorrect,maria,0,0.6,incorrect,emily,0,0.2,incorrect,orpheus,0,0.17,incorrect,thuy kieu,0,0.0,incorrect,maria,0,0.6,incorrect
['margo'],she,0,0.0,incorrect,emily,0,0.2,incorrect,ren,0,0.25,incorrect,ninja,0,0.2,incorrect,naruto,0,0.55,incorrect,naruto,0,0.55,incorrect,itachi,0,0.18,incorrect,naruto,0,0.55,incorrect,emily,0,0.2,incorrect,ninja,0,0.2,incorrect,naruto,0,0.55,incorrect,naruto,0,0.55,incorrect
['margo'],seaworld,0,0.31,incorrect,florida,0,0.17,incorrect,seaworld,0,0.31,incorrect,everglades,0,0.27,incorrect,seaworld,0,0.31,incorrect,orlando,0,0.33,incorrect,seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect,florida,0,0.17,incorrect,everglades,0,0.27,incorrect,orlando,0,0.33,incorrect,seaworld,0,0.31,incorrect
['margo'],luna,0,0.22,incorrect,emily,0,0.2,incorrect,holden,0,0.18,incorrect,pinokyo,0,0.17,incorrect,thuy,0,0.0,incorrect,tho,0,0.25,incorrect,maria,0,0.6,incorrect,maria,0,0.6,incorrect,emily,0,0.2,incorrect,pinokyo,0,0.17,incorrect,tho,0,0.25,incorrect,maria,0,0.6,incorrect
['margo'],skinner,0,0.17,incorrect,disney,0,0.0,incorrect,ben,0,0.0,incorrect,robin,0,0.4,incorrect,jack,0,0.22,incorrect,toyota,0,0.18,incorrect,jack,0,0.22,incorrect,international drive,0,0.17,incorrect,disney,0,0.0,incorrect,robin,0,0.4,incorrect,toyota,0,0.18,incorrect,international drive,0,0.17,incorrect
['margo'],he,0,0.0,incorrect,mr. johnson,0,0.38,incorrect,polis,0,0.2,incorrect,orange,0,0.36,incorrect,nguoi dan ong,0,0.22,incorrect,duc,0,0.0,incorrect,el,0,0.0,incorrect,shakespeare,0,0.25,incorrect,mr. johnson,0,0.38,incorrect,orange,0,0.36,incorrect,duc,0,0.0,incorrect,shakespeare,0,0.25,incorrect
['margo'],he,0,0.0,incorrect,emily,0,0.2,incorrect,bay b,0,0.2,incorrect,erkek,0,0.2,incorrect,dao,0,0.5,incorrect,dong,0,0.22,incorrect,el tipo,0,0.17,incorrect,maria,0,0.6,incorrect,emily,0,0.2,incorrect,erkek,0,0.2,incorrect,dong,0,0.22,incorrect,maria,0,0.6,incorrect
['margo'],sheila,0,0.18,incorrect,seaworld,0,0.31,incorrect,harry,0,0.4,incorrect,shamu,0,0.2,incorrect,chandler,0,0.31,incorrect,shamu,0,0.2,incorrect,homero,0,0.55,incorrect,shamu,0,0.2,incorrect,seaworld,0,0.31,incorrect,shamu,0,0.2,incorrect,shamu,0,0.2,incorrect,shamu,0,0.2,incorrect
"['spiegelman', 'margo', 'roth', 'margo roth spiegelman']",wendy,0,0.27,incorrect,britney,0,0.36,incorrect,charlie,0,0.33,incorrect,adam,0,0.22,incorrect,emily,0,0.27,incorrect,duc,0,0.0,incorrect,britney,0,0.36,incorrect,salvador,0,0.33,incorrect,britney,0,0.36,incorrect,adam,0,0.22,incorrect,duc,0,0.0,incorrect,salvador,0,0.33,incorrect
['ben'],hayley,0,0.22,incorrect,latin,0,0.25,incorrect,charlie,0,0.2,incorrect,galatasaray,0,0.0,incorrect,holden,0,0.44,incorrect,caesar,0,0.22,incorrect,patrick,0,0.0,incorrect,alberto,0,0.4,incorrect,latin,0,0.25,incorrect,galatasaray,0,0.0,incorrect,caesar,0,0.22,incorrect,alberto,0,0.4,incorrect
"['spiegelman', 'margo', 'roth', 'margo roth spiegelman']",peter pan,0,0.53,incorrect,heathcliff,0,0.29,incorrect,drakula,0,0.24,incorrect,orpheus,0,0.36,incorrect,thu,0,0.57,incorrect,le loi,0,0.25,incorrect,it,0,0.33,incorrect,dracula,0,0.24,incorrect,heathcliff,0,0.29,incorrect,orpheus,0,0.36,incorrect,le loi,0,0.25,incorrect,dracula,0,0.24,incorrect
['margo'],principal,0,0.14,incorrect,class,0,0.2,incorrect,ogretmen,0,0.15,incorrect,cehov,0,0.2,incorrect,thay giao,0,0.43,incorrect,thang bom,0,0.43,incorrect,buford,0,0.18,incorrect,facebook,0,0.31,incorrect,class,0,0.2,incorrect,cehov,0,0.2,incorrect,thang bom,0,0.43,incorrect,facebook,0,0.31,incorrect
['margo'],,0,0.25,incorrect,john cena,0,0.14,incorrect,polis,0,0.2,incorrect,beni,0,0.0,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,marley,0,0.55,incorrect,al,0,0.29,incorrect,john cena,0,0.14,incorrect,beni,0,0.0,incorrect,duc,0,0.0,incorrect,al,0,0.29,incorrect
"['quenti', 'quentin']",god,0,0.0,incorrect,trump,0,0.18,incorrect,charlie,0,0.15,incorrect,isa,0,0.22,incorrect,duc,0,0.22,incorrect,dao,0,0.0,incorrect,juan,0,0.4,incorrect,dios,0,0.2,incorrect,trump,0,0.18,incorrect,isa,0,0.22,incorrect,dao,0,0.0,incorrect,dios,0,0.2,incorrect
['margo'],the girl,0,0.15,incorrect,emily,0,0.2,incorrect,balloon,0,0.33,incorrect,jefferson,0,0.29,incorrect,balloon,0,0.33,incorrect,jefferson,0,0.29,incorrect,el globo,0,0.31,incorrect,jefferson,0,0.29,incorrect,emily,0,0.2,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
"['spiegelman', 'margo', 'roth', 'margo roth spiegelman']",pregnant,0,0.56,incorrect,emily,0,0.27,incorrect,seneca,0,0.5,incorrect,ben,0,0.31,incorrect,margo,1,1.0,correct,margo,1,1.0,correct,el,0,0.33,incorrect,maria,0,0.6,incorrect,emily,0,0.27,incorrect,ben,0,0.31,incorrect,margo,1,1.0,correct,maria,0,0.6,incorrect
['margo'],she,0,0.0,incorrect,god,0,0.5,incorrect,bayan havisham,0,0.11,incorrect,tanri,0,0.4,incorrect,em,0,0.29,incorrect,emily,0,0.2,incorrect,ella,0,0.22,incorrect,job,0,0.25,incorrect,god,0,0.5,incorrect,tanri,0,0.4,incorrect,emily,0,0.2,incorrect,job,0,0.25,incorrect
"['bay jiminez', 'bay', 'jiminez']",smith,0,0.33,incorrect,mr. chips,0,0.25,incorrect,matematik hocam,0,0.23,incorrect,newton,0,0.31,incorrect,garp,0,0.29,incorrect,thay,0,0.57,incorrect,gomez,0,0.5,incorrect,nombre,0,0.31,incorrect,mr. chips,0,0.25,incorrect,newton,0,0.31,incorrect,thay,0,0.57,incorrect,nombre,0,0.31,incorrect
"['ben', 'starling', 'ben starling']",peabody,0,0.21,incorrect,linus,0,0.46,incorrect,charlie,0,0.53,incorrect,harold,0,0.43,incorrect,heathcliff,0,0.36,incorrect,salome,0,0.43,incorrect,charlie,0,0.53,incorrect,octavo,0,0.29,incorrect,linus,0,0.46,incorrect,harold,0,0.43,incorrect,salome,0,0.43,incorrect,octavo,0,0.29,incorrect
"['margo', 'marg']",holden,0,0.18,incorrect,autism,0,0.2,incorrect,annem,0,0.22,incorrect,escher,0,0.2,incorrect,camus,0,0.22,incorrect,michelangelo,0,0.47,incorrect,descartes,0,0.31,incorrect,euclides,0,0.0,incorrect,autism,0,0.2,incorrect,escher,0,0.2,incorrect,michelangelo,0,0.47,incorrect,euclides,0,0.0,incorrect
['margo'],mom,0,0.5,incorrect,levi's,0,0.0,incorrect,annem,0,0.2,incorrect,garfield,0,0.31,incorrect,diep vien 007,0,0.0,incorrect,dai,0,0.25,incorrect,max,0,0.5,incorrect,sheldon,0,0.17,incorrect,levi's,0,0.0,incorrect,garfield,0,0.31,incorrect,dai,0,0.25,incorrect,sheldon,0,0.17,incorrect
['margo'],harry,0,0.4,incorrect,disney,0,0.0,incorrect,florida,0,0.17,incorrect,florida,0,0.17,incorrect,disney,0,0.0,incorrect,florida,0,0.17,incorrect,alguien,0,0.33,incorrect,trump,0,0.2,incorrect,disney,0,0.0,incorrect,florida,0,0.17,incorrect,florida,0,0.17,incorrect,trump,0,0.2,incorrect
"['margo', 'whitman']",emily dickinson,0,0.2,incorrect,sylvia plath,0,0.21,incorrect,margo,1,1.0,correct,margo,1,1.0,correct,emily dickinson,0,0.2,incorrect,margo,1,1.0,correct,emily,0,0.2,incorrect,orfeo,0,0.4,incorrect,sylvia plath,0,0.21,incorrect,margo,1,1.0,correct,margo,1,1.0,correct,orfeo,0,0.4,incorrect
['ben'],cookiecutter,0,0.13,incorrect,wile,0,0.29,incorrect,charlie brown,0,0.25,incorrect,jack,0,0.0,incorrect,tom,0,0.0,incorrect,jesus,0,0.25,incorrect,el,0,0.4,incorrect,angel,0,0.25,incorrect,wile,0,0.29,incorrect,jack,0,0.0,incorrect,jesus,0,0.25,incorrect,angel,0,0.25,incorrect
['margo'],sign,0,0.22,incorrect,she,0,0.0,incorrect,kimse,0,0.2,incorrect,cadir,0,0.4,incorrect,ai do,0,0.4,incorrect,thoreau,0,0.17,incorrect,nadie,0,0.2,incorrect,robinson,0,0.31,incorrect,she,0,0.0,incorrect,cadir,0,0.4,incorrect,thoreau,0,0.17,incorrect,robinson,0,0.31,incorrect
"['margo', 'marg']",my mother,0,0.31,incorrect,god,0,0.5,incorrect,annem,0,0.22,incorrect,toprak,0,0.2,incorrect,em,0,0.33,incorrect,thuy kieu,0,0.0,incorrect,ella,0,0.25,incorrect,jacob,0,0.4,incorrect,god,0,0.5,incorrect,toprak,0,0.2,incorrect,thuy kieu,0,0.0,incorrect,jacob,0,0.4,incorrect
['margo'],sheila,0,0.18,incorrect,chris,0,0.2,incorrect,ben,0,0.0,incorrect,adam,0,0.22,incorrect,em,0,0.29,incorrect,dai,0,0.25,incorrect,ella,0,0.22,incorrect,frankenstein,0,0.12,incorrect,chris,0,0.2,incorrect,adam,0,0.22,incorrect,dai,0,0.25,incorrect,frankenstein,0,0.12,incorrect
"['spiegelman', 'margo', 'roth', 'margo roth spiegelman']",omnictionarian96,0,0.32,incorrect,q,0,0.0,incorrect,annem,0,0.27,incorrect,omnictionarian96,0,0.32,incorrect,ong,0,0.29,incorrect,thuy kieu,0,0.33,incorrect,omnictionarian96,0,0.32,incorrect,omnictionarian96,0,0.32,incorrect,q,0,0.0,incorrect,omnictionarian96,0,0.32,incorrect,thuy kieu,0,0.33,incorrect,omnictionarian96,0,0.32,incorrect
"['dennis mcmahon', 'mcmahon', 'dennis']",june,0,0.2,incorrect,marlboro,0,0.4,incorrect,emily,0,0.36,incorrect,lighter,0,0.19,incorrect,thong ke,0,0.4,incorrect,marlboro,0,0.4,incorrect,senor thompson,0,0.43,incorrect,marlboro,0,0.4,incorrect,marlboro,0,0.4,incorrect,lighter,0,0.19,incorrect,marlboro,0,0.4,incorrect,marlboro,0,0.4,incorrect
['margo'],she,0,0.0,incorrect,mountain dew,0,0.24,incorrect,marley,0,0.55,incorrect,mountain dew,0,0.24,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect,ella,0,0.22,incorrect,dew,0,0.0,incorrect,mountain dew,0,0.24,incorrect,mountain dew,0,0.24,incorrect,emily,0,0.2,incorrect,dew,0,0.0,incorrect
['whitman'],walt whitman,0,0.74,correct,walt,0,0.36,incorrect,heaney,0,0.46,incorrect,odysseus,0,0.0,incorrect,tho,0,0.2,incorrect,tho,0,0.2,incorrect,coleridge,0,0.12,incorrect,homero,0,0.31,incorrect,walt,0,0.36,incorrect,odysseus,0,0.0,incorrect,tho,0,0.2,incorrect,homero,0,0.31,incorrect
['margo'],she,0,0.0,incorrect,amelia,0,0.36,incorrect,phileas,0,0.17,incorrect,amazon,0,0.55,incorrect,emily,0,0.2,incorrect,marco polo,0,0.53,incorrect,emily,0,0.2,incorrect,marco polo,0,0.53,incorrect,amelia,0,0.36,incorrect,amazon,0,0.55,incorrect,marco polo,0,0.53,incorrect,marco polo,0,0.53,incorrect
['lacey'],emily,0,0.4,incorrect,emily,0,0.4,incorrect,heathcliff,0,0.27,incorrect,tanri,0,0.2,incorrect,quentin,0,0.17,incorrect,margo,0,0.2,incorrect,matilda,0,0.33,incorrect,maria,0,0.2,incorrect,emily,0,0.4,incorrect,tanri,0,0.2,incorrect,margo,0,0.2,incorrect,maria,0,0.2,incorrect
['ben'],max,0,0.0,incorrect,miller,0,0.22,incorrect,bo,0,0.4,incorrect,robin,0,0.5,incorrect,max,0,0.0,incorrect,miller,0,0.22,incorrect,maciek,0,0.22,incorrect,miller,0,0.22,incorrect,miller,0,0.22,incorrect,robin,0,0.5,incorrect,miller,0,0.22,incorrect,miller,0,0.22,incorrect
['lacey'],she,0,0.25,incorrect,,0,0.25,incorrect,liz,0,0.25,incorrect,gus,0,0.0,incorrect,em,0,0.29,incorrect,gus,0,0.0,incorrect,el,0,0.29,incorrect,el,0,0.29,incorrect,,0,0.25,incorrect,gus,0,0.0,incorrect,gus,0,0.0,incorrect,el,0,0.29,incorrect
['margo'],america,0,0.33,incorrect,euclid,0,0.0,incorrect,avustralya,0,0.27,incorrect,cartesius,0,0.29,incorrect,thoreau,0,0.17,incorrect,emily,0,0.2,incorrect,europa,0,0.36,incorrect,google,0,0.36,incorrect,euclid,0,0.0,incorrect,cartesius,0,0.29,incorrect,emily,0,0.2,incorrect,google,0,0.36,incorrect
['margo'],she,0,0.0,incorrect,he,0,0.0,incorrect,bay hammet,0,0.13,incorrect,ben,0,0.0,incorrect,em,0,0.29,incorrect,the,0,0.0,incorrect,el,0,0.0,incorrect,tom,0,0.25,incorrect,he,0,0.0,incorrect,ben,0,0.0,incorrect,the,0,0.0,incorrect,tom,0,0.25,incorrect
"['roth', 'spiegelman', 'margo roth spiegelman', 'spiegelma', 'margo roth spiegelma', 'margo']",god,0,0.5,incorrect,emily,0,0.29,incorrect,onu,0,0.29,incorrect,kitap,0,0.29,incorrect,thoreau,0,0.36,incorrect,thu,0,0.57,incorrect,ella,0,0.46,incorrect,emily,0,0.29,incorrect,emily,0,0.29,incorrect,kitap,0,0.29,incorrect,thu,0,0.57,incorrect,emily,0,0.29,incorrect
['margo'],esther,0,0.18,incorrect,emily,0,0.2,incorrect,hamlet,0,0.18,incorrect,hayat,0,0.2,incorrect,hamlet,0,0.18,incorrect,thoreau,0,0.17,incorrect,ella,0,0.22,incorrect,virginia,0,0.31,incorrect,emily,0,0.2,incorrect,hayat,0,0.2,incorrect,thoreau,0,0.17,incorrect,virginia,0,0.31,incorrect
"['margo—', 'margo']",grandma,0,0.33,incorrect,facebook,0,0.31,incorrect,benim,0,0.2,incorrect,persembe,0,0.15,incorrect,thay,0,0.22,incorrect,thay,0,0.22,incorrect,mi hermano,0,0.4,incorrect,facebook,0,0.31,incorrect,facebook,0,0.31,incorrect,persembe,0,0.15,incorrect,thay,0,0.22,incorrect,facebook,0,0.31,incorrect
['margo'],she,0,0.0,incorrect,god,0,0.5,incorrect,ben,0,0.0,incorrect,epikur,0,0.18,incorrect,chua,0,0.22,incorrect,thoreau,0,0.17,incorrect,jack,0,0.22,incorrect,arrancar,0,0.31,incorrect,god,0,0.5,incorrect,epikur,0,0.18,incorrect,thoreau,0,0.17,incorrect,arrancar,0,0.31,incorrect
['lacey'],julie,0,0.4,incorrect,god,0,0.0,incorrect,gofast,0,0.18,incorrect,godiva,0,0.18,incorrect,jonas,0,0.2,incorrect,god,0,0.0,incorrect,homero,0,0.18,incorrect,godiva,0,0.18,incorrect,god,0,0.0,incorrect,godiva,0,0.18,incorrect,god,0,0.0,incorrect,godiva,0,0.18,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,sen,0,0.0,incorrect,seni,0,0.0,incorrect,anh,0,0.25,incorrect,duc,0,0.0,incorrect,ella,0,0.22,incorrect,dios,0,0.22,incorrect,emily,0,0.2,incorrect,seni,0,0.0,incorrect,duc,0,0.0,incorrect,dios,0,0.22,incorrect
