Single_ent,en,en_results,en_shuffled,en_shuffled_results
['brad'],"[MASK] nodded at me. “You know, if she’s got the same thing you do, if you guys date each other, you’ll both find your soulmates when you break up.”","""title"": ""It's Not Summer Without You"", ""author"": ""Jenny Han""","nodded break up.” same date know, you you’ll soulmates you if both other, when guys [MASK] do, thing find you “You if got at your each she’s the me.","""title"": ""Unknown"", ""author"": ""Unknown"""
['lutsen'],"They were starting to do the couples thing for all the trips and birthdays. They were all going up to [MASK] in October to go hiking. They asked me if I wanted to go, but I didn’t. Not alone.","""title"": ""Maybe a book in the genre of contemporary romance or young adult fiction"", ""author"": ""Possibly Colleen Hoover or John Green""","were wanted for and didn’t. the birthdays. if all I thing in go, the to couples trips go I They going to October were [MASK] They all to starting alone. do me but Not hiking. They asked up to","""title"": ""Unknown/ Uncertain"", ""author"": ""Unknown/ Uncertain"""
['brad'],"[MASK] took a swallow of his drink. “Ask that nurse out. Go wherever she is. Pitch the idea to her, she might be into it.”","""title"": ""Unknown"", ""author"": ""John Green""","that swallow idea out. her, into the Go [MASK] of “Ask she she be might it.” Pitch to nurse took a his drink. is. wherever","""title"": ""Unknown"", ""author"": ""James Joyce"""
['brad'],"“Yeah,” [MASK] said. “She dates you, you guys break up, and she rides happily into the sunset too. It’s a win-win. Seriously. This is your chance. If you don’t do something you’re gonna spend the rest of your life sending women on to their forever families and never getting one for you.”","""title"": ""The Friend Zone"", ""author"": ""Abbi Glines""","sending sunset women “She rides you.” [MASK] gonna forever spend If your something their of your never to break rest you a you, chance. on the life Seriously. up, said. you’re do This win-win. too. is the dates for “Yeah,” It’s families guys you one into happily and getting she don’t and","""title"": ""Unknown/Unidentified book"", ""author"": ""Possibly Nicholas Sparks or a similar contemporary author"""
['brad'],[MASK] looked me in the eye. “You will never find someone as long as all the women you date aren’t actually meant for you. You’re not their soulmate. Their soulmate is the person they meet after you. It’s decided the minute it starts. They are literally fated not to be The One. Think about it.”,"""title"": ""Maybe Now"", ""author"": ""Colleen Hoover""",One. you are all find eye. soulmate aren’t [MASK] as their never date it.” actually person literally to fated Their not soulmate. you. as after minute not looked about meant You’re is be It’s in Think the the The you. They for women it the starts. long the decided someone me they meet “You will,"""title"": ""Unknown/ possibly 'The Soulmate Equation' or a similar romance novel"", ""author"": ""Christina Lauren or a similar author"""
['brad'],"I had actually thought about her. I’d checked once or twice to see if she’d messaged me again. She hadn’t. The last message was me telling her it was nice chatting with her, three days ago. Trying to keep talking to her was a dead end if she lived somewhere else. But I don’t know. Maybe [MASK] had a point. What could it hurt to try? Worst-case scenario, I’d spend some time and money and have no connection with her. What was new? I was already doing that with every date that didn’t pan out anyway.","""title"": ""Unknown, possibly a contemporary romance or dating novel"", ""author"": ""Unknown, possibly a modern author such as Nicholas Sparks, John Green, or Colleen Hoover""","point. hadn’t. talking I about her days money she’d spend her. Trying out and know. The with But What had didn’t or her that date a she I new? checked was What could I to pan [MASK] try? Worst-case thought her. her, see dead else. actually was ago. was had me end messaged already nice a with it and twice message anyway. have some to once doing if to lived scenario, with connection keep was no I’d Maybe hurt telling three it time every that don’t to somewhere if again. chatting I’d She was last me","""title"": ""Unknown/ possibly a modern romance or thriller novel"", ""author"": ""Possibly a contemporary author such as Colleen Hoover, Nicholas Sparks, or E.L. James, but more likely an unknown or emerging author due to the unconventional writing style and lack of clear context."""
['maddy'],"I already knew what he did for a living because [MASK] had cyberstalked him. Of course I couldn’t tell him that, so I had to ask questions.","""title"": ""Unknown, possibly a contemporary romance or thriller novel"", ""author"": ""Unknown, possibly an author like Colleen Hoover, Gillian Flynn, or Paula Hawkins""","had to course Of had did questions. living tell couldn’t what already ask a I I knew he because so for that, [MASK] I him him. cyberstalked","""title"": ""Unknown, possibly a modern thriller or mystery novel"", ""author"": ""Unknown, possibly an author like Gillian Flynn or Paula Hawkins"""
['maddy'],"Me: Not sure yet. I live with my best friend [MASK] and we alternate who chooses where we’ll go next. She picked Hawaii, and I haven’t decided where to go after that.","""title"": ""Unknown/Unidentified book"", ""author"": ""Unknown/Unidentified author""","go to we Not next. that. picked I after we’ll who yet. with chooses and haven’t live go and Hawaii, Me: where She best my where [MASK] sure friend decided alternate I","""title"": ""Unknown"", ""author"": ""Unknown"""
['emma'],"For a moment I debated calling from a blocked number. He was nice, but I still didn’t know him. But I figured it was just as easy to block him later if he got creepy. I dialed and he picked up on the first ring. “[MASK].”","""title"": ""Unknown, possibly a contemporary romance or thriller novel"", ""author"": ""Unknown, possibly Colleen Hoover or a similar author""","But him as creepy. a nice, dialed the ring. I up block to if just picked I still easy moment him. I he but didn’t I “[MASK].” know on debated it For blocked He first was later a he number. from and figured got was calling","""title"": ""Unknown"", ""author"": ""Unknown"""
['brad'],"“But what if it isn’t? I’m just playing devil’s advocate here. What if it isn’t? [MASK] said that everyone I’m serious enough to date more than twice is cosmically destined for someone else.” He went quiet for a beat. “Does nobody feel right to you? Like, there’s just enough there to give it a little go, but then the bottom falls out? Is that just me? Or is it like that for you also?”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","Is you? said isn’t? out? I’m it to also?” that for for there enough date He is just it right everyone that give to like if if more a just else.” a bottom serious destined [MASK] falls isn’t? Or what “But than twice I’m for but go, nobody there’s me? just advocate little then it to the feel someone that devil’s is beat. it Like, went here. What “Does cosmically enough you playing quiet","""title"": ""Unknown/ Uncertain"", ""author"": ""James Joyce or Virginia Woolf or possibly another experimental author"""
['brad'],"“Look,” he said. “I know the idea’s a little out there. But if this is actually a thing, we’re in a pretty low-risk/high-reward situation. We’d just have to hang out a few times and then stop. That’s it. If what [MASK] said is true and we can’t find our person because everyone we’re interested in is meant for someone else, I would actually really like it if it stopped.”","""title"": ""The Rosie Project"", ""author"": ""Graeme Simsion""","everyone said. That’s if few would it is for times know and this really can’t [MASK] hang I thing, We’d idea’s But stop. then just out interested we the else, he stopped.” if “Look,” little person in “I a is is actually to said it. what a we’re it in pretty situation. we’re actually there. out true like If have someone our find and a meant because low-risk/high-reward a","""title"": ""Unknown/Unidentified book"", ""author"": ""Possibly a modern or experimental author, but uncertain due to the passage's unclear and disjointed nature"""
['maddy'],"I nodded and put up a finger. “I’ve got to go,” I said into the phone. “[MASK] wants to watch a movie.”","""title"": ""Unknown"", ""author"": ""Unknown""","wants finger. I got into phone. “[MASK] and a “I’ve to movie.” up watch nodded to put a I said the go,”","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"[MASK] looked annoyed. “Probably didn’t pay the bill. You know, for someone who asks you for as much money as she does, she sure ends up in collections a lot. God, I hate her.”","""title"": ""Unknown"", ""author"": ""John Grisham""","know, up asks God, bill. a didn’t someone annoyed. in You hate she does, who money you I collections [MASK] much “Probably her.” ends for sure looked pay for the lot. as she as","""title"": ""Unknown/ Uncertain"", ""author"": ""James Joyce or possibly another experimental author"""
['maddy'],"I looked away from her. My relationship with my mother was complicated. It wasn’t complicated for [MASK] though, she knew exactly how she felt about it.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","It how away My with was from mother complicated complicated. she relationship for my wasn’t her. it. she I felt exactly knew about though, looked [MASK]","""title"": ""Unknown/Unidentified"", ""author"": ""Possibly a memoir or autobiographical work, but uncertain, possibly someone like Maya Angelou or Toni Morrison"""
['amber'],"I’d stopped calling jails and hospitals years ago when this kind of thing happened. Filing a missing person’s report was a waste of time. [MASK] moved too fast, was too impulsive. She’d go to a concert and climb onto a tour bus and end up across the US. Or she’d meet a guy at a bar and get invited to live on his boat for four months in Florida.","""title"": ""Verity"", ""author"": ""Colleen Hoover""","onto four I’d fast, a bus was of jails a missing stopped Filing the happened. a report She’d bar Or at time. [MASK] this calling guy when end go years a too across impulsive. up and climb to of a waste thing to on get kind a meet US. boat concert months Florida. she’d and live was and for in invited ago too tour moved person’s his hospitals and","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"“I don’t understand how that woman made this,” [MASK] said, going on, waving a hand over my face. “A fully functional member of society.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","fully “I my understand said, that this,” face. waving on, over of don’t made going member society.” functional woman hand a [MASK] “A how","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],This is where we always landed with Mom. [MASK] being furious on my behalf and me reminding her that Mom wasn’t all bad. Sometimes she was wonderful.,"""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",furious bad. landed wonderful. we me [MASK] and where behalf her wasn’t Sometimes Mom. was Mom on This always being all she that with is my reminding,"""title"": ""Unknown/ Uncertain"", ""author"": ""Possibly a modern or experimental author, such as James Joyce or Virginia Woolf, due to the unconventional writing style, but more likely a generated or redacted text"""
['muse'],"When my mother was at her best, you could meet her and walk away thinking you’d been in the presence of a [MASK] or an angel. This witty, enchanting woman who made you feel interesting and special.","""title"": ""The Glass Castle"", ""author"": ""Jeannette Walls""","of and at meet interesting been [MASK] When the woman her away you presence my who an in This best, her walk and or enchanting a witty, special. mother angel. feel could you you’d was thinking made","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"[MASK]’s moms were my foster parents. They’d wanted to be my real parents, but it just never felt right. I had a mom. And I was fourteen when they got me. The imprinting didn’t take. That’s all I could say about it, it just didn’t take. I cared about them. I called on their birthdays and came back with [MASK] for Christmas when we could get it off. They just weren’t… mine. And [MASK] knew it. It bothered her. She couldn’t wrap her brain around it and I couldn’t explain it to her in any way that she found acceptable.","""title"": ""Crescent City: House of Earth and Blood"", ""author"": ""Sarah J. Maas""","[MASK]’s them. back just real explain called about say She off. that cared brain were could in wanted it, could birthdays They’d right. acceptable. to they it take. and we but foster fourteen I I and when felt me. I just [MASK] it she parents. never mom. wrap It her any That’s came all couldn’t her. bothered their knew had around it my just And found my moms The imprinting mine. her parents, was weren’t… I a when got be I it didn’t on with couldn’t Christmas [MASK] to for it didn’t And I get take. about They it. way","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
['maddy'],"[MASK] hadn’t come back last night, as promised, and I guess the date went well because he was taking her to breakfast and then some art exhibit. She wouldn’t be home until dinner. I was off and had nothing to do and nowhere to be.","""title"": ""Maybe a psychological thriller or contemporary novel, possibly 'Gone Girl' or a similar book"", ""author"": ""Gillian Flynn or a similar author, such as Paula Hawkins or Ruth Ware""","taking to be I back because well art wouldn’t and and do and some breakfast come hadn’t nowhere went to nothing home promised, her She then had to night, as he was last I until off guess [MASK] exhibit. dinner. was date and the be.","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['maddy'],"“Yeah, it had rope bridges and everything. We were on a quick two-week assignment to Atlanta. [MASK] and I had to share a bed, but it was so cool.”","""title"": ""Unknown, possibly a young adult or contemporary novel"", ""author"": ""Unknown, possibly John Green or Rainbow Rowell""","two-week but everything. were quick a assignment was and share had on cool.” and bridges Atlanta. it to to it bed, We a rope so [MASK] I “Yeah, had","""title"": ""Unknown"", ""author"": ""Unknown"""
['brad'],"“Not today. But when I had lunch with them yesterday we talked about the Reddit thread. I told them about you, obviously,” he said. “That’s when [MASK] gave me his prophecy about you and I being able to break the curse.”","""title"": ""It Starts with Us"", ""author"": ""Colleen Hoover""","prophecy about being [MASK] when thread. the Reddit said. we break lunch “That’s to But gave me “Not today. them when yesterday his I he I about with and you the talked you, able curse.” them I had told about obviously,”","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],“That is exactly what I was telling [MASK] a few weeks ago. Some guy proposed in front of a whole stadium at this game we went to—and the girl said no.”,"""title"": ""The Fault in Our Stars"", ""author"": ""John Green""",went whole to—and guy front [MASK] game Some girl said proposed a few telling of no.” in “That a the I ago. at we weeks what this exactly stadium is was,"""title"": ""Unknown"", ""author"": ""Unknown"""
['emma'],"I pulled up to the high school pickup line and put the car in park, then grabbed my phone to look at the picture of [MASK]. Again.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","and pulled my to the at look school line the Again. the picture in pickup put park, grabbed high then to up of car phone [MASK]. I","""title"": ""Unknown"", ""author"": ""Unknown"""
['alex'],"A bell rang and kids started pouring out. The last day of summer school. When I saw my brother, [MASK], walking with a group of his friends toward the buses, I rolled down the passenger side window and leaned across the seat. “Hey! Need a ride?”","""title"": ""Looking for Alaska"", ""author"": ""John Green""","seat. last the “Hey! side down window walking When a group the and the with friends brother, toward school. my leaned ride?” [MASK], of buses, of Need across rolled summer bell pouring rang kids A started I I passenger out. day his a saw The and","""title"": ""Unknown/Unidentified book"", ""author"": ""Possibly a young adult or children's book author, but unable to determine with certainty due to the fragmented and unclear nature of the passage."""
['sarah'],"I got up. “I gotta get going,” I said flatly. “Want me to run this up to [MASK]?” I nodded at the bag of food for my sister.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","got for food of up get run [MASK]?” to I said this going,” “Want up. sister. the me gotta my flatly. nodded I at bag I “I to","""title"": ""Unknown/ Uncertain"", ""author"": ""Unknown/ Uncertain"""
['mcdonald'],"I came in and looked around. “This is new,” I said. She had red LED string lights along the walls. The whole bedroom was bathed in red. It was sort of depressing. “I got you [MASK]’s.”","""title"": ""Unknown, possibly a contemporary novel or romance book"", ""author"": ""Unknown, possibly an American author such as John Green, Rainbow Rowell, or Colleen Hoover""","[MASK]’s.” She bedroom bathed you new,” walls. string around. I looked red. in lights I of got was It the along depressing. “I The in came whole said. “This had was is LED and red sort","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"[MASK] looked up. Then her eyes dropped to the laptop I was holding and she somehow immediately knew what was about to happen. “No.” She shook her head. “No. No, no, no, no, no. NO.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","up. was “No.” somehow looked She immediately was no, laptop Then shook No, and what eyes her holding head. to the dropped knew to about NO.” happen. no, “No. no, she no. I her [MASK]","""title"": ""Unknown"", ""author"": ""Unknown"""
['emma'],"As we started pulling our bags from the trunk, a brown-haired middle-aged woman came out of the side of the three-car garage. “Are you [MASK]?” she said in a thick Mexican accent.","""title"": ""Unknown, possibly a contemporary novel"", ""author"": ""Unknown, possibly John Green or a similar author""","came a As the she bags side three-car middle-aged started the our garage. thick the said “Are woman accent. brown-haired Mexican of you from a we [MASK]?” out pulling of in trunk,","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
['maddy'],"[MASK] scoffed quietly. “Yeah, I don’t think we’re going to lose the house. They can probably see it from space.”","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams""","think from I we’re the can space.” quietly. to see house. lose scoffed it [MASK] don’t “Yeah, going They probably","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"[MASK] must have been thinking the same thing I was. “Does it rain a lot in Minnesota?” she asked, raising her voice over the sound of the old motor.","""title"": ""Unknown"", ""author"": ""John Green""","old was. motor. the over her been a have I must of [MASK] in thing same she raising sound it rain asked, lot the “Does the voice Minnesota?” thinking","""title"": ""Unknown"", ""author"": ""Possibly James Joyce or Virginia Woolf"""
['maddy'],We lugged our bags up the stairs and were sweating by the time we made it to the door. We came in through a screened-in porch that overlooked the lake. [MASK] and I shared a glance. It was adorable. White wicker rocking chairs and a small matching loveseat with thick floral cushions. A cute coffee table and plastic ferns in wrought-iron planters and hanging baskets.,"""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell""",the It that I up lake. sweating it shared lugged through [MASK] wicker porch cushions. coffee in A were White came We hanging stairs loveseat glance. bags and cute overlooked table and and ferns We and rocking time to in chairs screened-in our matching thick adorable. and planters small the plastic by a was baskets. door. the we with the floral wrought-iron a a made,"""title"": ""Unknown, possibly a romance or descriptive novel"", ""author"": ""Possibly Nicholas Sparks or a similar author, but more likely an unknown or modern author due to the descriptive and somewhat disjointed style"""
['maddy'],"The bedrooms were off the living room on either side of a short hallway with a single bathroom shared in the middle. The bathroom had a white claw-foot tub, pale blue tile, and an old pedestal sink. I took the room with the cushioned reading nook in the window and [MASK] picked the one with the hanging swing chair in the corner.","""title"": ""Maybe Someday"", ""author"": ""Colleen Hoover""","off with living the middle. and picked The in bathroom shared reading in the a I a room blue the an corner. one the bathroom the in pale [MASK] pedestal the room claw-foot took chair the old white side single tile, on either The with hanging nook hallway with the bedrooms swing had cushioned of a and sink. window tub, short were","""title"": ""Unknown, possibly a descriptive passage from a literary fiction novel or a descriptive piece from an unknown author, but it slightly resembles the writing style of authors like Virginia Woolf or James Joyce, so a possible guess could be 'Ulysses' or 'Mrs. Dalloway' but it is highly uncertain"", ""author"": ""Unknown, possibly Virginia Woolf or James Joyce, but it is highly uncertain and speculative"""
['maddy'],"Four hours later, [MASK] and I were back at the cottage sitting in the screened-in porch. We’d had dinner in town and then boated back. The fridge was stocked up and we’d unpacked.","""title"": ""Unknown"", ""author"": ""Unknown""","at unpacked. hours was and had fridge I up later, in boated Four the then the cottage dinner and [MASK] We’d town The porch. and back were back. screened-in sitting stocked we’d in","""title"": ""Unknown, possibly a memoir or personal narrative"", ""author"": ""Possibly a contemporary or modern author, but uncertain due to lack of context and information in the passage"""
['emma'],She looked away from me. “[MASK]…” Her eyes came back to mine. “Please. Please do it. Do it now before you lose the chance to meet them altogether. People don’t live forever.”,"""title"": ""Unknown, possibly a young adult or contemporary novel"", ""author"": ""Possibly John Green or Rainbow Rowell, but more likely Veronica Roth or Suzanne Collins due to the tone and style of the passage""",to looked them don’t chance altogether. the meet now came before She forever.” People Please live Do “[MASK]…” do it “Please. away Her you eyes lose from mine. back to me. it.,"""title"": ""Unknown/ Uncertain"", ""author"": ""Possibly a romance or poetry author, but uncertain due to the fragmented nature of the passage, possibly someone like Jane Austen or the Bronte sisters, but more likely a modern author due to the style and structure of the text."""
['maddy'],"“How about this,” [MASK] said. “Run your DNA and make your account private. We’ll change your privacy settings for a few minutes, poke around. If you have any relatives out there, we’ll screenshot it and go back to private. Then I’ll go and find them online and tell you if they seem like people worth knowing.”","""title"": ""The Circle"", ""author"": ""Dave Eggers""","and they private. poke any about relatives Then to We’ll screenshot you knowing.” and privacy settings make seem go minutes, few back your account change if around. this,” private. said. find I’ll and out [MASK] it them worth your go and tell online your you there, for like “Run a “How we’ll people have DNA If","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"We prioritized power for the coffee maker first and we brewed a pot while I sat in the kitchen with a towel wrapped around my head. When it was done, [MASK] poured me a cup and handed it to me.","""title"": ""Unknown, possibly a contemporary novel or memoir"", ""author"": ""Unknown, possibly a female author such as Emily Henry or Taylor Jenkins Reid""","it my a first sat in me. maker a the and was done, for We a [MASK] with handed me prioritized brewed to I and towel we poured kitchen cup power while head. it When the pot wrapped around coffee","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"The snail’s-pace speed the pontoon put out somehow seemed faster with the beach approaching. [MASK] threw it in reverse. The engine downshifted miserably, but we started to slow. Then to my horror we began to move backward, motor first, right into the dock.","""title"": ""Old Man and the Sea"", ""author"": ""Ernest Hemingway""","downshifted slow. speed horror out to with miserably, to backward, we the reverse. into [MASK] move snail’s-pace somehow motor threw right started my it to The beach we faster in first, pontoon seemed put Then began The engine but the dock. approaching. the","""title"": ""On the Road"", ""author"": ""Jack Kerouac"""
['maddy'],"When we were safely away from anything we could crash into, [MASK] killed the engine and slumped in the captain’s seat. “If we’d been on the other side of the dock, we could have hit the yacht,” she said, looking shaken.","""title"": ""Unknown, possibly a thriller or adventure novel"", ""author"": ""Unknown, possibly a modern author such as John Grisham, James Patterson, or Clive Cussler""","yacht,” said, other the the we seat. crash side we’d killed “If engine and captain’s on could looking the [MASK] from shaken. safely in the hit of been away slumped could we she were into, When have dock, anything we the","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"I lined the nose of the boat up with the side of the dock and started for it again, only this time I killed the thrust earlier. We coasted along the side and I put us into reverse to slow us down while [MASK] grabbed one of the dock poles and we came to a stop.","""title"": ""Old Man and the Sea"", ""author"": ""Ernest Hemingway""","earlier. us to nose thrust time I of and this put boat grabbed coasted the I came with along the the while us again, lined and stop. We up dock the reverse killed the side started the we side of I down dock and a for poles slow [MASK] to of only into it the one","""title"": ""Unknown/ Uncertain"", ""author"": ""Unknown/ Uncertain"""
['maddy'],"Her phone rang. “Oh, hold on. I have to leave my ringer on in case [MASK] gets in trouble trying to get back.” She looked at it. “It’s her.” She swiped and put the phone to her ear. “[MASK]? Are you okay?” She listened for a second and then glanced at me. “Okay.” Then she hung up. She nodded over her shoulder. “Can we go down there really quick?”","""title"": ""Unknown, possibly a contemporary novel or thriller"", ""author"": ""Unknown, possibly a modern author such as Gillian Flynn or Paula Hawkins""","in over to hold glanced and a phone at listened in go second get rang. ringer “Can “Okay.” okay?” then hung really Are down [MASK] for at my swiped her phone leave up. shoulder. “It’s trying on. Her back.” the have to we She put “Oh, trouble me. her gets “[MASK]? her.” it. I Then there on She quick?” and you nodded to ear. looked She she She case","""title"": ""Unknown"", ""author"": ""Unknown"""
['benny'],I hadn’t really cared too much that [MASK] might not be here today. He wasn’t the point of this visit. But all that had changed in the last ten minutes. Now I wanted my friends to meet her so I had someone to talk to about her.,"""title"": ""Unknown, possibly a romance or young adult novel"", ""author"": ""Unknown, possibly a contemporary author such as John Green or Rainbow Rowell""",talk that too I not cared last to friends hadn’t so someone changed meet that really had about all the my minutes. visit. might to He here be wanted Now the I point had wasn’t today. But to [MASK] her this in of ten I her. much,"""title"": ""Unknown/ Uncertain"", ""author"": ""Unknown/ Uncertain"""
['jane'],[MASK] led us through their living room and down a hall and stopped by a closed door. “Everything’s ready. You guys can go in when you want.”,"""title"": ""Unknown, possibly a young adult or contemporary novel"", ""author"": ""Unknown, possibly John Green or Rainbow Rowell""",You door. go down their a you through when ready. “Everything’s hall closed room by want.” guys us can a stopped [MASK] and living and led in,"""title"": ""Unknown/ Uncertain"", ""author"": ""Possibly James Joyce or Virginia Woolf"""
