Book,Character List,Count,en,es,tr,vi,In Title
Adventures_of_Huckleberry_Finn,"('bayan hooker', 'hooker')",1,8,8,8,8,False
Adventures_of_Huckleberry_Finn,"('abner moore',)",1,2,2,2,2,False
Adventures_of_Huckleberry_Finn,"('albay sherburn', 'colonel sherburn', 'sherburn')",1,16,16,17,17,False
Adventures_of_Huckleberry_Finn,"('ricardo iii', 'richard', 'richard iii')",1,6,6,6,5,False
Adventures_of_Huckleberry_Finn,"('huck',)",1,104,76,73,68,True
Adventures_of_Huckleberry_Finn,"('aguassucias', 'bilgewater', 'bridgewater')",1,10,11,15,14,False
Adventures_of_Huckleberry_Finn,"('harvey',)",1,22,22,22,14,False
Adventures_of_Huckleberry_Finn,"('elizabeth', 'lizabeth')",1,2,2,2,2,False
Adventures_of_Huckleberry_Finn,"('barley', 'bartley', 'bayan bartley')",1,3,3,3,1,False
Adventures_of_Huckleberry_Finn,"('susan',)",1,10,10,10,8,False
Adventures_of_Huckleberry_Finn,"('levi bell', 'levi ben')",1,5,5,5,3,False
Adventures_of_Huckleberry_Finn,"('tim collins',)",1,1,1,1,1,False
Adventures_of_Huckleberry_Finn,"('hines',)",1,6,6,5,4,False
Adventures_of_Huckleberry_Finn,"('bayan phelps', 'phelps', 'señora phelps')",1,17,17,18,14,False
Adventures_of_Sherlock_Holmes,"('bay holmes', 'holme', 'holmes', 'señor holmes', 'sherlock holmes')",36,461,462,512,466,True
Adventures_of_Sherlock_Holmes,"(""'bay ferguson"", 'bay duncan ross', 'bay holder', 'bay jabez wilson', 'bay wilson', 'duncan ross', 'ferguson', 'holde', 'holder', 'jabez wilso', 'jabez wilson', 'señor wilson', 'sr', 'wilso', 'wilson')",15,23,63,22,22,False
Adventures_of_Sherlock_Holmes,"('albay lysander stark', 'bay rucastle', 'bayan rucastle', 'bayan stoner', 'lady st', 'lestrade', 'lord st', 'lysander stark', 'ruca', 'rucastle', 'señor rucastle', 'señora rucastle', 'señora st', 'simon', 'st', 'stark', 'stone', 'stoner')",12,3356,4551,1194,279,False
Adventures_of_Sherlock_Holmes,"('watso', 'watson')",7,81,81,91,80,False
Adventures_of_Sherlock_Holmes,"('bayan mary sutherland', 'mar', 'mary', 'mary sutherla', 'mary sutherland')",3,262,307,91,28,False
Adventures_of_Sherlock_Holmes,"('bay jones', 'jones')",3,11,16,11,11,False
Adventures_of_Sherlock_Holmes,"('bay hosmer angel', 'hosmer', 'hosmer angel')",3,23,23,23,23,False
Adventures_of_Sherlock_Holmes,"('mccarthy',)",2,40,40,37,41,False
Adventures_of_Sherlock_Holmes,"('bayan hunter', 'hunter')",2,22,22,22,23,False
Adventures_of_Sherlock_Holmes,"('bay merryweather', 'merryweather')",2,12,12,12,12,False
Adventures_of_Sherlock_Holmes,"('william morri', 'william morris')",1,2,2,2,2,False
Adventures_of_Sherlock_Holmes,"('adle', 'adler', 'bayan adler')",1,16,16,18,18,False
Adventures_of_Sherlock_Holmes,"('godfrey norton',)",1,5,5,5,5,False
Adventures_of_Sherlock_Holmes,"('conde von kramm', 'kont von kramm', 'kram', 'the count von kramm')",1,2,2,2,2,False
Adventures_of_Sherlock_Holmes,"('ezekiah hopkin', 'ezekiah hopkins')",1,2,2,2,2,False
Adventures_of_Sherlock_Holmes,"('ned',)",1,429,5,127,1,False
Adventures_of_Sherlock_Holmes,"('clay', 'john clay')",1,15,7,7,7,False
Adventures_of_Sherlock_Holmes,"('james',)",1,21,21,21,21,False
Adventures_of_Sherlock_Holmes,"('bay windibank', 'windiban', 'windibank')",1,20,20,20,20,False
Adventures_of_Sherlock_Holmes,"('turner',)",1,22,22,25,21,False
Adventures_of_Sherlock_Holmes,"('moran',)",1,14,14,10,13,False
Adventures_of_Sherlock_Holmes,"('alice',)",1,12,12,16,12,False
Adventures_of_Sherlock_Holmes,"('openshaw',)",1,16,16,17,16,False
Adventures_of_Sherlock_Holmes,"('dr roylott', 'roylot', 'roylott')",1,23,23,27,23,False
Adventures_of_Sherlock_Holmes,"('arthur',)",1,20,20,21,20,False
Alice_in_Wonderland,"('alic', 'alice', 'alice ejder', 'alicia')",45,397,430,423,529,True
Alice_in_Wonderland,"('dodo',)",1,13,12,11,17,False
Below_Zero,"('hannah',)",15,44,0,0,0,False
Below_Zero,"('mara',)",10,59,0,0,0,False
Below_Zero,"('merel',)",7,25,0,0,0,False
Below_Zero,"('floyd',)",6,37,0,0,0,False
Below_Zero,"('arroyo',)",2,8,0,0,0,False
Below_Zero,"('kalpana chawla',)",1,1,0,0,0,False
Below_Zero,"('eager beaver',)",1,1,0,0,0,False
Below_Zero,"('let',)",1,64,0,0,0,False
Below_Zero,"('python',)",1,1,0,0,0,False
Below_Zero,"('fuck',)",1,53,0,0,0,False
Below_Zero,"('karl',)",1,2,0,0,0,False
Below_Zero,"('haven',)",1,6,0,0,0,False
Below_Zero,"('great',)",1,24,0,0,0,False
Bride,"('serena',)",28,236,0,0,0,False
Bride,"('abel', 'alex', 'alpha', 'cal', 'l', 'lark', 'loyals', 'moreland')",21,18510,0,0,0,False
Bride,"('ana',)",18,282,0,0,0,False
Bride,"('vampyre', 'vampyres')",16,239,0,0,0,False
Bride,"('max',)",5,77,0,0,0,False
Bride,"('davenport',)",3,20,0,0,0,False
Bride,"('roscoe',)",2,45,0,0,0,False
Bride,"('emery',)",2,58,0,0,0,False
Bride,"('juno',)",2,57,0,0,0,False
Bride,"('koen',)",2,30,0,0,0,False
Bride,"('essen',)",1,1,0,0,0,False
Dracula,"(""'lord godalming"", 'bà min', 'godalming', 'harker', 'lord godalming', 'lordship', 'madam mina', 'min', 'mina', 'ms harker', 'n chúa', 'señora harker', 'señora mina')",22,849,0,0,0,False
Dracula,"('conde drácula', 'dracula', 'drácula', 'kont', 'kont dracula', 'luc', 'lucy', 'miss lucy', 'miss westenra', 'renfield', 'skinsky', 'westenra')",21,305,0,0,0,True
Dracula,"('doctor van helsing', 'helsing', 'van helsin', 'van helsing')",17,322,0,0,0,False
Dracula,"('jona', 'jonathan')",10,201,0,0,0,False
Dracula,"('doctor seward', 'dr seward', 'sewar', 'seward')",5,128,0,0,0,False
Dracula,"('amigo john', 'john')",3,76,0,0,0,False
Dracula,"('bersicker',)",2,9,0,0,0,False
Dracula,"('morris', 'mr morris', 'quincey morri', 'señor morris')",2,78,0,0,0,False
Dracula,"('bilde', 'bilder', 'bà bilder', 'mr bilder', 'ms tom', 'tom')",2,81,0,0,0,False
Dracula,"('atila', 'attila', 'magyard')",1,2,0,0,0,False
Dracula,"('hawkins', 'mr hawkins')",1,25,0,0,0,False
Dracula,"('arthur',)",1,147,0,0,0,False
Dracula,"('olgaren',)",1,1,0,0,0,False
Dracula,"('thomas',)",1,7,0,0,0,False
Dracula,"('sam',)",1,123,0,0,0,False
Dune,"('pau', 'paul')",46,1732,1730,2068,1719,False
Dune,"('dama jessica', 'jessic', 'jessica', 'leydi jessica')",21,895,955,1388,901,False
Dune,"('ging halleck', 'gurney', 'gurney halleck', 'halleck')",9,348,345,360,351,False
Dune,"('baron', 'barón', 'nam', 'ùng')",5,584,564,577,863,False
Dune,"('leto',)",4,223,245,234,215,False
Dune,"('chani', 'jamis')",3,268,258,320,260,False
Dune,"('harkonnen', 'yueh')",2,312,307,318,315,False
Dune,"('hawat', 'thufir hawat')",2,429,434,482,433,False
Dune,"('stilgar',)",2,400,399,460,401,False
Dune,"('bene gesserit',)",1,140,142,144,150,False
Dune,"('kynes', 'ngài')",1,329,326,344,635,False
Dune,"('fremen',)",1,413,413,427,431,False
Dune,"('harah',)",1,84,82,100,84,False
Dune,"('muad',)",1,173,172,176,173,False
Dune,"('alia',)",1,99,112,98,99,False
Fahrenheit_451,"('mildred', 'montag', 'montag tin')",64,456,623,614,454,False
Fahrenheit_451,"('george', 'granger')",5,25,25,25,25,False
Fahrenheit_451,"('faber',)",4,88,92,84,89,False
Fahrenheit_451,"('bayan bowles', 'bowles')",4,11,11,11,11,False
Fahrenheit_451,"('beatty',)",4,115,114,118,116,False
Fahrenheit_451,"('bayan phelps', 'phelps')",3,15,15,15,15,False
Fahrenheit_451,"('gloria',)",1,1,1,1,1,False
First_Lie_Wins,"('ryan',)",43,441,0,0,0,False
First_Lie_Wins,"('amy', 'amy holder')",10,122,0,0,0,False
First_Lie_Wins,"('james',)",7,103,0,0,0,False
First_Lie_Wins,"('matt',)",5,74,0,0,0,False
First_Lie_Wins,"('andrew', 'andrew marshall', 'marshall')",5,63,0,0,0,False
First_Lie_Wins,"('george',)",4,53,0,0,0,False
First_Lie_Wins,"('mama',)",3,39,0,0,0,False
First_Lie_Wins,"('tate',)",2,63,0,0,0,False
First_Lie_Wins,"('sawyer',)",2,13,0,0,0,False
First_Lie_Wins,"('greg',)",2,18,0,0,0,False
First_Lie_Wins,"('pat',)",2,48,0,0,0,False
First_Lie_Wins,"('jenny',)",2,28,0,0,0,False
First_Lie_Wins,"('devon',)",2,161,0,0,0,False
First_Lie_Wins,"('lucca',)",2,73,0,0,0,False
First_Lie_Wins,"('rogers',)",1,12,0,0,0,False
First_Lie_Wins,"('eden',)",1,26,0,0,0,False
First_Lie_Wins,"('sara',)",1,24,0,0,0,False
First_Lie_Wins,"('beth',)",1,19,0,0,0,False
First_Lie_Wins,"('bernard',)",1,41,0,0,0,False
First_Lie_Wins,"('bullock',)",1,8,0,0,0,False
First_Lie_Wins,"('porter',)",1,48,0,0,0,False
First_Lie_Wins,"('cameron',)",1,18,0,0,0,False
First_Lie_Wins,"('tyron',)",1,20,0,0,0,False
Frankenstein,"('clerva', 'clerval', 'frankenstein', 'querido clerval', 'ren')",12,205,247,230,62,True
Frankenstein,"('kirwin', 'krempe', 'm', 'margare', 'margaret', 'mr kirwin', 'profesör waldman', 'señor kirwin', 'señor krempe', 'thn hy ho', 'waldman', 'william')",11,10234,10844,15045,9286,False
Frankenstein,"('eliz', 'elizabeth')",8,92,137,109,92,False
Frankenstein,"('henr', 'henry')",5,26,25,30,27,False
Frankenstein,"('felix', 'félix')",4,50,50,57,52,False
Frankenstein,"('justine',)",4,55,61,57,51,False
Frankenstein,"('de lace', 'de lacey')",3,9,9,9,9,False
Frankenstein,"('daniel', 'daniel nugen', 'daniel nugent')",2,3,3,3,3,False
Frankenstein,"('caroline beaufort',)",1,2,2,2,2,False
Frankenstein,"('dante',)",1,1,8,1,1,False
Funny_Story,"('peter', 'peterverse')",27,191,0,0,0,False
Funny_Story,"('daph', 'daphne')",18,137,0,0,0,False
Funny_Story,"('petra',)",11,100,0,0,0,False
Funny_Story,"('harvey',)",6,52,0,0,0,False
Funny_Story,"('duke',)",5,18,0,0,0,False
Funny_Story,"('mulder',)",3,24,0,0,0,False
Funny_Story,"('landon',)",2,12,0,0,0,False
Funny_Story,"('barb',)",2,31,0,0,0,False
Funny_Story,"('jules',)",2,7,0,0,0,False
Funny_Story,"('cooper',)",2,13,0,0,0,False
Funny_Story,"('maya',)",2,8,0,0,0,False
Funny_Story,"('renesmee',)",1,1,0,0,0,False
Funny_Story,"('fontana',)",1,2,0,0,0,False
Funny_Story,"('arham',)",1,6,0,0,0,False
Funny_Story,"('dorner',)",1,9,0,0,0,False
Funny_Story,"('greg',)",1,4,0,0,0,False
Funny_Story,"('batman',)",1,2,0,0,0,False
Funny_Story,"('tom petty',)",1,2,0,0,0,False
Funny_Story,"('edvard munch',)",1,1,0,0,0,False
Funny_Story,"('clarence',)",1,3,0,0,0,False
Funny_Story,"('santa claus',)",1,2,0,0,0,False
Funny_Story,"('morgan freeman',)",1,2,0,0,0,False
Funny_Story,"('martín',)",1,3,0,0,0,False
Funny_Story,"('pam',)",1,2,0,0,0,False
Funny_Story,"('ben',)",1,32,0,0,0,False
Funny_Story,"('charlotte lucas',)",1,1,0,0,0,False
Funny_Story,"('ryan reynolds',)",1,4,0,0,0,False
Funny_Story,"('handsy stanley',)",1,2,0,0,0,False
Funny_Story,"('beard',)",1,28,0,0,0,False
Funny_Story,"('lenore',)",1,25,0,0,0,False
Funny_Story,"('lance',)",1,39,0,0,0,False
Harry_Potter_and_the_Deathly_Hallows,"('harr', 'harry', ""harry'nin patronus"", ""harry'ye"")",34,3184,2595,3298,3364,True
Harry_Potter_and_the_Deathly_Hallows,"('hermione', ""hermione'nin"", ""hermione'ye"")",13,1225,1082,1287,1379,False
Harry_Potter_and_the_Deathly_Hallows,"('ron', ""ron'dan"")",10,586,541,506,1035,False
Harry_Potter_and_the_Deathly_Hallows,"('draco malfoy', 'luciu', 'lucius', 'lucius malfoy', 'malfoy', 'malfoys')",4,89,87,87,93,False
Harry_Potter_and_the_Deathly_Hallows,"('albus dumbledore', ""albus dumbledore'un"", 'dumbledore')",5,595,495,572,595,False
Harry_Potter_and_the_Deathly_Hallows,"('mr weasley', ""mr weasley'nin"", 'ms weasley', 'señor weasley', 'señora weasley', 'weasley')",4,192,163,191,196,False
Harry_Potter_and_the_Deathly_Hallows,"('señor tenebroso', 'the elder wand', 'voldemort')",3,444,388,431,447,False
Harry_Potter_and_the_Deathly_Hallows,"('snape',)",2,293,264,297,302,False
Harry_Potter_and_the_Deathly_Hallows,"('muriel',)",2,52,46,54,53,False
Harry_Potter_and_the_Deathly_Hallows,"('lupin',)",2,167,155,165,168,False
Harry_Potter_and_the_Deathly_Hallows,"('moody',)",2,30,28,29,26,False
Harry_Potter_and_the_Deathly_Hallows,"('hagri', 'hagrid', ""hagrid'in"", 'hayalbozan')",2,172,150,169,173,False
Harry_Potter_and_the_Deathly_Hallows,"('fred',)",2,95,93,95,96,False
Harry_Potter_and_the_Deathly_Hallows,"('kuera', 'vernon')",1,50,39,50,49,False
Harry_Potter_and_the_Deathly_Hallows,"('dudley',)",1,49,39,50,53,False
Harry_Potter_and_the_Deathly_Hallows,"('pius thi', 'pius thicknesse')",1,4,5,5,4,False
Harry_Potter_and_the_Deathly_Hallows,"('luna',)",1,142,142,181,150,False
Harry_Potter_and_the_Deathly_Hallows,"('george',)",1,77,74,74,78,False
Harry_Potter_and_the_Deathly_Hallows,"('ginny',)",1,122,128,124,135,False
Harry_Potter_and_the_Deathly_Hallows,"('xenophilius',)",1,92,74,83,96,False
Harry_Potter_and_the_Deathly_Hallows,"('lee',)",1,122,57,17,16,False
Harry_Potter_and_the_Deathly_Hallows,"('ollivander',)",1,72,68,57,71,False
Harry_Potter_and_the_Deathly_Hallows,"('mcgonagall', 'profesör mcgonagall')",1,70,53,69,72,False
Harry_Potter_and_the_Deathly_Hallows,"('james',)",1,58,54,59,58,False
Harry_Potter_and_the_Deathly_Hallows,"('umbridge',)",1,46,43,44,48,False
Harry_Potter_and_the_Deathly_Hallows,"('sirius',)",1,70,61,71,71,False
Harry_Potter_and_the_Deathly_Hallows,"('vernon dursley',)",1,10,10,7,0,False
If_Only_I_Had_Told_Her,"('jack',)",37,192,0,0,0,False
If_Only_I_Had_Told_Her,"('brett',)",9,32,0,0,0,False
If_Only_I_Had_Told_Her,"('john',)",7,23,0,0,0,False
If_Only_I_Had_Told_Her,"('syl', 'sylv')",4,348,0,0,0,False
If_Only_I_Had_Told_Her,"('chloe',)",3,10,0,0,0,False
If_Only_I_Had_Told_Her,"('kyle',)",3,18,0,0,0,False
If_Only_I_Had_Told_Her,"('autumn',)",3,696,0,0,0,False
If_Only_I_Had_Told_Her,"('dave',)",2,17,0,0,0,False
If_Only_I_Had_Told_Her,"('lexy',)",1,7,0,0,0,False
If_Only_I_Had_Told_Her,"('trevor',)",1,4,0,0,0,False
If_Only_I_Had_Told_Her,"('george w',)",1,1,0,0,0,False
If_Only_I_Had_Told_Her,"('carter',)",1,4,0,0,0,False
If_Only_I_Had_Told_Her,"('taylor',)",1,5,0,0,0,False
If_Only_I_Had_Told_Her,"('zelda',)",1,1,0,0,0,False
If_Only_I_Had_Told_Her,"('beba',)",1,1,0,0,0,False
If_Only_I_Had_Told_Her,"('stella',)",1,3,0,0,0,False
Just_for_the_Summer,"('maddy',)",39,361,0,0,0,False
Just_for_the_Summer,"('emma',)",20,297,0,0,0,False
Just_for_the_Summer,"('brad',)",11,114,0,0,0,False
Just_for_the_Summer,"('amber',)",10,103,0,0,0,False
Just_for_the_Summer,"('sarah',)",7,96,0,0,0,False
Just_for_the_Summer,"('chad',)",4,15,0,0,0,False
Just_for_the_Summer,"('alex',)",4,91,0,0,0,False
Just_for_the_Summer,"('lutsen',)",1,1,0,0,0,False
Just_for_the_Summer,"('muse',)",1,29,0,0,0,False
Just_for_the_Summer,"('mcdonald',)",1,2,0,0,0,False
Just_for_the_Summer,"('benny',)",1,39,0,0,0,False
Just_for_the_Summer,"('jane',)",1,20,0,0,0,False
Lies_and_Weddings,"('eden',)",22,860,0,0,0,False
Lies_and_Weddings,"('rufus',)",22,615,0,0,0,False
Lies_and_Weddings,"('arabella',)",12,382,0,0,0,False
Lies_and_Weddings,"('thomas', 'thomas tong', 'tong')",11,300,0,0,0,False
Lies_and_Weddings,"('martha', 'martha dung')",5,135,0,0,0,False
Lies_and_Weddings,"('bea',)",3,463,0,0,0,False
Lies_and_Weddings,"('john', 'john soane')",3,38,0,0,0,False
Lies_and_Weddings,"('freddy',)",3,202,0,0,0,False
Lies_and_Weddings,"('solène', 'solène de courcy')",3,132,0,0,0,False
Lies_and_Weddings,"('gopal das',)",2,64,0,0,0,False
Lies_and_Weddings,"('rene', 'rene tan')",2,125,0,0,0,False
Lies_and_Weddings,"('gresham', 'greshams')",2,230,0,0,0,False
Lies_and_Weddings,"('mum',)",1,110,0,0,0,False
Lies_and_Weddings,"('farman',)",1,26,0,0,0,False
Lies_and_Weddings,"('kamehameha',)",1,3,0,0,0,False
Lies_and_Weddings,"('max',)",1,80,0,0,0,False
Lies_and_Weddings,"('laurel',)",1,11,0,0,0,False
Lies_and_Weddings,"('mary gao',)",1,6,0,0,0,False
Lies_and_Weddings,"('jane',)",1,20,0,0,0,False
Lies_and_Weddings,"('peter',)",1,23,0,0,0,False
Lies_and_Weddings,"('penelope',)",1,5,0,0,0,False
Lies_and_Weddings,"('putter',)",1,10,0,0,0,False
Of_Mice_and_Men,"('george', 'geroge')",23,446,435,407,398,False
Of_Mice_and_Men,"('lenni', 'lennie', 'lennie im')",15,367,353,344,326,False
Of_Mice_and_Men,"('curle', 'curley', 'v curley')",5,136,130,130,116,False
Of_Mice_and_Men,"('carlson',)",2,46,47,45,49,False
Of_Mice_and_Men,"('candy',)",2,104,103,103,99,False
Of_Mice_and_Men,"('crooks',)",1,67,58,59,62,False
Paper_Towns,"('marg', 'margo', 'margo roth spiegelma', 'margo roth spiegelman', 'whitman')",56,465,549,593,927,False
Paper_Towns,"('chuc', 'chuck', 'chuck parso', 'chuck parson')",6,68,80,74,85,False
Paper_Towns,"('lacey',)",4,201,207,223,297,False
Paper_Towns,"('ben', 'ben starling')",4,501,465,1163,544,False
Paper_Towns,"('cassie hiney',)",1,6,6,6,6,False
Paper_Towns,"('angela',)",1,24,28,29,39,False
Paper_Towns,"('jase',)",1,49,49,54,55,False
Paper_Towns,"('quenti', 'quentin')",1,39,43,39,40,False
Paper_Towns,"('bay jiminez', 'jiminez')",1,6,6,6,6,False
Paper_Towns,"('dennis mcmahon',)",1,1,1,1,1,False
Percy_Jackson_The_Lightning_Thief,"('annabeth', 'annabeth bo', 'atenea', 'athena', 'bay d', 'bay jackson', 'bayan dodds', 'cu ferdinand', 'd', 'dehb', 'dodd', 'dodds', 'dt', 'echidna', 'ekidne', 'equidna', 'ferdinand', 'ferdinand amcam', 'grover', 'hade', 'hades', 'jackson', 'jacksons', 'kıvırcık', 'm annabeth', 'mano', 'olimpos', 'olympia', 'padre', 'perc', 'percy', 'percy jackso', 'percy jackson', 'perscus jackso', 'perseus jackson', 'poseidon', 'poseidón', 'sally jackso', 'sally jackson', 'señor jackson', 'señora dodds', 'troy', 'uncle ferdinand', 'zeus')",55,18415,18300,22423,2689,True
Percy_Jackson_The_Lightning_Thief,"('bay brunner', 'brunner', 'chiron', 'kheiron', 'murmuré', 'quirón', 'señor brunner')",13,185,174,194,155,False
Percy_Jackson_The_Lightning_Thief,"('argus', 'gabe', 'gabe cóc', 'gabe cóc ch', 'gabe cóc cht', 'gabe el apestoso', 'kokarca gabe', 'smelly gabe')",8,78,73,88,69,False
Percy_Jackson_The_Lightning_Thief,"('luke',)",6,114,108,123,127,False
Percy_Jackson_The_Lightning_Thief,"('nancy', 'nancy bobofit')",3,23,22,24,30,False
Percy_Jackson_The_Lightning_Thief,"('barry manilow', 'bay charon', 'caronte', 'charo', 'charon')",3,30,28,29,29,False
Percy_Jackson_The_Lightning_Thief,"('clarisse',)",3,46,45,46,52,False
Percy_Jackson_The_Lightning_Thief,"('hermes',)",1,19,19,19,17,False
Percy_Jackson_The_Lightning_Thief,"('chimera', 'kimera', 'quimera')",1,17,16,17,17,False
Percy_Jackson_The_Lightning_Thief,"('arachne', 'aracne', 'arakne')",1,2,2,2,2,False
Percy_Jackson_The_Lightning_Thief,"('maurice',)",1,6,6,6,6,False
Percy_Jackson_The_Lightning_Thief,"('barbara walters',)",1,4,4,4,4,False
Percy_Jackson_The_Lightning_Thief,"('ares',)",1,134,149,158,127,False
Pride_and_Prejudice,"('cô elizabeth', 'eliz', 'eliza', 'elizabeth', 'miss eliza')",27,657,949,856,674,False
Pride_and_Prejudice,"('bennet', 'bà benne', 'jane', 'jane bennet', 'long', 'miss bennet', 'mr bennet', 'mrs', 'mrs bennet', 'mrs long', 'mrs philips', 'philips', 'señor bennet', 'señora bennet', 'señora long', 'señora philips')",25,344,337,361,341,False
Pride_and_Prejudice,"('albay fitzwilliam', 'anh darcy', 'darc', 'darcy', 'fitzwilliam', 'mr darcy', 'mr wickham', 'ngài william', 'señor darcy', 'sir william', 'wi', 'wickha', 'wickham', 'william')",24,2509,603,556,462,False
Pride_and_Prejudice,"('bingley', 'mr bingley', 'señor bingley')",4,312,400,375,338,False
Pride_and_Prejudice,"('bourgh', 'catherine', 'catherine bourg', 'catherine de bourgh', 'de bourg', 'de bourgh', 'lady catherine', 'lady catherine de bourgh')",4,127,187,127,118,False
Pride_and_Prejudice,"('lizz', 'lizzy')",3,97,54,98,94,False
Pride_and_Prejudice,"('collin', 'collins', 'mr collins', 'señor collins')",3,185,230,204,188,False
Pride_and_Prejudice,"('charlotte lucas', 'lucas', 'miss lucas')",2,84,80,91,85,False
Pride_and_Prejudice,"('mary',)",2,39,40,41,39,False
Pride_and_Prejudice,"('charle', 'charles', 'netherfield')",2,73,71,73,63,False
Pride_and_Prejudice,"('louisa',)",1,6,6,6,5,False
Pride_and_Prejudice,"('jones', 'mr jones')",1,5,5,5,5,False
Pride_and_Prejudice,"('maria', 'maría')",1,20,30,20,21,False
Pride_and_Prejudice,"('lydia',)",1,171,192,198,174,False
Sense_and_sensibility,"('edvvard', 'edward', 'elino', 'elinor', 'elinor quan', 'mr willoughby', 'robert', 'willoughb', 'willoughby')",40,685,728,792,697,False
Sense_and_sensibility,"('không', 'mariann', 'marianne', 'miss marianne')",22,566,589,643,3101,False
Sense_and_sensibility,"('charlotte', 'jenning', 'jennings', 'mrs jennings', 'señora jennings')",8,235,240,255,223,False
Sense_and_sensibility,"('lucy',)",5,186,194,211,193,False
