Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['mr', 'mr lorry', 'lorry']",job,0,0.25,incorrect,david,0,0.0,incorrect,samson,0,0.29,incorrect,samson,0,0.29,incorrect,david,0,0.0,incorrect,david,0,0.0,incorrect,joseph,0,0.18,incorrect,ua,0,0.0,incorrect,john,0,0.22,incorrect,david,0,0.0,incorrect,rakoto,0,0.29,incorrect,david,0,0.0,incorrect,david,0,0.0,incorrect,samson,0,0.29,incorrect,david,0,0.0,incorrect,ua,0,0.0,incorrect,david,0,0.0,incorrect,david,0,0.0,incorrect
['defarge'],job,0,0.0,incorrect,mahlo,0,0.17,incorrect,joseph,0,0.15,incorrect,abraham,0,0.29,incorrect,mma,0,0.2,incorrect,matlho,0,0.15,incorrect,adam,0,0.36,incorrect,ua,0,0.22,incorrect,her,0,0.4,incorrect,madati,0,0.31,incorrect,madagascar,0,0.35,incorrect,nitodika,0,0.27,incorrect,mahlo,0,0.17,incorrect,abraham,0,0.29,incorrect,matlho,0,0.15,incorrect,ua,0,0.22,incorrect,madati,0,0.31,incorrect,nitodika,0,0.27,incorrect
"['manette', 'mane', 'miss', 'miss manette']",jesus,0,0.44,incorrect,ke,0,0.33,incorrect,emi,0,0.57,incorrect,abraham,0,0.18,incorrect,mma,0,0.57,incorrect,ke,0,0.33,incorrect,matou,0,0.5,incorrect,noa,0,0.29,incorrect,raskolnikov,0,0.27,incorrect,david,0,0.22,incorrect,jesus,0,0.44,incorrect,na raha nahoana,0,0.22,incorrect,ke,0,0.33,incorrect,abraham,0,0.18,incorrect,ke,0,0.33,incorrect,noa,0,0.29,incorrect,david,0,0.22,incorrect,na raha nahoana,0,0.22,incorrect
"['madame', 'madame defarge', 'defarge', 'madam defarge', 'madam']",job,0,0.0,incorrect,job,0,0.0,incorrect,napoleon,0,0.29,incorrect,oduduwa,0,0.33,incorrect,mma,0,0.5,incorrect,god,0,0.25,incorrect,david,0,0.4,incorrect,ulysses,0,0.15,incorrect,dracula,0,0.33,incorrect,ram,0,0.5,incorrect,david,0,0.4,incorrect,david,0,0.4,incorrect,job,0,0.0,incorrect,oduduwa,0,0.33,incorrect,god,0,0.25,incorrect,ulysses,0,0.15,incorrect,ram,0,0.5,incorrect,david,0,0.4,incorrect
"['lorr', 'lorry']",esther,0,0.2,incorrect,jesus,0,0.0,incorrect,job,0,0.29,incorrect,job,0,0.29,incorrect,job,0,0.29,incorrect,jesus,0,0.0,incorrect,david,0,0.0,incorrect,ma,0,0.0,incorrect,locke,0,0.44,incorrect,robinson,0,0.17,incorrect,david,0,0.0,incorrect,david,0,0.0,incorrect,jesus,0,0.0,incorrect,job,0,0.29,incorrect,jesus,0,0.0,incorrect,ma,0,0.0,incorrect,robinson,0,0.17,incorrect,david,0,0.0,incorrect
"['miss', 'miss manette', 'señorita', 'manette', 'señorita manette']",job,0,0.18,incorrect,david,0,0.22,incorrect,job,0,0.18,incorrect,samson,0,0.4,incorrect,job,0,0.18,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,adam,0,0.25,incorrect,dracula,0,0.27,incorrect,deb,0,0.2,incorrect,david,0,0.22,incorrect,david,0,0.22,incorrect,david,0,0.22,incorrect,samson,0,0.4,incorrect,jesus,0,0.44,incorrect,adam,0,0.25,incorrect,deb,0,0.2,incorrect,david,0,0.22,incorrect
"['lapa', 'jeremías lapa', 'jeremías', 'jerry']",david,0,0.22,incorrect,david,0,0.22,incorrect,samson,0,0.29,incorrect,abraham,0,0.36,incorrect,david,0,0.22,incorrect,joseph,0,0.36,incorrect,david,0,0.22,incorrect,abraham,0,0.36,incorrect,river,0,0.4,incorrect,mirror,0,0.36,incorrect,david,0,0.22,incorrect,david,0,0.22,incorrect,david,0,0.22,incorrect,abraham,0,0.36,incorrect,joseph,0,0.36,incorrect,abraham,0,0.36,incorrect,mirror,0,0.36,incorrect,david,0,0.22,incorrect
"['darna', 'darnay', 'mr darnay', 'mr']",david,0,0.4,incorrect,job,0,0.0,incorrect,wall street,0,0.25,incorrect,sam,0,0.4,incorrect,god,0,0.25,incorrect,joseph,0,0.0,incorrect,david,0,0.4,incorrect,maui,0,0.33,incorrect,adam,0,0.44,incorrect,adam,0,0.44,incorrect,jesus,0,0.0,incorrect,david,0,0.4,incorrect,job,0,0.0,incorrect,sam,0,0.4,incorrect,joseph,0,0.0,incorrect,maui,0,0.33,incorrect,adam,0,0.44,incorrect,david,0,0.4,incorrect
"['carton—replicó lorry', 'mr lorry', 'carton—replicó', 'mr', 'lorry']",esther,0,0.25,incorrect,re,0,0.5,incorrect,oyeronke,0,0.35,incorrect,israel,0,0.29,incorrect,abraham lincoln,0,0.4,incorrect,re,0,0.5,incorrect,fare,0,0.33,incorrect,fare,0,0.33,incorrect,master,0,0.5,incorrect,john,0,0.22,incorrect,isika,0,0.1,incorrect,david,0,0.2,incorrect,re,0,0.5,incorrect,israel,0,0.29,incorrect,re,0,0.5,incorrect,fare,0,0.33,incorrect,john,0,0.22,incorrect,david,0,0.2,incorrect
"['charles darnay', 'carlos', 'charles', 'darnay', 'carlos darnay']",abraham,0,0.46,incorrect,abraham,0,0.46,incorrect,job,0,0.22,incorrect,oduduwa,0,0.31,incorrect,david,0,0.36,incorrect,david,0,0.36,incorrect,david,0,0.36,incorrect,no,0,0.25,incorrect,odysseus,0,0.29,incorrect,odysseus,0,0.29,incorrect,farany,0,0.67,incorrect,farany,0,0.67,incorrect,abraham,0,0.46,incorrect,oduduwa,0,0.31,incorrect,david,0,0.36,incorrect,no,0,0.25,incorrect,odysseus,0,0.29,incorrect,farany,0,0.67,incorrect
"['darnay', 'mr', 'mr darnay']",juliet,0,0.0,incorrect,david,0,0.36,incorrect,jesus,0,0.0,incorrect,friday,0,0.53,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,ua,0,0.25,incorrect,john,0,0.2,incorrect,point,0,0.18,incorrect,david,0,0.36,incorrect,natao,0,0.36,incorrect,david,0,0.36,incorrect,friday,0,0.53,incorrect,god,0,0.22,incorrect,ua,0,0.25,incorrect,point,0,0.18,incorrect,natao,0,0.36,incorrect
"['manette', 'doktor', 'doktor manette', 'mane']",job,0,0.22,incorrect,david,0,0.22,incorrect,newton,0,0.46,incorrect,jesus,0,0.22,incorrect,moses,0,0.44,incorrect,ngaka,0,0.22,incorrect,jesus,0,0.22,incorrect,na hinaaro,0,0.29,incorrect,frankenstein,0,0.53,incorrect,newton,0,0.46,incorrect,david,0,0.22,incorrect,jesus,0,0.22,incorrect,david,0,0.22,incorrect,jesus,0,0.22,incorrect,ngaka,0,0.22,incorrect,na hinaaro,0,0.29,incorrect,newton,0,0.46,incorrect,jesus,0,0.22,incorrect
"['mr', 'mr lorry', 'lorry']",job,0,0.25,incorrect,ngaka,0,0.0,incorrect,lucy,0,0.44,incorrect,victoria,0,0.31,incorrect,job,0,0.25,incorrect,go mosola,0,0.24,incorrect,jesus,0,0.0,incorrect,noa,0,0.25,incorrect,emily,0,0.46,incorrect,doctor,0,0.36,incorrect,jesus,0,0.0,incorrect,david,0,0.0,incorrect,ngaka,0,0.0,incorrect,victoria,0,0.31,incorrect,go mosola,0,0.24,incorrect,noa,0,0.25,incorrect,doctor,0,0.36,incorrect,david,0,0.0,incorrect
"['manette', 'doktor', 'doktor manette']",ladybird,0,0.29,incorrect,eseng,0,0.33,incorrect,dokita,0,0.67,incorrect,doctor,0,0.83,correct,ngaka,0,0.21,incorrect,hamlet,0,0.46,incorrect,maori,0,0.36,incorrect,taote,0,0.5,incorrect,dr. leeberd,0,0.4,incorrect,doctor,0,0.83,correct,queen,0,0.33,incorrect,lazaiko,0,0.31,incorrect,eseng,0,0.33,incorrect,doctor,0,0.83,correct,hamlet,0,0.46,incorrect,taote,0,0.5,incorrect,doctor,0,0.83,correct,lazaiko,0,0.31,incorrect
"['miss pross', 'pross', 'miss']",hamlet,0,0.2,incorrect,hamlet,0,0.2,incorrect,job,0,0.25,incorrect,samson,0,0.4,incorrect,david,0,0.22,incorrect,god,0,0.25,incorrect,noa,0,0.25,incorrect,noa,0,0.25,incorrect,edgar,0,0.2,incorrect,hamlet,0,0.2,incorrect,david,0,0.22,incorrect,na,0,0.0,incorrect,hamlet,0,0.2,incorrect,samson,0,0.4,incorrect,god,0,0.25,incorrect,noa,0,0.25,incorrect,hamlet,0,0.2,incorrect,na,0,0.0,incorrect
['darnay'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,moses,0,0.0,incorrect,ba,0,0.25,incorrect,joseph,0,0.0,incorrect,god,0,0.22,incorrect,ua,0,0.25,incorrect,elizabeth,0,0.13,incorrect,elizabeth,0,0.13,incorrect,jesus,0,0.0,incorrect,zavatra,0,0.46,incorrect,jesus,0,0.0,incorrect,moses,0,0.0,incorrect,joseph,0,0.0,incorrect,ua,0,0.25,incorrect,elizabeth,0,0.13,incorrect,zavatra,0,0.46,incorrect
"['darnay', 'mr', 'mr darnay']",job,0,0.0,incorrect,sebetso,0,0.0,incorrect,yahweh,0,0.17,incorrect,nigba,0,0.36,incorrect,joseph,0,0.0,incorrect,job,0,0.0,incorrect,jesus,0,0.0,incorrect,adam,0,0.4,incorrect,god,0,0.22,incorrect,life,0,0.0,incorrect,david,0,0.36,incorrect,ary,0,0.67,incorrect,sebetso,0,0.0,incorrect,nigba,0,0.36,incorrect,job,0,0.0,incorrect,adam,0,0.4,incorrect,life,0,0.0,incorrect,ary,0,0.67,incorrect
"['the', 'monsieur', 'ngài', 'monsieur the marquis', 'ngài hầu', 'mösyö marki', 'mösyö', 'marqués', 'hầu', 'marki', 'marquis']",samson,0,0.55,incorrect,christmas,0,0.38,incorrect,abraham,0,0.4,incorrect,samson,0,0.55,incorrect,moses,0,0.62,incorrect,sebetwane,0,0.33,incorrect,persephone,0,0.33,incorrect,ua,0,0.4,incorrect,god,0,0.29,incorrect,mount,0,0.46,incorrect,rasoa,0,0.4,incorrect,madagascar,0,0.4,incorrect,christmas,0,0.38,incorrect,samson,0,0.55,incorrect,sebetwane,0,0.33,incorrect,ua,0,0.4,incorrect,mount,0,0.46,incorrect,madagascar,0,0.4,incorrect
"['mösyö gabelle', 'monsieur gabelle', 'monsieur', 'mösyö', 'gambelle', 'gabelle']",washington,0,0.27,incorrect,postmaster,0,0.44,incorrect,postmaster general,0,0.47,incorrect,general,0,0.43,incorrect,david,0,0.17,incorrect,orpheus,0,0.4,incorrect,jesus,0,0.31,incorrect,samuel,0,0.57,incorrect,postmaster,0,0.44,incorrect,postmaster,0,0.44,incorrect,postmaster,0,0.44,incorrect,postmaster,0,0.44,incorrect,postmaster,0,0.44,incorrect,general,0,0.43,incorrect,orpheus,0,0.4,incorrect,samuel,0,0.57,incorrect,postmaster,0,0.44,incorrect,postmaster,0,0.44,incorrect
"['charles darnay', 'carlos', 'charles', 'darnay', 'carlos darnay']",edene,0,0.36,incorrect,edene,0,0.36,incorrect,adam,0,0.4,incorrect,friday,0,0.5,incorrect,eden,0,0.4,incorrect,eden,0,0.4,incorrect,adam,0,0.4,incorrect,eden,0,0.4,incorrect,orpheus,0,0.43,incorrect,summer,0,0.21,incorrect,adam,0,0.4,incorrect,eden,0,0.4,incorrect,edene,0,0.36,incorrect,friday,0,0.5,incorrect,eden,0,0.4,incorrect,eden,0,0.4,incorrect,summer,0,0.21,incorrect,eden,0,0.4,incorrect
"['manette', 'doktor', 'doktor manette']",god,0,0.22,incorrect,ngaka,0,0.21,incorrect,madam,0,0.33,incorrect,dokita,0,0.67,incorrect,moshe,0,0.33,incorrect,lothario,0,0.43,incorrect,maori,0,0.36,incorrect,maori,0,0.36,incorrect,doctor,0,0.83,correct,jesus,0,0.17,incorrect,david,0,0.21,incorrect,aoka,0,0.4,incorrect,ngaka,0,0.21,incorrect,dokita,0,0.67,incorrect,lothario,0,0.43,incorrect,maori,0,0.36,incorrect,jesus,0,0.17,incorrect,aoka,0,0.4,incorrect
"['manette', 'doktor', 'doktor manette']",david,0,0.21,incorrect,leholimo,0,0.29,incorrect,yemoja,0,0.31,incorrect,temi,0,0.36,incorrect,molema,0,0.31,incorrect,molimo,0,0.33,incorrect,jesus,0,0.17,incorrect,haaputapuraa,0,0.23,incorrect,jesus,0,0.17,incorrect,dr. zhivago,0,0.32,incorrect,david,0,0.21,incorrect,tsapako,0,0.31,incorrect,leholimo,0,0.29,incorrect,temi,0,0.36,incorrect,molimo,0,0.33,incorrect,haaputapuraa,0,0.23,incorrect,dr. zhivago,0,0.32,incorrect,tsapako,0,0.31,incorrect
"['manette', 'lucía', 'miss', 'miss manette']",god,0,0.0,incorrect,joseph,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,david,0,0.22,incorrect,god,0,0.0,incorrect,samuel,0,0.33,incorrect,ua,0,0.57,incorrect,god,0,0.0,incorrect,raskolnikov,0,0.25,incorrect,rakoto,0,0.31,incorrect,jesus,0,0.44,incorrect,joseph,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,ua,0,0.57,incorrect,raskolnikov,0,0.25,incorrect,jesus,0,0.44,incorrect
"['mr', 'mr stryver', 'sydney', 'stryver']",elizabeth,0,0.13,incorrect,qetellong,0,0.25,incorrect,elizabeth,0,0.13,incorrect,elizabeth,0,0.13,incorrect,sebetwane,0,0.4,incorrect,seetebosigo,0,0.33,incorrect,elizabeth,0,0.13,incorrect,ua,0,0.0,incorrect,clarence,0,0.29,incorrect,christmas,0,0.32,incorrect,opera,0,0.33,incorrect,october,0,0.43,incorrect,qetellong,0,0.25,incorrect,elizabeth,0,0.13,incorrect,seetebosigo,0,0.33,incorrect,ua,0,0.0,incorrect,christmas,0,0.32,incorrect,october,0,0.43,incorrect
"['mr', 'mr stryver', 'stryver']",jesus,0,0.17,incorrect,temple,0,0.31,incorrect,paul,0,0.0,incorrect,agbejoro,0,0.27,incorrect,jesus,0,0.17,incorrect,moses,0,0.4,incorrect,ukraine,0,0.29,incorrect,hiero,0,0.33,incorrect,dr. gideon,0,0.3,incorrect,forensic,0,0.27,incorrect,jesus,0,0.17,incorrect,andriamanitra,0,0.27,incorrect,temple,0,0.31,incorrect,agbejoro,0,0.27,incorrect,moses,0,0.4,incorrect,hiero,0,0.33,incorrect,forensic,0,0.27,incorrect,andriamanitra,0,0.27,incorrect
"['mr', 'mr stryver', 'stryver']",job,0,0.0,incorrect,joseph,0,0.31,incorrect,jesus,0,0.17,incorrect,jesus,0,0.17,incorrect,moses,0,0.4,incorrect,kelebogile,0,0.12,incorrect,te fariipati,0,0.32,incorrect,ua,0,0.0,incorrect,jesus,0,0.17,incorrect,father,0,0.46,incorrect,david,0,0.17,incorrect,god,0,0.0,incorrect,joseph,0,0.31,incorrect,jesus,0,0.17,incorrect,kelebogile,0,0.12,incorrect,ua,0,0.0,incorrect,father,0,0.46,incorrect,god,0,0.0,incorrect
"['mr', 'lorr', 'mr lorry', 'lorry']",job,0,0.29,incorrect,joale,0,0.22,incorrect,job,0,0.29,incorrect,mo,0,0.5,incorrect,jesus,0,0.0,incorrect,dithapelo,0,0.31,incorrect,jesus,0,0.0,incorrect,maamaa,0,0.25,incorrect,rabindranath,0,0.25,incorrect,jesus,0,0.0,incorrect,marina,0,0.5,incorrect,marina,0,0.5,incorrect,joale,0,0.22,incorrect,mo,0,0.5,incorrect,dithapelo,0,0.31,incorrect,maamaa,0,0.25,incorrect,jesus,0,0.0,incorrect,marina,0,0.5,incorrect
"['lucía', 'miss', 'miss manette', 'mane', 'manette']",job,0,0.0,incorrect,ke,0,0.33,incorrect,yoruba,0,0.36,incorrect,moses,0,0.67,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,jesus,0,0.44,incorrect,haamana'o,0,0.46,incorrect,god,0,0.0,incorrect,asgar,0,0.24,incorrect,david,0,0.22,incorrect,madagascar,0,0.29,incorrect,ke,0,0.33,incorrect,moses,0,0.67,incorrect,god,0,0.0,incorrect,haamana'o,0,0.46,incorrect,asgar,0,0.24,incorrect,madagascar,0,0.29,incorrect
"['manette', 'lucía', 'miss', 'miss manette']",david,0,0.22,incorrect,jesus,0,0.44,incorrect,job,0,0.0,incorrect,ni,0,0.33,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,abraham,0,0.18,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,enga,0,0.22,incorrect,jesus,0,0.44,incorrect,ni,0,0.33,incorrect,jesus,0,0.44,incorrect,abraham,0,0.18,incorrect,jesus,0,0.44,incorrect,enga,0,0.22,incorrect
"['defarge', 'madam', 'madam defarge']",madame bovary,0,0.62,incorrect,madame,0,0.91,correct,madame whist,0,0.59,incorrect,madame,0,0.91,correct,elizabeth,0,0.38,incorrect,metshameko,0,0.4,incorrect,madame bovary,0,0.62,incorrect,madame,0,0.91,correct,madame,0,0.91,correct,queen,0,0.33,incorrect,madame dupont,0,0.56,incorrect,madame,0,0.91,correct,madame,0,0.91,correct,madame,0,0.91,correct,metshameko,0,0.4,incorrect,madame,0,0.91,correct,queen,0,0.33,incorrect,madame,0,0.91,correct
['defarge'],esther,0,0.31,incorrect,david,0,0.33,incorrect,samson,0,0.15,incorrect,abraham,0,0.29,incorrect,keleketla,0,0.25,incorrect,lesilo,0,0.15,incorrect,jesus,0,0.17,incorrect,te aravihi,0,0.35,incorrect,god,0,0.2,incorrect,adam,0,0.36,incorrect,ary,0,0.4,incorrect,ary,0,0.4,incorrect,david,0,0.33,incorrect,abraham,0,0.29,incorrect,lesilo,0,0.15,incorrect,te aravihi,0,0.35,incorrect,adam,0,0.36,incorrect,ary,0,0.4,incorrect
['defarge'],jesus,0,0.17,incorrect,mosali,0,0.15,incorrect,oyenusi,0,0.14,incorrect,yoruba,0,0.15,incorrect,mosadi,0,0.15,incorrect,mmafu,0,0.17,incorrect,maori,0,0.33,incorrect,maori,0,0.33,incorrect,john,0,0.0,incorrect,christ,0,0.15,incorrect,jesus,0,0.17,incorrect,paul,0,0.18,incorrect,mosali,0,0.15,incorrect,yoruba,0,0.15,incorrect,mmafu,0,0.17,incorrect,maori,0,0.33,incorrect,christ,0,0.15,incorrect,paul,0,0.18,incorrect
