Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['jiminez', 'bay jiminez', 'bay']",mr. thompson,0,0.26,incorrect,mr. bell,0,0.27,incorrect,ucuncu zil,0,0.24,incorrect,ucuncu,0,0.15,incorrect,thay tran,0,0.4,incorrect,ngoi sao,0,0.18,incorrect,senor rodriguez,0,0.31,incorrect,senor,0,0.17,incorrect,mr. bell,0,0.27,incorrect,ucuncu,0,0.15,incorrect,ngoi sao,0,0.18,incorrect,senor,0,0.17,incorrect
"['ben', 'starling', 'ben starling']",john,0,0.29,incorrect,hall a,0,0.29,incorrect,ozdemir,0,0.21,incorrect,ozdemir,0,0.21,incorrect,nguyen dinh hoa,0,0.37,incorrect,nguyen dinh thi,0,0.37,incorrect,carlos,0,0.43,incorrect,trigesimo,0,0.47,incorrect,hall a,0,0.29,incorrect,ozdemir,0,0.21,incorrect,nguyen dinh thi,0,0.37,incorrect,trigesimo,0,0.47,incorrect
"['marg', 'margo']",john,0,0.22,incorrect,dad,0,0.29,incorrect,cocugun,0,0.18,incorrect,sanirim,0,0.36,incorrect,thang be,0,0.33,incorrect,ngoi sao,0,0.31,incorrect,carlos,0,0.55,incorrect,suponia,0,0.18,incorrect,dad,0,0.29,incorrect,sanirim,0,0.36,incorrect,ngoi sao,0,0.31,incorrect,suponia,0,0.18,incorrect
['margo'],jane,0,0.22,incorrect,cookie,0,0.18,incorrect,aliye,0,0.2,incorrect,ibrahim pasa,0,0.24,incorrect,thao,0,0.44,incorrect,ti-vi,0,0.0,incorrect,marco,0,0.8,correct,cruce,0,0.2,incorrect,cookie,0,0.18,incorrect,ibrahim pasa,0,0.24,incorrect,ti-vi,0,0.0,incorrect,cruce,0,0.2,incorrect
['margo'],jack,0,0.22,incorrect,new york,0,0.15,incorrect,florida,0,0.17,incorrect,florida,0,0.17,incorrect,new york,0,0.15,incorrect,new york,0,0.15,incorrect,florida,0,0.17,incorrect,new york,0,0.15,incorrect,new york,0,0.15,incorrect,florida,0,0.17,incorrect,new york,0,0.15,incorrect,new york,0,0.15,incorrect
"['margo', 'whitman']",emily dickinson,0,0.2,incorrect,emily dickinson,0,0.2,incorrect,margo,1,1.0,correct,altin,0,0.33,incorrect,margo,1,1.0,correct,margo,1,1.0,correct,don quijote,0,0.22,incorrect,don pablo neruda,0,0.19,incorrect,emily dickinson,0,0.2,incorrect,altin,0,0.33,incorrect,margo,1,1.0,correct,don pablo neruda,0,0.19,incorrect
['ben'],jack,0,0.0,incorrect,timmy,0,0.0,incorrect,levha,0,0.25,incorrect,levhaya,0,0.2,incorrect,truong,0,0.22,incorrect,nguyen thanh chung,0,0.19,incorrect,speedy,0,0.22,incorrect,superman,0,0.36,incorrect,timmy,0,0.0,incorrect,levhaya,0,0.2,incorrect,nguyen thanh chung,0,0.19,incorrect,superman,0,0.36,incorrect
['margo'],jess,0,0.0,incorrect,john,0,0.22,incorrect,ali,0,0.25,incorrect,cadir,0,0.4,incorrect,ho chi minh,0,0.12,incorrect,toi pho hai phong,0,0.18,incorrect,don pedro,0,0.29,incorrect,campos,0,0.36,incorrect,john,0,0.22,incorrect,cadir,0,0.4,incorrect,toi pho hai phong,0,0.18,incorrect,campos,0,0.36,incorrect
"['marg', 'margo']",susan,0,0.22,incorrect,emily,0,0.22,incorrect,ali,0,0.29,incorrect,toprak,0,0.2,incorrect,em,0,0.33,incorrect,nguyen dinh thi,0,0.11,incorrect,maria,0,0.67,incorrect,el pele,0,0.0,incorrect,emily,0,0.22,incorrect,toprak,0,0.2,incorrect,nguyen dinh thi,0,0.11,incorrect,el pele,0,0.0,incorrect
['margo'],emily,0,0.2,incorrect,john,0,0.22,incorrect,osman,0,0.4,incorrect,adam,0,0.22,incorrect,nguoi dan ong,0,0.22,incorrect,ngay,0,0.22,incorrect,el muerto,0,0.43,incorrect,el nino,0,0.17,incorrect,john,0,0.22,incorrect,adam,0,0.22,incorrect,ngay,0,0.22,incorrect,el nino,0,0.17,incorrect
"['roth', 'margo roth spiegelman', 'margo', 'spiegelman']",plato,0,0.4,incorrect,prom,0,0.5,incorrect,yann,0,0.29,incorrect,balo,0,0.44,incorrect,anh ta,0,0.3,incorrect,q co,0,0.25,incorrect,mi novia,0,0.34,incorrect,omnictionarian96,0,0.32,incorrect,prom,0,0.5,incorrect,balo,0,0.44,incorrect,q co,0,0.25,incorrect,omnictionarian96,0,0.32,incorrect
"['dennis mcmahon', 'dennis', 'mcmahon']",john,0,0.36,incorrect,marlboro,0,0.4,incorrect,marlboro,0,0.4,incorrect,marlboro,0,0.4,incorrect,nguyen dinh thi,0,0.38,incorrect,pham van dau,0,0.32,incorrect,junio,0,0.36,incorrect,light marlboro,0,0.36,incorrect,marlboro,0,0.4,incorrect,marlboro,0,0.4,incorrect,pham van dau,0,0.32,incorrect,light marlboro,0,0.36,incorrect
['margo'],sarah,0,0.4,incorrect,carrie,0,0.36,incorrect,mountain dew,0,0.24,incorrect,hakyi,0,0.2,incorrect,kim,0,0.25,incorrect,tham,0,0.22,incorrect,maria,0,0.6,incorrect,quiza me,0,0.15,incorrect,carrie,0,0.36,incorrect,hakyi,0,0.2,incorrect,tham,0,0.22,incorrect,quiza me,0,0.15,incorrect
['whitman'],keats,0,0.17,incorrect,edgar allan poe,0,0.18,incorrect,ali,0,0.2,incorrect,sonuc,0,0.17,incorrect,to huu,0,0.15,incorrect,vu hoang,0,0.4,incorrect,don quijote,0,0.22,incorrect,el lento,0,0.13,incorrect,edgar allan poe,0,0.18,incorrect,sonuc,0,0.17,incorrect,vu hoang,0,0.4,incorrect,el lento,0,0.13,incorrect
['margo'],sarah,0,0.4,incorrect,jamaica,0,0.33,incorrect,charles,0,0.33,incorrect,ataturk,0,0.33,incorrect,kim,0,0.25,incorrect,nguoi dan ong topeka,0,0.24,incorrect,juan pablo,0,0.27,incorrect,namibia,0,0.33,incorrect,jamaica,0,0.33,incorrect,ataturk,0,0.33,incorrect,nguoi dan ong topeka,0,0.24,incorrect,namibia,0,0.33,incorrect
['lacey'],jane,0,0.44,incorrect,jane,0,0.44,incorrect,adalet,0,0.36,incorrect,ali,0,0.25,incorrect,margo,0,0.2,incorrect,margo,0,0.2,incorrect,maria,0,0.2,incorrect,juan,0,0.22,incorrect,jane,0,0.44,incorrect,ali,0,0.25,incorrect,margo,0,0.2,incorrect,juan,0,0.22,incorrect
['ben'],john,0,0.29,incorrect,milwaukee,0,0.17,incorrect,joe,0,0.33,incorrect,tam,0,0.0,incorrect,nguyen hong,0,0.29,incorrect,light mu bom,0,0.13,incorrect,john,0,0.29,incorrect,milwaukee,0,0.17,incorrect,milwaukee,0,0.17,incorrect,tam,0,0.0,incorrect,light mu bom,0,0.13,incorrect,milwaukee,0,0.17,incorrect
['lacey'],ace,0,0.75,correct,ace,0,0.75,correct,gus,0,0.0,incorrect,gus,0,0.0,incorrect,gus,0,0.0,incorrect,gus,0,0.0,incorrect,carlos,0,0.18,incorrect,el,0,0.29,incorrect,ace,0,0.75,correct,gus,0,0.0,incorrect,gus,0,0.0,incorrect,el,0,0.29,incorrect
['margo'],her,0,0.25,incorrect,africa,0,0.36,incorrect,benim,0,0.2,incorrect,eden,0,0.0,incorrect,hoa van,0,0.17,incorrect,toi,0,0.25,incorrect,isabel,0,0.18,incorrect,amelia earhart,0,0.32,incorrect,africa,0,0.36,incorrect,eden,0,0.0,incorrect,toi,0,0.25,incorrect,amelia earhart,0,0.32,incorrect
['margo'],sarah,0,0.4,incorrect,she,0,0.0,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,thit,0,0.0,incorrect,toi,0,0.25,incorrect,maria,0,0.6,incorrect,le si imposible,0,0.2,incorrect,she,0,0.0,incorrect,ali,0,0.25,incorrect,toi,0,0.25,incorrect,le si imposible,0,0.2,incorrect
"['margo', 'spiegelma', 'spiegelman', 'margo roth spiegelma', 'roth', 'margo roth spiegelman']",emily,0,0.29,incorrect,emily,0,0.29,incorrect,ozdemir,0,0.33,incorrect,osman,0,0.53,incorrect,em,0,0.36,incorrect,tran,0,0.29,incorrect,maria,0,0.6,incorrect,yoana,0,0.27,incorrect,emily,0,0.29,incorrect,osman,0,0.53,incorrect,tran,0,0.29,incorrect,yoana,0,0.27,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,osman,0,0.4,incorrect,gunes,0,0.2,incorrect,nguoi do,0,0.31,incorrect,ngoi sao,0,0.31,incorrect,destino,0,0.17,incorrect,necio,0,0.2,incorrect,emily,0,0.2,incorrect,gunes,0,0.2,incorrect,ngoi sao,0,0.31,incorrect,necio,0,0.2,incorrect
"['margo—', 'margo']",john,0,0.22,incorrect,graduation,0,0.27,incorrect,ataturk,0,0.33,incorrect,carla,0,0.4,incorrect,toi,0,0.25,incorrect,nguoi dan ong,0,0.22,incorrect,carlos,0,0.55,incorrect,el viajes,0,0.14,incorrect,graduation,0,0.27,incorrect,carla,0,0.4,incorrect,nguoi dan ong,0,0.22,incorrect,el viajes,0,0.14,incorrect
