Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['madame', 'madame defarge', 'defarge', 'madam defarge', 'madam']",marie,0,0.55,incorrect,joseph,0,0.17,incorrect,abrahamu,0,0.46,incorrect,olukoya,0,0.17,incorrect,themba,0,0.36,incorrect,jesus,0,0.18,incorrect,adam,0,0.89,correct,adam,0,0.89,correct,quasimodo,0,0.29,incorrect,oliver twist,0,0.21,incorrect,adam,0,0.89,correct,abrahamy,0,0.46,incorrect,joseph,0,0.17,incorrect,olukoya,0,0.17,incorrect,jesus,0,0.18,incorrect,adam,0,0.89,correct,oliver twist,0,0.21,incorrect,abrahamy,0,0.46,incorrect
"['lorr', 'lorry']",naomi,0,0.22,incorrect,abel,0,0.25,incorrect,oliver,0,0.4,incorrect,abraham,0,0.18,incorrect,abraham,0,0.18,incorrect,god,0,0.29,incorrect,abraham lincoln,0,0.21,incorrect,adam,0,0.0,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect,abrahamy,0,0.31,incorrect,abrahamy,0,0.31,incorrect,abel,0,0.25,incorrect,abraham,0,0.18,incorrect,god,0,0.29,incorrect,adam,0,0.0,incorrect,god,0,0.29,incorrect,abrahamy,0,0.31,incorrect
"['miss', 'miss manette', 'señorita', 'manette', 'señorita manette']",abraham lincoln,0,0.26,incorrect,israel,0,0.44,incorrect,oduduwa,0,0.27,incorrect,jesus,0,0.44,incorrect,god,0,0.18,incorrect,jesus,0,0.44,incorrect,abraham lincoln,0,0.26,incorrect,adam,0,0.25,incorrect,esther,0,0.46,incorrect,god,0,0.18,incorrect,abrahamy,0,0.25,incorrect,abrahamy,0,0.25,incorrect,israel,0,0.44,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,adam,0,0.25,incorrect,god,0,0.18,incorrect,abrahamy,0,0.25,incorrect
"['lapa', 'jeremías lapa', 'jeremías', 'jerry']",abel,0,0.25,incorrect,abraham,0,0.36,incorrect,olodumareje,0,0.27,incorrect,abraham,0,0.36,incorrect,god,0,0.0,incorrect,israel,0,0.32,incorrect,adam,0,0.5,incorrect,adam,0,0.5,incorrect,edgar allan poe,0,0.43,incorrect,hamlet,0,0.21,incorrect,abrahamy,0,0.33,incorrect,abrahamy,0,0.33,incorrect,abraham,0,0.36,incorrect,abraham,0,0.36,incorrect,israel,0,0.32,incorrect,adam,0,0.5,incorrect,hamlet,0,0.21,incorrect,abrahamy,0,0.33,incorrect
"['darna', 'darnay', 'mr darnay', 'mr']",abraham lincoln,0,0.3,incorrect,jesus,0,0.0,incorrect,adam smith,0,0.27,incorrect,abrahami lincoln,0,0.29,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,abraham lincoln,0,0.3,incorrect,abraham,0,0.5,incorrect,marx,0,0.67,incorrect,shakespeare,0,0.25,incorrect,abrahamy,0,0.57,incorrect,adama,0,0.6,incorrect,jesus,0,0.0,incorrect,abrahami lincoln,0,0.29,incorrect,god,0,0.25,incorrect,abraham,0,0.5,incorrect,shakespeare,0,0.25,incorrect,adama,0,0.6,incorrect
"['carton—replicó lorry', 'mr lorry', 'carton—replicó', 'mr', 'lorry']",sehlabela,0,0.25,incorrect,israel,0,0.29,incorrect,abrahami,0,0.26,incorrect,abraham,0,0.22,incorrect,madiba,0,0.25,incorrect,god,0,0.25,incorrect,te po,0,0.4,incorrect,abraham,0,0.22,incorrect,shylock holmes,0,0.23,incorrect,marx,0,0.67,incorrect,god,0,0.25,incorrect,abrahamy,0,0.31,incorrect,israel,0,0.29,incorrect,abraham,0,0.22,incorrect,god,0,0.25,incorrect,abraham,0,0.22,incorrect,marx,0,0.67,incorrect,abrahamy,0,0.31,incorrect
"['charles darnay', 'carlos', 'charles', 'darnay', 'carlos darnay']",qetellong,0,0.27,incorrect,abel,0,0.4,incorrect,abraham,0,0.46,incorrect,shakespeare,0,0.48,incorrect,abel,0,0.4,incorrect,god,0,0.25,incorrect,adam,0,0.4,incorrect,abraham,0,0.46,incorrect,hamlet,0,0.62,incorrect,albert einstein,0,0.36,incorrect,adriamaheritsy,0,0.4,incorrect,adam,0,0.4,incorrect,abel,0,0.4,incorrect,shakespeare,0,0.48,incorrect,god,0,0.25,incorrect,abraham,0,0.46,incorrect,albert einstein,0,0.36,incorrect,adam,0,0.4,incorrect
"['darnay', 'mr', 'mr darnay']",abraham lincoln,0,0.29,incorrect,israel,0,0.33,incorrect,abraham,0,0.46,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.4,incorrect,abraham,0,0.46,incorrect,jesus,0,0.0,incorrect,shakespeare,0,0.24,incorrect,facebook,0,0.14,incorrect,abraham,0,0.46,incorrect,israel,0,0.33,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,abraham,0,0.46,incorrect,shakespeare,0,0.24,incorrect,abraham,0,0.46,incorrect
"['manette', 'doktor', 'doktor manette', 'mane']",ngaka,0,0.22,incorrect,abel,0,0.5,incorrect,jesus,0,0.22,incorrect,abraham,0,0.19,incorrect,god,0,0.22,incorrect,ngaka,0,0.22,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,watson,0,0.4,incorrect,galileo,0,0.36,incorrect,abrahamy,0,0.18,incorrect,abrahamy,0,0.18,incorrect,abel,0,0.5,incorrect,abraham,0,0.19,incorrect,ngaka,0,0.22,incorrect,adam,0,0.25,incorrect,galileo,0,0.36,incorrect,abrahamy,0,0.18,incorrect
"['mr', 'mr lorry', 'lorry']",shakespeare,0,0.15,incorrect,ngaka,0,0.0,incorrect,jesus,0,0.0,incorrect,charles dickens,0,0.17,incorrect,abel,0,0.22,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,abraham,0,0.22,incorrect,goldsmith,0,0.18,incorrect,freud,0,0.29,incorrect,abrahamy,0,0.31,incorrect,abrahamy,0,0.31,incorrect,ngaka,0,0.0,incorrect,charles dickens,0,0.17,incorrect,god,0,0.25,incorrect,abraham,0,0.22,incorrect,freud,0,0.29,incorrect,abrahamy,0,0.31,incorrect
"['manette', 'doktor', 'doktor manette']",ladybird,0,0.29,incorrect,ladybird,0,0.29,incorrect,macaulay,0,0.27,incorrect,jesus,0,0.17,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,abraham,0,0.19,incorrect,abraham,0,0.19,incorrect,dr. spock,0,0.4,incorrect,god,0,0.22,incorrect,william shakespeare,0,0.31,incorrect,beatles,0,0.43,incorrect,ladybird,0,0.29,incorrect,jesus,0,0.17,incorrect,god,0,0.22,incorrect,abraham,0,0.19,incorrect,god,0,0.22,incorrect,beatles,0,0.43,incorrect
"['miss pross', 'pross', 'miss']",shakespeare,0,0.38,incorrect,shakespeare,0,0.38,incorrect,abraham,0,0.18,incorrect,abraham,0,0.18,incorrect,god,0,0.25,incorrect,jesus,0,0.44,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,edgar allan poe,0,0.24,incorrect,orpheus,0,0.33,incorrect,abrahamy,0,0.17,incorrect,abrahamy,0,0.17,incorrect,shakespeare,0,0.38,incorrect,abraham,0,0.18,incorrect,jesus,0,0.44,incorrect,adam,0,0.25,incorrect,orpheus,0,0.33,incorrect,abrahamy,0,0.17,incorrect
['darnay'],abraham lincoln,0,0.29,incorrect,abel,0,0.2,incorrect,oliver twist,0,0.11,incorrect,jesus,0,0.0,incorrect,abraham lincoln,0,0.29,incorrect,god,0,0.22,incorrect,adam,0,0.4,incorrect,abraham lincoln,0,0.29,incorrect,mr. woodhouse,0,0.11,incorrect,god,0,0.22,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect,abel,0,0.2,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,abraham lincoln,0,0.29,incorrect,god,0,0.22,incorrect,job,0,0.0,incorrect
"['darnay', 'mr', 'mr darnay']",abel,0,0.2,incorrect,israel,0,0.33,incorrect,abrahami,0,0.43,incorrect,abrahami,0,0.43,incorrect,abraham,0,0.46,incorrect,abel,0,0.2,incorrect,adam,0,0.4,incorrect,adam,0,0.4,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,job,0,0.0,incorrect,adama,0,0.55,incorrect,israel,0,0.33,incorrect,abrahami,0,0.43,incorrect,abel,0,0.2,incorrect,adam,0,0.4,incorrect,jesus,0,0.0,incorrect,adama,0,0.55,incorrect
"['the', 'monsieur', 'ngài', 'monsieur the marquis', 'ngài hầu', 'mösyö marki', 'mösyö', 'marqués', 'hầu', 'marki', 'marquis']",god,0,0.29,incorrect,jesus,0,0.33,incorrect,abrahami,0,0.46,incorrect,abrahamu,0,0.55,incorrect,abraham,0,0.4,incorrect,abel,0,0.36,incorrect,adam,0,0.33,incorrect,adam,0,0.33,incorrect,john,0,0.33,incorrect,shakespeare,0,0.33,incorrect,job,0,0.25,incorrect,adam,0,0.33,incorrect,jesus,0,0.33,incorrect,abrahamu,0,0.55,incorrect,abel,0,0.36,incorrect,adam,0,0.33,incorrect,shakespeare,0,0.33,incorrect,adam,0,0.33,incorrect
"['mösyö gabelle', 'monsieur gabelle', 'monsieur', 'mösyö', 'gambelle', 'gabelle']",postmaster,0,0.44,incorrect,abel,0,0.73,correct,postmaster,0,0.44,incorrect,postmaster general,0,0.47,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,adam,0,0.33,incorrect,postman,0,0.33,incorrect,shakespeare,0,0.33,incorrect,postmaster,0,0.44,incorrect,postmaster,0,0.44,incorrect,abel,0,0.73,correct,postmaster general,0,0.47,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,shakespeare,0,0.33,incorrect,postmaster,0,0.44,incorrect
"['charles darnay', 'carlos', 'charles', 'darnay', 'carlos darnay']",eden,0,0.4,incorrect,joel,0,0.2,incorrect,noah,0,0.4,incorrect,adam,0,0.4,incorrect,abel,0,0.4,incorrect,eden,0,0.4,incorrect,eve,0,0.2,incorrect,adam,0,0.4,incorrect,shakespeare,0,0.48,incorrect,shakespeare,0,0.48,incorrect,adama,0,0.55,incorrect,adama,0,0.55,incorrect,joel,0,0.2,incorrect,adam,0,0.4,incorrect,eden,0,0.4,incorrect,adam,0,0.4,incorrect,shakespeare,0,0.48,incorrect,adama,0,0.55,incorrect
"['manette', 'doktor', 'doktor manette']",abel,0,0.36,incorrect,ngaka,0,0.21,incorrect,abrahami,0,0.18,incorrect,jesus,0,0.17,incorrect,god,0,0.22,incorrect,ngaka,0,0.21,incorrect,abrahamu,0,0.18,incorrect,abraham,0,0.19,incorrect,freud,0,0.21,incorrect,freud,0,0.21,incorrect,job,0,0.22,incorrect,job,0,0.22,incorrect,ngaka,0,0.21,incorrect,jesus,0,0.17,incorrect,ngaka,0,0.21,incorrect,abraham,0,0.19,incorrect,freud,0,0.21,incorrect,job,0,0.22,incorrect
"['manette', 'doktor', 'doktor manette']",shakespeare,0,0.33,incorrect,ngaka,0,0.21,incorrect,jesus,0,0.17,incorrect,oliver,0,0.33,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,abraham lincoln,0,0.21,incorrect,abraham,0,0.19,incorrect,god,0,0.22,incorrect,charaka,0,0.19,incorrect,job,0,0.22,incorrect,job,0,0.22,incorrect,ngaka,0,0.21,incorrect,oliver,0,0.33,incorrect,god,0,0.22,incorrect,abraham,0,0.19,incorrect,charaka,0,0.19,incorrect,job,0,0.22,incorrect
"['manette', 'lucía', 'miss', 'miss manette']",jesus,0,0.44,incorrect,abel,0,0.36,incorrect,abrahami,0,0.33,incorrect,oliver,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abrahamy,0,0.17,incorrect,job,0,0.0,incorrect,abel,0,0.36,incorrect,oliver,0,0.36,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect
"['mr', 'mr stryver', 'sydney', 'stryver']",israel,0,0.46,incorrect,qetellong,0,0.25,incorrect,jesus,0,0.18,incorrect,shakespeare,0,0.33,incorrect,jesus,0,0.18,incorrect,israel,0,0.46,incorrect,shakespeare,0,0.33,incorrect,john,0,0.2,incorrect,cleopatra,0,0.25,incorrect,shakespeare,0,0.33,incorrect,newton,0,0.33,incorrect,charles darwin,0,0.3,incorrect,qetellong,0,0.25,incorrect,shakespeare,0,0.33,incorrect,israel,0,0.46,incorrect,john,0,0.2,incorrect,shakespeare,0,0.33,incorrect,charles darwin,0,0.3,incorrect
"['mr', 'mr stryver', 'stryver']",jesus,0,0.17,incorrect,barister,0,0.56,incorrect,abrahami,0,0.2,incorrect,abrahami,0,0.2,incorrect,jesus,0,0.17,incorrect,god,0,0.0,incorrect,volodymyr,0,0.36,incorrect,abraham,0,0.22,incorrect,god,0,0.0,incorrect,barister,0,0.56,incorrect,herodiasa,0,0.25,incorrect,andriamanitra,0,0.27,incorrect,barister,0,0.56,incorrect,abrahami,0,0.2,incorrect,god,0,0.0,incorrect,abraham,0,0.22,incorrect,barister,0,0.56,incorrect,andriamanitra,0,0.27,incorrect
"['mr', 'mr stryver', 'stryver']",abel,0,0.18,incorrect,abel,0,0.18,incorrect,oliver twist,0,0.36,incorrect,abraham,0,0.22,incorrect,abraham lincoln,0,0.16,incorrect,god,0,0.0,incorrect,adam,0,0.33,incorrect,adam,0,0.33,incorrect,abraham lincoln,0,0.16,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect,abel,0,0.18,incorrect,abraham,0,0.22,incorrect,god,0,0.0,incorrect,adam,0,0.33,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect
"['mr', 'lorr', 'mr lorry', 'lorry']",abel,0,0.25,incorrect,abel,0,0.25,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,abraham lincoln,0,0.35,incorrect,adam,0,0.33,incorrect,charlotte bronte,0,0.33,incorrect,shakespeare,0,0.15,incorrect,marina,0,0.5,incorrect,marina,0,0.5,incorrect,abel,0,0.25,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,adam,0,0.33,incorrect,shakespeare,0,0.15,incorrect,marina,0,0.5,incorrect
"['lucía', 'miss', 'miss manette', 'mane', 'manette']",abel,0,0.5,incorrect,ke,0,0.33,incorrect,abrahami,0,0.33,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham lincoln,0,0.22,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,jesus,0,0.44,incorrect,job,0,0.0,incorrect,abrahamy,0,0.17,incorrect,ke,0,0.33,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,jesus,0,0.44,incorrect,abrahamy,0,0.17,incorrect
"['manette', 'lucía', 'miss', 'miss manette']",abel,0,0.36,incorrect,paul,0,0.22,incorrect,oliver twist,0,0.33,incorrect,jesus,0,0.44,incorrect,abel,0,0.36,incorrect,jesus,0,0.44,incorrect,abraham lincoln,0,0.22,incorrect,abraham lincoln,0,0.22,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,abrahamy,0,0.17,incorrect,adam,0,0.25,incorrect,paul,0,0.22,incorrect,jesus,0,0.44,incorrect,jesus,0,0.44,incorrect,abraham lincoln,0,0.22,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect
"['defarge', 'madam', 'madam defarge']",curie,0,0.33,incorrect,madame bovary,0,0.62,incorrect,curie,0,0.33,incorrect,madame,0,0.91,correct,cleopatra,0,0.38,incorrect,macdonald,0,0.57,incorrect,curie,0,0.33,incorrect,madame bovary,0,0.62,incorrect,madame,0,0.91,correct,dominoes,0,0.31,incorrect,curie,0,0.33,incorrect,madame,0,0.91,correct,madame bovary,0,0.62,incorrect,madame,0,0.91,correct,macdonald,0,0.57,incorrect,madame bovary,0,0.62,incorrect,dominoes,0,0.31,incorrect,madame,0,0.91,correct
['defarge'],jesus,0,0.17,incorrect,shakespeare,0,0.44,incorrect,abrahami,0,0.27,incorrect,jesus,0,0.17,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,adam,0,0.36,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,adam,0,0.36,incorrect,god,0,0.2,incorrect,adao,0,0.36,incorrect,shakespeare,0,0.44,incorrect,jesus,0,0.17,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,adam,0,0.36,incorrect,adao,0,0.36,incorrect
