Single_ent,en,en_results,en_shuffled,en_shuffled_results
['gore'],"We went for lunch at a small bistro near the Ministry. [MASK] came from an era of service à la française, private dining rooms and putting everything into jelly. When I began to explain, in tones of motherly patience, how twenty-first-century restaurants operated, he said, “I’ve eaten kangaroo on the uninhabited shores of the Albert River. I understand how a knife and fork work. Please sit down.”","""title"": ""The Eyre Affair"", ""author"": ""Jasper Fforde""","into understand [MASK] knife twenty-first-century the rooms service motherly bistro and eaten small tones and jelly. down.” fork at française, explain, dining of uninhabited how began a I shores Albert When “I’ve for how of work. patience, era a to la Ministry. said, came on sit of putting kangaroo the an from River. operated, went à restaurants he in I the We Please private near everything lunch","""title"": ""The Ministry of Utmost Happiness"", ""author"": ""Arundhati Roy"""
['gore'],"“I thought it might be a good thing to make a proper friend of him,” [MASK] continued. “He said he would arrange for his bridge to take us to”—here he raised his eyebrows—“a public house. I am looking forward to seeing what visions of sin this era has concocted for the humble tavern.”","""title"": ""The Eyre Affair"", ""author"": ""Jasper Fforde""","us public tavern.” bridge raised his eyebrows—“a [MASK] to friend might his has he said looking make house. era he it thought “I proper I this for of good continued. forward what “He of to the sin humble for arrange to a him,” would a thing visions be am seeing take to”—here concocted","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['gore'],"Back at the house I was still struggling to think of as “home,” [MASK] shyly asked me if I would also “come for a drink.” He had done well, at lunch, to hide his deep embarrassment over my payment of the bill (with a Ministry expense card); he was adjusting with gold-star alacrity in recognizing that it wouldn’t be a reputation-detonating act for a respectable woman to be seen in a public house in the company of bachelors.","""title"": ""Half of a Yellow Sun"", ""author"": ""Chimamanda Ngozi Adichie""","to it at card); was well, house house struggling I would reputation-detonating public to shyly adjusting be of he a “come hide alacrity wouldn’t [MASK] the bachelors. payment think of company of “home,” at a me embarrassment if woman my a expense the act as done the gold-star recognizing for Ministry still bill to with asked in a be had deep drink.” I Back a in lunch, his that over for He was respectable (with seen in also","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
['ralph'],"I coughed at my half-pint. [MASK], a snide and etiolated former field agent, was my least favorite bridge. He had somehow managed to get assigned the only young woman expat.","""title"": ""The Bourne Legacy"", ""author"": ""Robert Ludlum""","assigned had to I snide my [MASK], get etiolated He half-pint. my coughed agent, somehow and a field bridge. managed favorite young least was former expat. at woman the only","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
['ralph'],“No. Apparently it was very awkward when [MASK] came in here for a lunchtime gallon of merlot and spotted him. He’s part of Defence’s tracking team. You know they don’t much like the fact that the Ministry is a separate institution. They thought the time-door ought to fall under their remit.”,"""title"": ""The Long Earth"", ""author"": ""Terry Pratchett""",merlot much when They the part that the a Apparently thought Ministry ought is and tracking know don’t in fall awkward remit.” him. like spotted the institution. to He’s was under fact came it [MASK] You team. Defence’s they a gallon time-door of lunchtime for their “No. very here of separate,"""title"": ""1984"", ""author"": ""George Orwell"""
['negro'],"“He used the word ‘[MASK]’ until I stopped him, but I don’t think he meant it with two g’s, if that’s what you’re asking me. How’s your expat managing the news of your miscegenation?”","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz""","that’s expat of me. if How’s him, ‘[MASK]’ the word two meant stopped but used the your managing I until I your asking what miscegenation?” g’s, news with “He it you’re don’t think he","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['black'],"I choked. “Uh. We don’t use that word anymore. We just say ‘[MASK].’ As an adjective. You would say, ‘She is a [MASK] woman.’ ”","""title"": ""The Hate U Give"", ""author"": ""Angie Thomas""","‘[MASK].’ don’t would We You As adjective. anymore. word an ” just that choked. is “Uh. ‘She a We use woman.’ I say say, [MASK]","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
['graham'],"[MASK] used other words too, not wrong, exactly, but not right, like “your people,” or “your culture.” When I said, in a wincingly tight voice, that we had the same people and culture, he replied, mildly, “But I don’t think that we do.” Then came the image searches about Cambodia, on food and dress and customs. I had to do those for him, in the early days, because he still didn’t know how, and the English-language internet was not on my side. Exotic, friendly, conservative, resilient. The way he couched his questions, too, was imperfect. I had to correct “ancestor” for “grandparent,” “sacred” for “polite,” “tribal leaders” for “farmers.”","""title"": ""Pachinko"", ""author"": ""Anthony Marra""","he in friendly, side. couched came for do but customs. I I “polite,” Cambodia, said, had not words “tribal way replied, conservative, “sacred” and or When because how, a “ancestor” my was for to people he still food questions, for correct on not do.” too, imperfect. I English-language the image and leaders” on we he same days, the “farmers.” mildly, resilient. him, The “But “your to voice, culture, like the too, in we dress searches early don’t and people,” those other had used “grandparent,” and [MASK] tight for that about internet that I the wrong, didn’t exactly, had was right, his Exotic, Then think not know culture.” “your wincingly","""title"": ""The Beauty of Humanity"", ""author"": ""Cheryl Strayed"""
['graham'],"He smiled, dimples curving. “I think, as we are ‘housemates,’ and also, I hope, friends, that you should call me [MASK].”","""title"": ""Harry Potter and the Philosopher's Stone"", ""author"": ""J.K. Rowling""","that friends, He curving. I ‘housemates,’ think, me “I hope, call dimples as [MASK].” smiled, you and should are also, we","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['arthur'],"“After you returned home yesterday, the Brigadier came back to see [MASK]. They had a conversation about television, which [MASK] seems to think is a wonderful invention. The Brigadier mentioned ‘Auntie’s output.’ ”","""title"": ""The Hound of the Baskervilles"", ""author"": ""Sir Arthur Conan Doyle""","to yesterday, ” wonderful output.’ returned conversation The [MASK] a seems They had Brigadier “After mentioned see which back you home ‘Auntie’s about the to think Brigadier invention. came is a [MASK]. television,","""title"": ""Brigadier's invention"", ""author"": ""Unknown, possibly a children's book author"""
['stokes'],"This old wound, formerly healed, he’d received in Australia with Captain [MASK]. A gun had exploded in his hands. They were rowing up a river in the captain’s gig, charting its course. The cockatoos they’d spotted on the opposite bank were so dense as to be cloudlike, billowing from tree to tree. He’d taken up his fowling piece and sighted along the barrel.","""title"": ""The Sea-Wolf"", ""author"": ""Jack London""","exploded a A the his taken hands. with He’d sighted Australia as The gig, cockatoos bank up charting dense tree in captain’s healed, barrel. wound, old course. piece tree. to Captain spotted river were and to rowing along formerly cloudlike, from be up in were billowing they’d received They its the fowling opposite on so This had [MASK]. gun he’d the in his","""title"": ""The Voyage of the Beagle"", ""author"": ""Charles Darwin"""
['graham'],"It’s surprising, then, that I allowed [MASK]’s drawing of the projection device to enter my files as a joke, like a coin minted 70 BC. I thought it was a form of juvenilia, drawn in his earliest years as a modern man, something to remind him of on a significant anniversary of his arrival here; and not, as it would turn out to be, a red letter from another era.","""title"": ""The City &amp; The City"", ""author"": ""China Miéville""","a era. would man, and to then, to that on joke, from like years of 70 thought as another earliest files remind red BC. out to a a arrival a something his It’s turn surprising, enter [MASK]’s a letter in I my of as be, modern a was drawing allowed projection him significant of not, minted of coin his as here; drawn the I device juvenilia, anniversary it it form","""title"": ""The Notebooks of Samuel Butler (Volume 2)"", ""author"": ""Samuel Butler"""
['graham'],"By the start of that summer, [MASK] was practically a native of the era. He wore button-ups and was clean-shaven to his cheekbones. He had a preferred washing-machine cycle. Most mornings he rose—hours before me—and went for a run. He would sometimes wake me up with a juicy smoker’s wheeze on his return to the house. He started giving me custody of his cigarettes and enforced a predinner smoking ban.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","native smoker’s practically [MASK] went He the had he wheeze a mornings of rose—hours me the with cigarettes his started that era. of was enforced a summer, me cheekbones. smoking run. cycle. to on a predinner before house. By his me—and He to Most sometimes a his washing-machine button-ups He and up clean-shaven for start and wake wore the custody He a return was preferred ban. would of juicy giving","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['graham'],"There were others times when it felt as if [MASK] deliberately disliked the twenty-first century, as if assimilation was a form of treachery to his past. I was prickly and defensive about this; I could not look at why directly. I heard the way I spoke to him about it: adjustment, reasonable, citizen, responsibility, values. He blew a lot of pensive cigarette smoke at me.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz""","this; to reasonable, why as adjustment, of it and at it: was times if cigarette citizen, twenty-first [MASK] lot others about of There about a could I him his were was if treachery a look I me. prickly pensive century, deliberately defensive I directly. spoke at He smoke the felt heard form way as the blew past. not responsibility, assimilation I to values. disliked when","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"Thus, on a weekly basis, the expats were subjected to tests designed to trigger empathy or disgust, and scrutinized. The first tests were conducted in the laboratory booths, but they resembled the Ministry hospital wards so strongly that the expats had tremendous anxiety reactions and it was difficult to get serviceable data from them. [MASK], for example, kept asking to be excused for a smoke—heart rate elevated—and struggled to focus on the tests—eyes moving rapidly. I once found him the sole occupant of the fifth-floor smoking area (a pigeon-shit-encrusted balcony), methodically shredding a filter of a finished cigarette. I watched him for a while, interested in the way that only his fingers moved. Most people ripple with surplus motion unless they are concentrating, but [MASK] only ever moved the parts of him that he wanted to move.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","and had a his the I kept basis, wards they of methodically he pigeon-shit-encrusted weekly get I that them. conducted the anxiety the tests—eyes strongly and to expats on only smoke—heart the data but Thus, Ministry surplus to disgust, resembled to of rapidly. only hospital asking designed motion once booths, were they trigger to [MASK], him [MASK] be unless first the people finished way the from moved rate of in fifth-floor wanted were with (a him scrutinized. balcony), tests was interested ripple a him parts ever difficult concentrating, move. moving empathy for excused reactions but the a the moved. Most found or that area shredding sole so subjected to for to cigarette. focus it watched filter a expats occupant on in tests that struggled a smoking fingers tremendous elevated—and example, laboratory The are the serviceable while, for","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"After that, the “empathy exams” returned more useful results—though there were other issues. A controversial test used pictures of soldiers from the First World War, caved and razed by new weapons. The disruption was terrible. Nineteen-sixteen had to be sedated. The other expats were horrified too. Even Sixteen-forty-five and [MASK], who had fought in large-scale battles, were laid out by the ultramodern scope of the harm. They began to resist the exams psychologically, spoiling our hard-won data. It was agreed that we’d delay introducing them to Hiroshima, Auschwitz, and the Twin Towers. Control promised to provide a timeline for the revelations, but it hadn’t materialized.","""title"": ""We Are Legion (We Are Bob)"", ""author"": ""Dennis E. Taylor""","A expats of be was exams” revelations, disruption the sedated. were fought terrible. The useful test were ultramodern pictures the soldiers who First It by Hiroshima, delay hadn’t Sixteen-forty-five hard-won a “empathy them to too. Twin World [MASK], had The timeline by horrified harm. materialized. spoiling and scope we’d that that, to of caved results—though laid Even returned had began there the and were for our more They Towers. other was large-scale issues. psychologically, Nineteen-sixteen but the and After it Control the other used the in War, provide Auschwitz, battles, to promised data. out exams the introducing to resist weapons. new razed controversial from agreed","""title"": ""Slaughterhouse-Five"", ""author"": ""Kurt Vonnegut"""
['adela'],"[MASK] was always present at the honesty exams, often intervening in them. I got the impression that she was listening to offstage prompts that only she could hear, being the only one among us who was aware she was on a stage, and was trying to chivvy us along the right course of action.","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""","us the she on was could one present stage, was them. [MASK] always along course trying listening of the action. she to the she that I at was only exams, us a to got was among right being and only intervening was in often chivvy the aware honesty that hear, impression offstage who prompts","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['adela'],"[MASK] smiled with about a third of her mouth. Her face had changed again. She looked pinched and hungry, and hauntingly as if her skin was held in place by a bulldog clip at the back of her skull.","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath""","back pinched again. Her at skin her changed third and place hauntingly [MASK] clip in of face with smiled of skull. hungry, bulldog held had about mouth. a if as her and was She looked by her the a","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['graham'],"I went along to one of the earliest dinners, chicken bag slung over my shoulder. Bridges tended not to eat at the Ministry canteen with administrative staff and the operators on the Wellness team—the office-based employees—and the decorous hostility with which the paper pushers met me was adorable. When I got to the kitchen itself, the first thing I saw was [MASK] leaning down to light a cigarette on the gas ring, his curls dangerously close to the hob. We’d had to disable smoke detectors in every Ministry room that [MASK] used. If he couldn’t have a cigarette, he’d throw whatever experiment he was strapped into.","""title"": ""The Long Way to a Small, Angry Planet"", ""author"": ""Becky Chambers""","chicken his I on the the Ministry not bag dangerously I leaning got at thing If with my tended of cigarette operators When and met the staff strapped had every the detectors the hob. along was [MASK] he saw curls office-based Bridges with cigarette, on close was into. Wellness itself, one couldn’t down the [MASK] administrative the experiment earliest throw paper to hostility in me shoulder. kitchen the employees—and disable a to slung adorable. he’d decorous over that dinners, he eat team—the to ring, Ministry to used. to whatever have gas pushers which to a I smoke light the room canteen went was We’d first the","""title"": ""1984"", ""author"": ""George Orwell"""
['margaret'],"She put a glass down in front of me—ice, water, an oily suggestion of cordial, and, sure enough, some fussy edible garnishes. I blinked at it and then at [MASK], who smiled.","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""","in then She oily it and at sure blinked water, enough, fussy a edible glass [MASK], and, an front me—ice, smiled. down some put suggestion at cordial, I garnishes. of of who","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['graham'],"[MASK] said, “Hm!” and pulled hard on his cigarette. He wandered off with the expansive air of a man who might pick up some parsley, not because he has been told to but because that might be a jolly thing to do en route to his next footloose and fancy-free destination. I watched him go.","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger""","destination. might parsley, hard that him pulled to told to who [MASK] I be his the some not a his but go. air next footloose and to route said, a been and up cigarette. with “Hm!” on jolly en thing fancy-free of expansive watched He do has because man because he pick might off wandered","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['margaret'],"“No,” said [MASK]. She shrugged at my expression. “An’ I forsake this duty,” she said, “we’ll sicken. Forty-seven thinks tobacco is an herb. But womenfolk were cordoned at the stove for centuries. The men mun take lessons.”","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""","an cordoned shrugged stove “An’ take “we’ll herb. she is expression. at mun thinks lessons.” I for forsake duty,” my men this [MASK]. But womenfolk centuries. the at She The said “No,” tobacco were sicken. said, Forty-seven","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['margaret'],The Brigadier drifted closer. He did look hungry. He looked like I did as a student when I ate nothing but buttered toast and apples. He turned the white of used candlewax when [MASK] opened the oven to better squint at her roast potatoes.,"""title"": ""Harry Potter and the Philosopher's Stone"", ""author"": ""J.K. Rowling""",The used student drifted when I the looked did He oven turned her of He at the a white and I buttered candlewax but hungry. did Brigadier better ate squint apples. as He when [MASK] toast nothing closer. roast to like look opened potatoes.,"""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['margaret'],"“ ’Tis all the same to me, sir,” said [MASK], “though I fear this cod will grow legs and walk afore my ‘colleague’ returns with my parsley.”","""title"": ""Oliver Twist"", ""author"": ""Charles Dickens""","me, same ’Tis legs I said my sir,” parsley.” fear this cod grow will ‘colleague’ afore walk to “ with “though returns all the my [MASK], and","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['graham'],"Because we lived in a government-owned residence, there were also restrictions on how long we could have the air-conditioning on. [MASK] picked at this, irritating and irritated.","""title"": ""The Diary of a Young Girl"", ""author"": ""Anne Frank""","lived were restrictions on how also have on. [MASK] could government-owned Because we irritating irritated. we long air-conditioning at a and residence, in there picked this, the","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"Movement was anathema. I slept, mostly, naked and poaching in my sweat. The water ration forced [MASK] to switch finally to thirty-second showers. I didn’t see him for the whole of the heat wave. We left our bedroom doors open with the intention of letting the air circulate—though the air hung like an executed corpse—and said lackluster things about making a salad to each other from our separate cells.","""title"": ""The Girls"", ""author"": ""Emma Cline""","in to poaching sweat. circulate—though air open whole Movement heat water mostly, ration I and making separate see intention switch bedroom salad naked forced for I the about lackluster each like wave. him finally the the things an hung a The cells. my anathema. the [MASK] showers. with doors thirty-second didn’t letting our to slept, We from of of the other air executed corpse—and was our left to said","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['adela'],"[MASK] took bridge meetings in a soundproof room deep in the Ministry’s chest. She always arrived first, and we’d find her sitting at the top of a long table like a mannequin awaiting the gift of demonic possession. But this time I arrived a quarter of an hour early and she wasn’t there.","""title"": ""The All Souls Trilogy: A Discovery of Witches"", ""author"": ""Deborah Harkness""","top and But table an awaiting a I a long of she Ministry’s there. in soundproof always first, arrived arrived took meetings her and at [MASK] of a quarter hour of gift deep She this in the room wasn’t like we’d the time possession. bridge demonic early chest. a sitting the find mannequin","""title"": ""1984"", ""author"": ""George Orwell"""
['adela'],"[MASK] was standing at the sink and anarchically disobeying the water ration by running her wrists under cold water. She looked unwell, but God alone knows how her plastic surgeon thought she was supposed to look.","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""","water disobeying God how under She the anarchically thought wrists was alone looked at unwell, knows was her the to water. she plastic surgeon look. ration but and her supposed sink running [MASK] by cold standing","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
