en,en_results,Single_ent,en_shuffled,en_shuffled_results
"He nods. “A little more than a week ago, her little brother, Abel, turned fifteen. That night, he and three friends were out partying, and found themselves near the river. Emboldened by their youth and feeble-mindedness, they challenged each other to swim across it, touch the riverbank that belongs to Were territory, and then swim back. A show of bravery, if you will.”","""title"": ""The Iron Trial"", ""author"": ""Holly Black and Cassandra Clare""",['abel'],"week if night, the riverbank and it, youth three little ago, out and little fifteen. were nods. territory, “A you friends and feeble-mindedness, than back. He found bravery, Abel, across river. by to turned themselves That Emboldened then near that partying, they swim a belongs touch her will.” Were he A challenged more each and show their the of to other brother, swim","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“Their succession of power is not particularly sophisticated. Weres are most closely related to dogs, after all. Suffice to say, Roscoe is dead.”","""title"": ""Harry Potter and the Prisoner of Azkaban"", ""author"": ""J.K. Rowling""",['roscoe'],"most dead.” closely “Their dogs, Roscoe are sophisticated. to to power after say, is Weres succession not is Suffice all. particularly of related","""title"": ""The Hound of the Baskervilles"", ""author"": ""Arthur Conan Doyle"""
"“He is young, you see. Around your age and built of a different stock. As savage as Roscoe, perhaps, but more open-minded. He believes that peace in the region is possible. That alliances among all three species should be cultivated.”","""title"": ""The Last Kingdom"", ""author"": ""Bernard Cornwell""",['roscoe'],"a among stock. should in species as be savage region Around you open-minded. your young, is that of As believes perhaps, and peace built Roscoe, “He more possible. all cultivated.” but That He alliances see. different the age three is","""title"": ""The Jungle Book"", ""author"": ""Rudyard Kipling"""
"“The other children knew that I’d be the one sent to the Humans, and they started calling me fangless traitor as soon as they could form full sentences. Or have you forgotten when I was seven, and the sons and daughters of your fellow councilmen stole my clothes and pushed me out in the sun right before midday? And those same people spat on me and mocked me when I returned from ten years serving as their Collateral, so I’m not—” I exhale slowly, and remind myself that this is fine. I am fine. Untouchable. I’m twenty-five and I have my fake Human IDs, my apartment, my cat (fuck you, Serena), my . . . Okay, I probably don’t have a job right now, but I’ll find another soon, with 100 percent fewer Pierces. I have friends—a friend. Probably.","""title"": ""The Lunar Chronicles"", ""author"": ""Marissa Meyer""",['serena'],"that apartment, in . cat and my I soon, sun IDs, seven, And forgotten my Humans, me “The fewer another myself stole Pierces. am they years Okay, have fake I I’d as and was friend. sons out I to (fuck 100 me sent could calling the as form before and my you Serena), children returned and midday? have fellow with Probably. serving a and remind I have twenty-five ten right I fine. those as I’m now, they my other friends—a I your mocked Or from probably me same I’m . and job started Human when I Untouchable. on exhale me that . have daughters my don’t is right the fangless percent their clothes but councilmen traitor and fine. I’ll of the be you, pushed sentences. the when so people one not—” full knew this spat Collateral, find soon slowly,","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"“They see a wedding between a Vampyre and an Alpha that was supposed to broker peace, but ended in death. The Weres are animals, and always will be, but we are on the road to extinction, and the good of the most must be considered. If we let the Humans and Weres form an alliance that excludes us, they could completely wipe us out—”","""title"": ""Night Huntress"", ""author"": ""Jeaniene Frost""",['vampyre'],"of excludes form we ended the will animals, the and broker be considered. Weres Alpha in death. to If extinction, alliance out—” supposed and wedding was be, must we could an are and but “They between that that wipe us Humans the us, the let a completely peace, Weres are always and on see Vampyre they an but road The most good a to","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern"""
"I only ever laughed out loud with Serena, which means that it must have been well over a month since I last did it. My brain nearly hiccups, startled at these newfangled, mysterious sounds my voice box is producing. “Did you drink rotten blood? Because you’re unhinged.”","""title"": ""New Moon"", ""author"": ""Stephenie Meyer""",['serena'],"startled been it My ever with box at my a drink have producing. you’re month blood? rotten over loud since Because sounds only I newfangled, must did laughed unhinged.” is I means hiccups, nearly out voice “Did which Serena, that well you brain mysterious last it. these","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"“Vampyres cannot.” I shoot to my feet and begin pacing away from him, massaging my temple. “Why are you asking me? I cannot be your first choice.”","""title"": ""House of Night"", ""author"": ""P.C. Cast""",['vampyres'],"cannot.” “Why to from are temple. choice.” shoot away pacing begin cannot massaging you my asking feet I and him, my first your I me? be “Vampyres","""title"": ""Vampyres"", ""author"": ""Christopher Moore"""
"“You aren’t,” he says flatly. He has plenty of faults, but lack of honesty was never among them. “Nor our second. The council is in agreement that we must act, and several members have offered their relatives. Originally, Councilman Essen’s daughter agreed. But she had a change of heart—”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['essen'],"of The that But second. she we has a and aren’t,” members Originally, must “You plenty says Councilman their agreed. but lack had He was offered heart—” he agreement them. Essen’s council act, our change faults, have several of “Nor daughter flatly. in is relatives. honesty never among of","""title"": ""1984"", ""author"": ""George Orwell"""
"And yet, here I am. With Governor Davenport. Leaning on my elbows over the balcony that overlooks the courtyard where I just got married. Biting back a sigh before explaining:","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern""",['davenport'],"back Davenport. before I elbows my sigh am. on With balcony got I explaining: overlooks over And Governor just where Leaning the courtyard yet, the Biting a that here married.","""title"": ""None"", ""author"": ""Unknown"""
"Gauging intoxication levels in Humans is always a struggle, but I’m fairly sure the governor is not not drunk. “You asked who gave me my name. It was the Vampyre council.”","""title"": ""Night Huntress"", ""author"": ""Jeaniene Frost""",['vampyre'],"drunk. Humans I’m governor who the not fairly not but a Gauging sure in intoxication council.” struggle, was name. levels the is It me gave “You asked Vampyre is always my","""title"": ""The Vampyre"", ""author"": ""John William Polidori"""
"Serena was like that, too, when I first met her. “So crucifixes burn you?” she asked me a couple of weeks into our cohabitation, after I failed to convince her that the viscous red liquid I kept in my fridge was tomato juice.","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath""",['serena'],"like her. couple asked juice. viscous cohabitation, to I crucifixes first my Serena I was after I that, tomato too, you?” red weeks a kept was of liquid burn in when me met she failed our into that “So convince her the fridge","""title"": ""None"", ""author"": ""Unknown"""
"“Shit,” I mutter softly, rubbing the bridge of my nose. Was Moreland married before? If that’s the case, I cannot comprehend how pissed he must be at the prospect of being shackled to me while his wife is far away, first in line to the slaughter. Maybe that’s why he flipped earlier?","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['moreland'],"to while cannot mutter Maybe being case, before? earlier? that’s If I me shackled Was far first why comprehend in line that’s his away, slaughter. the he Moreland married to prospect the nose. is softly, my the “Shit,” rubbing how the I pissed bridge wife at of be he of must flipped","""title"": ""The Road"", ""author"": ""Cormac McCarthy"""
"Moreland presses his lips together. His jaw clenches and he says something, but his voice is deeper, lower than his companions’. I cannot make out the words over the background noises.","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee""",['moreland'],"out the companions’. words and clenches his the Moreland make noises. cannot background his together. His his jaw voice is but something, says over lower than lips deeper, presses I he","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"A short distance away, two children are bawling. They are toddlers, one with dark skin and lilac eyes, the other pale and blue-eyed. A Vampyre and a Were. Between them lies a dark blue superhero action figure, broken in two at the waist. And next to them, clutching their respective sons, are a Vampyre father and a Were mother. Who, for reasons I cannot divine, thought that bringing children here would be a good idea, and now are showing their fangs at each other. Growling. Drawing the attention of the other guests, who start to gather around them protectively. Or maybe aggressively.","""title"": ""The Southern Book of Spells"", ""author"": ""Alex Marwood""",['vampyre'],"aggressively. around to good of Vampyre and other. Or with away, be idea, the at dark clutching eyes, attention are maybe Were. broken them children skin Growling. cannot a fangs Drawing to waist. blue-eyed. protectively. guests, And one and are a the I them figure, a the action for They blue A the superhero sons, bawling. start dark gather would in lilac are other divine, showing are a reasons Were pale each and Between that their here two Who, mother. father at other now short respective two their next A children who distance bringing and thought toddlers, a and Vampyre lies them,","""title"": ""Vampyres: Three Tales of Love, Lust, and Death"", ""author"": ""Christopher Pike"""
"“It’s all good,” Moreland says. Calm. Reassuring. Not to the father, but to the child. As he holds out the intact action figure—not broken, after all.","""title"": ""The Things They Carried"", ""author"": ""Tim O'Brien""",['moreland'],"but the action “It’s holds As says. all intact Calm. Not Moreland after Reassuring. to the child. out figure—not broken, to the good,” father, he all.","""title"": ""The Road"", ""author"": ""Cormac McCarthy"""
"“Anything you’d like to say?” Moreland asks, this time to the Were child. The boy blinks several times before looking at the ground with a pout.","""title"": ""The Silver Crown"", ""author"": ""C.S. Lewis""",['moreland'],"Were times a pout. child. blinks before looking to ground time say?” boy the you’d The several to at this like “Anything asks, Moreland with the","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“Make sure it doesn’t happen again. Tell the others, too,” he quietly orders the ginger and the older Were, who nod and leave to mix with the guests. Moreland sighs, and I wait for a handful of seconds, hoping he’ll join them and clear my way.","""title"": ""Moon Called"", ""author"": ""Patricia Briggs""",['moreland'],"Tell hoping the of wait he the older orders others, it too,” and he’ll way. doesn’t Moreland Were, who mix sure for a to join leave with ginger and the handful quietly sighs, my them nod I happen again. guests. and seconds, clear the “Make and","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“I know you’re there,” he says, not looking at anyone in particular. I have no idea who he’s addressing until he adds, “Come down, Miss Lark.”","""title"": ""The Lark Ascending"", ""author"": ""Nancy Mitford""",['lark'],"not anyone particular. Lark.” I adds, until “I no he you’re at says, have “Come who Miss looking he down, in idea he’s there,” addressing know","""title"": ""The Importance of Being Earnest"", ""author"": ""Oscar Wilde"""
"No, we Vampyres don’t pulverize in the sun like glitter bombs. Sunlight burns us and it hurts, but it won’t kill us unless the exposure is unfiltered and prolonged. However, we are pretty useless in the middle of the day, even inside. Lethargic and weak and crawly and headachy, especially during late spring and summer, when the rays hit at that pesky steep angle. “This crepuscularity of yours is really cramping my brunch lifestyle,” Serena used to say. “Also, the fact that you don’t eat.”","""title"": ""The Night Watchman"", ""author"": ""Unknown""",['serena'],"in we at cramping us but fact However, don’t kill are us and middle Serena really you it and rays lifestyle,” the headachy, used spring Sunlight of hurts, of day, unless No, my and steep the it useless is the late the when pulverize summer, we even and in don’t eat.” Vampyres and “This bombs. sun that prolonged. brunch pesky exposure say. angle. won’t weak especially crawly glitter Lethargic the during crepuscularity hit “Also, is that yours to pretty burns like the unfiltered inside. and","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"Ana sighs, and rolls her eyes, and pouts like she was asked to file a tax return, but eventually she does leave, sneaking me an impish smile. My sleep-addled brain briefly considers returning it, then recalls that I let my fangs regrow.","""title"": ""New Moon"", ""author"": ""Stephenie Meyer""",['ana'],"fangs brain and she my sneaking sighs, Ana returning impish eyes, asked her I it, like pouts leave, considers let a briefly to was recalls file that she me My eventually sleep-addled does then tax an rolls return, and but smile. regrow.","""title"": ""None"", ""author"": ""Unknown"""
"“It will be different here.” Her eyes move from mine and trace the contours of the room, still a mess of moving boxes and piles of clothes. Her gaze hiccups on the bare mattress, now stripped of the sheets and blankets that I dragged inside the closet, then stops on the only thing I put up on the wall: a Polaroid of me and Serena looking away from the camera during that sunset lake tour we did two years ago. Some guy took it without asking, while we were dangling our feet in the water. Then he showed it to us and said he’d only return it if one of us gave him our number. We did the only logical thing: caught him in a headlock and forcibly took the photo.","""title"": ""Where the Crawdads Sing"", ""author"": ""Delia Owens""",['serena'],"we only different tour water. up thing mess mattress, mine on headlock photo. piles move inside said We took and return looking ago. the did hiccups number. closet, stripped “It the Polaroid during camera eyes sheets our on he took moving were the if of Some now us Her that and dragged gaze of from and while thing: of that a will our gave the on he’d of still him and trace from here.” away only years only him put I Her contours sunset stops lake the the one I boxes Then and in guy and it the caught forcibly in two the then dangling us the clothes. of of Serena be the showed did to it it the logical bare feet room, me blankets asking, without a wall: a we","""title"": ""Room 237"", ""author"": ""Ryan J. Gosling and Rodney Ascher"""
"No shit. “And I don’t know you enough to make a judgment. Your jeans are cool, though.” Riveting conversation, but I’m about to pass out. Thankfully, with one last withering look, Juno leaves.","""title"": ""Juno"", ""author"": ""Jason Reitman and Diablo Cody""",['juno'],"look, Riveting I’m know you enough with Thankfully, about “And one though.” I a are but judgment. leaves. shit. cool, last Your out. to withering don’t to No pass Juno jeans make conversation,","""title"": ""Juno"", ""author"": ""Jason Reitman and Diablo Cody"""
"The corner of my eye catches a hint of movement. I turn, half expecting Ana to make a comeback, but it’s just Serena’s goddamned fucking cat, stretching his way out from under the bed.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""",['ana'],"goddamned eye half cat, of of hint bed. Ana my The out just expecting stretching to under but I fucking movement. from Serena’s comeback, way his a make a catches turn, it’s corner the","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"Growing up collecting attempted murders like milk teeth tempered me and taught me to be calm under pressure. And yet I still remember it, that first churning twist in my stomach when Serena didn’t turn up to my place for laundry night. Didn’t reply to my texts. Didn’t pick up the phone. Didn’t call in sick to work, and simply stopped showing up. It felt a lot like fear.","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn""",['serena'],"phone. a felt murders Didn’t be night. taught sick to when laundry work, tempered And it, up turn Serena still reply I first texts. lot yet to It remember up like me and up. up stomach fear. like attempted stopped simply didn’t and to churning place pressure. teeth for under collecting calm Didn’t me my twist in call my the milk to Didn’t my pick that Growing in showing","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"“A few days? She still wouldn’t let the little asshole starve,” I hurried to add, but the officer had already dropped his pen. And even though I went back to the station three times that week, and eventually managed to get a missing person report filed, no one did anything to find Serena. The hazard, I guess, of being alone in the world: no one to care that she was safe, and healthy, and alive. No one but me, and I didn’t count. I shouldn’t have been surprised, and I wasn’t. But apparently I still had the capacity to feel hurt.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['serena'],"been already let that surprised, hurt. add, I did and No She hurried of care but I officer But feel shouldn’t I had still no me, being safe, no and I and asshole to she apparently times one even still the one one managed world: eventually the a filed, I person count. anything Serena. The went missing to starve,” report have in didn’t wasn’t. had week, wouldn’t capacity few that to three dropped and hazard, and And to guess, station pen. to the get find I alone to but I “A though little was the back his the days? healthy, alive.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"Because no one cared whether I was safe, or healthy, or alive. No one but Serena. The sister of my heart, if not of my blood. And even though I’d been plenty alone, I’d never felt so lonely as after she was gone.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['serena'],"plenty or And alive. or been one so whether was one Serena. my Because was sister no though after even blood. never felt lonely safe, but healthy, cared I gone. she heart, alone, The if of as not my No of I’d I’d","""title"": ""Wuthering Heights"", ""author"": ""Emily Brontë"""
"I had the keys, after all. Because the key to everything is but a line of code. I was able to rifle through her bank statements, IP addresses, cell phone locations. Herald emails, metadata, app usage. Serena was a journalist, one who wrote about delicate financial stuff, and the most likely option was that she’d gotten embroiled in something fishy while working on a story, but I wasn’t going to exclude other possibilities. So I went through everything, and found . . . nothing.","""title"": ""The Circle"", ""author"": ""Dave Eggers""",['serena'],"through in likely financial . I IP journalist, that to I wrote and stuff, app found nothing. keys, a through who Serena to is Herald emails, exclude code. cell I bank most after fishy other line but possibilities. was went one usage. wasn’t embroiled working addresses, while metadata, locations. was a Because had option gotten key a So everything able of she’d all. everything, story, I delicate but phone . the the was about something . to rifle and on the statements, going her","""title"": ""None"", ""author"": ""Unknown"""
"And that’s when I did it: I kneeled in front of Serena’s damn fucking cat. He was playing like he always did after dinner, pawing at a crumpled receipt in a corner of the living room, but managed to squeeze a couple of hisses into his busy schedule just for me. “Listen.” I swallowed. Rubbed my hand on my chest and then even slapped it, trying to dull the ache. “I know you only knew her for a few days, but I really, really . . .” I scrunched my eyes shut. Oh fuck, this was hard. “I don’t know how it happened, but I think that Serena might be . . .”","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn""",['serena'],"ache. hisses Serena the a pawing chest dull Rubbed receipt how I only damn into was days, crumpled think don’t after . I it a a “I slapped couple really, I of managed .” but front really fucking dinner, playing that squeeze hand “I me. know my that’s be .” the few at in might a swallowed. I Oh you know corner always when cat. I knew room, living but his on it: eyes shut. of he even was and it, busy this then schedule for “Listen.” scrunched He just trying of kneeled to did did for her my hard. like Serena’s . . I And . in happened, to fuck, my but","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"The receipt, which wasn’t a balled-up receipt at all. It was a piece of paper torn from a journal, or perhaps a notebook, or—no. A planner. Serena’s incredibly outdated planner.","""title"": ""Ready Player One"", ""author"": ""Ernest Cline""",['serena'],"wasn’t receipt outdated which of a Serena’s notebook, was journal, planner. receipt, at torn or balled-up incredibly perhaps all. The A a a or—no. a planner. from paper piece It","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Or maybe not quite. A distant bell rang, reminding me of a game Serena and I used to play as kids, a primitive substitution cipher we made up to gossip freely in front of our caregivers. We’d named it the butterfly alphabet, and it mostly consisted of adding b- and f- syllables to normal words. Nothing complicated: even rusty as I was, it took my brain only a few seconds to untangle it. And once I was done, I had something. I had three whole words:","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['serena'],"my took rang, butterfly of I normal it freely reminding it. rusty not and A primitive I brain to as We’d a alphabet, was, the f- even to up whole Nothing was I used had kids, to something. I as seconds and I substitution our made Serena adding words. three consisted we a done, a words: b- bell untangle cipher and syllables had And in complicated: it of play mostly front named maybe once game of distant few Or me gossip caregivers. quite. to it only","""title"": ""The Cuckoo's Calling"", ""author"": ""Robert Galbraith"""
"I didn’t scream, or cry, or attack that old hag. I was paralyzed, unable to function properly for the rest of the night, and only started processing what had happened when I got home and told Serena, who was furious on my behalf and demanded a promise from the caregiver on shift: that I would never be forced to attend a similar function again.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""",['serena'],"rest told got what to promise unable to and started home the shift: or from forced function was Serena, night, I or demanded behalf happened properly and function I attack the caregiver on didn’t and again. processing I the a had be for that would on old similar only furious when paralyzed, was a never of who attend my hag. that I cry, scream,","""title"": ""The Color Purple"", ""author"": ""Alice Walker"""
"“Yes, thank you.” He nearly slumps in relief. “And, um, there are no blood banks that cater to Vampyres in the area, because, well—”","""title"": ""The Southern Vampire Mysteries"", ""author"": ""Charlaine Harris""",['vampyres'],"Vampyres relief. there to because, blood nearly that um, “And, “Yes, are cater in the thank He you.” area, banks no in slumps well—”","""title"": ""Buffy the Vampire Slayer: The Vampire Slayer Activity Book"", ""author"": ""Joss Whedon and various contributors"""
"“Are you one of his seconds?” I ask Alex, turning away from the waves lapping at the pier. “More— Lowe’s, I mean.”","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""",['alex'],"“Are away Lowe’s, pier. mean.” the one his waves seconds?” ask I at turning from of the you “More— Alex, I lapping","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Alex mulls it. “Yes and no. There are some instincts that take over in that form, more than they otherwise would. The impulse to hunt, for instance, is very powerful. To chase a scent, track down an enemy. That’s why you maybe shouldn’t venture out alone to . . .”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['alex'],"The enemy. no. Alex scent, shouldn’t and it. that out over take you is There hunt, a impulse maybe . venture “Yes form, track some .” for otherwise alone in very an chase down would. they instincts That’s instance, powerful. to why . than mulls are that To to more","""title"": ""The Maze Runner"", ""author"": ""James Dashner"""
Alex lets out a startled laugh. “He is the most powerful Were I’ve ever seen. And that my grandfather has ever seen—and he’s seen many Alphas.”,"""title"": ""Moon Called"", ""author"": ""Patricia Briggs""",['alex'],my has the seen—and startled laugh. seen Alphas.” lets is Were a And Alex that seen. many out “He ever I’ve most ever grandfather he’s powerful,"""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"Serena’s face flashes through my head. She’s rolling her eyes because I’m wearing a galaxy T-shirt I got for free when I bought a lava lamp. Who wears this, Misery? No—who buys a lava lamp?","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['serena'],"my this, Misery? No—who rolling got her lamp. eyes through face when a a galaxy wearing Who for lamp? buys wears I T-shirt lava I head. a She’s bought lava flashes Serena’s because free I’m","""title"": ""Misery"", ""author"": ""Stephen King"""
"“Except, now I live here.” I play with my silver wedding band—a habit I’ve picked up in less than twenty-four hours. I’ve never been much for jewelry, but maybe I’ll keep it when I find Serena and this is over. Or buy one of those mood rings that think Vampyres are always sad because our body temperature is low. “Why?”","""title"": ""New Moon"", ""author"": ""Stephenie Meyer""",['serena'],"it habit jewelry, and I maybe low. than find but less I twenty-four always been much play when wedding live is our band—a I is of keep I’ve over. silver “Why?” temperature picked mood with I’ve here.” for body buy “Except, up those because I’ll are Or hours. in rings that never sad now this think one Vampyres my Serena","""title"": ""Vampire Kisses"", ""author"": ""Karen Kay Bishop"""
"The first time I searched online for L. E. Moreland, I found two things: a semi-defunct GeoCities website promoting a wholly defunct real estate agent, and the infinite vastness of nothing.","""title"": ""The Last Polka"", ""author"": ""Kurt Vonnegut Jr.""",['l'],"two wholly website found semi-defunct real time L. for E. a The and online Moreland, I estate a promoting defunct things: of I searched GeoCities nothing. vastness agent, the infinite first","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"Deep in a Human server with ties to the governor’s office, hidden in a memo locked behind a bewildering number of passwords, I discovered a communication regarding a summit that had occurred a couple of weeks earlier. Around the time Serena hadn’t shown up for laundry night.","""title"": ""The Circle (novel)"", ""author"": ""Dave Eggers""",['serena'],"earlier. governor’s a locked that up of with passwords, a Around the laundry discovered in behind number office, memo for ties had time couple shown weeks night. Human Serena a communication server Deep hadn’t a of summit I a hidden occurred the regarding in a to bewildering","""title"": ""The West Wing"", ""author"": ""Aaron Sorkin"""
