Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['pat'],"[MASK] follows me up the stairs while his helper opens the back of the large box truck. Stopping in front of the door, I pull a key out of my bag. “This is me.”",John,"door, stairs in me is his the truck. of pull helper Stopping I [MASK] box front opens a follows large of the back key of “This the my up bag. while me.” out the",Stopping I helper box front opens a follows large of the back key of “This the my up bag. while me.” out the
['pat'],"I eye the first stack of boxes, each filled with the items I’ve spent the last four days picking out. Things [MASK] has been storing for me in that box truck until I was ready for him to bring them here. Things that I will move to Ryan’s house on Saturday. Things I will say I’ve owned for years rather than days.",Ryan,"days. Things truck [MASK] for picking them the will that on the to I’ve the house here. of first Ryan’s box that storing eye out. I bring last will rather for years I’ve in until move him filled ready say has four Things spent than been I was days each owned with for to boxes, items Things I I me stack Saturday.",Ryan
['ryan'],"In the kitchen area, I unzip the black bag and remove four menus from nearby restaurants and three pictures I printed from the kiosk at CVS of [MASK] and me, plus seven magnets to hold each item in place on the refrigerator. Next, I grab the assortment of condiments and pour half of each one down the sink drain before lining them in the door of the refrigerator. Moving to the bathroom, black bag in tow, I pull out the shampoo and conditioner then pour half of each down the drain like I did with the condiments, before putting the bottles on the edge of the tub. Unwrapping a bar of Lever 2000 soap, I set it on top of the drain in the sink and turn the water on, rotating it every few minutes until the logo is gone and the edges are dulled, then drop it into the small built-in space on the shower wall. Toothpaste is last. Starting from the bottom, I squeeze a portion out but leave a glob or two on the rim of the sink, just like I do at [MASK]’s house, even though I know he’ll fuss about it. Leaving the cap off, I drop the tube on the counter near the faucet.",CVS,"water drain dulled, turn them I area, the do from of in I shampoo bottom, in on the of the I into even conditioner the the pictures and 2000 [MASK] on until the to drop nearby with it the the I bag half and of leave of bathroom, drop In place me, of the in down the he’ll refrigerator. at remove the black like I but Starting the logo are the soap, like I plus black Unwrapping and half hold Toothpaste in every then condiments is the wall. on and the on, top each door tub. bottles and know set before edge the last. the Moving the faucet. at before menus two Leaving bag on rotating the bar CVS just the on each refrigerator. about a magnets from a and three built-in tube to one cap counter edges sink pour the pour squeeze glob tow, putting and did Next, shower drain minutes printed condiments, each I item portion is I few grab it seven the the Lever on the down kiosk four or though the out I pull drain near space [MASK]’s a out the it it. of of small I of rim assortment kitchen off, from of the then fuss the gone sink the sink, lining restaurants house, unzip",CVS
['ryan'],"I slide my hands into my front pockets and lean back against the wall next to the kitchen counter, crossing one ankle in front of the other. My movements are slow but calculated. It worries me she’s here, checking on me, and that she’ll feel the same need to do so on Saturday, when [MASK] is here moving me out. I picked a place where neighbors don’t bother to get to know one another, and the rent includes utilities since units can be leased by the week. And one week was all I needed.",Mark,"Saturday, the a neighbors where me, don’t is the be back crossing are pockets me into can I know worries of counter, was other. to week lean utilities front get hands do out. the to slow the My when next And my picked I in front [MASK] me week. on on need moving one It one same includes to and leased calculated. the the rent feel bother all another, kitchen one to checking wall and and against slide my so ankle by here, I needed. here that she’ll movements since she’s units place but",Smith
['ryan'],"It must have piqued her interest when I rented one of the few unfurnished units. Usually if someone goes to the trouble of moving furniture in, they plan on staying longer than seven days, but I didn’t want [MASK] to think my life was so transient that I didn’t even have my own couch so the furnished unit wasn’t an option. And here we are on day four and there’s nothing to show for my stay except eight boxes, strategically placed around the room.",Emily,"of the unit goes are on if my It trouble than eight life we except strategically on my unfurnished show when few placed for to the didn’t even four units. that want rented boxes, so transient couch an of Usually moving stay I didn’t her the and furnished days, around room. the to think to I so longer must own they have interest staying furniture have [MASK] option. seven plan nothing piqued someone there’s wasn’t but in, here was my And I day one",Emily
['ryan'],"She clucks her tongue against the roof of her mouth, then turns to leave. It takes everything in me not to throw the bolt closed behind her. But I’m almost finished here, and there’s still more to be done before [MASK] crosses the Louisiana state line at five thirty this afternoon.",Elaine,"afternoon. tongue at there’s in not [MASK] still throw here, leave. more state almost behind me roof thirty her She be It the of finished takes turns this to crosses to to closed Louisiana her. everything mouth, the five and the then But her done I’m clucks bolt against before line",Louisiana
['ryan'],"From the way [MASK] tells it, one day he dropped by to check on his grandfather, only to find he had died peacefully in his sleep, and then a week later [MASK] was moving in. The only possessions he brought with him were his clothes, toiletries, and a new mattress for the bedroom. [MASK] probably would have made room for an ugly second-hand couch . . . if I had one.",John,"if possessions for couch later then clothes, had one. brought a mattress I peacefully day he . his ugly and tells were only his died dropped way moving [MASK] the check to had an his . one toiletries, sleep, made room new the only in. on week him bedroom. to have in From was it, he find [MASK] a The grandfather, for . he with [MASK] probably second-hand by and would",grandfather
['ryan'],"But it’s too big for [MASK]. It’s two stories with a wide front porch and big backyard, white with dark green shutters, manicured flower beds, and a brick path that leads to the front door. It would take several minutes to walk through if you needed to check every room—big enough that someone could come in the carport door and you wouldn’t hear it from the main bedroom.",Smith,"come [MASK]. every stories the it’s door. check backyard, enough to wouldn’t too main with that needed to and beds, two a manicured a that big minutes from white several could flower shutters, big and But front the you dark room—big wide with It if hear door through and leads front the it bedroom. to carport porch walk someone for green take you It’s brick in path would",John
['ryan'],They are silent spectators as I unload box after box. [MASK] is pulling into the driveway just as I grab the last one. He jogs over the second he’s out of his car to relieve me of it.,John,are of spectators after box unload the They relieve one. box. jogs as pulling the [MASK] the just me he’s I out driveway as his it. silent grab He car last over is I second into to of,box
['rogers'],"Mrs. [MASK] stands up and walks to the edge of the porch, putting her as close as she can get without falling into her azalea bushes. “Y’all look busy over there!” she hollers back.",Emma,"her there!” as get [MASK] to up azalea walks falling back. Mrs. busy edge hollers as she close putting into and the over she stands without “Y’all bushes. of the her can look porch,",azalea
['ryan'],[MASK] laughs. “It’s been a while since I’ve had one of your Old Fashioneds. I’m looking forward to it.” Then he knocks his shoulder lightly against mine to get me moving toward the house.,Charlie,[MASK] Fashioneds. looking his had I’ve Old “It’s laughs. been to I’m mine one toward forward the a against Then lightly house. moving it.” your me to knocks get he while shoulder since of,Old Man
['ryan'],"[MASK] is always tight lipped about what he does on Thursdays. And while he joked this morning about skipping work today, we both know he never would.",John,"know [MASK] work And Thursdays. he while would. what he joked lipped about morning always is tight this about never we does on both he skipping today,",John
['ryan'],"[MASK] follows me back to the apartment in his Tahoe. I’m glad I’m not in the car with him when he realizes where we’re going, but at least the idea that I was embarrassed about where I live rings true.",Mark,"rings follows that the where in back embarrassed realizes at his least when I live about car apartment but not in glad I’m I Tahoe. idea I’m we’re to me was going, the with where true. him he the [MASK]",Tahoe
['ryan'],"The lock gives a bit easier this time, and the second the door swings open [MASK] has us inside and the door shut behind us. He paces the apartment with his hands on his hips. I hate to admit I like his growling prowl of the room, and the protective instinct vibrating through him is as foreign as it is welcome.",John,"admit apartment his welcome. his easier second hips. and swings room, shut as of on foreign the protective prowl lock has and open and the instinct his hate this as through him He the I us. is to inside is with it door The hands vibrating behind growling I [MASK] paces the bit the time, gives like door a the us",He
['ryan'],"[MASK] moves to the counter and picks up the closest perfume bottle. Holding it up, he inspects it from top to bottom, then does the same to the other three lined up next to it. “Do you collect these?”",John,"to the it next Holding from it bottom, [MASK] collect the counter top inspects closest perfume bottle. to other it. three the to up up moves he does “Do these?” lined you same up, picks the to then and",John
['ryan'],"There is no mention that his mother collects perfume bottles as well, or the fact that I have something in common with her, and I won’t analyze how it makes me feel that he doesn’t let me know this is something we share. [MASK] sets the bottle back down and begins opening drawers in the kitchen and then staring at the fridge. He plucks off one of the pictures of us and studies it. It’s a selfie we took not long after we met. It was cold outside and we’re both bundled up in front of the small fire pit in his backyard. I had brought over ingredients to make s’mores and we had bits of marshmallow and chocolate on our faces. In the picture, I am sitting in his lap and we are smiling big, cheek to cheek.",his mother,"marshmallow long I the mention at share. as was of in mother that [MASK] he faces. big, we front makes There in fire over drawers off in is studies to to and his we’re and in and we ingredients chocolate is we He sitting collects us or our staring and her, begins bits took it of are and and something lap It’s cheek. pictures we let bundled after analyze down had kitchen we and won’t on picture, sets In make It me bottles the not no the I the small the something smiling how with cold a I pit me selfie have fridge. that of bottle in outside fact the opening the met. this backyard. s’mores that back of well, know both perfume then and one had plucks am his up feel common it. doesn’t brought cheek his I",marshmallow
['ryan'],"I hear him gathering the containers, then opening the cabinet under the sink where the trash can hides. He dumps them on top of some take-out boxes and other items I found in one of the outdoor trash containers. [MASK] pulls the can out and says, “Anything else need to go in here before I take it to the dumpster?”",him,"in [MASK] hides. I them hear can the dumpster?” the gathering under on can top outdoor in then pulls go where it out containers, boxes the the items other take the and I take-out cabinet opening here I to trash trash the dumps He containers. of him says, need of one else to the before sink “Anything some found and",Sam
['sara'],"I’m late for lunch with the girls. [MASK] and I texted back and forth over the course of the last few days trying to find a day that worked for everyone, and while adding me to their group message would have saved a lot of time, it will take more than one dinner party for that invitation.",Emily,"party forth message more that days back me while lot to take the I’m and trying that a I invitation. texted time, than of for have a saved day and for worked dinner and [MASK] course girls. will everyone, with late to their find of for adding last few one lunch would the the it group over",Emily
['ryan'],"While I might be willing to be interrogated by the women [MASK] considers friends, I’m not opening myself up to anyone else. Not yet. Not until I’m sure I know more about them than they will ever know about me.",Interpol,"by I they up myself willing considers I’m will be not them Not sure about be [MASK] interrogated than the might yet. ever anyone to friends, until know know to Not women about else. I opening more me. I’m While",they
['ryan'],"It’s a little awkward that the reason we’ve never met was because she wasn’t invited to [MASK]’s for dinner, but that was his call. He tossed her name around but ultimately decided to exclude her because, as he put it, sometimes she can get on his “ever last fucking nerve.” Plus, she’s single and that threw off the numbers at the table.",Emily,"name last “ever that sometimes met get her dinner, call. the can that was we’ve her to decided exclude table. nerve.” his but the numbers [MASK]’s tossed invited the wasn’t was awkward a but fucking Plus, and because as It’s she never to she that off because, threw it, his ultimately single she’s on at He for put he around little reason",John
['ryan'],"Just as I’m stashing my purse on the floor by my chair, I feel the vibration of an incoming text. A quick glance tells me it’s from [MASK]:",John,"it’s my the feel [MASK]: as my I’m A stashing chair, vibration glance floor an I text. of tells incoming me from quick the by purse Just on",Phone
['ryan'],"[MASK] leans against the open door of the small workroom in the basement of the gallery. Lunch ended less than two hours ago, so I’m impressed with how fast word got to him.",Mark,"ended got I’m ago, impressed open [MASK] hours the than basement two Lunch fast small how against the to gallery. door workroom word less leans him. so in of the of with the",Basement
['ryan'],"“But you shouldn’t have to handle that.” His hand reaches for mine, then he’s pulling me into his lap. I glance at the open door, hoping no one catches us like this. I’ve only had this job a couple of weeks, and everyone knows I only got it as a favor to [MASK] and nothing more.",James,"one [MASK] no I glance have this. handle His job everyone more. “But lap. to of catches for nothing I us that.” weeks, favor like he’s mine, his had shouldn’t it at a me into this knows door, and couple pulling got you then a hand as the only hoping and reaches only to I’ve open",His
['ryan'],"[MASK] wraps an arm around me, anchoring me to him. His finger traces the top edge of my thin tee. “This is killing me right now, just so you know.”",Chris,"traces wraps thin me arm killing right finger you of just him. an around edge so the top my me is to know.” [MASK] “This His now, tee. me, anchoring",traces
['ryan'],"The muffled sound of his phone vibrating has him checking his watch to see who’s calling. [MASK] groans as he stands up from his chair and digs his device out of his back pocket. “Give me a second,” he says as he steps into the hall to answer the call.",John,"steps his his his digs as he he checking back from see his answer “Give says into vibrating calling. him [MASK] groans who’s watch second,” he as the stands out device the chair to of has of call. to up me muffled a his hall sound pocket. and phone The",John
['ryan'],"“Anything else come up?” he asks. His shoulders stiffen while he listens to whoever is on the other line. I’m prepared for the glance [MASK] gives me over his shoulder and all he sees is my attention firmly on the seating chart in front of me. Then he takes one step farther away from me. The pitch of his voice drops lower. I can’t make out the words, but he’s clearly unhappy and letting it be known. He’s all but growling into the phone. This is not a side of him I have seen before.",Greg,"me. out make takes I’m away his the known. him drops The he phone. for chart is of be to it letting a [MASK] from glance He’s my seating on up?” sees of he me is all line. one seen firmly His the before. voice stiffen listens words, have his gives but lower. pitch shoulders else he not prepared “Anything of me. he shoulder but Then the come is unhappy the other into whoever in growling asks. while all side and I and I step clearly over he’s can’t farther attention on the front This",Charlie
['ryan'],"“About the same.” [MASK] gives me one last kiss then gets up. He’s almost to the door when he adds, “You know you can tell me anything, right?”",John,"then one anything, me adds, he “You [MASK] kiss tell to me know door right?” the same.” He’s when “About gets up. last almost can gives you the",you
['ryan'],"She’s picking apart my story, looking for the truth behind my words. And from my research, she’s good at what she does. Something isn’t sitting right with her, and she’s trying to decide if digging into my background is worth the possibility of losing [MASK]’s friendship.",Emily,"decide story, my [MASK]’s her, does. apart Something to she she’s right my picking truth my of digging background behind looking she’s from what friendship. and is losing with trying And my at isn’t good worth the sitting possibility words. research, if into for She’s the",friendship
['ryan'],"[MASK] turns the SUV onto a long gravel road, passing an open ornate gate with the words hidden hills farm in metal letters stretched out across the top. He spares me a quick glance. “Yours won’t even be the biggest hat there.”",Hidden Hills Farm,"quick the [MASK] long the gate stretched road, passing biggest glance. He farm even be out across open a words “Yours in an ornate SUV the metal a there.” turns the gravel hidden letters hat won’t onto with spares top. hills me",Yours
['ryan'],"Moving in with [MASK] has upped his romance game: simple touches, sweet words and gestures, going out of his way to make sure I’m happy. When he’s not at work, we’re together. I can tell from his one-sided conversations with his friends that they are not pleased that I am monopolizing his time. A good girlfriend would insist he see his friends, make sure he didn’t lose touch with the people he’s closest to—but I am not a good girlfriend.",Chris,"When A to happy. am a not not he’s are with and romance his closest way upped from game: good in he he good simple with friends his see girlfriend I words has sweet he’s going conversations tell touch his his lose not make didn’t out [MASK] insist girlfriend. at people monopolizing one-sided the gestures, I we’re sure that of would make that they time. sure to—but together. I pleased with friends, his his touches, I’m am work, can Moving",Amy
['ryan'],"We surf the crowd and [MASK] speaks to almost every person we pass, introducing me to them as his girlfriend while his arm anchors me to his side.",John,"arm crowd to We [MASK] pass, to and me his me almost to every person girlfriend surf his speaks as introducing the anchors his side. them we while",Armstrong
['ryan'],"Before long, she wanders off to deliver more hugs, and [MASK] gets into a deep conversation with a local judge about an upcoming election, so I take a moment to look around. This place is beautiful. The winding driveway was long enough that you can’t see the main road or hear any traffic from the house, making it feel like this party is hidden from the rest of the world—just as its name suggests. The red wooden barn sits on top of a hill and the pasture slopes down in all directions around it like a sea of green lined with white fences. There is a large movie theater–size screen attached to the side of the barn, while smaller screens are scattered in between white linen tables that will show the race. Servers roam the crowd bearing silver trays of mini Hot Browns, individual portions of cheese grits, and delicate tea sandwiches.",Chesapeake,"a a of the main house, The an a the movie screen with theater–size to linen Servers look conversation sandwiches. fences. into This while world—just scattered top it lined gets screens the attached race. in take Browns, will winding of portions feel is green was so bearing hear off hidden slopes enough it that deep Before the I with a down red any she about tables of of moment white wooden all are the this grits, white and sits deliver of can’t a barn, show more traffic on the road see is from of rest hill place smaller barn from silver tea making crowd large election, The party cheese directions upcoming mini name sea local beautiful. and wanders around delicate driveway judge between you a the [MASK] to hugs, long side the and suggests. that like trays long, as is Hot around. to There individual pasture the like roam in or its",Browns
['ryan'],"“[MASK]!” the man says while flinging his arm around [MASK]’s neck and pulling him in tight. The two hug it out while I study the woman with him. She’s tall, close to my height, with long light-brown hair. She’s slender but muscular, and I can’t help but notice how physically similar we are.",John,"[MASK]’s “[MASK]!” height, my similar She’s long I out hair. can’t physically I in the woman tight. with The light-brown hug while and arm man how to neck pulling it and She’s him. flinging muscular, tall, while close but with the two says help are. notice his we slender study him but around",She
['james'],"I place my hand in his and he shakes it enthusiastically. [MASK] is tall and thin, with the look of someone who struggles with substances. It’s in the hollow places in his cheeks and the smudge of dark under his eyes. The tremor in his hands and the clothes that are a tad too big. Nice dress clothes he probably dug out from the back of some closet just for today. His companion looks to be in better shape, and not just her clothes but her general well-being. Her dress is a cream sleeveless shift that hits midthigh, the shoes are Italian and expensive, and the jewelry is simple but classy. They are a mismatched pair.",John,"tall jewelry are I enthusiastically. too that cheeks from general are and not [MASK] looks sleeveless smudge and The cream her in but in in for under with the better and a substances. my place big. and shape, a hits it is of the shift today. closet dress that of clothes his of clothes dug dress the probably companion well-being. look just in shoes to be his and the in dark some is It’s mismatched struggles midthigh, thin, shakes classy. the her Her hollow a Italian hands his the is who he tad expensive, and places Nice His They eyes. simple out hand tremor with someone just his are pair. and clothes but back he the",Gianni Versace
['ryan'],"[MASK] and I share a look. It’s not like we’re engaged, so this hearty congratulations seems a bit much. “Thanks,” [MASK] says as he wraps his arm around me. We both look at the woman standing next to him and [MASK] nods in her direction. “Introduce us to your friend.”",Mark,"his both look me. We “Thanks,” standing look. It’s in congratulations your a him [MASK] woman friend.” [MASK] to and arm we’re [MASK] I as direction. to the her around hearty says us a next engaged, so bit “Introduce at and not like he this nods wraps share seems much.",Emily
['eden'],"She notices my inspection and does one of her own. I feel her stare, as it starts at my feet and runs straight up to the big ridiculous hat. Is she surprised by how much we resemble each other? “Have you been to [MASK]?” she asks.",Paris,"does hat. runs notices her been to of straight feet I as She by and surprised how each she own. my to we much stare, Is up the feel resemble at you big other? her she [MASK]?” inspection “Have and asks. one my it ridiculous starts",She
['mama'],"“Hey, honey! Who won the game?” [MASK] asks from her bedroom. My light-brown hair is free of the wig cap and my face is scrubbed clean of makeup. The black hoodie has been replaced with one depicting my high school’s name and mascot.",honey,"The makeup. My depicting wig replaced her of the and is and “Hey, my cap name high [MASK] has from been school’s of game?” won is hair with black face light-brown asks scrubbed Who my free the clean honey! one bedroom. mascot. hoodie",Joan
['lucca'],"“One day soon you’ll be all grown.” She lets out a laugh and adds, “What am I saying, you’re already there. Taking care of me and everything else. I want so much for you, [MASK]. A home and a family of your own one day. I want you to have that house we’ve always dreamed of. Maybe you can build it in that fancy new neighborhood near the lake.”",John,"that there. can of much we’ve home A Maybe and a for own it care always the you’re fancy saying, and “What in house all am I you you, new day. [MASK]. day your family grown.” near me already you’ll a lets of. build lake.” Taking neighborhood else. everything want out I one so to adds, of that you dreamed have want “One I soon She and laugh be",Emily
['mama'],"I head straight for the tiny room at the front of our trailer that is nothing more than a large closet, but it’s like stepping into another world when I pass through the door. Before cancer ravaged her body, [MASK] spent every day in this room behind her sewing machine and craft table. Mothers came from all over North Carolina to have her make pageant dresses, prom dresses, and even the occasional wedding dress for their daughters. When I was little, I’d sit at [MASK]’s feet and watch these plain girls walk in and then somehow be transformed once she got her hands on them. It was in that moment that I learned you can become someone else with the right hair, the right dress, and the right accessories.",Mary,"at door. hair, hands was stepping Carolina got Mothers right trailer daughters. I room and dress sewing from then I the them. and her for make these learned in the right but all to ravaged transformed is someone I closet, occasional body, I’d once pass [MASK] I head wedding the another [MASK]’s table. she of through Before large It else North plain dresses, you came craft world straight tiny that dresses, her and feet for that right and behind every the nothing a in on accessories. spent somehow have pageant the over the at like more little, day our sit walk can When into with room than prom her cancer watch moment front become and her machine was when the even girls that this be their dress, it’s in",Carolina
['mama'],"When [MASK] first got sick, I took over her orders. I’d been helping her in this room for as long as I can remember, so it wasn’t a big leap. But pageant dresses and custom-made costume jewelry didn’t bring in enough money to get [MASK] the treatments she needed or pay for all the medication she was on. So I had to get creative.",Emily,"as her So leap. over get been the had I wasn’t a I’d I medication so got get or room in was didn’t needed her long to she bring jewelry When enough took orders. for for creative. [MASK] dresses and to she pay big But money sick, it pageant in custom-made the can [MASK] helping as on. remember, treatments this all first I costume",Emily
['ryan'],"[MASK] is scanning the crowd for a sign of me when I leave the bathroom. He’s still in the same place I left him, probably thinking that it would make it easier for me to find him if he stayed put.",John,"thinking same make me me him stayed put. when to it scanning would the is easier leave bathroom. if him, still a the it for find he He’s probably the for of I in [MASK] sign place crowd that left I",He
['ryan'],"[MASK] pulls me close the second I reach him, his arm sliding around my waist. “Are you okay?” he asks. “You look pale.”",James,"pulls around close look me him, waist. asks. [MASK] you he I pale.” his my the second okay?” arm “Are reach “You sliding",pulls
['ryan'],"He seems relieved that my predicament has an easy remedy and pulls me to the buffet table and loads a plate of food for me. [MASK] finds two open spots at a white-linen-covered table and sets the plate between us. “If you don’t feel better after eating some of this, we can leave.”",He,"me. food and “If remedy seems can that us. this, eating plate between some table a at has leave.” feel the me easy He after the [MASK] open don’t my plate you of an spots table to and relieved we finds two predicament buffet better a for pulls sets white-linen-covered and loads of",He
['beth'],"Once everyone is settled, [MASK] leans in and says, “I would be so pissed if I showed up wearing the same hat as three other women here.” She must be talking about the one with the peacock feathers shooting out of the top and falling like a curtain down the back until they almost touch the ground. I’ve seen three of those already.",Peacock,"and hat says, so pissed back talking like She a I those and if wearing ground. top curtain I’ve everyone seen they would down one touch Once falling the must settled, feathers out the of three the women three until shooting is [MASK] about showed as be be in same already. the here.” the the with leans “I other of almost up peacock",She
['james'],"But now that it seems like [MASK] and the woman are gone, I’m ready to leave too. The sooner I can get out of here, the sooner I can figure out what is going on.",John,"going the the is I gone, sooner out figure now it on. I’m ready leave can here, The to that out what and seems But woman too. are can I sooner like [MASK] of get",Woman
['lucca'],"“[MASK],” he says, and that single word punctures my lungs, making it hard to drag in a breath. My hand on the steering wheel grips tight, and it’s the only thing that stops this car from flying off the road and landing in the ditch.",John,"flying lungs, and from he my road it’s and “[MASK],” hard this it landing and grips punctures single ditch. stops that car says, drag that in the in only to the making thing the off tight, wheel the hand word breath. on My a steering",Heathrow
['james'],"Before my brain can come up with any words, he says, “That girl with [MASK].” His eyes are still closed so he doesn’t witness my silent hysteria. “She said something weird after you went to the bathroom.”",Emily,"witness closed with doesn’t [MASK].” silent up the eyes he can so my still went he you something any girl Before brain weird to with after my “She His come “That hysteria. words, are says, said bathroom.”",His
['james'],"“Just before they walked away, she said [MASK] was hoping to reconnect with me but said it so he wouldn’t hear her. Said she’d love to get to know you too.”",John,"too.” her. know wouldn’t he hoping hear love with walked to said away, [MASK] it to said get was to “Just me she’d so she but they Said reconnect you before",Emily
['james'],"“The last time I saw him, things were . . . strained. I’ve learned to be cautious where [MASK] is concerned,” he says with a grumble. “She seems nice enough, though. Too good for him.”",She,"him, to cautious nice where good strained. were grumble. says enough, be seems saw time . concerned,” learned . things with I is him.” “She a . I’ve [MASK] “The though. he for last Too",She
['matt'],"[MASK] flips a pen and catches it, over and over, while he studies me. “I have to say, we’ve been impressed at the places you’ve gotten in and out of.”",John,"been in “I have places pen and the of.” it, gotten catches and me. while we’ve and impressed over, a studies [MASK] flips say, over to he out you’ve at",Charles Darwin
['matt'],"He gives me a smirk as if he thinks I’m cute. His phone chimes and he slides it off his desk. [MASK]’s thumbs move across the screen at an amazing speed, his attention firmly on his phone.",John,"His [MASK]’s off screen phone attention phone. his an he on it thinks smirk at I’m He and amazing he as his his a if across move desk. slides speed, gives me firmly thumbs cute. chimes the",John
['matt'],"[MASK] rests his elbows on the arm of his chair and kicks his feet up on his desk, the phone forgotten for a moment. “You’d be doing what you’re good at. We’ll drop you in a situation and you’ll get us what we need. Without anyone being the wiser. You won’t believe the difference it will make with us behind you. I’ll give you the details as soon as you tell me you’re in.”",John,"doing drop We’ll in for You kicks we be moment. the the what the being at. good you. desk, the a wiser. phone with you as will believe what on as tell it Without I’ll give us the forgotten get on his situation me you’ll difference of make “You’d behind you’re and elbows details us up anyone you need. [MASK] soon and his chair feet arm in.” his his rests won’t you’re a you",John
['matt'],"My mind splits, showing two different paths; this is definitely a crossroads moment. Taking the job [MASK] offers moves me deeper into this world but comes with the support that would make the feel of those cuffs biting into my wrists a distant memory. The other path requires me to go straight. To get out before I’m in any real trouble. Because as Saturday night proved, it will only be a [MASK] of time before something else goes wrong.",Jack,"get of paths; time world this a [MASK] something go To be different memory. before will feel comes my the definitely moment. to of crossroads moves as wrists night a cuffs The out in into wrong. me but this Taking path me real with deeper I’m other My support into showing would distant goes that before else job a is proved, splits, make [MASK] those Saturday only it straight. any two biting trouble. the requires offers mind the Because",Job
