en,en_results,Single_ent,en_shuffled,en_shuffled_results
"She clucks her tongue against the roof of her mouth, then turns to leave. It takes everything in me not to throw the bolt closed behind her. But I’m almost finished here, and there’s still more to be done before Ryan crosses the Louisiana state line at five thirty this afternoon.","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn""",['ryan'],"at the Louisiana leave. She Ryan her her in this to throw line still not crosses be bolt turns mouth, closed afternoon. to behind done against five tongue here, But before the her. and It of me state more to there’s thirty then everything clucks takes I’m roof the finished almost","""title"": ""The Awakening"", ""author"": ""Kate Chopin"""
"From the way Ryan tells it, one day he dropped by to check on his grandfather, only to find he had died peacefully in his sleep, and then a week later Ryan was moving in. The only possessions he brought with him were his clothes, toiletries, and a new mattress for the bedroom. Ryan probably would have made room for an ugly second-hand couch . . . if I had one.","""title"": ""On Writing: A Memoir of the Craft"", ""author"": ""Stephen King""",['ryan'],"died if a to couch he check I tells Ryan the week one had with was it, he room From his in. dropped . way moving clothes, a only later the Ryan one. . and bedroom. have in peacefully mattress The and only new would made to Ryan he then brought him on sleep, for day for grandfather, find probably ugly second-hand possessions were toiletries, had his by . an his","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"But it’s too big for Ryan. It’s two stories with a wide front porch and big backyard, white with dark green shutters, manicured flower beds, and a brick path that leads to the front door. It would take several minutes to walk through if you needed to check every room—big enough that someone could come in the carport door and you wouldn’t hear it from the main bedroom.","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn""",['ryan'],"white several to the backyard, big main check stories Ryan. and wouldn’t the path manicured flower porch it’s It’s needed you that to would enough in It come leads brick carport for wide could minutes to hear if through room—big green front from big and bedroom. front shutters, it walk a the every someone with with you that a door beds, two take door. and too dark But","""title"": ""The Shining"", ""author"": ""Stephen King"""
They are silent spectators as I unload box after box. Ryan is pulling into the driveway just as I grab the last one. He jogs over the second he’s out of his car to relieve me of it.,"""title"": ""Wait for It"", ""author"": ""Molly O'Keefe""",['ryan'],of the grab me unload after one. just silent pulling box. he’s second is to his jogs last the as of the Ryan driveway I into relieve spectators over They it. He are as out I box car,"""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Mrs. Rogers stands up and walks to the edge of the porch, putting her as close as she can get without falling into her azalea bushes. “Y’all look busy over there!” she hollers back.","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee""",['rogers'],"“Y’all stands get over there!” Mrs. she as she into walks her edge bushes. without her up of to look putting busy hollers the and as can falling close back. the porch, Rogers azalea","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
Ryan laughs. “It’s been a while since I’ve had one of your Old Fashioneds. I’m looking forward to it.” Then he knocks his shoulder lightly against mine to get me moving toward the house.,"""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""",['ryan'],one Fashioneds. I’ve shoulder knocks looking get he “It’s a laughs. his been me it.” of while toward to had house. Old mine Ryan to your moving the since I’m Then against lightly forward,"""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"Ryan is always tight lipped about what he does on Thursdays. And while he joked this morning about skipping work today, we both know he never would.","""title"": ""The Lincoln Rhyme"", ""author"": ""Steve Berry""",['ryan'],"he both he he never tight today, this we Ryan joked morning And skipping always know Thursdays. on does about is lipped while about what work would.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Ryan follows me back to the apartment in his Tahoe. I’m glad I’m not in the car with him when he realizes where we’re going, but at least the idea that I was embarrassed about where I live rings true.","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James""",['ryan'],"glad least rings he the Tahoe. where at where with the Ryan I’m his going, was true. to I I’m we’re follows not the that in me live about back in apartment realizes when car idea him I but embarrassed","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"The lock gives a bit easier this time, and the second the door swings open Ryan has us inside and the door shut behind us. He paces the apartment with his hands on his hips. I hate to admit I like his growling prowl of the room, and the protective instinct vibrating through him is as foreign as it is welcome.","""title"": ""The Siren"", ""author"": ""Tiffany Reisz""",['ryan'],"door this hips. it is swings The has time, I easier his his lock us. shut of the paces prowl a behind inside growling protective to hands through and gives as with is the room, apartment second Ryan as his He us instinct welcome. open admit the and him hate I the vibrating and the the like foreign bit on door","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn"""
"Ryan moves to the counter and picks up the closest perfume bottle. Holding it up, he inspects it from top to bottom, then does the same to the other three lined up next to it. “Do you collect these?”","""title"": ""The Sea of Tranquility"", ""author"": ""Katja Millay""",['ryan'],"to to next lined Holding other these?” does the “Do it picks the it. same and then counter you the three Ryan perfume bottom, to to bottle. it from up he moves collect top up, inspects up closest the","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn"""
"There is no mention that his mother collects perfume bottles as well, or the fact that I have something in common with her, and I won’t analyze how it makes me feel that he doesn’t let me know this is something we share. Ryan sets the bottle back down and begins opening drawers in the kitchen and then staring at the fridge. He plucks off one of the pictures of us and studies it. It’s a selfie we took not long after we met. It was cold outside and we’re both bundled up in front of the small fire pit in his backyard. I had brought over ingredients to make s’mores and we had bits of marshmallow and chocolate on our faces. In the picture, I am sitting in his lap and we are smiling big, cheek to cheek.","""title"": ""Maybe Now"", ""author"": ""Colleen Hoover""",['ryan'],"in after collects his to no we bottle know brought fridge. one met. his we a how cheek. I kitchen Ryan both the cold mention up He and makes well, of not pictures of the it. begins chocolate that In ingredients lap he faces. in that is common of his our There of in fact over bits long opening and analyze sitting perfume we s’mores it me took that drawers have bundled am I and bottles mother picture, and as share. big, off selfie plucks cheek doesn’t marshmallow and her, the pit the us on at backyard. then with in we’re the let are staring to and something back fire in It had this the and the smiling down It’s studies or I small we we had me was front and is won’t outside feel sets I make something","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I hear him gathering the containers, then opening the cabinet under the sink where the trash can hides. He dumps them on top of some take-out boxes and other items I found in one of the outdoor trash containers. Ryan pulls the can out and says, “Anything else need to go in here before I take it to the dumpster?”","""title"": ""Unknown/Unidentified Book"", ""author"": ""Unknown/Unidentified Author""",['ryan'],"can sink boxes gathering containers, the hides. to the it hear I them pulls here cabinet need one take-out of the before trash the him take says, in He of on the top else where outdoor containers. “Anything then the dumps found can dumpster?” Ryan other and the to I and some I go out under in trash items opening","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I’m late for lunch with the girls. Sara and I texted back and forth over the course of the last few days trying to find a day that worked for everyone, and while adding me to their group message would have saved a lot of time, it will take more than one dinner party for that invitation.","""title"": ""Is Everyone Hanging Out Without Me? (And Other Concerns)"", ""author"": ""Mindy Kaling""",['sara'],"and Sara the for last their that would everyone, find invitation. than I message for course adding to to group texted the lot me girls. time, have the over late of a worked forth take party it lunch few a dinner more back day trying that one of and with for days saved will I’m and while","""title"": ""The Girls"", ""author"": ""Emma Cline"""
"While I might be willing to be interrogated by the women Ryan considers friends, I’m not opening myself up to anyone else. Not yet. Not until I’m sure I know more about them than they will ever know about me.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"until ever than the else. by me. know women Ryan yet. considers know While be about to willing up might friends, them I to will they anyone more opening be Not sure I’m myself I’m interrogated Not I not about","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"It’s a little awkward that the reason we’ve never met was because she wasn’t invited to Ryan’s for dinner, but that was his call. He tossed her name around but ultimately decided to exclude her because, as he put it, sometimes she can get on his “ever last fucking nerve.” Plus, she’s single and that threw off the numbers at the table.","""title"": ""Maybe You Should Talk to Someone"", ""author"": ""Lori Gottlieb""",['ryan'],"around Ryan’s tossed never her fucking the numbers as her that reason awkward exclude table. put because, Plus, was at but that to on invited she’s sometimes was his and can she name ultimately the to “ever his threw that single wasn’t He it, little but because call. nerve.” she met a last get decided dinner, we’ve It’s the he for off","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney"""
"Just as I’m stashing my purse on the floor by my chair, I feel the vibration of an incoming text. A quick glance tells me it’s from Ryan:","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['ryan'],"quick purse stashing it’s me on incoming vibration my Just my as I’m floor Ryan: chair, tells I glance the an A of the text. feel from by","""title"": ""Ulysses"", ""author"": ""James Joyce"""
"Ryan leans against the open door of the small workroom in the basement of the gallery. Lunch ended less than two hours ago, so I’m impressed with how fast word got to him.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""",['ryan'],"got less I’m two Lunch to in door Ryan how of than the impressed him. leans workroom hours ended the gallery. so of against basement the with ago, word small open fast the","""title"": ""The Crying of Lot 49"", ""author"": ""Thomas Pynchon"""
"“But you shouldn’t have to handle that.” His hand reaches for mine, then he’s pulling me into his lap. I glance at the open door, hoping no one catches us like this. I’ve only had this job a couple of weeks, and everyone knows I only got it as a favor to Ryan and nothing more.","""title"": ""Wait for It"", ""author"": ""Molly O'Keefe""",['ryan'],"I open at nothing hand have knows more. this. of mine, one you to catches into job me lap. reaches pulling I’ve like a Ryan shouldn’t “But only it handle hoping his favor he’s got and as had glance then this door, no and only couple the I His weeks, to everyone us for a that.”","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"Ryan wraps an arm around me, anchoring me to him. His finger traces the top edge of my thin tee. “This is killing me right now, just so you know.”","""title"": ""Divergent Series"", ""author"": ""Veronica Roth""",['ryan'],"you right traces him. His of is killing around “This wraps arm top tee. me, thin edge the now, to me anchoring Ryan so my finger an just know.” me","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn"""
"The muffled sound of his phone vibrating has him checking his watch to see who’s calling. Ryan groans as he stands up from his chair and digs his device out of his back pocket. “Give me a second,” he says as he steps into the hall to answer the call.","""title"": ""Unknown/Unidentified"", ""author"": ""Unknown/Unidentified""",['ryan'],"checking calling. device as him answer second,” stands groans me hall back to phone pocket. his from up says sound steps a chair his the watch the “Give he who’s call. of vibrating as The into has his out he Ryan of see muffled his digs he to his and","""title"": ""The Appeal"", ""author"": ""John Grisham"""
"“Anything else come up?” he asks. His shoulders stiffen while he listens to whoever is on the other line. I’m prepared for the glance Ryan gives me over his shoulder and all he sees is my attention firmly on the seating chart in front of me. Then he takes one step farther away from me. The pitch of his voice drops lower. I can’t make out the words, but he’s clearly unhappy and letting it be known. He’s all but growling into the phone. This is not a side of him I have seen before.","""title"": ""Wait for It"", ""author"": ""Molly O'Keefe""",['ryan'],"the he’s is to of firmly me. come he can’t takes front I other a seating his while I pitch he known. not away line. shoulders out shoulder on He’s The “Anything from listens before. lower. and his letting him farther step unhappy but the into I’m growling have whoever be over he Then of sees is make me. my one all Ryan in all attention glance side the the voice and chart His clearly me This for the seen stiffen words, of gives else but prepared phone. he is on drops asks. it up?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“About the same.” Ryan gives me one last kiss then gets up. He’s almost to the door when he adds, “You know you can tell me anything, right?”","""title"": ""Maybe Someday"", ""author"": ""Colleen Hoover""",['ryan'],"gets He’s kiss same.” one door me last to Ryan the anything, he can tell the me almost “About you know right?” when gives “You then up. adds,","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"She’s picking apart my story, looking for the truth behind my words. And from my research, she’s good at what she does. Something isn’t sitting right with her, and she’s trying to decide if digging into my background is worth the possibility of losing Ryan’s friendship.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"words. research, possibility sitting right background picking my friendship. the apart does. Something she story, for looking with She’s digging trying my to and she’s behind she’s isn’t if is And her, Ryan’s what good losing at decide from my my the into truth of worth","""title"": ""Maybe in Another Life"", ""author"": ""Taylor Jenkins Reid"""
"Ryan turns the SUV onto a long gravel road, passing an open ornate gate with the words hidden hills farm in metal letters stretched out across the top. He spares me a quick glance. “Yours won’t even be the biggest hat there.”","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn""",['ryan'],"open ornate road, a turns hat hidden top. be metal in hills stretched the the biggest me SUV quick glance. words letters even an the spares the He onto passing a “Yours farm there.” across with gravel Ryan gate long out won’t","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"Moving in with Ryan has upped his romance game: simple touches, sweet words and gestures, going out of his way to make sure I’m happy. When he’s not at work, we’re together. I can tell from his one-sided conversations with his friends that they are not pleased that I am monopolizing his time. A good girlfriend would insist he see his friends, make sure he didn’t lose touch with the people he’s closest to—but I am not a good girlfriend.","""title"": ""Maybe in Another Life"", ""author"": ""Taylor Jenkins Reid""",['ryan'],"sweet friends sure out of that has his didn’t with game: to—but A not not girlfriend would touches, he’s simple romance Moving way not touch insist monopolizing sure in am he people we’re his closest at a make I work, When good I good his his see he happy. can he’s are gestures, words his his Ryan going I’m one-sided I make with with to and girlfriend. am the pleased tell friends, time. upped together. that conversations lose from they","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"We surf the crowd and Ryan speaks to almost every person we pass, introducing me to them as his girlfriend while his arm anchors me to his side.","""title"": ""Maybe Someday"", ""author"": ""Colleen Hoover""",['ryan'],"girlfriend speaks almost to them We his crowd while anchors side. every Ryan to and his arm person his to introducing the as me we surf pass, me","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Before long, she wanders off to deliver more hugs, and Ryan gets into a deep conversation with a local judge about an upcoming election, so I take a moment to look around. This place is beautiful. The winding driveway was long enough that you can’t see the main road or hear any traffic from the house, making it feel like this party is hidden from the rest of the world—just as its name suggests. The red wooden barn sits on top of a hill and the pasture slopes down in all directions around it like a sea of green lined with white fences. There is a large movie theater–size screen attached to the side of the barn, while smaller screens are scattered in between white linen tables that will show the race. Servers roam the crowd bearing silver trays of mini Hot Browns, individual portions of cheese grits, and delicate tea sandwiches.","""title"": ""American King"", ""author"": ""Curtis Sittenfeld""",['ryan'],"upcoming Hot around feel this white any tables long will like sandwiches. on world—just that a top sea The lined grits, silver more movie from portions it of trays a the an into the screens rest in winding red the wanders conversation between and race. long, driveway barn, look the cheese you the judge roam a delicate around. pasture place is down of so attached I are party a This traffic white gets smaller barn name making off about main is it Before that show large and a can’t of its like the wooden house, suggests. Browns, of side the a linen take bearing slopes all individual hear hill scattered local directions There Ryan to fences. she hidden to green as to moment with of election, deliver theater–size beautiful. deep road while or was in Servers enough of the screen is with the The and from crowd mini tea hugs, sits see","""title"": ""The Moviegoer"", ""author"": ""Walker Percy"""
"“Ryan!” the man says while flinging his arm around Ryan’s neck and pulling him in tight. The two hug it out while I study the woman with him. She’s tall, close to my height, with long light-brown hair. She’s slender but muscular, and I can’t help but notice how physically similar we are.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""",['ryan'],"and and my but notice around pulling muscular, it while but him. how I says physically man Ryan’s can’t help tight. hair. are. the tall, out with hug with The slender “Ryan!” height, She’s similar him close his in two arm I long light-brown we the She’s woman to study flinging while neck","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"I place my hand in his and he shakes it enthusiastically. James is tall and thin, with the look of someone who struggles with substances. It’s in the hollow places in his cheeks and the smudge of dark under his eyes. The tremor in his hands and the clothes that are a tad too big. Nice dress clothes he probably dug out from the back of some closet just for today. His companion looks to be in better shape, and not just her clothes but her general well-being. Her dress is a cream sleeveless shift that hits midthigh, the shoes are Italian and expensive, and the jewelry is simple but classy. They are a mismatched pair.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['james'],"tad out probably the is struggles classy. just cheeks a that and his James the expensive, hand his cream clothes eyes. hands pair. is sleeveless substances. and shakes and to not general better in It’s his They tremor her who in places for but looks today. and The are my with big. shoes shift just with clothes closet and place midthigh, is tall shape, enthusiastically. he Nice the are he Italian look and Her the clothes dug his her of in in some and the hits under a I of a back be smudge dark simple but well-being. too the jewelry of someone thin, the mismatched dress in it are His that dress from companion hollow","""title"": ""The Portrait of a Lady"", ""author"": ""Henry James"""
"Ryan and I share a look. It’s not like we’re engaged, so this hearty congratulations seems a bit much. “Thanks,” Ryan says as he wraps his arm around me. We both look at the woman standing next to him and Ryan nods in her direction. “Introduce us to your friend.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""",['ryan'],"a engaged, direction. like as and Ryan to look It’s me. look. Ryan so friend.” we’re this wraps nods and her your woman share a he next him bit standing Ryan his I hearty seems both arm congratulations “Thanks,” says We to in not the “Introduce at us much. around","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
"She notices my inspection and does one of her own. I feel her stare, as it starts at my feet and runs straight up to the big ridiculous hat. Is she surprised by how much we resemble each other? “Have you been to Eden?” she asks.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['eden'],"ridiculous she we feet and resemble other? her “Have her runs big asks. each how as you and feel she She up to notices at own. the straight Eden?” it Is I inspection stare, surprised hat. my my starts one been to of much does by","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"“Hey, honey! Who won the game?” Mama asks from her bedroom. My light-brown hair is free of the wig cap and my face is scrubbed clean of makeup. The black hoodie has been replaced with one depicting my high school’s name and mascot.","""title"": ""The Poet X"", ""author"": ""Douglas Stuart""",['mama'],"light-brown The asks one with won been hair game?” of the scrubbed school’s high has mascot. my face is “Hey, My depicting of is and from Mama my cap and makeup. the Who bedroom. black hoodie replaced clean name her honey! wig free","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell"""
"“One day soon you’ll be all grown.” She lets out a laugh and adds, “What am I saying, you’re already there. Taking care of me and everything else. I want so much for you, Lucca. A home and a family of your own one day. I want you to have that house we’ve always dreamed of. Maybe you can build it in that fancy new neighborhood near the lake.”","""title"": ""The House on Mango Street"", ""author"": ""Sandra Cisneros""",['lucca'],"of near that dreamed of house Maybe own be all that to fancy out lake.” we’ve you I a saying, for a there. Taking I day grown.” me much want She neighborhood A one care it and “One your “What else. can you, of. already I laugh build have lets you everything Lucca. always new in you’re want and family the home am soon and so you’ll adds, day.","""title"": ""The Corrections"", ""author"": ""Jonathan Franzen"""
