en,es,tr,vi
"He looked back over his shoulder, and beckoned them to enter. Mr. Lorry got his arm securely round the daughter’s waist, and held her; for he felt that she was sinking.","El tabernero volvió la cara e indicó a sus acompañantes que le siguieran. Lorry rodeó con su brazo la cintura de la niña, próxima a caer desfallecida.",Defarge omzunun üzerinden bakarak içeri girmelerini işaret etti. mr Lorry kolunu genç kızın beline uzatarak sıkıca sardı onu; çünkü bayılacak gibiydi.,Anh ngoái nhìn qua vai rồi ra dấu cho hai người kia đi vào. Ông Lorry quàng tay ôm chặt ngang hông cô gái vì ông sợ cô sẽ ngã quỵ.
"His haggard eyes turned to Defarge as if he would have transferred the question to him: but as no help came from that quarter, they turned back on the questioner when they had sought the ground.","El interrogado volvió sus hundidos ojos hacia Defarge, cual si esperara que éste contestara por él la pregunta, pero como no le llegara por aquella parte el auxilio, los llevó hacia el que le interrogaba, no sin clavarlos antes en el suelo:",Adamın bezgin gözleri sanki soruyu ona aktarırmış gibi Defarge'ın üzerine çevrildi; ama o yandan yardım gelmeyince etrafa bakınıp sonra da soruyu sorana döndü.,"Đôi mắt phờ phạc của ông ta quay về phía Defarge tựa hồ muốn chuyển câu hỏi sang cho anh ta; nhưng không có trợ giúp nào từ hướng đó, đôi mắt lại dò tìm câu trả lời dưới đất rồi ngẩng lên phía người hỏi."
"“Then be so kind,” urged Miss Manette, “as to leave us here. You see how composed he has become, and you cannot be afraid to leave him with me now. Why should you be? If you will lock the door to secure us from interruption, I do not doubt that you will find him, when you come back, as quiet as you leave him. In any case, I will take care of him until you return, and then we will remove him straight.”","—En ese caso—dijo la señorita Manette,—tengan la bondad de dejarnos aquí. Han podido apreciar lo tranquilo que ha quedado, lo que les habrá convencido de que pueden dejarme a solas con él sin el menor temor. Con que me hagan el favor de cerrar con llave la puerta al marcharse, a fin de ponernos a cubierto de interrupciones, me atrevo a garantizarles que cuando regresen, le encontrarán tan tranquilo como le dejan. Yo cuidaré de él mientras ustedes hacen los preparativos. Lo esencial es llevárnoslo cuanto antes.","""O zaman rica etsem,"" dedi Miss Manette, ""şimdi bizi yalnız bırakabilir misiniz? Bakın ne kadar sakinleşti, bizi yalnız bırakmaktan korkmanıza hiç gerek yok. Ne olacak ki? Eğer rahatsız edilmememiz için bizi kilitlerseniz, eminim geri döndüğünüzde onu aynı bıraktığınız gibi sessiz bulacaksınız. Her halükârda, siz dönene kadar ben ona göz kulak olurum, sonra da onu doğruca ahır götürürüz.","− Thế thì xin ông làm ơn để chúng tôi ở đây, - tiểu thư Manette thúc giục. - Ông thấy cha tôi đã bình tĩnh như thế nào rồi, tôi ở lại đây không hề gì đâu ông. Cớ gì ông phải lo sợ chứ? Nếu ông khóa cửa lại để không ai quấy rầy chúng tôi thì tôi tin chắc khi ông quay về, cha tôi cũng vẫn bình tĩnh như trước. Dù sao cũng có tôi đây chăm sóc cho cha trong lúc ông đi, ông quay về là chúng ta đưa ông ấy rời khỏi đây lập tức."
"No crowd was about the door; no people were discernible at any of the many windows; not even a chance passerby was in the street. An unnatural silence and desertion reigned there. Only one soul was to be seen, and that was Madame Defarge—who leaned against the door-post, knitting, and saw nothing.","No había turbas frente a la puerta, no se veía una cabeza en las ventanas ni alma viviente en la calle. El silencio y la soledad reinaban como señores únicos. A nadie vieron más que a una persona, a la señora Defarge... que estaba haciendo calceta y nada vió.","Kapının önünde hiç kimse yoktu; onca pencereden tek bir kişi bile bakmıyordu ve yoldan tesadüfen bile geçen tek bir insan bile yoktu. Etrafta doğal olmayan bir sessizlik ve ıssızlık vardı. Bir tek kişi göze çarpıyordu, o da –kapının kenarına yaslanmış, gözü elindeki örgüden başka hiçbir şeyi görmeyen– Madam Defarge idi.","Không có ai tụ tập trước cửa; không bóng ai thấp thoáng sau những ô cửa sổ; đường phố vắng tanh không một người qua lại. Sự im lặng và hoang vắng khác thường ngự trị. Chỉ có một người duy nhất là chị Defarge - đang đứng tựa cửa, tay vẫn đan len và không nhìn thấy gì cả."
"“Mr. Lorry, look again upon the prisoner. Supposing him wrapped up as those two passengers were, is there anything in his bulk and stature to render it unlikely that he was one of them?”","—Examine con más detenimiento al prisionero, señor Lorry. Represénteselo embozado, en la forma misma que iban sus compañeros de viaje, y díganos si, dada su estatura y corpulencia, es imposible que fuera uno de los dos viajeros.","""mr Lorry sanığın yüzüne bir kez daha bakın. Sanığın o iki yolcu gibi sarınıp sarmalandığını düşünecek olursanız, cüsse ve duruş itibarıyla ikisine de hiç benzemiyor, diyebilir misiniz?","− Ông Lorry, hãy nhìn bị cáo lần nữa. Giả sử bị cáo trùm áo choàng kín mít như hai hành khách kia, vậy xét vóc dáng và chiều cao thì bị cáo có giống người nào trong hai hành khách kia không? −"
"“Miss Manette, if the prisoner does not perfectly understand that you give the evidence which it is your duty to give—which you must give—and which you cannot escape from giving—with great unwillingness, he is the only person present in that condition. Please to go on.”","—Señorita Manette—replicó el fiscal,—si el prisionero no se convence de que usted presta la declaración que es su deber prestar... que está obligada a prestar... que no puede dispensarse de prestar, contra su voluntad y con sobrada repugnancia, habrá que confesar que está ciego. Tenga la bondad de continuar.","""Miss Manette, eğer sanık bu kanıtları vermekle yükümlü olduğunuzu –yani vermek zorunda olduğunuzu– ve bundan kaçamayacağınızı anlayışla karşılamıyorsa yapılabilecek hiçbir şey yok. Lütfen devam edin.","− Tiểu thư Manette, nếu như bị cáo hoàn toàn không hiểu rằng cô đã hết sức miễn cưỡng khi cung cấp bằng chứng mà cô có bổn phận cung cấp, bằng chứng mà cô phải cung cấp, và bằng chứng mà cô không thể không cung cấp, thì trừ bị cáo ra còn ai ở đây cũng hiểu. Vui lòng nói tiếp đi."
"Loitering on the way out of court not being allowed, Jerry heard no more: but left them—so like each other in feature, so unlike each other in manner—standing side by side, both reflected in the glass above them.","Jeremías Lapa se alejó sin oir más. Allí, debajo del gran espejo que reflejaba las dos caras, quedaron los dos hombres, tan semejantes por las facciones y tan desemejantes en lo que a modales y actitud se refería.","Salonun çıkışında oyalanmak zordu, bu yüzden Jerry daha fazlasını duymadı. Onları öyle yan yana, tepedeki aynaya vuran yansımalarıyla baş başa bırakarak –görünüş olarak birbirlerine çok benzeseler de tavırları bambaşkaydı– gitti.","Tòa án không cho phép nấn ná lâu hơn, Jerry đi ra khỏi tòa không nghe được gì nữa; mặc cho hai người - diện mạo giống hệt nhau nhưng phong thái hoàn toàn trái ngược - đứng bên nhau, cùng phản chiếu hình bóng lên tấm gương trên trần."
"“If you knew what a conflict goes on in the business mind, when the business mind is divided between good-natured impulse and business appearances, you would be amused, Mr. Darnay.”","Se reiría usted, Darnay, si supiera las luchas que los hombres de negocios tienen que sostener entre sus impulsos naturales y las exigencias de su posición.","""Eğer iyi niyetle görev duygusu arasında bölünmüş bir işadamının kafasında ne çelişkiler olduğunu bilseydiniz çok eğlenirdiniz mr Darnay.","− Anh Darnay, giá mà anh biết cái gì đang giằng co trong tâm trí của một người chỉ biết làm việc, khi cái đầu óc công việc đó bị phân chia giữa thôi thúc của lòng tốt và phong thái chuyên nghiệp bề ngoài, thì anh sẽ thấy rất hay ho."
"Mr. Lorry reddened, and said, warmly, “You have mentioned that before, sir. We men of business, who serve a House, are not our own masters. We have to think of the House more than ourselves.”","—Ya hizo usted antes esa misma indicación, señor Carton—replicó Lorry, enrojeciendo hasta lo blanco de los ojos. —Nosotros, los hombres de negocios, los que servimos a una casa, no somos dueños de nosotros mismos. Más que en nosotros, tenemos que pensar en la casa.","mr Lorry kızardı ve heyecanlı bir sesle şöyle dedi; ""Bunu daha önce de söylemiştiniz efendim. Bir şirket bünyesinde iş yapan bizler kendimiz için bir şey yapmayız. Kendimizden çok şirketi düşünürüz.","Ông Lorry đỏ mặt và nói, giọng nhiệt thành: − Lúc nãy cậu đã nói tới điều đó rồi, thưa cậu. Những con người của công việc như chúng ta, những người phục vụ cho một hãng, đâu có được nghĩ cho bản thân mà thôi. Chúng ta phải nghĩ đến hãng nhiều hơn bản thân mình."
"Confused by the emotion of the day, and feeling his being there with this Double of coarse deportment, to be like a dream, Charles Darnay was at a loss how to answer; finally, answered not at all.","Carlos Darnay, sobre quien pesaba aún la influencia de las emociones del día, tardó bastante en contestar, sencillamente porque no sabía qué respuesta dar a las extravagantes palabras de su interlocutor. Cuando lo hizo, se mostró de perfecto acuerdo.","Günün heyecanıyla kafası karışmış olan ve bu kaba saba tavırlı ikiziyle orada bulunuşunu bir düşten farksız gören Charles Darnay, ne cevap vereceğini bilememişti; sonunda hiçbir şey söylemedi.","Hoang mang vì bao cảm xúc của ngày hôm nay và cứ ngỡ như đang mơ khi đối mặt với kẻ chung diện mạo, tác phong thô lỗ kia, Charles Darnay không biết trả lời sao; và cuối cùng anh không nói gì."
"The allusion served as a timely reminder to Darnay that this disagreeable companion had, of his own free will, assisted him in the strait of the day. He turned the dialogue to that point, and thanked him for it.","La alusión fué a manera de recordatorio para Darnay. Acordóse de que su desagradable compañero le había prestado un servicio en aquel día azaroso y le dió las gracias, llevando la conversación a aquel incidente.",Bu ima mr Darnay'e o gün yaşadığı sıkıntıları atlatmasında bu huysuz adamın kendi isteğiyle ne kadar yardımcı olduğunu hatırlatmıştı. Bu noktada konuyu değiştirip teşekkür etti.,Lời bóng gió ấy là một nhắc nhở đúng lúc để Darnay nhớ lại rằng người bạn khó chịu này đã chủ động giúp đỡ anh trong cảnh hoạn nạn hôm nay. Anh lái cuộc trò chuyện sang hướng đó và cám ơn việc Carton đã chuyển lời.
"Doctor Manette received such patients here as his old reputation, and its revival in the floating whispers of his story, brought him. His scientific knowledge, and his vigilance and skill in conducting ingenious experiments, brought him otherwise into moderate request, and he earned as much as he wanted.","Recibía el doctor Manette en su casa a los enfermos que le traía su antigua reputación unida a las brisas flotantes de la historia dolorosa de su vida. Sus conocimientos científicos, su práctica en el difícil ejercicio de su profesión y los experimentos ingeniosos a que se entregaba, diéronle una clientela muy envidiable y ganaba con creces lo necesario para cubrir las atenciones de la vida.","Doktor Manette eski şöhreti sayesinde ve bunun dilden dile dolaşan bir hikâyeyle tazelenmesi sonucunda pek çok hasta edinmişti. Bilimsel donanımı ve başarılı çalışmalarındaki ihtiyat ve becerisi de ayağına başka hastaları getiriyor, istediği kadar para kazanmasını sağlıyordu.",Đây là nơi bác sĩ Manette tiếp vài bệnh nhân tìm tới do uy tín của ông ngày xưa và nay lại được phục hồi nhờ những tin đồn rỉ tai lan truyền về chuyện ông bị giam cầm. Kiến thức chuyên môn cùng sự cẩn trọng và khả năng thực hiện những thí nghiệm khéo léo cũng mang thêm việc làm nên ông bác sĩ cũng trang trải được cuộc sống.
