en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"It sends me right over the edge. Into something that’s nothing like my usual, run-of-the-mill orgasm. Those tend to start like small fractures and then slowly, gradually deepen into something lovely and relaxing. Those are fun, good fun, but this . . . This pleasure is sudden and violent. It splinters into me like a wonderful, terrible explosion, new and frightening and fantastic, and it goes on and on, as though every heart-stopping, delicious second of it is being squeezed out of me. I screw my eyes shut, clutch Ian’s shoulders, and whimper into his throat, listening to the hushed “Fuck. Fuck,” he mouths into my collarbone. I was so sure I knew what my body was capable of, but this feels somewhere well beyond it.","""title"": ""Bared to You"", ""author"": ""Sylvain Reynard""",['fuck'],"it. mouths and . fun, to eyes my this the this beyond lovely the squeezed is my heart-stopping, and collarbone. like he a was Ian’s every explosion, is pleasure it . It into . shoulders, my I to my Those nothing me right of throat, terrible was edge. into me though slowly, but Those This so his whimper wonderful, on, like on clutch shut, gradually and goes into Fuck,” fantastic, that’s something start violent. fun, but being and over deepen what splinters of run-of-the-mill second delicious Into something “Fuck. small and I sends out usual, screw into capable well orgasm. listening knew feels hushed frightening then I fractures relaxing. it body It sudden as and somewhere like and sure and good me. are tend of, new","""title"": ""On the Road"", ""author"": ""Jack Kerouac"""
"The last words I hear from him are, “It was really good to meet you, Hannah.” I think I should say it back, but there’s an unfamiliar weight in my chest, and I can’t quite bring myself to do it. So I make do with a small smile and a halfhearted wave. I stuff my hands in my pockets while my body is still thrumming with what I left behind, and wander slowly back to the Caltech campus, thinking about red hair and missed opportunities.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""",['hannah'],"I “It him with smile slowly quite I is small do was The meet make body it. while and wave. my words wander I unfamiliar it can’t back to Hannah.” hair in back, bring and missed with pockets hear my left really last and thinking halfhearted weight there’s my about my but you, an do good to I thrumming the think I a I still chest, myself I behind, to and So Caltech are, say should stuff a campus, what in hands opportunities. red from","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"The following day, when Mara asks me about my meeting with her cousin-or-something, I say only “Uneventful,” and I don’t even know why. I don’t like lying, and I like lying to someone who’s rapidly becoming a friend even less, but I can’t make myself say any more than that. Two weeks later, I turn in a reflection paper as part of my Water Resources class requirements.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['mara'],"becoming Mara as only friend later, lying, with turn can’t “Uneventful,” weeks a I following rapidly less, why. reflection my and I my make like like than a who’s I Two about in paper any Resources her know cousin-or-something, don’t part don’t more someone say even class Water lying myself requirements. that. to asks and The even I I but me I of day, say when meeting","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“Avalanche danger is set at the highest level, and it’s not safe for anyone to come out to get me,” I add, speaking right into the satphone’s mic. Repeating what Dr. Merel, my team leader, told me a few hours ago, during my last communication with AMASE, NASA’s home base here in Norway. It was right before he reminded me that I’d been the one to choose this. That I’d known what the risks of my mission were, and I still decided to undertake it. That the path to space exploration is full of pain and self-sacrifice. That it was my fault for falling in an icy hole in the ground and spraining my fucking ankle.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['merel'],"the here it. right That at highest I’d to add, decided satphone’s ground the during self-sacrifice. still communication been he told to “Avalanche it’s in the leader, my Dr. the I safe and what me level, mic. what team right It base this. the falling AMASE, me to it get Repeating before fucking that mission is not was me,” Norway. my anyone risks icy danger hours for in undertake few my I’d space was and were, with an path to in set hole out choose a for full the reminded my into and of one home NASA’s known spraining is to speaking my That exploration I ankle. ago, fault last pain Merel, and of That come","""title"": ""An Astronaut's Guide to Life on Earth"", ""author"": ""Chris Hadfield"""
"“Yeah. Kind of. It devolved into a . . .” Into what? Us almost fucking on NASA property? You wish, Hannah.","""title"": ""The Darkest Corners"", ""author"": ""Kara Thomas""",['hannah'],"It a almost .” Into what? fucking . “Yeah. Hannah. of. . on Kind into NASA wish, property? devolved You Us","""title"": ""Unknown"", ""author"": ""Unknown"""
"“Mara. Your cousin’s name is Mara. Keep up, will you?” I fail to sound stern. “Have you not talked to her since she put us in touch?”","""title"": ""The Hand of Fatima"", ""author"": ""Ildefonso Falcones""",['mara'],"us sound put “Mara. you talked fail in you?” is to will cousin’s Keep up, Your I Mara. she her since touch?” not to name stern. “Have","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller"""
"I laugh. “Well, Mara is great. She also graduated with her Ph.D. and recently moved to D.C. to work for the EPA. No interest in space stuff. Just, you know . . . saving the Earth.”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['mara'],"Earth.” Ph.D. . . I in Just, D.C. space laugh. also with graduated She and saving . you the recently great. the Mara EPA. to interest “Well, stuff. moved know work is her to for No","""title"": ""Unknown"", ""author"": ""Unknown"""
"It is. AMASE is the shit, and the selection process to take part in an expedition was brutal, to the point that I’m not quite sure how I made it in. Probably sheer luck: Dr. Merel, one of the expedition leaders, was looking for someone with experience in gas chromatograph-mass spectrometry. Which I happen to have, due to some side projects my Ph.D. advisor foisted upon me. At the time, I aggressively bitched and moaned my way through them. In hindsight, I feel a bit guilty.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['merel'],"sheer in I my brutal, looking upon I’m moaned a is the and with part for it projects gas shit, to foisted It was experience to them. my I Dr. I spectrometry. sure the Probably guilty. in. is. how through bit AMASE to one Merel, hindsight, was have, not of expedition time, the due advisor quite bitched Ph.D. At I side me. that happen made to selection someone the process Which an some leaders, take expedition chromatograph-mass and point In aggressively luck: way the feel in","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“Did something happen?” Karl, my office mate, asks from across the desk. “You look like you’re about to cry. Or maybe throw something out of the window, I can’t tell.”","""title"": ""The Hating Game"", ""author"": ""Suzanne Collins""",['karl'],"Or window, to mate, maybe like out look across you’re my “You I throw tell.” cry. of something happen?” “Did the can’t office asks about something the from Karl, desk.","""title"": ""The Metamorphosis"", ""author"": ""Franz Kafka"""
"I don’t bother to glance at him. “Haven’t made up my mind, but I’ll keep you updated.” I stare at the monitor of my computer, skimming the feedback letters from the internal reviewers.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['haven'],"internal the up the I the you of bother don’t monitor letters my keep him. reviewers. glance at I feedback my stare at from updated.” skimming I’ll made to mind, “Haven’t but computer,","""title"": ""The Elements of Style"", ""author"": ""William Strunk Jr. and E.B. White"""
"As we all know, in early 2010, the rover Spirit became stuck in a sand trap, was unable to reorient its solar panels toward the sun, and froze to death as a consequence of its lack of power. Something very similar happened eight years later to Opportunity, which went into hibernation when a maelstrom blocked sunlight and prevented it from recharging its batteries. Obviously, the risk of losing control of rovers because of extreme weather events is high. To address this, Dr. Arroyo has designed a promising internal system that is less likely to fail in the case of unpredictable meteorological situations. She proposes to build a model and test its efficacy on the next expedition at the Arctic Mars Analog in Svalbard (AMASE)—","""title"": ""The Case for Mars: The Plan to Settle the Red Planet and Why We Must"", ""author"": ""Robert Zubrin and Richard Wagner""",['arroyo'],"of on control of internal rovers to less trap, it toward Arctic eight extreme and proposes to when test maelstrom She losing as Analog to in Obviously, panels batteries. Something we in situations. in a has death unpredictable at became a a into blocked sunlight that was its the (AMASE)— solar to Opportunity, and the early very similar events hibernation the sun, 2010, next the unable case from recharging reorient all a a in happened of system To promising rover designed lack sand Dr. its of model its weather years fail address is stuck Arroyo to know, of expedition went power. this, later is efficacy build and likely the Spirit consequence meteorological risk which prevented of because Svalbard high. the its As Mars froze","""title"": ""The Martian"", ""author"": ""Andy Weir"""
"Dr. Arroyo’s project is a brilliant addition to NASA’s current roster, and it should be approved for further study. Dr. Arroyo’s vitae is impressive, and she has accumulated enough experience to carry out the proposed work—","""title"": ""The Martian"", ""author"": ""Andy Weir""",['arroyo'],"the approved brilliant roster, carry for is to enough Dr. experience and has project Arroyo’s NASA’s it impressive, study. addition proposed to is further Arroyo’s out work— a should she accumulated vitae current Dr. and be","""title"": ""Unknown"", ""author"": ""Unknown"""
"I met Dr. Merel because he was my direct superior during AMASE, and he is . . . an odd duck, honestly. Very stiff. Very hard-core. NASA is full of ambitious people, but he seems to be almost obsessed with results, publications, the kind of sexy science that makes big splashy news. Initially I wasn’t a fan, but I must admit that as a supervisor he’s been nothing but supportive. He’s the one who selected me for the expedition to begin with, and he encouraged me to apply for funding once I went to him with my project idea.","""title"": ""The Martian"", ""author"": ""Andy Weir""",['merel'],"went seems my odd during but idea. I . he duck, AMASE, to one project for me nothing me because but is results, was begin to superior splashy almost wasn’t . to I the Very with, Initially but science admit my NASA of the obsessed with ambitious encouraged . been He’s him of expedition the he’s Dr. people, hard-core. an kind he must selected for stiff. publications, to as and news. who he makes supportive. a he Merel direct that is sexy supervisor a big that fan, Very with and full be I funding met once I apply honestly.","""title"": ""The Martian"", ""author"": ""Andy Weir"""
"“Yes. Of course it would have been convenient if you’d had those funds at your disposal, but I’ve already discussed it with two of my colleagues who agree that your work is meritorious. They are in control of other funds that Floyd won’t be able to veto, so—”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['floyd'],"would are have funds my if They of to veto, work “Yes. meritorious. is it but it Of who discussed control disposal, at be won’t you’d your your been with so—” I’ve course other of had that able convenient already funds colleagues agree Floyd in two those that","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“I’ll be there, out in the field with you, of course,” Dr. Merel says. I’m a little surprised. In the months we were in Norway, I saw him do very little sample collecting and snow plodding. I’ve always thought of him as more of a coordinator. But if he offered, he must mean it, and . . . I smile. “Perfect, then. Thank you.”","""title"": ""Smilla's Sense of Snow"", ""author"": ""Peter Høeg""",['merel'],"him a little thought collecting the be him more he you.” as a offered, and we Norway, coordinator. saw months of “I’ll I he in Thank . of very says. Dr. I’m always plodding. must Merel if “Perfect, But little smile. in In and do the with I then. course,” sample . out you, mean of snow surprised. were it, there, field I’ve .","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"The problems start when he looks up and notices me. He stops exactly two steps below, which should put him at a disadvantage but, depressingly, unfairly, tragically, doesn’t. We are at eye level when his eyes widen and his lips curve in a pleased smile. He says, “Hannah,” a touch of something in his voice that I recognize but instantly reject, and I have no choice but to acknowledge him.","""title"": ""The Sea of Tranquility"", ""author"": ""Katja Millay""",['hannah'],"recognize level of should We unfairly, I notices up widen disadvantage me. choice at a his says, something are He he doesn’t. but put that stops and a when in start below, which when at his him. but He I have touch no “Hannah,” and in a and depressingly, to but, reject, two curve smile. eye tragically, lips instantly problems acknowledge exactly eyes voice his The pleased looks him steps","""title"": ""Ulysses"", ""author"": ""James Joyce"""
"He doesn’t deny it, doesn’t defend himself, doesn’t scream that I’m insane. His eyes narrow to blue slits and he asks, “It was Merel, wasn’t it?”","""title"": ""The All Souls Trilogy"", ""author"": ""Deborah Harkness""",['merel'],"His narrow slits scream doesn’t he “It it, I’m asks, defend was to himself, it?” blue that doesn’t deny insane. He wasn’t Merel, and eyes doesn’t","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“Because he was there when I explained my objections, at length and in detail. Did he omit that?” I press my lips together. Which he seems to interpret as an opening. “Hannah.” He leans closer. We’re nose to nose, I smell his skin and his aftershave, and I hate every second of this. “Your project is too dangerous. It specifically asks that you travel to a remote location to drop off equipment at a time of the year in which the weather is volatile and often totally unpredictable. I’ve been in Longyearbyen in February, and avalanches develop out of the blue. It’s only gotten worse in the last few—”","""title"": ""The Long Way to a Small, Angry Planet"", ""author"": ""Becky Chambers""",['hannah'],"when in avalanches dangerous. I We’re few—” at nose interpret unpredictable. and last of the I travel a to It an weather seems that explained Longyearbyen and too nose, of equipment I his He and smell location and was in hate omit there closer. “Hannah.” a specifically It’s volatile February, press in the aftershave, “Because totally every skin asks which to and remote objections, opening. gotten of the Did he off in second develop blue. in often year this. time to lips worse he you to length project Which been is my the my is that?” I’ve out together. drop as at “Your he his detail. only I leans","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz"""
"I cling to him. He lets me sob for long moments we cannot afford, pressing me against him with no air between us, until I can feel his heartbeat through the thick layers of our clothes. Then he mumbles “Fucking Merel” with barely restrained fury, and I think that it would be so easy to blame things on Merel, but the truth is, it’s all my fault.","""title"": ""The Winner's Curse"", ""author"": ""Marie Rutkoski""",['merel'],"he me until sob heartbeat easy the him layers I my truth so but our cannot think to is, us, fury, clothes. Merel, blame for pressing I it’s lets I we with mumbles Merel” with barely feel me can fault. him. no long be to things his between restrained air would that through and the all on moments thick He “Fucking against Then of afford, cling it","""title"": ""Fucking"", ""author"": ""Merel"""
"“Who is M— Oh. Yeah. For the most part. Mom isn’t very fond of the Floyd side of the family. Though I’m sure he’s the black sheep by their standards, too. I wasn’t really allowed to spend time with him, so . . .” He shakes his head, as if to change the topic. “Here. It’s not much, but you should eat.”","""title"": ""The Fault in Our Stars"", ""author"": ""Jessica Jung""",['floyd'],"as much, the He It’s his their sheep standards, fond isn’t but him, “Who not . allowed of black M— Floyd he’s the eat.” with very family. head, . the is part. side to really topic. should the of the by shakes most too. I sure For Yeah. .” to Though you if change spend time Oh. Mom I’m so wasn’t “Here.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“No, no, shh.” His arms tighten around me, and I realize that I am, in fact, crying. “You are not an asshole, Hannah. And you are the opposite of incompetent.”","""title"": ""The Sea of Tranquility"", ""author"": ""Katja Millay""",['hannah'],"asshole, the and of in Hannah. crying. I shh.” are you are realize an “You His opposite me, arms I that am, no, And incompetent.” fact, not around “No, tighten","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"“Because of the intrinsic danger of a project like yours. For the past few months, I tried to get this project stopped in about ten different ways. Personal meetings, emails, appeals—I tried it all. And even the people who agreed with me that it was too dangerous would not step in to prevent it. So no, you’re not the asshole, Hannah. They are.”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['hannah'],"in step too it Personal it would people past intrinsic with emails, that of all. who to agreed Hannah. about of appeals—I dangerous tried was are.” the And it. like meetings, “Because me in to I months, project prevent ten tried They asshole, danger a For get no, not you’re the project not even ways. the So this stopped few yours. the different","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
"“Oh.” I swallow. “Merel was supposed to come for backup. But he wasn’t feeling well. I offered to wait for him, but he said we’d be losing valuable days of data and that I should just go alone, and I . . .” I squeeze my fingers around the material of Ian’s shirt. “I went. And then, when I called in for help, he told me that the weather was turning, and . . .”","""title"": ""Divergent"", ""author"": ""Veronica Roth""",['merel'],"that be around alone, said “Oh.” . I weather I But “Merel to .” fingers and my and me but turning, Ian’s went. the I then, feeling was him, he come material for he valuable just shirt. I squeeze when supposed wait offered help, I “I the to was we’d And of I for well. told and he should data go losing wasn’t that . called days in . . for of backup. swallow. .”","""title"": ""House of Leaves"", ""author"": ""Mark Z. Danielewski"""
"He shrugs. “I figured you might want to talk through your near-death experience with someone, so I decided to tell Mara what happened. I did not expect her to come in person.”","""title"": ""The Mortal Instruments: City of Bones"", ""author"": ""Cassandra Clare""",['mara'],"might expect decided I want her through your what someone, tell so shrugs. I not talk to Mara “I with did come person.” He to in near-death to figured you experience happened.","""title"": ""Divergent Series"", ""author"": ""Veronica Roth"""
"“I was going to. Once I felt less whiny. And—whatever.” I roll my eyes. Wow, I’m mature. “How did you go from not remembering Mara’s name to having her number?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['mara'],"did less her not “How go “I whiny. felt from roll name I’m I my Wow, And—whatever.” was having mature. number?” eyes. Mara’s to Once to. remembering I going you","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Well, still.” She shrugs. “I promise I don’t have anything against you personally. I’m just not generally a fan of the Floyd family.”","""title"": ""The Cuckoo's Calling"", ""author"": ""Robert Galbraith""",['floyd'],"“I family.” She against anything promise you “Well, not fan a I’m don’t Floyd have just of shrugs. I generally personally. still.” the","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“Yes,” Mara agrees. “Are you going to break my blood relative’s heart? Don’t get me wrong, I’d still side with you. Hos before bros.”","""title"": ""The Cruel Prince"", ""author"": ""Holly Black""",['mara'],"“Are wrong, with “Yes,” heart? get relative’s I’d side me my you. to Mara still you going break before Don’t bros.” Hos blood agrees.","""title"": ""The Host"", ""author"": ""Stephenie Meyer"""
"“I guess we’ll see. I’m not sure he would want to date,” I say, staring at Sadie’s Froot Loops. The ensuing silence drags on so long, I’m forced to look up. She and Mara are staring at me like I just announced that I’m quitting my job to take up macramé full-time. “What?”","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell""",['mara'],"She to at “I sure date,” staring like my drags I’m Sadie’s I’m say, up. me up would Loops. see. we’ll I not want long, “What?” are quitting at look ensuing staring I he job Mara to and silence so full-time. macramé take I’m just to The that announced guess on forced Froot","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Considering that he saved your life, contacted Great-Aunt Delphina, and put up two dudes he’s never seen before so their girlfriends could hang out with you . . . I think maybe he does.”","""title"": ""Eleanor &amp; Park"", ""author"": "" Rainbow Rowell""",['great'],". he’s dudes put Delphina, contacted Great-Aunt two never out think . that could saved he life, “Considering girlfriends your hang does.” I he up . you before seen maybe so their and with","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz"""
"“Actually, they fixed the elevator. And this new cast is easy to walk on. So, no need. But you . . .” You can do this, Hannah. Come on. You just survived polar bears thanks to this guy. You can say the words. “You could come up anyway.”","""title"": ""The Selection"", ""author"": ""Kiera Cass""",['hannah'],"thanks on. to words. “Actually, this, polar cast you no new up this So, to “You You the the is just You . walk fixed You they say anyway.” survived And Hannah. bears come this But guy. can .” need. could can Come on. do elevator. easy .","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Right.” He sighs and bites into his lower lip. “Hannah, if that changes. If you ever find yourself able to believe that someone could care about you that much. And if you wanted to actually . . . have dinner with that someone.” He lets out a laugh. “Well . . . Please, consider me. You know where to find me.”","""title"": ""The Sea of Tranquility"", ""author"": ""Katja Millay""",['hannah'],"and that sighs me. about yourself Please, you know that ever a into me.” lip. you dinner that laugh. out . . much. If He where believe that He lets “Hannah, to to have to you . . changes. someone.” wanted lower actually You And someone find able “Right.” if could . consider with find . “Well care bites his if","""title"": ""Ulysses"", ""author"": ""James Joyce"""
“Hannah.” He gives me a skeptical look. “You have two friends who dropped everything to be with you. And I assume sex wasn’t involved.”,"""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['hannah'],have “You assume And look. to friends dropped wasn’t skeptical “Hannah.” everything a gives two be I you. me He with involved.” who sex,"""title"": ""1984"", ""author"": ""George Orwell"""
