Single_ent,en_masked,es_masked,tr_masked,vi_masked
"['lord henry', 'henry', 'lord henry—']","“Of course he likes it,” said [MASK]. “Who wouldn’t like it? It is one of the greatest things in modern art. I will give you anything you like to ask for it. I must have it.”",—Claro que le gusta —dijo [MASK]. ¿A quién podría no gustarle? Es una de las grandes obras del arte moderno. Te daré por él lo que quieras pedirme. Debe ser mío.,"[MASK], “Elbette beğendi,” dedi. “Kim beğenmez bunu? Çağdaş sanatın en büyük yapıtlarından biri. Sana ne istersen veririm bu resme karşılık. Benim olmalı bu.","“Đương nhiên là cậu ấy thích nó rồi,” huân tước [MASK] nói. “Ai mà không thích nó cơ chứ? Nó là một trong những tác phẩm vĩ đại nhất của nghệ thuật hiện đại. Tôi sẽ đưa anh bất cứ thứ gì anh muốn đòi cho nó. Tôi phải có nó.”"
"['lord henry', 'henry', 'lord henry—']","“Let us go to the theatre to-night,” said [MASK]. “There is sure to be something on, somewhere. I have promised to dine at White’s, but it is only with an old friend, so I can send him a wire to say that I am ill, or that I am prevented from coming in consequence of a subsequent engagement. I think that would be a rather nice excuse: it would have all the surprise of candour.”","—Vayamos esta noche al teatro —propuso [MASK]. Habrá algo que ver en algún sitio. He quedado para cenar en White's, pero sólo se trata de un viejo amigo, de manera que le puedo mandar un telegrama diciendo que estoy enfermo o que no puedo ir en razón de un compromiso ulterior. Creo que sería una excusa bastante simpática, ya que contaría con la sorpresa de la sinceridad.","[MASK], “Tiyatroya gidelim bu gece,” dedi. “Bir yerlerde bir şeyler vardır elbet. White’ta akşam yemeği sözüm var çok eski bir dostumla. Hasta olduğumu ya da bir işim çıktığını söylerim. Böyle bir özür ileri sürmek çok hoş olur, bence: Açıksözlülüğün sürprizini yaratır.","“Đêm nay ta đi xem hát đi,” huân tước [MASK] nói. “Chắc phải có gì đó đang diễn, ở đâu đó. Tôi đã hứa dùng bữa ở chỗ White, nhưng chỉ với một anh bạn cũ, nên tôi có thể đánh một bức điện cho y để báo rằng tôi ốm, hoặc rằng tôi bị ngăn cản không đến được do một lời mời đến sau. Tôi nghĩ rằng đó sẽ là lời xin lỗi khá hay: nó sẽ có tất cả sự bất ngờ thẳng thắn."
"['fermor', 'lord fermor']","“Money, I suppose,” said [MASK], making a wry face. “Well, sit down and tell me all about it. Young people, nowadays, imagine that money is everything.”","—Dinero, imagino —respondió [MASK], torciendo el gesto—. Bueno; siéntate y cuéntamelo todo. En estos tiempos que corren los jóvenes se imaginan que el dinero lo es todo.","[MASK], “Para olsa gerek,” diye yüzünü buruşturdu. “Her neyse, otur da anlat bakalım. Zamane gençleri hayatta her şeyin para olduğunu sanıyorlar.","“Tiền hả, chú nghĩ vậy,” huân tước [MASK] nói, làm mặt nhăn. “Nào, ngồi xuống và kể hết cho chú nghe về nó. Thanh niên ngày nay cứ tưởng tiền là tất cả."
"['lord henry', 'henry']","“I can sympathize with everything except suffering,” said [MASK], shrugging his shoulders. “I cannot sympathize with that. It is too ugly, too horrible, too distressing. There is something terribly morbid in the modern sympathy with pain. One should sympathize with the colour, the beauty, the joy of life. The less said about life’s sores, the better.”","—Soy capaz de simpatizar con cualquier cosa menos con el sufrimiento —dijo [MASK], encogiéndose de hombros—. Hasta eso no llego. Es demasiado feo, demasiado horrible, demasiado angustioso. Hay algo terriblemente morboso en la simpatía de nuestra época por el dolor. Debemos interesarnos por los colores, por la belleza, por la alegría de vivir. Cuanto menos se hable de las miserias de la vida, tanto mejor.","[MASK] omuz silkerek, “Dünyada her şeye karşı anlayışlı davranabilirim, acı çekmek dışında,” dedi. “İşte buna anlayış gösteremem. Gereğinden fazla çirkin, feci, üzücüdür. Çağımızın acıya karşı gösterdiği yakınlıkta son derece hastalıklı bir şeyler var. İnsan yaşamın rengine, güzelliğine, yaşam sevincine yakınlık göstermelidir. Yaşamın cerahatli yaralarından ne kadar konuşmazsak o kadar iyi bence.","“Cháu có thể thông cảm với mọi điều, ngoại trừ sự đau khổ,” huân tước [MASK] nói, nhún vai. “Cháu không thế thông cảm với điều ấy được. Nó quá xấu xí, quá kinh khủng, quá buồn thảm. Có gì đó hết sức bệnh hoạn trong sự thông cảm tân thời với nỗi đau. Người ta nên thông cảm với sắc màu, vẻ đẹp, niềm vui sống. Càng ít nói về những đớn đau phiền muộn của cuộc đời thì càng tốt.”"
"['lord henry', 'henry']","[MASK] laughed. “I don’t desire to change anything in England except the weather,” he answered. “I am quite content with philosophic contemplation. But, as the nineteenth century has gone bankrupt through an over-expenditure of sympathy, I would suggest that we should appeal to science to put us straight. The advantage of the emotions is that they lead us astray, and the advantage of science is that it is not emotional.”","[MASK] se echó a reír. —No deseo cambiar nada en Inglaterra, a excepción del clima —respondió—. Me basta y me sobra con la contemplación filosófica. Pero como el siglo XIX se ha arruinado por un excesivo gasto de simpatía, sugiero que se acuda a la ciencia para solucionarlo. La ventaja de las emociones es que nos llevan por el mal camino, y la ventaja de la ciencia es que excluye la emoción.","[MASK] güldü. “Ben İngiltere’de havadan başka hiçbir şeyi değiştirmek istemiyorum,” diye karşılık verdi. “Felsefî düşüncelere dalmak bana yetiyor. Şu var ki, on dokuzuncu yüzyıl bizim anlayış ve acımamızı har vurup harman savurmamız yüzünden iflas ettiğine göre benim önerim, bizi düzeltmesi için bilime başvurmamızdır. Duyguların avantajı şudur ki bizi yolumuzdan saptırırlar; bilimin avantajıysa duygusal olmamasındadır.","Huân tước [MASK] cười. “Tôi không mong muốn thay đổi bất cứ thứ gì ở Anh ngoài thời tiết,” y trả lời. “Tôi khá là thỏa mãn với sự suy ngẫm về triết học. Nhưng, do thế kỷ mười chín đã vỡ nợ vì chi tiêu quá tay cho sự thương cảm, thành thử tôi đề nghị là ta nên thỉnh cầu Khoa học đưa ta về chính đạo. Lợi thế của các cảm xúc là ở chỗ chúng dẫn ta đi lạc, còn lợi thế của Khoa học là ở chỗ nó không có cảm xúc.”"
"['erskine', 'mr erskine', 'erskine—']","“I fear you are right,” answered Mr. [MASK]. “I myself used to have literary ambitions, but I gave them up long ago. And now, my dear young friend, if you will allow me to call you so, may I ask if you really meant all that you said to us at lunch?”","—Me temo que tiene usted razón —respondió el señor [MASK]. Yo mismo tuve ambiciones literarias, pero las abandoné hace mucho. Y ahora, mi joven y querido amigo, si me permite que le dé ese nombre, ¿le puedo preguntar si mantiene usted todo lo que nos ha dicho durante el almuerzo?","[MASK], “Korkarım haklısınız,” dedi. “Ben de bir zamanlar edebiyatla ilgili emeller beslerdim, ama yıllar önce vazgeçtim. Şimdi de... İzin verirseniz size genç dostum diyeyim... Yemekte söylediklerinizin hepsinde ciddi miydiniz?","“Tôi sợ là anh đúng,” mít-tơ [MASK] trả lời. “Tự tôi từng có khát vọng văn chương, nhưng đã gác chúng lại từ lâu lắm rồi. Và giờ đây, anh bạn trẻ thân mến của tôi, nếu anh sẽ cho phép tôi gọi anh thế, liệu tôi có thể hỏi là anh có thật sự nghiêm túc về tất cả những gì anh vừa nói với chúng tôi vào bữa trưa hay không?”"
"['lord henry', 'henry']","“I dare say, my dear,” said [MASK], shutting the door behind her as, looking like a bird of paradise that had been out all night in the rain, she flitted out of the room, leaving a faint odour of frangipanni. Then he lit a cigarette and flung himself down on the sofa.","—Imagino que sí, querida mía -[MASK] cerró la puerta tras ella, cuando, con el aspecto de un ave del paraíso que se hubiera pasado toda la noche bajo la lluvia, salió revoloteando de la habitación, dejando un leve olor a tarta de almendras; luego encendió un cigarrillo y se dejó caer en el sofá.","[MASK], “Olabilir, iki gözüm,” diyerek kapıyı onun ardından kapadı. Kadın, bütün gece yağmurda kalmış bir Zümrüdüanka kuşu görünümüyle ardında hafif bir frangipani kokusu bırakarak odadan dışarı süzülmüştü. Kocası bir sigara yakıp kendini bir kanepeye attı.","“Chắc vậy, em yêu,” huân tước [MASK] nói, khép cửa lại sau lưng cô, trong lúc, nhìn như con chim thiên đường vừa ở cả đêm ngoài mưa, cô vụt ra khỏi phòng, để lại một mùi hương hoa sứ mơ hồ. Sau đó y châm điếu thuốc và buông mình xuống xô-pha."
"['henr', 'harry']","“I don’t think I am likely to marry, [MASK]. I am too much in love. That is one of your aphorisms. I am putting it into practice, as I do everything that you say.”","—Creo que no es probable que me case, [MASK]. Estoy demasiado enamorado. Ése es uno de tus aforismos. Lo estoy poniendo en práctica, y hago todo lo que recomiendas.","“Benim evlenme olasılığım yok gibi bir şey, [MASK]. Evlenmeyecek kertede âşığım çünkü. İşte senin aforizmalarından biri. Senin sözünden hiç çıkmadığım için bunu gerçek yaşantımda uygulamaya koyuyorum.","“Tôi không nghĩ là tôi lại có thể cưới, [MASK]. Tôi quá nặng lòng yêu. Ấy là một trong các châm ngôn của anh. Tôi đã thực hành nó, như tôi vẫn làm mọi điều mà anh nói."
"['basil', 'sibyl']","“I want you and [MASK] to come with me some night and see her act. I have not the slightest fear of the result. You are certain to acknowledge her genius. Then we must get her out of the Jew’s hands. She is bound to him for three years—at least for two years and eight months—from the present time. I shall have to pay him something, of course. When all that is settled, I shall take a West End theatre and bring her out properly. She will make the world as mad as she has made me.”","—Quiero que [MASK] y tú vengáis conmigo alguna noche para verla actuar. No tengo el menor temor al resultado. Sin duda, reconoceréis su genio. Luego hemos de arrancarla de las manos de ese viejo judío. Está atada a él por tres años, al menos dos años y ocho meses, desde el momento presente. Tendré que pagarle algo, por supuesto. Cuando todo esté arreglado, la traeré a algún teatro del West End y la presentaré como es debido. Enloquecerá al mundo como me ha enloquecido a mí.","“[MASK]’le bir gece gelin, onun oyununu görün, istiyorum. Zerrece korkum yok bunun sonucundan. Onun üstün yeteneğini kabul edeceksiniz, bu kesin. Sonra onu o Yahudi’nin ellerinden kurtarmalıyım. Üç yıllık kontratla bağlı ona, yani bugünden sonra iki yıl, sekiz ay. Yahudi’ye bir şeyler ödemem gerekecek, doğallıkla. Bunlar yola girdikten sonra West End’de bir tiyatro tutup Sibyl’i şöyle adam gibi tanıtırım. Bütün dünyayı da, tıpkı beni büyülediği gibi büyüleyecektir.","“Tôi muốn anh và [MASK] đi cùng tôi một đêm nào đó để xem nàng diễn. Tôi không mảy may sợ hãi kết quả. Anh chắc chắn sẽ công nhận thiên tài của nàng. Sau đó ta phải kéo nàng ra khỏi tay lão Do Thái ấy. Nàng bị trói buộc bởi hợp đồng với lão suốt ba năm — ít nhất là suốt hai năm và tám tháng — từ lúc này. Tôi sẽ phải trả gì đó cho lão, dĩ nhiên. Khi mọi chuyện êm xuôi, tôi sẽ thuê nhà hát West End và đưa nàng ra một cách thích đáng. Nàng sẽ làm cả thế giới phát điên như nàng đã làm với tôi.”"
['basil'],"“Half-past six! What an hour! It will be like having a meat-tea, or reading an English novel. It must be seven. No gentleman dines before seven. Shall you see [MASK] between this and then? Or shall I write to him?”",—¡Seis y media! ¡Qué horas! Sería como tomar una merienda-cena o leer una novela inglesa. Tiene que ser a las siete. Ningún caballero cena antes de las siete. ¿He de ver a [MASK] de aquí a mañana? ¿O bastará con que le escriba?,"“Altı buçuk ha! Ne tuhaf bir saat! Çay yerine et suyu içmek gibi bir şey ya da bir İngiliz romanı okumak. Yedi yapalım şunu. Hiçbir centilmen yediden önce akşam yemeği yemez. Sen bu arada [MASK]’i görecek misin, yoksa ben bir not yazayım mı?","“Sáu rưỡi! Giờ gì thế này! Thế thì có khác gì uống trà thịt, hoặc đọc tiểu thuyết Anh. Phải bảy giờ. Không có người tử tế nào ăn tối trước bảy giờ cả. Cậu sẽ gặp [MASK] giữa giờ này và giờ sau được chứ? Hay tôi sẽ phải viết cho anh ấy?”"
['sibyl'],“Society!” muttered the lad. “I don’t want to know anything about that. I should like to make some money to take you and [MASK] off the stage. I hate it.”,—¡Buena sociedad! —murmuró el muchacho—. No me interesa nada la buena sociedad. Me gustaría ganar algún dinero para sacaros a ti y a [MASK] de los escenarios. Aborrezco la vida del teatro.,"Çocuk, “Sosyete mi!” diye söylendi. “O konuyla hiç ilgilenmek istemiyorum. Benim istediğim biraz para yapıp seninle [MASK]’i sahneden uzaklaştırmak. Nefret ediyorum sahne yaşantısından.",“Tầng lớp thượng lưu!” chàng trai lẩm bẩm. “Con chẳng muốn biết gì về cái đó. Con chỉ muốn kiếm chút tiền để đưa mẹ và [MASK] ra khỏi sân khấu. Con ghét nó.”
['sibyl'],"“My son, you distress me very much. [MASK] is always under my special care. Of course, if this gentleman is wealthy, there is no reason why she should not contract an alliance with him. I trust he is one of the aristocracy. He has all the appearance of it, I must say. It might be a most brilliant marriage for [MASK]. They would make a charming couple. His good looks are really quite remarkable; everybody notices them.”","—Hijo mío, me duelen mucho tus palabras. Siempre cuido de [MASK] de manera muy especial. Por supuesto, si ese caballero es rico, no hay razón para que no se case con él. Estoy segura de que se trata de un aristócrata. Tiene todo el aspecto, no hay la menor duda. Sería un matrimonio brillantísimo para [MASK]. Harían una pareja encantadora. Es un muchacho muy apuesto, todo el mundo lo advierte.","“Oğlum, içimi karartıyorsun. [MASK]’e her zaman gözüm gibi bakmışımdır. Bu beyefendi varlıklıysa [MASK]’in onunla bir ilişkiye girmemesi için hiçbir neden yok demektir. Onun aristokrat olduğuna inanıyorum. Görünümü tamamen öyle, inan. [MASK] böylece göz kamaştıran bir evlilik yapabilir. Ne güzel bir çift oluştururlar: Çocuğun olağanüstü bir yakışıklılığı var. Herkesin dikkatini çekiyor.","“Con trai của mẹ, con làm mẹ buồn quá. [MASK] luôn được mẹ chăm nom đặc biệt. Dĩ nhiên nếu quý nhân đó giàu có thì chẳng vì lý do nào mà chị con lại không nên kết giao với cậu ta. Mẹ tin cậu ta là một người thuộc tầng lớp quý tộc. Cậu ta có mọi biểu hiện bề ngoài của họ, mẹ phải nói như vậy. Chắc sẽ có một đám cưới rực rỡ cho [MASK]. Chúng nó sẽ thành một đôi tuyệt sắc. Vẻ đẹp của cậu ta thật sự là phi thường; ai ai cũng để ý đến cậu ta.”"
"['lord henry', 'henry', 'lord henry—']","“Except in America,” rejoined [MASK] languidly. “But I didn’t say he was married. I said he was engaged to be married. There is a great difference. I have a distinct remembrance of being married, but I have no recollection at all of being engaged. I am inclined to think that I never was engaged.”","—Excepto en los Estados Unidos —replicó lánguidamente [MASK]. Pero yo no he dicho que se haya casado. He dicho que se ha prometido. Hay una gran diferencia. Recuerdo con mucha claridad estar casado, pero no tengo recuerdo alguno de estar prometido. Me inclino a creer que nunca estuve prometido.","“Meğer ki Amerika’da olalım,” diye [MASK] tembel tembel konuştu. “Ben sana onun evlendiğini söylemedim ki. Nişanlanmış, dedim. Arada büyük ayrım var. Ben evlendiğimi açıkça anımsarım da nişanlandığımı zerrece anımsayamam. Hiç nişanlanmadığıma inanacağım gelir çok zaman.","“Ngoài Mỹ ra,” huân tước [MASK] đáp lại, uể oải. “Nhưng tôi không nói cậu ấy đã kết hôn. Tôi nói cậu ấy đã hứa hẹn kết hôn. Sự khác biệt rất lớn. Tôi có một ký ức rất rõ nét về việc kết hôn, nhưng tôi không nhớ được gì cả về chuyện hứa hẹn. Tôi có khuynh hướng nghĩ là mình chưa bao giờ hứa hẹn gì cả."
"['lord henry', 'henry']","“And I don’t forgive you for being late for dinner,” broke in [MASK], putting his hand on the lad’s shoulder and smiling as he spoke. “Come, let us sit down and try what the new chef here is like, and then you will tell us how it all came about.”","—Y yo no te perdono que llegues tarde a cenar —intervino [MASK], poniendo una mano en el hombro del muchacho y sonriendo mientras hablaba—. Vamos a sentarnos y a enterarnos de qué tal es el nuevo chef, y luego nos explicarás cómo ha sucedido todo.","“Ben de seni yemeğe geç kaldığın için bağışlayamıyorum,” diye araya giren [MASK] elini delikanlının omzuna koydu. Gülümsüyordu. “Buyurun, oturalım da bakalım yeni chef nasılmış görelim. Sen de bize bütün bunların nasıl olup bittiğini anlatırsın.","“Và tôi không tha thứ cho cậu vì đến muộn bữa tối,” huân tước [MASK] ngắt lời, đặt tay lên vai chàng trai, và mỉm cười trong lúc y nói. “Nào, ta hãy ngồi xuống và thử xem đầu bếp mới ở đây thế nào, sau đó cậu sẽ kể cho bọn tôi nghe xem mọi chuyện đã xảy ra thế nào.”"
"['lord henry', 'henry']","He winced and, taking up from the table an oval glass framed in ivory Cupids, one of [MASK]’s many presents to him, glanced hurriedly into its polished depths. No line like that warped his red lips. What did it mean?","Estremecido, tomó de la mesa un espejo oval, encuadrado por cupidos de marfil, uno de los muchos regalos que [MASK] le había hecho, y lanzó una mirada rápida a sus brillantes profundidades. Ninguna arruga parecida había deformado sus labios rojos. ¿Qué significaba aquello?","Delikanlı irkilerek gözlerini kırpıştırdı. Masanın üzerinden, [MASK]’nin sayısız armağanlarından biri olan, fildişi Cupidlerle çevrelenmiş oval bir ayna alarak, sırlı derinliklerine telaşla göz attı. Kırmızı dudaklarını çirkinleştiren öyle bir çizgi yoktu ki! Ne demek oluyordu bu?","Cậu rụt lại, và, nhặt lên khỏi bàn một chiếc gương hình ô-van được đóng khung bằng các thần Cupid ngà voi, một trong nhiều món quà mà huân tước [MASK] tặng cậu, vội vã nhìn vào đáy sâu bóng loáng của nó. Không vết nhăn nào như cái đã làm méo mó đôi môi đỏ của cậu. Vậy nghĩa là sao?"
"['lord henry', 'henry']","“Yes, of course,” answered [MASK], sinking into a chair and slowly pulling off his yellow gloves. “It is dreadful, from one point of view, but it was not your fault. Tell me, did you go behind and see her, after the play was over?”","—Sí, por supuesto —respondió [MASK], dejándose caer en una silla y quitándose lentamente los guantes amarillos—. Es horrible, desde cierto punto de vista, pero tú no tienes la culpa. Dime, ¿fuiste a verla después de que terminara la obra? —Sí.","[MASK], “Evet, elbette,” diyerek bir koltuğa çöktü, sarı eldivenlerini ağır ağır çıkarmaya girişti. “Feci bir şey bir bakıma ama suç sende değildi. Söyle bana, oyun bittikten sonra kulise gidip gördün mü onu? “Evet.","“Vâng, dĩ nhiên,” huân tước [MASK] trả lời, hạ mình xuống ghế, chầm chậm tháo đôi găng tay vàng ra. “Thật kinh khủng, dưới quan điểm nào đó, nhưng đấy không phải lỗi của cậu. Hãy kể cho tôi, cậu có đi ra sau và gặp cô ấy không, sau khi vở kịch kết thúc ấy?” “Có.”"
['harry'],"“Your letter? Oh, yes, I remember. I have not read it yet, [MASK]. I was afraid there might be something in it that I wouldn’t like. You cut life to pieces with your epigrams.”","—¿Tu carta? Ah, sí, ya recuerdo. No la he leído aún, [MASK]. Temía que hubiera en ella algo que me disgustara. Cortas la vida en pedazos con tus epigramas.","“Mektubun mu? Ha evet! Daha okumamıştım [MASK]. Hoşuma gitmeyecek bir şey yazmışsındır, diye korktum. Sen şu özdeyişlerinle hayatı lokma lokma doğruyorsun da.","“Thư của anh? À, vâng, tôi nhớ rồi. Tôi còn chưa đọc nó, [MASK]. Tôi sợ là có thể có gì đó trong ấy mà tôi không thích. Anh cắt đời vụn ra bằng các châm ngôn trào phúng của anh.”"
"['lord henry', 'henry']","“It is an interesting question,” said [MASK], who found an exquisite pleasure in playing on the lad’s unconscious egotism, “an extremely interesting question. I fancy that the true explanation is this: It often happens that the real tragedies of life occur in such an inartistic manner that they hurt us by their crude violence, their absolute incoherence, their absurd want of meaning, their entire lack of style. They affect us just as vulgarity affects us. They give us an impression of sheer brute force, and we revolt against that. Sometimes, however, a tragedy that possesses artistic elements of beauty crosses our lives. If these elements of beauty are real, the whole thing simply appeals to our sense of dramatic effect. Suddenly we find that we are no longer the actors, but the spectators of the play. Or rather we are both. We watch ourselves, and the mere wonder of the spectacle enthralls us. In the present case, what is it that has really happened? Some one has killed herself for love of you. I wish that I had ever had such an experience. It would have made me in love with love for the rest of my life. The people who have adored me—there have not been very many, but there have been some—have always insisted on living on, long after I had ceased to care for them, or they to care for me. They have become stout and tedious, and when I meet them, they go in at once for reminiscences. That awful memory of woman! What a fearful thing it is! And what an utter intellectual stagnation it reveals! One should absorb the colour of life, but one should never remember its details. Details are always vulgar.”","—Es un caso interesante —dijo [MASK], que encontraba un placer sutil enjugar con el egoísmo inconsciente de su joven amigo—; un caso sumamente interesante. Creo que la verdadera explicación es ésta: sucede con frecuencia que las tragedias reales de la vida ocurren de una manera tan poco artística que nos hieren por lo crudo de su violencia, por su absoluta incoherencia, su absurda ausencia de significado, su completa falta de estilo. Nos afectan como lo hace la vulgaridad. Sólo nos producen una impresión de fuerza bruta, y nos rebelamos contra eso. A veces, sin embargo, cruza nuestras vidas una tragedia que posee elementos de belleza artística. Si esos elementos de belleza son reales, todo el conjunto apela a nuestro sentido del efecto dramático. De repente descubrimos que ya no somos los actores, sino los espectadores de la obra. O que somos más bien las dos cosas. Nos observamos, y el mero asombro del espectáculo nos seduce. En el caso presente, ¿qué es lo que ha sucedido en realidad? Alguien se ha matado por amor tuyo. Me gustaría haber tenido alguna vez una experiencia semejante. Me hubiera hecho enamorarme del amor para el resto de mi vida. Las personas que me han adorado (no han sido muchas, pero sí algunas), siempre han insistido en seguir viviendo después de que yo dejase de quererlas y ellas dejaran de quererme a mí. Se han vuelto corpulentas y tediosas, y cuando me encuentro con ellas se lanzan inmediatamente a los recuerdos. ¡Ah, esa terrible memoria de las mujeres! ¡Qué cosa más espantosa! ¡Y qué total estancamiento intelectual revela! Se deben absorberlos colores de la vida, pero nunca recordar los detalles. Los detalles siempre son vulgares.","Delikanlının bilinçsiz bencilliğini kışkırtmaktan büyük ve gizli bir tat alan [MASK], “İlginç bir sorun bu, son derece ilginç,” dedi. “Bana öyle geliyor ki gerçek açıklaması şöyle: Çoğu zaman hayatın gerçek trajedileri sanat ölçülerinden öyle uzaktırlar ki içerdikleri kaba şiddetle, tutarsızlıklarıyla, anlamdan yoksun oluşlarının gülünçlüğüyle, zariflikten, kıvraklıktan yoksun oluşlarıyla bizi incitirler. Tıpkı kalabalığın etkisi gibidir üzerimizdeki etkileri. Katıksız bir kaba kuvvet izlenimi bırakırlar üzerimizde, biz de buna başkaldırırız. Öte yandan, arada bir, sanatsal güzellik öğeleri taşıyan bir trajedi hayatımıza girer. Bu güzellik öğeleri sahiciyse olay bizi doğrudan, dramatik yapısı yönünden etkiler. Birden bakarız ki artık oyuncu olmaktan çıkmış, oyunun seyircisi olmuşuz. Daha doğrusu hem oyuncuyuzdur hem seyirci. Kendi kendimizi seyrederiz de gösterideki olağanüstülüğe kapılır gideriz. Bu olayda olan da nedir gerçekte? Bir kız senin aşkın uğruna kendini öldürmüş. Keşke ben de yaşamış olsaydım böyle bir şeyi. Ömür boyu aşka âşık ederdi beni. Bana tapan kişiler... sayıları pek çok olmasa da... benim onlara ya da onların bana... duyduğumuz ilgi söndükten çok sonralara kadar hayatta kalmakta direttiler hep. Şişmanlayıp bezdirici kişiler oldular. Karşılaştığımız zaman da hemen eski anıları canlandırmaya girişiyorlar. Ah, kadının o müthiş belleği! Ne korkunç şeydir o! Nasıl katıksız bir zihin yosunlaşmasını ortaya vurur! İnsan yaşamın rengini emmeli de ayrıntılarını asla hatırlamamalı. Ayrıntılar her zaman avam işidir.","“Đó là một câu hỏi thú vị,” huân tước [MASK] nói, y thấy một niềm vui tao nhã trong việc chơi đùa với tính vị kỷ vô thức của chàng trai — “một câu hỏi cực kỳ thú vị. Tôi nghĩ rằng lời giải thích chính xác là thế này. Một điều thường xảy ra là các bi kịch thật sự trong đời lại xuất hiện theo một lối phản nghệ thuật đến nỗi chúng làm tổn thương ta bằng sự hung hãn thô bạo, sự rời rạc tuyệt đối, sự vô nghĩa phi lý, sự thiếu vắng phong cách. Chúng ảnh hưởng đến ta hệt như sự thô tục ảnh hưởng đến ta. Chúng cho ta một ấn tượng về sức mạnh hung ác tuyệt đối, và ta cưỡng lại chúng. Tuy nhiên, đôi lúc, một bi kịch có các yếu tố nghệ thuật đẹp đẽ cắt ngang đời ta. Nếu những yếu tố đẹp đẽ này là thật, thì toàn bộ sự việc rất dễ hấp dẫn khả năng cảm nhận của ta về hiệu ứng kịch. Đột nhiên ta thấy rằng ta không còn là diễn viên nữa, mà là các khán giả của vở kịch. Hoặc đúng hơn thì ta là cả hai. Ta xem chính mình, và chính nỗi ngạc nhiên với sự trình diễn này đã mê hoặc ta. Trong cảnh ngộ hiện thời, chuyện gì đã thực sự xảy ra? Có người tự sát vì yêu cậu. Ước gì tôi có lúc được hưởng một trải nghiệm như vậy. Nó sẽ khiến tôi đem lòng yêu tình yêu suốt quãng đời còn lại của mình. Những người từng mê tôi — không nhiều lắm, nhưng cũng có một số — luôn nhất định sống tiếp, rất lâu sau khi tôi đã thôi quan tâm đến họ, hoặc họ quan tâm đến tôi. Họ đẫy ra, nhạt đi, và khi tôi gặp lại họ thì họ lập tức trôi vào kỷ niệm. Cái ký ức kinh dị ấy về đàn bà! Nó là một thứ đáng sợ biết bao! Và nó để lộ ra một tình trạng mụ mẫm trí tuệ triệt để làm sao! Ta nên hấp thu sắc màu cuộc sống, nhưng đừng bao giờ nhớ các chi tiết của nó. Các chi tiết luôn thô tục.”"
['dorian'],"[MASK] shook his head, and a look of annoyance passed over his face at the mention of the word “inquest.” There was something so crude and vulgar about everything of the kind. “They don’t know my name,” he answered.",[MASK] negó con la cabeza; y una expresión de fastidio pasó por su rostro al oír mencionar la palabra «investigación». Todo aquel asunto tenía algo de vulgar y de tosco. —No saben cómo me llamo —respondió.,"[MASK] başını salladı. Sorgulama lafını duyunca yüzünden bir hoşnutsuzluk gelip geçmişti. Bu gibi şeylerde öyle kaba, öyle bayağı bir yön vardı ki! “Adımı bilmiyorlar.","[MASK] lắc đầu và một vẻ khó chịu lướt ngang mặt cậu khi nghe nhắc đến từ “cuộc điều tra.” Có gì đó thô bạo và tầm thường ở mọi thứ đại loại như vậy. “Họ không biết tên tôi,” cậu trả lời."
"['dorian', 'dorian gray']","“To exhibit it! You want to exhibit it?” exclaimed [MASK], a strange sense of terror creeping over him. Was the world going to be shown his secret? Were people to gape at the mystery of his life? That was impossible. Something—he did not know what—had to be done at once.","—¿Exponerlo? ¿Quieres exponerlo? —exclamó [MASK], sintiendo que le invadía un extraño terror. ¿Iba a ser el mundo testigo de su secreto? ¿Se quedaría la gente con la boca abierta ante el misterio de su vida? Imposible. Había que hacer algo, no sabía aún qué, y hacerlo de inmediato.","[MASK], “Sergilemek mi? Sergiye mi sokmak istiyorsun?” diye hafifçe bağırarak sordu. İçini tuhaf bir ürkü bürümüştü. Yani onun gizi tüm dünyaya gösterilecek miydi? Herkes onun yaşamının esrarını mı seyredecekti aval aval? Olamazdı bu. Hemencecik bir şeyler... ne olduğunu bilemiyordu ya... yapmak gerekti.","“Triển lãm nó? Anh muốn triển lãm nó?” [MASK] la lên, một cảm giác khiếp sợ kỳ lạ râm ran khắp người cậu. Có phải cả thế giới sắp được cho xem bí mật của cậu? Có phải tất cả mọi người sắp há miệng nhìn điều bí ẩn của đời cậu? Không thể nào. Một việc gì đó — cậu không biết là gì — phải được làm ngay lập tức."
