Single_ent,en_masked,en_masked_shuffled
['gore'],"I should say that my face does a good impression of whiteness, late-entering or not. I didn’t know how to tell [MASK] that I’d been tricking him, feature by feature. I wasn’t sure I was ready to. He’d made, as people do, an assumption about me that left me room to maneuver. Later, when he found out the truth—as people do—he’d be unbalanced by his own mistake. Another person’s unguardedness in that moment can be very useful, interpersonally, as long as you don’t soften. There is language I could use about this if I were the melodramatic type: behind enemy lines, for example, or double agent. My sister might use these terms, or she might call me a fraud.","could found he or these I say can know she person’s There for was not. about in the whiteness, I him, My were double ready might assumption example, should that Another sister how Later, do, language this to wasn’t [MASK] or interpersonally, unbalanced agent. by lines, I might truth—as moment as that when mistake. by terms, me impression late-entering made, use people soften. be or that out feature. is good I I long you been about a I that room didn’t a call does left an type: my own be don’t melodramatic maneuver. useful, tricking feature unguardedness I’d tell as sure me of very if people to. behind the fraud. enemy face to He’d his as me do—he’d use"
['gore'],"[MASK] lifts his hand. He’s left a smear on the table the color of tamarind flesh. There is a sour, steady pain in his palm that he briefly misunderstands as a taste.","smear misunderstands in palm hand. is sour, briefly a as his a taste. tamarind flesh. [MASK] lifts steady a the table of color There left on He’s the pain that he his"
['gore'],"[MASK] considers the weight of the sack he’d carried, which had felt so meaningful. “Three partridges,” he says, “and a boatswain gull too far off to hit. Nothing else. Not even tracks.”","which partridges,” tracks.” had even “and he’d considers of says, felt else. weight boatswain a sack far [MASK] too hit. meaningful. the the so to he “Three Not carried, Nothing gull off"
['stanley'],"At this, [MASK] leans in. He is a fussy, short-tempered, handsome man who does not enjoy his job. “I must impress upon the meeting that the debility that wracks those in the sick bay will doubtless find ample footholds should we reduce the men’s rations.”","reduce will should ample we impress debility leans his [MASK] that He is fussy, rations.” the must “I not man upon handsome meeting a bay in does this, job. footholds those sick wracks find who enjoy the short-tempered, At in. doubtless that the the men’s"
['gore'],"[MASK] is looking at his left palm. The sour pain is still there, seeping through the bandages. So is the blood, but it seems melodramatic to observe this.","to blood, is at The So but seeping [MASK] looking this. palm. seems pain bandages. his melodramatic there, left is observe is the sour it still through the"
['gore'],"The ice outside shifts—the Arctic stammering its jaws as a cat does when it sees a bird. The ship’s cat died in convulsions during their second winter. [MASK] had liked that cat. He’d become quite attached to it, especially as his dog had died in the first spring.","convulsions especially ship’s his The it that become [MASK] spring. a quite Arctic jaws had died a first He’d cat stammering in bird. cat. its when outside during does in The their the to ice dog shifts—the as second cat attached winter. had it, died liked as sees"
['gore'],"Once we arrived at the Ministry, an escort of subtly armed suits took [MASK] to meet the other expats. I was expecting he’d go through a group therapy session, but [MASK] was in a sunny mood, so he must have been envisaging something closer to a salon.","been a salon. envisaging therapy escort have the [MASK] at so something must to arrived the a go we expecting to group in suits Once [MASK] meet took but a through an was of armed he’d he subtly expats. was other Ministry, I closer session, sunny mood,"
['adela'],"“Complex,” said [MASK]. “Thanks for your input. Given their histories, mental trauma is to be anticipated. I remind you that we are interested in the actual feasibility of taking a human body through time. Our concern is if the process of time-travel has major implications for the expat or the expat’s surroundings.”","be that your mental [MASK]. their input. you said is a are of Given implications remind expat the of feasibility histories, expat’s has surroundings.” process major I for the taking we for “Complex,” “Thanks to the anticipated. body Our time-travel time. or human the actual concern if trauma is through interested in"
['adela'],"“We can’t risk the temporal repercussions,” said [MASK]. “They are supposed to be dead. As long as they’re here, it’s functionally as if they are dead in their own time. Again, I must emphasize, you are focused on the long-term prognoses of the expats in our era. Your remits really could not be clearer.”","the “We you are I our era. expats “They must the to in [MASK]. supposed remits long if as could long-term can’t the dead said As repercussions,” are it’s they’re not own temporal their emphasize, functionally they are as focused risk clearer.” time. Again, of on dead. prognoses in be Your here, be really"
['gore'],"We’d arrived in the central lobby. [MASK] was standing in a shaft of sunlight, staring up at the steel-and-glass ceiling. He looked dazzled into boyishness by the half sky of the building’s skull.","at in boyishness up arrived standing lobby. in the building’s of of half steel-and-glass ceiling. We’d the sky looked the dazzled into by skull. central the sunlight, a staring [MASK] He shaft was"
['gore'],"We went for lunch at a small bistro near the Ministry. [MASK] came from an era of service à la française, private dining rooms and putting everything into jelly. When I began to explain, in tones of motherly patience, how twenty-first-century restaurants operated, he said, “I’ve eaten kangaroo on the uninhabited shores of the Albert River. I understand how a knife and fork work. Please sit down.”","into understand [MASK] knife twenty-first-century the rooms service motherly bistro and eaten small tones and jelly. down.” fork at française, explain, dining of uninhabited how began a I shores Albert When “I’ve for how of work. patience, era a to la Ministry. said, came on sit of putting kangaroo the an from River. operated, went à restaurants he in I the We Please private near everything lunch"
['gore'],"“I thought it might be a good thing to make a proper friend of him,” [MASK] continued. “He said he would arrange for his bridge to take us to”—here he raised his eyebrows—“a public house. I am looking forward to seeing what visions of sin this era has concocted for the humble tavern.”","us public tavern.” bridge raised his eyebrows—“a [MASK] to friend might his has he said looking make house. era he it thought “I proper I this for of good continued. forward what “He of to the sin humble for arrange to a him,” would a thing visions be am seeing take to”—here concocted"
['gore'],"Back at the house I was still struggling to think of as “home,” [MASK] shyly asked me if I would also “come for a drink.” He had done well, at lunch, to hide his deep embarrassment over my payment of the bill (with a Ministry expense card); he was adjusting with gold-star alacrity in recognizing that it wouldn’t be a reputation-detonating act for a respectable woman to be seen in a public house in the company of bachelors.","to it at card); was well, house house struggling I would reputation-detonating public to shyly adjusting be of he a “come hide alacrity wouldn’t [MASK] the bachelors. payment think of company of “home,” at a me embarrassment if woman my a expense the act as done the gold-star recognizing for Ministry still bill to with asked in a be had deep drink.” I Back a in lunch, his that over for He was respectable (with seen in also"
['ralph'],"I coughed at my half-pint. [MASK], a snide and etiolated former field agent, was my least favorite bridge. He had somehow managed to get assigned the only young woman expat.","assigned had to I snide my [MASK], get etiolated He half-pint. my coughed agent, somehow and a field bridge. managed favorite young least was former expat. at woman the only"
['ralph'],“No. Apparently it was very awkward when [MASK] came in here for a lunchtime gallon of merlot and spotted him. He’s part of Defence’s tracking team. You know they don’t much like the fact that the Ministry is a separate institution. They thought the time-door ought to fall under their remit.”,merlot much when They the part that the a Apparently thought Ministry ought is and tracking know don’t in fall awkward remit.” him. like spotted the institution. to He’s was under fact came it [MASK] You team. Defence’s they a gallon time-door of lunchtime for their “No. very here of separate
['negro'],"“He used the word ‘[MASK]’ until I stopped him, but I don’t think he meant it with two g’s, if that’s what you’re asking me. How’s your expat managing the news of your miscegenation?”","that’s expat of me. if How’s him, ‘[MASK]’ the word two meant stopped but used the your managing I until I your asking what miscegenation?” g’s, news with “He it you’re don’t think he"
['black'],"I choked. “Uh. We don’t use that word anymore. We just say ‘[MASK].’ As an adjective. You would say, ‘She is a [MASK] woman.’ ”","‘[MASK].’ don’t would We You As adjective. anymore. word an ” just that choked. is “Uh. ‘She a We use woman.’ I say say, [MASK]"
['rosa'],"“I was, I think, a little giddy with my own power. I had never been handed the command of a ship, regardless that it was docked, regardless that its captain would return soon enough. Riding beside that giddiness was the dread weight of responsibility. When I saw the captives, I recognized that their berthing was—inadequate. That they had undoubtedly suffered greatly and were exhausted and sick. Two had died since we captured the [MASK]. But my chief thought was, I had better get this head count right. Or perhaps I might have thought, briefly, Poor wretches. But there was more obligation than Christian compassion in my heart. Whether I saw men, or women, or children…”","was return I head was—inadequate. they its and regardless the responsibility. in berthing count a captives, think, I “I that we ship, I have soon than Or That never briefly, Whether it Poor since But greatly a with undoubtedly was, giddiness own there heart. the that wretches. that I Two men, of was, dread this was recognized regardless docked, exhausted that the I right. thought, little power. thought obligation sick. beside had saw captain my were my Riding died giddy perhaps the When handed children…” women, of had might enough. I more [MASK]. suffered been chief my command weight their better Christian I had or But had compassion would or saw get captured and was"
['graham'],"[MASK] used other words too, not wrong, exactly, but not right, like “your people,” or “your culture.” When I said, in a wincingly tight voice, that we had the same people and culture, he replied, mildly, “But I don’t think that we do.” Then came the image searches about Cambodia, on food and dress and customs. I had to do those for him, in the early days, because he still didn’t know how, and the English-language internet was not on my side. Exotic, friendly, conservative, resilient. The way he couched his questions, too, was imperfect. I had to correct “ancestor” for “grandparent,” “sacred” for “polite,” “tribal leaders” for “farmers.”","he in friendly, side. couched came for do but customs. I I “polite,” Cambodia, said, had not words “tribal way replied, conservative, “sacred” and or When because how, a “ancestor” my was for to people he still food questions, for correct on not do.” too, imperfect. I English-language the image and leaders” on we he same days, the “farmers.” mildly, resilient. him, The “But “your to voice, culture, like the too, in we dress searches early don’t and people,” those other had used “grandparent,” and [MASK] tight for that about internet that I the wrong, didn’t exactly, had was right, his Exotic, Then think not know culture.” “your wincingly"
['adam'],"One of the many hypotheses coagulating in these early days of time-travel was that language informed experience—that we did not simply describe but create our world through language, like [MASK] in the Garden of Eden calling a spade a spade or whatever happens in Genesis. At its heart, the theory promised that the raw stuff of the universe could be carved into a clausal household, populated by an extended family of concepts. In retrospect, we might have devoted more time to explaining to the expats why they couldn’t use what were now considered slurs. Some of them never really got the hang of this.","populated why be what in got like raw our a through promised might simply we describe in considered was explaining experience—that happens One devoted the concepts. household, many informed the into the to not heart, never spade carved Garden or stuff could coagulating have of a did couldn’t to they the of of a but an use hypotheses language family them create the the hang extended [MASK] that calling by Genesis. this. we its more of time-travel At these universe language, of Some In theory expats Eden spade the retrospect, now in early really whatever that of clausal of world were time slurs. days"
['punch'],"Twice a week, we would sit the expats in a room with a comfortable chair, a desk, a screen, and a pot of tea. The tea was not essential to the experiment, but they were more inclined to cooperate if they were given nice tea with a china cup and saucer—even Sixteen-forty-five and Sixteen-sixty-five, who didn’t have the manufactured appetite for it. Embarrassing stuff, something for a [MASK] cartoon about Englishness, but it worked.","and a cartoon experiment, were a a more Sixteen-forty-five they who tea. it. but desk, they cooperate about we cup the The Sixteen-sixty-five, given [MASK] for with a something manufactured Twice comfortable Englishness, were with for didn’t week, to a appetite a chair, would and stuff, not a essential room pot sit the was the china worked. have it expats but nice Embarrassing saucer—even inclined and tea of in a if to screen, tea"
['gore'],"[MASK] couldn’t understand the simultaneity of stacks of meat in supermarkets and our anxiety around hunting. Someone on the Wellness team taught the expats the term “quality of life” and somehow, grumbling about his inability to hunt and the paucity of countryside to hunt in, he parlayed the term into an air rifle.","of of simultaneity and couldn’t understand team and he the the term in, supermarkets [MASK] Someone the taught paucity grumbling hunt meat hunt an countryside into the term inability in “quality anxiety of around and air parlayed life” his our of the hunting. on to stacks the to expats Wellness rifle. about somehow,"
['gore'],"[MASK] was bored, that much was clear. Despite the amenities and pleasures of the twenty-first century, he was bored. He had been handed a plush-lined life, with time to read, to pursue thoughts to their phantasmagoric end, to take in whole seasons at the British Film Institute, to walk for miles, to master sonatas, and paint to his heart’s content. He did not need to work, to exchange the sweat of his brow or the creak of his mind for board and bed. And yet, he was bored of having no purpose. He was getting bored of everything. I was afraid that he was getting bored of me.","pleasures amenities board twenty-first time and need to was of to the read, phantasmagoric to plush-lined he to British getting for was content. his a to the yet, to walk clear. to seasons heart’s work, did He with been had of bored century, He bored to their Despite life, paint end, getting sweat the was much he bored master pursue was was afraid sonatas, handed brow I was and mind that and at in bed. Institute, purpose. And no his creak his not the whole thoughts was that of [MASK] of of for Film me. He take having exchange he to bored. bored, or miles, the of everything."
['gore'],"After he’d been barked at by the magnets, [MASK] came through to the observation room. The Brigadier’s uniform had an incredible, immediate effect. [MASK] snapped, rather coldly, to attention.","to immediate coldly, barked [MASK] by the he’d [MASK] Brigadier’s at had effect. incredible, The been observation rather an through room. came After the attention. magnets, snapped, to uniform"
['gore'],"[MASK] leaned down over the radiographer and said, into the microphone, “It’s great fun, Sixteen, you’ll get a dag of your thoughts.”","fun, said, the you’ll dag and over [MASK] the your radiographer leaned of get thoughts.” “It’s down into microphone, a great Sixteen,"
['graham'],"He smiled, dimples curving. “I think, as we are ‘housemates,’ and also, I hope, friends, that you should call me [MASK].”","that friends, He curving. I ‘housemates,’ think, me “I hope, call dimples as [MASK].” smiled, you and should are also, we"
['arthur'],"“After you returned home yesterday, the Brigadier came back to see [MASK]. They had a conversation about television, which [MASK] seems to think is a wonderful invention. The Brigadier mentioned ‘Auntie’s output.’ ”","to yesterday, ” wonderful output.’ returned conversation The [MASK] a seems They had Brigadier “After mentioned see which back you home ‘Auntie’s about the to think Brigadier invention. came is a [MASK]. television,"
['hasn'],"“Oh. It’s a very old nickname for the BBC. [MASK]’t been in use since the sixties, I think. The 1960s, I mean. How odd. He asked me if I’d been part of Special Branch too. Can’t remember the last time I heard someone call counterterrorism ‘Special Branch.’ Well, maybe it’s not so weird. The top brass all live in the past anyway.”","call Can’t ‘Special me for live counterterrorism been I time Well, odd. I sixties, The Special a it’s last nickname too. weird. He I’d How if in Branch.’ in top asked past “Oh. since Branch the brass The use very not BBC. remember 1960s, so heard the old part all mean. the I anyway.” been maybe It’s the of [MASK]’t think. someone"
['stanley'],"Debility, [MASK] had said. Well, they all knew what that meant. Scurvy. Men ruptured by melancholy, bleeding from their hairlines. Teeth loose in the head as a blown rose’s petals. Weeping for home—more so than usual. Aching at the joints. The smell of an orange, it’s said, could drive a debilitated man to derangement. The word “Mother” is like a lance to the ribs. Old wounds reopen.","than Well, Men said, is said. reopen. “Mother” to drive what The hairlines. the loose that head [MASK] Aching the Scurvy. home—more to it’s like orange, a had derangement. usual. meant. Teeth Weeping lance an could ribs. rose’s Old as knew wounds by joints. Debility, of in they from a all at debilitated the The a melancholy, smell for their word man bleeding blown petals. so ruptured"
['stokes'],"This old wound, formerly healed, he’d received in Australia with Captain [MASK]. A gun had exploded in his hands. They were rowing up a river in the captain’s gig, charting its course. The cockatoos they’d spotted on the opposite bank were so dense as to be cloudlike, billowing from tree to tree. He’d taken up his fowling piece and sighted along the barrel.","exploded a A the his taken hands. with He’d sighted Australia as The gig, cockatoos bank up charting dense tree in captain’s healed, barrel. wound, old course. piece tree. to Captain spotted river were and to rowing along formerly cloudlike, from be up in were billowing they’d received They its the fowling opposite on so This had [MASK]. gun he’d the in his"
['stokes'],"After that, there’s a gap in his memory. There was a thunderous report. He’s sure he saw a bird drop. Then the sky, hysterically blue. He was on his back in the bottom of the boat. It seemed like his hand hurt, but he wasn’t sure. It felt wet. He sat up. [MASK] was blanched, reaching for him with shaking hands.","It back but a blanched, Then boat. his blue. gap he hurt, the drop. a on bird that, seemed [MASK] was He report. hysterically wet. the was of It a thunderous his There sure. He’s sat there’s wasn’t hand for the sky, in hands. with felt sure up. He reaching memory. like saw bottom his he him After shaking in was"
['stokes'],"He misses [MASK]. He misses Australia. He’d like to feel the amniotic swelter of the continent’s interior. He can’t even summon the memory of what it was like to be comfortably warm, let alone perishingly hot. He misses newness, freshness. He’d like to look at a tree or pick his way through undergrowth. Even accidentally giving himself a digestive complaint by eating the wrong berry seems like a lark from this position. There’s nothing here but the most barren and desolate country imaginable. He supposes he’d like to see his family too, in New South Wales, but he doesn’t dwell on that, the same way he doesn’t examine the wound in his palm.","New He way South and wrong of to desolate let at complaint can’t misses in himself eating amniotic There’s it imaginable. undergrowth. on be look of perishingly feel barren he or swelter here a his was see He but misses from most misses but like position. He the Australia. supposes He’d this palm. He a too, he his memory same to to nothing the continent’s the berry country his tree doesn’t digestive examine summon pick the He like interior. in like even hot. like [MASK]. by the Even that, warm, a to alone family accidentally giving through wound comfortably he’d newness, what the doesn’t way freshness. dwell seems like Wales, the He’d lark"
['gore'],"Yes, tomorrow [MASK] will go out hunting again. One thing God has granted him is an excellent aim. He is very good at killing things. Things, sometimes people. He pulls a trigger and knows himself loved.","hunting is God excellent go trigger again. at very knows He [MASK] loved. will himself aim. He pulls sometimes things. tomorrow Things, is thing an and granted him a has good One killing people. out Yes,"
['graham'],"It’s surprising, then, that I allowed [MASK]’s drawing of the projection device to enter my files as a joke, like a coin minted 70 BC. I thought it was a form of juvenilia, drawn in his earliest years as a modern man, something to remind him of on a significant anniversary of his arrival here; and not, as it would turn out to be, a red letter from another era.","a era. would man, and to then, to that on joke, from like years of 70 thought as another earliest files remind red BC. out to a a arrival a something his It’s turn surprising, enter [MASK]’s a letter in I my of as be, modern a was drawing allowed projection him significant of not, minted of coin his as here; drawn the I device juvenilia, anniversary it it form"
['graham'],"By the start of that summer, [MASK] was practically a native of the era. He wore button-ups and was clean-shaven to his cheekbones. He had a preferred washing-machine cycle. Most mornings he rose—hours before me—and went for a run. He would sometimes wake me up with a juicy smoker’s wheeze on his return to the house. He started giving me custody of his cigarettes and enforced a predinner smoking ban.","native smoker’s practically [MASK] went He the had he wheeze a mornings of rose—hours me the with cigarettes his started that era. of was enforced a summer, me cheekbones. smoking run. cycle. to on a predinner before house. By his me—and He to Most sometimes a his washing-machine button-ups He and up clean-shaven for start and wake wore the custody He a return was preferred ban. would of juicy giving"
['graham'],"There were others times when it felt as if [MASK] deliberately disliked the twenty-first century, as if assimilation was a form of treachery to his past. I was prickly and defensive about this; I could not look at why directly. I heard the way I spoke to him about it: adjustment, reasonable, citizen, responsibility, values. He blew a lot of pensive cigarette smoke at me.","this; to reasonable, why as adjustment, of it and at it: was times if cigarette citizen, twenty-first [MASK] lot others about of There about a could I him his were was if treachery a look I me. prickly pensive century, deliberately defensive I directly. spoke at He smoke the felt heard form way as the blew past. not responsibility, assimilation I to values. disliked when"
['graham'],"Thus, on a weekly basis, the expats were subjected to tests designed to trigger empathy or disgust, and scrutinized. The first tests were conducted in the laboratory booths, but they resembled the Ministry hospital wards so strongly that the expats had tremendous anxiety reactions and it was difficult to get serviceable data from them. [MASK], for example, kept asking to be excused for a smoke—heart rate elevated—and struggled to focus on the tests—eyes moving rapidly. I once found him the sole occupant of the fifth-floor smoking area (a pigeon-shit-encrusted balcony), methodically shredding a filter of a finished cigarette. I watched him for a while, interested in the way that only his fingers moved. Most people ripple with surplus motion unless they are concentrating, but [MASK] only ever moved the parts of him that he wanted to move.","and had a his the I kept basis, wards they of methodically he pigeon-shit-encrusted weekly get I that them. conducted the anxiety the tests—eyes strongly and to expats on only smoke—heart the data but Thus, Ministry surplus to disgust, resembled to of rapidly. only hospital asking designed motion once booths, were they trigger to [MASK], him [MASK] be unless first the people finished way the from moved rate of in fifth-floor wanted were with (a him scrutinized. balcony), tests was interested ripple a him parts ever difficult concentrating, move. moving empathy for excused reactions but the a the moved. Most found or that area shredding sole so subjected to for to cigarette. focus it watched filter a expats occupant on in tests that struggled a smoking fingers tremendous elevated—and example, laboratory The are the serviceable while, for"
['graham'],"After that, the “empathy exams” returned more useful results—though there were other issues. A controversial test used pictures of soldiers from the First World War, caved and razed by new weapons. The disruption was terrible. Nineteen-sixteen had to be sedated. The other expats were horrified too. Even Sixteen-forty-five and [MASK], who had fought in large-scale battles, were laid out by the ultramodern scope of the harm. They began to resist the exams psychologically, spoiling our hard-won data. It was agreed that we’d delay introducing them to Hiroshima, Auschwitz, and the Twin Towers. Control promised to provide a timeline for the revelations, but it hadn’t materialized.","A expats of be was exams” revelations, disruption the sedated. were fought terrible. The useful test were ultramodern pictures the soldiers who First It by Hiroshima, delay hadn’t Sixteen-forty-five hard-won a “empathy them to too. Twin World [MASK], had The timeline by horrified harm. materialized. spoiling and scope we’d that that, to of caved results—though laid Even returned had began there the and were for our more They Towers. other was large-scale issues. psychologically, Nineteen-sixteen but the and After it Control the other used the in War, provide Auschwitz, battles, to promised data. out exams the introducing to resist weapons. new razed controversial from agreed"
['adela'],"[MASK] was always present at the honesty exams, often intervening in them. I got the impression that she was listening to offstage prompts that only she could hear, being the only one among us who was aware she was on a stage, and was trying to chivvy us along the right course of action.","us the she on was could one present stage, was them. [MASK] always along course trying listening of the action. she to the she that I at was only exams, us a to got was among right being and only intervening was in often chivvy the aware honesty that hear, impression offstage who prompts"
['adela'],"[MASK] smiled with about a third of her mouth. Her face had changed again. She looked pinched and hungry, and hauntingly as if her skin was held in place by a bulldog clip at the back of her skull.","back pinched again. Her at skin her changed third and place hauntingly [MASK] clip in of face with smiled of skull. hungry, bulldog held had about mouth. a if as her and was She looked by her the a"
['graham'],"I went along to one of the earliest dinners, chicken bag slung over my shoulder. Bridges tended not to eat at the Ministry canteen with administrative staff and the operators on the Wellness team—the office-based employees—and the decorous hostility with which the paper pushers met me was adorable. When I got to the kitchen itself, the first thing I saw was [MASK] leaning down to light a cigarette on the gas ring, his curls dangerously close to the hob. We’d had to disable smoke detectors in every Ministry room that [MASK] used. If he couldn’t have a cigarette, he’d throw whatever experiment he was strapped into.","chicken his I on the the Ministry not bag dangerously I leaning got at thing If with my tended of cigarette operators When and met the staff strapped had every the detectors the hob. along was [MASK] he saw curls office-based Bridges with cigarette, on close was into. Wellness itself, one couldn’t down the [MASK] administrative the experiment earliest throw paper to hostility in me shoulder. kitchen the employees—and disable a to slung adorable. he’d decorous over that dinners, he eat team—the to ring, Ministry to used. to whatever have gas pushers which to a I smoke light the room canteen went was We’d first the"
['margaret'],"She put a glass down in front of me—ice, water, an oily suggestion of cordial, and, sure enough, some fussy edible garnishes. I blinked at it and then at [MASK], who smiled.","in then She oily it and at sure blinked water, enough, fussy a edible glass [MASK], and, an front me—ice, smiled. down some put suggestion at cordial, I garnishes. of of who"
['graham'],"[MASK] said, “Hm!” and pulled hard on his cigarette. He wandered off with the expansive air of a man who might pick up some parsley, not because he has been told to but because that might be a jolly thing to do en route to his next footloose and fancy-free destination. I watched him go.","destination. might parsley, hard that him pulled to told to who [MASK] I be his the some not a his but go. air next footloose and to route said, a been and up cigarette. with “Hm!” on jolly en thing fancy-free of expansive watched He do has because man because he pick might off wandered"
['margaret'],"“No,” said [MASK]. She shrugged at my expression. “An’ I forsake this duty,” she said, “we’ll sicken. Forty-seven thinks tobacco is an herb. But womenfolk were cordoned at the stove for centuries. The men mun take lessons.”","an cordoned shrugged stove “An’ take “we’ll herb. she is expression. at mun thinks lessons.” I for forsake duty,” my men this [MASK]. But womenfolk centuries. the at She The said “No,” tobacco were sicken. said, Forty-seven"
['mayhap'],"“Have they a base? [MASK] a uniform? If not, I will design it. Ah, you laugh! But would we not look well in thigh boots and tabards broidered with FEMINIST KILLJOY? It sends a sturdy message.”","KILLJOY? with [MASK] sturdy a they and base? “Have will a not it. in look sends we I broidered would It well Ah, thigh laugh! message.” tabards If uniform? But FEMINIST not, boots a design you"
['margaret'],The Brigadier drifted closer. He did look hungry. He looked like I did as a student when I ate nothing but buttered toast and apples. He turned the white of used candlewax when [MASK] opened the oven to better squint at her roast potatoes.,The used student drifted when I the looked did He oven turned her of He at the a white and I buttered candlewax but hungry. did Brigadier better ate squint apples. as He when [MASK] toast nothing closer. roast to like look opened potatoes.
['margaret'],"“ ’Tis all the same to me, sir,” said [MASK], “though I fear this cod will grow legs and walk afore my ‘colleague’ returns with my parsley.”","me, same ’Tis legs I said my sir,” parsley.” fear this cod grow will ‘colleague’ afore walk to “ with “though returns all the my [MASK], and"
['graham greene'],"“[MASK],” he said. “He wrote a superb 1943 novel that I think of often. Have you read it? The Ministry of Fear.”","Have of you that “[MASK],” 1943 it? novel often. think “He said. superb he of wrote Fear.” read a The I Ministry"
['graham'],"Because we lived in a government-owned residence, there were also restrictions on how long we could have the air-conditioning on. [MASK] picked at this, irritating and irritated.","lived were restrictions on how also have on. [MASK] could government-owned Because we irritating irritated. we long air-conditioning at a and residence, in there picked this, the"
